,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-09,5.655B,5.655B,987.60M,4.667B,,1.695B,1.220B,,-50.30M,47.20M,16.30M,-30.90M,2.915B,1.752B,16.30M,47.20M,-30.90M,-50.30M,-30.90M,1.671B,368.40M,1.303B,,,,1.303B,1.342B,2.063B,344.70M,1.718B,1.18,0.0,,,1.216,1.18,1.18,0.0,,,1.216,1.18,1.099B,1.099B,0.49
2010-06,5.749B,5.749B,1.024B,4.725B,,1.755B,1.187B,,-9.20M,47.50M,11.00M,-36.50M,2.943B,1.782B,11.00M,47.50M,-36.50M,-9.20M,-36.50M,1.736B,387.60M,1.349B,,,,1.349B,1.356B,2.130B,345.60M,1.784B,1.22,0.0,,,1.227,1.22,1.22,0.0,,,1.227,1.22,1.099B,1.099B,0.49
2010-03,5.486B,5.486B,1.122B,4.363B,,1.614B,1.039B,,35.30M,47.60M,10.60M,-37.00M,2.654B,1.710B,10.60M,47.60M,-37.00M,35.30M,-37.00M,1.708B,459.70M,1.248B,,,,1.248B,1.222B,2.055B,299.40M,1.755B,1.13,0.0,,,1.107,1.13,1.13,0.0,,,1.107,1.13,1.103B,1.103B,0.49
2009-12,5.934B,5.934B,1.431B,4.503B,,1.953B,1.217B,,-159.30M,50.20M,13.80M,-36.40M,3.17B,1.333B,13.80M,50.20M,-36.40M,-159.30M,-36.40M,1.137B,221.80M,915.40M,,,,915.40M,1.044B,1.563B,375.80M,1.187B,0.83,0.0,,,0.9465,0.83,0.83,0.0,,,0.9464,0.83,1.101B,1.101B,0.49
2009-09,5.562B,5.562B,1.052B,4.510B,,1.702B,1.122B,,-572.70M,59.20M,15.20M,-44.00M,2.824B,1.686B,15.20M,59.20M,-44.00M,-572.70M,-44.00M,1.070B,127.70M,941.80M,,,,941.80M,1.446B,1.438B,309.70M,1.129B,0.86,0.0,,,1.319,0.86,0.86,0.0,,,1.319,0.86,1.098B,1.098B,0.49
2009-06,5.293B,5.293B,947.40M,4.345B,,1.708B,1.040B,,-83.60M,64.30M,18.80M,-45.50M,2.749B,1.597B,18.80M,64.30M,-45.50M,-83.60M,-45.50M,1.468B,309.20M,1.158B,,,,1.158B,1.224B,1.838B,306.00M,1.532B,1.06,0.0,,,1.12,1.06,1.06,0.0,,,1.12,1.06,1.097B,1.097B,0.49
2009-03,5.047B,5.047B,816.40M,4.231B,,1.529B,947.30M,,-10.50M,87.60M,27.40M,-60.20M,2.476B,1.754B,27.40M,87.60M,-60.20M,-10.50M,-60.20M,1.683B,370.30M,1.313B,,,,1.313B,1.321B,2.077B,306.30M,1.771B,1.2,0.0,,,1.207,1.2,1.2,0.0,,,1.207,1.2,1.097B,1.097B,0.49
2008-12,5.204B,5.204B,909.30M,4.295B,,1.727B,1.059B,,-4.819B,81.90M,53.90M,-28.00M,2.786B,1.509B,53.90M,81.90M,-28.00M,-4.819B,-28.00M,-3.337B,292.00M,-3.629B,,,,-3.629B,-497.31M,-2.975B,280.30M,-3.256B,-3.31,0.0,,,-0.453,-3.31,-3.31,0.0,,,-0.453,-3.31,1.096B,1.096B,0.47
2008-09,5.210B,5.210B,1.155B,4.054B,,1.649B,953.00M,,-1.694B,44.00M,53.20M,9.20M,2.602B,1.452B,53.20M,44.00M,9.20M,-1.694B,9.20M,-232.80M,232.80M,-465.60M,,,,-465.60M,635.56M,94.50M,283.30M,-188.80M,-0.43,0.0,,,0.5765,-0.43,-0.43,0.0,,,0.5765,-0.43,1.094B,1.094B,0.47
2008-06,5.150B,5.150B,1.201B,3.950B,,1.700B,951.50M,,-96.30M,42.60M,47.30M,4.70M,2.652B,1.298B,47.30M,42.60M,4.70M,-96.30M,4.70M,1.206B,247.50M,958.80M,,,,958.80M,1.035B,1.530B,281.50M,1.249B,0.88,0.0,,,0.95,0.88,0.88,0.0,,,0.95,0.88,1.094B,1.094B,0.47
2008-03,4.808B,4.808B,1.111B,3.696B,,1.550B,877.10M,,-208.90M,59.80M,56.30M,-3.50M,2.428B,1.269B,56.30M,59.80M,-3.50M,-208.90M,-3.50M,1.056B,-8.00M,1.064B,,,,1.064B,1.200B,1.394B,277.50M,1.116B,0.97,0.0,,,1.094,0.97,0.97,0.0,,,1.094,0.97,1.094B,1.094B,0.47
2007-12,5.190B,5.190B,1.273B,3.917B,,1.756B,953.60M,,-153.00M,,,,2.709B,1.207B,,,,-153.00M,,1.052B,197.90M,854.40M,,,,854.40M,978.63M,1.482B,274.80M,1.207B,0.78,0.0,,,0.893,0.78,0.78,0.0,,,0.8928,0.78,1.100B,1.101B,0.425
2007-09,4.587B,4.587B,1.055B,3.532B,,1.478B,844.50M,,-25.30M,,,,2.322B,1.210B,,,,-25.30M,,1.178B,252.10M,926.30M,,,,926.30M,946.19M,1.475B,265.50M,1.210B,0.85,0.0,,,0.8682,0.85,0.85,0.0,,,0.8682,0.85,1.090B,1.090B,0.425
2007-06,4.631B,4.631B,998.90M,3.632B,,1.525B,854.40M,,-317.60M,,,,2.379B,1.253B,,,,-317.60M,,926.70M,263.10M,663.60M,,,,663.60M,891.03M,1.516B,262.50M,1.253B,0.61,0.0,,,0.8191,0.61,0.61,0.0,,,0.8191,0.61,1.088B,1.088B,0.425
2007-03,4.226B,4.226B,922.50M,3.304B,,1.337B,834.20M,,-428.20M,,,,2.171B,1.133B,,,,-417.20M,,719.40M,210.70M,508.70M,,,,508.70M,811.49M,1.378B,245.10M,1.133B,0.47,0.0,,,0.7498,0.47,0.47,0.0,,,0.7498,0.47,1.082B,1.082B,0.425
2006-12,4.245B,4.245B,1.019B,3.226B,,1.311B,858.00M,,-894.40M,,,,2.169B,1.058B,,,,-864.20M,,215.00M,82.70M,132.30M,,,,132.30M,682.67M,1.231B,173.60M,1.058B,0.12,0.0,,,0.6253,0.12,0.12,0.0,,,0.6253,0.12,1.089B,1.089B,0.4
2006-09,3.864B,3.864B,860.40M,3.004B,,1.198B,755.70M,,27.40M,,,,1.954B,1.050B,,,,51.20M,,1.106B,232.20M,873.60M,,,,873.60M,851.95M,1.264B,214.20M,1.050B,0.8,0.0,,,0.7802,0.8,0.8,0.0,,,0.7802,0.8,1.092B,1.092B,0.4
2006-06,3.867B,3.867B,860.60M,3.006B,,1.238B,774.80M,,44.30M,,,,2.013B,993.60M,,,,44.30M,,1.040B,218.50M,822.00M,,,,822.00M,787.00M,1.203B,209.10M,993.60M,0.76,0.0,,,0.7276,0.76,0.76,0.0,,,0.7276,0.76,1.082B,1.082B,0.4
2006-03,3.715B,3.715B,806.50M,2.908B,,1.143B,740.80M,,37.50M,,,,1.884B,1.024B,,,,37.50M,,1.057B,221.90M,834.80M,,,,834.80M,805.17M,1.229B,204.90M,1.024B,0.77,0.0,,,0.7427,0.77,0.77,0.0,,,0.7427,0.77,1.084B,1.084B,0.4
2005-12,3.879B,3.879B,898.20M,2.981B,,1.190B,809.90M,,94.50M,,,,2.000B,981.40M,,,,101.80M,,894.70M,172.10M,722.60M,,,,700.60M,646.28M,1.206B,225.10M,981.40M,0.66,-0.02,,,0.5906,0.64,0.66,-0.02,,,0.5906,0.64,1.099B,1.099B,0.38
2005-09,3.601B,3.601B,845.70M,2.755B,,1.071B,751.00M,,51.60M,,,,1.822B,933.50M,,,,57.40M,,1.018B,224.10M,794.40M,,,,794.40M,754.15M,1.117B,183.90M,933.50M,0.73,0.0,,,0.693,0.73,0.73,0.0,,,0.693,0.73,1.088B,1.088B,0.38
2005-06,3.668B,3.668B,871.30M,2.796B,,1.146B,762.40M,,-1.062B,,,,1.908B,887.90M,,,,-1.062B,,-140.10M,111.90M,-252.00M,,,,-252.00M,385.38M,1.047B,158.70M,887.90M,-0.23,0.0,,,0.3517,-0.23,-0.23,0.0,,,0.3517,-0.23,1.096B,1.096B,0.38
2005-03,3.497B,3.497B,859.00M,2.638B,,1.090B,702.20M,,123.20M,,,,1.793B,845.80M,,,,123.20M,,944.40M,207.80M,736.60M,,,,736.60M,640.51M,1.004B,158.70M,845.80M,0.68,0.0,,,0.5913,0.68,0.68,0.0,,,0.5913,0.68,1.083B,1.083B,0.38
2004-12,3.644B,3.644B,865.70M,2.779B,,1.098B,705.50M,,-438.60M,,,,1.804B,974.90M,,,,-438.60M,,520.00M,522.40M,-2.40M,,,,-2.40M,260.76M,1.112B,136.70M,974.90M,0.0,0.0,,,0.2438,0.0,0.0,0.0,,,0.2423,0.0,1.080B,1.086B,0.355
2004-09,3.280B,3.280B,810.10M,2.470B,,951.90M,654.80M,,123.10M,,,,1.607B,863.60M,,,,123.10M,,968.20M,213.00M,755.20M,,,,755.20M,659.18M,1.027B,163.20M,863.60M,0.7,0.0,,,0.611,0.7,0.69,0.0,,,0.6023,0.69,1.079B,1.094B,0.355
2004-06,3.556B,3.556B,796.40M,2.760B,,1.170B,684.20M,,-59.80M,,,,1.854B,905.50M,,,,-59.80M,,838.20M,181.30M,656.90M,,,,656.90M,703.77M,1.056B,150.00M,905.50M,0.61,0.0,,,0.6535,0.61,0.6,0.0,,,0.6428,0.6,1.077B,1.095B,0.355
2004-03,3.377B,3.377B,751.70M,2.625B,,1.064B,646.60M,,-289.90M,,,,1.710B,914.70M,,,,-289.90M,,615.50M,215.10M,400.40M,,,,400.40M,588.99M,1.062B,147.60M,914.70M,0.37,0.0,,,0.5443,0.37,0.37,0.0,,,0.5443,0.37,1.082B,1.082B,0.355
2003-12,3.466B,3.466B,731.50M,2.734B,,1.134B,710.00M,,84.00M,,,,1.844B,889.80M,,,,84.00M,,964.00M,216.80M,747.20M,,,,747.20M,682.09M,996.40M,106.60M,889.80M,0.7,0.0,,,0.6389,0.7,0.69,0.0,,,0.6299,0.69,1.065B,1.083B,0.335
