,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,72.50M,,-10.90M,-0.90M,-11.80M,12.90M,4.80M,17.70M,17.70M,8.30M,11.00M,,12.80M,,2.20M,-17.60M,-37.60M,-29.80M,51.60M,,,22.20M,-11.20M,102.20M,,-13.00M,,-13.00M,-29.10M,-5.70M,-0.30M,-48.10M,,120.00M,-356.70M,-236.70M,12.50M,-39.20M,-26.70M,,-4.00M,-267.40M,,742.30M,-213.30M,16.10M,545.10M,,12.50M,269.00M,-505.70M,-39.20M,,AOR,Restated
2018-03,73.20M,,16.40M,0.90M,17.30M,12.60M,4.10M,16.70M,16.70M,-3.10M,11.10M,,10.50M,,-0.10M,-37.50M,0.80M,-28.20M,11.40M,,,-7.10M,-60.60M,65.50M,,-8.50M,,-8.50M,-29.60M,7.40M,1.30M,-29.40M,,-110.00M,25.00M,-85.00M,20.40M,-36.00M,-15.60M,,-10.80M,-111.40M,,825.10M,-75.30M,-7.50M,742.30M,,20.40M,67.90M,-152.90M,-36.00M,,AOR,Restated
2017-12,-112.20M,,,0.00,0.00,12.80M,6.30M,19.10M,19.10M,44.90M,,,10.70M,,-0.80M,65.90M,-11.70M,28.20M,114.80M,,,18.60M,215.80M,179.00M,,-9.30M,,-9.30M,0.00,-9.80M,-6.50M,-25.60M,,-10.00M,0.00,-10.00M,24.20M,-56.70M,-32.50M,,-0.30M,-42.80M,,718.50M,110.60M,-4.00M,825.10M,,24.20M,166.40M,-176.40M,-56.70M,,AOR,Restated
2017-09,78.60M,,,,,13.30M,5.10M,18.40M,18.40M,-7.40M,13.10M,,8.50M,,3.40M,-43.80M,13.00M,0.10M,46.90M,,,-6.30M,9.90M,129.70M,,-18.70M,,-18.70M,-2.60M,-30.00M,-0.20M,-51.50M,,262.00M,-277.00M,-15.00M,15.40M,-25.40M,-10.00M,,8.30M,-16.70M,,660.00M,61.50M,-5.60M,718.50M,,15.40M,83.00M,-98.00M,-25.40M,,AOR,Restated
2017-06,69.90M,,,,,13.30M,4.20M,17.50M,17.50M,-8.40M,0.00,,9.10M,,0.00,40.30M,-5.90M,6.50M,6.70M,,,19.60M,67.20M,155.00M,,-8.30M,,-8.30M,-0.40M,-5.80M,-11.20M,-25.70M,,-155.00M,-27.50M,-182.50M,31.30M,-46.80M,-15.50M,,27.30M,-170.70M,,707.00M,-41.40M,-5.60M,660.00M,,31.30M,58.00M,-240.50M,-46.80M,,AOR,Restated
2017-03,56.20M,,,,,14.70M,4.00M,18.70M,18.70M,13.40M,0.00,,12.10M,,-0.10M,-46.90M,15.80M,-45.40M,5.60M,,,2.10M,-68.80M,32.20M,,-14.90M,,-14.90M,0.00,-6.50M,0.00,-21.40M,,-107.00M,45.00M,-62.00M,9.30M,-172.80M,-163.50M,,110.10M,-115.40M,,814.70M,-104.60M,-3.10M,707.00M,,9.30M,80.00M,-142.00M,-172.80M,,AOR,Restated
2016-12,14.50M,,,,,17.20M,5.10M,22.30M,22.30M,-20.90M,38.30M,,11.50M,,-0.60M,32.40M,-30.10M,-10.10M,-41.00M,,,27.80M,-21.00M,82.20M,,-17.20M,,-17.20M,,-4.00M,-10.60M,-31.80M,,,-55.00M,-55.00M,16.10M,-49.50M,-33.40M,,-1.20M,-89.60M,,843.50M,-39.20M,10.40M,814.70M,,16.10M,10.00M,-65.00M,-49.50M,,AOR,Restated
2016-09,114.80M,,,,,17.50M,5.90M,23.40M,23.40M,-30.70M,0.00,,12.30M,0.80M,-0.60M,-73.10M,29.80M,42.70M,54.50M,,,-21.80M,32.10M,152.00M,,-19.40M,,-19.40M,,1.50M,-9.80M,-48.80M,,,-35.40M,-35.40M,24.00M,-87.10M,-63.10M,,1.60M,-96.90M,,835.90M,6.30M,1.30M,843.50M,,24.00M,-22.90M,-12.50M,-87.10M,,AOR,Restated
2016-06,98.90M,,,,,15.60M,2.90M,18.50M,18.50M,1.80M,2.20M,,12.20M,0.00,0.40M,-0.20M,-32.50M,-19.80M,25.50M,,,-13.40M,-40.40M,95.20M,,-15.10M,,-15.10M,,-1.50M,2.70M,-13.90M,,,-94.50M,-94.50M,15.40M,-125.50M,-110.10M,,-1.50M,-206.10M,,961.10M,-124.80M,-0.40M,835.90M,,15.40M,-82.00M,-12.50M,-125.50M,,AOR,Restated
2016-03,97.00M,,,,,15.60M,3.80M,19.40M,19.40M,3.80M,0.00,,12.50M,-0.70M,-1.20M,-64.90M,-35.60M,-3.60M,-3.00M,,,8.50M,-98.60M,31.80M,,-18.60M,,-18.60M,,-0.30M,-3.30M,-22.20M,,,64.50M,64.50M,5.90M,-56.60M,-50.70M,,-6.40M,7.40M,,953.40M,17.00M,-9.30M,961.10M,,5.90M,105.00M,-40.50M,-56.60M,,AOR,Restated
2015-12,89.00M,,,,,15.50M,3.00M,18.50M,18.50M,-3.20M,0.00,,11.30M,-0.10M,1.10M,-29.50M,-4.00M,-12.00M,-8.80M,,,11.00M,-43.30M,77.30M,,-27.30M,,-27.30M,,5.00M,-2.00M,-24.30M,,,232.50M,232.50M,15.30M,-192.10M,-176.80M,,-5.90M,49.80M,,845.50M,102.80M,5.10M,953.40M,,15.30M,300.00M,-67.50M,-192.10M,,AOR,Restated
2015-09,99.08M,,,,,15.21M,3.288M,18.50M,18.50M,-9.818M,,,9.706M,0.003M,0.014M,-93.44M,35.69M,24.50M,32.06M,,,38.86M,37.67M,153.43M,,-34.32M,,-34.32M,-83.72M,-0.965M,-18.72M,-137.71M,,,0.622M,0.622M,4.464M,-128.43M,-123.97M,,0.045M,-123.30M,,951.44M,-107.58M,1.615M,845.50M,,4.464M,33.12M,-32.50M,-128.43M,,AOR,Restated
2015-06,113.64M,,,,,14.78M,1.826M,16.61M,16.61M,-1.181M,,,11.36M,-0.009M,-0.128M,31.50M,15.66M,-11.72M,16.43M,,,-4.394M,47.48M,183.90M,,-20.36M,,-20.36M,-11.58M,-1.537M,35.46M,1.979M,,,-17.02M,-17.02M,19.32M,-92.39M,-73.07M,,-0.141M,-90.24M,,862.22M,95.64M,-6.429M,951.44M,,19.32M,120.48M,-137.50M,-92.39M,,AOR,Restated
2015-03,105.97M,,,,,14.69M,1.639M,16.33M,16.33M,2.289M,,,12.50M,-0.019M,1.297M,-61.18M,-30.80M,-12.95M,6.592M,,,14.51M,-83.83M,53.31M,,-15.00M,,-15.00M,,4.044M,-38.64M,-49.59M,,,-12.50M,-12.50M,32.43M,-75.65M,-43.22M,,-0.121M,-55.84M,,904.36M,-52.12M,9.981M,862.22M,,32.43M,0.00,-12.50M,-75.65M,,AOR,Restated
2014-12,93.31M,,,,,15.42M,1.647M,17.07M,17.07M,14.11M,,,12.74M,0.025M,0.217M,43.72M,-62.15M,-8.035M,-62.58M,,,22.62M,-66.42M,78.95M,,-21.72M,,-21.72M,,-0.942M,-2.913M,-25.58M,,,87.50M,87.50M,34.80M,-125.54M,-90.74M,,-4.083M,-7.323M,,849.28M,46.05M,9.033M,904.36M,,34.80M,100.00M,-12.50M,-125.54M,,AOR,Restated
2014-09,105.86M,,,,,14.98M,1.541M,16.52M,16.52M,20.59M,-0.025M,,9.546M,-0.032M,2.15M,-6.553M,5.76M,18.85M,29.99M,,,-10.78M,37.26M,193.41M,,-26.37M,,-26.37M,-16.00M,-4.483M,-0.042M,-46.90M,,-12.55M,-29.55M,-42.10M,15.59M,-210.46M,-194.86M,,0.73M,-236.24M,,925.99M,-89.72M,12.99M,849.30M,,15.59M,-29.55M,-12.55M,-210.46M,,AOR,Restated
2014-06,107.09M,,,-0.60M,-0.60M,14.02M,1.321M,15.34M,15.34M,9.878M,7.725M,,11.41M,-0.03M,-0.197M,31.52M,-26.00M,-16.79M,-57.55M,,,4.656M,-64.17M,86.48M,,-19.42M,,-19.42M,-15.50M,11.13M,-3.502M,-27.30M,,-18.75M,29.55M,10.80M,20.02M,-102.72M,-82.70M,,0.974M,-70.92M,,939.00M,-11.74M,-1.268M,925.99M,,20.02M,29.55M,-18.75M,-102.72M,,AOR,Restated
2014-03,92.79M,,,-0.791M,-0.791M,13.69M,0.886M,14.57M,14.57M,-21.17M,,,9.596M,0.06M,-1.262M,-80.17M,1.286M,-5.128M,64.32M,,,45.89M,26.19M,125.85M,,-19.32M,,-19.32M,,-3.87M,0.051M,-23.14M,,-12.50M,,-12.50M,33.53M,-159.02M,-125.49M,,4.225M,-133.77M,,971.19M,-31.06M,-1.138M,939.00M,,33.53M,0.00,-12.50M,-159.02M,,AOR,Restated
2013-12,97.96M,,,1.391M,1.391M,15.01M,1.052M,16.06M,16.06M,6.60M,,,9.044M,0.002M,-0.291M,-19.30M,-24.35M,-0.226M,-35.55M,,,-7.862M,-87.28M,43.26M,,-24.48M,,-24.48M,,-9.876M,-1.407M,-35.76M,,-25.00M,,-25.00M,30.56M,-155.50M,-124.95M,,-4.629M,-154.58M,,1.118B,-147.08M,0.412M,971.19M,,30.56M,0.00,-25.00M,-155.50M,,AOR,Restated
2013-09,117.35M,,,-0.002M,-0.002M,13.91M,1.037M,14.95M,14.95M,-9.076M,0.00,,8.722M,0.288M,-2.609M,-61.96M,3.998M,6.943M,53.35M,,,21.81M,24.14M,154.93M,,-19.59M,,-19.59M,0.00,-2.475M,0.179M,-21.88M,,0.00,330.06M,330.06M,25.12M,-130.83M,-105.72M,,-2.112M,222.24M,,765.57M,355.28M,-2.987M,1.118B,,25.12M,485.06M,-155.00M,-130.83M,,AOR,Restated
2013-06,112.83M,,,-3.023M,-3.023M,14.32M,1.08M,15.40M,15.40M,1.416M,0.00,,10.52M,0.178M,-0.739M,68.20M,-33.69M,-1.293M,-4.708M,,,31.94M,60.45M,197.74M,,-17.84M,,-17.84M,0.00,-3.359M,-9.833M,-31.03M,,0.00,-64.82M,-64.82M,23.88M,-95.21M,-71.33M,,-3.838M,-139.98M,,739.73M,26.73M,-0.899M,765.57M,,23.88M,-64.82M,0.00,-95.21M,,AOR,Restated
2013-03,112.79M,,,0.743M,0.743M,14.45M,1.099M,15.55M,15.55M,-0.436M,,,13.23M,0.275M,0.939M,-102.65M,-5.693M,-6.717M,-1.117M,,,3.385M,-112.79M,30.64M,,-18.85M,,-18.85M,,-0.706M,0.169M,-19.39M,,0.00,34.75M,34.75M,21.65M,-90.34M,-68.69M,,2.437M,-31.50M,,755.49M,-20.25M,4.494M,739.73M,,21.65M,34.75M,0.00,-90.34M,,AOR,Restated
2012-12,95.28M,,,-0.179M,-0.179M,15.84M,1.116M,16.96M,16.96M,4.15M,,,10.16M,0.384M,-1.108M,53.12M,-41.02M,-14.63M,-72.47M,,,17.46M,-57.54M,71.88M,,-20.00M,,-20.00M,,-3.504M,-0.465M,-23.97M,,0.00,45.00M,45.00M,58.93M,-103.55M,-44.62M,,0.51M,0.888M,,704.57M,48.80M,2.123M,755.49M,,58.93M,45.00M,0.00,-103.55M,,AOR,Restated
2012-09,120.20M,,,0.98M,0.98M,16.39M,2.031M,18.42M,18.42M,-2.074M,,,11.22M,0.117M,2.123M,-83.26M,6.812M,0.636M,75.26M,,5.907M,30.96M,36.31M,191.41M,,-20.92M,,-20.92M,0.00,-2.805M,-0.508M,-24.23M,,0.00,-13.82M,-13.82M,5.803M,-85.02M,-79.22M,,-0.425M,-93.46M,,633.39M,73.73M,-2.542M,704.57M,,5.803M,,-13.82M,-85.02M,,AOR,Restated
2012-06,108.84M,,,-1.728M,-1.728M,13.38M,1.132M,14.51M,14.51M,0.43M,,,11.52M,0.105M,0.055M,21.62M,-20.29M,-14.95M,19.40M,,0.573M,-1.42M,4.934M,142.74M,,-17.96M,,-17.96M,-18.41M,-16.04M,-2.879M,-55.29M,,-6.25M,18.21M,11.96M,12.71M,-97.02M,-84.31M,,-2.588M,-74.94M,,616.73M,12.51M,4.145M,633.39M,,12.71M,,11.96M,-97.02M,,AOR,Restated
2012-03,107.77M,,,1.422M,1.422M,13.24M,0.816M,14.06M,14.06M,-0.607M,,,14.64M,0.449M,-0.792M,-64.03M,1.586M,6.377M,6.702M,,-3.941M,21.49M,-31.81M,105.29M,,-14.47M,,-14.47M,0.00,-6.258M,0.484M,-20.24M,,0.00,-24.39M,-24.39M,22.44M,-75.40M,-52.96M,,0.55M,-76.80M,,606.32M,8.242M,2.168M,616.73M,,22.44M,,-24.39M,-75.40M,,AOR,Restated
2011-12,90.23M,,,-0.919M,-0.919M,13.09M,0.90M,13.99M,13.99M,-0.098M,,,10.50M,-1.712M,-0.121M,38.24M,-30.57M,-39.10M,-44.34M,,-2.539M,17.76M,-60.54M,53.34M,,-7.756M,,-7.756M,-9.832M,-8.362M,3.415M,-22.54M,,-3.626M,-6.40M,-10.03M,19.38M,0.00,19.38M,,1.171M,10.52M,,564.46M,41.32M,0.538M,606.32M,,19.38M,,-10.03M,0.00,,AOR,Restated
2011-09,,,,0.212M,0.212M,12.94M,0.668M,13.60M,13.60M,2.048M,,,7.106M,23.64M,-298.60M,-66.54M,26.08M,11.34M,22.37M,,-37.32M,42.54M,-1.533M,145.85M,,-18.64M,,-18.64M,-0.725M,-19.16M,5.436M,-33.08M,,,186.86M,179.60M,5.173M,-267.28M,-262.11M,,-37.35M,-119.86M,,567.92M,-7.098M,3.633M,564.46M,,5.173M,181.40M,-1.805M,-267.28M,,AOR,Restated
2011-06,,,,-0.275M,-0.275M,12.73M,0.707M,13.44M,13.44M,7.626M,,,8.808M,-4.282M,98.71M,-5.036M,-15.14M,-4.856M,23.69M,,12.44M,-16.12M,-5.032M,120.90M,,-13.65M,,-13.65M,-0.30M,-13.60M,-9.48M,-37.03M,,,-125.29M,-125.29M,27.66M,0.00,27.66M,,-0.632M,-98.27M,,584.39M,-14.40M,-2.071M,567.92M,,27.66M,-119.97M,-5.324M,0.00,,AOR,Restated
2011-03,,,,-1.989M,-1.989M,12.40M,0.787M,13.18M,13.18M,12.54M,,,13.54M,-8.25M,102.68M,-62.41M,-16.80M,-7.057M,-3.193M,,27.28M,-1.729M,-63.90M,67.87M,,-16.03M,,-16.03M,-7.799M,0.00,-1.412M,-25.24M,,,119.90M,119.90M,28.06M,-238.00M,-209.94M,,-69.06M,-159.10M,,703.52M,-116.47M,-2.664M,584.39M,,28.06M,99.97M,19.93M,-238.00M,,AOR,Restated
2010-12,,,,-2.224M,-2.224M,11.58M,0.786M,12.36M,12.36M,13.02M,,,12.56M,-9.236M,96.82M,92.40M,-36.37M,-12.71M,-23.10M,,-2.398M,-3.062M,14.76M,138.16M,,-22.61M,,-22.61M,-0.30M,0.00,0.33M,-22.58M,,,-20.07M,-20.07M,76.81M,,76.81M,,9.157M,65.90M,,520.22M,181.47M,1.826M,703.52M,,76.81M,,-20.07M,,,AOR,Restated
2010-09,360.42M,,,0.327M,0.327M,11.88M,0.757M,12.64M,12.64M,20.34M,,,12.87M,12.18M,-252.81M,-57.41M,27.36M,0.753M,35.54M,,-62.90M,59.24M,2.575M,168.36M,,-17.94M,,-17.94M,0.00,0.591M,-1.504M,-18.85M,,-4.603M,24.54M,19.94M,38.68M,-254.86M,-216.18M,,-17.20M,-213.45M,,587.61M,-63.94M,-3.447M,520.22M,,38.68M,20.00M,-0.065M,-254.86M,,AOR,Restated
2010-06,-169.89M,,,1.753M,1.753M,11.10M,0.80M,11.90M,11.90M,0.591M,,2.507M,10.70M,-3.506M,252.53M,-24.35M,-22.71M,0.939M,-6.888M,,15.56M,-1.698M,-39.15M,67.84M,,-30.58M,,-30.58M,-1.80M,0.00,-0.886M,-33.27M,,-4.402M,-1.913M,-6.315M,17.37M,-115.90M,-98.52M,,3.428M,-101.41M,,654.73M,-66.84M,-0.274M,587.61M,,17.37M,-4.402M,-1.913M,-115.90M,,AOR,Restated
2010-03,91.11M,-2.043M,0.432M,-0.90M,-2.511M,10.98M,0.836M,11.82M,11.82M,9.357M,,-2.507M,7.402M,-4.036M,1.657M,0.221M,-18.27M,-0.898M,9.522M,,-12.65M,3.157M,-18.92M,93.92M,,-11.47M,,-11.47M,0.00,,4.455M,-7.013M,,,-6.965M,-6.965M,19.59M,-71.57M,-51.98M,,-2.945M,-61.88M,,625.50M,25.02M,4.209M,654.73M,,19.59M,,-6.965M,-71.57M,,AOR,Restated
2009-12,78.78M,2.043M,-0.432M,-0.448M,1.163M,11.01M,0.927M,11.94M,11.94M,-0.182M,,,8.845M,-1.43M,-0.304M,68.67M,-39.70M,-14.55M,-34.19M,,51.24M,-0.17M,31.31M,130.67M,,-7.554M,,-7.554M,,,-8.126M,-15.68M,,0.00,-0.062M,-0.062M,8.782M,-55.17M,-46.39M,,1.023M,-45.43M,,553.53M,69.56M,2.408M,625.50M,,8.782M,,-0.062M,-55.17M,,AOR,Restated
2009-09,97.06M,,,-1.393M,-1.393M,10.97M,0.95M,11.92M,11.92M,-17.59M,,,10.42M,0.17M,-0.35M,-95.21M,36.02M,7.614M,76.55M,2.629M,-13.02M,1.098M,15.67M,115.90M,,-14.63M,,-14.63M,0.00,-0.119M,-0.13M,-14.88M,,-7.987M,12.10M,4.11M,10.93M,-29.94M,-19.02M,2.264M,-0.485M,-13.13M,,471.72M,87.89M,-6.085M,553.53M,,10.93M,4.171M,-0.061M,-29.94M,,AOR,Restated
2009-06,85.35M,,,2.283M,2.283M,10.67M,0.859M,11.53M,11.53M,-3.049M,,,10.84M,-0.07M,0.235M,75.81M,-20.25M,3.786M,-31.24M,-0.289M,15.01M,-21.03M,21.79M,128.91M,,-18.60M,,-18.60M,-2.55M,-0.128M,0.442M,-20.83M,,,-10.06M,-10.06M,3.085M,0.00,3.085M,1.353M,-0.081M,-5.703M,,374.62M,102.38M,-5.272M,471.72M,,3.085M,-10.00M,-0.06M,0.00,,AOR,Restated
2009-03,67.81M,,,0.008M,8.042M,10.79M,0.861M,11.65M,11.65M,0.578M,,,10.61M,-1.429M,0.789M,-77.53M,-10.38M,-11.27M,6.801M,-2.34M,-29.92M,1.646M,-122.99M,-24.94M,,-10.87M,,-10.87M,,-2.258M,-6.951M,-20.08M,,-25.00M,2.191M,-22.81M,9.321M,0.00,9.321M,3.026M,-2.529M,-12.99M,,422.87M,-58.01M,9.754M,374.62M,,9.321M,-15.00M,-7.809M,0.00,,AOR,Restated
2008-12,68.80M,,,0.007M,0.035M,8.586M,0.931M,9.517M,9.517M,-1.944M,,,10.71M,-0.04M,-0.05M,10.93M,-44.96M,-3.626M,1.074M,,37.97M,-3.844M,-2.459M,84.56M,,-18.47M,,-18.47M,,,-3.65M,-22.12M,,25.00M,-0.057M,24.94M,4.491M,-71.54M,-67.05M,2.996M,-0.349M,-39.46M,,397.31M,22.98M,2.58M,422.87M,,4.491M,25.00M,-0.057M,-71.54M,,,Restated
2008-09,78.46M,,,0.293M,-2.384M,8.757M,0.999M,9.756M,9.756M,6.007M,,,-30.15M,-2.578M,46.99M,-68.70M,10.39M,-2.953M,30.43M,,3.016M,3.757M,-24.06M,82.04M,,-22.09M,0.248M,-21.84M,-0.801M,-10.28M,4.622M,-28.31M,,-25.90M,8.913M,-66.95M,65.68M,-85.12M,-19.44M,-24.27M,41.15M,-69.52M,,405.68M,-15.79M,7.411M,397.31M,,65.68M,-25.90M,8.913M,-85.12M,,,
2008-06,74.18M,,,-0.293M,-1.102M,8.107M,1.079M,9.186M,9.186M,-0.451M,,,30.15M,2.578M,-15.17M,67.16M,-35.09M,-20.40M,-28.10M,0.00,41.47M,-10.03M,15.00M,114.37M,,-20.77M,-0.068M,-20.84M,-0.105M,2.50M,-2.094M,-20.54M,,25.90M,-8.913M,-14.91M,12.44M,-61.88M,-49.43M,24.27M,-16.15M,-56.22M,,360.06M,37.62M,8.008M,405.68M,,12.44M,25.90M,-8.913M,-61.88M,,,Restated
2008-03,71.36M,,,,0.492M,7.935M,1.186M,9.121M,9.121M,-1.382M,,,,,10.26M,-50.92M,-6.684M,-3.608M,8.449M,,15.82M,2.214M,-34.74M,55.12M,,-21.97M,0.022M,-21.95M,-1.186M,,1.997M,-21.14M,,,,54.94M,26.27M,-73.36M,-47.09M,,5.216M,13.07M,,334.08M,47.05M,-21.07M,360.06M,,26.27M,,,-73.36M,,,
2007-12,55.48M,,,,0.317M,7.448M,1.198M,8.646M,8.646M,-1.077M,,,,,8.324M,74.45M,-24.67M,-9.843M,-0.319M,,5.328M,4.068M,49.01M,120.70M,,-16.59M,0.046M,-16.55M,,,-1.059M,-17.60M,,,,-23.05M,24.35M,-41.20M,-16.85M,,10.49M,-29.41M,,263.25M,73.69M,-2.851M,334.08M,,24.35M,,,-41.20M,,,
