,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2016-09,56.45M,,,,,19.77M,19.77M,4.727M,,0.00,5.094M,-5.434M,0.347M,7.00M,-2.717M,-2.595M,,,17.08M,18.77M,100.32M,2016-09,-12.09M,,-12.09M,0.00,0.00,-10.86M,,-22.95M,2016-09,,-70.00M,-70.00M,,-15.03M,-15.03M,11.26M,4.518M,-69.25M,,2016-09,8.122M,0.811M,150.07M,,,,-70.00M,-15.03M,,,,AOR,Restated
2016-06,67.21M,,,,,19.66M,19.66M,-1.004M,,1.118M,5.005M,-2.728M,0.954M,-2.143M,-1.55M,1.90M,,,22.21M,20.42M,110.88M,2016-06,-15.96M,,-15.96M,,0.00,-13.80M,,-29.76M,2016-06,,-64.00M,-64.00M,,-23.06M,-23.06M,11.79M,2.127M,-73.14M,,2016-06,7.985M,0.201M,141.14M,,,-49.00M,-15.00M,-23.06M,,,,AOR,Restated
2016-03,46.02M,,,,,18.55M,18.55M,2.52M,,1.11M,4.922M,-2.063M,0.586M,-21.50M,1.764M,-1.801M,,,-23.12M,-44.66M,26.99M,2016-03,-21.91M,,-21.91M,,0.00,-1.893M,,-23.80M,2016-03,,49.00M,49.00M,,-53.48M,-53.48M,5.76M,-3.842M,-2.562M,,2016-03,0.629M,3.33M,132.95M,,,49.00M,,-53.48M,,,,AOR,Restated
2015-12,44.39M,,,,,17.73M,17.73M,9.792M,0.465M,0.00,5.124M,-1.271M,-0.167M,0.882M,-7.731M,0.373M,,,9.356M,2.88M,79.33M,2015-12,-15.40M,,-15.40M,,-2.102M,-8.507M,,-26.01M,2015-12,0.00,30.50M,30.50M,,-92.92M,-92.92M,3.176M,-5.348M,-64.60M,,2015-12,-11.28M,-0.881M,128.99M,,,24.00M,6.50M,-92.92M,,,,AOR,Restated
2015-09,44.23M,,,,,18.28M,18.28M,-2.594M,0.967M,8.212M,5.118M,-1.298M,-0.722M,6.102M,-11.22M,0.151M,,,9.353M,4.391M,76.95M,2015-09,-20.64M,,-20.64M,,-7.817M,-26.34M,,-54.81M,2015-09,0.00,44.50M,44.50M,,-88.96M,-88.96M,3.571M,1.226M,-39.66M,,2015-09,-17.52M,-4.479M,141.15M,,,0.00,44.50M,-88.96M,,,,AOR,Restated
2015-06,56.94M,,,,,16.79M,16.79M,-2.62M,,0.00,4.99M,-1.033M,-0.208M,-5.688M,-5.881M,1.34M,,,14.09M,3.861M,80.17M,2015-06,-23.86M,,-23.86M,,0.00,-43.11M,,-66.97M,2015-06,100.10M,-51.50M,48.60M,,-86.45M,-86.45M,3.325M,0.996M,-33.53M,,2015-06,-20.33M,1.325M,163.15M,,,99.60M,-51.00M,-86.45M,,,,AOR,Restated
2015-03,46.58M,,,,,16.15M,16.15M,0.565M,,0.00,4.652M,-7.713M,0.625M,-51.44M,-10.14M,-4.332M,,,-9.593M,-75.50M,-14.64M,2015-03,-23.02M,,-23.02M,,-0.383M,-137.22M,,-160.62M,2015-03,150.00M,0.50M,150.50M,,-133.65M,-133.65M,12.32M,7.623M,36.80M,,2015-03,-138.46M,-1.913M,182.16M,,,150.50M,,-133.65M,,,,AOR,Restated
2014-12,25.95M,,,,,15.28M,15.28M,7.559M,0.00,0.00,4.636M,-6.497M,-0.081M,4.838M,-25.67M,-16.39M,3.375M,,13.95M,-19.90M,27.30M,2014-12,-18.02M,,-18.02M,0.00,-17.60M,0.00,,-35.62M,2014-12,0.00,174.00M,174.00M,,-149.19M,-149.19M,11.08M,6.448M,42.34M,,2014-12,34.02M,-4.223M,322.54M,,,174.00M,0.00,-149.19M,,,,AOR,Restated
2014-09,52.16M,,,,,15.52M,15.52M,-1.504M,0.00,0.00,4.643M,-1.621M,-0.189M,1.322M,-7.063M,26.10M,-0.425M,,3.427M,23.36M,93.26M,2014-09,-17.09M,,-17.09M,0.00,-6.355M,0.00,,-23.45M,2014-09,200.00M,-9.00M,191.00M,,-272.34M,-272.34M,3.654M,1.42M,-76.27M,,2014-09,-6.454M,-5.859M,292.74M,,,191.00M,0.00,-272.34M,,,,AOR,Restated
2014-06,57.24M,,0.018M,0.086M,0.104M,14.70M,14.70M,-4.39M,,,4.712M,-1.213M,2.749M,11.92M,-7.775M,5.367M,-4.262M,,4.912M,10.16M,81.76M,2014-06,-14.11M,,-14.11M,0.00,5.40M,0.00,,-8.712M,2014-06,-1.141M,69.00M,67.86M,,-126.35M,-126.35M,3.743M,0.196M,-54.55M,,2014-06,18.50M,0.344M,305.05M,,,69.00M,-1.141M,-126.35M,,,,AOR,Restated
2014-03,46.59M,,-0.018M,-0.086M,-0.104M,13.39M,13.39M,-0.835M,0.00,,4.108M,-6.747M,-2.639M,-21.71M,2.20M,-8.374M,1.312M,,3.227M,-23.34M,33.52M,2014-03,-11.47M,,-11.30M,-0.175M,-1.161M,0.00,,-12.63M,2014-03,-0.253M,38.00M,37.75M,,-70.28M,-70.28M,10.96M,6.608M,-14.96M,,2014-03,5.924M,1.221M,286.20M,,,38.00M,-0.253M,-70.28M,,,,AOR,Restated
2013-12,43.24M,,,,,13.47M,13.47M,3.057M,,0.00,4.274M,-6.72M,0.168M,-3.151M,8.869M,-8.022M,-4.717M,,14.58M,7.558M,65.42M,2013-12,-16.15M,,-16.15M,0.00,-0.822M,,,-16.98M,2013-12,149.75M,-120.20M,29.55M,,-84.85M,-84.85M,16.50M,5.744M,-33.06M,,2013-12,15.38M,-1.138M,279.06M,,,29.80M,-0.249M,-84.85M,,,,AOR,Restated
2013-09,45.69M,,-0.071M,-0.089M,-0.16M,13.77M,13.77M,0.272M,,,4.157M,-1.608M,-1.832M,11.37M,-5.277M,6.994M,0.31M,,1.686M,15.08M,78.10M,2013-09,-15.64M,,-15.28M,-0.365M,-10.10M,,,-25.74M,2013-09,-0.378M,29.70M,29.32M,,-76.58M,-76.58M,5.314M,1.608M,-40.33M,,2013-09,12.02M,1.776M,264.81M,,,29.70M,-0.378M,-76.58M,,,,AOR,Restated
2013-06,54.00M,0.00,0.044M,-0.025M,0.019M,13.84M,13.84M,-2.425M,,0.00,4.159M,-0.52M,3.639M,-0.439M,5.778M,7.278M,-1.894M,,1.495M,12.22M,81.43M,2013-06,-26.05M,,-26.05M,0.00,0.00,,,-26.05M,2013-06,-0.242M,107.50M,107.26M,,-142.56M,-142.56M,3.462M,0.52M,-31.32M,,2013-06,24.06M,-1.414M,251.01M,,,107.50M,-0.242M,-142.56M,,,,AOR,Restated
2013-03,44.87M,,0.027M,0.114M,0.141M,13.51M,13.51M,1.169M,,,3.949M,-5.31M,-1.361M,-23.72M,-10.72M,-10.65M,6.301M,,0.869M,-37.92M,21.06M,2013-03,-20.79M,,-20.13M,-0.659M,3.50M,,,-17.29M,2013-03,-0.238M,48.00M,47.76M,,-63.78M,-63.78M,12.96M,5.31M,2.252M,,2013-03,6.016M,-1.638M,228.36M,,,48.00M,-0.238M,-63.78M,,,,AOR,Restated
2012-12,43.36M,,-0.194M,-0.176M,-3.87M,13.92M,13.92M,-0.109M,,,4.268M,-4.494M,-1.092M,3.232M,0.87M,5.933M,3.394M,,1.737M,15.17M,68.92M,2012-12,-14.39M,0.00,-14.39M,0.00,-2.658M,,,-17.05M,2012-12,-0.235M,-20.00M,-20.24M,,-41.12M,-41.12M,7.01M,4.494M,-49.85M,,2012-12,2.027M,0.518M,223.99M,,,0.00,-20.24M,-41.12M,,,,AOR,Restated
2012-09,42.87M,,0.049M,0.088M,0.137M,12.80M,12.80M,-0.528M,,,4.012M,-4.236M,-0.224M,8.447M,-5.182M,10.93M,3.375M,,1.415M,18.99M,74.69M,2012-09,-18.93M,0.00,-18.93M,0.00,0.00,,,-18.93M,2012-09,-0.23M,-12.00M,-12.23M,,-36.15M,-36.15M,6.909M,4.236M,-37.23M,,2012-09,18.53M,1.10M,221.44M,,,-1.00M,-11.23M,-36.15M,,,,AOR,Restated
2012-06,51.32M,,0.062M,-0.088M,-0.026M,12.99M,12.99M,-1.795M,,,3.863M,-1.428M,2.435M,9.626M,-4.209M,-8.87M,0.329M,,2.037M,-1.087M,63.62M,2012-06,-14.86M,0.043M,-14.81M,0.00,0.00,,,-14.81M,2012-06,-0.228M,-10.00M,-10.23M,,-27.38M,-27.38M,4.475M,1.428M,-31.70M,,2012-06,17.10M,-0.781M,201.81M,,,-10.00M,-0.228M,-27.38M,,,,AOR,Restated
2012-03,40.73M,,0.083M,0.176M,0.259M,12.70M,12.70M,0.462M,,,3.809M,-4.518M,-0.709M,-17.82M,-8.687M,-10.71M,-3.165M,,1.699M,-38.68M,15.18M,2012-03,-10.35M,0.002M,-9.444M,-0.90M,3.00M,,,-7.344M,2012-03,-0.224M,11.00M,10.78M,,-27.63M,-27.63M,5.772M,4.518M,-6.564M,,2012-03,1.276M,0.32M,185.49M,,,11.00M,-0.224M,-27.63M,,,,AOR,Restated
2011-12,38.00M,,0.134M,,-3.037M,12.81M,12.81M,5.398M,,,3.999M,-1.998M,-0.191M,-8.628M,2.153M,4.961M,,,1.267M,-1.586M,54.40M,2011-12,-10.75M,0.002M,-9.748M,-1.00M,-44.16M,,,-54.90M,2011-12,-25.12M,,88.78M,,-89.49M,-89.49M,2.721M,1.998M,4.01M,,2011-12,3.50M,-1.104M,183.90M,,,89.00M,-0.22M,-89.49M,,,,AOR,Restated
2011-09,38.50M,,0.155M,,0.155M,12.04M,12.04M,-1.794M,,,3.996M,-3.155M,-0.391M,8.032M,-4.04M,23.14M,,,-1.588M,25.54M,75.21M,2011-09,-13.75M,0.005M,-13.75M,0.00,-2.60M,,,-16.35M,2011-09,21.20M,,21.20M,,-67.60M,-67.60M,6.713M,3.155M,-36.53M,,2011-09,22.33M,-0.228M,181.50M,,,21.42M,-0.218M,-67.60M,,,,AOR,Restated
2011-06,48.65M,,0.016M,,0.016M,11.88M,11.88M,-0.109M,,,3.536M,-3.836M,-0.017M,-9.78M,-6.589M,17.78M,,,1.471M,2.887M,63.09M,2011-06,-16.60M,0.136M,-16.46M,0.00,0.00,,,-16.46M,2011-06,5.758M,,5.758M,,-58.48M,-58.48M,7.198M,3.836M,-41.69M,,2011-06,4.943M,0.996M,159.40M,,,5.973M,-0.215M,-58.48M,,,,AOR,Restated
2011-03,36.61M,,0.31M,,0.31M,11.46M,11.46M,2.501M,,,3.965M,-7.018M,0.088M,-14.43M,0.897M,-15.95M,,,6.191M,-23.30M,25.22M,2011-03,-9.575M,0.082M,-9.493M,0.00,3.00M,,,-6.493M,2011-03,-2.697M,,-2.697M,,-39.94M,-39.94M,12.17M,7.018M,-23.45M,,2011-03,-4.725M,1.269M,153.46M,,,-2.487M,-0.21M,-39.94M,,,,AOR,Restated
2010-12,36.38M,,0.099M,,-2.611M,11.84M,11.84M,-0.908M,,,3.475M,-4.833M,-6.378M,0.002M,2.991M,11.53M,,,5.636M,6.953M,48.85M,2010-12,-10.41M,0.026M,-10.24M,-0.15M,0.00,,,-14.39M,2010-12,-7.343M,,2.80M,,-25.93M,-25.93M,6.81M,4.833M,-11.49M,,2010-12,22.97M,0.429M,156.92M,,,3.008M,-0.208M,-25.93M,,,,AOR,Restated
2010-09,34.72M,,0.058M,,0.058M,11.48M,11.48M,0.112M,,,3.185M,-3.921M,1.585M,9.628M,-9.483M,10.81M,,,-4.19M,6.769M,54.90M,2010-09,-11.31M,0.022M,-11.19M,-0.10M,0.00,,,-11.29M,2010-09,-8.169M,,-8.169M,,-33.43M,-33.43M,5.609M,3.921M,-32.07M,,2010-09,11.54M,3.998M,133.51M,,,-7.964M,-0.205M,-33.43M,,,,AOR,Restated
2010-06,37.20M,,0.35M,,0.35M,11.39M,11.39M,-0.881M,,,3.258M,-6.054M,-0.172M,0.849M,-0.798M,11.58M,,,-1.041M,10.58M,55.88M,2010-06,-8.964M,0.037M,-8.927M,0.00,0.00,,,-8.927M,2010-06,-23.62M,,-23.62M,,-26.00M,-26.00M,9.963M,6.054M,-33.60M,,2010-06,13.35M,-1.729M,117.98M,,,-23.42M,-0.20M,-26.00M,,,,AOR,Restated
2010-03,33.03M,,1.092M,,1.092M,11.25M,11.25M,0.769M,,,3.344M,-3.318M,0.101M,-17.39M,-12.18M,0.165M,,,1.965M,-27.44M,19.20M,2010-03,-8.617M,0.027M,-8.446M,-0.144M,0.00,,,-8.59M,2010-03,38.32M,,38.32M,,-57.73M,-57.73M,6.483M,3.318M,-9.604M,,2010-03,1.011M,-1.385M,106.35M,,,38.52M,-0.20M,-57.73M,,,,AOR,Restated
2009-12,30.96M,,0.15M,,-1.85M,12.56M,12.56M,3.27M,,,2.774M,-1.343M,-1.828M,-0.023M,14.37M,3.658M,,,-3.093M,14.91M,59.45M,2009-12,-14.80M,0.023M,-14.28M,-0.50M,0.766M,,,-14.01M,2009-12,-24.23M,,-24.23M,,-25.13M,-25.13M,3.262M,1.343M,-44.76M,,2009-12,0.682M,-0.682M,106.73M,,,,-24.23M,-25.13M,45.73M,2.773M,,AOR,Restated
2009-09,31.54M,,0.147M,,0.147M,12.51M,12.51M,-1.239M,,,2.908M,-2.496M,3.936M,5.969M,-1.269M,-7.002M,,,-0.374M,-2.676M,44.62M,2009-09,-15.00M,0.98M,-14.02M,0.00,-6.68M,,,-20.70M,2009-09,-9.093M,-3.782M,-12.88M,,-18.24M,-18.24M,6.216M,2.496M,-22.40M,,2009-09,1.516M,1.468M,106.73M,,,,-9.093M,-18.24M,,,,AOR,Restated
2009-06,33.67M,,1.686M,,1.686M,12.16M,12.16M,1.239M,,,3.011M,-1.355M,-0.487M,-1.029M,1.191M,11.60M,,,-3.424M,8.34M,58.26M,2009-06,-12.06M,0.03M,-12.03M,0.00,0.00,,,-12.03M,2009-06,-0.246M,-11.24M,-11.48M,,-24.74M,-24.74M,3.607M,1.194M,-31.42M,,2009-06,14.81M,2.641M,103.74M,,,,-0.246M,-24.74M,-3.337M,-1.105M,,AOR,Restated
2009-03,26.07M,,0.491M,,0.491M,12.56M,12.56M,,,,2.93M,,1.45M,-6.072M,-8.067M,-16.71M,,,-0.026M,-30.87M,12.62M,2009-03,-9.302M,1.046M,-8.256M,0.00,1.377M,,,-6.879M,2009-03,-0.19M,15.02M,14.83M,,-14.99M,-14.99M,3.281M,0.161M,3.285M,,2009-03,9.03M,-1.603M,86.30M,,,,-0.19M,-14.99M,3.337M,1.105M,,AOR,Restated
2008-12,23.56M,,0.835M,,2.314M,11.81M,11.81M,6.56M,,,10.50M,-6.237M,-3.145M,-5.266M,-4.331M,3.562M,,-2.877M,-2.956M,-11.87M,33.49M,2008-12,-24.43M,0.00,-15.78M,-8.649M,7.025M,,,-17.40M,2008-12,78.96M,,-12.60M,-14.86M,-9.913M,-24.77M,16.36M,0.331M,-20.68M,,2008-12,-4.59M,-1.128M,78.87M,,-14.86M,,-0.595M,-9.913M,49.55M,5.076M,,AOR,Restated
2008-09,25.70M,,-0.484M,,-0.484M,12.67M,12.67M,-0.926M,,,-5.598M,3.198M,2.625M,4.495M,-7.177M,5.661M,,2.877M,-1.37M,4.486M,41.67M,2008-09,-22.68M,,-31.20M,8.514M,,,,-22.68M,2008-09,0.357M,-85.95M,5.966M,14.86M,-20.10M,-5.242M,-9.174M,2.708M,-5.742M,,2008-09,13.25M,-3.927M,84.59M,,14.86M,,0.357M,-20.10M,-30.27M,-2.152M,,,
2008-06,39.36M,,0.484M,,0.484M,12.10M,12.10M,0.999M,,,5.598M,-3.198M,0.088M,4.048M,-6.483M,-1.754M,1.54M,18.19M,-0.048M,15.49M,70.93M,2008-06,-34.23M,0.00,-25.72M,-8.514M,7.533M,,,-26.70M,2008-06,-0.357M,85.95M,17.83M,-5.974M,-50.98M,-56.95M,9.174M,0.814M,-29.14M,,2008-06,15.09M,-0.049M,75.26M,,-5.974M,,-0.357M,-50.98M,30.27M,2.152M,,,Restated
2008-03,27.55M,,,,,11.40M,11.40M,-0.999M,,,,,0.886M,-13.54M,-0.477M,-7.539M,-1.54M,-18.19M,-0.333M,-41.62M,-2.789M,2008-03,-17.28M,,-17.28M,,-7.533M,,,-24.81M,2008-03,,,67.76M,5.974M,-51.36M,-45.38M,,2.384M,24.77M,,2008-03,-2.829M,2.689M,60.22M,,5.974M,,,-51.36M,,,,,
2007-12,25.53M,,,,,11.56M,11.56M,-0.864M,,,,,0.516M,-11.26M,-2.508M,10.60M,,14.31M,-7.954M,3.189M,39.93M,2007-12,63.96M,,63.96M,,,0.00,,-25.93M,2007-12,,,1.173M,3.286M,-18.70M,-15.42M,,1.723M,-12.52M,,2007-12,1.483M,0.37M,60.36M,,3.286M,,,-18.70M,,,,,
2007-09,25.80M,,,,,10.27M,10.27M,-3.864M,,,,,-0.897M,3.792M,-4.524M,-6.717M,,8.212M,-0.007M,0.756M,32.06M,2007-09,-17.93M,,-17.93M,,,0.00,,-17.93M,2007-09,,,-8.966M,5.669M,-7.151M,-1.482M,,3.474M,-6.974M,,2007-09,7.149M,1.77M,58.51M,,5.669M,,,-7.151M,,,,,
2007-06,21.66M,,,,,10.22M,10.22M,-2.507M,,,,,10.95M,-1.642M,4.885M,1.034M,,21.39M,-1.476M,24.19M,64.52M,2007-06,-21.23M,,-21.23M,,,0.00,,-21.23M,2007-06,,,4.597M,4.07M,-57.71M,-53.64M,,1.066M,-47.98M,,2007-06,-4.684M,0.335M,49.59M,,4.07M,,,-57.71M,,,,,
2007-03,21.03M,,,,,9.047M,9.047M,-1.839M,,,,,-0.472M,-16.43M,-3.083M,0.935M,,-11.45M,0.879M,-29.15M,-1.387M,2007-03,-91.04M,,-91.04M,,,35.00M,,-56.04M,2007-03,,,73.19M,7.916M,-34.82M,-26.90M,,3.004M,49.29M,,2007-03,-8.139M,0.41M,53.94M,,7.916M,,,-34.82M,,,,,
2006-12,24.67M,,,,0.00,8.079M,8.079M,-2.05M,,,,,2.871M,-0.09M,-2.551M,1.094M,,6.213M,0.176M,4.842M,38.41M,2006-12,-27.62M,,-27.62M,,,8.641M,,-18.98M,2006-12,,,-0.165M,2.079M,-11.88M,-9.80M,,0.66M,-9.305M,,2006-12,10.13M,0.587M,61.67M,,2.079M,,,-11.88M,,,,,
