,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2018-03,537.66M,537.66M,234.56M,303.10M,100.10M,60.93M,161.03M,29.02M,,9.274M,0.579M,-8.695M,,190.06M,113.04M,0.579M,9.274M,-8.695M,,-8.695M,104.35M,14.87M,89.48M,-0.025M,89.45M,20.80M,113.62M,,2018-03,1.02,1.02,,2018-03,1.01,,,2018-03,87.33M,2018-03,AOR,Restated
2017-12,506.12M,506.12M,233.65M,272.47M,90.54M,55.32M,145.86M,28.81M,,9.717M,1.595M,-8.122M,,174.67M,97.81M,1.595M,9.717M,-8.122M,,-8.122M,89.69M,51.40M,38.29M,-0.033M,38.26M,21.52M,99.40M,,2017-12,0.44,0.44,,2017-12,0.43,,,2017-12,87.42M,2017-12,AOR,Restated
2017-09,491.98M,491.98M,217.97M,274.00M,88.82M,57.19M,146.00M,27.58M,,9.764M,1.40M,-8.364M,,173.59M,100.41M,1.40M,9.764M,-8.364M,,-8.364M,92.05M,21.54M,70.51M,-0.003M,70.51M,20.73M,101.81M,,2017-09,0.81,0.81,,2017-09,0.79,,,2017-09,87.54M,2017-09,AOR,Restated
2017-06,508.94M,508.94M,216.22M,292.72M,87.69M,55.46M,143.15M,27.00M,,9.155M,1.176M,-7.979M,,170.15M,122.56M,1.176M,9.155M,-7.979M,,-7.979M,114.58M,29.18M,85.41M,-0.05M,85.36M,20.59M,123.74M,,2017-06,0.97,0.97,,2017-06,0.95,,,2017-06,88.00M,2017-06,AOR,Restated
2017-03,462.02M,462.02M,203.83M,258.19M,87.24M,52.91M,140.16M,25.79M,,8.589M,1.083M,-7.506M,,165.95M,92.24M,1.083M,8.589M,-7.506M,,-7.506M,84.74M,15.68M,69.06M,-0.039M,69.02M,20.31M,93.33M,,2017-03,0.78,0.78,,2017-03,0.77,,,2017-03,88.12M,2017-03,AOR,Restated
2016-12,443.00M,443.00M,202.37M,240.63M,80.60M,50.78M,131.38M,25.42M,,7.755M,1.057M,-6.698M,,156.80M,83.82M,1.057M,7.755M,-6.698M,,-6.698M,77.13M,24.76M,52.37M,-0.002M,52.37M,20.24M,84.88M,,2016-12,0.59,0.59,,2016-12,0.58,,,2016-12,89.28M,2016-12,AOR,Restated
2016-09,448.31M,448.31M,201.58M,246.73M,79.97M,52.63M,132.60M,25.67M,,7.786M,0.851M,-6.935M,,158.27M,88.46M,0.851M,7.786M,-6.935M,,-6.935M,81.52M,25.07M,56.45M,0.003M,56.46M,19.77M,89.31M,,2016-09,0.63,0.63,,2016-09,0.62,,,2016-09,89.89M,2016-09,AOR,Restated
2016-06,466.57M,466.57M,206.03M,260.54M,76.65M,54.32M,130.97M,25.41M,,8.204M,0.928M,-7.276M,,156.38M,104.16M,0.928M,8.204M,-7.276M,,-7.276M,96.89M,29.68M,67.21M,-0.004M,67.20M,19.66M,105.09M,,2016-06,0.75,0.75,,2016-06,0.74,,,2016-06,89.82M,2016-06,AOR,Restated
2016-03,417.55M,417.55M,190.01M,227.54M,79.83M,49.30M,129.12M,24.62M,,8.304M,0.82M,-7.484M,,153.74M,73.79M,0.82M,8.304M,-7.484M,,-7.484M,66.31M,20.28M,46.02M,-0.006M,46.02M,18.55M,74.61M,,2016-03,0.51,0.51,,2016-03,0.51,,,2016-03,89.92M,2016-03,AOR,Restated
2015-12,399.68M,399.68M,181.99M,217.70M,76.50M,48.79M,125.29M,25.50M,0.00,7.926M,0.80M,-7.126M,,150.78M,66.91M,0.80M,7.926M,-7.126M,0.00,-7.126M,59.78M,15.40M,44.39M,-0.041M,44.35M,17.73M,67.71M,,2015-12,0.49,0.49,,2015-12,0.48,,,2015-12,90.82M,2015-12,AOR,Restated
2015-09,406.39M,406.39M,182.11M,224.27M,73.11M,46.20M,119.30M,24.86M,-8.212M,7.75M,0.684M,-7.066M,,144.17M,80.11M,0.684M,7.75M,-7.066M,-8.212M,-7.066M,64.83M,20.60M,44.23M,-0.006M,44.22M,18.28M,72.58M,,2015-09,0.48,0.48,,2015-09,0.48,,,2015-09,91.94M,2015-09,AOR,Restated
2015-06,413.34M,413.34M,180.59M,232.76M,75.22M,44.92M,120.14M,24.32M,,7.259M,0.559M,-6.70M,,144.45M,88.30M,0.559M,7.259M,-6.70M,,-6.70M,81.60M,24.66M,56.94M,-0.026M,56.91M,16.79M,88.86M,,2015-06,0.61,0.61,,2015-06,0.60,,,2015-06,93.38M,2015-06,AOR,Restated
2015-03,382.48M,382.48M,166.93M,215.54M,75.14M,42.60M,117.74M,25.01M,,6.304M,0.425M,-5.879M,,142.74M,72.80M,0.425M,6.304M,-5.879M,,-5.879M,66.92M,20.35M,46.58M,0.016M,46.59M,16.15M,73.23M,,2015-03,0.49,0.49,,2015-03,0.49,,,2015-03,94.28M,2015-03,AOR,Restated
2014-12,351.96M,351.96M,169.79M,182.16M,77.24M,45.26M,122.50M,24.87M,0.00,5.396M,0.457M,-4.939M,,147.36M,34.80M,0.457M,5.396M,-4.939M,,-4.939M,29.86M,3.911M,25.95M,0.01M,25.96M,15.28M,35.26M,,2014-12,0.27,0.27,,2014-12,0.27,,,2014-12,95.45M,2014-12,AOR,Restated
2014-09,383.52M,383.52M,170.19M,213.34M,70.60M,45.70M,116.30M,24.85M,0.00,4.294M,0.313M,-3.981M,,141.15M,72.19M,0.313M,4.294M,-3.981M,,-3.981M,68.21M,16.04M,52.16M,-0.021M,52.14M,15.52M,72.50M,,2014-09,0.52,0.52,,2014-09,0.52,,,2014-09,99.49M,2014-09,AOR,Restated
2014-06,390.12M,390.12M,171.60M,218.52M,68.02M,41.85M,109.87M,25.43M,,2.965M,0.488M,-2.477M,,135.30M,83.22M,0.488M,2.965M,-2.477M,,-2.477M,80.74M,23.50M,57.24M,-0.026M,57.22M,14.70M,83.71M,,2014-06,0.56,0.56,,2014-06,0.55,,,2014-06,102.25M,2014-06,AOR,Restated
2014-03,360.20M,360.20M,158.11M,202.10M,67.85M,41.09M,108.94M,23.11M,,2.774M,0.471M,-2.303M,,132.05M,70.05M,0.471M,2.774M,-2.303M,,-2.303M,67.74M,21.15M,46.59M,-0.008M,46.58M,13.39M,70.52M,,2014-03,0.45,0.45,,2014-03,0.445,,,2014-03,103.23M,2014-03,AOR,Restated
2013-12,354.07M,354.07M,165.41M,188.66M,63.85M,40.99M,104.84M,22.50M,,1.909M,0.54M,-1.369M,,127.34M,61.33M,0.54M,1.909M,-1.369M,,-1.369M,59.96M,16.72M,43.24M,0.021M,43.26M,13.47M,61.87M,,2013-12,0.415,0.415,,2013-12,0.41,,,2013-12,103.90M,2013-12,AOR,Restated
2013-09,338.30M,338.30M,152.51M,185.78M,60.08M,38.65M,98.73M,21.57M,,1.463M,0.456M,-1.007M,,120.30M,65.48M,0.456M,1.463M,-1.007M,,-1.007M,64.48M,18.79M,45.69M,-0.004M,45.69M,13.77M,65.94M,,2013-09,0.435,0.435,,2013-09,0.43,,,2013-09,104.90M,2013-09,AOR,Restated
2013-06,352.58M,352.58M,154.88M,197.70M,57.90M,38.86M,96.75M,22.18M,,1.179M,0.444M,-0.735M,,118.94M,78.76M,0.444M,1.179M,-0.735M,,-0.735M,78.03M,24.03M,54.00M,-0.004M,54.00M,13.84M,79.21M,,2013-06,0.505,0.505,,2013-06,0.495,,,2013-06,107.34M,2013-06,AOR,Restated
2013-03,332.11M,332.11M,148.13M,183.97M,59.40M,41.63M,101.03M,21.76M,,0.835M,0.444M,-0.391M,,122.79M,61.19M,0.444M,0.835M,-0.391M,,-0.391M,60.80M,15.93M,44.87M,-0.007M,44.86M,13.51M,61.63M,,2013-03,0.41,0.41,,2013-03,0.405,,,2013-03,109.18M,2013-03,AOR,Restated
2012-12,319.54M,319.54M,150.49M,169.05M,52.72M,31.85M,84.57M,21.05M,,0.856M,0.513M,-0.343M,,105.62M,63.43M,0.513M,0.856M,-0.343M,,-0.343M,63.08M,19.72M,43.36M,-0.006M,43.35M,13.92M,63.94M,,2012-12,0.395,0.395,,2012-12,0.39,,,2012-12,109.44M,2012-12,AOR,Restated
2012-09,315.48M,315.48M,144.84M,170.64M,52.07M,35.31M,87.37M,20.35M,,0.873M,0.473M,-0.40M,,107.72M,62.91M,0.473M,0.873M,-0.40M,,-0.40M,62.51M,19.64M,42.87M,-0.02M,42.85M,12.80M,63.38M,,2012-09,0.39,0.39,,2012-09,0.38,,,2012-09,109.88M,2012-09,AOR,Restated
2012-06,335.65M,335.65M,150.96M,184.69M,54.54M,34.28M,88.81M,20.06M,,0.926M,0.48M,-0.446M,,108.87M,75.82M,0.48M,0.926M,-0.446M,,-0.446M,75.37M,24.05M,51.32M,-0.003M,51.32M,12.99M,76.30M,,2012-06,0.465,0.465,,2012-06,0.455,,,2012-06,110.16M,2012-06,AOR,Restated
2012-03,322.68M,322.68M,147.90M,174.77M,57.63M,36.18M,93.81M,20.56M,,1.193M,0.436M,-0.757M,,114.37M,60.41M,0.436M,1.193M,-0.757M,,-0.757M,59.65M,18.92M,40.73M,0.009M,40.74M,12.70M,60.84M,,2012-03,0.37,0.37,,2012-03,0.36,,,2012-03,110.42M,2012-03,AOR,Restated
2011-12,307.20M,307.20M,148.32M,158.88M,52.21M,31.17M,83.38M,20.20M,,1.109M,0.506M,-0.603M,,103.58M,55.30M,0.506M,1.109M,-0.603M,,-0.603M,54.70M,16.70M,38.00M,0.012M,38.01M,12.81M,55.80M,,2011-12,0.34,0.34,,2011-12,0.335,,,2011-12,111.47M,2011-12,AOR,Restated
2011-09,300.95M,300.95M,142.29M,158.67M,50.68M,32.48M,83.16M,19.41M,,0.928M,0.45M,-0.478M,,102.57M,56.10M,0.45M,0.928M,-0.478M,,-0.478M,55.62M,17.12M,38.50M,0.011M,38.51M,12.04M,56.55M,,2011-09,0.34,0.34,,2011-09,0.33,0.00,,2011-09,113.40M,2011-09,AOR,Restated
2011-06,317.86M,317.86M,143.83M,174.03M,50.97M,33.14M,84.11M,18.62M,,0.782M,0.419M,-0.363M,,102.74M,71.30M,0.419M,0.782M,-0.363M,,-0.363M,70.94M,22.28M,48.65M,0.003M,48.66M,11.88M,71.72M,,2011-06,0.425,0.425,,2011-06,0.415,0.00,,2011-06,114.55M,2011-06,AOR,Restated
2011-03,292.67M,292.67M,137.75M,154.92M,50.98M,32.60M,83.58M,17.81M,,0.728M,0.369M,-0.359M,,101.39M,53.53M,0.369M,0.728M,-0.359M,,-0.359M,53.17M,16.57M,36.61M,0.006M,36.61M,11.46M,53.90M,,2011-03,0.32,0.32,,2011-03,0.31,0.00,,2011-03,114.91M,2011-03,AOR,Restated
2010-12,283.76M,283.76M,138.99M,144.77M,46.56M,29.93M,76.49M,17.48M,,0.674M,0.336M,-0.338M,,93.97M,50.80M,0.336M,0.674M,-0.338M,,-0.338M,50.47M,14.09M,36.38M,-0.009M,36.37M,11.84M,51.14M,,2010-12,0.315,0.315,,2010-12,0.305,,,2010-12,114.91M,2010-12,AOR,Restated
2010-09,269.63M,269.63M,127.42M,142.21M,44.49M,30.70M,75.19M,17.20M,,0.687M,0.136M,-0.551M,,92.39M,49.81M,0.136M,0.687M,-0.551M,,-0.551M,49.26M,14.55M,34.72M,-0.021M,34.69M,11.48M,49.95M,,2010-09,0.30,0.30,,2010-09,0.295,0.00,,2010-09,115.24M,2010-09,AOR,Restated
2010-06,281.48M,281.48M,132.20M,149.28M,44.17M,33.08M,77.24M,17.21M,,0.689M,0.138M,-0.551M,,94.45M,54.84M,0.138M,0.689M,-0.551M,,-0.551M,54.28M,17.09M,37.20M,-0.004M,37.19M,11.39M,54.97M,,2010-06,0.32,0.32,,2010-06,0.31,0.00,,2010-06,115.49M,2010-06,AOR,Restated
2010-03,268.52M,268.52M,126.16M,142.36M,44.42M,32.81M,77.22M,16.71M,,0.365M,0.053M,-0.312M,,93.93M,48.43M,0.053M,0.365M,-0.312M,,-0.312M,48.12M,15.09M,33.03M,-0.002M,33.03M,11.25M,48.48M,,2010-03,0.285,0.285,,2010-03,0.275,0.00,,2010-03,116.07M,2010-03,AOR,Restated
2009-12,270.34M,270.34M,137.40M,132.93M,43.38M,29.39M,72.78M,16.01M,,0.381M,0.138M,-0.243M,,88.78M,44.15M,0.138M,0.381M,-0.243M,,-0.243M,43.90M,12.94M,30.96M,-0.01M,30.95M,12.56M,44.28M,,2009-12,0.265,0.265,,2009-12,0.255,0.00,,2009-12,117.01M,2009-12,AOR,Restated
2009-09,259.12M,259.12M,128.64M,130.48M,41.50M,28.18M,69.69M,16.58M,,0.436M,0.048M,-0.388M,,86.27M,44.20M,0.048M,0.436M,-0.388M,,-0.388M,43.82M,12.28M,31.54M,0.00,31.54M,12.51M,44.25M,,2009-09,0.27,0.27,,2009-09,0.26,0.00,,2009-09,117.31M,2009-09,AOR,Restated
2009-06,265.72M,265.72M,127.28M,138.44M,41.88M,30.79M,72.67M,16.59M,,0.459M,0.056M,-0.403M,,89.26M,49.18M,0.056M,0.459M,-0.403M,,-0.403M,48.77M,15.11M,33.67M,0.00,33.67M,12.16M,49.23M,,2009-06,0.285,0.285,,2009-06,0.275,0.00,,2009-06,117.82M,2009-06,AOR,Restated
2009-03,236.46M,236.46M,112.02M,124.43M,40.98M,29.07M,70.05M,15.94M,,0.64M,0.244M,-0.396M,,85.99M,38.44M,0.244M,0.64M,-0.396M,,-0.396M,38.04M,11.97M,26.07M,0.00,26.07M,12.56M,38.68M,,2009-03,0.22,0.22,,2009-03,0.215,0.00,,2009-03,118.34M,2009-03,AOR,Restated
2008-12,243.29M,243.29M,122.77M,120.52M,,,67.49M,17.18M,,,,,,84.67M,35.85M,,,,,,35.27M,11.71M,23.56M,,23.56M,11.81M,38.17M,,2008-12,0.20,0.20,,2008-12,0.195,0.00,,2008-12,118.90M,2008-12,AOR,Restated
2008-09,251.09M,251.09M,122.94M,128.15M,,,71.23M,17.92M,,,,,,89.15M,39.00M,,,,,,38.44M,12.74M,25.70M,,25.70M,12.67M,39.00M,,2008-09,0.215,0.215,,2008-09,0.21,0.00,,2008-09,118.95M,2008-09,,
2008-06,280.57M,280.57M,129.31M,151.26M,44.21M,29.88M,74.10M,18.27M,,1.213M,0.57M,-0.643M,,92.37M,58.89M,0.57M,1.213M,-0.643M,,-0.643M,58.25M,18.88M,39.36M,,39.36M,12.10M,59.46M,,2008-06,0.33,0.33,,2008-06,0.315,0.00,,2008-06,120.06M,2008-06,,Restated
2008-03,249.07M,249.07M,119.24M,129.84M,,,73.82M,17.30M,,,,,,91.12M,38.72M,,,,,,38.23M,10.68M,27.55M,,27.55M,11.40M,38.72M,,2008-03,0.225,0.225,,2008-03,0.215,0.00,,2008-03,121.73M,2008-03,,
2007-12,244.97M,244.97M,122.72M,122.24M,,,68.73M,16.77M,,,,,,85.50M,36.74M,,,,,,36.72M,11.20M,25.53M,,25.53M,11.56M,36.74M,,2007-12,0.21,0.21,,2007-12,0.20,0.00,,2007-12,122.36M,2007-12,,
2007-09,229.38M,229.38M,110.91M,118.48M,,,65.10M,17.28M,,,,,,82.38M,36.10M,,,,,,35.58M,9.787M,25.80M,,25.80M,10.27M,36.10M,,2007-09,0.21,0.21,,2007-09,0.2025,0.00,,2007-09,122.19M,2007-09,,
2007-06,237.05M,237.05M,122.82M,114.22M,,,64.44M,17.32M,,,,,,81.75M,32.47M,,,,,,31.63M,9.969M,21.66M,,21.66M,10.22M,32.47M,,2007-06,0.175,0.175,,2007-06,0.1675,0.00,,2007-06,123.40M,2007-06,,
2007-03,211.16M,211.16M,102.58M,108.58M,,,61.73M,15.97M,,,,,,77.70M,30.88M,,,,,,30.90M,9.878M,21.03M,,21.03M,9.047M,30.88M,,2007-03,0.17,0.17,,2007-03,0.1625,0.00,,2007-03,124.55M,2007-03,,
2006-12,192.21M,192.21M,95.94M,96.27M,,,52.85M,13.95M,,,,,,66.80M,29.47M,,,,,,30.32M,5.643M,24.67M,,24.67M,8.079M,29.47M,,2006-12,0.1975,0.1975,,2006-12,0.1875,0.00,,2006-12,125.04M,2006-12,,
2006-09,187.38M,187.38M,89.18M,98.20M,,,50.04M,13.70M,,,,,,63.74M,34.46M,,,,,,35.07M,10.12M,24.95M,,24.95M,7.528M,34.46M,,2006-09,0.20,0.20,,2006-09,0.19,0.00,,2006-09,124.84M,2006-09,,
2006-06,191.36M,191.36M,92.33M,99.04M,,,48.72M,13.29M,0.039M,,,,,62.01M,37.03M,,,,0.039M,,37.62M,11.88M,25.78M,,25.78M,7.551M,37.03M,,2006-06,0.205,0.205,,2006-06,0.195,0.00,,2006-06,125.87M,2006-06,,
2006-03,168.16M,168.16M,82.14M,86.02M,,,46.37M,12.68M,0.113M,,,,,59.05M,26.98M,,,,0.113M,,27.74M,9.584M,18.27M,,18.27M,6.658M,26.98M,,2006-03,0.1425,0.1425,,2006-03,0.1375,0.00,,2006-03,127.20M,2006-03,,
2005-12,166.97M,166.97M,82.05M,84.92M,,,44.10M,10.64M,,,,,,54.73M,30.18M,,,,,,31.03M,11.14M,20.03M,,20.03M,6.278M,30.18M,,2005-12,0.1575,0.1575,,2005-12,0.15,0.00,,2005-12,128.10M,2005-12,,
2005-09,158.07M,158.07M,76.74M,81.33M,,,40.66M,10.54M,,,,,,51.21M,30.12M,,,,,,31.04M,10.55M,20.60M,0.11M,20.60M,6.138M,30.12M,,2005-09,0.1575,0.1575,,2005-09,0.1525,0.00,,2005-09,129.93M,2005-09,,
2005-06,160.63M,160.63M,80.06M,80.58M,,,41.69M,9.995M,0.11M,,,,,51.69M,28.89M,,,,0.11M,,29.76M,9.934M,19.93M,,19.93M,6.137M,28.89M,,2005-06,0.1525,0.1525,,2005-06,0.1475,0.00,,2005-06,130.51M,2005-06,,
2005-03,152.43M,152.43M,76.35M,76.08M,,,40.17M,9.774M,0.101M,,,,,49.94M,26.14M,,,,0.101M,,26.64M,9.052M,17.69M,,17.69M,5.816M,26.14M,,2005-03,0.135,0.135,,2005-03,0.1275,0.00,,2005-03,131.82M,2005-03,,
2004-12,144.27M,144.27M,75.36M,68.91M,,,36.26M,9.373M,,,,,,45.64M,23.28M,,,,,,24.03M,7.172M,16.94M,,16.94M,5.237M,23.28M,,2004-12,0.1275,0.1275,,2004-12,0.1225,0.00,,2004-12,133.82M,2004-12,,
2004-09,134.11M,134.11M,63.05M,71.06M,,,33.83M,8.824M,,,,,,42.65M,28.40M,,,,,,29.23M,9.647M,19.70M,0.109M,19.70M,5.128M,28.40M,,2004-09,0.145,0.145,,2004-09,0.14,0.00,,2004-09,136.20M,2004-09,,
2004-06,137.38M,137.38M,65.38M,72.00M,,,32.26M,8.685M,0.073M,,,,,40.95M,31.06M,,,,0.073M,,31.81M,7.974M,23.91M,,23.91M,3.748M,31.06M,,2004-06,0.1725,0.1725,,2004-06,0.165,0.00,,2004-06,138.34M,2004-06,,
2004-03,133.42M,133.42M,66.37M,67.05M,,,33.22M,8.52M,0.133M,,,,,41.74M,25.30M,,,,0.133M,,26.03M,8.372M,17.79M,,17.79M,4.314M,25.30M,,2004-03,0.1275,0.1275,,2004-03,0.1225,0.00,,2004-03,139.10M,2004-03,,
2003-12,124.84M,124.84M,64.76M,60.08M,,,36.46M,8.302M,,,,,,44.76M,15.32M,,,,,,16.00M,3.748M,12.36M,,12.36M,4.64M,15.32M,,2003-12,0.09,0.09,,2003-12,0.085,0.00,,2003-12,139.03M,2003-12,,
2003-09,120.06M,120.06M,60.97M,59.09M,,,27.43M,8.376M,,,,,,35.80M,23.29M,,,,,,24.02M,8.047M,15.97M,,15.97M,4.412M,23.29M,,2003-09,0.115,0.115,,2003-09,0.11,0.00,,2003-09,137.63M,2003-09,,
2003-06,121.85M,121.85M,62.18M,59.67M,,,27.03M,8.304M,,,,,,35.34M,24.33M,,,,,,25.10M,8.408M,16.69M,,16.69M,4.933M,24.33M,,2003-06,0.1225,0.1225,,2003-06,0.1175,0.00,,2003-06,136.40M,2003-06,,
2003-03,109.25M,109.25M,57.78M,51.46M,,,26.68M,7.337M,,,,,,34.02M,17.45M,,,,,,18.14M,6.075M,12.06M,,12.06M,4.912M,17.45M,,2003-03,0.09,0.09,,2003-03,0.085,0.00,,2003-03,135.25M,2003-03,,
2002-12,105.90M,105.90M,56.89M,49.01M,,,23.43M,7.082M,,,,,,30.51M,18.50M,,,,,,19.33M,6.571M,12.76M,,12.76M,4.763M,18.50M,,2002-12,0.095,0.095,,2002-12,0.0925,0.00,,2002-12,133.96M,2002-12,,
2002-09,104.53M,104.53M,53.77M,50.76M,,,25.12M,7.339M,,,,,,32.46M,18.30M,,,,,,18.91M,6.431M,12.48M,,12.48M,5.679M,18.30M,,2002-09,0.0925,0.0925,,2002-09,0.09,0.00,,2002-09,133.20M,2002-09,,
2002-06,105.69M,105.69M,55.80M,49.90M,,,23.47M,7.726M,,,,,,31.20M,18.70M,,,,,,19.64M,6.678M,12.96M,,12.96M,5.008M,18.70M,,2002-06,0.095,0.095,,2002-06,0.0925,0.00,,2002-06,135.28M,2002-06,,
2002-03,96.55M,96.55M,53.49M,43.06M,,,25.56M,7.182M,,,,,-0.57M,32.18M,10.89M,,,,,,10.89M,3.701M,7.185M,,7.185M,4.674M,10.89M,,2002-03,0.0525,0.0525,,2002-03,0.0525,0.00,,2002-03,135.53M,2002-03,,
2001-12,95.13M,95.13M,51.60M,43.53M,,,22.23M,6.437M,,,,,,28.66M,14.87M,,,,,,15.36M,5.528M,9.828M,,9.828M,6.825M,14.87M,,2001-12,0.0725,0.0725,,2001-12,0.0725,0.00,,2001-12,135.66M,2001-12,,
2001-09,97.52M,97.52M,51.10M,46.42M,,,24.02M,6.956M,,,,,,30.97M,15.45M,,,,,,15.96M,5.747M,10.22M,,10.22M,5.082M,15.45M,,2001-09,0.0775,0.0775,,2001-09,0.075,0.00,,2001-09,131.83M,2001-09,,
2001-06,102.00M,102.00M,52.49M,49.51M,,,26.86M,7.608M,,,,,,34.46M,15.05M,,,,,,15.57M,5.606M,9.966M,,9.966M,5.173M,15.05M,,2001-06,0.075,0.075,,2001-06,0.0725,0.00,,2001-06,132.88M,2001-06,,
2001-03,91.43M,91.43M,42.41M,49.01M,,,25.25M,7.425M,,,,,-5.149M,32.68M,16.34M,,,,,,11.89M,4.28M,7.609M,,7.609M,5.149M,16.34M,,2001-03,0.0575,0.0575,,2001-03,0.055,0.00,,2001-03,132.33M,2001-03,,
