,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-10,7.05B,7.05B,2.123B,4.927B,2.539B,556.00M,460.00M,689.00M,,,-273.00M,167.00M,3.722B,1.205B,,,-273.00M,796.00M,-273.00M,1.728B,-285.00M,2.013B,,,4.00M,2.017B,1.604B,1.883B,678.00M,1.205B,1.49,,,1.185,1.49,1.48,,,1.177,1.48,1.355B,1.366B,0.46
2017-07,7.39B,7.39B,2.352B,5.038B,2.58B,549.00M,454.00M,-8.00M,,,-286.00M,65.00M,3.648B,1.39B,,,-286.00M,91.00M,-286.00M,1.195B,186.00M,1.009B,,,7.00M,1.016B,1.023B,2.026B,636.00M,1.39B,0.75,,,0.755,0.75,0.74,,,0.7449,0.74,1.362B,1.376B,0.46
2017-04,7.916B,7.916B,2.439B,5.477B,2.786B,553.00M,496.00M,107.00M,290.00M,,-562.00M,65.00M,3.90B,1.577B,,290.00M,-562.00M,420.00M,-562.00M,1.435B,271.00M,1.164B,,,-1.00M,1.163B,1.076B,2.443B,718.00M,1.725B,0.85,,,0.7866,0.85,0.84,,,0.7772,0.84,1.370B,1.382B,0.43
2017-01,7.283B,7.283B,2.268B,5.015B,2.388B,530.00M,497.00M,-407.00M,268.00M,88.00M,-180.00M,46.00M,3.461B,1.554B,88.00M,268.00M,-180.00M,-407.00M,-180.00M,967.00M,147.00M,820.00M,,,1.00M,821.00M,1.159B,1.965B,730.00M,1.235B,0.6,,,0.8462,0.6,0.59,,,0.8342,0.59,1.372B,1.383B,0.43
2016-10,7.345B,7.345B,2.326B,5.019B,2.416B,554.00M,500.00M,-75.00M,264.00M,91.00M,-173.00M,89.00M,3.559B,1.46B,91.00M,264.00M,-173.00M,-75.00M,-173.00M,1.212B,101.00M,1.111B,,,4.00M,1.115B,1.179B,2.208B,732.00M,1.476B,0.81,,,0.8564,0.81,0.8,,,0.8459,0.8,1.38B,1.392B,0.43
2016-07,7.166B,7.166B,2.261B,4.905B,2.428B,556.00M,487.00M,-228.00M,272.00M,93.00M,-179.00M,39.00M,3.51B,1.395B,93.00M,272.00M,-179.00M,-228.00M,-179.00M,988.00M,59.00M,929.00M,,,0.00,929.00M,1.143B,1.997B,737.00M,1.26B,0.67,,,0.8239,0.67,0.66,,,0.8123,0.66,1.392B,1.407B,0.43
2016-04,7.567B,7.567B,2.363B,5.204B,2.36B,575.00M,483.00M,-231.00M,481.00M,110.00M,-371.00M,-20.00M,3.398B,1.806B,110.00M,481.00M,-371.00M,-301.00M,-371.00M,1.134B,31.00M,1.103B,,,0.00,1.103B,1.328B,2.323B,708.00M,1.615B,0.79,,,0.9504,0.79,0.78,,,0.9387,0.78,1.401B,1.416B,0.38
2016-01,6.934B,6.934B,2.141B,4.793B,2.317B,546.00M,484.00M,-82.00M,275.00M,99.00M,-176.00M,9.00M,3.356B,1.437B,99.00M,275.00M,-176.00M,-82.00M,-176.00M,1.179B,84.00M,1.095B,,,0.00,1.095B,1.171B,2.169B,715.00M,1.454B,0.78,,,0.8342,0.78,0.77,,,0.8236,0.77,1.407B,1.422B,0.38
2015-10,7.058B,7.058B,2.182B,4.876B,2.343B,545.00M,483.00M,-148.00M,324.00M,107.00M,-217.00M,57.00M,3.428B,1.448B,107.00M,324.00M,-217.00M,-148.00M,-217.00M,1.083B,563.00M,520.00M,,,0.00,520.00M,608.80M,2.103B,696.00M,1.407B,0.37,,,0.4328,0.37,0.36,,,0.4222,0.36,1.413B,1.429B,0.38
2015-07,7.274B,7.274B,2.456B,4.818B,2.449B,558.00M,481.00M,-138.00M,306.00M,115.00M,-191.00M,61.00M,3.549B,1.269B,115.00M,306.00M,-191.00M,-138.00M,-191.00M,940.00M,120.00M,820.00M,,,,820.00M,940.34M,1.947B,701.00M,1.246B,0.58,,,0.6649,0.58,0.57,,,0.6538,0.57,1.418B,1.436B,0.38
2015-04,7.304B,7.304B,2.934B,4.37B,2.404B,528.00M,468.00M,-617.00M,298.00M,112.00M,-186.00M,-20.00M,3.38B,990.00M,112.00M,298.00M,-186.00M,-617.00M,-186.00M,187.00M,188.00M,-1.00M,,,,-1.00M,369.20M,1.162B,677.00M,485.00M,-0.0007,,,0.2596,-0.0007,-0.0007,,,0.2563,-0.0007,1.422B,1.440B,0.305
2015-01,4.318B,4.318B,1.128B,3.19B,1.487B,373.00M,89.00M,58.00M,176.00M,95.00M,-81.00M,24.00M,1.973B,1.217B,95.00M,176.00M,-81.00M,58.00M,-81.00M,1.194B,217.00M,977.00M,,,,977.00M,929.56M,1.576B,206.00M,1.37B,0.99,,,0.9418,0.99,0.98,,,0.9324,0.98,983.80M,995.80M,0.305
2014-10,4.366B,4.366B,1.142B,3.224B,1.507B,374.00M,89.00M,-161.00M,94.00M,86.00M,-8.00M,63.00M,2.033B,1.191B,86.00M,94.00M,-8.00M,-161.00M,-8.00M,1.022B,194.00M,828.00M,,,,828.00M,958.41M,1.324B,208.00M,1.116B,0.84,,,0.9728,0.84,0.83,,,0.9613,0.83,981.90M,993.00M,0.305
2014-07,4.273B,4.273B,1.105B,3.168B,1.506B,365.00M,87.00M,-71.00M,97.00M,92.00M,-5.00M,51.00M,2.009B,1.159B,92.00M,97.00M,-5.00M,-71.00M,-5.00M,1.083B,212.00M,871.00M,,,,871.00M,928.08M,1.395B,215.00M,1.18B,0.88,,,0.9375,0.88,0.87,,,0.9268,0.87,992.60M,1.005B,0.305
2014-04,4.565B,4.565B,1.171B,3.394B,1.539B,385.00M,86.00M,-834.00M,103.00M,93.00M,-10.00M,59.00M,2.069B,1.325B,93.00M,103.00M,-10.00M,-834.00M,-10.00M,481.00M,33.00M,448.00M,,,,448.00M,1.225B,799.00M,215.00M,584.00M,0.45,,,1.227,0.45,0.44,,,1.207,0.44,1.000B,1.012B,0.28
2014-01,4.163B,4.163B,1.05B,3.113B,1.454B,360.00M,89.00M,-185.00M,92.00M,67.00M,-25.00M,45.00M,1.948B,1.165B,67.00M,92.00M,-25.00M,-185.00M,-25.00M,955.00M,193.00M,762.00M,,,,762.00M,909.63M,1.261B,214.00M,1.047B,0.76,,,0.9079,0.76,0.75,,,0.8962,0.75,998.30M,1.01B,0.28
2013-10,4.194B,4.194B,1.09B,3.104B,1.438B,372.00M,88.00M,-24.00M,95.00M,62.00M,-33.00M,33.00M,1.931B,1.173B,62.00M,95.00M,-33.00M,-24.00M,-33.00M,1.116B,214.00M,902.00M,,,,902.00M,921.39M,1.424B,213.00M,1.211B,0.9,,,0.9194,0.9,0.89,,,0.9092,0.89,998.90M,1.009B,0.28
2013-07,4.083B,4.083B,1.022B,3.061B,1.416B,360.00M,86.00M,38.00M,90.00M,50.00M,-40.00M,44.00M,1.906B,1.155B,50.00M,90.00M,-40.00M,38.00M,-40.00M,1.153B,200.00M,953.00M,,,,953.00M,921.57M,1.451B,208.00M,1.243B,0.94,,,0.9089,0.94,0.93,,,0.8992,0.93,1.010B,1.021B,0.28
2013-04,4.46B,4.46B,1.134B,3.326B,1.475B,409.00M,84.00M,-167.00M,106.00M,58.00M,-48.00M,-11.00M,1.957B,1.369B,58.00M,106.00M,-48.00M,-167.00M,-48.00M,1.154B,185.00M,969.00M,,,,969.00M,1.109B,1.469B,209.00M,1.26B,0.96,0.0,,1.0979999999999999,0.96,0.95,0.0,,1.087,0.95,1.015B,1.024B,0.26
2013-01,4.027B,4.027B,999.00M,3.028B,1.401B,376.00M,88.00M,55.00M,98.00M,52.00M,-46.00M,17.00M,1.882B,1.146B,52.00M,98.00M,-46.00M,55.00M,-46.00M,1.155B,167.00M,988.00M,,,,988.00M,940.98M,1.467B,214.00M,1.253B,0.98,,,0.9336,0.98,0.97,,,0.9239,0.97,1.012B,1.021B,0.26
2012-10,4.095B,4.095B,1.02B,3.075B,1.417B,387.00M,79.00M,-251.00M,95.00M,71.00M,-24.00M,63.00M,1.946B,1.129B,71.00M,95.00M,-24.00M,-251.00M,-24.00M,854.00M,208.00M,646.00M,,,,646.00M,835.76M,1.148B,199.00M,949.00M,0.63,,,0.8161,0.63,0.63,,,0.8146,0.63,1.019B,1.028B,0.26
2012-07,4.008B,4.008B,973.00M,3.035B,1.405B,385.00M,80.00M,-5.00M,89.00M,56.00M,-33.00M,39.00M,1.909B,1.126B,56.00M,89.00M,-33.00M,-5.00M,-33.00M,1.088B,224.00M,864.00M,,,,864.00M,867.97M,1.374B,197.00M,1.177B,0.84,,,0.8439,0.84,0.83,,,0.8338,0.83,1.030B,1.037B,0.26
2012-04,4.297B,4.297B,1.047B,3.25B,1.462B,393.00M,80.00M,-190.00M,98.00M,52.00M,-46.00M,48.00M,1.983B,1.267B,52.00M,98.00M,-46.00M,-190.00M,-46.00M,1.031B,143.00M,888.00M,103.00M,,,991.00M,1.052B,1.329B,200.00M,1.129B,0.85,0.1,,1.0070000000000001,0.95,0.85,0.1,,1.006,0.94,1.040B,1.047B,0.2425
2012-01,3.918B,3.918B,931.00M,2.987B,1.371B,364.00M,84.00M,-15.00M,89.00M,56.00M,-33.00M,67.00M,1.886B,1.101B,56.00M,89.00M,-33.00M,-15.00M,-33.00M,1.053B,208.00M,845.00M,90.00M,,,935.00M,857.03M,1.351B,209.00M,1.142B,0.8,0.09,,0.8114,0.89,0.8,0.08,,0.8113,0.88,1.054B,1.060B,0.2425
2011-10,4.023B,4.023B,960.00M,3.063B,1.41B,371.00M,85.00M,-140.00M,85.00M,47.00M,-38.00M,-24.00M,1.842B,1.221B,47.00M,85.00M,-38.00M,-140.00M,-38.00M,1.043B,179.00M,864.00M,7.00M,,,871.00M,979.92M,1.341B,213.00M,1.128B,0.82,0.0,,0.9296,0.82,0.81,0.0,,0.919,0.82,1.058B,1.063B,0.2425
2011-07,3.946B,3.946B,951.00M,2.995B,1.38B,362.00M,86.00M,-117.00M,77.00M,45.00M,-32.00M,,1.828B,1.167B,45.00M,77.00M,-32.00M,-117.00M,-32.00M,1.018B,199.00M,819.00M,2.00M,,,821.00M,913.07M,1.306B,211.00M,1.095B,0.77,0.0,,0.8585,0.77,0.77,0.0,,0.8579,0.77,1.064B,1.070B,0.2425
2011-04,4.167B,4.167B,1.007B,3.16B,1.404B,385.00M,87.00M,-226.00M,118.00M,50.00M,-68.00M,92.00M,1.968B,1.192B,50.00M,118.00M,-68.00M,-226.00M,-68.00M,898.00M,137.00M,761.00M,15.00M,,,776.00M,952.52M,1.229B,213.00M,1.016B,0.72,0.01,,0.899,0.72,0.7,0.01,,0.8779,0.72,1.070B,1.076B,0.225
2011-01,3.857B,3.857B,934.00M,2.923B,1.367B,362.00M,86.00M,-13.00M,113.00M,43.00M,-70.00M,28.00M,1.843B,1.08B,43.00M,113.00M,-70.00M,-13.00M,-70.00M,997.00M,84.00M,913.00M,11.00M,,,924.00M,924.90M,1.299B,189.00M,1.11B,0.85,0.01,,0.8611,0.86,0.85,0.01,,0.861,0.86,1.074B,1.078B,0.225
2010-10,3.903B,3.903B,961.00M,2.942B,1.371B,373.00M,85.00M,-279.00M,113.00M,46.00M,-67.00M,15.00M,1.844B,1.098B,46.00M,113.00M,-67.00M,-279.00M,-67.00M,752.00M,186.00M,566.00M,,,,566.00M,775.99M,1.08B,215.00M,865.00M,0.52,0.0,,0.7144,0.52,0.52,0.0,,0.7138,0.52,1.080B,1.084B,0.225
2010-07,3.773B,3.773B,893.00M,2.88B,1.334B,370.00M,82.00M,-15.00M,107.00M,33.00M,-74.00M,-35.00M,1.751B,1.129B,33.00M,107.00M,-74.00M,-15.00M,-74.00M,1.04B,210.00M,830.00M,,,,830.00M,841.97M,1.334B,187.00M,1.147B,0.76,0.0,,0.771,0.76,0.76,0.0,,0.771,0.76,1.086B,1.090B,0.225
2010-04,4.196B,4.196B,1.012B,3.184B,650.00M,377.00M,,-385.00M,108.00M,-314.00M,-422.00M,116.00M,1.143B,2.041B,-314.00M,108.00M,-422.00M,-385.00M,-422.00M,1.234B,280.00M,954.00M,,,,954.00M,1.252B,1.548B,206.00M,1.342B,0.86,0.0,,1.131,0.86,0.86,0.0,,1.129,0.86,1.100B,1.105B,0.205
2010-01,3.851B,3.851B,912.00M,2.939B,1.476B,344.00M,,0.00,97.00M,153.00M,56.00M,112.00M,1.932B,1.007B,153.00M,97.00M,56.00M,,56.00M,1.063B,232.00M,831.00M,,,,831.00M,831.00M,1.354B,194.00M,1.16B,0.75,0.0,,0.75,0.75,0.75,0.0,,0.75,0.75,1.105B,1.109B,0.205
2009-10,3.838B,3.838B,922.00M,2.916B,1.523B,369.00M,,0.00,93.00M,39.00M,-54.00M,-140.00M,1.752B,1.164B,39.00M,93.00M,-54.00M,,-54.00M,1.11B,242.00M,868.00M,,,,868.00M,868.00M,1.387B,184.00M,1.203B,0.78,0.0,,0.78,0.78,0.78,0.0,,0.78,0.78,1.107B,1.109B,0.205
2009-07,3.933B,3.933B,966.00M,2.967B,1.812B,370.00M,,-62.00M,104.00M,38.00M,-66.00M,96.00M,2.278B,689.00M,38.00M,104.00M,-66.00M,-62.00M,-66.00M,561.00M,116.00M,445.00M,,,,445.00M,494.18M,853.00M,188.00M,665.00M,0.4,0.0,,0.4442,0.4,0.4,0.0,,0.4441,0.4,1.113B,1.115B,0.205
2009-04,3.829B,3.829B,932.00M,2.897B,1.762B,368.00M,,-655.00M,92.00M,40.00M,-52.00M,52.00M,2.182B,715.00M,40.00M,92.00M,-52.00M,-655.00M,-52.00M,8.00M,-95.00M,103.00M,,,,103.00M,528.75M,277.00M,177.00M,100.00M,0.1,0.0,,0.4804,0.1,0.1,0.0,,0.4797,0.1,1.119B,1.121B,0.1875
2009-01,3.494B,3.494B,848.00M,2.646B,1.257B,337.00M,,-72.00M,91.00M,54.00M,-37.00M,50.00M,1.644B,1.002B,54.00M,91.00M,-37.00M,-72.00M,-37.00M,893.00M,195.00M,698.00M,,,,698.00M,754.28M,1.154B,170.00M,984.00M,0.62,0.0,,0.6703,0.62,0.62,0.0,,0.6702,0.62,1.119B,1.122B,0.1875
2008-10,3.57B,3.57B,883.00M,2.687B,1.529B,326.00M,,-18.00M,90.00M,42.00M,-48.00M,143.00M,1.998B,689.00M,42.00M,90.00M,-48.00M,-18.00M,-48.00M,623.00M,76.00M,547.00M,,,,547.00M,562.80M,892.00M,179.00M,713.00M,0.49,0.0,,0.5041,0.49,0.48,0.0,,0.494,0.48,1.124B,1.131B,0.1875
2008-07,3.706B,3.706B,855.00M,2.851B,1.318B,324.00M,,-96.00M,99.00M,52.00M,-47.00M,151.00M,1.793B,1.058B,52.00M,99.00M,-47.00M,-96.00M,-47.00M,915.00M,192.00M,723.00M,,,,723.00M,798.86M,1.187B,173.00M,1.014B,0.64,0.0,,0.7074,0.64,0.64,0.0,,0.707,0.64,1.125B,1.132B,0.1875
2008-04,3.86B,3.86B,944.00M,2.916B,1.297B,348.00M,,174.00M,,,,,2.081B,835.00M,,,,174.00M,,1.004B,191.00M,813.00M,,,,813.00M,672.10M,504.00M,180.00M,324.00M,0.72,0.0,,0.5947,0.72,0.71,0.0,,0.5856,0.71,1.124B,1.132B,0.125
2008-01,3.405B,3.405B,870.00M,2.535B,1.207B,329.00M,,-873.00M,,,,,1.536B,999.00M,,,,-873.00M,,135.00M,58.00M,77.00M,,,,77.00M,644.45M,1.18B,181.00M,999.00M,0.07,0.0,,0.5736,0.07,0.07,0.0,,0.57,0.07,1.127B,1.135B,0.125
2007-10,3.124B,3.124B,840.00M,2.284B,1.107B,298.00M,,-72.00M,,,,,1.405B,879.00M,,,,-72.00M,,868.00M,202.00M,666.00M,,,,666.00M,721.24M,1.006B,127.00M,879.00M,0.59,0.0,,0.6388,0.59,0.58,0.0,,0.6281,0.58,1.133B,1.148B,0.125
2007-07,3.127B,3.127B,792.00M,2.335B,1.096B,300.00M,,-104.00M,,,,,1.396B,939.00M,,,,-104.00M,,879.00M,204.00M,675.00M,,,,675.00M,754.86M,1.088B,149.00M,939.00M,0.59,0.0,,0.6601,0.59,0.59,0.0,,0.6593,0.59,1.139B,1.153B,0.125
2007-04,3.28B,3.28B,866.00M,2.414B,1.095B,327.00M,,-178.00M,,,,,1.422B,992.00M,,,,-178.00M,,855.00M,43.00M,812.00M,,,,812.00M,981.05M,1.16B,168.00M,992.00M,0.71,0.0,,0.8575,0.71,0.7,0.0,,0.8459,0.7,1.146B,1.159B,0.11
2007-01,3.048B,3.048B,775.00M,2.273B,1.038B,293.00M,,-44.00M,,,,,1.331B,942.00M,,,,-44.00M,,934.00M,224.00M,710.00M,,,,710.00M,743.45M,1.08B,138.00M,942.00M,0.62,0.0,,0.6491,0.62,0.61,0.0,,0.6387,0.61,1.149B,1.164B,0.11
2006-10,3.075B,3.075B,795.00M,2.28B,1.036B,320.00M,,-50.00M,,,,,1.356B,924.00M,,,,-50.00M,,911.00M,230.00M,681.00M,,,,681.00M,718.38M,1.061B,137.00M,924.00M,0.59,0.0,,0.6225,0.59,0.59,0.0,,0.6222,0.59,1.149B,1.159B,0.11
2006-07,2.897B,2.897B,732.00M,2.165B,984.00M,299.00M,,-106.00M,,,,,1.283B,882.00M,,,,-106.00M,,815.00M,216.00M,599.00M,,,,599.00M,676.91M,1.022B,140.00M,882.00M,0.52,0.0,,0.5875,0.52,0.51,0.0,,0.5769,0.51,1.154B,1.165B,0.11
2006-04,3.067B,3.067B,768.00M,2.299B,974.00M,294.00M,,-66.00M,,,,,1.268B,1.031B,,,,-66.00M,,1.00B,260.00M,740.00M,,,,740.00M,788.84M,1.169B,138.00M,1.031B,0.62,0.0,,0.661,0.62,0.61,0.0,,0.6507,0.61,1.190B,1.201B,0.0963
2006-01,2.77B,2.77B,699.00M,2.071B,900.00M,280.00M,,-10.00M,,,,,1.18B,891.00M,,,,-10.00M,,905.00M,235.00M,670.00M,,,,670.00M,677.40M,1.028B,137.00M,891.00M,0.55,0.0,,0.5561,0.55,0.55,0.0,,0.5561,0.55,1.208B,1.223B,0.0963
2005-10,2.765B,2.765B,695.00M,2.07B,903.00M,275.00M,,-141.00M,,,,,1.178B,892.00M,,,,-141.00M,,765.00M,-52.00M,817.00M,,,,817.00M,901.60M,1.033B,141.00M,892.00M,0.68,0.0,,0.75,0.68,0.67,0.0,,0.7392,0.67,1.209B,1.222B,0.0963
2005-07,2.69B,2.69B,654.00M,2.036B,882.00M,263.00M,,-415.00M,,,,,1.145B,891.00M,,,,-415.00M,,492.00M,171.00M,321.00M,,,,321.00M,591.76M,1.019B,128.00M,891.00M,0.26,0.0,,0.4837,0.26,0.26,0.0,,0.4815,0.26,1.210B,1.223B,0.0963
2005-04,2.778B,2.778B,705.30M,2.073B,858.10M,247.60M,,-708.60M,,,,,1.106B,967.40M,,,,-708.60M,,279.40M,84.90M,194.50M,,,,194.50M,687.78M,1.091B,123.70M,967.40M,0.16,0.0,,0.5656,0.16,0.16,0.0,,0.5656,0.16,1.216B,1.216B,0.0838
2005-01,2.531B,2.531B,605.60M,1.925B,814.20M,241.00M,,-118.90M,,,,,1.055B,869.90M,,,,-118.90M,,764.00M,219.90M,544.10M,,,,544.10M,628.78M,985.50M,115.60M,869.90M,0.45,0.0,,0.5201,0.45,0.45,0.0,,0.5195,0.45,1.208B,1.219B,0.0838
2004-10,2.400B,2.400B,584.80M,1.815B,772.00M,232.70M,,-62.90M,,,,,1.005B,810.30M,,,,-62.90M,,754.50M,218.80M,535.70M,,,,535.70M,580.36M,923.90M,113.60M,810.30M,0.44,0.0,,0.4769,0.44,0.44,0.0,,0.4766,0.44,1.210B,1.221B,0.0838
2004-07,2.346B,2.346B,550.30M,1.796B,769.70M,229.70M,,-54.60M,,,,,999.40M,796.40M,,,,-54.60M,,746.10M,216.40M,529.70M,,,,529.70M,568.46M,906.50M,110.10M,796.40M,0.44,0.0,,0.4721,0.44,0.43,0.0,,0.4618,0.43,1.209B,1.221B,0.0838
2004-04,2.665B,2.665B,664.50M,2.001B,804.90M,244.10M,,-139.40M,,,,,1.049B,951.90M,,,,-139.40M,,814.20M,245.30M,568.90M,,,,568.90M,666.30M,1.062B,110.00M,951.90M,0.47,0.0,,0.5505,0.47,0.47,0.0,,0.5499,0.47,1.210B,1.219B,0.0725
2004-01,2.194B,2.194B,538.40M,1.655B,679.30M,207.10M,,-114.80M,,,,,886.40M,769.00M,,,,-114.80M,,657.80M,193.90M,463.90M,,,,463.90M,544.86M,884.80M,115.80M,769.00M,0.38,0.0,,0.4468,0.38,0.38,0.0,,0.4462,0.38,1.212B,1.222B,0.0725
2003-10,2.164B,2.164B,536.00M,1.628B,745.70M,202.40M,,2.90M,,,,,948.10M,679.70M,,,,2.90M,,681.50M,205.40M,476.10M,,,,476.10M,474.07M,796.80M,117.10M,679.70M,0.39,0.0,,0.3883,0.39,0.39,0.0,,0.3884,0.39,1.214B,1.228B,0.0725
2003-07,2.064B,2.064B,514.00M,1.550B,643.90M,197.90M,,-63.60M,,,,,841.80M,708.40M,,,,-63.60M,,643.40M,193.00M,450.40M,,,,450.40M,494.92M,808.10M,99.70M,708.40M,0.37,0.0,,0.4066,0.37,0.37,0.0,,0.4062,0.37,1.218B,1.230B,0.0725
