,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,4.063B,4.063B,1.742B,2.321B,,49.00M,371.00M,394.00M,10.00M,-384.00M,,1.202B,1.119B,10.00M,394.00M,-384.00M,178.00M,-384.00M,913.00M,226.00M,687.00M,,,94.00M,781.00M,732.12M,2.201B,894.00M,1.307B,,0.415,,,0.3891,0.415,,0.4025,,,0.3768,0.4025,,1.884B,1.901B,0.2775,,AOR,Restated
2018-03,3.857B,3.857B,1.59B,2.267B,,3.963B,366.00M,226.00M,18.00M,-208.00M,,1.222B,1.045B,18.00M,226.00M,-208.00M,4.247B,-208.00M,5.084B,1.25B,3.834B,,,597.00M,4.431B,1.436B,6.235B,925.00M,5.31B,,2.352,,,0.7619,2.352,,2.33,,,0.7515,2.33,,1.883B,1.897B,0.2775,,AOR,Restated
2017-12,3.988B,3.988B,1.935B,2.053B,,-469.00M,340.00M,387.00M,22.00M,-365.00M,,1.376B,677.00M,22.00M,387.00M,-365.00M,-230.00M,-365.00M,82.00M,-1.989B,2.071B,,,86.00M,2.157B,2.410B,321.00M,-148.00M,469.00M,,1.144,,,1.278,1.144,,1.138,,,1.271,1.138,,1.881B,1.896B,0.2456,,AOR,Restated
2017-09,4.808B,4.808B,1.993B,2.815B,,24.00M,397.00M,381.00M,20.00M,-361.00M,,1.467B,1.348B,20.00M,381.00M,-361.00M,233.00M,-361.00M,1.22B,364.00M,856.00M,,,-9.00M,847.00M,819.70M,2.739B,1.138B,1.601B,,0.45,,,0.4355,0.45,,0.4475,,,0.4331,0.4475,,1.878B,1.894B,0.2456,,AOR,Restated
2017-06,4.404B,4.404B,1.862B,2.542B,,22.00M,377.00M,430.00M,19.00M,-411.00M,,1.263B,1.279B,19.00M,430.00M,-411.00M,225.00M,-411.00M,1.093B,289.00M,804.00M,,,-11.00M,793.00M,774.50M,2.48B,957.00M,1.523B,,0.4225,,,0.4126,0.4225,,0.42,,,0.4102,0.42,,1.872B,1.887B,0.2456,,AOR,Restated
2017-03,3.972B,3.972B,1.737B,2.235B,,1.122B,354.00M,360.00M,19.00M,-341.00M,,973.00M,1.262B,19.00M,360.00M,-341.00M,1.345B,-341.00M,2.266B,675.00M,1.591B,,,-8.00M,1.583B,766.10M,3.317B,691.00M,2.626B,,0.8475,,,0.4107,0.8475,,0.8425,,,0.4082,0.8425,,1.87B,1.881B,0.2456,,AOR,Restated
2016-12,3.681B,3.681B,1.942B,1.739B,,272.00M,281.00M,-382.00M,21.00M,403.00M,,1.139B,600.00M,21.00M,-382.00M,403.00M,508.00M,403.00M,1.511B,500.00M,1.011B,,,-51.00M,960.00M,775.33M,2.02B,891.00M,1.129B,,0.515,,,0.4162,0.515,,0.515,,,0.4166,0.515,,1.869B,1.876B,0.2175,,AOR,Restated
2016-09,4.805B,4.805B,2.05B,2.755B,,2.00M,374.00M,369.00M,23.00M,-346.00M,,1.357B,1.398B,23.00M,369.00M,-346.00M,155.00M,-346.00M,1.207B,418.00M,789.00M,0.00,,-36.00M,753.00M,745.85M,2.646B,1.07B,1.576B,,0.4063,0.00,,0.4025,0.4075,,0.4040,0.00,,0.4001,0.405,,1.853B,1.864B,0.2175,,AOR,Restated
2016-06,3.817B,3.817B,1.803B,2.014B,,269.00M,355.00M,602.00M,20.00M,-582.00M,,1.097B,917.00M,20.00M,602.00M,-582.00M,428.00M,-582.00M,763.00M,219.00M,544.00M,,,-4.00M,540.00M,340.49M,2.181B,816.00M,1.365B,,0.2925,,,0.1844,0.2925,,0.29,,,0.1826,0.29,,1.845B,1.858B,0.2175,,AOR,Restated
2016-03,3.835B,3.835B,1.727B,2.108B,,21.00M,333.00M,509.00M,18.00M,-491.00M,,870.00M,1.238B,18.00M,509.00M,-491.00M,149.00M,-491.00M,896.00M,242.00M,654.00M,,,-1.00M,653.00M,626.72M,2.056B,651.00M,1.405B,,0.355,,,0.3407,0.355,,0.3525,,,0.3383,0.3525,,1.842B,1.854B,0.2175,,AOR,Restated
2015-12,4.069B,4.069B,2.092B,1.977B,8.00M,-38.00M,343.00M,299.00M,21.00M,-278.00M,,1.092B,885.00M,21.00M,299.00M,-278.00M,150.00M,-278.00M,757.00M,247.00M,510.00M,,,-3.00M,507.00M,532.60M,1.897B,841.00M,1.056B,,0.2749,,,0.2889,0.2749,,0.2749,,,0.2888,0.2749,,1.840B,1.848B,0.1925,,AOR,Restated
2015-09,4.954B,4.954B,2.291B,2.663B,24.00M,4.00M,377.00M,311.00M,22.00M,-289.00M,,1.175B,1.488B,22.00M,311.00M,-289.00M,103.00M,-289.00M,1.302B,421.00M,881.00M,,,-2.00M,879.00M,876.28M,2.513B,900.00M,1.613B,,0.485,,,0.4835,0.485,,0.4825,,,0.4810,0.4825,,1.816B,1.824B,0.1925,,AOR,Restated
2015-06,4.358B,4.358B,2.116B,2.242B,,12.00M,350.00M,280.00M,22.00M,-258.00M,,1.087B,1.155B,22.00M,280.00M,-258.00M,97.00M,-258.00M,994.00M,274.00M,720.00M,,,-4.00M,716.00M,707.36M,2.099B,825.00M,1.274B,,0.4025,,,0.3977,0.4025,,0.3975,,,0.3927,0.3975,,1.782B,1.797B,0.1925,,AOR,Restated
2015-03,4.104B,4.104B,2.098B,2.006B,,29.00M,326.00M,321.00M,21.00M,-300.00M,,873.00M,1.133B,21.00M,321.00M,-300.00M,103.00M,-300.00M,936.00M,286.00M,650.00M,,,0.00,650.00M,629.99M,1.894B,637.00M,1.257B,,0.3675,,,0.3562,0.3675,,0.3625,,,0.3514,0.3625,,1.769B,1.795B,0.1925,,AOR,Restated
2014-12,4.664B,4.664B,2.118B,2.546B,5.00M,-58.00M,350.00M,321.00M,20.00M,-301.00M,,1.042B,1.504B,20.00M,321.00M,-301.00M,134.00M,-301.00M,1.337B,453.00M,884.00M,,,0.00,884.00M,852.92M,2.436B,778.00M,1.658B,,0.5075,,,0.4897,0.5075,,0.50,,,0.4824,0.50,,1.742B,1.766B,0.1812,,AOR,Restated
2014-09,4.654B,4.654B,2.338B,2.316B,4.00M,15.00M,371.00M,316.00M,18.00M,-298.00M,,1.153B,1.163B,18.00M,316.00M,-298.00M,78.00M,-298.00M,943.00M,279.00M,664.00M,,,-4.00M,660.00M,649.50M,2.131B,872.00M,1.259B,,0.38,,,0.3740,0.38,,0.375,,,0.3690,0.375,,1.738B,1.762B,0.1812,,AOR,Restated
2014-06,4.029B,4.029B,2.141B,1.888B,,39.00M,323.00M,305.00M,21.00M,-284.00M,,937.00M,951.00M,21.00M,305.00M,-284.00M,117.00M,-284.00M,784.00M,292.00M,492.00M,,,0.00,492.00M,467.43M,1.784B,695.00M,1.089B,,0.2825,,,0.2684,0.2825,,0.28,,,0.2660,0.28,,1.736B,1.760B,0.1812,,AOR,Restated
2014-03,3.674B,3.674B,2.153B,1.521B,,59.00M,320.00M,319.00M,22.00M,-297.00M,,783.00M,738.00M,22.00M,319.00M,-297.00M,142.00M,-297.00M,583.00M,153.00M,430.00M,,,0.00,430.00M,370.80M,1.453B,551.00M,902.00M,,0.2475,,,0.2134,0.2475,,0.245,,,0.2112,0.245,,1.734B,1.753B,0.1812,,AOR,Restated
2013-12,3.63B,3.63B,2.048B,1.582B,11.00M,16.00M,302.00M,296.00M,20.00M,-276.00M,,942.00M,640.00M,20.00M,296.00M,-276.00M,87.00M,-276.00M,451.00M,124.00M,327.00M,0.00,,0.00,327.00M,315.40M,1.483B,736.00M,747.00M,,0.1879,0.00,,0.1812,0.1879,,0.1879,0.00,,0.1812,0.1875,,1.721B,1.734B,0.165,,AOR,Restated
2013-09,4.394B,4.394B,2.256B,2.138B,0.00,32.00M,348.00M,288.00M,20.00M,-268.00M,,953.00M,1.185B,20.00M,288.00M,-268.00M,78.00M,-268.00M,995.00M,297.00M,698.00M,0.00,,0.00,698.00M,675.60M,1.973B,690.00M,1.283B,,0.4125,0.00,,0.3993,0.4125,,0.41,0.00,,0.3969,0.41,,1.695B,1.707B,0.165,,AOR,Restated
2013-06,3.833B,3.833B,2.026B,1.807B,0.00,21.00M,326.00M,266.00M,19.00M,-247.00M,,826.00M,981.00M,19.00M,266.00M,-247.00M,87.00M,-247.00M,821.00M,211.00M,610.00M,0.00,,,610.00M,594.46M,1.682B,595.00M,1.087B,,0.3625,0.00,,0.3533,0.3625,,0.36,0.00,,0.3509,0.36,,1.687B,1.699B,0.165,,AOR,Restated
2013-03,3.279B,3.279B,1.821B,1.458B,300.00M,-262.00M,305.00M,272.00M,19.00M,-253.00M,,724.00M,734.00M,19.00M,272.00M,-253.00M,-296.00M,-253.00M,185.00M,144.00M,41.00M,231.00M,,,272.00M,254.85M,957.00M,500.00M,457.00M,,0.025,0.1375,,0.1520,0.1625,,0.025,0.135,,0.1512,0.16,,1.684B,1.695B,0.165,,AOR,Restated
2012-12,3.375B,3.375B,1.986B,1.389B,16.00M,36.00M,261.00M,243.00M,24.00M,-219.00M,,658.00M,731.00M,24.00M,243.00M,-219.00M,56.00M,-219.00M,568.00M,139.00M,429.00M,0.00,,,429.00M,401.81M,1.263B,452.00M,811.00M,,0.2529,0.00,,0.2368,0.2529,,0.2529,0.00,,0.2369,0.2529,,1.68B,1.691B,0.15,,AOR,Restated
2012-09,3.843B,3.843B,2.302B,1.541B,0.00,74.00M,332.00M,259.00M,20.00M,-239.00M,,799.00M,742.00M,20.00M,259.00M,-239.00M,66.00M,-239.00M,569.00M,154.00M,415.00M,0.00,,,415.00M,360.98M,1.349B,521.00M,828.00M,,0.2475,0.00,,0.2153,0.2475,,0.245,0.00,,0.2130,0.245,,1.677B,1.687B,0.15,,AOR,Restated
2012-06,3.667B,3.667B,2.031B,1.636B,0.00,75.00M,301.00M,270.00M,22.00M,-248.00M,,636.00M,1.00B,22.00M,270.00M,-248.00M,98.00M,-248.00M,850.00M,243.00M,607.00M,0.00,,,607.00M,553.75M,1.528B,408.00M,1.12B,,0.365,0.00,,0.3329,0.365,,0.3625,0.00,,0.3306,0.3625,,1.66B,1.669B,0.15,,AOR,Restated
2012-03,3.371B,3.371B,1.957B,1.414B,0.00,13.00M,291.00M,265.00M,20.00M,-245.00M,,611.00M,803.00M,20.00M,265.00M,-245.00M,60.00M,-245.00M,618.00M,157.00M,461.00M,0.00,,,461.00M,451.25M,1.279B,396.00M,883.00M,,0.28,0.00,,0.2741,0.28,,0.2775,0.00,,0.2716,0.2775,,1.649B,1.659B,0.15,,AOR,Restated
2011-12,3.865B,3.865B,4.386B,-521.00M,,-6.00M,345.00M,260.00M,21.00M,-239.00M,,-1.536B,1.015B,21.00M,260.00M,-239.00M,147.00M,-239.00M,923.00M,256.00M,667.00M,,,,667.00M,671.34M,1.586B,403.00M,1.183B,,0.2325,0.00,,0.2351,0.2325,,0.2325,0.00,,0.2351,0.2325,,1.665B,1.675B,0.1375,,AOR,Restated
2011-09,4.382B,4.382B,1.911B,2.471B,,-130.00M,316.00M,265.00M,21.00M,-244.00M,748.00M,1.56B,911.00M,21.00M,265.00M,-244.00M,-102.00M,-244.00M,565.00M,158.00M,407.00M,,,,407.00M,500.60M,1.405B,575.00M,830.00M,,0.245,0.00,,0.3011,0.245,,0.2425,0.00,,0.2982,0.2425,,1.670B,1.679B,0.1375,,AOR,Restated
2011-06,3.961B,3.961B,1.557B,2.404B,,-9.00M,267.00M,256.00M,16.00M,-240.00M,771.00M,1.446B,958.00M,16.00M,256.00M,-240.00M,9.00M,-240.00M,727.00M,147.00M,580.00M,,,,580.00M,587.20M,1.452B,469.00M,983.00M,,0.3475,0.00,,0.3518,0.3475,,0.345,0.00,,0.3493,0.345,,1.668B,1.677B,0.1375,,AOR,Restated
2011-03,3.134B,3.134B,1.404B,1.73B,,31.00M,278.00M,254.00M,21.00M,-233.00M,693.00M,1.302B,428.00M,21.00M,254.00M,-233.00M,41.00M,-233.00M,236.00M,-32.00M,268.00M,,,,268.00M,241.34M,892.00M,402.00M,490.00M,,0.16,0.00,,0.1440,0.16,,0.16,0.00,,0.1441,0.16,,1.663B,1.674B,0.1375,,AOR,Restated
2010-12,3.413B,3.413B,4.324B,-911.00M,,9.00M,281.00M,247.00M,22.00M,-225.00M,,-1.384B,473.00M,22.00M,247.00M,-225.00M,15.00M,-225.00M,263.00M,0.00,263.00M,,,,263.00M,254.00M,1.039B,529.00M,510.00M,,0.1575,,,0.1521,0.1575,,0.1575,,,0.1521,0.1575,,1.656B,1.669B,0.125,,AOR,Restated
2010-09,4.691B,4.691B,1.991B,2.70B,,27.00M,332.00M,247.00M,22.00M,-225.00M,712.00M,1.575B,1.125B,22.00M,247.00M,-225.00M,60.00M,-225.00M,960.00M,240.00M,720.00M,,,,720.00M,699.75M,1.811B,604.00M,1.207B,,0.4375,0.00,,0.4252,0.4375,,0.435,0.00,,0.4228,0.435,,1.644B,1.655B,0.125,,AOR,Restated
2010-06,3.591B,3.591B,1.455B,2.136B,,-11.00M,289.00M,247.00M,28.00M,-219.00M,752.00M,1.427B,709.00M,28.00M,247.00M,-219.00M,4.00M,-219.00M,494.00M,77.00M,417.00M,,,,417.00M,426.29M,1.195B,454.00M,741.00M,,0.255,0.00,,0.2607,0.255,,0.2525,0.00,,0.2581,0.2525,,1.636B,1.646B,0.125,,AOR,Restated
2010-03,3.622B,3.622B,1.349B,2.273B,,44.00M,261.00M,238.00M,18.00M,-220.00M,659.00M,1.334B,939.00M,18.00M,238.00M,-220.00M,51.00M,-220.00M,770.00M,214.00M,556.00M,,,,556.00M,524.23M,1.494B,486.00M,1.008B,,0.34,0.00,,0.3205,0.34,,0.34,0.00,,0.3206,0.34,,1.63B,1.640B,0.125,,AOR,Restated
2009-12,3.655B,3.655B,1.632B,2.023B,,41.00M,301.00M,218.00M,20.00M,-198.00M,677.00M,1.466B,557.00M,20.00M,218.00M,-198.00M,44.00M,-198.00M,403.00M,55.00M,348.00M,,,,348.00M,312.60M,1.162B,541.00M,621.00M,,0.2125,0.00,,0.1907,0.2125,,0.2125,0.00,,0.1909,0.2125,,1.626B,1.638B,0.1181,,AOR,Restated
2009-09,4.473B,4.473B,2.164B,2.309B,,26.00M,345.00M,204.00M,15.00M,-189.00M,682.00M,1.46B,849.00M,15.00M,204.00M,-189.00M,55.00M,-189.00M,715.00M,182.00M,533.00M,,,,533.00M,513.62M,1.419B,500.00M,919.00M,,0.33,0.00,,0.3180,0.33,,0.3275,0.00,,0.3156,0.3275,,1.620B,1.632B,0.1181,,AOR,Restated
2009-06,3.811B,3.811B,1.797B,2.014B,,21.00M,302.00M,215.00M,17.00M,-198.00M,672.00M,1.409B,605.00M,17.00M,215.00M,-198.00M,34.00M,-198.00M,441.00M,71.00M,370.00M,,,,370.00M,352.38M,1.15B,494.00M,656.00M,,0.23,0.00,,0.2191,0.23,,0.2275,0.00,,0.2167,0.2275,,1.615B,1.626B,0.1181,,AOR,Restated
2009-03,3.705B,3.705B,1.811B,1.894B,,-23.00M,284.00M,211.00M,27.00M,-184.00M,618.00M,1.311B,583.00M,27.00M,211.00M,-184.00M,-16.00M,-184.00M,383.00M,19.00M,364.00M,,,,364.00M,385.86M,1.063B,469.00M,594.00M,,0.225,0.00,,0.2386,0.225,,0.225,0.00,,0.2385,0.225,,1.609B,1.619B,0.1181,,AOR,Restated
2008-12,4.003B,4.003B,1.994B,2.009B,,-69.00M,285.00M,,,,601.00M,1.303B,706.00M,,,,24.00M,,515.00M,108.00M,407.00M,,,,407.00M,461.53M,1.401B,618.00M,783.00M,,0.255,0.00,,0.2890,0.255,,0.2525,0.00,,0.2863,0.2525,,1.604B,1.613B,0.1112,,,Restated
2008-09,5.387B,5.387B,2.728B,2.659B,,-20.00M,342.00M,,,,633.00M,1.323B,1.336B,,,,-20.00M,,1.135B,361.00M,774.00M,,,,774.00M,787.64M,1.684B,232.00M,1.336B,,0.4825,0.00,,0.4910,0.4825,,0.48,0.00,,0.4885,0.48,,1.602B,1.612B,0.1112,,,
2008-06,3.585B,3.585B,1.964B,1.621B,,13.00M,298.00M,,,,651.00M,1.308B,313.00M,,,,13.00M,,160.00M,-49.00M,209.00M,,,,209.00M,200.55M,715.00M,402.00M,313.00M,,0.13,0.00,,0.1247,0.13,,0.13,0.00,,0.1248,0.13,,1.599B,1.610B,0.1112,,,
2008-03,3.434B,3.434B,1.726B,1.708B,,15.00M,279.00M,,,,642.00M,1.265B,443.00M,,,,15.00M,,279.00M,30.00M,249.00M,,,,249.00M,235.61M,834.00M,391.00M,443.00M,,0.155,0.00,,0.1466,0.155,,0.155,0.00,,0.1467,0.155,,1.596B,1.608B,0.1112,,,
2007-12,3.684B,3.684B,1.971B,1.713B,,-74.00M,272.00M,,,,659.00M,1.292B,421.00M,,,,-74.00M,,232.00M,8.00M,224.00M,,,,224.00M,295.45M,823.00M,402.00M,421.00M,,0.14,0.00,,0.1848,0.14,,0.1375,0.00,,0.1820,0.1375,,1.593B,1.606B,0.1025,,,
2007-09,4.575B,4.575B,2.443B,2.132B,,50.00M,321.00M,,,,582.00M,1.232B,900.00M,,,,50.00M,,760.00M,227.00M,533.00M,,,,533.00M,497.93M,1.265B,365.00M,900.00M,,0.335,0.00,,0.3130,0.335,,0.3325,0.00,,0.3106,0.3325,,1.592B,1.604B,0.1025,,,
2007-06,3.929B,3.929B,2.106B,1.823B,,41.00M,271.00M,,,,561.00M,1.159B,664.00M,,,,41.00M,,532.00M,127.00M,405.00M,,,,405.00M,373.79M,1.025B,361.00M,664.00M,,0.255,0.00,,0.2354,0.255,,0.2525,0.00,,0.2330,0.2525,,1.590B,1.602B,0.1025,,,
2007-03,3.075B,3.075B,1.672B,1.403B,,15.00M,271.00M,,,,516.00M,1.105B,298.00M,,,,15.00M,,156.00M,6.00M,150.00M,,,,150.00M,135.58M,649.00M,351.00M,298.00M,,0.095,0.00,,0.0859,0.095,,0.095,0.00,,0.0860,0.095,,1.587B,1.599B,0.1025,,,
2006-12,3.623B,3.623B,2.06B,1.563B,,123.00M,269.00M,,,,633.00M,1.246B,317.00M,,,,123.00M,,282.00M,14.00M,268.00M,,,,268.00M,151.11M,678.00M,361.00M,317.00M,,0.1675,0.00,,0.0936,0.1675,,0.1675,0.00,,0.0942,0.1675,,1.582B,1.594B,0.0938,,,
2006-09,4.694B,4.694B,2.656B,2.038B,,49.00M,313.00M,,,,512.00M,1.166B,872.00M,,,,49.00M,,758.00M,231.00M,527.00M,,,,527.00M,492.93M,1.372B,500.00M,872.00M,,0.3325,0.00,,0.3109,0.3325,,0.33,0.00,,0.3086,0.33,,1.580B,1.590B,0.0938,,,
2006-06,3.809B,3.809B,2.174B,1.635B,,49.00M,285.00M,,,,584.00M,1.20B,435.00M,,,,49.00M,,311.00M,75.00M,236.00M,,,,236.00M,198.82M,766.00M,218.00M,435.00M,,0.15,0.00,,0.1264,0.15,,0.15,0.00,,0.1266,0.15,,1.577B,1.587B,0.0938,,,
2006-03,3.584B,3.584B,2.053B,1.531B,,12.00M,266.00M,,,,474.00M,1.058B,473.00M,,,,12.00M,,328.00M,77.00M,251.00M,,,,251.00M,241.82M,815.00M,342.00M,473.00M,,0.16,0.00,,0.1541,0.16,,0.16,0.00,,0.1542,0.16,,1.557B,1.572B,0.0938,,,
2005-12,3.164B,3.164B,1.713B,1.451B,,0.00,212.00M,,,,493.00M,1.073B,378.00M,,,,0.00,,275.00M,53.00M,222.00M,,,,222.00M,222.00M,759.00M,381.00M,378.00M,,0.145,0.00,,0.145,0.145,,0.1425,0.00,,0.1425,0.1425,,1.537B,1.560B,0.0888,,,
2005-09,3.504B,3.504B,1.826B,1.678B,,81.00M,263.00M,,,,469.00M,1.119B,559.00M,,,,81.00M,,492.00M,153.00M,339.00M,,,,339.00M,283.19M,1.074B,515.00M,559.00M,,0.22,0.00,,0.1836,0.22,,0.2175,0.00,,0.1817,0.2175,,1.535B,1.559B,0.0888,,,
2005-06,2.741B,2.741B,1.393B,1.348B,,39.00M,233.00M,,,,411.00M,1.002B,346.00M,,,,39.00M,,257.00M,54.00M,203.00M,,,,203.00M,172.19M,704.00M,261.00M,346.00M,,0.1325,0.00,,0.1123,0.1325,,0.13,0.00,,0.1101,0.13,,1.526B,1.545B,0.0888,,,
2005-03,2.437B,2.437B,1.238B,1.199B,,38.00M,224.00M,,,,415.00M,965.00M,234.00M,,,,38.00M,,159.00M,22.00M,137.00M,,,,137.00M,104.26M,573.00M,339.00M,234.00M,,0.0925,0.00,,0.0704,0.0925,,0.09,0.00,,0.0683,0.09,,1.483B,1.507B,0.0888,,,
2004-12,2.589B,2.589B,1.328B,1.261B,,5.00M,215.00M,,,,478.00M,994.00M,267.00M,,,,5.00M,,187.00M,6.00M,181.00M,,,,181.00M,176.16M,578.00M,311.00M,267.00M,,-0.1862,0.00,,-0.1896,-0.1862,,-0.1862,0.00,,-0.1896,-0.1862,,1.432B,1.442B,0.085,,,
2004-09,2.983B,2.983B,1.488B,1.495B,,52.00M,239.00M,,,,435.00M,972.00M,523.00M,,,,52.00M,,463.00M,143.00M,320.00M,,,,320.00M,284.06M,834.00M,311.00M,523.00M,,0.2225,0.00,,0.1975,0.2225,,0.22,0.00,,0.1952,0.22,,1.437B,1.449B,0.085,,,
2004-06,2.619B,2.619B,1.243B,1.376B,,10.00M,214.00M,,,,407.00M,919.00M,457.00M,,,,10.00M,,352.00M,95.00M,257.00M,,,,257.00M,249.70M,767.00M,310.00M,457.00M,,0.1788,0.00,,0.1737,0.1788,,0.1788,0.00,,0.1737,0.1788,,1.433B,1.439B,0.0775,,,
2004-03,2.331B,2.331B,1.159B,1.172B,,20.00M,212.00M,,,,398.00M,911.00M,261.00M,,,,20.00M,,166.00M,28.00M,138.00M,,,,138.00M,121.37M,575.00M,314.00M,261.00M,,0.0488,0.00,,0.0429,0.0488,,0.0488,0.00,,0.0430,0.0488,,2.854B,2.874B,0.0775,,,
