,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,1.381B,,1.381B,2.147B,603.00M,2.75B,1.352B,,1.102B,7.027B,,6.492B,92.55B,-21.46B,71.09B,,,,8.877B,1.546B,,3.736B,89.75B,96.78B,,2.256B,2.256B,1.794B,4.05B,,2.074B,2.54B,4.614B,4.614B,449.00M,449.00M,2.491B,11.60B,2.882B,30.34B,,30.34B,12.56B,17.10B,,514.00M,923.00M,,2.115B,57.86B,69.46B,,5.00M,17.30B,9.046B,,48.00M,26.40B,,AOR,Restated
2017-06,642.00M,,642.00M,1.95B,530.00M,2.48B,1.313B,,966.00M,5.947B,,5.349B,90.70B,-21.05B,69.66B,,,,8.706B,1.428B,,3.74B,86.94B,92.89B,,1.814B,1.814B,1.29B,3.104B,,2.115B,2.017B,4.132B,4.132B,457.00M,457.00M,1.257B,8.95B,2.845B,30.39B,,30.39B,12.10B,16.46B,,507.00M,950.00M,,2.11B,57.06B,66.01B,,5.00M,16.91B,9.004B,,3.00M,25.93B,,AOR,Restated
2017-03,600.00M,,600.00M,1.635B,525.00M,2.16B,1.303B,,1.086B,5.827B,,5.388B,89.17B,-20.77B,68.40B,,,,8.384B,1.462B,,3.632B,85.38B,91.20B,,1.237B,1.237B,1.337B,2.574B,,2.309B,3.016B,5.325B,5.325B,464.00M,464.00M,1.398B,9.761B,2.812B,28.54B,,28.54B,11.73B,16.26B,,473.00M,972.00M,,2.141B,54.98B,64.74B,,5.00M,16.58B,8.951B,,-40.00M,25.50B,,AOR,Restated
2016-12,1.292B,,1.292B,1.784B,655.00M,2.439B,1.289B,,1.052B,7.409B,,4.732B,87.01B,-20.10B,66.91B,,,,7.916B,1.35B,,3.335B,82.58B,89.99B,,3.447B,3.447B,1.60B,5.047B,,268.00M,2.754B,3.022B,3.022B,470.00M,470.00M,2.38B,10.92B,2.736B,27.82B,,27.82B,11.10B,15.76B,,477.00M,990.00M,,2.049B,53.74B,64.66B,,5.00M,15.46B,8.948B,,-70.00M,24.34B,,AOR,Restated
2016-09,681.00M,,681.00M,1.921B,938.00M,2.859B,1.309B,,760.00M,6.747B,,7.15B,85.86B,-20.25B,65.62B,,,,7.83B,1.394B,,3.279B,81.12B,87.86B,,2.80B,2.80B,1.642B,4.442B,490.00M,628.00M,2.364B,3.482B,3.482B,469.00M,469.00M,2.063B,10.46B,4.927B,28.20B,,28.20B,10.58B,13.86B,1.94B,999.00M,962.00M,,2.115B,52.54B,63.00B,,5.00M,14.90B,9.039B,,-36.00M,23.91B,,AOR,Restated
2016-06,730.00M,,730.00M,1.816B,857.00M,2.673B,1.254B,,758.00M,6.512B,,6.585B,83.74B,-19.58B,64.16B,,,,7.404B,1.246B,,3.069B,78.91B,85.42B,,1.774B,1.774B,1.671B,3.445B,800.00M,1.382B,3.125B,5.307B,5.307B,472.00M,472.00M,2.112B,11.34B,4.781B,27.00B,,27.00B,10.12B,13.35B,1.769B,913.00M,708.00M,,1.847B,50.20B,61.54B,,5.00M,14.55B,8.703B,,-82.00M,23.17B,,AOR,Restated
2016-03,628.00M,,628.00M,1.574B,693.00M,2.267B,1.287B,,721.00M,7.096B,,6.519B,82.32B,-19.43B,62.89B,,,,7.058B,1.391B,,3.285B,77.54B,84.64B,,1.139B,1.139B,1.473B,2.612B,912.00M,1.56B,2.145B,4.617B,4.617B,472.00M,472.00M,2.886B,10.59B,4.676B,27.79B,,27.79B,9.982B,13.04B,1.778B,699.00M,718.00M,,1.92B,50.42B,61.01B,,5.00M,14.38B,8.645B,,-113.00M,22.91B,,AOR,Restated
2015-12,571.00M,,571.00M,1.784B,481.00M,2.265B,1.259B,,979.00M,6.795B,,5.657B,80.33B,-18.94B,61.39B,,,,6.924B,1.202B,,3.239B,75.68B,82.48B,,2.529B,2.529B,1.37B,3.899B,,374.00M,2.632B,3.006B,3.006B,473.00M,473.00M,2.729B,10.11B,2.469B,26.68B,,26.68B,9.827B,12.97B,,530.00M,538.00M,,2.005B,49.26B,59.37B,,5.00M,14.14B,8.596B,,-167.00M,22.57B,,AOR,Restated
2015-09,1.181B,,1.181B,1.961B,349.00M,2.31B,1.344B,10.00M,811.00M,6.657B,,6.218B,79.20B,-19.37B,59.84B,,,,6.805B,1.304B,,2.333B,73.31B,79.96B,,1.87B,1.87B,1.812B,3.682B,1.137B,1.026B,2.497B,4.66B,4.66B,468.00M,468.00M,1.561B,10.37B,4.232B,25.60B,,25.60B,9.567B,12.10B,2.005B,609.00M,508.00M,,1.71B,46.77B,57.14B,,5.00M,13.99B,8.494B,,-168.00M,22.32B,,AOR,Restated
2015-06,551.00M,,551.00M,1.883B,256.00M,2.139B,1.278B,404.00M,782.00M,6.346B,,5.55B,77.26B,-18.95B,58.31B,,,,6.823B,1.307B,,2.239B,70.86B,77.20B,,1.517B,1.517B,1.41B,2.927B,950.00M,821.00M,2.768B,4.539B,4.539B,466.00M,466.00M,1.489B,9.421B,4.295B,25.24B,,25.24B,9.436B,12.02B,1.901B,544.00M,263.00M,,1.679B,46.18B,55.60B,,5.00M,13.46B,7.881B,,-4.00M,21.34B,,AOR,Restated
2015-03,469.00M,,469.00M,1.718B,309.00M,2.027B,1.249B,608.00M,601.00M,6.297B,,3.939B,74.68B,-18.44B,56.23B,,,,6.772B,1.222B,,2.224B,68.63B,74.93B,,1.104B,1.104B,1.006B,2.11B,625.00M,1.12B,3.457B,5.202B,5.202B,464.00M,464.00M,1.61B,9.386B,4.291B,24.26B,,24.26B,9.337B,11.99B,1.838B,557.00M,229.00M,,1.649B,45.08B,54.46B,,4.00M,13.08B,7.222B,,-73.00M,20.24B,,AOR,Restated
2014-12,577.00M,,577.00M,1.805B,354.00M,2.159B,1.292B,739.00M,555.00M,6.944B,,3.591B,73.64B,-17.93B,55.70B,,,,6.565B,1.009B,,2.187B,67.66B,74.60B,,1.354B,1.354B,1.15B,2.504B,0.00,1.142B,3.515B,4.657B,4.657B,462.00M,462.00M,2.04B,9.663B,4.243B,24.04B,,24.04B,9.261B,11.96B,1.904B,466.00M,252.00M,,1.676B,44.77B,54.44B,,4.00M,12.77B,7.179B,,-40.00M,19.92B,,AOR,Restated
2014-09,485.00M,,485.00M,2.022B,389.00M,2.411B,1.269B,31.00M,638.00M,5.633B,,4.538B,72.91B,-17.84B,55.07B,,,,6.414B,842.00M,,1.938B,66.56B,72.19B,,1.496B,1.496B,1.587B,3.083B,,685.00M,3.885B,4.57B,4.57B,457.00M,457.00M,1.462B,9.572B,4.121B,24.85B,,24.85B,7.999B,9.846B,1.881B,568.00M,334.00M,,1.686B,43.48B,53.05B,,4.00M,12.20B,6.555B,,47.00M,18.81B,,AOR,Restated
2014-06,622.00M,,622.00M,1.978B,314.00M,2.292B,1.178B,395.00M,814.00M,6.099B,,4.366B,71.43B,-17.40B,54.03B,,,,6.296B,894.00M,,1.919B,65.49B,71.59B,,1.475B,1.475B,1.409B,2.884B,,1.116B,3.785B,4.901B,4.901B,452.00M,452.00M,1.453B,9.69B,4.105B,25.05B,,25.05B,8.227B,10.10B,1.731B,561.00M,,,1.434B,43.47B,53.16B,,4.00M,11.86B,6.506B,,59.00M,18.43B,,AOR,Restated
2014-03,488.00M,,488.00M,1.904B,647.00M,2.551B,1.148B,754.00M,501.00M,6.141B,,4.773B,70.37B,-17.06B,53.31B,,,,6.014B,984.00M,,1.612B,64.19B,70.33B,,1.45B,1.45B,1.013B,2.463B,,1.869B,3.822B,5.691B,5.691B,452.00M,452.00M,1.686B,10.29B,3.999B,23.82B,,23.82B,8.306B,10.24B,1.722B,396.00M,,,1.242B,41.88B,52.17B,,4.00M,11.68B,6.451B,,21.00M,18.16B,,AOR,Restated
2013-12,438.00M,,438.00M,1.777B,512.00M,2.289B,1.153B,753.00M,519.00M,5.842B,,4.69B,69.45B,-16.73B,52.72B,,,,5.901B,1.163B,,1.426B,63.46B,69.31B,,1.20B,1.20B,1.312B,2.512B,,691.00M,3.766B,4.457B,4.457B,452.00M,452.00M,1.768B,9.189B,3.932B,23.97B,,23.97B,8.144B,10.14B,1.839B,473.00M,0.00,,1.257B,42.08B,51.27B,,4.00M,11.57B,6.411B,,56.00M,18.04B,,AOR,Restated
2013-09,558.00M,,558.00M,1.888B,353.00M,2.241B,1.142B,8.00M,958.00M,5.472B,,4.562B,67.86B,-16.46B,51.40B,,,,5.659B,1.011B,,1.502B,61.69B,67.17B,,1.244B,1.244B,1.233B,2.477B,,915.00M,3.933B,4.848B,4.848B,502.00M,502.00M,1.386B,9.213B,3.795B,23.86B,,23.86B,7.207B,9.035B,1.784B,354.00M,,,1.323B,40.54B,49.76B,,4.00M,11.53B,5.959B,,-82.00M,17.41B,,AOR,Restated
2013-06,411.00M,,411.00M,1.809B,311.00M,2.12B,1.12B,11.00M,486.00M,4.735B,,4.181B,66.41B,-15.95B,50.46B,,,,5.466B,845.00M,,1.514B,60.48B,65.22B,,1.279B,1.279B,1.047B,2.326B,,666.00M,4.052B,4.718B,4.718B,501.00M,501.00M,1.322B,8.867B,3.688B,23.51B,,23.51B,6.861B,8.726B,1.756B,362.00M,,,1.331B,39.75B,48.62B,,4.00M,11.11B,5.59B,,-102.00M,16.60B,,AOR,Restated
2013-03,215.00M,,215.00M,1.366B,393.00M,1.759B,1.098B,10.00M,373.00M,4.045B,,5.905B,65.49B,-15.67B,49.82B,,,,5.394B,902.00M,,1.554B,59.80B,63.84B,,1.094B,1.094B,850.00M,1.944B,,1.501B,3.557B,5.058B,5.058B,506.00M,506.00M,1.268B,8.776B,3.666B,22.87B,,22.87B,6.66B,8.399B,1.809B,391.00M,,,1.371B,38.86B,47.64B,,4.00M,10.78B,5.557B,,-136.00M,16.20B,,AOR,Restated
2012-12,329.00M,,329.00M,1.487B,569.00M,2.056B,1.073B,397.00M,455.00M,5.237B,,5.968B,64.92B,-15.50B,49.41B,,,,5.166B,920.00M,,1.629B,59.20B,64.44B,,1.281B,1.281B,841.00M,2.122B,,1.211B,2.971B,4.182B,4.182B,508.00M,508.00M,2.067B,8.879B,3.528B,23.18B,,23.18B,6.703B,8.487B,1.95B,587.00M,,,1.454B,39.49B,48.37B,,4.00M,10.78B,5.536B,,-255.00M,16.07B,,AOR,Restated
2012-09,246.00M,0.00,246.00M,1.633B,489.00M,2.122B,1.055B,,419.00M,4.437B,56.26B,7.174B,63.43B,-15.74B,47.69B,,,,5.194B,944.00M,,2.688B,57.61B,62.05B,,1.194B,1.194B,1.215B,2.409B,,1.053B,2.583B,3.636B,3.636B,513.00M,513.00M,1.317B,7.875B,1.685B,22.71B,,22.71B,6.166B,7.664B,,530.00M,,,5.695B,38.29B,46.16B,,4.00M,10.61B,5.494B,,-219.00M,15.89B,,AOR,Restated
2012-06,295.00M,0.00,295.00M,1.466B,542.00M,2.008B,1.082B,,430.00M,4.854B,54.43B,6.517B,60.95B,-15.45B,45.50B,,,,5.028B,1.158B,,2.795B,55.54B,60.39B,,1.134B,1.134B,1.122B,2.256B,,1.327B,1.943B,3.27B,3.27B,517.00M,517.00M,1.60B,7.643B,1.659B,21.58B,,21.58B,5.987B,7.458B,,633.00M,,,5.629B,36.96B,44.60B,,4.00M,10.44B,5.53B,,-190.00M,15.79B,,AOR,Restated
2012-03,275.00M,0.00,275.00M,1.262B,575.00M,1.837B,1.092B,,353.00M,5.094B,53.37B,5.887B,59.26B,-15.29B,43.97B,,,,5.041B,1.067B,,2.996B,54.11B,59.21B,,1.073B,1.073B,985.00M,2.058B,,1.739B,1.649B,3.388B,3.388B,528.00M,528.00M,2.031B,8.005B,1.634B,20.58B,,20.58B,5.813B,7.292B,,690.00M,,,5.781B,35.98B,43.98B,,4.00M,10.09B,5.224B,,-94.00M,15.22B,,AOR,Restated
2011-12,377.00M,,377.00M,1.372B,430.00M,1.802B,1.074B,10.00M,384.00M,4.872B,,4.989B,57.55B,-15.06B,42.49B,,,,4.774B,973.00M,,1.92B,52.32B,57.19B,,1.191B,1.191B,982.00M,2.173B,,1.349B,808.00M,2.157B,2.157B,547.00M,547.00M,1.842B,6.719B,3.251B,20.81B,,20.81B,5.681B,6.884B,2.197B,541.00M,,,1.424B,35.53B,42.24B,,4.00M,9.876B,5.217B,,-154.00M,14.94B,,AOR,Restated
2011-09,640.00M,0.00,640.00M,1.689B,548.00M,2.237B,1.045B,,381.00M,6.252B,51.64B,4.587B,56.22B,-15.11B,41.12B,,,,4.599B,499.00M,,2.801B,50.33B,56.58B,,1.336B,1.336B,1.105B,2.441B,,1.835B,597.00M,2.432B,2.432B,639.00M,639.00M,1.907B,7.419B,1.608B,20.04B,,20.04B,5.357B,6.457B,,454.00M,,,5.721B,34.28B,41.70B,,4.00M,9.439B,5.558B,,-114.00M,14.89B,,AOR,Restated
2011-06,287.00M,0.00,287.00M,1.633B,500.00M,2.133B,1.072B,,488.00M,4.813B,52.46B,3.678B,56.14B,-15.29B,40.85B,,,,4.859B,462.00M,,2.271B,49.74B,54.56B,,1.28B,1.28B,1.01B,2.29B,,1.05B,1.168B,2.218B,2.218B,667.00M,667.00M,1.214B,6.389B,1.587B,19.24B,,19.24B,5.281B,6.382B,,235.00M,,,5.823B,33.26B,39.65B,,4.00M,9.262B,5.525B,,115.00M,14.91B,,AOR,Restated
2011-03,425.00M,0.00,425.00M,1.285B,717.00M,2.002B,875.00M,,375.00M,4.519B,50.79B,4.511B,55.30B,-15.37B,39.94B,,,,4.818B,,,2.705B,48.74B,53.26B,,1.075B,1.075B,742.00M,1.817B,,1.378B,1.588B,2.966B,2.966B,40.00M,507.00M,1.449B,6.739B,1.582B,18.29B,,18.29B,5.157B,6.097B,,226.00M,,,5.726B,31.92B,38.66B,,4.00M,8.912B,5.481B,,202.00M,14.60B,,AOR,Restated
2010-12,302.00M,0.00,302.00M,1.509B,1.073B,2.582B,857.00M,,407.00M,5.258B,50.38B,3.841B,54.22B,-15.15B,39.08B,,,,4.713B,,,2.689B,47.74B,52.99B,,1.124B,1.124B,833.00M,1.957B,,889.00M,1.92B,2.809B,2.809B,47.00M,47.00M,2.091B,6.904B,1.639B,18.01B,,18.01B,5.109B,6.058B,,243.00M,,,5.676B,31.63B,38.53B,,4.00M,8.873B,5.418B,,166.00M,14.46B,,AOR,Restated
2010-09,791.00M,0.00,791.00M,1.595B,525.00M,2.12B,895.00M,,439.00M,5.776B,48.98B,4.382B,53.36B,-15.06B,38.30B,,,,4.618B,,,2.807B,46.96B,52.73B,,1.099B,1.099B,712.00M,1.811B,,1.085B,1.703B,2.788B,2.788B,678.00M,678.00M,1.91B,7.187B,2.482B,17.68B,,17.68B,5.149B,5.149B,,449.00M,,,5.636B,31.40B,38.58B,,4.00M,8.817B,5.283B,,47.00M,14.15B,,AOR,Restated
2010-06,829.00M,0.00,829.00M,1.485B,540.00M,2.025B,826.00M,,798.00M,5.299B,48.60B,3.58B,52.18B,-14.60B,37.58B,,,,4.315B,,215.00M,2.59B,45.91B,51.21B,,1.316B,1.316B,606.00M,1.922B,250.00M,1.716B,1.056B,3.022B,3.022B,664.00M,664.00M,1.518B,7.126B,2.447B,17.17B,,17.17B,5.242B,5.242B,,320.00M,,,5.374B,30.55B,37.68B,,4.00M,8.303B,5.173B,,49.00M,13.53B,,AOR,Restated
2010-03,1.215B,,1.215B,1.174B,772.00M,1.946B,852.00M,,1.521B,5.557B,47.99B,3.275B,51.27B,-14.41B,36.85B,,,,4.479B,,,2.848B,45.38B,50.94B,,937.00M,937.00M,461.00M,1.398B,418.00M,2.517B,977.00M,3.912B,3.912B,,,2.472B,7.782B,,16.60B,,16.60B,5.083B,5.083B,,369.00M,,,7.771B,29.82B,37.61B,,4.00M,8.091B,5.084B,,157.00M,13.34B,,AOR,Restated
2009-12,238.00M,0.00,238.00M,1.431B,816.00M,2.247B,877.00M,,481.00M,4.337B,47.74B,2.425B,50.17B,-14.09B,36.08B,,,,4.325B,,,2.534B,44.12B,48.46B,,992.00M,992.00M,942.00M,1.934B,,2.02B,569.00M,2.589B,2.589B,377.00M,377.00M,1.549B,6.449B,2.418B,16.30B,,16.30B,4.86B,5.56B,,170.00M,,,4.594B,29.04B,35.49B,,4.00M,7.739B,5.055B,,169.00M,12.97B,,AOR,Restated
2009-09,164.00M,,164.00M,1.594B,304.00M,1.898B,884.00M,,1.162B,4.176B,44.96B,4.27B,49.22B,-14.01B,35.22B,,,,979.00M,,,5.809B,42.98B,47.16B,,1.057B,1.057B,605.00M,1.662B,0.00,1.581B,662.00M,2.243B,2.243B,,,2.652B,6.557B,,15.60B,,15.60B,4.493B,4.493B,,206.00M,,,7.566B,27.87B,34.42B,,4.00M,7.583B,5.013B,,132.00M,12.73B,,AOR,Restated
2009-06,276.00M,,276.00M,1.448B,249.00M,1.697B,906.00M,,1.901B,4.869B,43.58B,4.276B,47.86B,-13.66B,34.20B,,,,946.00M,,,5.437B,41.54B,46.40B,,1.255B,1.255B,534.00M,1.789B,0.00,1.122B,660.00M,1.782B,1.782B,,,3.079B,6.65B,,15.66B,,15.66B,4.322B,4.322B,,192.00M,,,7.332B,27.51B,34.16B,,4.00M,7.242B,4.884B,,114.00M,12.24B,,AOR,Restated
2009-03,276.00M,,276.00M,1.281B,327.00M,1.608B,871.00M,,2.333B,5.154B,43.21B,3.252B,46.46B,-13.41B,33.05B,,,,939.00M,,,5.223B,40.15B,45.30B,,1.058B,1.058B,438.00M,1.496B,0.00,646.00M,1.294B,1.94B,1.94B,,,3.207B,6.643B,,15.10B,,15.10B,4.216B,4.216B,,218.00M,,,7.129B,26.66B,33.30B,,4.00M,7.058B,4.876B,,61.00M,12.00B,,AOR,Restated
2008-12,535.00M,,535.00M,1.443B,264.00M,1.707B,968.00M,,2.182B,5.392B,42.90B,2.63B,45.53B,-13.12B,32.41B,,,,3.87B,,,2.234B,39.43B,44.82B,,1.062B,1.062B,374.00M,1.436B,30.00M,1.835B,1.388B,3.253B,3.253B,,,3.00B,7.689B,,13.83B,,13.83B,4.231B,4.231B,,218.00M,,,,18.28B,33.14B,,4.00M,6.885B,4.905B,,-13.00M,11.68B,,,Restated
2008-09,1.592B,,1.592B,2.068B,,2.068B,1.019B,,1.629B,6.308B,41.18B,3.061B,44.25B,-12.90B,31.34B,,,,,,,7.825B,39.17B,45.48B,,1.423B,1.423B,2.858B,4.281B,,,,4.22B,4.22B,,,,8.501B,,12.81B,,12.81B,4.215B,4.215B,,,,,,17.03B,33.94B,,4.00M,6.656B,4.771B,,103.00M,11.53B,,,
