,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-03,979.00M,-528.00M,,-528.00M,205.00M,205.00M,,,,40.00M,-26.00M,-56.00M,,-233.00M,-23.00M,,,-338.00M,,358.00M,,-152.00M,,,1.389B,,-60.00M,1.177B,,0.00,-145.00M,-145.00M,,-842.00M,-842.00M,-321.00M,-321.00M,39.00M,-1.269B,,3.122B,266.00M,-132.00M,3.256B,,,1.565B,-1.71B,-842.00M,,AOR,Restated
2014-12,529.00M,,,,207.00M,207.00M,,,,27.00M,434.00M,-195.00M,,-414.00M,-17.00M,,,-192.00M,,571.00M,,-207.00M,,,-143.00M,,-26.00M,-376.00M,,-251.00M,999.00M,748.00M,,-509.00M,-509.00M,-326.00M,-326.00M,-59.00M,-146.00M,,3.149B,49.00M,-76.00M,3.122B,,,1.957B,-1.209B,-509.00M,,AOR,Restated
2014-09,469.00M,0.00,-40.00M,-40.00M,-54.00M,-54.00M,0.00,,,24.00M,-270.00M,151.00M,,329.00M,106.00M,,,316.00M,,1.408B,,-78.00M,,,99.00M,,-48.00M,-133.00M,,-6.00M,-511.00M,-517.00M,,-265.00M,-265.00M,-300.00M,-300.00M,-2.00M,-1.084B,,3.049B,191.00M,-91.00M,3.149B,,,41.00M,-558.00M,-265.00M,,AOR,Restated
2014-06,738.00M,0.00,-90.00M,-90.00M,204.00M,204.00M,0.00,,,50.00M,-191.00M,-19.00M,,383.00M,-57.00M,,,116.00M,,1.018B,,-176.00M,,,-38.00M,,-52.00M,-266.00M,,-1.00M,43.00M,42.00M,,-187.00M,-187.00M,-304.00M,-304.00M,18.00M,-431.00M,,2.724B,321.00M,4.00M,3.049B,,,1.278B,-1.236B,-187.00M,,AOR,Restated
2014-03,554.00M,0.00,,0.00,210.00M,210.00M,,,,30.00M,-148.00M,-74.00M,,16.00M,-13.00M,,,-219.00M,,575.00M,,-161.00M,,,0.00,,-44.00M,-205.00M,,-7.00M,703.00M,696.00M,,-206.00M,-206.00M,-302.00M,-302.00M,-557.00M,-369.00M,,2.737B,1.00M,-14.00M,2.724B,,,1.098B,-402.00M,-206.00M,,AOR,Restated
2013-12,477.00M,,,,209.00M,209.00M,,,,59.00M,446.00M,-161.00M,,-364.00M,25.00M,,,-54.00M,,691.00M,,-236.00M,,,-308.00M,,-11.00M,-555.00M,,-314.00M,387.00M,73.00M,,-390.00M,-390.00M,-304.00M,-304.00M,-54.00M,-675.00M,,3.275B,-539.00M,1.00M,2.737B,,,716.00M,-643.00M,-390.00M,,AOR,Restated
2013-09,808.00M,,-51.00M,-51.00M,207.00M,207.00M,,21.00M,,160.00M,-288.00M,279.00M,,312.00M,-2.00M,,,301.00M,,1.446B,,-241.00M,,,1.00M,,-19.00M,-259.00M,,-3.00M,101.00M,98.00M,,-537.00M,-537.00M,-293.00M,-293.00M,-3.00M,-735.00M,,2.81B,452.00M,13.00M,3.275B,,,1.572B,-1.201B,-537.00M,,AOR,Restated
2013-06,214.00M,,-109.00M,-109.00M,201.00M,201.00M,,475.00M,,131.00M,-214.00M,6.00M,,307.00M,-21.00M,,,78.00M,,990.00M,,-140.00M,,,-20.00M,,-28.00M,-188.00M,,-251.00M,252.00M,1.00M,,-302.00M,-302.00M,-295.00M,-295.00M,-2.00M,-598.00M,,2.615B,204.00M,-9.00M,2.81B,,,0.00,-251.00M,-302.00M,,AOR,Restated
2013-03,578.00M,,,,205.00M,205.00M,,,,9.00M,-29.00M,-31.00M,,-162.00M,4.00M,,,-218.00M,,574.00M,,-97.00M,,,0.00,,-26.00M,-123.00M,,493.00M,-403.00M,90.00M,,-158.00M,-158.00M,-296.00M,-296.00M,22.00M,-342.00M,,2.527B,109.00M,-21.00M,2.615B,,,499.00M,-6.00M,-158.00M,,AOR,Restated
2012-12,466.00M,,,,206.00M,206.00M,,,,86.00M,447.00M,-171.00M,,-382.00M,-13.00M,,,-119.00M,,639.00M,,-200.00M,,,3.00M,,-22.00M,-219.00M,,-264.00M,424.00M,160.00M,,-113.00M,-113.00M,-297.00M,-297.00M,-8.00M,-258.00M,,2.367B,162.00M,-2.00M,2.527B,,,,-264.00M,-113.00M,,AOR,Restated
2012-09,300.00M,,-41.00M,-41.00M,206.00M,206.00M,,528.00M,,42.00M,-357.00M,255.00M,,285.00M,93.00M,,,276.00M,,1.311B,,-237.00M,,,116.00M,,-39.00M,-160.00M,,-3.00M,-554.00M,-557.00M,,-270.00M,-270.00M,-290.00M,-290.00M,16.00M,-1.101B,,2.292B,50.00M,25.00M,2.367B,,,348.00M,-3.00M,-270.00M,,AOR,Restated
2012-06,787.00M,,-122.00M,-122.00M,211.00M,211.00M,,0.00,,104.00M,-366.00M,-8.00M,,313.00M,-73.00M,,,-134.00M,,846.00M,,-141.00M,,,-11.00M,,3.00M,-149.00M,,-6.00M,11.00M,5.00M,,-198.00M,-198.00M,-293.00M,-293.00M,-8.00M,-494.00M,,2.153B,203.00M,-64.00M,2.292B,,,4.00M,-10.00M,-198.00M,,AOR,Restated
2012-03,556.00M,,,,202.00M,202.00M,,,,-7.00M,-239.00M,-57.00M,,142.00M,-35.00M,,,-189.00M,,562.00M,,-157.00M,,,-167.00M,,-33.00M,-357.00M,,1.00M,225.00M,226.00M,,-85.00M,-85.00M,-294.00M,-294.00M,19.00M,-134.00M,,2.076B,71.00M,6.00M,2.153B,,,0.00,1.00M,-85.00M,,AOR,Restated
2011-12,381.00M,,,,204.00M,204.00M,,,,42.00M,426.00M,-239.00M,,-514.00M,34.00M,,,-293.00M,,334.00M,,-130.00M,,,,,-10.00M,-140.00M,,-250.00M,666.00M,416.00M,,-244.00M,-244.00M,-294.00M,-294.00M,-48.00M,-170.00M,,2.052B,24.00M,0.00,2.076B,,,,-250.00M,-244.00M,,AOR,Restated
2011-09,774.00M,,-42.00M,-42.00M,217.00M,217.00M,,,,119.00M,-181.00M,252.00M,,111.00M,-14.00M,,,168.00M,,1.255B,,-244.00M,,,99.00M,,-30.00M,-175.00M,,-2.00M,-13.00M,-15.00M,,-440.00M,-440.00M,,-258.00M,-10.00M,-723.00M,,1.781B,357.00M,-86.00M,2.052B,,,-197.00M,-3.00M,-440.00M,,AOR,Restated
2011-06,698.00M,,-100.00M,-100.00M,215.00M,215.00M,,,,112.00M,-176.00M,-76.00M,,234.00M,-4.00M,,,-22.00M,,903.00M,,-195.00M,,,-42.00M,,-9.00M,-246.00M,,0.00,91.00M,91.00M,,-319.00M,-319.00M,,-259.00M,1.00M,-486.00M,,1.593B,171.00M,17.00M,1.781B,,,91.00M,0.00,-319.00M,,AOR,Restated
2011-03,567.00M,,,,216.00M,216.00M,,,,-13.00M,-185.00M,-67.00M,,258.00M,-23.00M,,,-17.00M,,753.00M,,-126.00M,,,-147.00M,,-17.00M,-290.00M,,-24.00M,-9.00M,-33.00M,,-125.00M,-125.00M,,-261.00M,22.00M,-397.00M,,1.493B,66.00M,34.00M,1.593B,,,-9.00M,-24.00M,-125.00M,,AOR,Restated
2010-12,491.00M,,,,219.00M,219.00M,,,,42.00M,67.00M,-97.00M,,-482.00M,82.00M,,,-430.00M,,322.00M,,-82.00M,,,-39.00M,,-16.00M,-137.00M,,-30.00M,116.00M,86.00M,,-51.00M,-51.00M,,-261.00M,-55.00M,-281.00M,,1.592B,-96.00M,-3.00M,1.493B,,,116.00M,-30.00M,-51.00M,,AOR,Restated
2010-09,761.00M,,-38.00M,-38.00M,211.00M,211.00M,,,,55.00M,-113.00M,75.00M,,321.00M,-2.00M,,,281.00M,,1.27B,,-224.00M,,,-625.00M,,-13.00M,-862.00M,,-633.00M,-1.349B,-1.982B,,-29.00M,-29.00M,,-253.00M,-42.00M,-2.306B,,3.424B,-1.898B,66.00M,1.592B,,,-1.75B,-630.00M,-29.00M,,AOR,Restated
2010-06,1.456B,,-209.00M,-209.00M,605.00M,203.00M,,,,-742.00M,-222.00M,-72.00M,,403.00M,-50.00M,,-64.00M,-5.00M,,703.00M,,-122.00M,,,-32.00M,,-14.00M,-168.00M,,5.00M,1.022B,1.027B,,-47.00M,-47.00M,,-252.00M,60.00M,788.00M,,2.159B,1.323B,-58.00M,3.424B,,,1.027B,0.00,-47.00M,,AOR,
2010-03,-437.00M,,,,-196.00M,206.00M,,,,845.00M,-63.00M,-141.00M,,154.00M,4.00M,,64.00M,18.00M,,632.00M,,-89.00M,,,-39.00M,,-7.00M,-135.00M,,-14.00M,63.00M,49.00M,,-24.00M,-24.00M,,-253.00M,64.00M,-164.00M,,1.84B,333.00M,-14.00M,2.159B,,,63.00M,-14.00M,-24.00M,,AOR,Restated
2009-12,437.00M,,,,196.00M,196.00M,,,,39.00M,57.00M,-22.00M,,1.00M,-21.00M,,,15.00M,,687.00M,,-89.00M,,,-1.301B,,38.00M,-1.352B,,560.00M,662.00M,1.222B,,0.00,0.00,,-251.00M,-15.00M,956.00M,,1.56B,291.00M,-11.00M,1.84B,,,1.258B,-36.00M,0.00,,AOR,Restated
2009-09,520.00M,,-40.00M,-40.00M,185.00M,185.00M,,,,136.00M,172.00M,252.00M,,101.00M,26.00M,,,551.00M,,1.352B,,-143.00M,,,-37.00M,,-24.00M,-204.00M,,-6.00M,-724.00M,-730.00M,,0.00,0.00,,-249.00M,-22.00M,-1.001B,,1.382B,147.00M,31.00M,1.56B,,,-8.00M,2.00M,0.00,,AOR,Restated
2009-06,398.00M,,-115.00M,-115.00M,184.00M,184.00M,,,,25.00M,219.00M,282.00M,,-117.00M,40.00M,,,424.00M,,916.00M,,-116.00M,,,-302.00M,,-19.00M,-437.00M,,512.00M,-846.00M,-334.00M,,0.00,0.00,,-247.00M,-51.00M,-632.00M,,1.507B,-153.00M,28.00M,1.382B,,,-132.00M,-242.00M,0.00,,AOR,Restated
2009-03,382.00M,,-148.00M,-148.00M,182.00M,182.00M,,,,122.00M,181.00M,210.00M,,-491.00M,61.00M,,,-39.00M,,499.00M,,-140.00M,,,-162.00M,,49.00M,-253.00M,,246.00M,-82.00M,164.00M,,-285.00M,-285.00M,,-250.00M,-8.00M,-379.00M,,1.668B,-133.00M,-28.00M,1.507B,,,416.00M,-252.00M,-285.00M,,AOR,Restated
