,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-09,1.004B,1.004B,512.51M,491.47M,257.88M,42.62M,-13.96M,,,,0.00,300.50M,190.97M,,,,-13.96M,,170.86M,40.10M,130.77M,,,0.619M,131.40M,72.09M,190.97M,,2002-09,0.51,0.5517,0.51,,2002-09,0.50,0.5410,0.50,,260.71M,0.0975,,2002-09,,
2002-06,998.46M,998.46M,514.07M,484.39M,253.86M,53.04M,-10.26M,,,,11.57M,318.46M,165.92M,,,,-10.26M,,158.56M,38.83M,119.72M,,,0.634M,119.72M,78.80M,165.92M,,2002-06,0.46,0.4899,0.46,,2002-06,0.44,0.4686,0.44,,270.66M,0.0975,,2002-06,,
2002-03,1.013B,1.013B,523.13M,489.84M,247.66M,56.31M,-9.445M,,,,9.937M,313.91M,175.93M,,,,-9.445M,,167.58M,38.39M,129.19M,,,0.646M,129.19M,72.72M,175.93M,,2002-03,0.50,0.5283,0.50,,2002-03,0.48,0.5072,0.48,,267.80M,0.0975,,2002-03,,
2001-12,944.95M,944.95M,499.76M,445.18M,248.29M,55.24M,-1.616M,,,,,303.53M,141.65M,,,,-1.616M,,130.47M,30.79M,99.67M,,,0.654M,99.67M,72.96M,141.65M,,2001-12,0.38,0.3847,0.38,,2001-12,0.37,0.3746,0.37,,267.62M,0.0975,,2001-12,,
2001-09,995.64M,995.64M,497.74M,497.90M,257.38M,51.50M,-8.09M,,,,,308.89M,189.01M,,,,-8.09M,,173.22M,40.82M,132.41M,,0.00,0.663M,132.41M,73.26M,189.01M,,2001-09,0.51,0.5338,0.37,,2001-09,0.49,0.5133,0.35,,265.88M,0.095,,2001-09,,
2001-06,943.29M,943.29M,474.89M,468.40M,248.71M,53.10M,-0.367M,,,,,301.81M,166.58M,,,,-0.367M,,153.06M,34.93M,118.13M,,,0.672M,118.13M,77.38M,166.58M,,2001-06,0.46,0.4611,0.46,,2001-06,0.44,0.4410,0.44,,269.65M,0.095,,2001-06,,
2001-03,961.18M,961.18M,487.62M,473.56M,241.91M,54.50M,-5.418M,,,,,296.41M,177.16M,,,,-5.418M,,155.74M,37.38M,118.36M,,,0.685M,118.36M,79.74M,177.16M,,2001-03,0.46,0.4761,0.46,,2001-03,0.44,0.4554,0.44,,267.45M,0.095,,2001-03,,
2000-12,864.42M,864.42M,453.92M,410.50M,235.29M,52.73M,-2.059M,,,,,288.02M,122.48M,,,,-2.059M,,101.86M,28.16M,73.70M,,-36.75M,0.701M,36.95M,75.32M,122.48M,,2000-12,0.24,0.2459,0.24,,2000-12,0.23,0.2356,0.23,,266.24M,0.0925,,2000-12,,
2000-09,919.90M,919.90M,397.06M,522.84M,247.23M,52.66M,-44.00M,,,,,373.39M,149.45M,,,,-44.00M,,91.57M,7.556M,84.01M,,,0.713M,84.01M,73.50M,149.45M,,2000-09,0.32,0.476,0.32,,2000-09,0.32,0.4749,0.32,,260.57M,0.0925,,2000-09,,
2000-06,914.14M,914.14M,380.55M,533.59M,248.77M,60.20M,27.74M,,,,,382.26M,151.33M,,,,27.74M,,161.51M,47.09M,114.42M,,,0.725M,114.42M,73.29M,151.33M,,2000-06,0.45,0.3722,0.45,,2000-06,0.43,0.3557,0.43,,264.40M,0.0925,,2000-06,,
2000-03,925.13M,925.13M,398.67M,526.46M,244.06M,57.18M,36.40M,,,,,376.56M,149.91M,,,,36.40M,,165.11M,45.94M,119.17M,,,0.732M,119.17M,69.07M,149.91M,,2000-03,0.47,0.3658,0.47,,2000-03,0.45,0.3502,0.45,,263.38M,0.0925,,2000-03,,
1999-12,859.20M,859.20M,377.60M,481.60M,233.80M,53.70M,1.70M,,,,,359.90M,121.70M,,,,1.70M,,101.80M,26.50M,75.30M,,,0.70M,75.30M,72.40M,121.70M,,1999-12,0.30,0.2949,0.30,,1999-12,0.29,0.2851,0.29,,257.24M,0.0925,,1999-12,,
1999-09,902.47M,902.47M,367.80M,534.67M,243.90M,86.70M,-1.70M,,,,,398.20M,136.47M,,,,-1.70M,,116.10M,39.80M,76.30M,,,0.70M,76.30M,67.60M,136.47M,,1999-09,0.30,0.3044,0.30,,1999-09,0.29,0.2943,0.29,,260.46M,0.085,,1999-09,,
1999-06,873.00M,873.00M,398.50M,474.50M,231.90M,50.70M,-76.90M,,,,,345.40M,129.10M,,,,-76.90M,,35.30M,2.20M,33.10M,,,0.80M,33.10M,62.80M,129.10M,,1999-06,0.13,0.4202,0.13,,1999-06,0.12,0.3879,0.12,,269.17M,0.085,,1999-06,,
1999-03,874.10M,874.10M,363.50M,510.60M,233.00M,67.30M,1.50M,,,,,366.10M,144.50M,,,,1.50M,,127.10M,37.00M,90.10M,,,0.80M,90.10M,65.80M,144.50M,,1999-03,0.36,0.3557,0.36,,1999-03,0.34,0.3360,0.34,,262.65M,0.085,,1999-03,,
1998-12,769.00M,769.00M,323.00M,446.00M,223.10M,49.30M,1.00M,,,,,335.10M,110.90M,,,,1.00M,,94.00M,17.80M,76.20M,,,0.80M,76.20M,62.70M,110.90M,,1998-12,0.30,0.2968,0.30,,1998-12,0.29,0.2869,0.29,,260.00M,0.085,,1998-12,,
1998-09,843.30M,843.30M,343.30M,500.00M,242.00M,48.60M,-1.10M,,,,,350.40M,149.60M,,,,-1.10M,,131.20M,41.30M,89.90M,,,0.80M,89.90M,59.80M,149.60M,,1998-09,0.36,0.3630,0.36,,1998-09,0.34,0.3429,0.34,,264.30M,0.0725,,1998-09,,
1998-06,833.60M,833.60M,358.80M,474.80M,234.40M,80.90M,-92.70M,,,,,375.50M,99.30M,,,,-92.70M,,-11.00M,-1.00M,-10.00M,,,0.80M,-10.00M,60.20M,99.30M,,1998-06,-0.04,0.2721,-0.04,,1998-06,-0.04,0.2721,-0.04,,270.00M,0.0725,,1998-06,,
