,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.019B,605.46M,1.625B,1.944B,,1.944B,201.43M,374.50M,22.85M,221.62M,820.40M,155.45M,,,4.545B,,,,,,,,,2.395B,,,1.822B,532.27M,78.98M,4.828B,9.373B,207.61M,,,207.61M,666.22M,873.83M,,,,,,391.91M,391.91M,,1.266B,,704.64M,704.64M,,664.74M,664.74M,169.92M,1.539B,2.805B,0.112M,3.288B,3.612B,316.24M,,-15.59M,6.568B
2017-12,812.70M,596.80M,1.410B,1.974B,,1.974B,190.00M,302.00M,21.80M,212.30M,726.10M,225.10M,,,4.335B,0.0,192.80M,1.442B,779.00M,408.90M,102.60M,2.925B,-566.30M,2.359B,,,1.486B,506.30M,77.90M,4.429B,8.764B,178.20M,0.20M,,178.40M,637.00M,815.40M,,,,,,320.10M,320.10M,,1.136B,,703.50M,703.50M,,629.20M,629.20M,152.00M,1.485B,2.620B,0.10M,2.947B,3.513B,316.20M,,0.60M,6.144B
2017-09,792.06M,586.88M,1.379B,1.971B,,1.971B,187.03M,217.45M,23.96M,213.15M,641.59M,143.76M,,,4.136B,,,,,,,,,2.275B,,,1.327B,927.02M,36.62M,4.565B,8.701B,153.95M,126.61M,,280.56M,537.87M,818.43M,,,,0.00,0.00,319.87M,319.87M,0.334M,1.139B,,702.32M,702.32M,,683.45M,683.45M,125.22M,1.511B,2.650B,0.111M,2.773B,3.571B,316.24M,,23.84M,6.052B
2017-06,744.31M,523.54M,1.268B,1.845B,,1.845B,170.27M,162.72M,33.02M,188.31M,554.32M,193.33M,,,3.860B,,,,,,,,,2.262B,,,1.065B,882.98M,36.96M,4.246B,8.106B,151.37M,23.24M,,174.61M,541.75M,716.36M,,,,0.00,0.00,312.26M,312.26M,0.397M,1.029B,,701.17M,701.17M,,739.52M,739.52M,115.92M,1.557B,2.586B,0.111M,2.385B,3.450B,316.24M,,2.348M,5.521B
2017-03,811.77M,495.31M,1.307B,1.750B,,1.750B,127.64M,173.47M,20.26M,145.21M,466.58M,146.06M,,,3.669B,,,,,,,,,2.277B,,,967.70M,866.29M,37.09M,4.148B,7.817B,141.80M,450.80M,,592.61M,469.17M,1.062B,,,,7.20M,7.20M,238.42M,238.42M,0.876M,1.308B,,700.41M,700.41M,,836.42M,836.42M,106.25M,1.643B,2.951B,0.11M,1.997B,3.191B,316.24M,,-5.884M,4.866B
2016-12,535.20M,503.48M,1.039B,1.612B,,1.612B,92.29M,202.30M,13.33M,91.43M,399.36M,130.53M,,,3.180B,0.0,103.91M,1.278B,706.71M,318.93M,101.10M,2.509B,-425.50M,2.083B,,,864.26M,825.30M,20.29M,3.793B,6.973B,134.98M,235.78M,,370.76M,508.34M,879.10M,,,,129.56M,129.56M,231.66M,231.66M,1.178M,1.241B,,351.57M,351.57M,,830.77M,830.77M,100.38M,1.283B,2.524B,0.11M,1.748B,3.030B,316.24M,,-12.84M,4.449B
2016-09,920.36M,488.03M,1.408B,1.644B,,1.644B,89.68M,164.06M,16.98M,74.90M,345.62M,103.81M,,,3.502B,,,,,,,,,1.872B,,,777.91M,655.55M,20.70M,3.326B,6.828B,124.50M,155.48M,,279.98M,434.93M,714.92M,,,,,,242.68M,242.68M,3.586M,961.18M,,382.23M,382.23M,,857.66M,857.66M,135.70M,1.376B,2.337B,0.109M,1.495B,3.315B,316.05M,,-2.899M,4.491B
2016-06,646.51M,398.66M,1.045B,1.752B,,1.752B,73.97M,165.87M,14.42M,61.81M,316.07M,96.02M,,,3.209B,,,,,,,,,1.773B,,,589.85M,626.19M,6.715M,2.996B,6.205B,101.72M,170.27M,,271.99M,487.65M,759.64M,,,,,,188.22M,188.22M,3.695M,951.56M,,361.52M,361.52M,,695.79M,695.79M,119.52M,1.177B,2.128B,0.109M,1.230B,3.157B,316.05M,,5.204M,4.077B
2016-03,604.21M,244.96M,849.18M,1.865B,,1.865B,85.18M,157.92M,14.23M,45.96M,303.29M,115.68M,,,3.133B,,,,,,,,,1.666B,,,555.21M,543.69M,5.791M,2.771B,5.904B,120.60M,144.08M,,264.67M,468.60M,733.28M,,,,,,172.94M,172.94M,13.51M,919.72M,,362.23M,362.23M,,736.43M,736.43M,120.99M,1.220B,2.139B,0.109M,1.018B,3.050B,307.48M,,4.364M,3.765B
2015-12,809.10M,236.12M,1.045B,1.468B,,1.468B,59.15M,132.07M,11.20M,36.16M,238.58M,163.50M,,,2.915B,0.0,77.83M,760.52M,411.81M,579.83M,95.23M,1.925B,-331.10M,1.594B,,,632.16M,461.94M,5.81M,2.694B,5.609B,140.96M,0.00,,140.96M,503.15M,644.11M,,,,0.00,0.00,153.49M,153.49M,13.56M,811.16M,,362.92M,362.92M,,664.68M,664.68M,115.54M,1.143B,1.954B,0.108M,852.70M,3.100B,306.07M,,8.572M,3.655B
2015-09,654.59M,241.06M,895.64M,1.439B,,1.439B,34.98M,110.62M,12.51M,32.56M,190.67M,89.49M,60.52M,,2.676B,,,,,,,,,1.475B,,,681.33M,346.24M,4.583M,2.507B,5.183B,106.92M,,,106.92M,470.51M,577.43M,,,,,,155.06M,155.06M,2.506M,734.99M,30.72M,364.14M,394.87M,,678.28M,678.28M,77.91M,1.151B,1.886B,0.108M,697.71M,2.880B,288.78M,,7.721M,3.297B
2015-06,390.55M,213.69M,604.25M,1.395B,,1.395B,21.00M,111.56M,9.495M,29.21M,171.27M,43.10M,69.60M,,2.283B,,,,,,,,,1.326B,,,589.60M,323.78M,4.138M,2.244B,4.527B,130.02M,,,130.02M,399.49M,529.50M,,,,,,69.75M,69.75M,2.291M,601.54M,30.36M,357.69M,388.05M,,122.84M,122.84M,76.08M,586.97M,1.189B,0.107M,487.31M,3.119B,287.08M,,19.15M,3.338B
2015-03,507.91M,234.26M,742.16M,1.338B,,1.338B,9.644M,83.99M,11.40M,28.83M,133.86M,34.10M,62.13M,,2.311B,,,,,,,,,1.111B,,,483.30M,289.48M,4.473M,1.888B,4.199B,90.60M,,,90.60M,372.16M,462.76M,,,,,,71.19M,71.19M,2.185M,536.13M,144.08M,328.39M,472.48M,,162.97M,162.97M,55.56M,691.01M,1.227B,0.105M,292.66M,2.813B,181.82M,,47.90M,2.971B
2014-12,648.72M,251.76M,900.48M,976.37M,,976.37M,10.92M,73.52M,10.77M,33.65M,128.86M,79.05M,,,2.085B,0.0,2.768M,398.98M,311.71M,472.23M,42.60M,1.228B,-253.98M,974.31M,,,460.15M,315.42M,3.034M,1.753B,3.838B,99.51M,,,99.51M,383.98M,483.49M,,,,,,74.02M,74.02M,97.15M,654.66M,146.77M,310.94M,457.71M,,135.25M,135.25M,39.80M,632.76M,1.287B,0.104M,216.64M,2.451B,169.53M,,52.25M,2.550B
2014-09,646.55M,395.65M,1.042B,927.25M,,927.25M,10.17M,70.96M,11.37M,27.81M,120.32M,61.73M,49.00M,,2.201B,,,,,,,,,818.97M,,,453.44M,263.08M,3.416M,1.539B,3.739B,47.34M,,,47.34M,290.63M,337.98M,,,,1.252M,1.252M,70.97M,70.97M,,410.20M,287.95M,276.11M,564.06M,,189.62M,189.62M,23.75M,777.43M,1.188B,0.102M,145.21M,2.423B,43.85M,,26.90M,2.552B
2014-06,600.14M,216.77M,816.91M,893.92M,,893.92M,10.22M,60.11M,12.22M,27.35M,109.90M,60.67M,37.29M,,1.919B,,,,,,,,,707.32M,,,550.82M,270.37M,8.877M,1.537B,3.456B,47.23M,,,47.23M,236.15M,283.38M,,,,1.06M,1.06M,67.13M,67.13M,,351.58M,282.26M,234.52M,516.79M,,203.90M,203.90M,14.97M,735.66M,1.087B,0.102M,65.49M,2.343B,43.85M,,4.263M,2.369B
2014-03,461.86M,186.28M,648.13M,1.047B,,1.047B,6.792M,47.86M,13.23M,18.66M,86.54M,52.25M,36.62M,,1.871B,,,,,,,,,600.86M,,,534.69M,248.45M,5.34M,1.389B,3.260B,32.69M,,,32.69M,205.24M,237.94M,,,,1.06M,1.06M,66.07M,66.07M,,305.07M,326.67M,203.38M,530.05M,,202.23M,202.23M,11.79M,744.08M,1.049B,0.101M,-27.25M,2.237B,,,1.465M,2.211B
2013-12,535.61M,158.38M,693.98M,954.97M,,954.97M,9.12M,35.87M,14.35M,11.01M,70.35M,32.95M,44.68M,,1.797B,0.0,2.768M,343.36M,233.73M,142.37M,26.37M,748.60M,-221.62M,526.98M,,,389.89M,231.88M,5.327M,1.154B,2.951B,61.94M,,,61.94M,188.96M,250.90M,,,,,,47.00M,47.00M,0.939M,298.84M,320.32M,184.26M,504.57M,,184.20M,184.20M,11.33M,700.10M,998.94M,0.099M,-92.69M,2.046B,0.00,,-1.188M,1.952B
2013-09,263.21M,182.11M,445.32M,992.82M,,992.82M,5.225M,34.84M,12.32M,10.91M,63.29M,93.55M,39.17M,,1.634B,,,,,,,,,453.89M,,,329.86M,218.09M,4.409M,1.006B,2.640B,31.19M,,,31.19M,187.94M,219.14M,,,,0.794M,0.794M,48.80M,48.80M,,268.73M,314.16M,167.22M,481.38M,,189.56M,189.56M,10.57M,681.52M,950.24M,0.099M,-189.50M,1.882B,,,-2.851M,1.690B
2013-06,381.68M,155.83M,537.51M,876.02M,,876.02M,5.38M,34.58M,10.43M,6.77M,57.16M,51.75M,38.93M,,1.561B,,,,,,,,,419.65M,,,173.33M,208.71M,15.21M,816.90M,2.378B,24.42M,,,24.42M,129.41M,153.83M,,,,0.794M,0.794M,49.18M,49.18M,,203.80M,308.12M,164.39M,472.51M,,198.41M,198.41M,10.20M,681.12M,884.92M,0.099M,-330.80M,1.827B,,,-3.429M,1.493B
2013-03,180.36M,127.35M,307.71M,802.64M,,802.64M,6.315M,25.06M,6.39M,6.211M,43.98M,53.16M,99.63M,,1.307B,,,,,,,,,392.38M,,,346.61M,201.32M,28.57M,968.88M,2.276B,24.73M,,,24.73M,120.68M,145.41M,,,,1.473M,1.473M,50.36M,50.36M,,197.24M,302.27M,159.01M,461.28M,,202.34M,202.34M,8.786M,672.41M,869.65M,0.097M,-418.18M,1.826B,,,-1.644M,1.406B
2012-12,230.28M,77.82M,308.10M,693.12M,,693.12M,4.862M,14.66M,2.57M,6.55M,28.64M,28.02M,148.13M,,1.206B,0.0,2.117M,328.17M,194.51M,25.08M,10.58M,560.45M,-180.51M,379.94M,,,271.23M,192.02M,31.29M,874.48M,2.080B,38.93M,,,38.93M,72.41M,111.34M,,,,1.374M,1.374M,50.83M,50.83M,,163.55M,296.52M,159.44M,455.95M,,208.34M,208.34M,7.259M,671.56M,835.10M,0.097M,-517.05M,1.764B,,,-1.166M,1.245B
2012-09,119.00M,143.55M,262.55M,506.68M,,601.27M,6.553M,18.58M,4.437M,,29.57M,55.21M,,,948.60M,,,,,,,,,372.92M,,,312.60M,,26.50M,712.01M,1.661B,21.94M,,,21.94M,55.66M,77.60M,,,,1.277M,1.277M,53.07M,53.07M,,178.57M,290.96M,159.50M,450.46M,,218.58M,218.58M,6.987M,676.02M,854.59M,0.096M,-987.46M,1.795B,,,-1.904M,806.02M
2012-06,171.94M,129.08M,301.02M,349.64M,,435.38M,6.975M,13.61M,3.841M,,24.42M,8.366M,,,769.19M,,,,,,,,,372.28M,,,288.32M,,27.71M,688.31M,1.458B,25.67M,,,25.67M,65.64M,91.31M,,,,1.183M,1.183M,55.27M,55.27M,,183.22M,285.49M,159.56M,445.05M,,227.31M,227.31M,7.262M,679.62M,862.84M,0.096M,-1.179B,1.776B,,,-2.371M,594.66M
2012-03,394.58M,37.71M,432.30M,159.46M,,238.35M,0.641M,16.62M,3.36M,,20.62M,5.653M,,,696.92M,,,,,,,,,369.96M,,,254.74M,,28.55M,653.24M,1.350B,25.39M,,,25.39M,47.00M,72.39M,,,,1.093M,1.093M,52.57M,52.57M,,160.39M,280.21M,159.53M,439.74M,,238.55M,238.55M,7.455M,685.75M,846.14M,0.095M,-1.256B,1.761B,,,-1.337M,504.02M
2011-12,483.61M,43.33M,526.94M,103.04M,,103.04M,4.666M,8.846M,1.142M,1.96M,16.61M,19.19M,0.00,,665.78M,0.0,2.117M,322.75M,185.86M,10.88M,4.479M,526.09M,-158.14M,367.96M,,,275.89M,0.00,13.96M,657.81M,1.324B,27.74M,,,27.74M,67.89M,95.62M,,,,1.006M,1.006M,51.64M,51.64M,,148.27M,275.02M,159.51M,434.53M,,248.61M,248.61M,6.443M,689.58M,837.85M,0.093M,-1.267B,1.755B,,,-1.862M,485.73M
2011-09,206.40M,39.10M,245.50M,78.45M,,78.45M,,,,,,15.93M,,,339.87M,,,,,,,,,363.91M,,,258.07M,,21.17M,643.16M,983.03M,17.31M,,3.406M,20.72M,20.56M,41.27M,,,,0.92M,0.92M,53.42M,53.42M,,133.24M,,159.48M,159.48M,,254.66M,254.66M,7.405M,421.54M,554.78M,0.092M,-1.214B,1.644B,,,-1.731M,428.25M
2011-06,254.31M,55.37M,309.68M,84.56M,,84.56M,,,,,,19.03M,,,413.27M,,,,,,,,,361.88M,,,251.26M,,20.45M,633.59M,1.047B,25.96M,,11.01M,36.97M,44.70M,81.66M,,,,0.877M,0.877M,53.33M,53.33M,,135.87M,,159.46M,159.46M,,266.70M,266.70M,6.806M,432.96M,568.83M,0.091M,-1.152B,1.630B,,,-0.904M,478.03M
2011-03,135.38M,91.06M,226.44M,88.16M,,88.16M,,,,,,10.90M,,,325.50M,,,,,,,,,357.42M,,,373.62M,,17.75M,748.79M,1.074B,16.15M,,2.759M,18.90M,39.70M,58.60M,,,,0.798M,0.798M,52.85M,52.85M,,112.25M,,159.35M,159.35M,,277.42M,277.42M,7.18M,443.95M,556.20M,0.091M,-1.089B,1.609B,,,-2.175M,518.09M
2010-12,112.57M,136.80M,249.37M,81.92M,,81.92M,0.592M,0.699M,0.132M,,1.423M,24.91M,,,357.62M,0.0,2.117M,242.04M,160.19M,70.36M,4.063M,478.76M,-131.31M,347.45M,,,370.05M,,14.31M,731.81M,1.089B,15.59M,,2.254M,17.84M,23.79M,41.63M,,,,0.675M,0.675M,54.72M,54.72M,,109.06M,,159.36M,159.36M,,285.86M,285.86M,7.35M,452.56M,561.62M,0.089M,-1.046B,1.576B,,,-2.491M,527.82M
2010-09,325.29M,153.77M,479.05M,82.29M,,82.29M,,,,,,14.38M,,,575.72M,,,,,,,,,318.50M,,,37.96M,,10.26M,366.71M,942.43M,,,,,,74.98M,,,,0.634M,0.634M,58.22M,58.22M,,133.83M,,158.38M,158.38M,,296.86M,296.86M,5.289M,460.54M,594.37M,0.082M,-1.031B,1.379B,,,-0.175M,348.06M
2010-06,112.00M,194.34M,306.34M,95.20M,,95.20M,,,,,,16.22M,,,417.75M,,,,,,,,,292.33M,,,70.46M,,10.10M,372.89M,790.64M,,,,,,58.26M,,,,0.448M,0.448M,60.87M,60.87M,,119.57M,,157.36M,157.36M,,138.18M,138.18M,4.318M,299.85M,419.42M,0.082M,-997.09M,1.369B,,,-0.306M,371.22M
2010-03,117.31M,186.33M,303.64M,71.86M,,71.86M,,,,,,19.95M,,,395.44M,,,,,,,,,274.62M,,,108.28M,,8.813M,391.71M,787.16M,,,,,,53.90M,,,,0.435M,0.435M,49.75M,49.75M,,104.09M,,156.46M,156.46M,,136.19M,136.19M,4.14M,296.79M,400.88M,0.082M,-971.62M,1.357B,,,0.717M,386.27M
2009-12,207.08M,134.26M,341.33M,65.57M,,65.57M,,,,,,18.61M,,,425.51M,0.0,2.117M,177.71M,130.06M,58.54M,4.023M,372.45M,-112.78M,259.68M,,,47.08M,,8.938M,315.69M,741.20M,,,,1.186M,47.84M,49.03M,,,,,,44.54M,44.54M,,93.58M,,109.02M,109.02M,,137.88M,137.88M,3.959M,250.86M,344.44M,0.081M,-941.10M,1.337B,,,1.044M,396.76M
2009-09,250.32M,129.48M,379.80M,67.77M,,67.77M,,,,,,14.03M,,,461.59M,,,,,,,,,215.17M,,,57.20M,,8.229M,280.60M,742.19M,,,,,,55.29M,,,,,,58.87M,58.87M,,114.16M,,62.57M,62.57M,,139.67M,139.67M,3.341M,205.58M,319.75M,0.08M,-904.61M,1.323B,,0.002M,3.537M,422.44M
2009-06,271.47M,120.45M,391.92M,60.05M,,60.05M,,,,,,13.07M,,,465.03M,,,,,,,,,195.41M,,,72.84M,,9.06M,277.31M,742.34M,13.03M,,,13.03M,38.85M,51.88M,,,,,,68.54M,68.54M,,120.42M,,62.92M,62.92M,,147.26M,147.26M,1.235M,211.42M,331.84M,0.08M,-903.59M,1.313B,,,1.014M,410.51M
2009-03,199.10M,216.78M,415.88M,48.21M,,48.21M,,,,,,19.70M,,,483.79M,,,,,,,,,109.84M,,,78.46M,,9.33M,197.63M,681.42M,17.78M,,,17.78M,27.05M,44.83M,,,,,,58.28M,58.28M,,103.11M,,,,,154.84M,154.84M,13.15M,167.99M,271.10M,0.08M,-893.41M,1.305B,,,-1.248M,410.32M
2008-12,247.80M,226.95M,474.75M,35.21M,,35.21M,,,,,,11.48M,,,521.44M,0.0,2.117M,74.34M,83.44M,78.70M,2.72M,241.32M,-99.28M,142.04M,,,51.06M,,9.682M,202.78M,724.22M,6.268M,,9.799M,16.07M,20.10M,36.17M,,,,,,47.50M,47.50M,,83.67M,,,,,162.42M,162.42M,56.61M,219.03M,302.71M,0.08M,-873.26M,1.295B,,,-0.114M,421.51M
2008-09,314.68M,348.92M,663.61M,42.21M,,42.21M,,,,,,9.726M,,,715.54M,,,,,,,169.30M,-96.48M,72.82M,,,,,37.53M,110.35M,825.89M,13.19M,,,13.19M,25.74M,38.92M,117.50M,,117.50M,,117.50M,58.38M,58.38M,2.962M,217.77M,,,,,,,,171.19M,388.96M,0.079M,-844.41M,1.285B,,,-3.96M,436.93M
2008-06,292.13M,408.28M,700.40M,32.84M,,32.84M,,,,,,9.151M,,,742.39M,,,,,,,160.71M,-96.48M,64.23M,,,,,44.60M,108.83M,851.22M,10.44M,,,10.44M,20.86M,31.30M,118.65M,,118.65M,,118.65M,66.98M,66.98M,6.994M,223.92M,,,,,,,,176.31M,400.23M,0.079M,-823.29M,1.275B,,,-0.315M,451.00M
2008-03,520.88M,222.37M,743.25M,32.96M,,32.96M,,,,,,11.30M,,,787.50M,,,,,,,154.90M,-96.48M,58.42M,,,,,84.95M,143.37M,930.88M,9.475M,,,9.475M,14.74M,24.22M,200.00M,,200.00M,,200.00M,55.64M,55.64M,6.095M,285.95M,,,,,,,,184.32M,470.27M,0.079M,-804.84M,1.265B,,,0.828M,460.60M
2007-12,498.92M,267.53M,766.46M,18.32M,,18.32M,,,,,,13.05M,,,797.83M,0.0,2.117M,66.21M,67.80M,4.677M,13.98M,154.78M,-96.48M,58.30M,,,78.22M,,1.903M,138.43M,936.26M,8.128M,,4.892M,13.02M,26.21M,39.23M,200.00M,,200.00M,,200.00M,44.43M,44.43M,,283.66M,,,,,192.33M,192.33M,,192.33M,475.99M,0.079M,-793.22M,1.253B,,,0.17M,460.27M
2007-09,97.42M,299.57M,396.98M,10.97M,,10.97M,,,,,,14.07M,,,422.02M,,,,,,,136.97M,-87.61M,49.36M,,,,,101.72M,151.08M,573.10M,5.33M,,,5.33M,17.50M,22.83M,,,,,,68.81M,68.81M,5.042M,96.69M,200.00M,,200.00M,,,,125.01M,325.01M,421.70M,0.066M,-780.15M,931.48M,,,-0.005M,151.40M
2007-06,109.64M,351.05M,460.70M,20.48M,,20.48M,,,,,,15.81M,,,496.98M,,,,,,,135.26M,-87.61M,47.65M,,,,,53.23M,100.88M,597.86M,18.55M,,,18.55M,14.07M,32.61M,,,,,,69.93M,69.93M,2.292M,104.83M,200.00M,,200.00M,,,,113.69M,313.69M,418.52M,0.066M,-744.31M,924.09M,,,-0.516M,179.34M
2007-03,156.48M,295.91M,452.39M,33.63M,,33.63M,,,,,,3.137M,,,489.16M,,,,,,,135.39M,-87.61M,47.78M,,,,,64.49M,112.27M,601.43M,4.805M,,,4.805M,15.28M,20.08M,,,,,,63.52M,63.52M,,83.60M,200.00M,,200.00M,,,,121.14M,321.14M,404.74M,0.065M,-717.53M,914.32M,,,-0.159M,196.69M
2006-12,237.88M,221.40M,459.28M,7.493M,,7.493M,,,,,,3.215M,,,469.98M,0.0,0.475M,71.71M,64.58M,0.203M,,136.96M,-87.61M,49.35M,,,,,65.75M,115.11M,585.09M,21.47M,,,21.47M,,21.47M,,,,,,23.54M,23.54M,,45.01M,200.00M,,200.00M,,,,123.45M,323.45M,368.47M,0.065M,-687.62M,904.41M,,,-0.231M,216.62M
