,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,478.00M,,,36.40M,36.40M,-6.40M,,82.40M,-4.20M,30.40M,-88.80M,68.80M,76.70M,,,-54.50M,32.60M,618.80M,-79.40M,,-346.00M,,-425.40M,,,13.40M,0.00,13.40M,,,13.40M,825.20M,206.80M,1.032B,13.40M,,,0.00
2017-12,173.51M,,,34.54M,34.54M,427.04M,,127.16M,19.48M,-2.871M,-78.56M,-85.09M,5.708M,,,-53.98M,-214.79M,566.94M,-107.64M,,-228.13M,,-335.76M,0.025M,0.025M,13.31M,-223.87M,-210.56M,,,-210.54M,804.56M,20.64M,825.20M,13.31M,0.00,0.025M,-223.87M
2017-09,388.32M,,,37.72M,37.72M,-50.50M,,125.10M,6.385M,-126.90M,-84.10M,48.96M,118.32M,,,-48.46M,-92.18M,414.83M,-59.65M,,-299.23M,,-358.88M,0.00,0.00,38.20M,-46.40M,-8.196M,,,-8.196M,756.81M,47.75M,804.56M,38.20M,0.00,0.00,-46.40M
2017-06,387.74M,,,35.13M,35.13M,-16.75M,,121.26M,33.68M,-95.00M,-81.80M,-56.84M,-334.93M,,,-23.06M,-591.62M,-30.57M,-54.85M,,-115.56M,,-170.41M,-7.064M,-7.064M,172.02M,-31.44M,140.58M,,,133.52M,824.27M,-67.46M,756.81M,172.02M,0.00,-7.064M,-31.44M
2017-03,248.93M,,,38.12M,38.12M,-40.99M,,133.79M,3.956M,-137.93M,-69.74M,-20.32M,187.70M,,,12.40M,-27.90M,355.90M,-50.46M,,-89.68M,,-140.14M,44.14M,44.14M,16.67M,,16.67M,,,60.81M,547.70M,276.57M,824.27M,16.67M,57.00M,-12.86M,
2016-12,253.09M,,,28.86M,28.86M,-169.77M,,154.58M,31.51M,32.28M,-50.09M,1.243M,146.56M,,,-37.88M,92.11M,390.38M,-150.41M,,-120.84M,,-271.25M,-31.18M,-31.18M,36.92M,-96.25M,-59.32M,-401.28M,,-491.79M,920.36M,-372.66M,547.70M,36.92M,0.015M,-31.20M,-96.25M
2016-09,264.80M,,,27.84M,27.84M,-27.68M,,131.38M,5.791M,108.10M,-26.82M,-22.23M,-26.49M,,,216.33M,248.89M,651.03M,-118.56M,,-287.30M,,-405.85M,4.445M,4.445M,26.17M,-1.941M,24.23M,0.00,,28.68M,646.51M,273.85M,920.36M,26.17M,5.085M,-0.64M,-1.941M
2016-06,196.22M,,,25.03M,25.03M,-82.87M,,131.69M,3.838M,113.25M,-10.62M,17.83M,30.49M,,,-25.36M,125.59M,399.50M,-138.84M,,-187.17M,,-326.01M,-11.53M,-11.53M,24.30M,-43.97M,-19.67M,0.00,,-31.20M,604.21M,42.29M,646.51M,24.30M,0.00,-11.53M,-43.97M
2016-03,181.38M,,,22.98M,22.98M,-79.78M,,142.25M,3.957M,-397.43M,-62.26M,39.26M,103.43M,,,91.20M,-225.80M,44.99M,-104.09M,,60.41M,,-43.68M,-2.337M,-2.337M,39.30M,-1.042M,38.26M,-242.12M,,-206.19M,809.10M,-204.89M,604.21M,39.30M,0.00,-2.337M,-1.042M
2015-12,154.99M,,,22.91M,22.91M,-55.65M,,158.39M,17.64M,-28.48M,-45.57M,-66.25M,139.00M,,,-15.17M,-16.47M,281.82M,-177.78M,,54.48M,,-123.30M,-20.84M,-20.84M,55.94M,-88.86M,-32.93M,-50.00M,99.77M,-4.008M,654.59M,154.52M,809.10M,55.94M,0.968M,-21.81M,-88.86M
2015-09,210.40M,,,20.67M,20.67M,-6.906M,,102.64M,1.902M,-44.19M,-20.66M,-47.06M,35.31M,,,640.75M,564.14M,892.85M,-146.10M,,-137.07M,,-283.17M,-2.381M,-2.381M,34.60M,-35.74M,-1.145M,-398.96M,56.83M,-345.65M,390.55M,264.03M,654.59M,34.60M,-0.375M,-2.006M,-35.74M
2015-06,194.64M,,,15.30M,15.30M,-21.81M,,94.26M,24.21M,-89.01M,-40.16M,-9.592M,99.22M,,,-9.228M,-48.76M,257.83M,-239.89M,,-131.76M,,-371.65M,-107.27M,-107.27M,39.55M,-14.74M,24.81M,0.00,78.92M,-3.535M,507.91M,-117.35M,390.55M,39.55M,20.04M,-127.32M,-14.74M
2015-03,76.02M,,,16.03M,16.03M,-37.26M,,103.76M,8.808M,-329.75M,-5.434M,43.43M,30.12M,,,-7.457M,-269.09M,-101.73M,-114.16M,,-15.32M,,-129.48M,-9.948M,-9.948M,76.27M,-21.19M,55.08M,-124.53M,169.79M,90.40M,648.72M,-140.81M,507.91M,76.27M,6.738M,-16.69M,-21.19M
2014-12,90.10M,,-10.79M,14.14M,14.14M,-19.12M,,113.02M,49.10M,-88.57M,-6.03M,-16.48M,84.68M,,,-11.87M,-38.27M,198.18M,-117.54M,,174.19M,,56.64M,-159.80M,-159.80M,45.24M,-91.72M,-46.48M,-151.51M,105.13M,-252.66M,646.55M,2.165M,648.72M,45.24M,,-159.80M,-91.72M
2014-09,83.38M,,0.00,14.00M,14.00M,-15.07M,,68.12M,11.00M,-31.13M,-13.62M,0.596M,59.69M,,,-12.64M,2.887M,164.32M,-79.77M,,-43.30M,,-123.07M,-0.276M,-0.276M,17.75M,-110.88M,-93.13M,0.00,98.57M,5.166M,600.14M,46.42M,646.55M,17.75M,,-0.276M,-110.88M
2014-06,96.35M,,10.79M,13.02M,13.02M,-13.33M,,64.83M,7.792M,177.30M,-21.74M,-8.548M,30.96M,,,-21.00M,156.97M,336.41M,-70.87M,,-47.25M,,-118.12M,-61.40M,-61.40M,8.015M,-1.904M,6.111M,-143.04M,118.32M,-80.01M,461.86M,138.28M,600.14M,8.015M,,-61.40M,-1.904M
2014-03,68.30M,,,11.53M,11.53M,-5.761M,,75.78M,9.677M,-92.53M,-15.55M,-20.90M,-14.14M,,,37.11M,-106.01M,53.53M,-64.82M,,-171.41M,,-236.23M,-0.262M,-0.262M,55.04M,-63.09M,-8.044M,0.00,117.26M,108.95M,535.61M,-73.75M,461.86M,55.04M,,-0.262M,-63.09M
2013-12,86.18M,,,11.29M,11.29M,-20.70M,,72.16M,13.72M,105.34M,-11.21M,3.833M,41.79M,,,-20.68M,119.06M,281.73M,-68.98M,,-40.97M,,-109.95M,-0.399M,-0.399M,15.68M,-28.73M,-13.05M,0.00,114.07M,100.62M,263.21M,272.40M,535.61M,15.68M,,-0.399M,-28.73M
2013-09,141.31M,,,10.80M,10.80M,-9.632M,,45.74M,3.388M,-144.66M,-5.598M,1.038M,59.30M,,,-9.236M,-99.15M,92.46M,-31.69M,,-182.76M,,-214.45M,-0.628M,-0.628M,7.418M,-93.22M,-85.80M,0.00,89.96M,3.533M,381.68M,-118.46M,263.21M,7.418M,,-0.628M,-93.22M
2013-06,87.38M,,,9.702M,9.702M,53.00M,,44.44M,16.68M,-88.37M,-13.56M,20.52M,3.487M,,,-5.109M,-83.04M,128.16M,-34.45M,,151.08M,,116.63M,-0.348M,-0.348M,21.34M,-70.05M,-48.72M,0.00,5.583M,-43.48M,180.36M,201.31M,381.68M,21.34M,,-0.348M,-70.05M
2013-03,98.87M,,,9.407M,9.407M,39.52M,,53.03M,12.96M,-117.78M,-17.58M,-17.82M,32.10M,,,-6.47M,-127.54M,86.25M,-21.20M,,-126.48M,,-147.68M,-0.649M,-0.649M,12.96M,-3.085M,9.879M,,2.293M,11.52M,230.28M,-49.91M,180.36M,12.96M,,-0.649M,-3.085M
2012-12,470.41M,,,9.778M,9.778M,,,30.77M,26.33M,-90.16M,,45.87M,-18.25M,,,-12.47M,-103.94M,93.18M,-15.16M,,105.75M,0.518M,91.10M,-0.602M,-0.602M,15.11M,-91.82M,-76.72M,,,-73.01M,119.00M,111.28M,230.28M,15.11M,,-0.602M,-91.82M
2012-09,191.47M,,,9.329M,9.329M,,,20.54M,8.398M,-165.89M,,-51.73M,-3.558M,,,-10.94M,-232.11M,-2.382M,-10.25M,,-38.46M,-0.049M,-48.75M,-0.587M,-0.587M,8.809M,-10.03M,-1.222M,,,-1.809M,171.94M,-52.94M,119.00M,8.809M,,-0.587M,-10.03M
2012-06,76.74M,,,9.417M,9.417M,,,19.61M,14.21M,-197.03M,,-12.86M,20.08M,,,-8.543M,-198.35M,-78.38M,-12.87M,,-126.31M,-0.006M,-139.19M,-0.514M,-0.514M,7.803M,-12.37M,-4.563M,,,-5.077M,394.58M,-222.64M,171.94M,7.803M,,-0.514M,-12.37M
2012-03,11.65M,,,8.416M,8.416M,,,23.24M,8.037M,-135.31M,,-6.661M,12.71M,,,-9.126M,-138.39M,-87.04M,-11.06M,,27.28M,-0.463M,15.77M,-0.50M,-0.50M,31.83M,-49.08M,-17.25M,,,-17.75M,483.61M,-89.02M,394.58M,31.83M,,-0.50M,-49.08M
2011-12,-53.44M,,,7.926M,7.926M,,,56.09M,-30.87M,-26.05M,,3.187M,14.76M,,,-7.831M,-30.03M,-50.32M,-11.29M,,-23.03M,0.408M,-33.91M,390.45M,390.45M,3.452M,-8.762M,-5.31M,,,361.44M,206.40M,277.22M,483.61M,3.452M,,-0.657M,-8.762M
2011-09,-62.36M,,,8.276M,8.276M,,,-27.20M,41.85M,6.071M,,1.897M,-3.323M,,,-11.94M,-7.299M,-46.74M,-8.898M,,7.999M,-0.004M,-0.903M,-0.306M,-0.306M,11.63M,-11.61M,0.027M,,,-0.279M,254.31M,-47.92M,206.40M,11.63M,,-0.306M,-11.61M
2011-06,-62.50M,,,7.902M,7.902M,,,12.40M,0.25M,3.179M,,-10.03M,25.00M,,,-10.24M,7.907M,-34.05M,-14.86M,,158.51M,-0.713M,142.94M,-0.398M,-0.398M,14.10M,-3.646M,10.45M,,,10.05M,135.38M,118.94M,254.31M,14.10M,,-0.398M,-3.646M
2011-03,-43.45M,,,6.978M,6.978M,,,14.80M,0.582M,-4.317M,,11.56M,13.57M,,,-10.31M,10.51M,-10.58M,-22.17M,,42.48M,0.032M,20.35M,-0.306M,-0.306M,14.41M,-1.063M,13.34M,,,13.04M,112.57M,22.80M,135.38M,14.41M,,-0.306M,-1.063M
2010-12,-104.47M,,,6.086M,6.086M,,,13.57M,91.32M,-0.799M,,-11.66M,-20.39M,,,-14.51M,-47.36M,-40.85M,-32.26M,,-318.22M,-4.141M,-354.62M,-0.271M,-0.271M,186.83M,,183.03M,,,182.76M,325.29M,-212.71M,112.57M,186.83M,0.00,-0.271M,
2010-09,,,,4.894M,4.894M,,,8.79M,-32.87M,12.91M,,1.842M,9.893M,,,156.04M,180.69M,161.50M,-22.10M,,72.28M,0.00,50.17M,-0.083M,-0.083M,1.696M,,1.696M,,,1.613M,112.00M,213.29M,325.29M,1.696M,0.00,-0.083M,
2010-06,30.52M,,,4.524M,4.524M,,,8.707M,-54.92M,-23.34M,,4.087M,5.462M,,,13.10M,-0.686M,-11.85M,-22.58M,,28.20M,-1.80M,3.82M,-0.119M,-0.119M,2.838M,,2.838M,,,2.719M,117.31M,-5.311M,112.00M,2.838M,0.00,-0.119M,
2010-03,-30.52M,,,4.183M,4.183M,,,8.834M,0.544M,-6.29M,,-2.483M,12.64M,,,3.513M,7.383M,-9.578M,-22.74M,,-113.66M,,-136.40M,46.99M,46.99M,9.226M,,9.226M,,,56.22M,207.08M,-89.76M,117.31M,9.226M,47.54M,-0.555M,
2009-12,-36.49M,0.00,0.00,4.935M,4.935M,,,8.657M,8.657M,2.198M,,-4.204M,-5.383M,,,-16.12M,-23.51M,-46.40M,-22.32M,,3.146M,0.00,-19.17M,,,3.972M,,3.972M,,-4.409M,22.33M,250.32M,-43.25M,207.08M,3.972M,,,
2009-09,-1.015M,-0.056M,-0.056M,3.59M,3.59M,,,7.508M,7.508M,-7.72M,,0.208M,4.915M,,,-17.25M,-19.85M,-9.822M,-22.33M,,8.86M,0.00,-13.47M,,,2.921M,,2.921M,,-0.773M,2.148M,271.47M,-21.14M,250.32M,2.921M,,,
2009-06,-14.94M,,,2.998M,2.998M,,,7.44M,7.44M,-11.84M,,8.033M,5.002M,,,2.679M,3.877M,-0.623M,-30.75M,,103.03M,0.05M,72.32M,,,0.667M,,0.667M,,0.00,0.667M,199.10M,72.37M,271.47M,0.667M,,,
2009-03,-15.39M,,,2.724M,2.724M,,,7.654M,7.654M,-13.00M,,-8.611M,8.043M,,,3.194M,-10.37M,-15.38M,-21.92M,,-17.62M,,-39.54M,,,1.038M,,1.038M,,5.182M,6.22M,247.80M,-48.70M,199.10M,1.038M,,,
2008-12,-27.94M,,1.082M,2.626M,2.626M,,,32.52M,6.869M,6.994M,,-1.281M,-7.435M,,,-16.76M,-18.48M,-35.84M,-15.74M,19.12M,100.41M,0.00,84.67M,-200.81M,-117.50M,1.784M,,1.784M,,,-115.72M,314.68M,-66.89M,247.80M,1.784M,,-200.81M,
2008-09,-20.66M,,0.235M,2.774M,2.774M,,-0.53M,-16.50M,8.624M,-9.368M,,-9.145M,2.593M,,,-16.60M,-32.52M,-41.55M,-9.328M,-19.12M,72.10M,0.00,62.78M,82.15M,-1.156M,2.48M,,2.48M,,,1.324M,292.13M,22.56M,314.68M,2.48M,,82.15M,
2008-06,-18.92M,,0.931M,2.941M,2.941M,,0.53M,8.214M,8.744M,0.122M,,2.373M,6.677M,,,3.327M,12.50M,6.197M,-6.742M,,-147.78M,-0.05M,-154.58M,-82.15M,-82.15M,1.782M,,1.782M,,,-80.37M,520.88M,-228.75M,292.13M,1.782M,,-82.15M,
2008-03,-11.62M,,,2.946M,2.946M,,,8.286M,8.286M,-14.64M,,1.493M,-7.564M,,,3.20M,-17.51M,-17.90M,-3.047M,,40.99M,,37.94M,,,1.903M,,1.903M,,,1.903M,498.92M,21.95M,520.88M,1.903M,,,
2007-12,-13.07M,,,2.899M,2.899M,,,,6.734M,-7.352M,,2.227M,10.50M,,,42.93M,48.31M,50.82M,-10.73M,7.716M,47.19M,,36.46M,,,314.23M,,314.23M,,,314.23M,97.42M,401.51M,498.92M,314.23M,,,
2007-09,-35.84M,,,2.859M,2.859M,,,,7.844M,9.51M,,1.365M,-6.65M,,,10.21M,14.44M,-10.70M,-4.692M,-4.692M,2.818M,,-1.874M,,,0.347M,,0.347M,,,0.347M,109.64M,-12.23M,97.42M,0.347M,,,
2007-06,-26.77M,,,2.874M,2.874M,,,,6.912M,13.15M,,-12.80M,14.17M,,,-1.044M,13.48M,-3.507M,-1.827M,-1.827M,-44.37M,,-46.20M,,,2.866M,,2.866M,,,2.866M,156.48M,-46.84M,109.64M,2.866M,,,
2007-03,-29.92M,,,2.855M,2.855M,,,,6.585M,-26.14M,,-0.44M,0.152M,,,37.67M,11.24M,-9.238M,-1.197M,-1.197M,-72.92M,,-74.11M,,,1.958M,,1.958M,,,1.958M,237.88M,-81.39M,156.48M,1.958M,,,
2006-12,-30.97M,,0.813M,3.396M,3.396M,,,,4.32M,0.447M,0.07M,-0.209M,2.101M,,,73.34M,75.74M,53.30M,-1.208M,-1.208M,-160.41M,,-163.21M,,,180.12M,,180.12M,,0.00,180.12M,167.66M,70.21M,237.88M,180.12M,,,
2006-09,-27.41M,,0.00,3.708M,3.708M,,,,4.763M,4.201M,2.245M,-0.263M,2.365M,,8.063M,-12.50M,4.108M,-14.83M,-0.617M,-0.617M,67.08M,,66.46M,,,1.07M,,1.07M,,0.00,1.07M,114.96M,52.70M,167.66M,1.07M,,,
2006-06,-23.58M,,0.00,3.69M,3.69M,,,,4.70M,-1.131M,1.371M,-0.396M,-2.049M,,-3.284M,,-5.489M,-20.68M,-0.34M,-0.34M,-47.14M,,-47.48M,,,0.397M,,0.397M,,0.39M,0.787M,182.33M,-67.37M,114.96M,0.397M,,,
2006-03,-20.38M,,-0.813M,3.798M,3.798M,,,,4.079M,25.51M,-0.092M,1.023M,-3.069M,,-4.779M,,18.59M,5.278M,-0.646M,-0.646M,-10.22M,,-10.87M,,,3.416M,,3.416M,,,3.416M,184.51M,-2.176M,182.33M,3.416M,,,
2005-12,-29.67M,,21.86M,3.88M,3.88M,,,,-17.62M,-25.98M,0.042M,1.03M,2.756M,9.398M,14.47M,,1.71M,-19.85M,-0.351M,-0.351M,25.65M,,25.30M,,,2.959M,,2.959M,,,2.959M,176.09M,8.415M,184.51M,2.959M,,,
2005-09,-34.65M,,-11.70M,3.935M,3.935M,,,,17.62M,6.294M,1.067M,0.29M,4.697M,-9.398M,6.848M,,9.798M,-15.00M,-1.716M,-1.716M,47.52M,,45.80M,,,0.09M,,0.09M,,,0.09M,145.20M,30.89M,176.09M,0.09M,,,
2005-06,-27.00M,,11.70M,3.831M,3.831M,,,,-5.881M,-6.459M,-0.386M,-1.206M,-0.991M,,-2.195M,,-11.24M,-28.58M,-1.538M,-1.538M,27.50M,,25.97M,,,0.002M,,0.002M,,,0.002M,147.82M,-2.615M,145.20M,0.002M,,,
2005-03,-4.123M,,,3.858M,3.858M,,,,5.881M,32.73M,0.527M,-0.04M,-1.049M,,-4.653M,,27.52M,33.13M,-1.359M,-1.359M,19.78M,,18.42M,,,1.03M,,1.03M,,,1.03M,95.23M,52.59M,147.82M,1.03M,,,
2004-12,2.792M,,2.543M,3.916M,3.916M,,,,-1.917M,-18.24M,1.313M,0.539M,-1.35M,,-1.799M,,-19.53M,-12.20M,-1.327M,-1.327M,1.49M,,0.163M,,0.888M,0.819M,,-0.069M,,,0.819M,91.64M,-11.22M,101.23M,0.819M,,,
2004-09,-11.08M,,-1.646M,3.876M,3.876M,,,,1.917M,0.531M,6.861M,-0.63M,5.316M,,-8.735M,,3.343M,-3.586M,-2.314M,-2.314M,-3.674M,,-5.988M,,-0.888M,0.08M,,0.08M,,,-0.808M,122.83M,-10.38M,91.64M,0.08M,,,
2004-06,-14.55M,,0.962M,3.797M,3.797M,,,,,34.48M,-1.448M,-0.765M,-4.242M,,-0.782M,,27.25M,17.46M,-1.548M,-1.548M,-70.44M,,-71.99M,,0.00,0.329M,,0.329M,,,0.329M,156.23M,-54.20M,122.83M,0.329M,,,
2004-03,64.53M,,-17.09M,3.773M,3.773M,,,,,-44.35M,0.188M,-0.943M,1.301M,,-25.99M,,-69.80M,-18.58M,-0.985M,-0.985M,74.22M,,73.23M,,3.827M,0.274M,,0.274M,,,4.101M,97.48M,58.75M,156.23M,0.274M,,,
2003-12,-19.38M,,0.892M,4.314M,4.314M,,,,,-6.332M,-1.027M,-0.028M,-1.838M,,-5.033M,,-14.26M,-28.43M,-1.285M,-1.285M,-155.21M,,-156.49M,,4.426M,0.162M,,0.162M,,,4.588M,298.62M,-180.33M,118.28M,0.162M,,,
2003-09,-29.24M,,3.17M,3.656M,3.656M,,,,-1.132M,-1.326M,2.925M,0.575M,7.655M,,75.52M,,85.35M,61.81M,-3.386M,-3.386M,61.01M,,57.62M,,4.083M,45.44M,,45.44M,,,49.52M,129.66M,168.96M,298.62M,45.44M,,,
2003-06,-28.74M,,,2.679M,2.679M,,,,0.545M,-0.633M,-1.623M,-0.99M,-10.90M,,-1.05M,,-15.20M,-40.71M,-4.981M,-4.981M,-21.82M,,-26.80M,,5.086M,0.49M,,0.49M,,,5.576M,191.59M,-61.93M,129.66M,0.49M,,,
2003-03,-30.11M,,,2.288M,2.288M,,,,0.587M,-3.221M,-1.324M,1.032M,7.511M,,24.43M,,28.43M,1.193M,-20.00M,-20.00M,81.82M,,61.82M,,-0.089M,48.59M,,48.59M,,,48.50M,80.08M,111.51M,191.59M,48.59M,,,
2002-12,-35.69M,,0.483M,2.049M,2.049M,,,,,0.504M,-0.397M,1.738M,-1.653M,,0.445M,,2.135M,-31.03M,-15.17M,-15.17M,50.11M,,34.94M,,-0.087M,0.681M,,0.681M,,,0.594M,75.57M,4.503M,80.08M,0.681M,,,
2002-09,-32.82M,,1.336M,2.169M,2.169M,,,,-0.879M,-1.535M,-0.505M,0.323M,9.953M,,-0.445M,-1.455M,6.336M,-23.85M,-8.318M,-8.318M,38.42M,,30.10M,,-0.087M,0.039M,,0.039M,,,-0.048M,69.37M,6.20M,75.57M,0.039M,,,
2002-06,-30.42M,,-0.44M,2.228M,2.228M,,,,0.879M,-0.247M,-0.095M,1.246M,-5.98M,,1.788M,1.455M,-1.833M,-29.59M,-6.881M,-6.881M,-29.74M,,-36.63M,,-0.141M,0.261M,,0.261M,,,0.12M,135.47M,-66.10M,69.37M,0.261M,,,
2002-03,-25.44M,,0.441M,2.008M,2.008M,,,,,0.236M,-0.735M,-3.15M,2.379M,,-1.788M,,-3.058M,-26.05M,-4.00M,-4.00M,-82.93M,,-86.93M,,-0.111M,1.168M,,1.168M,,,1.057M,247.39M,-111.92M,135.47M,1.168M,,,
2001-12,-28.38M,,0.712M,1.81M,1.81M,,,,-0.537M,0.572M,-0.637M,3.22M,3.114M,-0.087M,2.557M,,8.739M,-17.65M,-2.60M,-2.60M,-23.61M,,-26.21M,,191.11M,0.17M,,0.17M,,,191.28M,99.97M,147.42M,247.39M,0.17M,,,
2001-09,-19.93M,,-0.241M,1.519M,1.519M,,,,0.168M,0.833M,-0.513M,-4.232M,2.812M,-0.552M,-2.557M,0.803M,-3.406M,-21.89M,-1.767M,-1.767M,-19.72M,,-21.49M,,-0.148M,0.546M,,0.546M,,,0.398M,142.96M,-42.98M,99.97M,0.546M,,,
2001-06,-14.83M,,0.065M,1.419M,1.419M,,,,0.369M,4.098M,0.683M,0.167M,-1.448M,0.906M,,-0.803M,3.603M,-9.378M,-2.213M,-2.213M,-32.36M,,-34.58M,,-0.134M,3.424M,,3.424M,,,3.29M,183.62M,-40.66M,142.96M,3.424M,,,
2001-03,-13.04M,,1.232M,1.329M,1.329M,,,,,5.357M,-0.474M,-0.609M,-0.185M,-2.01M,,,2.079M,-8.397M,-1.643M,-1.643M,8.53M,,6.887M,,-0.23M,154.38M,,154.38M,,,154.15M,30.98M,152.64M,183.62M,154.38M,,,
2000-12,-8.455M,,1.125M,1.296M,1.296M,,,,,-3.984M,6.544M,1.254M,1.742M,-5.47M,2.178M,,2.264M,-3.77M,-1.165M,-1.165M,-13.57M,,-14.73M,,-0.322M,0.161M,,0.161M,,,-0.161M,49.64M,-18.66M,30.98M,0.161M,,,
2000-09,-3.118M,,1.099M,1.154M,1.154M,,,,,-0.296M,0.104M,-0.697M,2.865M,-1.005M,-2.178M,-1.914M,-3.121M,-3.986M,-1.041M,-1.041M,-44.64M,,-45.68M,,-0.438M,17.99M,,17.99M,,,17.56M,81.75M,-32.11M,49.64M,17.99M,,,
2000-06,-4.324M,,2.643M,1.045M,1.045M,,,,,-1.053M,-1.898M,-0.557M,-2.178M,0.841M,,1.914M,-2.931M,-3.567M,-2.518M,-2.518M,2.744M,,0.226M,,-0.43M,73.23M,,73.23M,,,72.80M,12.29M,69.46M,81.75M,73.23M,,,
