,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2015-12,1.080B,1.098B,110.83M,987.25M,294.95M,461.21M,,,-12.76M,12.76M,,756.16M,231.08M,-12.76M,12.76M,-16.55M,12.76M,227.29M,72.30M,154.99M,,154.99M,154.99M,237.44M,22.91M,214.53M,1.49,,,1.49,1.49,1.34,,,1.34,1.34,103.77M,115.49M
2015-09,1.120B,1.137B,109.08M,1.028B,209.99M,425.92M,,,1.273M,-1.273M,,635.92M,392.42M,1.273M,-1.273M,2.14M,-1.273M,393.29M,182.89M,210.40M,,210.40M,209.11M,415.24M,20.67M,394.56M,2.04,,,2.028,2.04,1.82,,,1.8090000000000002,1.82,103.35M,115.94M
2015-06,987.17M,998.62M,88.84M,909.78M,174.59M,390.33M,,,18.52M,-18.52M,,564.92M,344.86M,18.52M,-18.52M,1.653M,-18.52M,328.00M,133.35M,194.64M,,194.64M,193.65M,361.81M,15.30M,346.51M,1.89,,,1.88,1.89,1.69,,,1.681,1.69,102.89M,115.26M
2015-03,841.78M,869.61M,83.96M,785.66M,158.99M,343.11M,,,7.21M,-7.21M,,502.10M,283.55M,7.21M,-7.21M,0.18M,-7.21M,276.52M,200.50M,76.02M,,76.02M,75.91M,299.76M,16.03M,283.73M,0.74,,,0.7389,0.74,0.66,,,0.6591,0.66,102.23M,114.52M
2014-12,770.39M,802.33M,59.47M,742.86M,175.31M,351.74M,,,6.35M,-6.35M,,527.05M,215.80M,6.35M,-6.35M,-19.73M,-6.35M,189.72M,99.63M,90.10M,,90.10M,90.10M,210.21M,14.14M,196.07M,1.09,,,1.09,1.09,0.96,,,0.96,0.96,101.47M,114.04M
2014-09,725.79M,725.79M,55.59M,670.20M,144.00M,337.73M,,0.00,9.232M,-9.232M,,481.73M,188.46M,9.232M,-9.232M,2.591M,-9.232M,181.82M,98.45M,83.38M,,83.38M,81.69M,205.06M,14.00M,191.06M,0.83,,,0.8133,0.83,0.73,,,0.7157,0.73,100.80M,117.42M
2014-06,665.70M,665.70M,46.38M,619.32M,96.73M,294.50M,,-10.79M,10.18M,-10.18M,,391.23M,228.09M,10.18M,-10.18M,-9.11M,-10.18M,208.80M,112.45M,96.35M,,96.35M,102.27M,232.00M,13.02M,218.98M,0.96,,,1.0190000000000001,0.96,0.85,,,0.9024,0.85,100.39M,113.03M
2014-03,625.74M,625.74M,43.57M,582.17M,103.23M,287.38M,,0.00,11.61M,-11.61M,,390.61M,191.56M,11.61M,-11.61M,0.937M,-11.61M,180.89M,112.58M,68.30M,,68.30M,67.70M,204.03M,11.53M,192.50M,0.69,,,0.6838,0.69,0.61,,,0.6046,0.61,98.71M,112.15M
2013-12,581.91M,610.41M,48.11M,562.30M,99.06M,268.14M,,0.00,11.66M,-11.66M,,367.20M,195.10M,11.66M,-11.66M,-2.259M,-11.66M,181.18M,94.99M,86.18M,,86.18M,87.65M,204.13M,11.29M,192.84M,0.98,,,0.9949,0.98,0.86,,,0.8749,0.86,98.86M,98.86M
2013-09,597.03M,597.03M,38.57M,558.45M,97.61M,224.04M,,0.00,11.74M,-11.74M,,321.65M,236.80M,11.74M,-11.74M,0.618M,-11.74M,225.68M,84.38M,141.31M,,141.31M,140.92M,248.22M,10.80M,237.42M,1.44,,,1.436,1.44,1.25,,,1.247,1.25,98.23M,116.71M
2013-06,457.64M,457.64M,39.61M,418.03M,72.46M,187.46M,,0.00,11.36M,-11.36M,,259.93M,158.10M,11.36M,-11.36M,0.954M,-11.36M,147.69M,60.32M,87.38M,,87.38M,86.76M,168.76M,9.702M,159.06M,0.89,,,0.8837,0.89,0.79,,,0.7844,0.79,97.70M,111.06M
2013-03,439.66M,439.66M,29.06M,410.61M,77.26M,180.30M,,,11.68M,-11.68M,,257.56M,153.05M,11.68M,-11.68M,0.456M,-11.68M,141.83M,42.96M,98.87M,,98.87M,98.56M,162.91M,9.407M,153.51M,1.02,,,1.0170000000000001,1.02,0.9,,,0.8971,0.9,96.88M,109.37M
2012-12,416.83M,414.60M,30.17M,384.43M,57.74M,181.02M,,,11.50M,-11.50M,,238.76M,145.67M,11.50M,-11.50M,0.384M,-11.50M,134.56M,-335.85M,470.41M,,470.41M,470.16M,155.83M,9.778M,146.05M,4.92,,,4.917,4.92,4.08,,,4.078,4.08,95.69M,132.19M
2012-09,426.81M,427.69M,20.14M,407.54M,46.88M,158.30M,,,11.41M,-11.41M,,205.18M,202.36M,11.41M,-11.41M,0.517M,-11.41M,191.47M,0.00,191.47M,,191.47M,190.95M,212.21M,9.329M,202.88M,2.02,,,2.015,2.02,1.72,,,1.716,1.72,95.01M,115.83M
2012-06,303.52M,304.40M,21.84M,282.56M,47.70M,147.37M,,,11.24M,-11.24M,,195.08M,87.48M,11.24M,-11.24M,0.501M,-11.24M,76.74M,0.00,76.74M,,76.74M,76.24M,97.40M,9.417M,87.98M,0.81,,,0.8047,0.81,0.7,,,0.6955,0.7,94.59M,110.17M
2012-03,231.31M,231.79M,12.30M,219.49M,58.43M,138.86M,,,11.16M,-11.16M,,197.29M,22.20M,11.16M,-11.16M,0.61M,-11.16M,11.65M,,11.65M,,11.65M,11.25M,31.23M,8.416M,22.81M,0.12,,,0.1158,0.12,0.11,,,0.1063,0.11,93.45M,107.73M
2011-12,122.98M,122.98M,2.989M,119.99M,36.35M,129.04M,,,9.455M,-9.455M,,165.39M,-45.40M,9.455M,-9.455M,0.799M,-9.455M,-54.06M,-0.615M,-53.44M,,-53.44M,-54.23M,-36.68M,7.926M,-44.60M,-0.58,,,-0.5886,-0.58,-0.58,,,-0.5886,-0.58,91.80M,91.80M
2011-09,102.83M,102.83M,0.45M,102.38M,32.92M,127.92M,,,4.061M,-4.061M,,160.84M,-58.46M,4.061M,-4.061M,0.715M,-4.061M,-61.80M,0.562M,-62.36M,,-62.36M,-62.83M,-49.47M,8.276M,-57.74M,-0.68,0.0,,-0.6851,-0.68,-0.68,0.0,,-0.6851,-0.68,91.05M,91.05M
2011-06,107.81M,107.81M,0.395M,107.42M,24.58M,143.15M,,,4.047M,-4.047M,,167.73M,-60.32M,4.047M,-4.047M,0.998M,-4.047M,-63.37M,-0.863M,-62.50M,,-62.50M,-63.49M,-51.42M,7.902M,-59.32M,-0.69,0.0,,-0.7009,-0.69,-0.69,0.0,,-0.7009,-0.69,90.44M,90.44M
2011-03,112.20M,112.20M,0.382M,111.82M,23.41M,129.39M,,,3.719M,-3.719M,,152.80M,-40.98M,3.719M,-3.719M,1.037M,-3.719M,-43.66M,-0.216M,-43.45M,,-43.45M,-44.48M,-32.97M,6.978M,-39.94M,-0.49,0.0,,-0.5016,-0.49,-0.49,0.0,,-0.5016,-0.49,89.16M,89.16M
2010-12,133.68M,133.68M,0.599M,133.08M,20.64M,125.21M,,,2.458M,-2.458M,,145.85M,-12.78M,2.458M,-2.458M,0.638M,-2.458M,-14.60M,0.00,-14.60M,,-14.60M,-14.60M,-6.053M,6.086M,-12.14M,-0.17,,,-0.17,-0.17,-0.17,,,-0.17,-0.17,87.40M,87.40M
2010-09,105.98M,105.98M,0.372M,105.61M,15.66M,122.04M,,0.453M,2.234M,-2.234M,,137.70M,-32.09M,2.234M,-2.234M,0.453M,-2.234M,-33.88M,0.00,-33.88M,,-33.88M,-34.33M,-26.75M,4.894M,-31.64M,-0.41,0.0,,-0.4155,-0.41,-0.41,0.0,,-0.4155,-0.41,81.64M,81.64M
2010-06,115.89M,115.89M,0.405M,115.48M,14.68M,124.53M,,0.592M,2.342M,-2.342M,,139.20M,-23.72M,2.342M,-2.342M,0.592M,-2.342M,-25.47M,0.00,-25.47M,,-25.47M,-26.07M,-18.61M,4.524M,-23.13M,-0.31,0.0,,-0.3173,-0.31,-0.31,0.0,,-0.3173,-0.31,81.49M,81.49M
2010-03,103.53M,103.53M,0.717M,102.82M,14.22M,117.47M,,0.439M,2.084M,-2.084M,,131.69M,-28.88M,2.084M,-2.084M,0.439M,-2.084M,-30.52M,0.00,-30.52M,,-30.52M,-30.96M,-24.26M,4.183M,-28.44M,-0.38,0.0,,-0.3854,-0.38,-0.38,0.0,,-0.3854,-0.38,81.17M,81.17M
2009-12,96.80M,96.80M,0.387M,96.41M,17.03M,118.79M,,0.553M,1.756M,-1.756M,,135.82M,-39.41M,1.756M,-1.756M,0.553M,-1.756M,,,-36.49M,,-36.49M,-36.85M,-29.98M,4.935M,-34.92M,-0.46,0.0,,-0.4645,-0.46,-0.46,0.0,,-0.4645,-0.46,80.14M,80.14M
2009-09,117.46M,117.46M,0.472M,116.98M,12.84M,105.43M,,0.857M,0.581M,-0.581M,,118.27M,-1.291M,0.581M,-0.581M,0.857M,-0.581M,,,-1.015M,,-1.015M,-1.572M,2.299M,3.59M,-1.291M,-0.01,0.0,,-0.017,-0.01,-0.01,0.0,,-0.017,-0.01,79.87M,79.87M
2009-06,90.03M,90.03M,0.435M,89.60M,11.63M,94.23M,,1.328M,0.00,0.00,,105.86M,-16.27M,0.00,0.00,1.328M,0.00,,,-14.94M,,-14.94M,-15.80M,-13.27M,2.998M,-16.27M,-0.19,0.0,,-0.2008,-0.19,-0.19,0.0,,-0.2008,-0.19,79.63M,79.63M
2009-03,74.98M,74.98M,0.392M,74.59M,11.42M,80.31M,,1.75M,0.00,0.00,,91.73M,-17.14M,0.00,0.00,1.75M,0.00,-15.39M,0.00,-15.39M,,-15.39M,-17.14M,-12.66M,2.724M,-15.39M,-0.19,0.0,,-0.212,-0.19,-0.19,0.0,,-0.212,-0.19,79.50M,79.50M
2008-12,55.84M,55.84M,0.631M,55.21M,13.02M,73.20M,,2.648M,,,,86.22M,-31.02M,,,2.648M,,-28.66M,-0.728M,-27.94M,,-27.94M,-30.52M,-11.17M,2.626M,-13.80M,-0.35,0.0,,-0.3826,-0.35,-0.35,0.0,,-0.3826,-0.35,79.19M,79.19M
2008-09,65.58M,65.58M,0.292M,65.29M,11.37M,73.86M,,3.667M,,,,85.22M,-19.93M,,,3.667M,,-18.04M,3.079M,-21.12M,,-21.12M,-23.50M,-17.16M,2.774M,-19.93M,-0.27,0.0,,-0.3002,-0.27,-0.27,0.0,,-0.3002,-0.27,78.94M,78.94M
2008-06,60.65M,60.65M,,60.65M,13.50M,66.78M,0.931M,3.604M,2.674M,-2.674M,,80.27M,-19.62M,2.674M,-2.674M,3.604M,-2.674M,,,-18.69M,,-18.69M,-21.03M,-16.68M,2.941M,-19.62M,-0.24,0.0,,-0.2698,-0.24,-0.24,0.0,,-0.2698,-0.24,78.69M,78.69M
2008-03,56.38M,56.38M,,56.38M,11.02M,61.27M,,7.304M,3.011M,-3.011M,,72.29M,-15.91M,3.011M,-3.011M,7.304M,-3.011M,,,-11.62M,,-11.62M,-16.37M,-12.96M,2.946M,-15.91M,-0.15,0.0,,-0.2105,-0.15,-0.15,0.0,,-0.2105,-0.15,78.49M,78.49M
2007-12,64.73M,64.73M,,,11.44M,64.82M,,1.473M,,,,76.26M,-11.53M,,,1.473M,,,,-13.07M,,-13.07M,-14.03M,12.26M,2.899M,9.363M,-0.19,0.0,,-0.2041,-0.19,-0.19,0.0,,-0.2041,-0.19,67.75M,67.75M
2007-09,22.31M,22.31M,,,9.289M,51.69M,,5.84M,,,,60.98M,-38.67M,,,5.84M,,,,-35.84M,,-35.84M,-39.63M,-35.81M,2.859M,-38.67M,-0.54,0.0,,-0.5975,-0.54,-0.54,0.0,,-0.5975,-0.54,66.07M,66.07M
2007-06,22.20M,22.20M,,,8.935M,43.86M,,6.841M,,,,52.80M,-30.60M,,,6.841M,,,,-26.77M,,-26.77M,-31.22M,-27.73M,2.874M,-30.60M,-0.41,0.0,,-0.4774,-0.41,-0.41,0.0,,-0.4774,-0.41,65.95M,65.95M
2007-03,15.79M,15.79M,,,8.202M,41.24M,,6.743M,,,,49.44M,-33.65M,,,6.743M,,,,-29.92M,,-29.92M,-34.30M,-30.79M,2.855M,-33.65M,-0.46,0.0,,-0.5269,-0.46,-0.46,0.0,,-0.5269,-0.46,65.56M,65.56M
2006-12,10.35M,10.35M,0.43M,9.916M,7.628M,35.77M,,,,,,43.40M,-33.49M,,,,,,,-30.97M,0.00,-30.97M,-30.97M,-30.09M,3.396M,-33.49M,-0.51,-0.01,0.0,-0.51,-0.52,-0.51,,-0.0003,-0.51,-0.52,61.23M,65.40M
2006-09,15.62M,15.62M,3.054M,12.57M,6.019M,34.81M,,,,,,40.83M,-28.26M,,,,,,,-27.41M,,-27.41M,-27.41M,-24.55M,3.708M,-28.26M,-0.48,0.0,,-0.48,-0.48,-0.48,0.0,,-0.48,-0.48,57.01M,57.01M
2006-06,19.26M,19.26M,2.81M,16.45M,6.299M,34.40M,,,,,,40.70M,-24.25M,,,,,,,-23.58M,,-23.58M,-23.58M,-20.56M,3.69M,-24.25M,-0.41,0.0,,-0.41,-0.41,-0.41,0.0,,-0.41,-0.41,56.92M,56.92M
2006-03,18.22M,18.22M,1.852M,16.37M,5.946M,32.08M,,,,,,38.03M,-21.66M,,,,,,,-21.19M,0.813M,-20.38M,-21.19M,-17.86M,3.798M,-21.66M,-0.37,0.01,0.0,-0.37,-0.36,-0.37,0.01,0.0143,-0.37,-0.36,56.73M,56.73M
2005-12,17.42M,17.42M,2.145M,15.28M,6.895M,37.91M,,2.866M,,,,-204.04M,219.32M,,,2.866M,,,,-29.67M,,-29.67M,-31.39M,223.20M,3.88M,219.32M,-0.53,0.0,,-0.5607,-0.53,-0.53,0.0,,-0.5607,-0.53,56.09M,56.09M
2005-09,16.19M,16.19M,3.246M,12.95M,6.219M,41.12M,,2.746M,,,,47.34M,-34.39M,,,2.746M,,,,-34.65M,,-34.65M,-36.30M,-30.45M,3.935M,-34.39M,-0.62,0.0,,-0.6494,-0.62,-0.62,0.0,,-0.6494,-0.62,55.98M,55.98M
2005-06,16.37M,16.37M,1.675M,14.69M,6.216M,40.64M,,8.179M,,,,46.86M,-32.17M,,,8.179M,,,,-27.00M,,-27.00M,-31.91M,-28.34M,3.831M,-32.17M,-0.48,0.0,,-0.5678,-0.48,-0.48,0.0,,-0.5678,-0.48,55.92M,55.92M
2005-03,16.21M,16.21M,2.491M,13.72M,6.146M,35.91M,,25.00M,,,,42.06M,-28.34M,,,25.00M,,,,-4.123M,,-4.123M,-19.12M,-24.48M,3.858M,-28.34M,-0.07,0.0,,-0.3387,-0.07,-0.07,0.0,,-0.3387,-0.07,55.82M,55.82M
2004-12,47.09M,47.09M,3.474M,43.62M,4.853M,34.79M,,1.832M,,,,39.64M,3.974M,,,1.832M,,,,2.792M,,2.792M,1.693M,7.89M,3.916M,3.974M,0.05,0.0,,0.0302,0.05,0.05,0.0,,0.0303,0.05,55.54M,55.80M
2004-09,36.52M,36.52M,8.986M,27.53M,4.184M,32.83M,,1.417M,,,,37.01M,-9.479M,,,1.417M,,,,-11.08M,,-11.08M,-11.93M,-5.603M,3.876M,-9.479M,-0.2,0.0,,-0.2153,-0.2,-0.2,0.0,,-0.2153,-0.2,55.47M,55.47M
2004-06,28.42M,28.42M,0.529M,27.89M,4.235M,36.30M,,1.105M,,,,40.53M,-12.64M,,,1.105M,,,,-14.55M,,-14.55M,-15.21M,-8.846M,3.797M,-12.64M,-0.26,0.0,,-0.272,-0.26,-0.26,0.0,,-0.272,-0.26,55.38M,55.38M
2004-03,61.99M,61.99M,2.225M,59.76M,3.79M,32.18M,,43.87M,,,,35.97M,23.79M,,,43.87M,,,,64.53M,,64.53M,38.21M,27.57M,3.773M,23.79M,1.17,0.0,,0.6938,1.17,1.06,0.0,,0.6463,1.06,55.28M,63.62M
2003-12,21.27M,21.27M,0.907M,20.36M,4.237M,33.27M,,0.868M,,,,37.50M,-17.14M,,,0.868M,,,,-19.38M,,-19.38M,-19.90M,-12.82M,4.314M,-17.14M,-0.33,0.0,,-0.3395,-0.33,-0.3487,,,-0.3581,-0.3487,55.00M,55.56M
2003-09,17.39M,17.39M,4.844M,12.55M,3.601M,34.65M,,1.285M,,,,38.25M,-25.70M,,,1.285M,,,,-27.40M,,-27.40M,-28.17M,-22.05M,3.656M,-25.70M,-0.52,0.0,,-0.5346,-0.52,-0.52,0.0,,-0.5346,-0.52,52.69M,52.69M
2003-06,8.908M,8.908M,0.259M,8.649M,3.488M,33.72M,,1.101M,,,,37.20M,-28.56M,,,1.101M,,,,-30.36M,,-30.36M,-31.02M,-25.88M,2.679M,-28.56M,-0.61,0.0,,-0.6233,-0.61,-0.61,0.0,,-0.6233,-0.61,49.57M,49.57M
2003-03,10.14M,10.14M,0.666M,9.47M,3.459M,34.39M,,1.208M,,,,37.85M,-28.38M,,,1.208M,,,,-30.11M,,-30.11M,-30.83M,-26.09M,2.288M,-28.38M,-0.68,0.0,,-0.6964,-0.68,-0.68,0.0,,-0.6964,-0.68,44.28M,44.28M
2002-12,4.912M,4.912M,1.726M,3.186M,3.365M,34.45M,,1.732M,,,,37.82M,-34.63M,,,1.732M,,,,-35.69M,,-35.69M,-36.73M,-32.58M,2.049M,-34.63M,-0.81,0.0,,-0.8336,-0.81,-0.81,,,-0.8334,-0.81,44.11M,44.50M
2002-09,6.566M,6.566M,1.637M,4.929M,2.811M,34.30M,,2.378M,,,,37.11M,-32.18M,,,2.378M,,,,-32.82M,,-32.82M,-34.24M,-30.01M,2.169M,-32.18M,-0.75,0.0,,-0.7825,-0.75,-0.75,0.0,,-0.7825,-0.75,43.95M,43.95M
2002-06,5.569M,5.569M,1.861M,3.708M,2.956M,30.70M,,2.554M,,,,33.66M,-29.95M,,,2.554M,,,,-30.42M,,-30.42M,-31.96M,-27.72M,2.228M,-29.95M,-0.69,0.0,,-0.7248,-0.69,-0.69,0.0,,-0.7248,-0.69,44.09M,44.09M
2002-03,4.941M,4.941M,1.259M,3.682M,3.40M,25.48M,,2.77M,,,,28.88M,-25.19M,,,2.77M,,,,-25.44M,,-25.44M,-27.11M,-23.18M,2.008M,-25.19M,-0.58,0.0,,-0.6179,-0.58,-0.58,0.0,,-0.6179,-0.58,43.87M,43.87M
2001-12,4.401M,4.401M,1.162M,3.239M,2.732M,30.10M,,2.686M,,,,32.83M,-29.59M,,,3.742M,,,,-28.38M,,-28.38M,-29.99M,-27.78M,1.81M,-29.59M,-0.66,0.0,,-0.6969,-0.66,-0.66,,,-0.6967,-0.66,43.65M,43.96M
2001-09,5.48M,5.48M,1.274M,4.206M,2.461M,25.04M,,3.162M,,,,27.50M,-23.29M,,,3.403M,,,,-19.93M,,-19.93M,-21.83M,-21.78M,1.519M,-23.29M,-0.46,0.0,,-0.5038,-0.46,-0.46,0.0,,-0.5038,-0.46,43.33M,43.33M
2001-06,5.779M,5.779M,1.885M,3.894M,2.383M,19.60M,,3.294M,,,,21.98M,-18.08M,,,3.294M,,,,-14.83M,,-14.83M,-16.81M,-16.67M,1.419M,-18.08M,-0.34,0.0,,-0.3853,-0.34,-0.34,0.0,,-0.3853,-0.34,43.63M,43.63M
2001-03,6.313M,6.313M,2.188M,4.125M,2.031M,16.80M,,1.721M,,,,18.84M,-14.71M,,,1.721M,,,,-13.04M,,-13.04M,-14.07M,-13.38M,1.329M,-14.71M,-0.35,0.0,,-0.3776,-0.35,-0.35,0.0,,-0.3776,-0.35,37.43M,37.43M
2000-12,19.14M,19.14M,8.738M,10.40M,3.019M,12.75M,,-10.54M,,,,20.19M,-9.789M,,,-7.092M,,,,-8.455M,,-8.455M,-2.130M,-8.493M,1.296M,-9.789M,-0.24,0.01,,-0.0721,-0.23,-0.24,,,-0.0721,-0.23,37.66M,37.66M
2000-09,15.00M,15.00M,2.512M,12.49M,1.769M,15.21M,,2.53M,,,11.00M,27.97M,-15.49M,,,1.431M,,,,-3.118M,,-3.118M,-4.636M,-14.33M,1.154M,-15.49M,-0.09,0.0,,-0.132,-0.09,-0.09,0.0,,-0.132,-0.09,36.13M,36.13M
