,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,3.724B,3.219B,6.943B,4.401B,613.20M,5.014B,,,,4.407B,1.064B,,,17.43B,,,,,,,17.73B,-9.132B,8.598B,4.366B,4.272B,8.637B,6.149B,,2.198B,25.58B,43.01B,,1.200B,0.00,414.40M,1.614B,4.333B,5.947B,3.538B,3.538B,,,2.360B,12.67B,9.927B,,9.927B,,,,2.458B,70.30M,2.289B,15.38B,28.05B,,688.50M,16.15B,5.755B,75.80M,,,-4.609B,14.89B,,AOR,Restated
2017-06,3.070B,2.364B,5.434B,4.350B,606.20M,4.956B,,,,4.346B,1.010B,,,15.75B,,,,,,,17.53B,-8.950B,8.583B,4.291B,4.543B,8.833B,5.723B,,2.060B,25.20B,40.95B,,1.257B,547.50M,236.00M,2.041B,4.029B,6.070B,2.444B,2.444B,,,2.112B,11.29B,9.868B,,9.868B,,,,2.466B,68.90M,2.444B,15.48B,26.78B,,688.50M,15.59B,5.686B,75.80M,,,-4.775B,14.10B,,AOR,Restated
2017-03,2.617B,888.70M,3.506B,4.017B,596.70M,4.614B,,,,4.035B,821.60M,,,12.98B,,,,,,,17.14B,-8.711B,8.426B,4.188B,4.717B,8.905B,5.298B,,2.020B,24.65B,37.62B,,1.220B,0.00,122.00M,1.342B,3.698B,5.040B,2.609B,2.609B,,,2.233B,10.45B,7.638B,,7.638B,,,,2.456B,72.70M,2.282B,13.07B,23.52B,,690.00M,15.88B,5.618B,75.80M,,,-5.064B,14.03B,,AOR,Restated
2016-12,4.582B,1.456B,6.039B,4.029B,736.90M,4.766B,435.30M,2.117B,987.30M,3.562B,734.60M,,,15.10B,0.00,197.60M,6.918B,7.865B,,1.798B,16.78B,-8.525B,8.253B,3.973B,4.358B,8.331B,5.208B,,1.914B,23.70B,38.81B,,1.349B,548.10M,119.10M,2.016B,3.915B,5.931B,1.937B,1.937B,,,2.221B,10.99B,8.368B,,8.368B,,,,2.454B,72.80M,2.228B,13.74B,24.73B,,688.50M,16.05B,5.641B,80.50M,,,-5.274B,14.01B,,AOR,Restated
2016-09,3.489B,737.80M,4.227B,3.848B,672.90M,4.521B,,,,3.881B,756.50M,,,13.39B,,,,,,,17.24B,-8.986B,8.252B,4.008B,4.638B,8.646B,5.027B,,2.279B,24.20B,37.59B,,1.161B,,183.00M,1.344B,3.548B,4.892B,641.50M,641.50M,,,2.001B,8.273B,8.707B,,8.707B,,,,2.078B,26.60M,2.111B,13.70B,21.97B,,690.40M,16.60B,5.649B,80.50M,,,-4.258B,15.59B,,AOR,Restated
2016-06,3.238B,696.80M,3.935B,3.948B,545.20M,4.493B,,,,3.760B,789.50M,,,12.98B,,,,,,,16.93B,-8.862B,8.066B,4.026B,4.806B,8.833B,4.449B,,2.150B,23.50B,36.48B,,1.208B,537.50M,88.00M,1.833B,3.099B,4.932B,645.80M,645.80M,,,2.201B,8.401B,8.686B,,8.686B,,,,2.020B,18.90M,1.907B,13.42B,21.82B,,690.30M,15.82B,5.588B,80.50M,,,-4.371B,14.64B,,AOR,Restated
2016-03,2.308B,687.40M,2.995B,3.623B,564.80M,4.187B,,,,3.740B,792.00M,,,11.71B,,,,,,,16.78B,-8.75B,8.033B,4.045B,4.890B,8.935B,3.764B,,2.245B,22.98B,34.69B,,1.152B,0.00,114.60M,1.266B,2.601B,3.867B,648.30M,648.30M,,,2.277B,7.341B,7.478B,,7.478B,,,,2.107B,19.50M,1.829B,12.32B,19.66B,,690.30M,16.16B,5.523B,80.50M,,,-4.265B,15.01B,,AOR,Restated
2015-12,3.666B,785.40M,4.452B,3.513B,558.60M,4.072B,403.00M,2.058B,1.053B,3.446B,604.40M,,,12.57B,0.00,220.60M,6.786B,7.988B,,1.665B,16.66B,-8.607B,8.054B,4.040B,5.035B,9.075B,3.647B,,2.220B,23.00B,35.57B,,1.338B,539.00M,358.90M,2.236B,2.560B,4.796B,6.10M,6.10M,,,2.460B,8.230B,7.972B,,7.972B,,,,2.160B,19.00M,1.747B,12.75B,20.98B,,691.30M,16.01B,5.552B,90.00M,,,-4.581B,14.57B,,AOR,Restated
2015-09,3.239B,1.080B,4.319B,3.402B,665.80M,4.068B,,,,3.418B,762.40M,,,12.57B,,,,,,,16.61B,-8.536B,8.075B,4.055B,4.616B,8.671B,4.102B,,2.890B,23.74B,36.30B,,1.179B,0.00,700.00M,1.879B,2.542B,4.421B,9.30M,9.30M,943.60M,943.60M,2.100B,8.303B,8.070B,,8.070B,,,,2.358B,19.50M,1.422B,12.76B,21.06B,,693.00M,16.86B,5.442B,90.00M,,,-4.667B,15.22B,,AOR,Restated
2015-06,3.316B,915.40M,4.231B,3.349B,747.80M,4.097B,,,,3.288B,730.10M,,,12.35B,,,,,,,16.40B,-8.382B,8.023B,4.025B,4.843B,8.868B,4.099B,,2.701B,23.69B,36.04B,,1.153B,529.20M,,1.682B,2.328B,4.010B,10.80M,10.80M,912.80M,912.80M,2.626B,8.232B,7.989B,,7.989B,,,,2.630B,35.10M,1.454B,13.10B,21.33B,,693.30M,16.11B,5.368B,90.00M,,,-4.403B,14.67B,,AOR,Restated
2015-03,3.065B,1.075B,4.140B,3.142B,683.20M,3.826B,,,,2.980B,797.00M,,,11.74B,,,,,,,16.21B,-8.263B,7.951B,,,8.895B,4.576B,,2.489B,23.91B,35.65B,,1.180B,0.00,,1.180B,2.026B,3.205B,805.40M,805.40M,1.297B,1.297B,2.517B,8.343B,7.415B,,7.415B,,,,2.521B,26.70M,1.474B,12.36B,20.71B,,694.10M,16.71B,5.280B,90.00M,,,-4.658B,14.92B,,AOR,Restated
2014-12,3.872B,955.40M,4.827B,3.235B,566.70M,3.801B,315.00M,1.715B,838.00M,2.74B,560.00M,,,11.93B,0.00,205.20M,6.516B,7.610B,,1.698B,16.03B,-8.065B,7.964B,1.758B,2.884B,4.642B,4.569B,,7.204B,24.38B,36.31B,,1.128B,530.30M,93.50M,1.752B,2.069B,3.821B,2.689B,2.689B,,,2.473B,9.741B,5.333B,,5.333B,,,,2.563B,14.90M,2.284B,11.18B,20.92B,,694.60M,16.48B,5.292B,91.40M,,,-3.992B,15.37B,,AOR,Restated
2014-09,3.166B,1.644B,4.810B,3.054B,581.10M,3.635B,,,,2.844B,821.50M,,,12.11B,,,,,,,16.08B,-8.038B,8.043B,,,4.751B,7.406B,,2.339B,22.54B,34.65B,,1.023B,0.00,153.50M,1.177B,1.971B,3.147B,313.00M,313.00M,1.352B,1.352B,2.061B,7.575B,5.293B,,5.293B,,,,1.524B,13.20M,1.642B,9.392B,16.97B,,696.60M,17.41B,5.222B,91.40M,,,-2.552B,17.67B,,AOR,Restated
2014-06,3.766B,1.361B,5.126B,3.188B,566.20M,3.754B,,,,3.190B,1.086B,,,13.16B,,,,,,,16.11B,-8.013B,8.101B,,,4.670B,6.650B,,2.441B,21.86B,35.02B,,1.125B,524.10M,168.60M,1.817B,1.876B,3.693B,10.30M,10.30M,1.044B,1.044B,2.036B,7.417B,5.301B,,5.301B,,,,1.528B,11.10M,1.837B,9.606B,17.02B,,699.00M,17.20B,5.120B,91.40M,,,-1.935B,17.98B,,AOR,Restated
2014-03,3.888B,1.324B,5.212B,3.003B,743.20M,3.746B,,,,2.969B,1.112B,,,13.04B,,,,,,,15.78B,-7.809B,7.971B,,,4.203B,7.205B,,2.339B,21.72B,34.76B,,1.150B,0.00,102.50M,1.252B,1.724B,2.977B,9.10M,9.10M,760.40M,760.40M,2.331B,6.632B,5.255B,,5.255B,,,,1.553B,10.60M,2.062B,9.776B,16.41B,,700.10M,17.67B,5.035B,91.40M,,,-1.957B,18.34B,,AOR,Restated
2013-12,3.830B,1.567B,5.397B,3.434B,588.40M,4.023B,259.00M,1.868B,968.10M,2.929B,755.80M,,,13.10B,0.00,198.70M,6.490B,7.753B,,1.205B,15.65B,-7.671B,7.976B,1.517B,2.814B,4.331B,7.625B,,2.212B,22.14B,35.25B,,1.119B,523.50M,254.40M,1.897B,1.942B,3.839B,1.013B,1.013B,792.80M,792.80M,2.328B,8.917B,4.200B,,4.200B,,,,1.549B,9.30M,1.863B,8.691B,17.61B,,698.50M,16.99B,5.05B,93.60M,,,-2.003B,17.63B,,AOR,Restated
2013-09,4.369B,1.010B,5.379B,3.445B,550.40M,3.995B,,,,2.974B,853.40M,,,13.20B,,,,,,,15.34B,-7.576B,7.767B,,,4.455B,7.220B,,1.321B,20.76B,33.97B,,1.247B,0.00,37.50M,1.285B,2.014B,3.299B,1.019B,1.019B,841.90M,841.90M,2.111B,8.076B,4.264B,,4.264B,,,,2.608B,9.00M,1.268B,8.993B,17.07B,,704.70M,17.81B,5.042B,93.60M,,,-3.564B,16.89B,,AOR,Restated
2013-06,3.786B,924.50M,4.711B,3.579B,634.90M,4.214B,,,,2.725B,988.90M,,,12.64B,,,,,,,15.04B,-7.401B,7.637B,,,4.508B,6.561B,,1.880B,20.59B,33.23B,,1.141B,527.00M,37.30M,1.705B,1.798B,3.503B,1.023B,1.023B,913.60M,913.60M,2.298B,8.408B,4.291B,,4.291B,,,,2.622B,9.00M,1.258B,9.581B,17.99B,,704.70M,16.61B,4.970B,93.60M,,,-3.949B,15.23B,,AOR,Restated
2013-03,3.937B,795.80M,4.732B,3.440B,589.40M,4.029B,,,,2.577B,987.90M,,,12.33B,,,,,,,14.89B,-7.264B,7.623B,,,4.619B,5.636B,,2.096B,19.97B,32.30B,,974.40M,0.00,352.70M,1.327B,1.694B,3.021B,1.028B,1.028B,726.60M,726.60M,2.274B,7.594B,4.432B,,4.432B,,,,2.660B,7.00M,1.295B,9.751B,17.34B,,704.50M,16.46B,4.903B,93.60M,,,-4.014B,14.95B,,AOR,Restated
2012-12,4.019B,1.666B,5.684B,3.336B,552.00M,3.888B,256.10M,1.736B,834.40M,2.644B,822.30M,,,13.04B,0.00,201.40M,6.374B,7.543B,,799.90M,14.92B,-7.158B,7.760B,1.501B,3.251B,4.753B,6.314B,,2.533B,21.36B,34.40B,,1.188B,541.40M,143.50M,1.873B,1.777B,3.650B,11.90M,11.90M,1.048B,1.048B,2.739B,8.390B,5.519B,,5.519B,,,,3.012B,8.70M,1.369B,11.24B,19.62B,,716.60M,16.09B,4.963B,192.40M,,,-3.797B,14.77B,,AOR,Restated
2012-09,5.319B,1.581B,6.900B,3.268B,527.30M,3.796B,,,,2.553B,790.10M,,,14.04B,,,,,,,14.94B,-7.306B,7.639B,,,5.031B,5.224B,,2.388B,20.28B,34.32B,,1.329B,0.00,338.20M,1.667B,,1.667B,9.10M,9.10M,,,4.512B,6.961B,5.511B,,5.511B,,,,2.702B,-7.60M,1.815B,11.30B,18.26B,,725.80M,17.06B,4.920B,94.30M,,,-3.536B,16.06B,,AOR,Restated
2012-06,4.346B,915.70M,5.262B,3.182B,590.00M,3.772B,,,,2.321B,953.30M,,,12.31B,,,,,,,14.71B,-7.086B,7.620B,,,5.143B,4.548B,,2.195B,19.51B,31.81B,,1.202B,543.60M,33.50M,1.779B,1.629B,3.407B,9.10M,9.10M,,,2.590B,6.610B,5.500B,,5.500B,,,,2.714B,-2.50M,1.473B,10.90B,17.50B,,725.80M,15.74B,4.890B,94.30M,,,-3.934B,14.31B,,AOR,Restated
2012-03,4.122B,802.40M,4.925B,3.402B,529.20M,3.931B,,,,2.424B,1.322B,,,12.60B,,,,,,,14.77B,-7.011B,7.755B,,,5.267B,4.521B,,2.093B,19.64B,32.24B,,1.246B,0.00,388.80M,1.635B,1.620B,3.255B,10.60M,10.60M,,,2.754B,6.554B,5.403B,,5.403B,,,,2.766B,-11.50M,1.534B,10.86B,17.42B,,725.80M,15.91B,4.858B,94.30M,,,-3.549B,14.83B,,AOR,Restated
2011-12,5.922B,974.60M,6.897B,3.598B,640.20M,4.238B,205.80M,1.518B,786.40M,2.300B,813.40M,,,14.25B,0.00,202.50M,6.136B,7.220B,,1.036B,14.59B,-6.834B,7.760B,1.435B,3.693B,5.128B,4.030B,,2.493B,19.41B,33.66B,,1.125B,542.30M,261.60M,1.929B,1.771B,3.700B,1.522B,1.522B,422.30M,422.30M,2.481B,8.931B,5.465B,,5.465B,,,,3.068B,-6.10M,1.574B,11.19B,20.12B,,724.10M,14.90B,4.887B,95.30M,,,-3.859B,13.54B,,AOR,Restated
2011-09,6.598B,186.60M,6.784B,3.533B,564.40M,4.098B,,,,2.513B,1.178B,,,14.57B,,,,,,,14.62B,-6.806B,7.812B,,,5.222B,3.220B,,2.216B,18.47B,33.04B,,1.154B,0.00,144.40M,1.299B,1.882B,3.181B,1.629B,1.629B,,,2.720B,8.219B,5.451B,,5.451B,,,,1.806B,-2.70M,1.449B,9.765B,17.98B,,724.10M,15.13B,4.839B,95.30M,,,-2.505B,15.06B,,AOR,Restated
2011-06,6.114B,216.30M,6.330B,3.834B,612.90M,4.446B,,,,2.870B,1.304B,,,14.95B,,,,,,,14.67B,-6.716B,7.954B,,,4.955B,2.943B,,1.977B,17.83B,32.78B,,1.188B,542.30M,183.10M,1.913B,1.808B,3.721B,1.528B,1.528B,,,2.787B,8.620B,5.200B,,5.200B,,,,1.849B,0.20M,1.550B,9.882B,18.50B,,724.10M,13.89B,4.794B,95.30M,,,-2.010B,14.28B,,AOR,Restated
2011-03,6.506B,206.70M,6.713B,3.694B,488.80M,4.183B,,,,2.767B,1.691B,,,15.35B,,,,,,,14.54B,-6.572B,7.968B,,4.731B,4.731B,1.899B,,1.743B,16.34B,31.70B,,1.183B,0.00,315.20M,1.498B,1.490B,2.988B,1.540B,1.540B,,,2.60B,7.652B,5.132B,,5.132B,,,1.224B,1.866B,-3.90M,1.886B,10.11B,17.76B,,724.10M,13.79B,4.737B,95.30M,,,-2.189B,13.94B,,AOR,Restated
2010-12,5.993B,733.80M,6.727B,3.494B,664.30M,4.158B,220.80M,1.714B,800.80M,2.518B,1.437B,,,14.84B,0.00,207.80M,6.029B,7.356B,,893.80M,14.49B,-6.546B,7.941B,1.424B,3.395B,4.819B,1.780B,,1.622B,16.16B,31.00B,,1.072B,540.00M,457.50M,2.070B,851.80M,2.922B,156.00M,156.00M,,,4.024B,7.101B,6.770B,,6.770B,,,3.122B,,-7.50M,1.594B,11.49B,18.59B,,0.00,12.73B,5.520B,96.40M,,,-2.670B,12.42B,,AOR,Restated
2010-06,5.164B,33.10M,5.197B,3.065B,587.80M,3.653B,,,,2.174B,1.128B,314.40M,,12.47B,,,,,,,14.04B,-6.260B,7.784B,,,4.036B,1.065B,,2.372B,15.26B,27.72B,,950.30M,545.70M,435.30M,1.931B,585.50M,2.517B,26.70M,26.70M,,,3.781B,6.325B,6.862B,,6.862B,80.70M,80.70M,,1.882B,-6.20M,2.338B,11.16B,17.49B,,721.30M,11.34B,4.668B,97.40M,,,-3.308B,10.24B,,AOR,Restated
2010-03,4.725B,33.20M,4.758B,3.194B,535.60M,3.730B,,,,2.471B,1.018B,275.20M,,12.25B,,,,,,,14.18B,-6.194B,7.987B,,,4.032B,1.099B,,1.828B,14.95B,27.20B,,964.00M,0.00,192.10M,1.156B,506.10M,1.662B,20.10M,20.10M,,,3.975B,5.658B,6.661B,,6.661B,81.20M,81.20M,,2.024B,2.70M,2.311B,11.08B,16.74B,,721.30M,11.08B,4.624B,97.40M,,,-2.777B,10.46B,,AOR,Restated
2009-12,4.463B,34.70M,4.498B,3.343B,488.50M,3.832B,227.80M,1.830B,938.30M,2.850B,1.307B,,,12.49B,0.00,216.80M,6.122B,7.813B,,948.30M,15.10B,-6.903B,8.197B,1.175B,2.525B,3.700B,1.156B,,1.921B,14.97B,27.46B,,968.10M,538.00M,346.70M,1.853B,894.20M,2.747B,27.40M,27.40M,,,3.794B,6.568B,6.635B,,6.635B,,,3.423B,,1.60M,1.310B,11.37B,17.94B,,0.00,9.830B,5.354B,98.50M,,,-2.472B,9.524B,,AOR,Restated
2009-09,3.848B,80.90M,3.929B,3.017B,466.10M,3.483B,,,,3.128B,1.006B,263.70M,,11.81B,,,,,,,15.19B,-6.956B,8.233B,,,3.739B,1.174B,,2.172B,15.32B,27.13B,,887.70M,0.00,275.90M,1.164B,970.20M,2.134B,622.50M,622.50M,,,3.311B,6.068B,6.770B,,6.770B,101.80M,101.80M,,2.009B,0.40M,2.275B,11.16B,17.22B,,718.70M,9.993B,4.560B,98.50M,,,-2.175B,9.905B,,AOR,Restated
2009-06,3.322B,168.10M,3.490B,2.841B,488.60M,3.330B,,,,3.000B,824.70M,290.60M,,10.94B,,,,,,,15.22B,-6.621B,8.594B,,,3.790B,1.239B,,2.373B,16.00B,26.93B,,918.60M,538.00M,342.80M,1.799B,569.00M,2.368B,1.035B,1.035B,,,3.586B,6.989B,6.688B,,6.688B,79.40M,79.40M,,2.314B,-3.10M,2.301B,11.38B,18.37B,,718.70M,9.050B,4.455B,98.50M,,,-2.467B,8.563B,,AOR,Restated
2009-03,3.313B,195.20M,3.508B,2.676B,483.50M,3.160B,,,,2.549B,652.00M,391.20M,,10.26B,,,,,,,14.94B,-6.493B,8.450B,,,3.858B,1.364B,,2.664B,16.34B,26.60B,,1.023B,0.00,709.60M,1.732B,472.40M,2.205B,1.603B,1.603B,,,3.550B,7.358B,6.871B,,6.871B,72.10M,72.10M,,2.309B,3.80M,2.262B,11.51B,18.87B,,718.70M,8.968B,4.360B,98.50M,,,-3.130B,7.721B,,AOR,Restated
2008-12,5.497B,429.40M,5.926B,2.779B,498.50M,3.277B,236.30M,1.657B,771.00M,2.493B,374.60M,382.10M,,12.45B,0.00,219.00M,5.953B,8.045B,,1.098B,15.32B,-6.690B,8.626B,1.168B,2.762B,3.929B,1.545B,,2.659B,16.76B,29.21B,,885.80M,536.80M,229.20M,1.652B,771.00M,2.423B,5.846B,5.846B,,,4.841B,13.11B,4.616B,,4.616B,74.70M,74.70M,2.388B,,2.40M,2.287B,9.365B,22.47B,,0.00,7.655B,4.688B,99.20M,,,-2.787B,6.735B,,,Restated
2008-09,4.354B,1.765B,6.119B,2.702B,557.00M,3.259B,,,,2.112B,825.00M,631.40M,,12.95B,,,,,,,14.90B,-6.634B,8.262B,2.299B,,2.299B,,,4.200B,14.76B,27.71B,,854.40M,,,854.40M,1.477B,2.331B,426.50M,426.50M,,,3.752B,6.510B,4.186B,,4.186B,284.20M,284.20M,,,,2.986B,7.456B,13.97B,,711.10M,12.34B,3.913B,99.20M,,,-3.120B,13.74B,,,Restated
