,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-12,3.644B,3.644B,865.70M,2.779B,,1.098B,705.50M,,-438.60M,,,,1.804B,974.90M,,,,-438.60M,,520.00M,522.40M,-2.40M,,,,-2.40M,260.76M,1.112B,136.70M,974.90M,,0.00,0.00,,,0.2438,0.00,,0.00,0.00,,,0.2423,0.00,,1.080B,1.086B,0.355,,,
2004-09,3.280B,3.280B,810.10M,2.470B,,951.90M,654.80M,,123.10M,,,,1.607B,863.60M,,,,123.10M,,968.20M,213.00M,755.20M,,,,755.20M,659.18M,1.027B,163.20M,863.60M,,0.70,0.00,,,0.611,0.70,,0.69,0.00,,,0.6023,0.69,,1.079B,1.094B,0.355,,,
2004-06,3.556B,3.556B,796.40M,2.760B,,1.170B,684.20M,,-59.80M,,,,1.854B,905.50M,,,,-59.80M,,838.20M,181.30M,656.90M,,,,656.90M,703.77M,1.056B,150.00M,905.50M,,0.61,0.00,,,0.6535,0.61,,0.60,0.00,,,0.6428,0.60,,1.077B,1.095B,0.355,,,
2004-03,3.377B,3.377B,751.70M,2.625B,,1.064B,646.60M,,-289.90M,,,,1.710B,914.70M,,,,-289.90M,,615.50M,215.10M,400.40M,,,,400.40M,588.99M,1.062B,147.60M,914.70M,,0.37,0.00,,,0.5443,0.37,,0.37,0.00,,,0.5443,0.37,,1.082B,1.082B,0.355,,,
2003-12,3.466B,3.466B,731.50M,2.734B,,1.134B,710.00M,,84.00M,,,,1.844B,889.80M,,,,84.00M,,964.00M,216.80M,747.20M,,,,747.20M,682.09M,996.40M,106.60M,889.80M,,0.70,0.00,,,0.6389,0.70,,0.69,0.00,,,0.6299,0.69,,1.065B,1.083B,0.335,,,
2003-09,3.139B,3.139B,679.30M,2.460B,,963.40M,568.10M,,3.10M,,,,1.532B,928.60M,,,,3.10M,,915.90M,201.50M,714.40M,,,,714.40M,711.98M,1.082B,153.30M,928.60M,,0.66,0.00,,,0.6578,0.66,,0.66,0.00,,,0.6578,0.66,,1.082B,1.082B,0.335,,,
2003-06,3.088B,3.088B,643.00M,2.445B,,1.043B,542.50M,,48.40M,,,,1.586B,859.40M,,,,48.40M,,887.90M,195.70M,692.20M,,,,692.20M,654.47M,1.003B,144.00M,859.40M,,0.64,0.00,,,0.6051,0.64,,0.64,0.00,,,0.6051,0.64,,1.082B,1.082B,0.335,,,
2003-03,2.889B,2.889B,621.30M,2.268B,,914.50M,529.60M,,-314.60M,,,,1.444B,824.00M,,,,-314.60M,,493.90M,86.90M,407.00M,,,,407.00M,666.25M,968.60M,144.60M,824.00M,,0.38,0.00,,,0.6220,0.38,,0.38,0.00,,,0.6220,0.38,,1.071B,1.071B,0.335,,,
2002-12,2.956B,2.956B,567.80M,2.388B,,920.80M,574.30M,,75.20M,,,,1.495B,892.70M,,,,75.20M,,944.00M,207.70M,736.30M,,,,736.30M,677.65M,992.40M,99.70M,892.70M,,0.68,0.00,,,0.6259,0.68,,0.68,0.00,,,0.6259,0.68,,1.083B,1.083B,0.31,,,
2002-09,2.786B,2.786B,553.70M,2.232B,,810.70M,526.70M,,-9.40M,,,,1.337B,894.50M,,,,-9.40M,,862.80M,178.90M,683.90M,,,,683.90M,691.35M,1.025B,130.60M,894.50M,,0.64,0.00,,,0.6470,0.64,,0.63,0.00,,,0.6369,0.63,,1.069B,1.086B,0.31,,,
2002-06,2.775B,2.775B,524.90M,2.250B,,915.20M,545.50M,,78.50M,,,,1.461B,789.60M,,,,78.50M,,844.20M,185.70M,658.50M,,,,658.50M,597.27M,920.90M,131.30M,789.60M,,0.61,0.00,,,0.5533,0.61,,0.61,0.00,,,0.5533,0.61,,1.080B,1.080B,0.31,,,
2002-03,2.561B,2.561B,530.10M,2.031B,,777.30M,502.80M,,65.40M,,,,1.280B,750.90M,,,,65.40M,,806.70M,177.50M,629.20M,,,,629.20M,578.19M,882.30M,131.40M,750.90M,,0.58,0.00,,,0.5330,0.58,,0.58,0.00,,,0.5330,0.58,,1.085B,1.085B,0.31,,,
2001-12,2.829B,2.829B,566.70M,2.262B,,882.70M,589.90M,,-25.50M,,,,1.473B,789.60M,,,,-25.50M,,741.30M,153.10M,588.20M,,,,575.40M,608.43M,867.20M,77.60M,789.60M,,0.55,0.02,,-0.0119,0.5689,0.54,,0.54,0.02,,-0.0119,0.5586,0.53,,1.068B,1.087B,0.28,,,
2001-09,2.874B,2.874B,549.00M,2.325B,,865.90M,566.00M,,-136.30M,,,,1.432B,893.50M,,,,-136.30M,,715.30M,128.60M,586.70M,,,,570.10M,698.50M,1.023B,129.50M,893.50M,,0.55,-0.02,,-0.0154,0.6539,0.53,,0.54,-0.02,,-0.0154,0.6420,0.52,,1.076B,1.096B,0.28,,,
2001-06,3.034B,3.034B,522.20M,2.511B,,899.90M,563.70M,,53.80M,,,,1.464B,1.048B,,,,53.80M,,1.061B,233.40M,827.70M,,,,827.70M,785.73M,1.175B,127.40M,1.048B,,0.77,0.00,,,0.7310,0.77,,0.76,0.00,,,0.7215,0.76,,1.075B,1.089B,0.28,,,
2001-03,2.806B,2.806B,522.30M,2.283B,,768.90M,515.50M,,76.80M,,,,1.284B,999.00M,,,,76.80M,,1.034B,227.60M,806.80M,,,,806.80M,746.90M,1.119B,120.40M,999.00M,,0.75,0.00,,,0.6943,0.75,,0.74,0.00,,,0.6851,0.74,,1.076B,1.090B,0.28,,,
2000-12,2.978B,2.978B,489.30M,2.488B,,944.30M,545.10M,,106.50M,,,,1.565B,923.10M,,,,106.50M,,983.70M,216.40M,767.30M,,,,767.30M,684.23M,999.00M,75.90M,923.10M,,0.71,0.00,,,0.6331,0.71,,0.70,0.00,,,0.6242,0.70,,1.081B,1.096B,0.26,,,
2000-09,2.812B,2.812B,367.60M,2.444B,,800.30M,506.10M,,27.10M,,,,1.429B,1.015B,,,,27.10M,,998.40M,219.60M,778.80M,,,,778.80M,757.66M,1.138B,122.50M,1.015B,,0.72,0.00,,,0.7005,0.72,,0.71,0.00,,,0.6907,0.71,,1.082B,1.097B,0.26,,,
2000-06,2.622B,2.622B,370.50M,2.251B,,795.40M,508.80M,,74.00M,,,,1.425B,825.60M,,,,74.00M,,854.10M,187.90M,666.20M,,,,666.20M,608.48M,946.80M,121.20M,825.60M,,0.62,0.00,,,0.5663,0.62,,0.61,0.00,,,0.5571,0.61,,1.075B,1.092B,0.26,,,
2000-03,2.451B,2.451B,392.50M,2.059B,,688.30M,458.50M,,273.70M,,,,1.263B,795.60M,,,,273.70M,,1.022B,177.00M,845.50M,,,,845.50M,619.18M,911.80M,116.20M,795.60M,,0.78,0.00,,,0.5712,0.78,,0.77,0.00,,,0.5639,0.77,,1.084B,1.098B,0.26,,,
1999-12,2.820B,2.820B,465.90M,2.355B,,818.70M,467.10M,,105.20M,,,,1.385B,969.50M,,,,105.20M,,1.024B,237.40M,786.30M,0.00,,0.00,786.30M,705.50M,1.069B,99.30M,969.50M,,0.72,0.00,,,0.6461,0.72,,0.71,0.00,,,0.6371,0.71,,1.093B,1.108B,0.23,,,
1999-09,2.585B,2.585B,432.20M,2.153B,,696.40M,442.90M,,87.40M,,,,1.255B,897.70M,,,,87.40M,,939.20M,206.60M,732.60M,,,,732.60M,664.43M,1.014B,116.00M,897.70M,,0.68,0.00,,,0.6167,0.68,,0.67,0.00,,,0.6077,0.67,,1.077B,1.093B,0.23,,,
1999-06,2.342B,2.342B,379.10M,1.962B,,649.60M,460.50M,,41.60M,,,,1.222B,740.40M,,,,41.60M,,739.00M,162.60M,576.40M,,,,576.40M,543.95M,852.40M,112.00M,740.40M,,0.53,0.00,,,0.5002,0.53,,0.52,0.00,,,0.4907,0.52,,1.088B,1.108B,0.23,,,
1999-03,2.256B,2.256B,381.10M,1.874B,,592.90M,413.10M,,-168.70M,,,,1.118B,756.10M,,,,-168.70M,,543.50M,92.10M,451.40M,174.30M,,,625.70M,591.51M,868.50M,112.40M,756.10M,,0.41,0.16,,,0.5383,0.57,,0.40,0.16,,,0.5283,0.56,,1.092B,1.092B,0.23,,,
1998-12,2.635B,2.635B,451.90M,2.184B,,809.80M,519.40M,,37.90M,,,,1.461B,722.70M,,,,37.90M,,715.30M,153.70M,561.60M,5.70M,,1.30M,567.30M,531.84M,854.30M,131.60M,722.70M,,0.51,0.02,,,0.4826,0.52,,0.50,0.02,,,0.4732,0.51,,1.087B,1.108B,0.20,,,
1998-09,2.359B,2.359B,373.30M,1.986B,,667.60M,439.90M,,-111.70M,,,,1.230B,756.20M,,,,-111.70M,,599.10M,86.90M,512.20M,6.00M,,0.20M,518.20M,607.70M,878.60M,122.40M,756.20M,,0.47,0.00,,,0.5566,0.47,,0.46,0.00,,,0.5448,0.46,,1.102B,1.126B,0.20,,,
1998-06,2.155B,2.155B,361.40M,1.794B,,637.40M,416.70M,,67.70M,,,,1.171B,622.30M,,,,67.70M,,647.30M,156.40M,490.90M,0.40M,,0.70M,491.30M,439.56M,739.50M,117.20M,622.30M,,0.45,0.00,,,0.4029,0.45,,0.44,0.00,,,0.3940,0.44,,1.090B,1.115B,0.20,,,
1998-03,2.087B,2.087B,338.10M,1.749B,,543.50M,362.90M,,27.90M,,,,1.026B,723.30M,,,,27.90M,,703.30M,171.70M,531.60M,-3.30M,,0.60M,521.10M,510.51M,842.50M,119.20M,723.30M,,0.48,-0.01,,-0.0065,0.4608,0.47,,0.47,-0.01,,-0.0065,0.4513,0.46,,1.101B,1.131B,0.20,,,
1997-12,1.886B,1.886B,158.10M,1.728B,,601.50M,396.90M,,2.434B,,,,1.108B,619.40M,,,,2.434B,,3.001B,142.40M,2.858B,,,0.60M,457.50M,540.19M,729.40M,110.00M,619.40M,,2.60,-2.18,,,0.4945,0.42,,2.55,-2.18,,,0.6482,0.42,,1.101B,1.219B,0.20,,,
1997-09,2.160B,2.160B,463.00M,1.697B,,587.20M,345.40M,,29.90M,,,,1.057B,639.70M,,,,29.90M,,612.30M,155.40M,456.90M,,,0.70M,456.90M,434.59M,764.50M,124.80M,639.70M,,0.41,0.00,,,0.3898,0.41,,0.40,0.00,,,0.3803,0.40,,1.102B,1.130B,0.18,,,
1997-06,1.989B,1.989B,412.80M,1.576B,,572.70M,326.70M,,-1.767B,,,,1.035B,540.50M,,,,-1.767B,,-1.289B,443.20M,-1.732B,,,0.60M,-1.732B,-671.96M,676.50M,136.00M,540.50M,,-1.57,0.00,,,-0.6084,-1.57,,-1.57,0.00,,,-0.6084,-1.57,,1.102B,1.102B,0.18,,,
1997-03,1.953B,1.953B,402.30M,1.551B,,471.70M,301.20M,,-1.40M,,,,911.90M,638.80M,,,,-1.40M,,576.80M,144.20M,432.60M,,,0.60M,432.60M,433.65M,777.80M,139.00M,638.80M,,0.39,0.00,,,0.3910,0.39,,0.38,0.00,,,0.3809,0.38,,1.101B,1.126B,0.18,,,
1996-12,1.713B,1.713B,207.40M,1.505B,,480.30M,349.40M,,114.30M,,,,968.40M,537.00M,,,,114.30M,,582.80M,107.60M,475.20M,,,1.00M,373.00M,382.00M,675.70M,138.70M,537.00M,,0.43,-0.09,,,0.3448,0.34,,0.42,-0.09,,,0.3351,0.33,,1.094B,1.098B,0.1713,,,
1996-09,1.804B,1.804B,367.00M,1.437B,,473.10M,290.70M,,96.30M,,,,899.70M,537.20M,,,,96.30M,,559.40M,143.80M,415.60M,,,0.90M,415.60M,344.05M,673.10M,135.90M,537.20M,,0.38,0.00,,,0.3145,0.38,,0.37,0.00,,,0.3060,0.37,,1.093B,1.119B,0.1713,,,
1996-06,1.698B,1.698B,368.90M,1.329B,,479.00M,273.40M,,100.00M,,,,888.60M,440.80M,,,,100.00M,,465.30M,119.60M,345.70M,,,1.70M,345.70M,271.40M,577.00M,136.20M,440.80M,,0.31,0.00,,,0.2421,0.31,,0.31,0.00,,,0.2438,0.31,,1.095B,1.123B,0.1715,,,
1996-03,1.783B,1.783B,385.30M,1.398B,,460.00M,276.00M,,64.40M,,,,868.70M,529.30M,,,,64.40M,,523.80M,134.60M,389.20M,,,,389.20M,341.35M,662.00M,132.70M,529.30M,,0.36,0.00,,,0.3162,0.36,,0.35,0.00,,,0.3075,0.35,,1.093B,1.125B,0.1725,,,
1995-12,1.800B,1.800B,360.20M,1.440B,,566.40M,284.50M,,-18.90M,,,,984.80M,454.80M,,,,-18.90M,,363.80M,52.50M,311.30M,31.30M,,,342.60M,327.47M,588.70M,133.90M,454.80M,,0.28,0.035,,,0.2949,0.315,,0.28,0.035,,,0.2937,0.315,,1.088B,1.177B,0.1713,,,
1995-09,1.632B,1.632B,279.20M,1.353B,,444.10M,260.60M,,5.40M,,,,845.20M,507.50M,,,,5.40M,,437.30M,126.80M,310.50M,917.50M,,,1.228B,306.67M,648.00M,140.50M,507.50M,,0.27,0.81,,,0.2667,1.08,,0.27,0.81,,,0.2667,1.08,,1.146B,1.167B,0.1613,,,
1995-06,1.615B,1.615B,320.20M,1.295B,,436.30M,260.50M,,50.30M,,,,836.00M,458.60M,,,,50.30M,,436.60M,126.60M,310.00M,17.10M,,,327.10M,274.29M,597.80M,139.20M,458.60M,,0.27,0.02,,,0.2391,0.29,,0.27,0.02,,,0.2396,0.29,,1.157B,1.175B,0.1613,,,
1995-03,1.717B,1.717B,372.40M,1.345B,,407.20M,236.70M,,33.20M,,,,784.00M,560.90M,,,,33.20M,,527.90M,153.10M,374.80M,18.40M,,,393.20M,351.23M,701.00M,140.10M,560.90M,,0.33,0.02,,,0.3096,0.35,,0.33,0.02,,,0.3099,0.35,,1.156B,1.174B,0.1613,,,
1994-12,578.70M,578.70M,-373.00M,951.70M,,140.70M,100.30M,,-33.90M,,,,673.20M,278.50M,,,,-33.90M,,244.60M,55.50M,189.10M,,,,290.10M,215.31M,278.50M,,278.50M,,0.165,0.0875,,,0.1877,0.2525,,0.165,0.0875,,,0.1874,0.2525,,1.153B,1.168B,0.1563,,,
1994-09,1.817B,1.817B,578.10M,1.239B,,455.20M,260.60M,,-58.20M,,,,715.80M,523.50M,,,,-58.20M,,465.30M,146.60M,318.70M,,,,318.70M,358.56M,523.50M,,523.50M,,0.28,0.00,,,0.3145,0.28,,0.28,0.00,,,0.3142,0.28,,1.156B,1.167B,0.1563,,,
1994-06,1.678B,1.678B,524.50M,1.154B,,428.30M,250.60M,,30.90M,,,,678.90M,475.10M,,,,30.90M,,506.00M,159.40M,346.60M,,,,346.60M,325.43M,475.10M,,475.10M,,0.30,0.00,,,0.2817,0.30,,0.30,0.00,,,0.2819,0.30,,1.157B,1.168B,0.1563,,,
1994-03,1.637B,1.637B,517.90M,1.119B,,374.10M,227.20M,,-35.10M,,,,601.30M,517.80M,,,,-35.10M,,482.70M,152.00M,330.70M,,,,330.70M,354.75M,517.80M,,517.80M,,0.29,0.00,,,0.3108,0.29,,0.29,0.00,,,0.3108,0.29,,1.158B,1.158B,0.1563,,,
1993-12,1.801B,1.801B,177.20M,1.624B,,1.951B,,,-11.90M,,,,2.349B,-725.50M,,,,-11.90M,,-737.40M,-213.80M,-523.60M,,0.00,,-523.60M,-515.15M,-725.50M,,-725.50M,,-0.48,0.03,0.00,,-0.4735,-0.46,,-0.48,0.03,0.0003,,-0.4735,-0.46,,1.300B,1.300B,0.1513,,,
1993-09,1.531B,1.531B,467.40M,1.063B,,650.10M,,,4.50M,,,,650.10M,413.10M,,,,4.50M,,417.60M,123.20M,294.40M,,,,294.40M,291.23M,413.10M,,413.10M,,0.25,0.00,,,0.2473,0.25,,0.25,0.00,,,0.2473,0.25,,1.178B,1.178B,0.1513,,,
1993-06,1.561B,1.561B,469.50M,1.092B,,634.80M,,,35.20M,,,,634.80M,456.70M,,,,35.20M,,491.90M,145.10M,346.80M,,,,346.80M,321.98M,456.70M,,456.70M,,0.30,0.00,,,0.2785,0.30,,0.30,0.00,,,0.2785,0.30,,1.156B,1.156B,0.1513,,,
1993-03,1.56B,1.56B,446.60M,1.113B,,605.10M,,,21.50M,,,,605.10M,508.30M,,,,21.50M,,529.80M,156.30M,373.50M,,-10.90M,,362.60M,358.34M,508.30M,,508.30M,,0.32,-0.01,0.00,,0.3070,0.31,,0.32,-0.01,-0.0093,,0.3070,0.31,,1.170B,1.170B,0.1513,,,
1992-12,1.655B,1.655B,115.70M,1.540B,,726.30M,,,-0.80M,,,,1.094B,445.30M,,,,-0.80M,,444.50M,133.30M,311.20M,,0.00,,311.20M,311.76M,445.30M,,445.30M,,0.27,0.00,0.00,,0.2705,0.27,,0.27,0.00,-0.0006,,0.2705,0.27,,1.140B,1.140B,0.1375,,,
1992-09,1.476B,1.476B,532.50M,944.00M,,1.251B,,,-78.20M,,,,1.251B,-307.40M,,,,-78.20M,,-385.60M,-117.10M,-268.50M,,,,-268.50M,-214.05M,-307.40M,,-307.40M,,-0.23,0.00,,,-0.1834,-0.23,,-0.23,0.00,,,-0.1834,-0.23,,1.167B,1.167B,0.1375,,,
1992-06,1.478B,1.478B,445.60M,1.033B,,595.20M,,,49.00M,,,,595.20M,437.50M,,,,49.00M,,486.50M,148.30M,338.20M,,,,338.20M,304.14M,437.50M,,437.50M,,0.29,0.00,,,0.2608,0.29,,0.29,0.00,,,0.2608,0.29,,1.166B,1.166B,0.1375,,,
1992-03,1.557B,1.557B,435.10M,1.122B,,541.90M,,,56.80M,,,,541.90M,580.10M,,,,56.80M,,636.90M,194.30M,442.60M,,,,442.60M,403.13M,580.10M,,580.10M,,0.38,0.00,,,0.3461,0.38,,0.38,0.00,,,0.3461,0.38,,1.165B,1.165B,0.1375,,,
1991-12,1.573B,1.573B,184.70M,1.388B,,655.20M,,,12.30M,,,,954.70M,433.20M,,,,12.30M,,445.50M,134.40M,311.10M,,,,311.10M,302.51M,433.20M,,433.20M,,0.27,0.00,,,0.2626,0.27,,0.27,0.00,,,0.2626,0.27,,1.153B,1.153B,0.125,,,
1991-09,1.341B,1.341B,392.30M,949.00M,,540.00M,,,16.00M,,,,540.00M,409.00M,,,,16.00M,,425.00M,127.50M,297.50M,,,,297.50M,286.30M,409.00M,,409.00M,,0.26,0.00,,,0.2502,0.26,,0.26,0.00,,,0.2502,0.26,,1.144B,1.144B,0.125,,,
1991-06,1.376B,1.376B,388.20M,988.10M,,557.80M,,,23.20M,,,,557.80M,430.30M,,,,23.20M,,453.50M,136.00M,317.50M,,,,317.50M,301.26M,430.30M,,430.30M,,0.27,0.00,,,0.2562,0.27,,0.27,0.00,,,0.2562,0.27,,1.176B,1.176B,0.125,,,
1991-03,1.436B,1.436B,389.50M,1.046B,,550.20M,,,59.40M,,,,550.20M,495.80M,,,,59.40M,,555.20M,166.60M,388.60M,,,,388.60M,347.02M,495.80M,,495.80M,,0.34,0.00,,,0.3036,0.34,,0.34,0.00,,,0.3036,0.34,,1.143B,1.143B,0.125,,,
1990-12,1.444B,1.444B,186.90M,1.257B,,624.10M,,,-23.20M,,,,871.60M,385.30M,,,,-23.20M,,362.10M,106.80M,255.30M,,,,255.30M,271.66M,385.30M,,385.30M,,0.23,0.00,,,0.2447,0.23,,0.23,0.00,,,0.2447,0.23,,1.113B,1.113B,0.1025,,,
1990-09,1.282B,1.282B,378.40M,903.40M,,537.00M,,,-2.10M,,,,537.00M,366.40M,,,,-2.10M,,364.30M,107.50M,256.80M,,,,256.80M,258.28M,366.40M,,366.40M,,0.23,0.00,,,0.2313,0.23,,0.23,0.00,,,0.2313,0.23,,1.117B,1.117B,0.1025,,,
1990-06,1.225B,1.225B,366.70M,858.70M,,501.10M,,,31.60M,,,,501.10M,357.60M,,,,31.60M,,389.20M,114.80M,274.40M,,,,274.40M,252.12M,357.60M,,357.60M,,0.24,0.00,,,0.2205,0.24,,0.24,0.00,,,0.2205,0.24,,1.143B,1.143B,0.1025,,,
1990-03,1.241B,1.241B,343.80M,896.80M,,466.70M,,,53.30M,,,,466.70M,430.10M,,,,53.30M,,483.40M,142.60M,340.80M,,,,340.80M,303.22M,430.10M,,430.10M,,0.29,0.00,,,0.2580,0.29,,0.29,0.00,,,0.2580,0.29,,1.175B,1.175B,0.1025,,,
1989-12,784.00M,784.00M,-60.50M,844.50M,,403.90M,,,83.50M,,,,633.20M,211.30M,,,,83.50M,,294.80M,69.50M,225.30M,,,,225.30M,161.49M,211.30M,,211.30M,,0.18,0.00,,,0.1286,0.18,,0.18,0.00,,,0.1286,0.18,,1.242B,1.242B,0.0844,,,
1989-09,1.045B,1.045B,338.70M,706.40M,,455.20M,,,51.30M,,,,455.20M,251.20M,,,,51.30M,,302.50M,90.10M,212.40M,,,,212.40M,176.38M,251.20M,,251.20M,,0.19,0.00,,,0.1578,0.19,,0.19,0.00,,,0.1578,0.19,,1.118B,1.118B,0.0844,,,
1989-06,1.122B,1.122B,361.30M,760.20M,,459.20M,,,15.90M,,,,459.20M,301.00M,,,,15.90M,,316.90M,99.80M,217.10M,,,,217.10M,206.21M,301.00M,,301.00M,,0.19,0.00,,,0.1805,0.19,,0.19,0.00,,,0.1805,0.19,,1.143B,1.143B,0.0844,,,
1989-03,1.225B,1.225B,,,,,,,,,,,,1.225B,,,,,,,,284.70M,,,,284.70M,,1.225B,,1.225B,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,1.102B,1.102B,0.0844,,,
1988-12,1.042B,1.042B,,,,,,,,,,,,-1.981B,,,,,,,,175.70M,,,,175.70M,,-1.981B,,-1.981B,,,,,,,,,,,,,,,,1.097B,1.097B,0.0719,,,
1988-09,940.60M,940.60M,,,,,,,,,,,,940.60M,,,,,,,,171.40M,,,,171.40M,,940.60M,,940.60M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,1.099B,1.099B,0.0719,,,
1988-06,1.015B,1.015B,,,,,,,,,,,,1.015B,,,,,,,,180.70M,,,,180.70M,,1.015B,,1.015B,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,1.105B,1.105B,0.0719,,,
1988-03,1.072B,1.072B,,,,,,,,,,,,1.072B,,,,,,,,233.20M,,,,233.20M,,1.072B,,1.072B,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,1.115B,1.115B,0.0719,,,
1987-12,609.50M,609.50M,,,,,,,,,,,,-2.439B,,,,,,,,-95.00M,,,,-95.00M,,-2.439B,,-2.439B,,,,,,,,,,,,,,,,1.115B,1.115B,0.0625,,,
1987-09,957.70M,957.70M,,,,,,,,,,,,957.70M,,,,,,,,150.00M,,,,150.00M,,957.70M,,957.70M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,1.115B,1.115B,0.0625,,,
1987-06,1.018B,1.018B,,,,,,,,,,,,1.018B,,,,,,,,150.30M,,,,150.30M,,1.018B,,1.018B,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,1.112B,1.112B,0.0625,,,
1987-03,1.059B,1.059B,,,,,,,,,,,,1.059B,,,,,,,,205.20M,,,,205.20M,,1.059B,,1.059B,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,1.112B,1.112B,0.0625,,,
1986-12,969.40M,969.40M,,,,,,,,,,,,-1.891B,,,,,,,,124.30M,,,,124.30M,,-1.891B,,-1.891B,,,,,,,,,,,,,,,,1.112B,1.112B,0.0563,,,
1986-09,883.40M,883.40M,,,,,,,,,,,,883.40M,,,,,,,,135.60M,,,,135.60M,,883.40M,,883.40M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,1.116B,1.116B,0.0563,,,
1986-06,879.30M,879.30M,,,,,,,,,,,,879.30M,,,,,,,,125.70M,,,,125.70M,,879.30M,,879.30M,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,1.116B,1.116B,0.0563,,,
1986-03,988.30M,988.30M,,,,,,,,,,,,988.30M,,,,,,,,172.60M,,,,172.60M,,988.30M,,988.30M,,0.16,0.00,,,0.16,0.16,,0.16,0.00,,,0.16,0.16,,1.116B,1.116B,0.0563,,,
1985-12,817.00M,817.00M,,,,,,,,,,,,-1.689B,,,,,,,,124.50M,,,,124.50M,,-1.689B,,-1.689B,,,,,,,,,,,,,,,,1.116B,1.116B,,,,
1985-09,787.90M,787.90M,,,,,,,,,,,,787.90M,,,,,,,,122.10M,,,,122.10M,,787.90M,,787.90M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,1.118B,1.118B,,,,
1985-06,756.80M,756.80M,,,,,,,,,,,,756.80M,,,,,,,,110.10M,,,,110.10M,,756.80M,,756.80M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,1.149B,1.149B,,,,
1985-03,908.80M,908.80M,,,,,,,,,,,,908.80M,,,,,,,,160.90M,,,,160.90M,,908.80M,,908.80M,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,1.149B,1.149B,,,,
1984-12,777.90M,777.90M,,,,,,,,,,,,-1.587B,,,,,,,,117.80M,,,,117.80M,,-1.587B,,-1.587B,,,,,,,,,,,,,,,,1.145B,1.145B,,,,
1984-09,712.60M,712.60M,,,,,,,,,,,,712.60M,,,,,,,,111.70M,,,,111.70M,,712.60M,,712.60M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,1.163B,1.163B,,,,
1984-06,723.90M,723.90M,,,,,,,,,,,,723.90M,,,,,,,,114.00M,,,,114.00M,,723.90M,,723.90M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,1.163B,1.163B,,,,
1984-03,894.80M,894.80M,,,,,,,,,,,,894.80M,,,,,,,,146.70M,,,,146.70M,,894.80M,,894.80M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,1.163B,1.163B,,,,
