,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-12,478.40M,,,186.10M,186.10M,343.40M,343.40M,-77.40M,,58.40M,182.80M,,,-175.60M,996.10M,,-554.20M,,-287.60M,-174.00M,4.70M,741.50M,-30.90M,253.70M,,-5.00M,0.10M,-4.90M,,-252.90M,-252.90M,-533.30M,-533.30M,-80.30M,-871.40M,,3.239B,378.40M,49.20M,3.666B,,,0.10M,-5.10M,-252.90M,,AOR,Restated
2015-09,799.70M,,,0.00,0.00,358.30M,358.30M,-4.50M,,54.70M,-27.70M,,,-75.80M,1.105B,,-323.50M,,-273.50M,-50.00M,-11.10M,-194.50M,-41.00M,-570.10M,,-1.40M,-1.40M,-2.80M,,-61.10M,-61.10M,-526.30M,-526.30M,-5.00M,-595.20M,,3.316B,-60.60M,-16.10M,3.239B,,,0.00,-1.40M,-61.10M,,AOR,Restated
2015-06,600.80M,,,20.20M,20.20M,368.50M,368.50M,-559.40M,,55.80M,436.80M,,,25.90M,948.60M,,-359.90M,,-223.90M,-136.00M,0.00,601.30M,-59.00M,182.40M,,323.40M,-590.70M,-267.30M,,-124.90M,-124.90M,-539.80M,-539.80M,-11.20M,-943.20M,,3.065B,187.80M,62.90M,3.316B,,,2.273B,-1.949B,-124.90M,,AOR,Restated
2015-03,529.50M,,,-206.30M,-206.30M,357.50M,357.50M,-107.10M,,48.90M,206.40M,,,-913.70M,-84.80M,,-388.60M,,-188.60M,210.00M,-5.277B,13.20M,5.403B,160.80M,,2.182B,-2.089B,93.40M,,-310.60M,-310.60M,-527.90M,-527.90M,43.90M,-701.20M,,3.872B,-625.20M,-181.60M,3.065B,,,2.182B,,-310.60M,,AOR,Restated
2014-12,428.50M,,,88.20M,88.20M,339.40M,339.40M,-115.10M,,40.60M,436.50M,,,222.80M,1.441B,,-767.10M,,-393.50M,-358.30M,0.00,3.644B,-5.072B,-2.179B,,-0.50M,2.376B,2.375B,,-300.00M,-300.00M,-525.20M,-525.20M,-12.90M,1.537B,,3.166B,799.10M,-93.30M,3.872B,,,0.00,-0.50M,-300.00M,,AOR,Restated
2014-09,500.60M,,,259.40M,259.40M,342.40M,342.40M,30.70M,,38.50M,46.70M,,,473.00M,1.691B,,-341.90M,,-296.90M,-45.00M,0.00,-1.052B,-255.80M,-1.650B,,-0.50M,302.60M,302.10M,,-300.00M,-300.00M,-525.00M,-525.00M,117.00M,-405.90M,,3.766B,-364.30M,-235.60M,3.166B,,,0.00,-0.50M,-300.00M,,AOR,Restated
2014-06,733.50M,,,0.00,0.00,348.40M,348.40M,51.20M,,38.60M,-14.30M,,,-103.50M,1.054B,,-254.90M,,-254.90M,0.00,-551.40M,403.30M,-65.90M,-468.90M,,-31.80M,2.30M,-29.50M,,-145.00M,-145.00M,-526.90M,-526.90M,-1.10M,-702.50M,,3.888B,-117.50M,-4.80M,3.766B,,,0.00,-31.80M,-145.00M,,AOR,Restated
2014-03,727.90M,,,-6.90M,-6.90M,348.80M,348.80M,70.00M,,38.30M,12.00M,,,-917.80M,272.30M,,-202.00M,,-202.00M,0.00,0.00,627.30M,-36.90M,388.40M,,-9.10M,0.00,-9.10M,,-55.00M,-55.00M,-524.10M,-524.10M,-6.90M,-595.10M,,3.830B,65.60M,-7.80M,3.888B,,,992.90M,-1.002B,-55.00M,,AOR,Restated
2013-12,727.50M,0.00,,29.90M,29.90M,351.20M,351.20M,-541.70M,,39.80M,14.80M,,,1.105B,1.727B,,-545.20M,,-284.60M,-81.20M,0.00,-860.70M,-5.90M,-1.232B,,-7.50M,,-7.50M,,-500.00M,-500.00M,-528.90M,-528.90M,,-1.036B,,4.369B,-542.00M,3.30M,3.830B,,,,-7.50M,-500.00M,,AOR,Restated
2013-09,1.203B,0.00,,0.70M,0.70M,349.00M,349.00M,608.70M,,36.30M,20.60M,,,-226.80M,1.992B,,-253.80M,,-253.80M,0.00,-43.70M,-610.50M,-35.80M,-943.80M,,-1.30M,0.00,-1.30M,,0.00,0.00,-527.70M,-527.70M,,-529.00M,,3.786B,518.80M,63.60M,4.369B,,,0.00,-1.30M,0.00,,AOR,Restated
2013-06,1.206B,0.00,,-30.60M,-30.60M,363.90M,363.90M,249.90M,,33.60M,37.60M,,,-223.40M,1.637B,,-136.40M,,-136.40M,0.00,0.00,-1.078B,-37.30M,-1.252B,,-0.80M,0.00,-0.80M,,0.00,0.00,-533.00M,-533.00M,,-533.80M,,3.937B,-148.30M,-1.80M,3.786B,,,0.00,-0.80M,0.00,,AOR,Restated
2013-03,1.548B,-495.40M,,,-495.40M,381.50M,381.50M,-51.00M,,35.20M,9.20M,,,-1.048B,379.40M,,-157.90M,,-157.90M,0.00,,1.531B,-18.40M,1.355B,,-0.90M,,-0.90M,,-1.198B,-1.198B,-531.10M,-531.10M,,-1.730B,,4.019B,4.40M,-86.60M,3.937B,,,0.00,-0.90M,-1.198B,,AOR,Restated
2012-12,827.30M,0.00,,,-66.90M,344.60M,344.60M,-80.20M,,41.20M,110.70M,,,220.30M,1.602B,,-450.00M,,-391.20M,-36.80M,0.00,-1.196B,-38.80M,-1.662B,,-2.60M,6.70M,4.10M,,-721.10M,-721.10M,-548.20M,-548.20M,,-1.265B,,5.319B,-1.326B,25.30M,4.019B,,,,-2.60M,-721.10M,,AOR,Restated
2012-09,1.327B,-787.80M,,,-787.80M,369.70M,369.70M,55.50M,,34.50M,57.50M,,,488.30M,1.544B,,-216.10M,,-182.00M,-34.10M,0.00,-1.276B,1.359B,-132.70M,,-0.50M,0.00,-0.50M,,0.00,0.00,-544.20M,-544.20M,,-544.70M,,4.346B,866.90M,106.50M,5.319B,,,,-0.50M,0.00,,AOR,Restated
2012-06,923.60M,0.00,,,0.00,362.00M,362.00M,18.60M,,34.90M,28.00M,,,-61.10M,1.306B,,-213.80M,,-179.50M,-34.30M,-3.90M,-141.30M,-26.30M,-385.30M,,-0.90M,-1.40M,-2.30M,,0.00,0.00,-550.40M,-550.40M,,-552.70M,,4.122B,368.00M,-144.40M,4.346B,,,,-0.90M,0.00,,AOR,Restated
2012-03,1.011B,0.00,,,0.00,385.90M,385.90M,132.10M,,30.90M,-8.80M,,,-698.70M,852.50M,,-164.30M,,-130.70M,-33.60M,-195.40M,-275.30M,-17.30M,-652.30M,,-1.507B,-5.30M,-1.512B,,0.00,0.00,-544.60M,-544.60M,,-2.057B,,5.922B,-1.857B,56.50M,4.122B,,,,-1.507B,0.00,,AOR,Restated
2011-12,858.20M,,-252.20M,,-252.20M,318.90M,318.90M,-490.50M,0.50M,36.70M,301.40M,,,1.172B,1.945B,,-283.10M,,-230.60M,-27.20M,0.00,-1.540B,-78.90M,-1.877B,,-7.10M,-105.50M,-112.60M,,,,,-543.90M,5.60M,-650.90M,,6.598B,-583.00M,-92.20M,5.922B,,,,-7.10M,,,AOR,Restated
2011-09,1.236B,,252.20M,,252.20M,358.20M,358.20M,207.50M,151.00M,36.50M,-334.40M,,,166.10M,2.073B,,-348.60M,,-175.70M,-172.90M,-307.80M,-350.00M,-1.90M,-1.008B,,0.00,99.90M,99.90M,,,,,-540.90M,0.10M,-440.90M,,6.114B,624.20M,-140.00M,6.598B,,,,0.00,,,AOR,Restated
2011-06,1.197B,,,,,355.60M,355.60M,-78.00M,,36.30M,22.90M,,,506.20M,2.040B,,-542.20M,,-139.00M,-403.20M,0.00,-1.194B,-162.10M,-1.899B,,0.00,-12.30M,-12.30M,,,,,-552.10M,0.10M,-564.30M,,6.506B,-422.60M,29.70M,6.114B,,,,0.00,,,AOR,Restated
2011-03,1.056B,,,,,340.90M,340.90M,92.50M,,37.90M,244.50M,,,-595.60M,1.176B,,-519.00M,,-101.40M,-417.60M,0.00,512.60M,-34.30M,-40.70M,,-54.60M,-116.20M,-170.80M,,,,,-543.20M,0.20M,-713.80M,,5.993B,421.60M,91.60M,6.506B,,,,-54.60M,,,AOR,Restated
2010-12,5.070B,,,,,338.50M,338.50M,79.90M,0.00,55.80M,-3.950B,,,634.80M,2.228B,,-274.30M,,-226.30M,-23.40M,-280.70M,-894.60M,-139.50M,-1.564B,,-1.40M,0.00,-1.40M,,,,,-544.10M,-4.10M,-549.60M,,5.909B,114.00M,-29.60M,5.993B,,,-1.00M,-0.40M,,,AOR,Restated
2010-09,-2.597B,,,,,344.70M,344.70M,162.60M,0.00,47.00M,3.919B,,,-116.80M,1.759B,,-183.10M,,-164.10M,-19.00M,-180.30M,-402.60M,-22.50M,-788.50M,,-0.40M,126.40M,126.00M,,,,,-545.30M,25.50M,-393.80M,,5.164B,576.80M,168.50M,5.909B,,,1.00M,-1.40M,,,AOR,
2010-06,1.349B,,,,,345.60M,345.60M,86.70M,,54.50M,-35.70M,,,111.60M,1.912B,,-554.20M,,-154.20M,-400.00M,-148.40M,-4.80M,-46.80M,-754.20M,,0.70M,6.60M,7.30M,,,,,-536.70M,-2.10M,-531.50M,,4.725B,625.90M,-187.60M,5.164B,,,,0.70M,,,AOR,Restated
2010-03,1.248B,,,,,299.40M,299.40M,230.50M,,73.70M,-78.60M,,,-815.10M,958.00M,,-175.10M,,-125.10M,-50.00M,,133.00M,-10.50M,-52.60M,,0.00,-7.90M,-7.90M,,,,,-539.20M,0.10M,-547.00M,,4.463B,358.40M,-96.10M,4.725B,,,,0.00,,,AOR,Restated
2009-12,915.40M,,,,,375.80M,375.80M,-116.40M,,104.10M,1.184B,,,811.10M,2.019B,,-346.80M,,-239.10M,-90.00M,0.00,98.50M,-23.70M,-254.30M,,400.00M,-994.80M,-594.80M,,,,,-539.70M,6.00M,-1.128B,,3.848B,635.80M,-21.10M,4.463B,,,0.00,400.00M,,,AOR,Restated
2009-09,941.80M,,,,,309.70M,309.70M,-33.80M,,104.00M,557.10M,,,-573.10M,1.306B,,-174.30M,,-174.30M,0.00,0.00,273.70M,-31.70M,67.70M,,-400.00M,-16.60M,-416.60M,,,,,-536.60M,40.00M,-913.20M,,3.322B,460.20M,65.70M,3.848B,,,0.00,4.413B,,,AOR,Restated
2009-06,1.158B,,,,,306.00M,306.00M,211.00M,,94.30M,-323.60M,,,-522.90M,923.30M,,-176.90M,,-176.90M,0.00,0.00,299.10M,-20.10M,102.10M,,0.00,-569.20M,-569.20M,,,,,-539.00M,-3.40M,-1.112B,,3.313B,-86.20M,95.40M,3.322B,,,0.00,-569.20M,,,AOR,Restated
2009-03,1.313B,,,,,306.30M,306.30M,129.10M,,66.10M,-1.055B,,,-672.00M,87.90M,,-157.00M,,-157.00M,0.00,,403.30M,-19.00M,227.30M,,2.40B,-4.244B,-1.844B,,,,,-536.80M,,-2.380B,,5.497B,-2.065B,-118.40M,3.313B,,,2.40B,-4.244B,,,AOR,Restated
2008-12,-3.629B,,,,-53.40M,280.30M,280.30M,174.60M,,62.60M,4.766B,,,780.20M,2.380B,,-275.70M,,-250.00M,0.00,-6.039B,1.022B,-199.40M,-5.466B,,-639.00M,5.453B,4.814B,,,,,-515.20M,-1.30M,4.297B,,4.354B,1.211B,-68.30M,5.497B,,,5.060B,-246.80M,,,,Restated
2008-09,-465.60M,,,,1.477B,283.30M,283.30M,309.50M,,77.90M,254.20M,,,195.30M,2.132B,,-220.90M,,-220.90M,0.00,-44.40M,356.00M,-19.10M,71.60M,,-3.40M,-42.90M,-46.30M,,,,,-520.30M,0.80M,-565.80M,,2.868B,1.637B,-152.10M,4.354B,,,0.00,-46.30M,,,,Restated
2008-06,958.80M,,,,,281.50M,281.50M,-153.40M,,56.30M,59.20M,,,-121.50M,1.081B,,-301.40M,,-266.40M,-35.00M,,-514.00M,-24.70M,-840.10M,,-7.40M,-6.80M,-14.20M,,,,,-507.60M,-1.70M,-523.50M,,3.145B,-282.70M,5.60M,2.868B,,,0.00,-14.20M,,,,Restated
2008-03,1.064B,,,,,277.50M,277.50M,111.90M,,58.50M,120.20M,,,70.20M,1.703B,,-271.20M,,-184.20M,-87.00M,,-721.20M,-41.60M,-1.034B,,0.10M,-342.50M,-342.40M,,,,,-513.60M,-5.90M,-861.90M,,3.220B,-193.30M,118.20M,3.145B,,,0.10M,-342.50M,,,,Restated
2007-12,854.40M,,,,575.70M,274.80M,274.80M,406.00M,,,-385.70M,,265.70M,504.50M,2.230B,,-366.70M,,-334.40M,,-5.70M,-555.70M,-168.30M,-1.064B,,,,-25.60M,3.10M,,3.10M,,-463.80M,-4.40M,-490.70M,,2.496B,674.90M,50.10M,3.220B,,3.10M,,,,,,
2007-09,926.30M,,,,137.20M,265.50M,265.50M,143.60M,,,41.90M,,-70.00M,-70.00M,1.444B,,-230.10M,,-230.10M,,-87.60M,-288.70M,-49.30M,-655.70M,,,,-114.70M,1.40M,,1.40M,,-463.30M,3.40M,-573.20M,,2.220B,215.60M,59.40M,2.496B,,1.40M,,,,,,
2007-06,663.60M,,,,-334.30M,262.50M,262.50M,-137.10M,,,649.70M,,-515.90M,-515.90M,588.50M,,-246.20M,,-246.20M,,-354.30M,475.40M,-27.90M,-153.00M,,,,-274.00M,12.60M,,12.60M,,-463.60M,0.40M,-724.60M,,2.491B,-289.10M,18.20M,2.220B,,12.60M,,,,,,
2007-03,508.70M,,,,305.60M,245.10M,245.10M,-289.60M,,,157.60M,,-35.60M,-35.60M,891.80M,,-239.40M,,-239.40M,,-2.226B,41.50M,-31.80M,-2.455B,,,,1.399B,7.60M,,7.60M,,-462.90M,,943.60M,,3.109B,-619.90M,2.00M,2.491B,,7.60M,,,,,,
2006-12,132.30M,,,,-196.80M,173.60M,173.60M,216.30M,,,1.009B,,1.276B,523.30M,1.858B,,-410.00M,,-344.80M,,,945.20M,54.60M,655.00M,,,,-1.189B,15.40M,0.00,15.40M,,-434.80M,3.60M,-1.605B,,2.170B,907.80M,31.60M,3.109B,,15.40M,,,0.00,,,
2006-09,873.60M,,,,83.30M,214.20M,214.20M,9.80M,,,-43.60M,,38.70M,38.70M,1.176B,,-275.70M,,-275.70M,,,489.90M,-2.50M,211.70M,,,,-1.506B,30.30M,0.00,30.30M,,-436.90M,6.10M,-1.906B,,2.670B,-518.40M,18.60M,2.170B,,30.30M,,,0.00,,,
2006-06,822.00M,,,,-183.50M,209.10M,209.10M,20.90M,,,229.40M,,-410.20M,-410.20M,687.70M,,-231.40M,,-231.40M,,,103.00M,41.80M,-86.60M,,,,-1.30M,6.10M,0.00,6.10M,,-431.10M,-1.20M,-427.50M,,2.458B,173.60M,37.80M,2.670B,,6.10M,,,0.00,,,
2006-03,834.80M,,,,100.20M,204.90M,204.90M,99.80M,,,-38.10M,,-947.10M,-947.10M,254.50M,,-160.70M,,-160.70M,,,-96.10M,85.10M,-171.70M,,,,-93.90M,7.80M,-122.10M,-114.30M,,-433.50M,1.40M,-640.30M,,3.007B,-557.50M,9.10M,2.458B,,7.80M,,,-122.10M,,,
2005-12,700.60M,,,,213.00M,225.10M,225.10M,-142.50M,,,-30.80M,,1.796B,-151.10M,814.30M,,-419.60M,,-408.50M,,,-1.464B,-137.20M,-2.009B,,,,-6.80M,34.70M,,-343.20M,,-409.20M,6.60M,-752.60M,,4.970B,-1.948B,-15.50M,3.007B,,34.70M,,,,,,
2005-09,794.40M,,,,101.30M,183.90M,183.90M,-29.10M,,,-3.10M,,-1.427B,-1.427B,-379.60M,,-258.60M,,-258.60M,,,-502.30M,-71.30M,-832.20M,,,,1.899B,36.30M,,36.30M,,-424.50M,25.30M,1.536B,,4.642B,324.60M,2.70M,4.970B,,36.30M,,,,,,
2005-06,-252.00M,,,,1.079B,158.70M,158.70M,45.90M,,,11.10M,,-369.00M,-369.00M,674.10M,,-377.70M,,-377.70M,,,-742.80M,-77.50M,-1.198B,,,,-0.60M,22.40M,,22.40M,,-408.00M,7.00M,-379.20M,,5.608B,-903.10M,-62.20M,4.642B,,22.40M,,,,,,
2005-03,736.60M,,,,108.50M,158.70M,158.70M,-221.80M,,,22.80M,,,,804.80M,,-242.20M,,-242.20M,,,2.133B,-67.60M,1.824B,,,,-1.885B,12.50M,,12.50M,,-413.20M,0.90M,-2.285B,,5.365B,343.20M,-100.80M,5.608B,,12.50M,,,,,,
2004-12,-2.40M,,,,483.50M,136.70M,136.70M,674.60M,,,-154.40M,,648.40M,-589.60M,548.40M,,-470.00M,,-449.50M,,0.00,2.780B,-295.00M,2.035B,,,,347.60M,15.60M,,15.60M,,-385.50M,,-22.30M,,2.577B,2.561B,226.70M,5.365B,,15.60M,,,,,,
2004-09,755.20M,,,,-50.40M,163.20M,163.20M,-38.30M,,,19.00M,,-48.80M,-48.80M,799.90M,,-456.40M,,-456.40M,,0.00,-600.90M,-142.60M,-1.200B,,,,972.00M,13.10M,,13.10M,,-385.10M,,600.00M,,2.397B,200.00M,-19.30M,2.577B,,13.10M,,,,,,
2004-06,656.90M,,,,544.90M,150.00M,150.00M,122.90M,,,69.10M,,-599.60M,-599.60M,944.20M,,-508.10M,,-508.10M,,0.00,-3.50M,-62.20M,-573.80M,,,,-39.20M,29.30M,,29.30M,,-384.90M,2.30M,-392.50M,,2.410B,-22.10M,8.40M,2.397B,,29.30M,,,,,,
2004-03,400.40M,,,,-50.50M,147.60M,147.60M,13.20M,,,66.30M,,,,577.00M,,-463.60M,,-463.60M,,-71.70M,-412.60M,1.70M,-946.20M,,,,358.60M,46.50M,,46.50M,,-384.30M,-2.30M,18.50M,,2.756B,-350.70M,4.80M,2.410B,,46.50M,,,,,,
2003-12,747.20M,,,,79.40M,106.60M,106.60M,-26.10M,,,-23.40M,,199.10M,282.90M,1.167B,,-657.80M,,-596.60M,,,-9.10M,-139.50M,-745.20M,,,,-282.50M,33.40M,0.00,33.40M,,-360.90M,,-610.00M,,2.916B,-188.60M,28.80M,2.756B,,33.40M,,,0.00,,,
2003-09,714.40M,,,,0.00,153.30M,153.30M,12.50M,,,11.80M,,171.10M,171.10M,1.063B,,-382.40M,,-382.40M,,,321.30M,-55.20M,-116.30M,,,,269.80M,24.00M,0.00,24.00M,,-363.00M,,-69.20M,,2.037B,877.60M,1.20M,2.916B,,24.00M,,,0.00,,,
2003-06,692.20M,,,,0.00,144.00M,144.00M,-21.70M,,,25.30M,,-11.80M,-11.80M,828.00M,,-387.80M,,-387.80M,,,-118.10M,34.90M,-471.00M,,,,-9.90M,28.00M,-215.50M,-187.50M,,-358.60M,,-556.00M,,2.204B,-199.00M,32.20M,2.037B,,28.00M,,,-215.50M,,,
