,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2013-07,168.00M,,,,91.00M,91.00M,5.00M,,,17.00M,0.00,3.00M,34.00M,-28.00M,-40.00M,,-49.00M,-83.00M,,215.00M,,-53.00M,0.00,-53.00M,,-1.00M,0.00,,-54.00M,,347.00M,0.00,347.00M,,-681.00M,-681.00M,-41.00M,-41.00M,48.00M,-5.00M,-332.00M,,2.519B,-171.00M,-18.00M,2.33B,2013-07,,,597.00M,-250.00M,-681.00M,,,2013-07,AOR,Restated
2013-04,166.00M,,,,92.00M,92.00M,-2.00M,,,18.00M,0.00,3.00M,-56.00M,-19.00M,0.00,,101.00M,26.00M,,315.00M,,-51.00M,1.00M,-50.00M,,-21.00M,0.00,,-71.00M,,,,,,-140.00M,-140.00M,-41.00M,-41.00M,16.00M,0.00,-165.00M,,2.45B,79.00M,-10.00M,2.519B,2013-04,,,,,-140.00M,,,2013-04,AOR,Restated
2013-01,179.00M,,,,94.00M,94.00M,-2.00M,,,31.00M,-2.00M,2.00M,53.00M,-34.00M,-7.00M,,-79.00M,-67.00M,,245.00M,,-59.00M,1.00M,-58.00M,,-10.00M,-4.00M,,-72.00M,,,,,,-79.00M,-79.00M,-35.00M,-35.00M,52.00M,-1.00M,-63.00M,,2.351B,110.00M,-11.00M,2.45B,2013-01,,,,,-79.00M,,,2013-01,AOR,Restated
2012-10,425.00M,,,,94.00M,94.00M,-160.00M,,,15.00M,0.00,4.00M,41.00M,22.00M,-30.00M,,66.00M,99.00M,,485.00M,,-62.00M,0.00,-62.00M,,-30.00M,0.00,0.00,-92.00M,,149.00M,,149.00M,,-94.00M,-94.00M,-34.00M,-34.00M,10.00M,-3.00M,28.00M,,1.923B,421.00M,7.00M,2.351B,2012-10,,,399.00M,-250.00M,-94.00M,,,2012-10,AOR,Restated
2012-07,243.00M,,,,84.00M,84.00M,6.00M,,,16.00M,0.00,0.00,41.00M,-10.00M,5.00M,,-152.00M,-116.00M,,240.00M,,-49.00M,0.00,-49.00M,,-2.151B,0.00,0.00,-2.20B,,-1.00M,,-1.00M,,0.00,0.00,-35.00M,-35.00M,29.00M,0.00,-7.00M,,3.896B,-1.967B,-6.00M,1.923B,2012-07,,,0.00,-1.00M,0.00,,,2012-07,AOR,Restated
2012-04,255.00M,,,,61.00M,61.00M,-14.00M,,,16.00M,0.00,1.00M,-98.00M,-18.00M,36.00M,,107.00M,27.00M,,353.00M,,-37.00M,0.00,-37.00M,,-21.00M,2.00M,0.00,-56.00M,,,,,,-44.00M,-44.00M,-35.00M,-35.00M,19.00M,-1.00M,-61.00M,,3.662B,236.00M,-2.00M,3.896B,2012-04,,,,,-44.00M,,,2012-04,AOR,Restated
2012-01,230.00M,,,,62.00M,62.00M,10.00M,,,27.00M,0.00,1.00M,35.00M,-46.00M,-42.00M,,-133.00M,-186.00M,,150.00M,,-46.00M,0.00,-46.00M,,-55.00M,3.00M,80.00M,-18.00M,,,,,,-34.00M,-34.00M,0.00,0.00,42.00M,-5.00M,3.00M,,3.527B,135.00M,0.00,3.662B,2012-01,,,,,-34.00M,,,2012-01,AOR,Restated
2011-10,,,,,63.00M,63.00M,8.00M,,,14.00M,,-669.00M,42.00M,-16.00M,1.00M,,29.00M,56.00M,,510.00M,,-50.00M,1.00M,-49.00M,,-1.00M,2.00M,0.00,-48.00M,,0.00,,0.00,-299.00M,-35.00M,-334.00M,,0.00,,,-30.00M,,3.101B,432.00M,-6.00M,3.527B,2011-10,,-299.00M,,0.00,-35.00M,,,2011-10,AOR,Restated
2011-07,,,,,63.00M,63.00M,-8.00M,,,14.00M,,341.00M,-5.00M,-53.00M,-17.00M,-14.00M,-69.00M,-158.00M,,252.00M,,-49.00M,17.00M,-32.00M,,0.00,0.00,0.00,-32.00M,,0.00,,0.00,95.00M,-192.00M,-97.00M,,0.00,,,-97.00M,,2.975B,123.00M,3.00M,3.101B,2011-07,,95.00M,,0.00,-192.00M,,,2011-07,AOR,Restated
2011-04,,,,,64.00M,64.00M,34.00M,,,16.00M,,210.00M,-39.00M,-54.00M,37.00M,95.00M,15.00M,54.00M,,378.00M,,-51.00M,,-51.00M,,-96.00M,9.00M,12.00M,-126.00M,,0.00,,0.00,68.00M,0.00,68.00M,,0.00,,,68.00M,,2.638B,320.00M,17.00M,2.975B,2011-04,,68.00M,,0.00,0.00,,,2011-04,AOR,Restated
