,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2015-10,1.035B,1.035B,500.00M,535.00M,297.00M,82.00M,,16.00M,1.00M,-15.00M,,379.00M,156.00M,1.00M,16.00M,-15.00M,2.00M,-15.00M,143.00M,3.00M,140.00M,0.00,,140.00M,140.00M,159.00M,,2015-10,0.42,0.00,0.42,,2015-10,0.42,0.00,0.42,,2015-10,0.10,,2015-10,AOR,Restated
2015-07,1.014B,1.014B,501.00M,513.00M,290.00M,79.00M,,17.00M,2.00M,-15.00M,,369.00M,144.00M,2.00M,17.00M,-15.00M,-1.00M,-15.00M,128.00M,15.00M,113.00M,-2.00M,,111.00M,113.00M,145.00M,,2015-07,0.34,-0.01,0.33,,2015-07,0.34,-0.01,0.33,,2015-07,0.10,,2015-07,AOR,Restated
2015-04,963.00M,963.00M,483.00M,480.00M,292.00M,81.00M,,17.00M,2.00M,-15.00M,,373.00M,107.00M,2.00M,17.00M,-15.00M,4.00M,-15.00M,96.00M,4.00M,92.00M,-5.00M,,87.00M,92.00M,113.00M,,2015-04,0.28,-0.02,0.26,,2015-04,0.27,-0.02,0.26,,2015-04,0.10,,2015-04,AOR,Restated
2015-01,1.026B,1.026B,513.00M,513.00M,310.00M,88.00M,,16.00M,2.00M,-14.00M,,398.00M,115.00M,2.00M,16.00M,-14.00M,12.00M,-14.00M,113.00M,20.00M,93.00M,-30.00M,,63.00M,93.00M,129.00M,,2015-01,0.28,-0.09,0.19,,2015-01,0.28,-0.09,0.19,,2015-01,0.10,,2015-01,AOR,Restated
2014-10,1.043B,1.043B,564.00M,479.00M,312.00M,97.00M,,23.00M,2.00M,-21.00M,,409.00M,70.00M,2.00M,23.00M,-21.00M,-71.00M,-21.00M,-22.00M,-30.00M,8.00M,60.00M,,68.00M,8.00M,1.00M,,2014-10,0.05,0.18,0.05,,2014-10,0.05,0.17,0.05,,2014-10,0.132,,2014-10,AOR,Restated
2014-07,1.009B,1.009B,507.00M,502.00M,285.00M,86.00M,,28.00M,3.00M,-25.00M,,371.00M,131.00M,3.00M,28.00M,-25.00M,-21.00M,-25.00M,85.00M,22.00M,63.00M,84.00M,,147.00M,63.00M,113.00M,,2014-07,0.19,0.25,0.44,,2014-07,0.19,0.24,0.43,,2014-07,0.132,,2014-07,AOR,Restated
2014-04,988.00M,988.00M,503.00M,485.00M,304.00M,87.00M,,30.00M,2.00M,-28.00M,,391.00M,94.00M,2.00M,30.00M,-28.00M,3.00M,-28.00M,69.00M,29.00M,40.00M,99.00M,,139.00M,40.00M,99.00M,,2014-04,0.12,0.30,0.42,,2014-04,0.12,0.29,0.41,,2014-04,0.132,,2014-04,AOR,Restated
2014-01,1.008B,1.008B,498.00M,510.00M,298.00M,88.00M,,29.00M,2.00M,-27.00M,,386.00M,124.00M,2.00M,29.00M,-27.00M,,-27.00M,97.00M,-24.00M,121.00M,74.00M,,195.00M,121.00M,126.00M,,2014-01,0.37,0.22,0.59,,2014-01,0.36,0.22,0.58,,2014-01,0.132,,2014-01,AOR,Restated
2013-10,-1.17B,-1.17B,-450.00M,-720.00M,-246.00M,-194.00M,,30.00M,2.00M,-28.00M,,-440.00M,-280.00M,2.00M,30.00M,-28.00M,-4.00M,-28.00M,-312.00M,-24.00M,-288.00M,,,221.00M,-288.00M,-282.00M,,2013-10,0.64,,0.64,,2013-10,0.63,,0.63,,2013-10,0.12,,2013-10,AOR,Restated
2013-07,1.652B,1.652B,796.00M,856.00M,449.00M,171.00M,,27.00M,2.00M,-25.00M,,620.00M,236.00M,2.00M,27.00M,-25.00M,1.00M,-25.00M,212.00M,44.00M,168.00M,,,168.00M,168.00M,239.00M,,2013-07,0.50,,0.50,,2013-07,0.49,,0.49,,2013-07,0.12,,2013-07,AOR,Restated
2013-04,1.732B,1.732B,841.00M,891.00M,497.00M,181.00M,,25.00M,1.00M,-24.00M,,678.00M,213.00M,1.00M,25.00M,-24.00M,9.00M,-24.00M,198.00M,32.00M,166.00M,,,166.00M,166.00M,223.00M,,2013-04,0.48,,0.48,,2013-04,0.48,,0.48,,2013-04,0.12,,2013-04,AOR,Restated
2013-01,1.68B,1.68B,800.00M,880.00M,484.00M,179.00M,,25.00M,2.00M,-23.00M,,663.00M,217.00M,2.00M,25.00M,-23.00M,1.00M,-23.00M,195.00M,16.00M,179.00M,,,179.00M,179.00M,220.00M,,2013-01,0.52,,0.52,,2013-01,0.51,,0.51,,2013-01,0.10,,2013-01,AOR,Restated
2012-10,1.767B,1.767B,845.00M,922.00M,466.00M,178.00M,,26.00M,2.00M,-24.00M,,644.00M,278.00M,2.00M,26.00M,-24.00M,2.00M,-24.00M,256.00M,-169.00M,425.00M,,,425.00M,425.00M,282.00M,,2012-10,1.22,0.00,1.22,,2012-10,1.20,0.00,1.20,,2012-10,0.10,,2012-10,AOR,Restated
2012-07,1.723B,1.723B,833.00M,890.00M,458.00M,162.00M,,24.00M,2.00M,-22.00M,,620.00M,270.00M,2.00M,24.00M,-22.00M,-10.00M,-22.00M,238.00M,-5.00M,243.00M,,,243.00M,243.00M,262.00M,,2012-07,0.70,,0.70,,2012-07,0.69,,0.69,,2012-07,0.10,,2012-07,AOR,Restated
2012-04,1.733B,1.733B,815.00M,918.00M,452.00M,166.00M,,25.00M,2.00M,-23.00M,,618.00M,300.00M,2.00M,25.00M,-23.00M,16.00M,-23.00M,293.00M,38.00M,255.00M,,,255.00M,255.00M,318.00M,,2012-04,0.73,,0.73,,2012-04,0.72,,0.72,,2012-04,0.10,,2012-04,AOR,Restated
2012-01,1.635B,1.635B,761.00M,874.00M,441.00M,162.00M,,26.00M,3.00M,-23.00M,,603.00M,271.00M,3.00M,26.00M,-23.00M,8.00M,-23.00M,256.00M,26.00M,230.00M,,,230.00M,230.00M,282.00M,,2012-01,0.66,,0.66,,2012-01,0.65,,0.65,,2012-01,,,2012-01,AOR,Restated
2011-10,1.728B,1.728B,807.00M,921.00M,445.00M,163.00M,,23.00M,4.00M,-19.00M,,608.00M,313.00M,4.00M,23.00M,-19.00M,-1.00M,-19.00M,293.00M,4.00M,289.00M,,,289.00M,289.00M,316.00M,,2011-10,0.84,,0.84,,2011-10,0.81,,0.81,,2011-10,,,2011-10,AOR,Restated
2011-07,1.691B,1.691B,799.00M,892.00M,449.00M,162.00M,17.00M,20.00M,3.00M,-17.00M,,611.00M,281.00M,3.00M,20.00M,-17.00M,17.00M,-17.00M,281.00M,-49.00M,330.00M,,,330.00M,318.95M,301.00M,,2011-07,0.95,0.00,0.95,,2011-07,0.92,0.00,0.92,,2011-07,,,2011-07,AOR,Restated
2011-04,1.677B,1.677B,777.00M,900.00M,469.00M,165.00M,11.00M,20.00M,3.00M,-17.00M,,634.00M,266.00M,3.00M,20.00M,-17.00M,11.00M,-17.00M,260.00M,60.00M,200.00M,,,200.00M,191.54M,280.00M,,2011-04,0.58,0.00,0.58,,2011-04,0.56,0.00,0.56,,2011-04,,,2011-04,AOR,Restated
2011-01,1.519B,1.519B,703.00M,816.00M,446.00M,159.00M,6.00M,23.00M,4.00M,-19.00M,,605.00M,211.00M,4.00M,23.00M,-19.00M,6.00M,-19.00M,198.00M,5.00M,193.00M,,,193.00M,187.15M,221.00M,,2011-01,0.56,0.00,0.56,,2011-01,0.54,0.00,0.54,,2011-01,,,2011-01,AOR,Restated
2010-10,1.576B,1.576B,742.00M,834.00M,472.00M,159.00M,56.00M,27.00M,11.00M,-16.00M,,631.00M,203.00M,11.00M,27.00M,-16.00M,56.00M,-16.00M,243.00M,-49.00M,292.00M,,,292.00M,255.60M,270.00M,,2010-10,0.84,0.00,0.84,,2010-10,0.83,0.00,0.83,,2010-10,,,2010-10,AOR,Restated
2010-07,1.384B,1.384B,659.00M,725.00M,456.00M,154.00M,133.00M,24.00M,3.00M,-21.00M,,610.00M,115.00M,3.00M,24.00M,-21.00M,133.00M,-21.00M,227.00M,22.00M,205.00M,,,205.00M,84.89M,251.00M,,2010-07,0.59,0.00,0.59,,2010-07,0.58,0.00,0.58,,2010-07,,,2010-07,AOR,Restated
2010-04,1.271B,1.271B,560.00M,711.00M,407.00M,150.00M,4.00M,22.00M,3.00M,-19.00M,,557.00M,154.00M,3.00M,22.00M,-19.00M,4.00M,-19.00M,139.00M,31.00M,108.00M,,,108.00M,104.89M,161.00M,,2010-04,0.31,0.00,0.31,,2010-04,0.31,0.00,0.31,,2010-04,,,2010-04,AOR,Restated
2010-01,1.213B,1.213B,553.00M,660.00M,417.00M,149.00M,9.00M,23.00M,3.00M,-20.00M,,566.00M,94.00M,3.00M,23.00M,-20.00M,9.00M,-20.00M,83.00M,4.00M,79.00M,,,79.00M,70.43M,106.00M,,2010-01,0.23,0.00,0.23,,2010-01,0.22,0.00,0.22,,2010-01,,,2010-01,AOR,Restated
2009-10,1.167B,1.167B,533.00M,634.00M,413.00M,150.00M,25.00M,21.00M,4.00M,-17.00M,,563.00M,71.00M,4.00M,21.00M,-17.00M,25.00M,-17.00M,79.00M,54.00M,25.00M,,,25.00M,8.75M,100.00M,,2009-10,0.07,0.00,0.07,,2009-10,0.07,0.00,0.07,,2009-10,,,2009-10,AOR,Restated
2009-07,1.057B,1.057B,518.00M,539.00M,387.00M,153.00M,-24.00M,21.00M,5.00M,-16.00M,,540.00M,-1.00M,5.00M,21.00M,-16.00M,-24.00M,-16.00M,-41.00M,-22.00M,-19.00M,,,-19.00M,-3.40M,-20.00M,,2009-07,-0.06,0.00,-0.06,,2009-07,-0.06,0.00,-0.06,,2009-07,,,2009-07,AOR,Restated
2009-04,1.091B,1.091B,561.00M,530.00M,407.00M,170.00M,6.00M,23.00M,6.00M,-17.00M,,577.00M,-47.00M,6.00M,23.00M,-17.00M,6.00M,-17.00M,-58.00M,43.00M,-101.00M,,,-101.00M,-104.90M,-35.00M,,2009-04,-0.29,0.00,-0.29,,2009-04,-0.29,0.00,-0.29,,2009-04,,,2009-04,AOR,Restated
2009-01,1.166B,1.166B,577.00M,589.00M,396.00M,169.00M,12.00M,23.00M,14.00M,-9.00M,,565.00M,24.00M,14.00M,23.00M,-9.00M,12.00M,-9.00M,27.00M,-37.00M,64.00M,,,64.00M,56.20M,50.00M,,2009-01,0.18,0.00,0.18,,2009-01,0.18,0.00,0.18,,2009-01,,,2009-01,,Restated
2008-10,1.481B,1.481B,651.00M,830.00M,408.00M,170.00M,14.00M,33.00M,24.00M,-9.00M,,578.00M,252.00M,24.00M,33.00M,-9.00M,14.00M,-9.00M,257.00M,26.00M,231.00M,,,231.00M,218.42M,290.00M,,2008-10,0.64,0.00,0.64,,2008-10,0.64,0.00,0.64,,2008-10,,,2008-10,,Restated
2008-07,1.444B,1.444B,641.00M,803.00M,415.00M,170.00M,5.00M,31.00M,23.00M,-8.00M,,585.00M,218.00M,23.00M,31.00M,-8.00M,5.00M,-8.00M,215.00M,46.00M,169.00M,,,169.00M,165.07M,246.00M,,2008-07,0.47,0.00,0.47,,2008-07,0.45,0.00,0.45,,2008-07,,,2008-07,,Restated
2008-04,1.456B,1.456B,649.00M,807.00M,433.00M,183.00M,7.00M,29.00M,27.00M,-2.00M,,616.00M,191.00M,27.00M,29.00M,-2.00M,7.00M,-2.00M,196.00M,23.00M,173.00M,,,173.00M,166.82M,225.00M,,2008-04,0.48,0.00,0.48,,2008-04,0.47,0.00,0.47,,2008-04,,,2008-04,,Restated
2008-01,1.393B,1.393B,637.00M,756.00M,441.00M,181.00M,4.00M,,,,,622.00M,134.00M,,,,4.00M,,147.00M,27.00M,120.00M,,,120.00M,116.73M,134.00M,,2008-01,0.32,0.00,0.32,,2008-01,0.31,0.00,0.31,,2008-01,,,2008-01,,
2007-10,1.446B,1.446B,656.00M,790.00M,426.00M,174.00M,-2.00M,,,,,600.00M,190.00M,,,,-2.00M,,201.00M,21.00M,180.00M,,,180.00M,181.79M,190.00M,,2007-10,0.47,0.00,0.47,,2007-10,0.46,0.00,0.46,,2007-10,,,2007-10,,
2007-07,1.374B,1.374B,616.00M,758.00M,420.00M,170.00M,3.00M,,,,,590.00M,168.00M,,,,3.00M,,190.00M,5.00M,185.00M,,,185.00M,182.08M,168.00M,,2007-07,0.47,0.00,0.47,,2007-07,0.45,0.00,0.45,,2007-07,,,2007-07,,
2007-04,1.32B,1.32B,590.00M,730.00M,426.00M,173.00M,3.00M,,,,,599.00M,131.00M,,,,3.00M,,156.00M,33.00M,123.00M,,,123.00M,120.63M,131.00M,,2007-04,0.31,0.00,0.31,,2007-04,0.30,0.00,0.30,,2007-04,,,2007-04,,
2007-01,1.28B,1.28B,589.00M,691.00M,428.00M,168.00M,1.00M,,,,,596.00M,95.00M,,,,1.00M,,123.00M,-27.00M,150.00M,,,150.00M,149.35M,95.00M,,2007-01,0.37,0.00,0.37,,2007-01,0.36,0.00,0.36,,2007-01,,,2007-01,,
2006-10,1.328B,1.328B,599.00M,729.00M,424.00M,156.00M,6.00M,,,,0.00,580.00M,149.00M,,,,6.00M,,173.00M,47.00M,126.00M,23.00M,,149.00M,121.63M,149.00M,,2006-10,0.34,0.12,0.46,,2006-10,0.34,0.12,0.46,,2006-10,,,2006-10,,
2006-07,1.239B,1.239B,553.00M,686.00M,407.00M,162.00M,82.00M,,,,-65.00M,504.00M,182.00M,,,,82.00M,,227.00M,11.00M,216.00M,11.00M,,227.00M,137.97M,182.00M,,2006-07,0.52,0.03,0.55,,2006-07,0.51,0.03,0.54,,2006-07,,,2006-07,,
2006-04,1.239B,1.239B,598.00M,641.00M,427.00M,172.00M,73.00M,,,,,599.00M,42.00M,,,,73.00M,,144.00M,23.00M,121.00M,-6.00M,,115.00M,59.66M,42.00M,,2006-04,0.28,-0.01,0.27,,2006-04,0.27,-0.01,0.26,,2006-04,,,2006-04,,
2006-01,1.167B,1.167B,565.00M,602.00M,402.00M,165.00M,17.00M,,,,,567.00M,35.00M,,,,918.00M,,83.00M,10.00M,974.00M,1.842B,,2.816B,959.05M,35.00M,,2006-01,2.06,3.89,5.95,,2006-01,2.02,3.81,5.83,,2006-01,,,2006-01,,
2005-10,953.00M,953.00M,416.00M,537.00M,333.00M,103.00M,-20.00M,,,,,436.00M,101.00M,,,,-14.00M,,116.00M,89.00M,33.00M,-8.00M,,25.00M,45.00M,101.00M,,2005-10,0.06,-0.01,0.05,,2005-10,0.06,-0.02,0.04,,2005-10,,,2005-10,,
2005-07,1.242B,1.242B,646.00M,596.00M,378.00M,183.00M,25.00M,,,,,561.00M,35.00M,,,,38.00M,,60.00M,19.00M,54.00M,50.00M,,104.00M,36.92M,35.00M,,2005-07,0.11,0.10,0.21,,2005-07,0.10,0.10,0.20,,2005-07,,,2005-07,,
2005-04,1.278B,1.278B,638.00M,640.00M,409.00M,189.00M,15.00M,,,,,598.00M,42.00M,,,,30.00M,,57.00M,19.00M,53.00M,42.00M,,95.00M,43.00M,42.00M,,2005-04,0.11,0.08,0.19,,2005-04,0.11,0.08,0.19,,2005-04,,,2005-04,,
2005-01,1.212B,1.212B,621.00M,591.00M,378.00M,175.00M,20.00M,,,,,553.00M,38.00M,,,,28.00M,,58.00M,15.00M,51.00M,52.00M,,103.00M,36.17M,38.00M,,2005-01,0.10,0.11,0.21,,2005-01,0.10,0.11,0.21,,2005-01,,,2005-01,,
2004-10,-803.00M,-803.00M,-624.00M,-179.00M,157.00M,-102.00M,-23.00M,,,,,55.00M,-234.00M,,,,6.00M,,-257.00M,-12.00M,-216.00M,,,94.00M,-194.07M,-234.00M,,2004-10,-0.45,0.64,0.19,,2004-10,-0.45,0.63,0.19,,2004-10,,,2004-10,,
2004-07,1.885B,1.885B,1.089B,796.00M,454.00M,235.00M,26.00M,,,,,689.00M,107.00M,,,,26.00M,,133.00M,33.00M,100.00M,,,100.00M,80.45M,107.00M,,2004-07,0.21,0.00,0.21,,2004-07,0.20,0.00,0.20,,2004-07,,,2004-07,,
2004-04,1.831B,1.831B,1.023B,808.00M,460.00M,237.00M,17.00M,,,,,697.00M,111.00M,,,,17.00M,,128.00M,24.00M,104.00M,,,104.00M,90.19M,111.00M,,2004-04,0.22,0.00,0.22,,2004-04,0.21,0.00,0.21,,2004-04,,,2004-04,,
2004-01,1.643B,1.643B,904.00M,739.00M,431.00M,229.00M,4.00M,,,,,660.00M,79.00M,,,,4.00M,,83.00M,12.00M,71.00M,,,71.00M,67.58M,79.00M,,2004-01,0.15,0.00,0.15,,2004-01,0.14,0.00,0.14,,2004-01,,,2004-01,,
2003-10,87.00M,87.00M,-165.00M,252.00M,250.00M,-59.00M,10.00M,,,,,191.00M,61.00M,,,,10.00M,,71.00M,54.00M,26.00M,,0.00,13.00M,20.00M,61.00M,,2003-10,-0.03,0.07,0.04,,2003-10,-0.03,,0.0273,,2003-10,,,2003-10,,
2003-07,1.502B,1.502B,954.00M,548.00M,481.00M,257.00M,-1.00M,,,,,738.00M,-190.00M,,,,-1.00M,,-191.00M,1.354B,-1.545B,,-11.00M,-1.556B,-1.544B,-190.00M,,2003-07,-3.25,0.00,-3.28,,2003-07,-3.25,0.00,-3.28,,2003-07,,,2003-07,,
2003-04,1.467B,1.467B,961.00M,506.00M,545.00M,296.00M,11.00M,,,,,841.00M,-335.00M,,,,11.00M,,-324.00M,-178.00M,-146.00M,,,-146.00M,-152.60M,-335.00M,,2003-04,-0.31,0.00,-0.31,,2003-04,-0.31,0.00,-0.31,,2003-04,,,2003-04,,
2003-01,1.412B,1.412B,883.00M,529.00M,508.00M,277.00M,4.00M,,,,,785.00M,-256.00M,,,,4.00M,,-252.00M,-140.00M,-112.00M,,-257.00M,-369.00M,-114.40M,-256.00M,,2003-01,-0.24,-0.54,-0.78,,2003-01,-0.24,-0.54,-0.78,,2003-01,,,2003-01,,
2002-10,1.736B,1.736B,1.116B,620.00M,708.00M,299.00M,13.00M,,,,,1.007B,-387.00M,,,,13.00M,,-374.00M,-139.00M,-235.00M,-1.00M,,-236.00M,-243.17M,-387.00M,,2002-10,-0.51,0.00,-0.51,,2002-10,-0.51,0.00,-0.51,,2002-10,,,2002-10,,
2002-07,1.391B,1.391B,846.00M,545.00M,691.00M,283.00M,6.00M,,,,,974.00M,-429.00M,,,,6.00M,,-423.00M,-200.00M,-223.00M,-5.00M,,-228.00M,-226.60M,-429.00M,,2002-07,-0.48,0.00,-0.49,,2002-07,-0.48,-0.0107,-0.49,,2002-07,,,2002-07,,
2002-04,1.457B,1.457B,854.00M,603.00M,663.00M,289.00M,22.00M,,,,,952.00M,-349.00M,,,,22.00M,,-327.00M,-80.00M,-247.00M,-6.00M,,-253.00M,-263.62M,-349.00M,,2002-04,-0.54,-0.01,-0.55,,2002-04,-0.54,-0.01,-0.55,,2002-04,,,2002-04,,
2002-01,1.426B,1.426B,878.00M,548.00M,692.00M,298.00M,19.00M,,,,,990.00M,-442.00M,,,,19.00M,,-423.00M,-106.00M,-317.00M,2.00M,,-315.00M,-331.24M,-442.00M,,2002-01,-0.68,0.00,-0.68,,2002-01,-0.68,0.00,-0.68,,2002-01,,,2002-01,,
