,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2001-09,0.386M,,,,9.702M,2.152M,11.85M,11.85M,,,0.70M,,,,,,,9.747M,9.747M,-0.847M,21.84M,,-7.897M,-7.897M,,,-0.155M,-8.052M,,,,-13.24M,0.192M,,0.192M,,-3.089M,,,-16.13M,,15.19M,-2.346M,12.84M,,,0.192M,,,,,,
2001-06,10.69M,,,,9.434M,2.135M,11.57M,11.57M,,,0.189M,,,,,,33.44M,-25.35M,8.091M,-0.027M,30.52M,,-5.978M,-5.978M,,,-0.457M,-6.435M,,,,-19.82M,0.945M,,0.945M,,-3.078M,,,-21.95M,,13.06M,2.129M,15.19M,,,0.945M,,,,,,
2001-03,8.529M,,,,9.291M,2.12M,11.41M,11.41M,,,0.307M,,,,,,-33.44M,,-33.44M,44.20M,31.00M,,-9.52M,-9.52M,,,-0.088M,-9.608M,,,,-20.67M,0.101M,,0.101M,,-3.061M,,,-23.63M,,15.29M,-2.229M,13.06M,,,0.101M,,,,,,
2000-12,2.565M,,,,8.786M,2.125M,10.91M,10.91M,,,0.533M,,,,,,-6.617M,-6.728M,-9.435M,19.94M,24.51M,,-10.40M,-10.40M,,,-0.677M,-11.08M,,,,-3.79M,0.208M,,0.208M,,-3.059M,,,-6.641M,,8.496M,6.791M,15.29M,,,0.208M,,,,,,
2000-09,7.343M,,,,9.261M,2.118M,11.38M,11.38M,,,0.485M,,,,,,,22.63M,22.63M,-6.411M,35.43M,,-9.381M,-9.381M,,,-0.204M,-9.585M,,,,-23.14M,0.57M,,0.57M,,-3.044M,,-0.043M,-25.66M,,8.308M,0.188M,8.496M,,,0.57M,,,,,,
2000-06,17.59M,,,,9.329M,2.12M,11.45M,11.45M,,,0.248M,,,,,,29.57M,-24.98M,4.59M,1.963M,35.84M,,-9.073M,-9.073M,,,-0.198M,-9.271M,,,,-20.63M,0.00,,0.00,,-2.81M,,0.043M,-23.40M,,5.132M,3.176M,8.308M,,,0.00,,,,,,
2000-03,14.16M,,,,9.206M,2.114M,11.32M,11.32M,,,0.414M,,,,,,-29.57M,,-29.57M,-5.34M,-9.018M,,-11.66M,-11.66M,,,-0.36M,-12.02M,,,,14.18M,0.038M,,0.038M,,-2.807M,,,11.41M,,14.76M,-9.629M,5.132M,,,0.038M,,,,,,
1999-12,11.62M,,,,9.049M,2.102M,11.15M,11.15M,,,0.348M,,,,,,-2.493M,8.057M,-19.32M,-3.567M,0.234M,,-10.61M,-10.61M,6.769M,,-0.626M,-4.466M,,,,11.90M,0.645M,-0.028M,0.617M,,-2.808M,,-0.792M,8.914M,,10.08M,4.682M,14.76M,,,0.645M,,,-0.028M,,,
1999-09,12.48M,,,,8.516M,1.831M,10.35M,10.35M,,,0.279M,,,,,,,-0.816M,-0.816M,2.558M,24.85M,,-6.22M,-6.22M,-251.36M,,-0.359M,-257.94M,,,,213.14M,0.426M,-0.054M,0.372M,,-2.786M,,0.742M,211.47M,,31.70M,-21.62M,10.08M,,,0.426M,,,-0.054M,,,
1999-06,14.22M,,,,6.66M,1.311M,7.971M,7.971M,,,0.105M,,,,,,19.52M,-18.72M,0.799M,1.817M,24.91M,,-7.321M,-7.321M,,,-0.413M,-7.734M,,,,-0.323M,0.036M,0.00,0.036M,,-2.783M,,0.046M,-3.024M,,17.55M,14.15M,31.70M,,,0.036M,,,0.00,,,
1999-03,11.95M,,,,6.544M,1.302M,7.846M,7.846M,,,0.124M,,,,,,-19.52M,,-19.52M,-6.381M,-5.98M,,-8.657M,-8.657M,,,-0.369M,-9.026M,,,,0.332M,0.042M,-2.691M,-2.649M,,-2.795M,,0.004M,-5.108M,,37.67M,-20.11M,17.55M,,,0.042M,,,-2.691M,,,
1998-12,6.875M,,,0.658M,,,3.914M,3.914M,,,1.297M,,,,,,,5.981M,-1.562M,1.586M,12.77M,,1.605M,1.605M,0.183M,,0.445M,2.233M,,,,-0.562M,-0.126M,-0.044M,-0.17M,,-2.794M,,,-3.526M,,26.19M,11.48M,37.67M,,,-0.126M,,,-0.044M,,,
1998-09,10.97M,,,0.725M,,,8.575M,8.575M,,,-0.102M,,,,,,,29.81M,29.81M,-0.899M,49.09M,,-7.749M,-7.749M,-126.46M,,-3.079M,-137.28M,,,,25.81M,0.195M,-8.384M,-8.189M,,-2.832M,,-0.069M,14.72M,,99.67M,-73.48M,26.19M,,,0.195M,,,-8.384M,,,
1998-06,12.63M,,,0.674M,,,7.058M,7.058M,,,-0.263M,,,,,,,-13.09M,-13.09M,-0.382M,6.624M,,-5.425M,-5.425M,,,-3.335M,-8.76M,,,,-1.447M,0.202M,-4.629M,-4.427M,,-2.674M,,0.069M,-8.479M,,110.29M,-10.62M,99.67M,,,0.202M,,,-4.629M,,,
1998-03,10.18M,,,1.019M,,,6.919M,6.919M,,,0.266M,,,,,,,-20.93M,-20.93M,-0.814M,-3.366M,,-6.942M,-6.942M,,,-2.96M,-9.902M,,,,0.641M,,-20.23M,-20.23M,,-2.751M,,,-22.34M,,145.90M,-35.61M,110.29M,,,,,,-20.23M,,,
1997-12,4.257M,,,0.63M,,,2.244M,2.244M,,,-0.389M,,,,,,,-0.352M,11.47M,-603.17M,-584.95M,,-3.908M,-3.908M,0.00,,-3.647M,599.53M,,,,-0.048M,0.302M,-51.38M,-51.08M,,-2.891M,,0.313M,-53.71M,,185.03M,-39.13M,145.90M,,,0.302M,,,-51.38M,,,
1997-09,9.009M,,,0.667M,,,6.682M,6.682M,1.455M,,0.551M,,,,,,,22.77M,22.77M,-32.42M,8.713M,,-9.659M,-9.659M,-1.021M,,-3.209M,-13.89M,,,,-4.362M,0.575M,-23.59M,-23.01M,,-2.988M,,0.237M,-30.13M,,220.33M,-35.30M,185.03M,,,0.575M,,,-23.59M,,,
1997-06,11.68M,,,0.581M,,,6.582M,6.582M,-0.22M,,0.361M,,,,,,,0.924M,0.924M,648.46M,668.37M,,-12.75M,-12.75M,0.546M,,-4.475M,-16.68M,,,,-376.67M,0.448M,-54.75M,-54.30M,,-3.238M,,0.047M,-434.16M,,2.803M,217.53M,220.33M,,,0.448M,,,-54.75M,,,
1997-03,7.121M,,,0.717M,,,6.126M,6.126M,-1.235M,,0.13M,,,,,,,-18.59M,-18.59M,-112.28M,-118.01M,,-11.05M,-11.05M,-60.44M,,-3.691M,-75.19M,,,,237.26M,2.432M,-46.83M,-44.40M,,-3.56M,,0.287M,189.60M,,6.405M,-3.602M,2.803M,,,2.432M,,,-46.83M,,,
1996-12,6.031M,,,1.385M,,,7.021M,7.021M,3.301M,,0.746M,,,,,,,-25.98M,-4.235M,42.61M,56.86M,,-13.10M,-13.10M,0.00,,-6.821M,-65.88M,,,,11.20M,0.519M,,0.519M,,-3.556M,,0.012M,8.175M,,7.252M,-0.847M,6.405M,,,0.519M,,,,,,
1996-09,6.158M,,,1.199M,,,5.609M,5.609M,-0.304M,,0.487M,,,,,,,15.98M,15.98M,85.66M,114.78M,,-7.002M,-7.002M,0.00,,-4.822M,-142.98M,,,,34.77M,0.00,,0.00,,-3.557M,,0.00,31.21M,,4.24M,3.012M,7.252M,,,0.00,,,,,,
1996-06,7.293M,,,0.904M,,,5.339M,5.339M,-1.116M,,0.831M,,,,,,,19.09M,19.09M,-19.13M,13.21M,,-10.46M,-10.46M,0.00,,-4.192M,7.828M,,,,-16.97M,0.02M,,0.02M,,-3.556M,,0.016M,-20.49M,,3.684M,0.556M,4.24M,,,0.02M,,,,,,
1996-03,5.767M,,,0.406M,,,5.632M,5.632M,-1.881M,,0.566M,,,,,,,-5.775M,-5.775M,4.509M,9.224M,,-7.245M,-7.245M,-1.111M,,-1.879M,-32.71M,,,,25.50M,,,,,-3.138M,,,22.36M,,4.807M,-1.123M,3.684M,,,,,,,,,
1995-12,-21.85M,,,-5.823M,,,-18.87M,-18.87M,4.236M,,0.022M,10.72M,5.751M,6.83M,-12.01M,,0.664M,-1.03M,10.50M,,32.75M,,34.30M,34.30M,,,11.55M,-54.61M,,,,24.36M,-0.028M,,-0.028M,,-3.137M,,0.096M,21.29M,,5.373M,-0.566M,4.807M,,,-0.028M,,,,,,
1995-09,7.455M,,,3.074M,,,14.52M,14.52M,0.645M,,0.398M,-5.504M,-0.361M,-0.519M,17.90M,,3.897M,-3.624M,11.78M,,37.87M,,-28.55M,-28.55M,,,-6.995M,-35.55M,,,,1.009M,0.00,,0.00,,-3.137M,,,-2.128M,,5.177M,0.196M,5.373M,,,0.00,,,,,,
1995-06,20.02M,,,0.176M,,,13.69M,13.69M,2.934M,,-1.801M,-4.024M,7.322M,-3.513M,-11.94M,,12.43M,-4.602M,-4.332M,,30.70M,,-17.69M,-17.69M,,,-4.005M,-21.70M,,,,-6.59M,-0.013M,,-0.013M,,-3.137M,,0.013M,-9.727M,,5.904M,-0.727M,5.177M,,,-0.013M,,,,,,
1995-03,18.36M,,,2.573M,,,12.83M,12.83M,1.772M,,0.644M,-11.79M,-6.42M,-2.798M,5.822M,,-14.29M,8.907M,-20.56M,,15.62M,,-14.90M,-14.90M,,,-4.363M,-19.26M,,,,3.708M,0.09M,,0.09M,,-2.718M,,-0.013M,1.067M,,8.485M,-2.581M,5.904M,,,0.09M,,,,,,
1994-12,-26.73M,,,-5.527M,,,-15.22M,-15.22M,8.231M,,4.658M,25.50M,15.72M,1.363M,-9.834M,,-1.293M,-1.874M,30.35M,,58.60M,,26.01M,26.01M,,,0.589M,-39.66M,,,,-14.61M,-0.138M,,-0.138M,,-2.718M,,0.138M,-17.33M,,6.874M,1.611M,8.485M,,,-0.138M,,,,,,
1994-09,10.13M,,,1.579M,,,12.40M,12.40M,1.468M,,2.489M,6.119M,-11.30M,5.992M,0.665M,,-8.929M,0.973M,-6.482M,,21.59M,,-13.43M,-13.43M,,,-0.238M,-13.66M,,,,-5.694M,0.052M,,0.052M,,-2.717M,,0.023M,-8.336M,,7.289M,-0.415M,6.874M,,,0.052M,,,,,,
1994-06,17.96M,,,2.14M,,,13.21M,13.21M,3.089M,,0.475M,-3.485M,0.669M,-5.473M,-4.971M,,12.16M,-3.287M,-4.39M,,32.48M,,-18.63M,-18.63M,,,-0.221M,-18.85M,,,,-10.35M,0.827M,,0.827M,,-2.712M,,0.486M,-11.75M,,5.41M,1.879M,7.289M,,,0.827M,,,,,,
1994-03,15.71M,,,1.808M,,,11.34M,11.34M,2.408M,,0.395M,-36.79M,-8.301M,-1.882M,20.19M,,-4.955M,6.889M,-24.85M,,6.806M,,-12.06M,-12.06M,,,-0.512M,-12.58M,,,,-0.955M,1.023M,,1.023M,,-2.276M,,1.485M,-0.723M,,11.90M,-6.492M,5.41M,,,1.023M,,,,,,
1993-12,9.078M,,,-4.104M,,,11.31M,11.31M,4.60M,,5.44M,36.80M,23.20M,,-41.70M,6.50M,-18.30M,,9.83M,,36.15M,,-12.70M,-12.70M,,,-1.348M,-14.05M,,,,-15.84M,-0.513M,,-0.513M,,-2.30M,,2.227M,-16.42M,,0.00,5.677M,11.90M,,,-0.513M,,,,,,
1993-09,5.50M,,,13.70M,,,10.60M,10.60M,3.20M,,-14.40M,-7.50M,-11.70M,,14.40M,-5.00M,3.30M,,-6.50M,,12.10M,,-16.50M,-16.50M,,,-0.10M,-16.60M,,,,6.90M,0.50M,,0.50M,,-2.20M,,-0.20M,5.00M,,0.00,0.50M,0.00,,,0.50M,,,,,,
1993-06,15.10M,,,,,,10.70M,10.70M,1.20M,,11.20M,2.40M,-1.50M,,5.00M,-5.20M,10.00M,,10.70M,,48.90M,,-11.60M,-11.60M,,,-0.60M,-12.20M,,,,-37.30M,0.90M,,0.90M,,-2.10M,,-0.10M,-38.60M,,0.00,-1.90M,0.00,,,0.90M,,,,,,
1993-03,13.00M,,,,,,10.00M,10.00M,2.80M,,3.10M,-31.70M,-10.00M,,22.30M,3.70M,5.00M,,-10.70M,,18.20M,,-13.90M,-13.90M,,,-0.10M,-14.00M,,,,1.80M,0.90M,,0.90M,,-5.60M,,0.30M,-2.60M,,6.00M,1.60M,0.00,,,0.90M,,,,,,
1992-12,6.20M,,,-1.50M,-9.90M,,-9.90M,-9.90M,,,49.20M,11.40M,7.50M,,-7.80M,-13.80M,-1.80M,,-4.50M,,16.60M,,-12.30M,-12.30M,,,-3.40M,-15.70M,,-3.40M,,-3.40M,3.60M,,2.90M,,-2.00M,,-0.10M,-2.60M,,,,,,,3.60M,,-3.40M,,,,
1992-09,2.30M,,,-11.40M,-10.40M,,-10.40M,-10.40M,,,37.90M,21.20M,-1.50M,,-10.00M,-1.00M,-6.20M,,2.50M,1.40M,22.30M,,-13.30M,-13.30M,,,0.50M,-12.80M,,-8.60M,,-8.60M,1.50M,,1.50M,,-2.10M,,0.10M,-9.10M,,,,,,,1.50M,,-8.60M,,,,
1992-06,12.80M,,,8.20M,-9.70M,,-9.70M,-9.70M,,,19.40M,-5.40M,4.20M,,-10.20M,-1.20M,3.60M,,-9.00M,0.80M,22.50M,,-12.30M,-12.30M,,,-0.80M,-13.10M,,-7.80M,,-7.80M,0.50M,,0.50M,,-2.00M,,-0.10M,-9.40M,,,,,,,0.50M,-3.40M,-4.40M,,,,
1992-03,5.90M,,,3.20M,-9.50M,,-9.50M,-9.50M,,,19.00M,-27.20M,-10.20M,,28.00M,-0.50M,-0.20M,,-10.10M,-2.20M,6.30M,,-9.00M,-9.00M,,,-1.00M,-10.00M,,3.40M,,3.40M,1.10M,,1.10M,,-2.40M,,,2.10M,,3.60M,,,,,1.10M,3.40M,,,,,
1991-12,2.80M,,,-11.30M,-10.00M,,-10.00M,-10.00M,,,48.90M,-13.80M,-11.80M,,-0.90M,3.70M,6.30M,,-16.50M,-5.80M,8.50M,,-9.50M,-9.50M,,,-7.20M,-16.70M,,13.70M,,13.70M,0.70M,-0.30M,0.40M,,-2.50M,,,9.60M,,,,,,,0.70M,17.10M,-3.40M,-0.30M,,,
1991-09,1.40M,,,0.90M,-8.80M,,-8.80M,-8.80M,,,17.70M,11.30M,-2.90M,,-1.80M,3.10M,-5.50M,,4.20M,-1.90M,13.50M,,-15.50M,-15.50M,,,-0.70M,-16.20M,,5.10M,,5.10M,0.00,,0.00,,-2.40M,,,2.70M,,,,,,,0.00,5.10M,0.00,,,,
1991-06,1.70M,,,5.90M,-8.80M,,-8.80M,-8.80M,,,17.80M,-1.20M,11.20M,,3.80M,-0.80M,6.40M,,19.40M,1.70M,37.70M,,-14.90M,-14.90M,,,-0.40M,-15.30M,,-19.90M,,-19.90M,0.10M,0.20M,0.30M,,-2.50M,,,-22.10M,,,,,,,0.10M,-17.90M,-2.00M,0.20M,,,
1991-03,-0.90M,,,3.00M,-8.60M,,-8.60M,-8.60M,,,17.00M,3.70M,3.50M,,-1.10M,-6.00M,-7.20M,,-7.10M,-5.40M,-2.00M,,-18.10M,-18.10M,,,-0.50M,-18.60M,,21.90M,,21.90M,,-0.20M,-0.20M,,-2.40M,,,19.30M,,3.20M,,,,,,21.90M,,-0.20M,,,
1990-12,7.00M,,,-7.30M,-9.30M,,-9.30M,-9.30M,,,18.20M,23.00M,1.70M,,-7.50M,0.20M,-5.70M,,11.70M,5.10M,30.10M,,-18.60M,-18.60M,,,2.30M,-16.30M,,-8.40M,,-8.40M,0.40M,-2.20M,-1.80M,,-2.40M,,,-12.60M,,,,,,,0.40M,12.20M,-20.60M,-2.20M,,,
1990-09,6.00M,,,7.40M,-8.10M,,-8.10M,-8.10M,,,16.60M,-7.50M,-2.40M,,-0.60M,-3.20M,-11.30M,,-25.00M,8.60M,5.50M,,-24.60M,-24.60M,,,-0.90M,-25.50M,,22.70M,,22.70M,-0.20M,-0.20M,-0.40M,,-2.50M,,,19.80M,,,,,,,-0.20M,12.10M,10.60M,-0.20M,,,
1990-06,12.60M,,,3.30M,-8.10M,,-8.10M,-8.10M,,,16.30M,-1.30M,5.80M,,5.90M,1.00M,7.80M,,19.20M,1.10M,44.40M,,-18.00M,-18.00M,,,0.60M,-17.40M,,-24.90M,,-24.90M,0.20M,,0.20M,,-2.50M,,,-27.20M,,,,,,,0.20M,-14.30M,-10.60M,,,,
1990-03,4.90M,,,2.90M,-8.00M,,-8.00M,-8.00M,,,15.70M,-14.20M,-5.10M,,2.20M,2.00M,6.80M,,-8.30M,-8.30M,-1.10M,,-11.40M,-11.40M,,,-2.50M,-13.90M,,15.10M,,15.10M,,,,,-2.50M,,,12.60M,,4.80M,,,,,,15.10M,,,,,
