,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,833.30M,833.30M,492.30M,341.00M,197.20M,,,0.00,2.30M,-2.30M,,197.20M,143.80M,2.30M,-2.30M,4.60M,-2.30M,146.10M,31.60M,114.50M,,,,,114.50M,114.50M,165.90M,17.50M,148.40M,,0.67,,0.67,0.67,,0.66,,0.66,0.66,,171.06M,172.73M,0.18,,AOR,Restated
2018-03,788.00M,788.00M,466.50M,321.50M,192.90M,,,-6.70M,2.30M,-2.30M,,192.90M,128.60M,2.30M,-2.30M,-0.90M,-2.30M,125.40M,26.60M,98.80M,,,,,98.80M,104.08M,145.60M,17.90M,127.70M,,0.58,,0.6108,0.58,,0.57,,0.6005,0.57,,171.53M,173.35M,0.18,,AOR,Restated
2017-12,768.60M,768.60M,446.30M,322.30M,184.50M,,,0.00,2.90M,-2.90M,,184.50M,137.80M,2.90M,-2.90M,5.90M,-2.90M,140.80M,118.10M,22.70M,,,,,22.70M,22.70M,161.90M,18.20M,143.70M,,0.1322,,0.1322,0.1322,,0.13,,0.13,0.13,,171.86M,173.77M,0.14,,AOR,Restated
2017-09,749.90M,749.90M,444.90M,305.00M,176.80M,,,0.00,2.50M,-2.50M,,176.80M,128.20M,2.50M,-2.50M,5.90M,-2.50M,131.60M,37.90M,93.70M,,,,,93.70M,93.70M,151.70M,17.60M,134.10M,,0.54,,0.54,0.54,,0.54,,0.54,0.54,,172.45M,174.36M,0.14,,AOR,Restated
2017-06,738.20M,738.20M,434.00M,304.20M,178.30M,,,0.00,2.50M,-2.50M,,178.30M,125.90M,2.50M,-2.50M,4.60M,-2.50M,128.00M,35.60M,92.40M,,,,,92.40M,92.40M,147.90M,17.40M,130.50M,,0.53,,0.53,0.53,,0.53,,0.53,0.53,,172.99M,174.89M,0.14,,AOR,Restated
2017-03,740.00M,740.00M,439.10M,300.90M,183.20M,,,0.00,2.20M,-2.20M,,183.20M,117.70M,2.20M,-2.20M,4.90M,-2.20M,120.40M,32.70M,87.70M,,,,,87.70M,87.70M,139.50M,16.90M,122.60M,,0.51,,0.51,0.51,,0.50,,0.50,0.50,,173.38M,175.42M,0.14,,AOR,Restated
2016-12,698.10M,698.10M,413.60M,284.50M,178.40M,,,,1.60M,-1.60M,,178.40M,106.10M,1.60M,-1.60M,11.90M,-1.60M,116.40M,33.70M,82.70M,,,,,82.70M,82.70M,134.40M,16.40M,118.00M,,0.4768,,0.4768,0.4768,,0.47,,0.47,0.47,,173.79M,175.95M,0.12,,AOR,Restated
2016-09,683.90M,683.90M,400.60M,283.30M,164.70M,,,,2.10M,-2.10M,,164.70M,118.60M,2.10M,-2.10M,1.90M,-2.10M,118.40M,35.20M,83.20M,,,,,83.20M,83.20M,137.10M,16.60M,120.50M,,0.48,,0.48,0.48,,0.47,,0.47,0.47,,174.41M,176.55M,0.12,,AOR,Restated
2016-06,667.00M,667.00M,383.30M,283.70M,160.00M,,,,1.90M,-1.90M,,160.00M,123.70M,1.90M,-1.90M,2.30M,-1.90M,124.10M,37.00M,87.10M,,,,,87.10M,87.10M,141.90M,15.90M,126.00M,,0.51,,0.51,0.51,,0.49,,0.49,0.49,,174.96M,177.00M,0.12,,AOR,Restated
2016-03,636.90M,636.90M,374.20M,262.70M,159.40M,,,,1.70M,-1.70M,,159.40M,103.30M,1.70M,-1.70M,2.00M,-1.70M,103.60M,30.10M,73.50M,,,,,73.50M,73.50M,121.50M,16.20M,105.30M,,0.42,,0.42,0.42,,0.41,,0.41,0.41,,175.69M,177.81M,0.12,,AOR,Restated
2015-12,639.40M,639.40M,376.80M,262.60M,155.10M,,,,1.40M,-1.40M,,155.10M,107.50M,1.40M,-1.40M,3.20M,-1.40M,109.30M,29.50M,79.80M,,,,,79.80M,79.80M,126.40M,15.70M,110.70M,,0.4537,,0.4537,0.4537,,0.45,,0.45,0.45,,175.96M,177.33M,0.095,,AOR,Restated
2015-09,625.10M,625.10M,369.50M,255.60M,149.00M,,,,1.60M,-1.60M,,149.00M,106.60M,1.60M,-1.60M,2.20M,-1.60M,107.20M,33.60M,73.60M,,,,,73.60M,73.60M,124.50M,15.70M,108.80M,,0.41,,0.41,0.41,,0.41,,0.41,0.41,,177.40M,178.74M,0.095,,AOR,Restated
2015-06,653.50M,653.50M,391.10M,262.40M,159.40M,,,,2.50M,-2.50M,,159.40M,103.00M,2.50M,-2.50M,2.70M,-2.50M,103.20M,32.10M,71.10M,,,,,71.10M,71.10M,121.70M,16.00M,105.70M,,0.40,,0.40,0.40,,0.395,,0.395,0.395,,178.28M,179.65M,0.095,,AOR,Restated
2015-03,618.50M,618.50M,389.30M,229.20M,147.20M,,,,1.90M,-1.90M,,147.20M,82.00M,1.90M,-1.90M,2.70M,-1.90M,82.80M,24.40M,58.40M,,,,,58.40M,58.40M,100.30M,15.60M,84.70M,,0.325,,0.325,0.325,,0.325,,0.325,0.325,,178.87M,180.33M,0.095,,AOR,Restated
2014-12,626.80M,626.80M,394.90M,231.90M,158.30M,,,,1.40M,-1.40M,,158.30M,73.60M,1.40M,-1.40M,1.70M,-1.40M,73.90M,20.70M,53.20M,,,,,53.20M,53.20M,90.70M,15.40M,75.30M,,0.2975,,0.2975,0.2975,,0.295,,0.295,0.295,,178.99M,180.46M,0.075,,AOR,Restated
2014-09,581.60M,581.60M,366.30M,215.30M,145.50M,,,,1.50M,-1.50M,,145.50M,69.80M,1.50M,-1.50M,1.00M,-1.50M,69.30M,18.70M,50.60M,,,,,50.60M,50.60M,85.60M,14.80M,70.80M,,0.28,,0.28,0.28,,0.28,,0.28,0.28,,179.89M,181.21M,0.075,,AOR,Restated
2014-06,595.40M,595.40M,379.20M,216.20M,137.40M,,,,1.40M,-1.40M,,137.40M,78.80M,1.40M,-1.40M,1.20M,-1.40M,78.60M,21.30M,57.30M,,,,,57.30M,57.30M,94.80M,14.80M,80.00M,,0.315,,0.315,0.315,,0.315,,0.315,0.315,,181.02M,182.31M,0.075,,AOR,Restated
2014-03,552.20M,552.20M,356.30M,195.90M,130.90M,,,,1.40M,-1.40M,,130.90M,65.00M,1.40M,-1.40M,1.30M,-1.40M,64.90M,18.20M,46.70M,,,,,46.70M,46.70M,81.10M,14.80M,66.30M,,0.255,,0.255,0.255,,0.255,,0.255,0.255,,182.46M,183.93M,0.075,,AOR,Restated
2013-12,558.90M,558.90M,359.00M,199.90M,139.20M,,,-3.80M,1.20M,-1.20M,,139.20M,60.70M,1.20M,-1.20M,-2.80M,-1.20M,56.70M,14.30M,42.40M,,,,,42.40M,45.24M,75.40M,17.50M,57.90M,,0.2324,0.00,0.2479,0.2324,,0.23,0.00,0.2454,0.23,,182.44M,184.02M,0.06,,AOR,Restated
2013-09,536.20M,536.20M,339.60M,196.60M,133.70M,,,-1.30M,1.40M,-1.40M,,133.70M,62.90M,1.40M,-1.40M,-0.20M,-1.40M,61.30M,15.10M,46.20M,,,,,46.20M,47.18M,76.90M,14.20M,62.70M,,0.25,,0.2553,0.25,,0.25,,0.2553,0.25,,184.10M,185.46M,0.06,,AOR,Restated
2013-06,549.10M,549.10M,351.10M,198.00M,131.60M,,,-4.20M,1.60M,-1.60M,,131.60M,66.40M,1.60M,-1.60M,-3.50M,-1.60M,61.30M,19.20M,42.10M,,,,,42.10M,44.99M,76.80M,13.90M,62.90M,,0.225,,0.2406,0.225,,0.225,,0.2405,0.225,,185.31M,186.46M,0.06,,AOR,Restated
2013-03,509.60M,509.60M,330.30M,179.30M,120.00M,,,-1.70M,1.50M,-1.50M,,120.00M,59.30M,1.50M,-1.50M,-0.70M,-1.50M,57.10M,18.10M,39.00M,,,,,39.00M,40.16M,72.70M,14.10M,58.60M,,0.21,,0.2163,0.21,,0.21,,0.2162,0.21,,185.10M,186.37M,0.05,,AOR,Restated
2012-12,524.30M,524.30M,338.70M,185.60M,124.80M,,,0.80M,2.10M,-2.10M,,124.80M,60.80M,2.10M,-2.10M,2.60M,-2.10M,61.30M,18.10M,43.20M,,,,,39.30M,42.64M,77.60M,14.20M,63.40M,,0.2337,-0.0211,0.2306,0.2126,,0.2325,-0.0211,0.2295,0.2125,,184.87M,186.34M,0.05,,AOR,Restated
2012-09,462.20M,462.20M,305.40M,156.80M,111.50M,,,6.40M,1.90M,-1.90M,,111.50M,45.30M,1.90M,-1.90M,8.60M,-1.90M,52.00M,15.00M,37.00M,,,,,37.00M,32.44M,67.80M,13.90M,53.90M,,0.20,,0.1753,0.20,,0.20,,0.1755,0.20,,184.78M,186.28M,0.05,,AOR,Restated
2012-06,484.20M,484.20M,323.70M,160.50M,108.90M,,,0.00,2.20M,-2.20M,,108.90M,51.60M,2.20M,-2.20M,1.20M,-2.20M,50.60M,15.60M,35.00M,,,,,35.00M,35.00M,65.90M,13.10M,52.80M,,0.19,,0.19,0.19,,0.19,,0.19,0.19,,185.10M,186.30M,0.04,,AOR,Restated
2012-03,468.60M,468.60M,319.50M,149.10M,105.30M,,,0.00,3.00M,-3.00M,,105.30M,43.80M,3.00M,-3.00M,29.10M,-3.00M,69.90M,22.40M,47.50M,,,,,47.50M,47.50M,86.30M,13.40M,72.90M,,0.26,,0.26,0.26,,0.255,,0.255,0.255,,184.41M,185.95M,0.04,,AOR,Restated
2011-12,475.80M,475.80M,320.80M,155.00M,106.20M,,,-18.70M,2.90M,-2.90M,,106.20M,48.80M,2.90M,-2.90M,1.10M,-2.90M,47.00M,15.50M,31.50M,0.60M,,,,32.10M,44.03M,63.70M,13.80M,49.90M,,0.1485,0.0028,0.2165,0.1513,,0.1485,0.0025,0.2159,0.1513,,184.25M,185.86M,0.04,,AOR,Restated
2011-09,412.00M,412.00M,293.30M,118.70M,92.20M,,,15.80M,2.50M,-2.50M,,92.20M,26.50M,2.50M,-2.50M,15.80M,-2.50M,39.80M,12.90M,26.90M,155.40M,,,,182.30M,16.22M,53.70M,11.40M,42.30M,,0.145,0.84,0.0872,0.985,,0.145,0.8325,0.0878,0.9775,,184.89M,186.57M,0.04,,AOR,Restated
2011-06,405.30M,405.30M,293.40M,111.90M,85.10M,,,16.30M,2.10M,-2.10M,,85.10M,26.80M,2.10M,-2.10M,16.30M,-2.10M,41.00M,12.40M,28.60M,21.70M,,,,50.30M,17.23M,54.10M,11.00M,43.10M,,0.155,0.1175,0.0935,0.2725,,0.155,0.115,0.0941,0.27,,184.76M,186.59M,0.035,,AOR,Restated
2011-03,417.40M,417.40M,290.40M,127.00M,89.30M,,,-2.20M,1.80M,-1.80M,,89.30M,37.70M,1.80M,-1.80M,-2.20M,-1.80M,33.70M,9.50M,24.20M,16.80M,,,,41.00M,25.78M,46.30M,10.80M,35.50M,,0.13,0.0925,0.1386,0.2225,,0.13,0.09,0.1385,0.22,,184.00M,186.16M,0.035,,AOR,Restated
2010-12,370.20M,370.20M,253.90M,116.30M,51.80M,,,-35.50M,1.90M,-1.90M,,49.80M,66.50M,1.90M,-1.90M,,-1.90M,28.60M,8.20M,20.50M,11.60M,,0.10M,,32.20M,45.92M,42.00M,11.50M,30.50M,,0.1125,0.0625,0.2507,0.175,,0.1125,0.0625,0.2490,0.175,,183.26M,185.47M,0.035,,AOR,Restated
2010-09,377.40M,377.40M,270.20M,107.20M,81.90M,,,0.00,1.70M,-1.70M,0.30M,82.20M,25.00M,1.70M,-1.70M,,-1.70M,23.30M,7.10M,16.20M,15.80M,,0.00,,32.00M,16.20M,35.00M,10.00M,25.00M,,0.0875,0.0875,0.0875,0.175,,0.0875,0.085,0.0875,0.1725,,183.19M,185.02M,0.035,,AOR,Restated
2010-06,375.00M,375.00M,260.80M,114.20M,118.00M,,,-1.20M,1.60M,-1.60M,,118.00M,-3.80M,1.60M,-1.60M,-1.20M,-1.60M,-6.60M,-5.70M,-0.90M,17.50M,,0.00,,16.60M,-0.12M,4.20M,9.20M,-5.00M,,-0.005,0.095,-0.0007,0.09,,-0.005,0.095,-0.0008,0.09,,183.07M,184.45M,0.0325,,AOR,Restated
2010-03,366.70M,366.70M,258.40M,108.30M,77.00M,,,-0.50M,1.70M,-1.70M,,77.00M,31.30M,1.70M,-1.70M,-0.50M,-1.70M,29.10M,7.70M,21.30M,9.50M,,0.10M,,30.90M,21.77M,40.90M,10.10M,30.80M,,0.1175,0.0525,0.1195,0.17,,0.115,0.0525,0.117,0.1675,,182.36M,183.88M,0.0325,,AOR,Restated
2009-12,-106.90M,-106.90M,-139.40M,32.50M,26.20M,,,-3.50M,-1.60M,1.60M,,26.20M,6.30M,-1.60M,1.60M,-3.50M,1.60M,4.40M,10.70M,-6.40M,,,0.00,,22.70M,-4.125M,2.80M,-12.40M,2.80M,,-0.08,0.2225,-0.0657,0.1425,,-0.08,0.22,-0.0658,0.1417,,158.67M,159.98M,0.0325,,AOR,Restated
2009-09,501.50M,501.50M,363.00M,138.50M,92.30M,,,2.40M,2.50M,-2.50M,,92.30M,46.20M,2.50M,-2.50M,2.40M,-2.50M,46.10M,11.40M,34.60M,,,0.00,,34.60M,32.79M,65.80M,17.20M,48.60M,,0.1917,0.00,0.1817,0.1917,,0.19,0.00,0.1801,0.19,,180.96M,182.40M,0.0325,,AOR,Restated
2009-06,498.70M,498.70M,376.30M,122.40M,88.60M,,,-0.70M,3.10M,-3.10M,,88.60M,33.80M,3.10M,-3.10M,-0.70M,-3.10M,30.00M,6.10M,23.70M,,,-2.40M,,21.30M,21.86M,50.20M,17.10M,33.10M,,0.1417,0.00,0.1454,0.1417,,0.14,0.00,0.1437,0.14,,150.64M,151.26M,0.0317,,AOR,Restated
2009-03,481.60M,481.60M,380.20M,101.40M,84.70M,,,-2.20M,3.20M,-3.20M,,84.70M,16.70M,3.20M,-3.20M,-2.20M,-3.20M,11.30M,2.70M,8.60M,,,-5.90M,,2.70M,4.374M,30.90M,16.40M,14.50M,,0.0467,0.00,0.0761,0.0467,,0.0467,0.00,0.0761,0.0467,,56.90M,56.90M,0.0317,,AOR,Restated
2008-12,508.60M,508.60M,408.90M,99.70M,82.80M,,,0.00,,,,82.80M,16.90M,,,0.30M,,9.50M,2.80M,6.70M,,,,,6.70M,6.70M,22.10M,16.00M,6.10M,,0.0367,0.00,0.0367,0.0367,,0.0367,0.00,0.0367,0.0367,,180.67M,181.93M,0.0317,,AOR,
2008-09,602.70M,602.70M,479.10M,123.60M,86.60M,,,-3.60M,,,,86.60M,37.00M,,,-3.70M,,28.90M,7.40M,21.40M,,,,,21.40M,24.08M,53.70M,16.70M,37.00M,,0.1183,0.00,0.1332,0.1183,,0.1167,0.00,0.1314,0.1167,,180.43M,182.20M,0.0317,,,
2008-06,622.10M,622.10M,480.60M,141.50M,94.40M,,,-1.30M,5.30M,-5.30M,,94.40M,47.10M,5.30M,-5.30M,-1.30M,-5.30M,40.70M,9.50M,31.10M,0.20M,,-21.80M,,9.50M,10.30M,62.70M,16.70M,46.00M,,0.1633,0.0033,0.1808,0.1667,,0.1633,0.0033,0.1808,0.1667,,56.90M,56.90M,0.03,,,Restated
2008-03,571.40M,571.40M,438.80M,132.60M,93.80M,,,-3.80M,,,,93.80M,38.80M,,,-3.90M,,29.70M,7.70M,21.90M,,,,,21.90M,24.71M,55.70M,16.90M,38.80M,,0.1217,0.00,0.1373,0.1217,,0.12,0.00,0.1355,0.12,,180.12M,181.33M,0.03,,,
2007-12,569.90M,569.90M,434.20M,135.70M,99.70M,,,-23.50M,,,,99.70M,36.00M,,,-23.50M,,8.20M,-8.80M,17.00M,,,,,17.00M,32.28M,29.30M,17.10M,12.20M,,0.095,0.00,0.1789,0.095,,0.0933,0.00,0.1765,0.0933,,181.99M,183.77M,0.03,,,Restated
2007-09,553.50M,553.50M,433.40M,120.10M,84.60M,,,0.40M,,,,84.60M,35.50M,,,0.40M,,29.10M,4.40M,24.70M,,,,,24.70M,24.36M,51.70M,16.20M,35.50M,,0.1333,0.00,0.1315,0.1333,,0.1317,0.00,0.1299,0.1317,,184.25M,187.02M,0.03,,,
2007-06,611.50M,611.50M,476.70M,134.80M,90.40M,,,-1.10M,,,,90.40M,44.40M,,,-1.10M,,36.30M,9.30M,27.00M,,,,,27.00M,27.82M,62.50M,18.10M,44.40M,,0.1467,0.00,0.1511,0.1467,,0.145,0.00,0.1494,0.145,,183.79M,186.00M,0.0283,,,
2007-03,577.20M,577.20M,454.40M,122.80M,88.30M,,,-1.40M,,,,88.30M,34.50M,,,-1.40M,,26.30M,6.80M,19.50M,,,,,19.50M,20.54M,50.60M,16.10M,34.50M,,0.1067,0.00,0.1123,0.1067,,0.105,0.00,0.1106,0.105,,183.42M,186.03M,0.0283,,,
2006-12,543.60M,543.60M,420.60M,123.00M,86.80M,,,-4.10M,,,,86.80M,36.20M,,,-4.10M,,25.00M,5.80M,19.20M,-0.30M,,,,18.90M,22.35M,52.80M,16.60M,36.20M,,0.105,-0.0017,0.1222,0.1033,,0.1033,-0.0017,0.1203,0.1017,,182.99M,185.97M,0.0283,,,
2006-09,564.00M,564.00M,448.60M,115.40M,82.80M,,,-3.20M,,,,82.80M,32.60M,,,-3.20M,,22.10M,5.50M,16.60M,0.40M,,,,17.00M,19.00M,46.00M,13.40M,32.60M,,0.0917,0.0017,0.1048,0.0933,,0.09,0.0017,0.1029,0.0917,,182.70M,186.21M,0.0283,,,
2006-06,594.50M,594.50M,467.90M,126.60M,85.90M,,,3.00M,,,,85.90M,40.70M,,,3.00M,,36.20M,11.30M,24.90M,0.20M,,,,25.10M,22.84M,59.20M,18.50M,40.70M,,0.1367,0.0017,0.1254,0.1383,,0.1333,0.0017,0.1223,0.135,,182.39M,186.36M,0.0267,,,
2006-03,459.20M,459.20M,360.30M,98.90M,68.50M,,,-5.90M,,,,68.50M,30.40M,,,-5.90M,,21.50M,6.00M,15.50M,,,,,15.50M,19.75M,42.80M,12.40M,30.40M,,0.085,0.00,0.1084,0.085,,0.0833,0.00,0.1063,0.0833,,181.65M,185.54M,0.0267,,,
2005-12,434.00M,434.00M,335.20M,98.80M,69.30M,,,-4.50M,,,,69.30M,29.50M,,,-4.50M,,22.00M,6.00M,16.00M,,,,,16.00M,19.27M,43.40M,13.90M,29.50M,,0.09,0.00,0.1081,0.09,,0.0883,0.00,0.1061,0.0883,,180.46M,184.14M,0.0267,,,
2005-09,408.40M,408.40M,327.40M,81.00M,59.70M,,,-3.70M,,,,59.70M,21.30M,,,-3.70M,,14.40M,4.70M,9.70M,,,,,9.70M,12.19M,34.20M,12.90M,21.30M,,0.055,0.00,0.0689,0.055,,0.0533,0.00,0.0670,0.0533,,178.78M,181.77M,0.0267,,,
2005-06,437.70M,437.70M,353.50M,84.20M,60.40M,,,-9.30M,,,,60.40M,23.80M,,,-9.30M,,11.00M,4.50M,6.50M,,,,,6.50M,12.08M,36.70M,12.90M,23.80M,,0.0367,0.00,0.0682,0.0367,,0.0367,0.00,0.0675,0.0367,,177.19M,180.79M,0.0267,,,
2005-03,409.20M,409.20M,321.10M,88.10M,62.40M,,,-1.00M,,,,62.40M,25.70M,,,-1.00M,,21.30M,7.00M,14.30M,,,,,14.30M,14.97M,38.80M,13.10M,25.70M,,0.08,0.00,0.0838,0.08,,0.08,0.00,0.0837,0.08,,176.45M,180.03M,0.0267,,,
2004-12,409.40M,409.40M,340.00M,69.40M,60.80M,,,-0.30M,,,,60.80M,8.60M,,,-0.30M,,4.40M,0.00,4.40M,,,,,4.40M,4.70M,22.50M,13.90M,8.60M,,0.025,0.00,0.0267,0.025,,0.0233,0.00,0.0250,0.0233,,176.06M,179.82M,0.0267,,,
2004-09,389.90M,389.90M,327.90M,62.00M,57.40M,,,-0.40M,,,,57.40M,4.60M,,,-0.40M,,0.90M,-2.10M,3.00M,,,,,3.00M,3.24M,17.80M,13.20M,4.60M,,0.0167,0.00,0.0180,0.0167,,0.0167,0.00,0.0180,0.0167,,175.79M,179.14M,0.0267,,,
2004-06,437.30M,437.30M,348.90M,88.40M,58.90M,,,-0.30M,,,,58.90M,29.50M,,,-0.30M,,26.00M,8.70M,17.30M,,,,,17.30M,17.50M,43.00M,13.50M,29.50M,,0.0983,0.00,0.0995,0.0983,,0.0967,0.00,0.0978,0.0967,,175.66M,179.48M,0.025,,,
2004-03,416.50M,416.50M,338.30M,78.20M,58.60M,,,-0.20M,,,,58.60M,19.60M,,,-0.20M,,16.20M,5.40M,10.80M,,,,,10.80M,10.93M,32.90M,13.30M,19.60M,,0.0617,0.00,0.0624,0.0617,,0.06,0.00,0.0607,0.06,,175.19M,179.47M,0.025,,,
2003-12,368.80M,368.80M,293.60M,75.20M,51.70M,,,-0.50M,,,,51.90M,23.30M,,,-0.50M,,19.60M,7.00M,12.60M,,,,,12.60M,12.92M,36.70M,13.40M,23.30M,,0.0733,0.00,0.0752,0.0733,,0.0717,0.00,0.0735,0.0717,,174.62M,179.30M,0.025,,,
2003-09,356.40M,356.40M,294.90M,61.50M,48.80M,,,-0.30M,,,,48.80M,12.70M,,,-0.30M,,9.30M,3.30M,6.00M,,,,,6.00M,6.194M,25.60M,12.90M,12.70M,,0.035,0.00,0.0361,0.035,,0.0333,0.00,0.0344,0.0333,,174.44M,178.68M,0.025,,,
2003-06,417.60M,417.60M,333.80M,83.80M,51.70M,,,0.10M,,,,51.70M,32.10M,,,0.10M,,29.20M,9.40M,19.80M,,,,,19.80M,19.73M,45.11M,13.01M,32.10M,,0.1133,0.00,0.1129,0.1133,,0.1117,0.00,0.1113,0.1117,,174.02M,177.93M,0.0233,,,
2003-03,387.91M,387.91M,309.72M,78.19M,54.02M,,,-0.336M,,,,54.02M,24.17M,,,-0.336M,,20.93M,7.22M,13.71M,,,,,13.71M,13.93M,36.96M,12.79M,24.17M,,0.0783,0.00,0.0796,0.0783,,0.0767,0.00,0.0779,0.0767,,173.65M,177.13M,0.0233,,,
2002-12,358.49M,358.49M,283.40M,75.09M,54.44M,,0.07M,-0.58M,,,,54.51M,20.58M,,,-0.58M,,17.11M,5.905M,11.21M,,,,,11.21M,11.59M,33.54M,12.96M,20.58M,,0.0633,0.00,0.0655,0.0633,,0.0617,0.00,0.0638,0.0617,,173.66M,177.25M,0.0233,,,
2002-09,352.40M,352.40M,286.05M,66.34M,48.33M,,0.071M,0.183M,,,,48.40M,17.95M,,,0.183M,,14.95M,4.924M,10.02M,,,,,10.02M,9.899M,30.54M,12.60M,17.95M,,0.0583,0.00,0.0576,0.0583,,0.0567,0.00,0.0560,0.0567,,172.51M,176.71M,0.0233,,,
