,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-12,346.60M,473.40M,820.00M,592.70M,,592.70M,160.50M,18.30M,140.40M,,297.00M,,57.20M,1.767B,0.00,11.20M,329.90M,719.00M,,1.060B,-531.20M,528.90M,516.70M,308.70M,825.40M,,76.20M,1.430B,3.197B,,535.00M,,535.00M,251.30M,786.30M,,,7.50M,7.50M,,793.80M,402.90M,,402.90M,,,97.90M,48.10M,,,209.80M,758.70M,1.552B,,295.70M,1.789B,486.50M,626.50M,,,-299.50M,1.645B,,AOR,Restated
2017-09,321.90M,446.00M,767.90M,587.10M,,587.10M,154.50M,17.90M,138.40M,,292.10M,,51.00M,1.698B,,,,,,1.017B,-515.70M,501.70M,516.30M,312.30M,828.60M,,76.20M,1.406B,3.105B,,500.10M,,500.10M,224.10M,724.20M,,,7.50M,7.50M,,731.70M,442.20M,,442.20M,,,,66.00M,,,198.80M,707.00M,1.439B,,295.70M,1.794B,485.70M,587.10M,,,-322.40M,1.666B,,AOR,Restated
2017-06,306.60M,434.30M,740.90M,566.80M,,566.80M,150.10M,17.10M,138.50M,,287.00M,,45.60M,1.640B,,,,,,975.20M,-499.40M,475.80M,493.10M,302.30M,795.40M,,72.50M,1.344B,2.984B,,493.10M,,493.10M,205.30M,698.40M,,,7.40M,7.40M,,705.80M,367.70M,,367.70M,,,,102.80M,,,194.00M,664.50M,1.370B,,295.70M,1.724B,484.40M,550.20M,,,-340.70M,1.614B,,AOR,Restated
2017-03,293.40M,428.90M,722.30M,584.10M,,584.10M,142.90M,15.80M,116.80M,,257.10M,,42.00M,1.606B,,,,,,951.60M,-484.00M,467.60M,491.80M,305.10M,796.90M,,70.20M,1.335B,2.940B,,493.50M,,493.50M,219.80M,713.30M,,,7.20M,7.20M,,720.50M,362.20M,,362.20M,,,,102.40M,,,188.70M,653.30M,1.374B,,295.80M,1.656B,482.50M,516.10M,,,-352.20M,1.566B,,AOR,Restated
2016-12,330.40M,424.20M,754.60M,518.70M,,518.70M,142.40M,13.00M,114.10M,,251.10M,,37.60M,1.562B,0.00,11.00M,286.40M,635.10M,,932.50M,-470.60M,461.90M,491.50M,308.30M,799.80M,,67.30M,1.329B,2.891B,,528.60M,,528.60M,229.80M,758.40M,,,7.20M,7.20M,,765.60M,316.40M,,316.40M,,,96.40M,109.00M,,,88.30M,610.10M,1.376B,,296.00M,1.593B,477.60M,488.10M,,,-363.20M,1.515B,,AOR,Restated
2016-09,269.30M,409.50M,678.80M,517.30M,,517.30M,138.30M,12.00M,118.00M,,258.60M,,52.90M,1.508B,,,,,,919.80M,-461.40M,458.40M,491.80M,311.80M,803.60M,,54.80M,1.317B,2.824B,,455.80M,,455.80M,219.00M,674.80M,,,7.30M,7.30M,,682.10M,328.90M,,328.90M,,,,95.20M,,,192.60M,616.70M,1.299B,,296.20M,1.531B,476.10M,453.10M,,,-324.80M,1.526B,,AOR,Restated
2016-06,287.40M,379.80M,667.20M,493.90M,,493.90M,134.00M,12.20M,101.30M,,237.80M,,50.10M,1.449B,,,,,,899.50M,-447.80M,451.70M,423.40M,285.40M,708.80M,,62.70M,1.223B,2.672B,,402.00M,,402.00M,206.20M,608.20M,,,7.40M,7.40M,,615.60M,274.60M,,274.60M,,,,131.20M,,,170.10M,575.90M,1.192B,,148.10M,1.469B,622.60M,435.60M,,,-323.50M,1.481B,,AOR,Restated
2016-03,305.50M,335.30M,640.80M,506.90M,,506.90M,140.10M,13.10M,92.70M,,230.20M,,48.00M,1.426B,,,,,,888.30M,-437.70M,450.60M,423.40M,288.50M,711.90M,,62.20M,1.225B,2.651B,,389.00M,,389.00M,199.80M,588.80M,,,13.20M,13.20M,,602.00M,274.10M,,274.10M,,,,128.40M,,,167.60M,570.10M,1.172B,,148.10M,1.403B,619.60M,387.90M,,,-304.30M,1.478B,,AOR,Restated
2015-12,323.60M,321.60M,645.20M,501.40M,,501.40M,139.60M,13.40M,85.70M,,222.90M,,33.80M,1.403B,0.00,10.80M,237.90M,618.10M,,866.80M,-424.10M,442.70M,420.90M,291.00M,711.90M,,71.30M,1.226B,2.629B,,424.90M,,424.90M,215.40M,640.30M,,,12.90M,12.90M,,653.20M,236.10M,,236.10M,,,95.60M,134.20M,,,67.80M,533.70M,1.187B,,296.20M,1.351B,469.30M,360.50M,,,-313.40M,1.442B,,AOR,Restated
2015-09,282.90M,323.50M,606.40M,479.00M,,479.00M,138.20M,13.90M,106.80M,,239.00M,43.10M,46.30M,1.414B,,,,,,855.50M,-416.70M,438.80M,422.50M,295.10M,717.60M,,30.00M,1.186B,2.600B,,395.80M,,395.80M,215.20M,611.00M,,,13.10M,13.10M,,624.10M,247.70M,,247.70M,,,,118.20M,,,187.80M,553.70M,1.178B,,148.20M,1.288B,613.80M,336.80M,,,-290.50M,1.422B,,AOR,Restated
2015-06,248.10M,304.30M,552.40M,528.50M,,528.50M,131.80M,11.50M,111.10M,,233.40M,41.60M,44.10M,1.40B,,,,,,840.80M,-407.40M,433.40M,425.40M,299.90M,725.30M,,31.10M,1.190B,2.590B,,369.20M,,369.20M,196.50M,565.70M,,,13.40M,13.40M,,579.10M,266.20M,,266.20M,,,,122.90M,,,185.10M,574.20M,1.153B,,148.20M,1.231B,609.80M,276.50M,,,-276.00M,1.436B,,AOR,Restated
2015-03,284.10M,290.80M,574.90M,495.90M,,495.90M,122.90M,11.10M,108.70M,,218.80M,39.40M,47.30M,1.376B,,,,,,826.80M,-396.40M,430.40M,424.60M,303.30M,727.90M,,30.70M,1.189B,2.565B,,368.40M,,368.40M,178.80M,547.20M,,,48.60M,48.60M,,595.80M,255.30M,,255.30M,,,,128.90M,,,180.20M,564.40M,1.160B,,148.20M,1.177B,607.70M,250.10M,,,-277.60M,1.405B,,AOR,Restated
2014-12,319.40M,222.50M,541.90M,475.40M,,475.40M,121.30M,10.70M,100.20M,,208.30M,40.50M,52.90M,1.319B,0.00,11.20M,230.60M,574.10M,,815.90M,-388.20M,427.70M,428.80M,308.50M,737.30M,,31.30M,1.196B,2.515B,,393.80M,,393.80M,197.70M,591.50M,,,13.70M,13.70M,,605.20M,210.10M,,210.10M,21.40M,21.40M,93.90M,142.70M,,,60.70M,528.80M,1.134B,,148.20M,1.136B,600.10M,230.50M,,,-272.00M,1.381B,,AOR,Restated
2014-09,400.50M,123.20M,523.70M,474.30M,,474.30M,122.00M,11.10M,106.60M,,218.50M,40.10M,38.20M,1.295B,,,,,,802.80M,-381.80M,421.00M,430.70M,312.90M,743.60M,,27.40M,1.192B,2.487B,,374.80M,,374.80M,198.70M,573.50M,,,13.80M,13.80M,,587.30M,240.70M,,240.70M,,,,107.50M,,,176.10M,524.30M,1.112B,,148.30M,1.096B,599.40M,213.80M,,,-254.50M,1.375B,,AOR,Restated
2014-06,393.70M,102.90M,496.60M,457.00M,,457.00M,111.70M,13.70M,102.70M,,206.80M,40.60M,32.90M,1.234B,,,,,,789.10M,-372.60M,416.50M,433.30M,317.60M,750.90M,,29.40M,1.197B,2.431B,,356.90M,,356.90M,178.90M,535.80M,,,14.20M,14.20M,,550.00M,236.20M,,236.20M,,,,109.80M,,,178.00M,524.00M,1.074B,,148.30M,1.059B,597.20M,188.70M,,,-258.90M,1.357B,,AOR,Restated
2014-03,369.80M,102.70M,472.50M,455.60M,,455.60M,109.40M,12.60M,96.70M,,197.40M,40.00M,32.70M,1.198B,,,,,,777.50M,-375.20M,402.30M,431.50M,320.40M,751.90M,,28.80M,1.183B,2.381B,,341.40M,,341.40M,181.10M,522.50M,,,14.00M,14.00M,,536.50M,213.00M,,213.00M,,,,108.60M,,,179.70M,501.30M,1.038B,,148.30M,1.015B,593.90M,150.70M,,,-263.30M,1.343B,,AOR,Restated
2013-12,380.70M,105.30M,486.00M,458.70M,,458.70M,113.60M,12.30M,88.80M,,193.40M,40.10M,27.40M,1.206B,0.00,11.30M,212.50M,535.00M,,758.80M,-367.50M,391.30M,433.50M,324.80M,758.30M,,36.30M,1.186B,2.392B,,387.10M,,387.10M,189.60M,576.70M,,,14.20M,14.20M,,590.90M,177.70M,,177.70M,21.00M,21.00M,89.90M,120.70M,,,62.60M,471.90M,1.063B,,148.50M,982.20M,589.70M,132.60M,,,-259.10M,1.329B,,AOR,Restated
2013-09,374.10M,102.70M,476.80M,436.00M,,436.00M,103.30M,12.00M,97.20M,,189.50M,36.90M,25.80M,1.165B,,,,,,728.00M,-356.30M,371.70M,434.90M,329.20M,764.10M,,48.10M,1.184B,2.349B,,344.50M,,344.50M,176.30M,520.80M,,,14.40M,14.40M,,535.20M,213.40M,,213.40M,,,,188.10M,,,159.60M,561.10M,1.096B,,148.60M,950.70M,588.30M,125.70M,,,-309.30M,1.253B,,AOR,Restated
2013-06,366.10M,97.80M,463.90M,422.60M,,422.60M,97.60M,13.00M,91.30M,,178.90M,34.30M,25.90M,1.126B,,,,,,703.60M,-349.90M,353.70M,433.80M,332.40M,766.20M,,49.70M,1.170B,2.295B,,315.00M,,315.00M,166.50M,481.50M,,,8.60M,8.60M,,490.10M,200.70M,,200.70M,,,,191.50M,,,156.40M,548.60M,1.039B,,148.50M,915.70M,586.00M,75.00M,,,-318.70M,1.256B,,AOR,Restated
2013-03,306.90M,144.50M,451.40M,423.70M,,423.70M,101.20M,13.00M,78.60M,,169.80M,32.60M,28.30M,1.106B,,,,,,690.50M,-344.50M,346.00M,436.00M,337.20M,773.20M,,42.10M,1.161B,2.267B,,306.00M,13.40M,319.40M,134.50M,453.90M,,,18.60M,18.60M,4.60M,477.10M,210.50M,,210.50M,,,,186.60M,,,149.40M,554.30M,1.031B,,148.60M,884.90M,583.10M,65.90M,,,-315.00M,1.236B,,AOR,Restated
2012-12,266.90M,196.00M,462.90M,425.40M,,425.40M,100.00M,12.00M,74.40M,,163.40M,33.20M,29.70M,1.115B,0.00,11.60M,194.30M,474.70M,,680.60M,-334.90M,345.70M,435.40M,338.70M,774.10M,,44.40M,1.164B,2.279B,,328.90M,,328.90M,158.80M,487.70M,,,18.60M,18.60M,,506.30M,225.10M,,225.10M,6.30M,6.30M,86.40M,200.70M,,,59.90M,578.40M,1.085B,,148.60M,855.10M,580.50M,69.60M,,,-320.50M,1.194B,,AOR,Restated
2012-09,279.60M,202.60M,482.20M,,,369.10M,106.00M,11.60M,85.70M,,178.20M,32.50M,26.40M,1.088B,,,,,,656.80M,-325.70M,331.10M,435.90M,342.60M,778.50M,,37.30M,1.147B,2.235B,,289.40M,,289.40M,106.40M,395.80M,,,18.60M,18.60M,4.30M,462.80M,261.00M,,261.00M,,,,153.70M,,,157.50M,581.10M,1.044B,,74.30M,825.20M,653.50M,59.50M,,,-302.10M,1.191B,,AOR,Restated
2012-06,259.60M,180.10M,439.70M,,,382.70M,98.30M,11.80M,92.00M,,177.00M,31.30M,23.10M,1.054B,,,,,,641.60M,-316.30M,325.30M,434.00M,345.50M,779.50M,,33.00M,1.138B,2.192B,,278.10M,,278.10M,118.90M,397.00M,,,18.60M,18.60M,4.40M,459.40M,266.00M,,266.00M,,,,145.30M,,,153.90M,574.40M,1.034B,,74.30M,797.50M,652.30M,61.60M,,,-304.70M,1.158B,,AOR,Restated
2012-03,367.20M,60.90M,428.10M,,,451.40M,97.00M,11.60M,88.70M,,172.20M,32.00M,23.00M,1.107B,,,,,,628.50M,-308.60M,319.90M,435.10M,349.60M,784.70M,,38.90M,1.144B,2.250B,,302.80M,,302.80M,134.80M,437.60M,,,18.60M,18.60M,13.40M,502.40M,300.60M,,300.60M,,,,142.10M,,,156.10M,607.10M,1.110B,,74.30M,770.00M,651.00M,55.90M,,,-298.70M,1.141B,,AOR,Restated
2011-12,463.40M,162.40M,625.80M,368.40M,,368.40M,98.90M,10.60M,85.60M,,168.40M,24.60M,21.50M,1.209B,0.00,11.70M,166.80M,435.50M,,614.00M,-298.70M,315.30M,433.80M,352.70M,786.50M,0.00,38.50M,1.140B,2.349B,,302.50M,,302.50M,159.70M,462.20M,,,18.60M,18.60M,31.50M,512.30M,443.00M,,443.00M,3.10M,3.10M,88.10M,151.10M,,,56.90M,750.90M,1.263B,,76.70M,729.90M,652.50M,72.40M,,,-300.90M,1.086B,,AOR,Restated
2011-09,440.60M,154.70M,595.30M,,,369.50M,98.60M,10.20M,90.90M,,176.70M,62.20M,23.70M,1.227B,,,,,,601.70M,-293.00M,308.70M,427.80M,355.70M,783.50M,0.00,39.10M,1.131B,2.359B,,276.30M,157.70M,434.00M,128.60M,562.60M,,,18.60M,18.60M,,619.70M,376.30M,,376.30M,33.90M,33.90M,,51.40M,,,149.50M,615.50M,1.235B,,76.70M,705.20M,651.50M,57.00M,,,-252.90M,1.124B,,AOR,Restated
2011-06,108.20M,,108.20M,,,327.70M,88.90M,10.80M,84.90M,,161.60M,68.70M,23.80M,991.20M,,,,,,553.20M,-286.90M,266.30M,325.70M,104.00M,429.70M,25.40M,430.50M,1.152B,2.143B,,258.30M,,258.30M,97.90M,356.20M,,,18.60M,18.60M,129.00M,535.90M,356.90M,,356.90M,,,,50.90M,,,152.20M,637.40M,1.173B,,76.70M,530.40M,650.90M,59.40M,,,-228.80M,969.80M,,AOR,Restated
2011-03,124.20M,,124.20M,,,362.00M,85.60M,12.90M,85.30M,,160.80M,26.20M,19.90M,987.00M,,,,,,541.30M,-278.50M,262.80M,325.30M,105.50M,430.80M,91.30M,433.40M,1.218B,2.205B,,279.30M,,279.30M,106.80M,386.10M,,,18.60M,18.60M,122.10M,555.40M,321.20M,,321.20M,,,,179.40M,,,147.30M,728.00M,1.283B,,77.60M,486.60M,648.00M,60.90M,,,-229.40M,921.90M,,AOR,Restated
2010-12,118.90M,,118.90M,,,313.30M,82.70M,14.40M,72.70M,,146.80M,27.30M,289.70M,896.00M,0.00,9.20M,121.80M,393.90M,,524.90M,-266.50M,258.40M,323.80M,106.60M,430.40M,89.70M,437.50M,1.216B,2.112B,,263.00M,5.70M,268.70M,202.70M,471.40M,,,18.60M,18.60M,46.80M,536.80M,242.40M,,242.40M,,,,236.50M,0.00,,214.90M,693.80M,1.231B,,77.60M,452.10M,655.70M,74.60M,,,-229.40M,881.40M,,AOR,Restated
2010-09,109.10M,,109.10M,,,422.40M,125.80M,44.80M,166.50M,,268.60M,27.30M,49.00M,876.40M,,,,,,993.70M,-592.60M,401.10M,569.30M,114.40M,683.70M,11.70M,33.70M,1.130B,2.007B,,337.80M,,337.80M,128.20M,466.00M,,,179.10M,179.10M,40.70M,685.80M,97.50M,,97.50M,,,,210.10M,19.00M,,151.30M,458.90M,1.145B,,52.40M,426.40M,667.90M,75.30M,,,-228.50M,842.90M,,AOR,Restated
2010-06,94.00M,,94.00M,,,416.50M,114.40M,47.40M,163.80M,,257.10M,29.00M,44.90M,841.50M,,,,,,971.80M,-581.00M,390.80M,567.30M,116.10M,683.40M,16.90M,34.60M,1.126B,1.967B,,368.70M,,368.70M,158.50M,527.20M,,,145.50M,145.50M,,672.70M,99.20M,,99.20M,,,,217.70M,19.00M,,153.00M,469.90M,1.143B,,52.60M,400.90M,666.20M,75.80M,,,-238.30M,805.60M,,AOR,Restated
2010-03,79.80M,,79.80M,,,405.70M,103.80M,44.70M,160.90M,,240.90M,24.50M,54.90M,805.80M,,,,,,993.50M,-585.90M,407.60M,569.70M,118.80M,688.50M,17.70M,39.60M,1.153B,1.959B,,311.50M,,311.50M,111.30M,422.80M,,,170.20M,170.20M,39.70M,632.70M,116.40M,,116.40M,,,,235.80M,19.00M,,153.70M,505.90M,1.139B,,53.40M,390.40M,663.40M,77.20M,,,-228.40M,801.60M,,AOR,Restated
2009-12,76.30M,,76.30M,,,275.60M,66.20M,11.30M,54.10M,,110.50M,25.80M,251.80M,740.00M,0.00,9.70M,117.10M,370.70M,,497.50M,-248.50M,249.00M,319.90M,115.60M,435.50M,93.90M,456.10M,1.234B,1.974B,,236.80M,6.50M,243.30M,200.80M,444.10M,,,21.10M,21.10M,26.10M,491.30M,232.10M,,232.10M,,,,248.30M,19.10M,,213.00M,693.40M,1.185B,,79.20M,365.40M,636.90M,79.90M,,,-230.90M,770.70M,,AOR,Restated
2009-09,69.20M,,69.20M,,,367.90M,101.00M,46.00M,160.10M,,218.70M,36.60M,30.70M,723.10M,,,,,,999.70M,-592.10M,407.60M,511.60M,78.30M,589.90M,32.60M,39.20M,1.069B,1.792B,,287.60M,,287.60M,107.80M,395.40M,,,21.10M,21.10M,45.40M,461.90M,210.70M,,210.70M,,,,216.80M,0.00,0.00,155.90M,583.40M,1.045B,,54.40M,348.50M,659.20M,83.10M,,,-231.90M,747.10M,,AOR,Restated
2009-06,53.50M,,53.50M,,,370.60M,103.50M,51.70M,161.70M,,226.00M,41.40M,26.00M,717.50M,,,,,,994.00M,-585.00M,409.00M,507.60M,77.80M,585.40M,41.10M,38.80M,1.074B,1.792B,,246.10M,,246.10M,128.90M,375.00M,,,21.10M,21.10M,15.70M,411.80M,272.30M,,272.30M,,,,250.20M,0.00,0.00,153.90M,676.40M,1.088B,,55.70M,319.90M,655.70M,84.30M,,,-243.40M,703.60M,,AOR,Restated
2009-03,44.70M,,44.70M,,,357.60M,113.60M,56.00M,183.70M,,259.60M,51.50M,23.50M,736.90M,,,,,,984.40M,-569.40M,415.00M,503.50M,76.70M,580.20M,48.10M,39.70M,1.083B,1.820B,,225.10M,,225.10M,83.70M,308.80M,,,17.50M,17.50M,80.10M,406.40M,334.10M,,334.10M,,,,266.30M,,,151.20M,751.60M,1.158B,,65.70M,861.60M,80.10M,80.40M,,,-265.10M,661.90M,,AOR,Restated
2008-12,29.40M,,29.40M,,,363.50M,125.10M,55.70M,221.60M,,282.00M,63.20M,43.20M,781.30M,0.00,11.60M,183.40M,784.90M,,979.90M,-561.00M,418.90M,505.10M,78.30M,583.40M,49.80M,50.50M,1.103B,1.884B,,274.70M,6.00M,280.70M,93.60M,374.30M,,,17.50M,17.50M,113.20M,505.00M,317.30M,,317.30M,,,,279.40M,,,141.10M,737.80M,1.243B,,65.70M,858.70M,79.20M,80.70M,,,-281.80M,641.10M,,AOR,
2008-09,27.60M,,27.60M,423.00M,,423.00M,124.10M,57.10M,199.10M,,298.50M,41.00M,19.20M,809.30M,,,,,,975.60M,-559.00M,416.60M,511.40M,82.40M,593.80M,,52.40M,1.063B,1.872B,,297.50M,,297.50M,134.60M,432.10M,,,18.50M,18.50M,41.00M,491.60M,328.90M,,328.90M,40.70M,40.70M,,,,,188.30M,557.90M,1.050B,,65.70M,857.80M,80.90M,83.20M,,,-98.60M,822.60M,,,
2008-06,24.80M,,24.80M,451.40M,,451.40M,120.10M,59.60M,203.40M,,300.90M,29.50M,31.40M,838.00M,,,,,,962.40M,-547.40M,415.00M,513.60M,84.50M,598.10M,,52.60M,1.066B,1.904B,,307.30M,,307.30M,117.50M,424.80M,,,13.50M,13.50M,39.50M,477.80M,367.30M,,367.30M,32.40M,32.40M,,,,,205.80M,605.50M,1.083B,,65.70M,842.10M,79.60M,83.90M,,,-83.10M,820.40M,,,Restated
