,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.292B,,1.292B,743.00M,,743.00M,,,160.00M,,204.00M,2.399B,,,,40.47B,-11.62B,28.85B,,8.644B,8.644B,6.513B,,,649.00M,44.65B,47.05B,,2018-03,776.00M,,776.00M,887.00M,1.663B,,,,501.00M,,501.00M,,,,2.164B,21.38B,21.38B,3.196B,,3.196B,,6.43B,,31.15B,,2018-03,862.00M,-8.587B,,-294.00M,9.473B,,2018-03,AOR,Restated
2017-12,899.00M,,899.00M,958.00M,18.00M,976.00M,,,113.00M,,191.00M,2.179B,,37.31B,2.203B,39.51B,-11.30B,28.21B,,8.791B,8.791B,6.552B,,,619.00M,44.17B,46.35B,,2017-12,978.00M,,978.00M,806.00M,1.784B,,,,501.00M,,501.00M,361.00M,361.00M,,2.646B,20.43B,20.43B,3.147B,,3.147B,,6.519B,,30.18B,,2017-12,861.00M,-8.434B,,-238.00M,9.656B,,2017-12,AOR,Restated
2017-09,1.172B,,1.172B,783.00M,,783.00M,,,144.00M,,194.00M,2.293B,,,,38.71B,-11.00B,27.71B,,8.873B,8.873B,6.615B,,,630.00M,43.83B,46.12B,,2017-09,773.00M,,773.00M,1.079B,1.852B,,0.00,502.00M,502.00M,,502.00M,,,,2.354B,20.57B,20.57B,5.211B,,5.211B,,6.773B,,31.24B,,2017-09,861.00M,-9.872B,,-331.00M,8.109B,,2017-09,AOR,Restated
2017-06,1.918B,,1.918B,693.00M,,693.00M,,,150.00M,,204.00M,3.969B,,,,38.90B,-10.86B,28.04B,,9.481B,9.481B,6.675B,,,603.00M,44.80B,48.77B,,2017-06,734.00M,,734.00M,1.275B,2.009B,,0.00,1.951B,1.951B,,1.951B,,,36.00M,3.996B,21.32B,21.32B,5.20B,,5.20B,,6.875B,,33.59B,,2017-06,861.00M,-9.654B,,-331.00M,8.306B,,2017-06,AOR,Restated
2017-03,639.00M,,639.00M,867.00M,,867.00M,,,148.00M,,168.00M,2.845B,,,,38.34B,-10.58B,27.76B,,9.57B,9.57B,6.738B,,,597.00M,44.67B,47.51B,,2017-03,680.00M,,680.00M,1.322B,2.002B,,0.00,,0.00,,0.00,,,43.00M,2.045B,21.82B,21.82B,5.133B,,5.133B,,6.965B,,32.10B,,2017-03,861.00M,-9.487B,,-334.00M,8.444B,,2017-03,AOR,Restated
2016-12,170.00M,,170.00M,938.00M,,938.00M,,,138.00M,,216.00M,1.462B,,36.90B,2.015B,38.91B,-10.48B,28.43B,,9.663B,9.663B,6.701B,,,581.00M,45.37B,46.84B,,2016-12,623.00M,,678.00M,994.00M,1.672B,61.00M,93.00M,785.00M,878.00M,,878.00M,338.00M,338.00M,,2.949B,22.62B,22.62B,4.238B,,4.238B,,9.403B,,32.79B,,2016-12,785.00M,-9.649B,,-339.00M,4.643B,,2016-12,AOR,Restated
2016-09,77.00M,,77.00M,854.00M,,854.00M,,,120.00M,38.00M,538.00M,1.627B,,,,38.46B,-10.20B,28.26B,,9.752B,9.752B,7.084B,,,562.00M,45.66B,47.29B,,2016-09,619.00M,,619.00M,1.059B,1.678B,,2.00M,785.00M,787.00M,,787.00M,,,,2.465B,23.93B,23.93B,4.271B,,4.271B,,9.364B,,33.06B,,2016-09,785.00M,-9.483B,,-331.00M,4.86B,,2016-09,AOR,Restated
2016-06,135.00M,,135.00M,730.00M,,738.00M,69.00M,53.00M,122.00M,42.00M,182.00M,2.357B,,,,38.35B,-10.10B,28.25B,47.00M,9.792B,9.839B,7.125B,,,554.00M,45.77B,48.12B,,2016-06,688.00M,,688.00M,903.00M,1.591B,,196.00M,786.00M,982.00M,,982.00M,,,179.00M,2.752B,24.39B,24.39B,4.079B,,4.079B,,9.592B,,33.70B,,2016-06,785.00M,-9.394B,,-369.00M,4.83B,,2016-06,AOR,Restated
2016-03,164.00M,,164.00M,733.00M,,739.00M,71.00M,71.00M,142.00M,42.00M,174.00M,1.261B,,,,39.61B,-9.783B,29.82B,47.00M,9.881B,9.928B,7.181B,,,614.00M,47.55B,48.81B,,2016-03,739.00M,,739.00M,939.00M,1.678B,,135.00M,976.00M,1.111B,,1.111B,,,,2.789B,23.70B,23.70B,4.248B,,4.248B,,9.933B,,33.18B,,2016-03,785.00M,-8.508B,,-378.00M,5.691B,,2016-03,AOR,Restated
2015-12,100.00M,,100.00M,1.041B,,1.041B,,,127.00M,,259.00M,1.527B,,36.73B,2.307B,39.04B,-9.46B,29.58B,,10.02B,10.02B,7.336B,,,561.00M,47.49B,49.02B,,2015-12,744.00M,,893.00M,778.00M,1.671B,57.00M,499.00M,176.00M,675.00M,,675.00M,94.00M,94.00M,,2.497B,23.81B,23.81B,4.218B,,4.218B,,10.08B,,32.80B,,2015-12,784.00M,-7.96B,,-442.00M,6.148B,,2015-12,AOR,Restated
2015-09,125.00M,,125.00M,704.00M,,710.00M,72.00M,84.00M,156.00M,73.00M,200.00M,1.264B,,,,38.76B,-9.285B,29.48B,1.145B,10.05B,11.20B,8.198B,,,683.00M,49.56B,50.82B,,2015-09,726.00M,,726.00M,1.225B,1.951B,,1.53B,377.00M,1.907B,,1.907B,,,,3.858B,21.80B,21.80B,4.582B,,4.582B,,10.87B,,32.56B,,2015-09,784.00M,-6.764B,,-425.00M,7.387B,,2015-09,AOR,Restated
2015-06,204.00M,,204.00M,742.00M,,751.00M,73.00M,95.00M,168.00M,68.00M,235.00M,1.426B,,,,38.07B,-8.981B,29.09B,1.145B,10.16B,11.30B,8.712B,,,633.00M,49.74B,51.16B,,2015-06,723.00M,,723.00M,924.00M,1.647B,,1.743B,378.00M,2.121B,,2.121B,,,,3.768B,21.28B,21.28B,4.665B,,4.665B,,11.24B,,31.99B,,2015-06,784.00M,-6.243B,,-384.00M,7.928B,,2015-06,AOR,Restated
2015-03,341.00M,,341.00M,748.00M,,808.00M,78.00M,122.00M,200.00M,67.00M,206.00M,1.622B,,,,37.20B,-8.662B,28.54B,1.145B,10.19B,11.34B,8.319B,,,644.00M,48.84B,50.46B,,2015-03,728.00M,,728.00M,801.00M,1.529B,,0.00,801.00M,801.00M,,801.00M,,,,2.33B,21.69B,21.69B,4.577B,,4.577B,,11.37B,,30.88B,,2015-03,783.00M,-5.914B,,-395.00M,8.212B,,2015-03,AOR,Restated
2014-12,240.00M,,240.00M,972.00M,,1.139B,81.00M,150.00M,231.00M,67.00M,213.00M,1.89B,,32.80B,3.633B,36.44B,-8.354B,28.08B,1.12B,10.45B,11.57B,8.40B,,,511.00M,48.56B,50.46B,,2014-12,865.00M,,865.00M,778.00M,1.643B,40.00M,798.00M,4.00M,802.00M,,802.00M,82.00M,82.00M,,2.567B,20.78B,20.78B,4.712B,,4.712B,,11.40B,,30.28B,,2014-12,782.00M,-5.548B,,-341.00M,8.777B,,2014-12,AOR,Restated
2014-09,302.00M,,302.00M,860.00M,,962.00M,82.00M,202.00M,284.00M,126.00M,224.00M,1.898B,,,,35.57B,-8.17B,27.40B,1.658B,11.14B,12.79B,7.085B,,,632.00M,47.91B,49.81B,,2014-09,1.017B,,1.017B,895.00M,1.912B,,265.00M,754.00M,1.019B,,1.019B,,,,2.931B,19.92B,19.92B,4.657B,,4.657B,,11.55B,,29.13B,,2014-09,782.00M,-5.315B,,-222.00M,9.129B,,2014-09,AOR,Restated
2014-06,860.00M,,860.00M,576.00M,,658.00M,81.00M,195.00M,276.00M,132.00M,193.00M,2.119B,,,,27.38B,-7.938B,19.44B,646.00M,1.616B,2.262B,4.489B,,,6.637B,32.83B,34.95B,,2014-06,990.00M,,990.00M,655.00M,1.645B,,0.00,751.00M,751.00M,,751.00M,,,,2.396B,15.54B,15.54B,3.658B,,3.658B,,4.059B,,23.03B,,2014-06,782.00M,-6.574B,,-194.00M,7.863B,,2014-06,AOR,Restated
2014-03,1.064B,,1.064B,629.00M,,658.00M,81.00M,141.00M,222.00M,141.00M,93.00M,2.178B,,,,26.48B,-7.773B,18.71B,646.00M,1.632B,2.278B,4.52B,,,619.00M,26.13B,28.31B,,2014-03,1.094B,,1.094B,704.00M,1.798B,,0.00,751.00M,751.00M,,751.00M,,,,2.549B,12.10B,12.10B,3.528B,,3.528B,,4.101B,,19.59B,,2014-03,720.00M,-6.385B,,-223.00M,4.616B,,2014-03,AOR,Restated
2013-12,681.00M,,681.00M,600.00M,,674.00M,83.00M,111.00M,194.00M,27.00M,107.00M,1.683B,,22.43B,3.396B,25.82B,-7.613B,18.21B,646.00M,1.644B,2.29B,4.36B,,,599.00M,25.46B,27.14B,,2013-12,960.00M,,960.00M,686.00M,1.646B,64.00M,225.00M,1.00M,226.00M,,226.00M,47.00M,47.00M,,1.983B,11.35B,11.35B,3.529B,,3.529B,,4.057B,,18.22B,,2013-12,718.00M,-6.248B,,-164.00M,4.864B,,2013-12,AOR,Restated
2013-09,732.00M,,732.00M,590.00M,,590.00M,82.00M,148.00M,230.00M,117.00M,113.00M,1.782B,,,,24.93B,-7.467B,17.47B,646.00M,1.659B,2.305B,4.278B,,,623.00M,24.67B,26.46B,,2013-09,1.014B,,1.014B,700.00M,1.714B,,371.00M,1.00M,372.00M,,372.00M,,,,2.086B,10.36B,10.36B,3.414B,,3.414B,,3.998B,,17.51B,,2013-09,718.00M,-5.973B,,-338.00M,4.948B,,2013-09,AOR,Restated
2013-06,824.00M,,824.00M,698.00M,,698.00M,82.00M,92.00M,174.00M,122.00M,128.00M,1.946B,,,,23.94B,-7.338B,16.60B,646.00M,1.674B,2.32B,4.135B,,,657.00M,23.71B,25.66B,,2013-06,969.00M,,969.00M,691.00M,1.66B,,710.00M,1.00M,711.00M,,711.00M,,,,2.371B,10.36B,10.36B,3.182B,,3.182B,,3.277B,,17.69B,,2013-06,718.00M,-5.863B,,-394.00M,4.694B,,2013-06,AOR,Restated
2013-03,702.00M,,702.00M,760.00M,,760.00M,81.00M,109.00M,190.00M,117.00M,95.00M,1.864B,,,,23.20B,-7.202B,16.00B,646.00M,1.689B,2.335B,4.039B,,,583.00M,22.95B,24.82B,,2013-03,935.00M,,935.00M,624.00M,1.559B,,,,1.00M,,1.00M,,,,1.56B,10.61B,10.61B,3.015B,,3.015B,,3.075B,,16.95B,,2013-03,717.00M,-5.765B,,-374.00M,4.795B,,2013-03,AOR,Restated
2012-12,839.00M,,839.00M,620.00M,,688.00M,78.00M,97.00M,175.00M,117.00M,105.00M,1.924B,,20.21B,2.334B,22.55B,-7.079B,15.47B,649.00M,1.704B,2.353B,3.987B,,,596.00M,22.40B,24.33B,,2012-12,920.00M,,920.00M,560.00M,1.48B,68.00M,0.00,1.00M,1.00M,,1.00M,,,,1.549B,10.74B,10.74B,2.841B,,2.841B,,2.675B,,16.90B,,2012-12,716.00M,-5.695B,,-362.00M,4.752B,,2012-12,AOR,Restated
2012-09,996.00M,,996.00M,624.00M,,624.00M,161.00M,,161.00M,,180.00M,1.961B,,,,21.60B,-6.916B,14.68B,650.00M,1.726B,2.376B,1.626B,,616.00M,,19.30B,21.26B,,2012-09,768.00M,,768.00M,609.00M,1.377B,,,,2.00M,,2.00M,,,,1.379B,9.512B,9.512B,2.648B,,2.648B,,2.899B,,15.27B,,2012-09,662.00M,-5.648B,,-330.00M,3.092B,,2012-09,AOR,Restated
2012-06,679.00M,,679.00M,636.00M,,636.00M,159.00M,,159.00M,,208.00M,1.682B,,,,20.84B,-6.779B,14.06B,724.00M,1.662B,2.386B,1.533B,,,610.00M,18.58B,20.27B,,2012-06,695.00M,,695.00M,599.00M,1.294B,,,,4.00M,,4.00M,,,,1.298B,9.033B,9.033B,2.555B,,2.555B,,2.666B,,14.64B,,2012-06,661.00M,-5.607B,,-357.00M,2.961B,,2012-06,AOR,Restated
2012-03,1.10B,,1.10B,641.00M,,641.00M,186.00M,,186.00M,,192.00M,2.119B,,,,19.60B,-6.637B,12.96B,,,668.00M,1.418B,,621.00M,,15.67B,17.79B,,2012-03,676.00M,,676.00M,529.00M,1.205B,,,,329.00M,,329.00M,,,,1.534B,8.366B,8.366B,2.435B,,2.435B,,1.784B,,14.07B,,2012-03,630.00M,-5.551B,,-367.00M,1.94B,,2012-03,AOR,Restated
2011-12,889.00M,,889.00M,637.00M,,637.00M,,,169.00M,52.00M,147.00M,1.894B,,18.24B,847.00M,19.08B,-6.502B,12.58B,0.00,44.00M,44.00M,1.391B,,,593.00M,14.61B,16.50B,,2011-12,691.00M,,691.00M,565.00M,1.256B,66.00M,,,353.00M,,353.00M,,,,1.675B,8.369B,8.369B,2.157B,,2.157B,,1.29B,,13.92B,,2011-12,626.00M,-5.82B,,-389.00M,1.296B,,2011-12,AOR,Restated
2011-09,996.00M,0.00,996.00M,1.039B,,1.039B,287.00M,,287.00M,,,2.889B,,,,32.16B,-11.19B,20.97B,,,,1.492B,118.00M,674.00M,,23.26B,26.15B,,2011-09,1.174B,,1.174B,801.00M,1.975B,,,361.00M,361.00M,,361.00M,,,103.00M,2.439B,9.024B,9.024B,3.609B,,3.609B,73.00M,1.344B,,16.89B,,2011-09,623.00M,33.00M,,-74.00M,7.909B,,2011-09,AOR,Restated
2011-06,1.166B,0.00,1.166B,913.00M,,913.00M,282.00M,,282.00M,,,2.83B,,,,31.44B,-10.84B,20.60B,,,,1.463B,138.00M,674.00M,,22.88B,25.70B,,2011-06,988.00M,,988.00M,915.00M,1.903B,,,383.00M,383.00M,,383.00M,,,104.00M,2.39B,8.927B,8.927B,3.572B,,3.572B,112.00M,1.329B,,16.66B,,2011-06,623.00M,-122.00M,,-95.00M,7.716B,,2011-06,AOR,Restated
2011-03,923.00M,0.00,923.00M,,,850.00M,264.00M,,264.00M,,,2.505B,,,,30.82B,-10.48B,20.34B,,,,1.381B,167.00M,689.00M,,22.58B,25.08B,,2011-03,913.00M,,913.00M,872.00M,1.785B,,,532.00M,532.00M,,532.00M,,,141.00M,2.458B,8.577B,8.577B,3.448B,,3.448B,158.00M,1.342B,,16.20B,,2011-03,622.00M,-230.00M,,-116.00M,7.537B,,2011-03,AOR,Restated
2010-12,758.00M,,758.00M,497.00M,,497.00M,225.00M,,225.00M,,153.00M,2.53B,15.20B,2.132B,463.00M,17.80B,-6.041B,11.75B,,,,1.24B,,,9.448B,22.44B,24.97B,,2010-12,432.00M,,619.00M,370.00M,989.00M,35.00M,,,508.00M,,508.00M,,,896.00M,2.574B,8.60B,8.60B,1.738B,,1.738B,,1.331B,,16.35B,,2010-12,620.00M,-478.00M,,-82.00M,7.288B,,2010-12,AOR,Restated
2010-09,1.015B,0.00,1.015B,,,744.00M,,,270.00M,,202.00M,2.803B,,,,28.70B,-9.79B,18.91B,8.00M,,8.00M,1.317B,250.00M,561.00M,,21.04B,23.85B,,2010-09,869.00M,,869.00M,929.00M,1.798B,,,508.00M,508.00M,,508.00M,,,243.00M,2.549B,8.002B,8.002B,3.496B,1.46B,4.956B,165.00M,1.151B,,15.67B,,2010-09,619.00M,-578.00M,,34.00M,7.025B,,2010-09,AOR,Restated
2010-06,1.601B,,1.601B,,,722.00M,,,279.00M,,546.00M,3.359B,,,,28.50B,-9.666B,18.83B,1.011B,,1.011B,881.00M,309.00M,556.00M,,21.59B,24.95B,,2010-06,806.00M,,806.00M,838.00M,1.644B,,,,160.00M,,160.00M,,,315.00M,2.119B,8.358B,8.358B,3.724B,1.469B,5.193B,251.00M,1.393B,,15.92B,,2010-06,619.00M,758.00M,,-63.00M,7.633B,,2010-06,AOR,Restated
2010-03,1.644B,,1.644B,,,831.00M,,,221.00M,,893.00M,3.589B,,,,28.03B,-9.316B,18.71B,1.011B,,1.011B,888.00M,376.00M,551.00M,,21.54B,25.13B,,2010-03,907.00M,,907.00M,760.00M,1.667B,,,,10.00M,,10.00M,,,420.00M,2.097B,8.615B,8.615B,3.708B,1.443B,5.151B,304.00M,1.389B,,16.17B,,2010-03,619.00M,646.00M,,3.00M,7.573B,,2010-03,AOR,Restated
2009-12,1.867B,0.00,1.867B,816.00M,,816.00M,,,222.00M,,,3.793B,,26.25B,1.379B,27.62B,-8.981B,18.64B,1.011B,,1.011B,886.00M,444.00M,502.00M,,21.49B,25.28B,,2009-12,934.00M,,934.00M,948.00M,1.882B,,,17.00M,17.00M,,17.00M,,,578.00M,2.477B,8.259B,8.259B,3.656B,1.441B,5.097B,428.00M,572.00M,,16.26B,,2009-12,618.00M,903.00M,,-168.00M,8.447B,,2009-12,AOR,Restated
2009-09,1.64B,,1.64B,,,705.00M,,,232.00M,,913.00M,3.49B,,,,27.10B,-8.631B,18.46B,1.011B,,1.011B,894.00M,585.00M,508.00M,,21.46B,24.95B,,2009-09,799.00M,,799.00M,833.00M,1.632B,,,,19.00M,,19.00M,,,566.00M,2.217B,8.258B,8.258B,3.466B,1.55B,5.016B,606.00M,548.00M,,16.10B,,2009-09,618.00M,795.00M,,-194.00M,8.307B,,2009-09,AOR,Restated
2009-06,1.853B,,1.853B,,,677.00M,,,249.00M,,1.12B,3.899B,,,,26.26B,-8.289B,17.97B,1.011B,,1.011B,894.00M,745.00M,511.00M,,21.13B,25.03B,,2009-06,772.00M,,772.00M,1.006B,1.778B,,,,13.00M,,13.00M,,,524.00M,2.315B,8.265B,8.265B,3.378B,1.505B,4.883B,710.00M,529.00M,,16.17B,,2009-06,617.00M,716.00M,,-84.00M,8.324B,,2009-06,AOR,Restated
2009-03,1.786B,,1.786B,,,683.00M,,,242.00M,,1.077B,4.059B,,,,25.93B,-7.932B,17.99B,1.011B,,1.011B,902.00M,877.00M,525.00M,,21.31B,25.37B,,2009-03,828.00M,,828.00M,1.058B,1.886B,,,,164.00M,,164.00M,,,567.00M,2.617B,8.278B,8.278B,3.374B,1.497B,4.871B,746.00M,530.00M,,16.51B,,2009-03,615.00M,639.00M,,37.00M,8.326B,,2009-03,AOR,Restated
2008-12,1.438B,,1.438B,913.00M,,884.00M,,,260.00M,,1.829B,4.411B,,23.83B,1.531B,25.36B,-7.619B,17.74B,1.011B,,1.011B,971.00M,986.00M,499.00M,387.00M,21.60B,26.01B,,2008-12,1.052B,,1.052B,1.139B,2.191B,,,,18.00M,,18.00M,,,1.31B,3.519B,7.683B,7.683B,3.315B,1.478B,4.793B,875.00M,614.00M,,16.95B,,2008-12,613.00M,874.00M,,-80.00M,8.44B,,2008-12,AOR,Restated
2008-09,1.524B,,1.524B,1.089B,,1.089B,,,324.00M,,2.544B,5.481B,,,,25.34B,-7.686B,17.65B,,,1.011B,,,,2.752B,21.41B,26.89B,,2008-09,1.072B,,1.072B,3.125B,4.197B,,,,84.00M,,84.00M,,,,4.281B,7.827B,7.827B,3.525B,,3.525B,,639.00M,,17.68B,,2008-09,613.00M,823.00M,,102.00M,8.574B,,2008-09,,Restated
2008-06,1.937B,,1.937B,1.642B,,1.642B,,,341.00M,,6.016B,9.936B,,,,23.74B,-6.806B,16.93B,,,1.011B,,,,3.336B,21.28B,31.22B,,2008-06,1.473B,,1.473B,7.528B,9.001B,,,,83.00M,,83.00M,,,,9.084B,7.869B,7.869B,3.026B,,3.026B,,607.00M,,22.96B,,2008-06,611.00M,521.00M,,-590.00M,7.652B,,2008-06,,
2008-03,2.24B,,2.24B,1.334B,,1.334B,,,289.00M,,3.289B,7.152B,,,,23.06B,-6.806B,16.26B,,,1.011B,,,,2.752B,20.02B,27.17B,,2008-03,1.285B,,1.285B,4.294B,5.579B,,,,85.00M,,85.00M,,,,5.664B,7.799B,7.799B,3.039B,,3.039B,,583.00M,,18.79B,,2008-03,609.00M,148.00M,,-262.00M,7.801B,,2008-03,,Restated
2007-12,1.699B,0.00,1.699B,1.192B,,1.192B,209.00M,,209.00M,199.00M,318.00M,5.538B,,1.974B,980.00M,22.79B,-6.806B,15.98B,1.011B,,1.011B,901.00M,859.00M,771.00M,,19.52B,25.06B,,2007-12,1.131B,,1.375B,740.00M,2.115B,,,143.00M,143.00M,,143.00M,,,1.999B,4.431B,7.757B,7.757B,2.996B,933.00M,3.929B,1.139B,,,18.69B,,2007-12,608.00M,-293.00M,,-121.00M,6.375B,,2007-12,AOR,Restated
2007-09,1.552B,,1.552B,955.10M,,955.10M,,,214.50M,,3.565B,6.286B,,,,67.41B,-51.81B,15.60B,,,1.011B,,,,2.939B,19.55B,25.84B,,2007-09,1.020B,,1.020B,3.817B,4.837B,,,,465.60M,,465.60M,,,,5.303B,7.425B,7.425B,3.177B,,3.177B,,1.093B,,18.29B,,2007-09,606.10M,-459.60M,,-133.00M,6.456B,,2007-09,,
