,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2006-06,-76.00M,,,,173.50M,,,,210.50M,-27.00M,,,,25.40M,0.20M,-29.80M,12.40M,-14.90M,-67.30M,300.80M,201.40M,508.60M,,2006-06,-534.30M,-5.50M,-539.80M,,,-236.50M,-790.50M,,2006-06,,,-28.10M,4.80M,,4.80M,,-47.00M,217.60M,,2006-06,1.115B,-134.60M,980.40M,,2006-06,4.80M,,,,2006-06,,
2006-03,131.90M,,,,36.70M,,,,197.00M,74.60M,,,,,440.50M,-5.20M,-313.10M,-46.10M,-212.40M,-138.40M,-274.70M,164.70M,,2006-03,-468.30M,12.50M,-455.80M,,,-54.20M,-491.10M,,2006-03,,,-64.10M,10.20M,,10.20M,,-51.20M,-50.70M,,2006-03,1.597B,-482.20M,1.115B,,2006-03,10.20M,,,,2006-03,,
2005-12,67.20M,,,,-28.80M,,,,184.20M,63.10M,,,,227.70M,-127.00M,29.90M,231.50M,-66.80M,-52.70M,-243.80M,-228.90M,367.70M,,2005-12,-413.10M,-70.40M,815.50M,,,-35.30M,-49.90M,,2005-12,,,-3.10M,6.60M,,6.60M,,-23.20M,-61.60M,,2005-12,1.360B,236.50M,1.597B,,2005-12,6.60M,,,,2005-12,,Restated
2005-09,3.90M,,,,-73.00M,,,,199.50M,-212.70M,,,,56.30M,-287.70M,-41.50M,241.30M,66.00M,47.00M,288.10M,313.20M,289.00M,,2005-09,-369.30M,-40.80M,-410.10M,,,99.10M,-309.80M,,2005-09,,,35.80M,117.80M,,117.80M,,-48.40M,-21.10M,,2005-09,1.297B,63.30M,1.360B,,2005-09,117.80M,,,,2005-09,,
2005-06,40.70M,,,,50.90M,,,,178.10M,30.70M,,,,129.40M,13.00M,-36.70M,-23.00M,25.30M,124.80M,-44.30M,59.10M,488.90M,,2005-06,-293.70M,104.20M,-189.50M,,,-184.10M,-376.10M,,2005-06,,,-5.20M,8.60M,,8.60M,,-42.90M,13.90M,,2005-06,1.21B,87.20M,1.297B,,2005-06,8.60M,,,,2005-06,,
2005-03,202.20M,,,,-8.10M,,,,178.20M,118.90M,,,,-129.40M,159.70M,38.30M,-103.80M,-32.50M,-119.10M,,-57.40M,304.40M,,2005-03,-222.90M,7.00M,-215.90M,,,-17.70M,-83.20M,,2005-03,,,-215.50M,288.00M,,288.00M,,-28.50M,14.80M,,2005-03,930.00M,280.00M,1.21B,,2005-03,288.00M,,,,2005-03,,
2004-12,95.50M,,,,51.90M,,,,182.60M,92.40M,,,,-73.90M,-106.40M,0.50M,113.50M,40.00M,176.60M,-170.20M,54.00M,399.70M,,2004-12,-248.90M,32.00M,-216.90M,,,7.30M,-216.00M,,2004-12,,,-128.00M,5.90M,,5.90M,,-27.80M,-80.50M,,2004-12,976.70M,-46.70M,930.00M,,2004-12,5.90M,,,,2004-12,,
2004-09,16.20M,,,,280.60M,,,,166.90M,49.50M,,,,,191.00M,-6.30M,-93.60M,372.20M,-275.40M,-244.00M,-56.10M,473.10M,,2004-09,-209.50M,548.80M,339.30M,,,380.70M,409.70M,,2004-09,,,-843.20M,2.80M,,2.80M,,-5.90M,-90.10M,,2004-09,1.030B,-53.60M,976.70M,,2004-09,2.80M,,,,2004-09,,
2004-06,-18.50M,,,,25.30M,,,,168.10M,-23.60M,,,,-120.60M,-11.20M,-51.40M,72.50M,126.80M,102.20M,187.20M,426.10M,512.30M,,2004-06,-201.20M,28.20M,-173.00M,,,9.20M,123.20M,,2004-06,,,-1.509B,7.10M,,7.10M,,-9.20M,-93.10M,,2004-06,1.999B,-968.40M,1.030B,,2004-06,7.10M,,,,2004-06,,
2004-03,,,,,13.50M,,,,160.40M,4.70M,,,,120.60M,161.20M,38.90M,-210.90M,-18.10M,-114.60M,,-143.50M,102.80M,,2004-03,-127.80M,280.80M,153.00M,,,74.40M,312.50M,,2004-03,,,-711.60M,4.80M,,4.80M,,-6.40M,-21.60M,,2004-03,2.318B,-319.50M,1.999B,,2004-03,4.80M,,,,2004-03,,
2003-12,-75.40M,,,,127.80M,,,,171.00M,-59.70M,,,,-354.00M,-20.10M,33.40M,-91.20M,-99.40M,63.90M,306.30M,192.90M,75.30M,,2003-12,-222.60M,127.20M,-95.40M,,,426.10M,-101.40M,,2003-12,,,-1.127B,0.80M,0.00,0.80M,,-25.00M,64.40M,,2003-12,3.431B,-1.113B,2.318B,,2003-12,0.80M,,,0.00,2003-12,,
2003-09,11.40M,,,,-13.80M,,,,164.10M,45.50M,,,,-15.00M,19.00M,14.80M,-50.30M,231.50M,-263.90M,79.70M,30.80M,225.90M,,2003-09,-282.10M,315.70M,33.60M,,,28.70M,106.80M,,2003-09,,,-116.40M,0.30M,0.00,0.30M,,-4.50M,-10.90M,,2003-09,3.230B,201.20M,3.431B,,2003-09,0.30M,,,0.00,2003-09,,
2003-06,118.50M,,,,-168.10M,,,,259.60M,103.10M,,,,57.00M,717.10M,0.50M,-382.00M,234.70M,-23.20M,-386.00M,161.10M,565.60M,,2003-06,-217.00M,1.732B,1.515B,,,-471.00M,1.062B,,2003-06,,,154.30M,0.10M,-275.00M,-274.90M,,-31.20M,252.20M,,2003-06,1.502B,1.728B,3.230B,,2003-06,0.10M,,,-275.00M,2003-06,,
2003-03,-39.30M,,,,45.90M,,,,249.20M,-22.30M,,,,-57.00M,-44.30M,39.40M,-88.60M,-106.50M,-163.50M,,-363.50M,-96.70M,,2003-03,-235.10M,679.60M,444.50M,,,-5.60M,428.60M,,2003-03,,,-191.00M,,,,,-12.40M,-362.90M,,2003-03,1.736B,-234.40M,1.502B,,2003-03,,,,,2003-03,,
2002-12,-151.20M,,,,253.10M,,,,322.30M,-44.30M,,,,,714.10M,147.60M,-546.60M,74.40M,-236.50M,-442.20M,-289.20M,863.60M,,2002-12,-448.30M,480.20M,31.90M,,,247.60M,276.20M,,2002-12,,,-826.80M,2.00M,0.00,2.00M,,-60.00M,188.30M,,2002-12,1.293B,443.30M,1.736B,,2002-12,2.00M,,,0.00,2002-12,,
2002-09,-175.90M,,,,-24.00M,,,,146.90M,4.90M,,,,,88.40M,49.00M,-627.20M,-552.30M,75.60M,425.80M,-540.70M,-464.00M,,2002-09,-278.90M,1.820B,1.541B,,,6.50M,1.545B,,2002-09,,,26.00M,-9.20M,-135.00M,-144.20M,,19.10M,-462.30M,,2002-09,773.30M,519.40M,1.293B,,2002-09,-9.20M,,,-135.00M,2002-09,,
2002-06,-407.80M,,,,119.60M,,,,124.00M,-226.30M,,,,,-499.10M,-21.00M,623.10M,-222.80M,147.80M,335.40M,363.40M,95.30M,,2002-06,-504.20M,39.80M,-464.40M,,,-138.80M,-587.20M,,2002-06,,,-1.049B,-7.80M,,-7.80M,,-120.40M,739.80M,,2002-06,1.703B,-929.70M,773.30M,,2002-06,-7.80M,,,,2002-06,,
2002-03,123.20M,,,,-504.80M,,,,211.60M,73.30M,,,,,-62.30M,-95.00M,-25.70M,-200.00M,-241.70M,-319.00M,-943.70M,-1.010B,,2002-03,-431.40M,509.70M,78.30M,,,-151.00M,-129.60M,,2002-03,,,1.469B,291.50M,,291.50M,,-117.50M,-101.30M,,2002-03,1.301B,401.90M,1.703B,,2002-03,291.50M,,,,2002-03,,
2001-12,-136.40M,,,,276.20M,,,,66.00M,-27.20M,,,,,1.143B,277.50M,-596.20M,304.20M,-287.20M,-163.90M,677.70M,525.40M,,2001-12,-316.70M,163.00M,-153.70M,,-21.30M,93.40M,1.040B,,2001-12,,,582.40M,179.10M,,-14.90M,,-160.00M,-1.182B,,2001-12,413.90M,790.70M,1.301B,,2001-12,179.10M,,,,2001-12,,
2001-09,243.40M,,,,128.20M,,,,212.60M,174.20M,,,,,-230.60M,-105.40M,-393.10M,-17.00M,565.10M,-686.80M,-867.80M,-181.40M,,2001-09,-557.10M,9.40M,-547.70M,,-1.322B,-185.80M,-1.094B,,2001-09,,,835.00M,16.40M,,16.40M,,-92.60M,-84.10M,,2001-09,1.015B,-600.70M,413.90M,,2001-09,16.40M,,,,2001-09,,
2001-06,328.80M,,,,-48.30M,,,,175.30M,88.60M,,,,,-630.30M,-78.10M,492.70M,910.50M,-127.60M,80.50M,647.70M,1.240B,,2001-06,-443.10M,6.70M,-436.40M,,,-144.40M,-1.366B,,2001-06,,,1.148B,18.40M,,18.40M,,-65.50M,-198.40M,,2001-06,334.30M,776.80M,1.015B,,2001-06,18.40M,,,,2001-06,,
2001-03,366.90M,,,,40.30M,,,,174.30M,127.10M,,,,,75.20M,175.30M,66.30M,-501.90M,71.50M,-835.70M,-949.30M,-209.20M,,2001-03,-307.20M,14.50M,-292.70M,,,-87.60M,-1.834B,,2001-03,,,-1.505B,1.362B,,1.362B,,-79.80M,1.390B,,2001-03,1.211B,-876.40M,334.30M,,2001-03,1.362B,,,,2001-03,,
2000-12,371.20M,,,,428.00M,,,,15.30M,224.30M,,,,,-1.026B,17.50M,601.30M,-583.80M,-421.80M,455.10M,-957.50M,-58.10M,,2000-12,2.226B,-46.80M,2.179B,,-578.60M,-649.80M,1.022B,,2000-12,,,-1.002B,9.80M,,9.80M,,-108.70M,330.30M,,2000-12,1.028B,193.60M,1.211B,,2000-12,9.80M,,,,2000-12,,
2000-09,168.90M,,,,-325.20M,,,,317.60M,46.00M,,,,,-216.90M,-130.50M,275.30M,17.40M,65.60M,43.90M,54.80M,374.80M,,2000-09,-3.066B,26.40M,-3.040B,,-0.10M,604.70M,-2.442B,,2000-09,,,2.488B,31.20M,,31.20M,,-66.50M,211.90M,,2000-09,419.80M,597.30M,1.028B,,2000-09,31.20M,,,,2000-09,,
2000-06,286.40M,,,,8.20M,,,,159.60M,161.60M,,,,,-176.20M,-103.90M,285.20M,-112.80M,130.50M,-314.00M,-291.20M,183.70M,,2000-06,-381.60M,7.00M,-374.60M,,-147.70M,-90.90M,-596.80M,,2000-06,,,126.20M,14.00M,,14.00M,,-66.30M,11.00M,,2000-06,264.10M,-328.20M,419.80M,,2000-06,14.00M,,,,2000-06,,
2000-03,138.90M,,,,19.90M,,,,154.30M,8.60M,,,,,-139.30M,-76.80M,117.30M,-21.20M,-190.40M,-85.50M,-395.90M,-46.00M,,2000-03,-291.40M,13.40M,-278.00M,,,,-320.80M,,2000-03,,,89.50M,20.20M,,20.20M,,-66.30M,-10.20M,,2000-03,597.70M,-333.60M,264.10M,,2000-03,20.20M,,,,2000-03,,
1999-12,57.10M,,,,-83.20M,,,,196.90M,41.40M,,,,,-139.00M,47.70M,372.20M,-48.30M,196.20M,70.50M,499.30M,711.50M,,1999-12,-1.442B,-38.20M,-1.480B,,-8.50M,-976.40M,-2.641B,,1999-12,,,1.097B,1.551B,,1.551B,,-65.30M,151.20M,,1999-12,287.90M,804.10M,1.092B,,1999-12,1.551B,,,,1999-12,,
1999-09,31.80M,,,,93.40M,,,,194.10M,35.10M,,,,-125.10M,-491.20M,-113.90M,450.10M,-24.50M,-1.20M,58.90M,-121.80M,107.50M,,1999-09,-903.00M,71.10M,-831.90M,,0.00,-53.90M,-871.10M,,1999-09,,,998.60M,-66.20M,,-66.20M,,-66.30M,-14.70M,,1999-09,200.10M,87.80M,287.90M,,1999-09,-66.20M,,,,1999-09,,
1999-06,17.00M,,,,34.10M,,,,178.10M,350.70M,,,,8.60M,-266.00M,-33.10M,231.70M,-15.30M,99.40M,26.90M,43.60M,632.10M,,1999-06,-791.70M,51.00M,-740.70M,,0.00,-51.30M,-777.90M,,1999-06,,,34.40M,42.70M,,42.70M,,-65.80M,4.50M,,1999-06,330.10M,-130.00M,200.10M,,1999-06,42.70M,,,,1999-06,,
1999-03,55.90M,,,,0.60M,,,,172.90M,27.90M,,,,116.50M,32.00M,-19.40M,-104.80M,-29.60M,-226.50M,11.10M,-337.20M,36.60M,,1999-03,-376.50M,,-376.50M,,-162.90M,-353.20M,-986.10M,,1999-03,,,755.70M,82.10M,,82.10M,,-66.30M,4.80M,,1999-03,503.30M,-173.20M,330.10M,,1999-03,82.10M,,,,1999-03,,
1998-12,-33.40M,,,,133.00M,,,,,-24.20M,,,,160.60M,-11.00M,-60.90M,27.50M,-26.70M,-2.10M,-24.00M,-97.20M,138.80M,,1998-12,-373.70M,21.40M,-352.30M,,,-122.40M,-393.00M,,1998-12,,,535.50M,11.00M,,11.00M,,-65.60M,185.00M,,1998-12,91.60M,411.70M,503.30M,,1998-12,11.00M,,,,1998-12,,
1998-09,32.10M,,,,34.40M,,,,,7.10M,,,,203.80M,-203.40M,47.20M,2.90M,14.90M,63.20M,-81.10M,-156.30M,121.10M,,1998-09,-499.20M,6.70M,-492.50M,,,-54.30M,-534.70M,,1998-09,,,336.40M,4.30M,,4.30M,,-65.90M,94.90M,,1998-09,135.50M,-43.90M,91.60M,,1998-09,4.30M,,,,1998-09,,
1998-06,60.70M,,,,3.00M,,,,,22.20M,,,,129.50M,-92.10M,-60.50M,45.50M,-52.80M,84.50M,1.60M,-73.80M,141.60M,,1998-06,-460.40M,14.60M,-445.80M,,,-278.80M,-723.40M,,1998-06,,,577.60M,21.30M,,21.30M,,-65.30M,10.50M,,1998-06,173.20M,-37.70M,135.50M,,1998-06,21.30M,,,,1998-06,,
