,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2008-12,-7.699M,0.094M,-0.313M,-0.312M,,1.121M,1.121M,0.192M,,,1.154M,7.044M,,-4.748M,0.355M,0.51M,0.428M,-2.627M,,2.054M,,0.72M,-2.528M,-1.192M,,-1.192M,0.00,1.013M,0.313M,0.134M,,,-3.447M,,-3.447M,4.668M,-0.17M,1.051M,2.916M,-1.343M,1.161M,2.734M,-3.447M,,,,
2008-09,-6.33M,,,0.068M,,1.156M,1.156M,0.192M,,,,,,4.157M,-1.194M,-1.054M,0.56M,-0.794M,,-0.211M,,-2.693M,-3.45M,-0.766M,,-0.766M,,-36.61M,,-37.38M,,,43.10M,,43.10M,,-0.541M,42.56M,1.627M,1.732M,-0.443M,2.916M,43.10M,,,,
2008-06,-9.114M,,,0.025M,,1.414M,1.414M,0.145M,,,,,,2.238M,0.138M,-3.241M,0.124M,-1.846M,,-1.788M,,-6.613M,-11.90M,-0.644M,,-0.644M,,9.653M,,9.009M,,,2.436M,,2.436M,,,2.436M,2.042M,-0.46M,0.045M,1.627M,2.436M,,,,
2008-03,-14.97M,,,1.85M,,2.288M,2.288M,0.07M,,,,,,6.206M,-2.228M,-2.595M,-0.645M,1.583M,,0.887M,,-2.998M,-7.556M,-0.787M,,-0.787M,,-41.80M,45.40M,2.821M,,,1.196M,0.00,1.196M,,,1.196M,5.576M,-3.539M,0.005M,2.042M,1.196M,,0.00,,
2007-12,-8.301M,,,-0.699M,,1.645M,1.645M,0.167M,,,,,,2.06M,-2.87M,-2.121M,0.337M,1.543M,,2.26M,,-0.851M,-5.979M,-0.704M,,-0.704M,,4.38M,-50.54M,-46.87M,,,0.696M,-1.868M,-1.172M,,,-1.172M,59.52M,-54.02M,0.076M,5.576M,0.696M,,-1.868M,,
2007-09,-9.382M,,,0.735M,,1.101M,1.101M,0.145M,,,,,,0.69M,5.244M,-3.872M,0.338M,1.746M,,0.705M,,4.161M,-2.55M,-1.375M,,-1.375M,,0.499M,,-0.876M,,,0.68M,,0.68M,,,0.68M,62.23M,-2.746M,0.037M,59.52M,0.68M,,,,
2007-06,-8.275M,,,,,1.09M,1.09M,0.145M,,,,,,2.588M,-2.943M,-2.49M,-0.207M,-1.635M,,-1.062M,,-8.337M,-12.79M,-0.963M,,-0.963M,,4.98M,,4.017M,,,1.366M,,1.366M,,,1.366M,69.65M,-7.406M,-0.013M,62.23M,1.366M,,,,
2007-03,-6.349M,,,,,1.024M,1.024M,0.131M,,,,,,1.196M,-1.913M,-1.679M,-0.24M,0.098M,,1.224M,,-2.51M,-6.508M,-0.304M,,-0.304M,,5.681M,,5.368M,,,64.62M,0.00,64.62M,,,64.62M,6.081M,63.48M,0.083M,69.65M,64.62M,,0.00,,
2006-12,-6.725M,,,,,0.961M,0.961M,0.103M,,,,,,0.552M,-0.612M,-1.366M,0.573M,1.085M,,0.626M,,0.306M,-4.803M,0.263M,,0.263M,,3.77M,,4.033M,,,0.227M,-0.05M,0.177M,,,0.177M,7.052M,-0.593M,-0.378M,6.081M,0.227M,,-0.05M,,
2006-09,-8.676M,,,-0.80M,,1.147M,1.147M,0.103M,,,,,,2.707M,1.328M,-1.809M,0.145M,1.137M,,1.148M,,1.949M,-3.57M,-0.562M,,-0.562M,,0.135M,,-0.427M,,,1.191M,,1.191M,,,1.191M,9.732M,-2.806M,0.126M,7.052M,1.191M,,,,
2006-06,-6.131M,,,0.80M,,0.783M,0.783M,0.138M,,,,,,1.682M,-0.723M,0.759M,-0.319M,-0.748M,,-1.18M,,-2.211M,-4.939M,-1.817M,,-1.817M,,7.938M,,6.121M,,,0.567M,,0.567M,,,0.567M,7.832M,1.749M,0.151M,9.732M,0.567M,,,,
2006-03,-3.682M,,,-0.187M,,0.78M,0.78M,,,,,,,0.371M,-0.517M,1.055M,-0.547M,1.251M,-0.022M,0.912M,,2.132M,-0.276M,-1.405M,,-1.394M,-0.011M,1.046M,,-0.359M,,,0.599M,0.00,0.599M,,,0.599M,7.907M,-0.036M,-0.039M,7.832M,0.599M,,0.00,,
2005-12,-4.48M,,,0.327M,,0.679M,0.679M,,,,,,,,-0.222M,-0.286M,0.599M,0.184M,0.004M,0.265M,,0.544M,-2.93M,-0.688M,,-0.688M,-0.386M,-3.656M,0.105M,-4.625M,,,0.187M,0.00,0.187M,,,0.187M,15.26M,-7.368M,0.011M,7.907M,0.187M,,0.00,,
2005-09,-2.779M,,,0.283M,,0.732M,0.732M,,,,,,,-0.035M,-1.019M,-0.424M,0.191M,-0.606M,0.018M,0.821M,,-1.019M,-2.818M,-0.275M,,-0.275M,-0.556M,12.05M,-0.043M,11.18M,,,0.944M,-0.066M,0.878M,,-0.829M,0.049M,6.788M,8.407M,0.069M,15.26M,0.944M,,-0.066M,,
2005-06,-18.51M,,,13.50M,,0.551M,0.551M,,,,,,,0.035M,2.016M,-0.522M,-0.07M,0.497M,,-0.813M,,1.108M,-3.315M,-0.696M,,-0.696M,-1.62M,3.555M,-0.062M,1.177M,,,0.429M,,0.429M,,0.829M,1.258M,7.618M,-0.88M,0.05M,6.788M,0.429M,,,,
2005-03,-0.221M,,,0.04M,,0.296M,0.296M,,,,,,,,-1.324M,0.535M,-0.811M,0.068M,,0.247M,,-1.285M,-1.17M,-0.139M,,-0.139M,,1.589M,-0.02M,1.43M,,,0.25M,,0.25M,,,0.25M,7.13M,0.51M,0.036M,7.618M,0.25M,,,,
2004-12,-0.201M,,,0.02M,,0.298M,0.298M,,,,,,,,-0.463M,0.248M,0.332M,0.089M,,0.043M,,0.249M,0.366M,-0.103M,,-0.103M,,1.195M,-0.008M,1.084M,,,1.048M,,1.048M,,,1.048M,4.721M,2.498M,-0.089M,7.13M,1.048M,,,,
2004-09,0.459M,,,0.022M,,0.335M,0.335M,,,,,,,,-1.366M,-0.515M,0.11M,-0.337M,,-0.327M,,-2.435M,-1.619M,-0.266M,,-0.266M,,0.148M,-0.001M,-0.119M,,,0.206M,,0.206M,,,0.206M,6.223M,-1.532M,0.03M,4.721M,0.206M,,,,
2004-06,-2.379M,,,-0.002M,,0.311M,0.311M,,,,,,,,0.59M,-1.434M,-0.096M,-0.058M,,0.327M,,-0.671M,-2.741M,-0.189M,,-0.189M,,-0.283M,-0.007M,-0.479M,,,2.583M,,2.583M,,,2.583M,6.893M,-0.637M,-0.033M,6.223M,2.583M,,,,
2004-03,-1.533M,,,0.155M,,0.332M,0.332M,,,,,,,,-2.127M,0.34M,-0.564M,0.344M,-0.057M,0.483M,,-1.581M,-2.783M,-0.184M,0.00,-0.184M,,-6.411M,-0.011M,-6.606M,,,0.975M,,0.975M,,,0.975M,15.21M,-8.414M,,6.893M,0.975M,,,,
2003-12,-1.967M,,,-0.052M,,0.347M,0.347M,,,,,,,,-0.502M,0.325M,0.363M,0.232M,0.057M,-0.389M,,0.086M,-1.586M,-0.064M,0.012M,-0.052M,,-25.73M,-0.03M,-25.80M,,,0.335M,,0.335M,,,0.335M,42.26M,-27.05M,,15.21M,0.335M,,,,
2003-09,-2.761M,,,0.027M,,0.35M,0.35M,,,,,,,,0.921M,-0.309M,0.283M,-0.13M,,-0.337M,,0.428M,-1.956M,-0.046M,,-0.046M,,2.135M,0.009M,2.082M,,,0.279M,,0.279M,,,0.279M,41.85M,0.405M,,42.26M,0.279M,,,,
2003-06,-3.185M,,,0.063M,,0.359M,0.359M,,,,,,,,1.121M,-0.158M,-0.371M,-0.132M,,-1.508M,,-1.048M,-3.811M,-0.135M,,-0.135M,,1.235M,-0.009M,1.091M,,,,,,,,0.00,44.57M,-2.72M,,41.85M,,,,,
2003-03,-3.04M,,,0.068M,,0.379M,0.379M,,,,,,,,-1.078M,0.569M,-0.259M,0.24M,,-0.394M,,-0.922M,-3.515M,-0.149M,0.00,-0.149M,,-1.773M,-0.016M,-1.938M,,0.00,0.038M,,0.038M,,,0.038M,49.99M,-5.415M,,44.57M,0.038M,,,,
2002-12,-4.439M,,,0.242M,,0.333M,0.333M,,,,,,,,1.057M,0.649M,0.237M,-0.238M,,-0.441M,,1.264M,-2.60M,-0.145M,0.026M,-0.119M,,4.165M,-0.04M,4.006M,,-0.014M,0.00,,0.00,,,-0.014M,48.60M,1.392M,,49.99M,0.00,,,,
2002-09,-5.192M,,,0.135M,,0.495M,0.495M,,,,,,,,0.958M,0.113M,0.655M,-0.203M,,-0.188M,,1.335M,-3.227M,-0.331M,,-0.331M,,-1.305M,-0.058M,-1.694M,,-0.02M,0.234M,,0.234M,,,0.214M,53.30M,-4.707M,,48.60M,0.234M,,,,
