,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2018-03,42.98M,319.27M,362.25M,70.01M,70.01M,16.48M,23.18M,10.54M,50.20M,11.81M,,,494.27M,0.0,7.68M,63.70M,50.89M,,19.85M,2.905M,145.03M,-27.86M,117.17M,35.81M,16.70M,52.51M,37.50M,,70.75M,14.18M,292.10M,786.38M,23.56M,4.562M,28.13M,10.17M,38.30M,1.081M,,,,,,14.97M,14.97M,,84.68M,,,,0.903M,0.903M,11.27M,12.17M,96.85M,0.444M,140.46M,619.90M,67.08M,,-4.204M,689.52M
2017-12,50.50M,250.75M,301.25M,64.86M,64.86M,,,,46.89M,9.192M,,,422.20M,0.0,7.55M,61.09M,45.84M,,15.96M,2.173M,132.61M,-24.63M,107.98M,34.81M,16.24M,51.06M,49.48M,,75.20M,13.69M,297.40M,719.60M,21.99M,4.612M,26.60M,9.866M,36.47M,1.01M,,,,0.00,0.00,11.80M,11.80M,,75.35M,,0.00,0.00,0.878M,0.878M,10.89M,11.77M,87.12M,0.443M,103.61M,605.70M,66.62M,,-10.65M,632.48M
2017-09,44.54M,218.66M,263.20M,57.33M,57.33M,,,,40.63M,9.014M,,,370.17M,0.0,4.474M,13.67M,41.26M,16.78M,10.46M,37.29M,123.93M,-26.24M,97.70M,34.33M,16.02M,50.35M,55.95M,,106.80M,13.69M,324.48M,694.65M,16.67M,4.175M,20.84M,8.484M,29.33M,0.954M,,,,0.851M,0.851M,10.58M,10.58M,,63.36M,,15.11M,15.11M,0.866M,0.866M,10.43M,26.41M,89.77M,0.442M,90.16M,592.08M,66.00M,,-11.80M,604.89M
2017-06,43.97M,207.44M,251.41M,53.56M,53.56M,,,,36.93M,9.021M,,,350.92M,0.0,4.326M,12.15M,37.55M,16.78M,10.08M,34.96M,115.84M,-23.04M,92.80M,33.20M,15.49M,48.69M,37.67M,,113.46M,8.686M,301.30M,652.22M,12.78M,3.112M,15.90M,9.384M,25.28M,0.853M,,,,0.829M,0.829M,9.697M,9.697M,,59.00M,,15.32M,15.32M,0.837M,0.837M,10.01M,26.17M,85.17M,0.441M,65.66M,580.02M,64.57M,,-14.51M,567.04M
2017-03,39.04M,190.91M,229.95M,54.06M,54.06M,9.784M,16.50M,8.643M,34.93M,8.024M,,,326.96M,0.0,4.046M,10.90M,31.89M,16.78M,9.257M,34.85M,107.73M,-19.95M,87.78M,31.04M,14.48M,45.53M,47.14M,,34.72M,8.286M,223.46M,550.41M,20.62M,3.18M,23.80M,10.52M,34.32M,0.717M,,,,0.799M,0.799M,10.50M,10.50M,,69.62M,,15.54M,15.54M,0.783M,0.783M,12.40M,28.73M,98.34M,0.437M,-46.96M,565.96M,46.76M,,-20.61M,452.07M
2016-12,61.07M,179.64M,240.71M,50.18M,50.18M,,,,32.05M,10.48M,,,333.42M,0.0,,,26.63M,16.78M,15.05M,20.89M,79.35M,-18.44M,60.91M,30.56M,14.26M,44.82M,18.24M,,39.01M,4.57M,167.54M,500.96M,14.56M,3.098M,17.66M,10.70M,28.35M,0.698M,,,,0.77M,0.77M,9.004M,9.004M,,58.87M,,15.75M,15.75M,0.771M,0.771M,8.192M,24.71M,83.58M,0.435M,-61.86M,546.80M,46.56M,,-21.44M,417.38M
2016-09,54.71M,178.24M,232.94M,46.61M,46.61M,,,,31.49M,8.827M,,,319.87M,0.0,,,29.16M,16.78M,14.14M,10.86M,70.95M,-20.75M,50.21M,32.58M,15.20M,47.78M,4.004M,,48.61M,4.422M,155.03M,474.90M,14.07M,2.675M,16.74M,7.217M,23.96M,0.802M,,,,0.74M,0.74M,9.103M,9.103M,,51.92M,,15.96M,15.96M,0.821M,0.821M,7.753M,24.54M,76.46M,0.433M,-77.29M,536.86M,46.27M,,-15.30M,398.44M
2016-06,38.27M,184.90M,223.17M,41.28M,41.28M,,,,29.09M,6.741M,,,300.29M,,,,,,,,,,25.95M,32.27M,15.06M,47.33M,0.00,,51.30M,4.451M,129.02M,429.31M,8.372M,2.436M,10.81M,7.02M,17.83M,0.966M,,,,,,8.59M,8.59M,,43.22M,,,,0.814M,0.814M,7.952M,8.766M,51.98M,0.43M,-86.16M,520.84M,41.69M,,-16.09M,377.33M
2016-03,48.23M,163.82M,212.05M,42.82M,42.82M,7.993M,13.15M,5.60M,26.74M,6.778M,,,288.39M,0.0,0.00,0.00,26.72M,,3.712M,11.83M,42.27M,-19.08M,23.18M,33.00M,15.40M,48.40M,1.00M,,58.53M,4.422M,135.54M,423.93M,9.381M,2.527M,11.91M,6.498M,18.41M,0.998M,,,,0.00,0.00,8.778M,8.778M,,46.54M,,0.00,0.00,0.832M,0.832M,7.783M,8.615M,55.16M,0.426M,-99.08M,508.62M,26.66M,,-14.54M,368.78M
2015-12,53.23M,142.97M,196.19M,36.84M,36.84M,8.894M,10.43M,6.214M,25.54M,4.115M,19.06M,,281.74M,,,,,,,,,,15.02M,31.70M,14.79M,46.48M,0.00,,43.96M,4.422M,109.88M,391.63M,8.836M,1.324M,10.16M,5.474M,15.63M,0.639M,,,,,,6.913M,6.913M,,37.67M,,,,0.799M,0.799M,7.628M,8.427M,46.10M,0.424M,-110.07M,495.99M,23.26M,,-17.56M,345.53M
2015-09,54.42M,121.09M,175.51M,37.12M,37.12M,8.479M,9.358M,5.195M,23.03M,4.03M,25.72M,,265.40M,,,,,,,,,,11.42M,32.68M,15.24M,47.92M,0.00,,44.24M,4.423M,108.00M,373.41M,8.788M,1.249M,10.04M,5.572M,15.61M,0.697M,,,,,,6.803M,6.803M,,34.45M,,,,0.824M,0.824M,7.034M,7.858M,42.31M,0.424M,-120.63M,489.46M,23.16M,,-15.01M,331.10M
2015-06,40.43M,114.49M,154.92M,34.37M,34.37M,8.548M,8.456M,4.226M,21.23M,4.003M,29.59M,,244.11M,,,,,,,,,,10.22M,32.24M,15.04M,47.28M,1.501M,,45.21M,3.685M,107.89M,352.01M,8.617M,1.732M,10.35M,5.127M,15.48M,0.883M,,,,,,7.868M,7.868M,,36.28M,,,,0.813M,0.813M,6.859M,7.672M,43.96M,0.42M,-128.36M,474.53M,22.81M,,-15.72M,308.05M
2015-03,22.40M,109.56M,131.96M,31.83M,31.83M,7.417M,6.466M,2.891M,16.77M,4.479M,,,185.04M,0.0,,,20.34M,,1.685M,2.874M,24.89M,-15.77M,9.127M,31.53M,14.71M,46.24M,14.00M,,80.31M,3.654M,153.33M,338.37M,10.39M,1.506M,11.90M,3.307M,15.20M,1.103M,,,,,,7.036M,7.036M,,39.32M,,,,0.795M,0.795M,6.693M,7.488M,46.81M,0.413M,-137.22M,465.05M,19.35M,,-17.33M,291.56M
2014-12,19.48M,93.95M,113.42M,28.37M,28.37M,6.722M,6.592M,2.13M,15.44M,3.331M,,,160.57M,,,,,,,,,,7.583M,35.33M,16.48M,51.81M,17.98M,,0.778M,2.051M,80.20M,240.77M,8.249M,1.032M,9.281M,3.182M,12.46M,0.884M,,,,,,6.595M,6.595M,,31.40M,,,,7.089M,7.089M,6.561M,13.65M,45.06M,0.422M,-236.10M,457.89M,17.57M,,-8.932M,195.72M
2014-09,17.48M,77.98M,95.46M,23.07M,23.07M,6.052M,5.718M,1.675M,13.44M,3.31M,,,135.29M,,,,,,,,,,7.351M,36.87M,17.20M,54.06M,16.47M,,0.813M,1.551M,80.25M,215.54M,7.616M,1.00M,8.616M,2.904M,11.52M,0.775M,,,,,,5.756M,5.756M,,27.13M,,,,6.865M,6.865M,6.007M,12.87M,40.01M,0.417M,-248.78M,447.43M,17.57M,,-5.965M,175.54M
2014-06,34.74M,52.46M,87.20M,22.76M,22.76M,6.534M,6.295M,1.091M,13.92M,3.334M,,,127.22M,,,,,,,,,,6.716M,37.69M,,37.69M,33.76M,,,0.801M,78.97M,206.19M,6.759M,1.215M,7.974M,3.189M,11.16M,0.813M,,,,,,5.20M,5.20M,,28.97M,,,,6.64M,6.64M,0.222M,6.862M,35.84M,0.415M,-252.62M,441.26M,17.57M,,-1.139M,170.35M
2014-03,20.92M,55.66M,76.58M,24.36M,24.36M,6.414M,6.261M,1.273M,13.95M,3.082M,0.00,,117.97M,0.0,,,17.76M,,1.226M,1.876M,20.87M,-13.98M,6.889M,37.99M,,37.99M,41.76M,,0.00,0.801M,87.44M,205.41M,7.746M,1.445M,9.191M,3.693M,12.88M,0.794M,,,,,,4.766M,4.766M,,30.41M,,,,6.415M,6.415M,0.228M,6.643M,37.05M,0.411M,-250.91M,436.14M,16.55M,,-0.73M,168.35M
2013-12,22.63M,56.94M,79.58M,22.96M,22.96M,6.704M,5.896M,2.219M,14.82M,2.376M,,,119.73M,,,,,,,,,,7.022M,38.03M,,38.03M,27.78M,,,0.801M,73.64M,193.36M,6.066M,1.672M,7.738M,2.946M,10.68M,0.732M,,,,,,4.354M,4.354M,,26.44M,,,,6.234M,6.234M,0.239M,6.473M,32.91M,0.409M,-254.53M,431.75M,16.55M,,-0.62M,160.46M
2013-09,10.12M,60.95M,71.07M,21.12M,21.12M,6.707M,6.672M,2.257M,15.64M,2.789M,,,110.61M,,,,,,,,,,6.444M,37.35M,,37.35M,25.81M,,,0.801M,70.40M,181.02M,6.182M,1.746M,7.928M,3.021M,10.95M,0.682M,,,,,,4.142M,4.142M,,24.05M,,,,6.007M,6.007M,0.262M,6.269M,30.32M,0.406M,-258.92M,427.18M,16.55M,,-1.406M,150.70M
2013-06,11.73M,55.72M,67.45M,20.98M,20.98M,7.178M,6.285M,3.05M,16.51M,1.737M,,,106.68M,,,,,,,,,,6.479M,35.93M,,35.93M,20.59M,,,0.779M,63.78M,170.46M,6.27M,1.609M,7.879M,3.598M,11.48M,0.667M,,,,,,3.993M,3.993M,,23.09M,,,,5.781M,5.781M,0.285M,6.066M,29.16M,0.401M,-259.98M,420.67M,16.55M,,-3.232M,141.30M
2013-03,9.451M,67.26M,76.71M,22.95M,22.95M,6.267M,5.296M,3.367M,14.93M,2.022M,,,116.60M,0.0,,,15.36M,,1.541M,1.843M,18.74M,-12.20M,6.549M,35.41M,,35.41M,11.41M,,,0.029M,53.39M,170.00M,7.696M,2.107M,9.803M,2.683M,12.49M,0.708M,,,,,,4.198M,4.198M,,27.06M,,,,5.554M,5.554M,0.309M,5.863M,32.92M,0.397M,-258.26M,414.81M,16.13M,,-3.737M,137.08M
2012-12,10.76M,74.98M,85.74M,19.92M,19.92M,5.443M,5.786M,3.759M,14.99M,1.357M,,,122.00M,,,,,,,,,,6.472M,36.51M,,36.51M,,,,0.029M,43.01M,165.01M,6.306M,1.871M,8.177M,2.727M,10.90M,0.92M,,,,,,3.10M,3.10M,,23.29M,,,,5.344M,5.344M,0.331M,5.675M,28.96M,0.397M,-262.00M,411.72M,11.72M,,-2.345M,136.04M
2012-09,4.497M,84.48M,88.98M,18.80M,18.80M,4.787M,5.433M,4.241M,14.46M,1.791M,,,124.03M,,,,,,,,,,6.268M,35.51M,,35.51M,,,,0.032M,41.81M,165.85M,5.211M,1.413M,6.624M,3.079M,9.703M,,,,,,,2.896M,2.896M,,19.70M,,,,5.117M,5.117M,0.354M,5.471M,25.17M,0.397M,-264.69M,409.52M,1.065M,,-3.492M,140.67M
2012-06,3.989M,77.23M,81.22M,18.34M,18.34M,4.39M,3.946M,4.141M,12.48M,1.749M,,,113.79M,,,,,,,,,,6.337M,34.74M,,34.74M,,,,0.033M,41.11M,154.90M,6.294M,1.108M,7.402M,3.165M,10.57M,,,,,,,2.687M,2.687M,,19.12M,,,,4.89M,4.89M,0.377M,5.267M,24.38M,0.395M,-270.16M,405.69M,1.065M,,-4.342M,130.52M
2012-03,5.99M,71.23M,77.22M,20.46M,20.46M,3.586M,4.098M,3.458M,11.14M,1.716M,,,110.54M,0.0,,,14.36M,,0.768M,1.147M,16.27M,-9.895M,6.378M,36.85M,,36.85M,0.00,,,0.148M,43.37M,153.91M,6.91M,0.948M,7.858M,1.534M,9.392M,0.726M,,,,,,3.025M,3.025M,,22.42M,,,,4.799M,4.799M,0.40M,5.199M,27.61M,0.393M,-273.28M,401.77M,0.827M,,-1.765M,126.30M
2011-12,5.092M,64.48M,69.57M,17.30M,17.30M,3.386M,3.719M,2.583M,9.688M,1.417M,,,97.98M,,,,,,,,,,6.413M,35.77M,0.459M,36.23M,,,,,42.64M,140.63M,5.206M,,5.206M,3.326M,8.532M,,,,,,,1.886M,1.886M,,17.86M,,,,4.565M,4.565M,0.423M,4.988M,22.85M,0.39M,-275.84M,397.09M,0.827M,,-3.036M,117.78M
2011-09,5.338M,55.48M,60.82M,15.49M,15.49M,3.742M,3.699M,1.77M,9.211M,1.407M,,,86.93M,,,,,,,,,,6.273M,37.56M,0.847M,38.41M,,,,,44.68M,131.61M,4.457M,,4.457M,9.158M,13.62M,,,,,,,1.819M,1.819M,,15.43M,,,,4.332M,4.332M,0.445M,4.777M,20.21M,0.386M,-278.76M,391.43M,0.827M,,-0.829M,111.40M
2011-06,4.151M,54.98M,59.13M,14.54M,14.54M,3.325M,3.944M,1.61M,8.879M,1.339M,,,83.89M,,,,,,,,,,6.214M,39.75M,1.279M,41.03M,,,,,47.24M,131.14M,4.964M,,4.964M,8.70M,13.66M,,,,,,,1.715M,1.715M,,15.38M,,,,4.106M,4.106M,0.469M,4.575M,19.95M,0.385M,-279.36M,389.22M,0.827M,,1.772M,111.18M
2011-03,5.831M,54.48M,60.31M,15.38M,15.38M,2.784M,3.689M,1.032M,7.505M,1.544M,,,84.74M,0.0,,,12.48M,,0.87M,0.967M,14.32M,-8.049M,6.273M,38.95M,1.632M,40.58M,,,,,46.85M,131.59M,6.283M,,6.283M,14.08M,20.36M,,,,,,,1.982M,1.982M,,22.34M,,,,4.01M,4.01M,0.492M,4.502M,26.84M,0.377M,-274.77M,379.22M,0.827M,,0.745M,104.74M
2010-12,4.193M,54.98M,59.17M,12.87M,12.87M,2.44M,3.018M,1.42M,6.878M,0.881M,,,79.80M,,,,,,,,,,6.06M,36.61M,1.887M,38.50M,,,,,44.56M,124.36M,3.556M,,3.556M,13.35M,16.91M,,,,,,,1.993M,1.993M,,18.90M,,,,3.768M,3.768M,0.515M,4.283M,23.18M,0.379M,-273.00M,377.01M,0.827M,,-2.382M,101.18M
2010-09,4.151M,49.98M,54.13M,14.99M,14.99M,2.292M,2.83M,1.909M,7.031M,1.215M,,,77.36M,,,,,,,,,,6.171M,37.60M,2.295M,39.90M,,,,,46.07M,123.43M,3.706M,,3.706M,11.94M,15.64M,,,,,,,1.529M,1.529M,,17.17M,,,,3.525M,3.525M,0.538M,4.063M,21.24M,0.378M,-272.20M,375.66M,0.827M,,-0.823M,102.20M
2010-06,3.941M,50.98M,54.92M,12.57M,12.57M,1.973M,1.708M,3.707M,7.388M,1.344M,,,76.22M,,,,,,,,,,6.115M,33.72M,2.389M,36.11M,,,,,42.23M,118.45M,4.274M,,4.274M,10.23M,14.51M,,,,,,,1.339M,1.339M,,15.84M,,,,3.282M,3.282M,0.561M,3.843M,19.69M,0.378M,-269.00M,373.89M,0.827M,,-5.68M,98.76M
2010-03,4.788M,53.48M,58.26M,13.52M,13.52M,2.759M,3.344M,3.108M,9.211M,1.676M,,,82.67M,0.0,,,11.60M,,0.515M,0.908M,13.02M,-6.268M,6.753M,37.17M,2.979M,40.15M,,,,,46.90M,129.57M,3.764M,,3.764M,13.01M,16.78M,,,,,,,1.289M,1.289M,,18.06M,,,,3.04M,3.04M,0.51M,3.55M,21.61M,0.375M,-263.02M,372.42M,0.827M,,-1.002M,107.96M
2009-12,3.236M,48.48M,51.71M,14.40M,14.40M,4.461M,2.888M,5.28M,12.63M,0.822M,,,79.56M,,,,,,,,,,7.225M,39.60M,3.549M,43.14M,0.00,,,0.302M,50.67M,130.23M,4.826M,,4.826M,10.89M,15.72M,,,,,,,1.098M,1.098M,,16.82M,,,,2.797M,2.797M,0.46M,3.257M,20.07M,0.375M,-263.99M,372.51M,0.827M,,2.097M,110.16M
2009-09,2.782M,49.55M,52.33M,13.40M,13.40M,4.755M,2.648M,6.708M,14.11M,0.992M,,,80.84M,,,,,,,,,,7.54M,40.31M,3.996M,44.31M,0.00,,,0.302M,52.15M,132.98M,5.239M,,5.239M,9.654M,14.89M,,,,,,,1.237M,1.237M,,16.13M,,,,2.554M,2.554M,0.41M,2.964M,19.09M,0.375M,-259.42M,370.17M,0.827M,,3.598M,113.89M
2009-06,1.971M,50.42M,52.39M,14.48M,14.48M,4.468M,2.462M,7.794M,14.72M,0.983M,,,82.57M,,,,,,,,,,7.679M,38.81M,4.222M,43.03M,2.08M,,,0.302M,53.09M,135.66M,4.916M,,4.916M,10.11M,15.03M,,,,,,,1.206M,1.206M,,16.23M,,,,2.312M,2.312M,0.361M,2.673M,18.91M,0.374M,-251.75M,367.71M,0.827M,,1.248M,116.76M
2009-03,1.785M,55.39M,57.18M,15.72M,15.72M,4.635M,2.509M,7.633M,14.78M,0.809M,,,88.49M,0.0,,,10.82M,,2.547M,2.696M,16.06M,-8.268M,7.792M,31.30M,4.359M,35.65M,3.721M,,,0.302M,47.47M,135.96M,5.55M,,5.55M,10.82M,16.37M,,,,,,,1.211M,1.211M,,17.58M,,,,2.086M,2.086M,0.31M,2.396M,19.98M,0.367M,-243.99M,362.10M,0.827M,,-1.663M,115.98M
2008-12,2.734M,61.05M,63.78M,14.17M,14.17M,5.321M,3.043M,9.412M,17.78M,0.666M,,,96.39M,,,,,,,,18.59M,-10.94M,7.649M,32.73M,4.982M,37.71M,,,,0.357M,45.72M,142.11M,3.947M,,3.947M,8.456M,12.40M,,,,,,,1.21M,1.21M,,13.61M,,,,1.894M,1.894M,0.26M,2.154M,15.77M,0.368M,-235.54M,360.12M,0.827M,,2.22M,126.34M
2008-09,2.916M,47.61M,50.52M,14.60M,14.60M,8.114M,5.544M,5.10M,18.76M,0.971M,,15.79M,100.64M,,,,,,,,17.80M,-10.94M,6.866M,33.11M,5.422M,38.53M,,,,0.485M,45.88M,146.53M,5.539M,,5.539M,7.748M,13.29M,,,,,,,0.911M,0.911M,,14.20M,,,,4.877M,4.877M,,4.877M,19.08M,0.368M,-227.84M,357.09M,0.774M,,-1.392M,127.45M
2008-06,1.627M,26.80M,28.43M,13.88M,13.88M,8.915M,5.894M,4.705M,19.51M,1.506M,,,63.33M,,,,,,,,18.17M,-10.94M,7.232M,37.03M,6.466M,43.50M,,,,0.565M,51.30M,114.63M,6.79M,,6.79M,7.821M,14.61M,,,,,,,1.072M,1.072M,,15.68M,,,,4.799M,4.799M,0.073M,4.872M,20.56M,0.337M,-221.51M,310.50M,0.116M,,4.856M,94.07M
2008-03,2.042M,36.26M,38.30M,14.07M,14.07M,7.419M,4.748M,5.261M,17.43M,1.705M,,,71.50M,0.0,,2.434M,14.89M,,1.167M,,18.49M,-10.94M,7.551M,31.56M,6.921M,38.48M,,,,0.493M,46.53M,118.03M,9.024M,,9.024M,9.29M,18.31M,,,,,,,1.162M,1.162M,,19.48M,,,,4.74M,4.74M,0.221M,4.961M,24.44M,0.328M,-212.39M,300.79M,0.116M,,4.989M,93.59M
2007-12,5.576M,44.46M,50.03M,11.68M,11.68M,6.843M,4.129M,5.297M,16.27M,1.044M,,,79.03M,0.0,,2.518M,19.98M,,0.822M,,23.32M,-15.88M,7.446M,29.16M,6.808M,35.97M,,,,3.674M,47.09M,126.12M,7.413M,,7.413M,8.476M,15.89M,,,,,,,1.213M,1.213M,,17.10M,,,,3.077M,3.077M,1.937M,5.014M,22.12M,0.326M,-197.42M,298.43M,0.116M,,2.786M,104.00M
2007-09,59.52M,,59.52M,8.615M,8.615M,6.913M,2.455M,5.232M,14.60M,1.661M,,,84.39M,0.0,,2.527M,18.65M,,1.238M,,22.41M,-15.38M,7.033M,28.40M,6.989M,35.38M,,,,,42.42M,126.81M,5.312M,,5.312M,6.582M,11.89M,,,,,,,0.774M,0.774M,,12.67M,,,,2.458M,2.458M,0.275M,2.733M,15.40M,0.325M,-189.12M,298.25M,0.116M,,2.075M,111.41M
