,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2013-12,1.736B,1.736B,1.247B,489.00M,1.00M,60.00M,99.00M,0.00,-99.00M,,225.00M,264.00M,0.00,99.00M,-99.00M,-1.00M,-99.00M,164.00M,62.00M,102.00M,,,0.00,,102.00M,165.00M,263.00M,,2013-12,0.3849,0.3826,0.38,,2013-12,0.375,0.3727,0.37,,272.80M,0.255,,2013-12,AOR,Restated
2013-09,1.445B,1.445B,929.00M,516.00M,1.00M,54.00M,99.00M,1.00M,-98.00M,,199.00M,317.00M,1.00M,99.00M,-98.00M,-1.00M,-98.00M,218.00M,91.00M,127.00M,,,-1.00M,,126.00M,145.00M,317.00M,,2013-09,0.48,0.4775,0.48,,2013-09,0.46,0.4576,0.46,,272.00M,0.255,,2013-09,AOR,Restated
2013-06,1.406B,1.406B,987.00M,419.00M,1.00M,50.00M,102.00M,2.00M,-100.00M,,187.00M,232.00M,2.00M,102.00M,-100.00M,3.00M,-100.00M,135.00M,54.00M,81.00M,,,-1.00M,,80.00M,137.00M,237.00M,,2013-06,0.30,0.2977,0.30,,2013-06,0.29,0.2878,0.29,,272.20M,0.255,,2013-06,AOR,Restated
2013-03,1.979B,1.979B,1.399B,580.00M,3.00M,70.00M,98.00M,,-98.00M,,251.00M,329.00M,,98.00M,-98.00M,8.00M,-98.00M,239.00M,95.00M,144.00M,,,,,144.00M,181.00M,337.00M,,2013-03,0.55,0.5431,0.55,,2013-03,0.53,0.5233,0.53,,270.90M,0.255,,2013-03,AOR,Restated
2012-12,1.67B,1.67B,1.24B,430.00M,1.00M,59.00M,96.00M,2.00M,-94.00M,,217.00M,213.00M,2.00M,96.00M,-94.00M,-10.00M,-94.00M,109.00M,42.00M,67.00M,0.00,,0.00,,67.00M,158.00M,205.00M,,2012-12,0.2534,0.2510,0.25,,2012-12,0.2473,0.2450,0.25,,270.10M,0.24,,2012-12,AOR,Restated
2012-09,1.507B,1.507B,974.00M,533.00M,3.00M,53.00M,96.00M,1.00M,-95.00M,,191.00M,342.00M,1.00M,96.00M,-95.00M,6.00M,-95.00M,247.00M,98.00M,149.00M,0.00,,-1.00M,,148.00M,138.00M,343.00M,,2012-09,0.5630,0.5561,0.56,,2012-09,0.5502,0.5435,0.55,,269.00M,0.24,,2012-09,AOR,Restated
2012-06,1.333B,1.333B,895.00M,438.00M,2.00M,48.00M,98.00M,1.00M,-97.00M,,178.00M,260.00M,1.00M,98.00M,-97.00M,5.00M,-97.00M,168.00M,67.00M,101.00M,0.00,,-1.00M,,100.00M,130.00M,266.00M,,2012-06,0.3828,0.3782,0.38,,2012-06,0.3729,0.3684,0.37,,268.20M,0.24,,2012-06,AOR,Restated
2012-03,1.743B,1.743B,1.314B,429.00M,2.00M,69.00M,99.00M,1.00M,-98.00M,,241.00M,188.00M,1.00M,99.00M,-98.00M,8.00M,-98.00M,98.00M,38.00M,60.00M,7.00M,,,,67.00M,172.00M,197.00M,,2012-03,0.2347,0.2300,0.23,,2012-03,0.2249,0.2203,0.22,,266.80M,0.24,,2012-03,AOR,Restated
2011-12,1.62B,1.62B,2.118B,-498.00M,-2.00M,54.00M,102.00M,1.00M,-101.00M,,-672.00M,174.00M,1.00M,102.00M,-101.00M,-9.00M,-101.00M,64.00M,23.00M,41.00M,0.00,,0.00,,41.00M,142.00M,166.00M,,2011-12,0.1667,0.1718,0.16,,2011-12,0.1480,0.1528,0.14,,266.70M,0.21,,2011-12,AOR,Restated
2011-09,1.464B,1.464B,694.00M,770.00M,1.00M,33.00M,104.00M,4.00M,-100.00M,301.00M,454.00M,316.00M,4.00M,104.00M,-100.00M,5.00M,-100.00M,221.00M,81.00M,140.00M,0.00,,-1.00M,,139.00M,120.00M,325.00M,,2011-09,0.55,0.5475,0.55,,2011-09,0.53,0.5276,0.53,,263.90M,0.21,,2011-09,AOR,Restated
2011-06,1.364B,1.364B,696.00M,668.00M,4.00M,51.00M,104.00M,2.00M,-102.00M,,461.00M,207.00M,2.00M,104.00M,-102.00M,6.00M,-102.00M,111.00M,10.00M,101.00M,0.00,,-1.00M,,100.00M,122.00M,215.00M,,2011-06,0.40,0.3855,0.40,,2011-06,0.38,0.3661,0.38,,261.90M,0.21,,2011-06,AOR,Restated
2011-03,2.055B,2.055B,1.241B,814.00M,3.00M,67.00M,105.00M,2.00M,-103.00M,,508.00M,306.00M,2.00M,105.00M,-103.00M,7.00M,-103.00M,210.00M,77.00M,133.00M,2.00M,,,,135.00M,162.00M,315.00M,,2011-03,0.53,0.5224,0.54,,2011-03,0.51,0.5027,0.52,,261.70M,0.21,,2011-03,AOR,Restated
2010-12,1.682B,1.682B,2.174B,-492.00M,-69.00M,54.00M,107.00M,5.00M,-102.00M,,-700.00M,208.00M,5.00M,107.00M,-102.00M,-58.00M,-102.00M,48.00M,17.00M,31.00M,-6.00M,,0.00,0.00,25.00M,140.00M,155.00M,,2010-12,0.12,0.3051,0.02,,2010-12,0.10,0.2700,0.02,,262.20M,0.21,,2010-12,AOR,Restated
2010-09,1.443B,1.443B,671.00M,772.00M,10.00M,49.00M,102.00M,5.00M,-97.00M,,455.00M,317.00M,5.00M,102.00M,-97.00M,13.00M,-97.00M,233.00M,87.00M,146.00M,0.00,,-1.00M,11.00M,145.00M,133.00M,335.00M,,2010-09,0.58,0.5526,0.63,,2010-09,0.53,0.5054,0.57,,254.70M,0.15,,2010-09,AOR,Restated
2010-06,1.34B,1.34B,664.00M,676.00M,62.00M,41.00M,117.00M,4.00M,-113.00M,,468.00M,208.00M,4.00M,117.00M,-113.00M,64.00M,-113.00M,159.00M,59.00M,100.00M,-16.00M,,-2.00M,2.00M,82.00M,131.00M,276.00M,,2010-06,0.42,0.2491,0.35,,2010-06,0.39,0.2325,0.32,,247.60M,0.15,,2010-06,AOR,Restated
2010-03,1.967B,1.967B,1.215B,752.00M,8.00M,66.00M,105.00M,5.00M,-100.00M,,513.00M,239.00M,5.00M,105.00M,-100.00M,11.00M,-100.00M,150.00M,61.00M,89.00M,-1.00M,,,3.00M,88.00M,172.00M,255.00M,,2010-03,0.38,0.3572,0.37,,2010-03,0.35,0.3289,0.34,,246.50M,0.15,,2010-03,AOR,Restated
2009-12,1.613B,1.613B,994.00M,619.00M,28.00M,53.00M,128.00M,5.00M,-123.00M,,524.00M,95.00M,5.00M,128.00M,-123.00M,28.00M,-123.00M,0.00,-14.00M,14.00M,-3.00M,,-2.00M,3.00M,9.00M,148.00M,128.00M,,2009-12,0.04,-0.0829,0.03,,2009-12,0.03,-0.0845,0.01,,244.50M,0.125,,2009-12,AOR,Restated
2009-09,1.263B,1.263B,581.00M,682.00M,-8.00M,51.00M,103.00M,5.00M,-98.00M,273.00M,452.00M,230.00M,5.00M,103.00M,-98.00M,-9.00M,-98.00M,123.00M,47.00M,76.00M,-1.00M,,-6.00M,2.00M,69.00M,128.00M,226.00M,,2009-09,0.30,0.3217,0.29,,2009-09,0.29,0.3107,0.28,,238.50M,0.125,,2009-09,AOR,Restated
2009-06,1.225B,1.225B,608.00M,617.00M,30.00M,48.00M,98.00M,4.00M,-94.00M,298.00M,467.00M,150.00M,4.00M,98.00M,-94.00M,30.00M,-94.00M,87.00M,32.00M,55.00M,25.00M,,-2.00M,3.00M,78.00M,121.00M,185.00M,,2009-06,0.22,0.1364,0.33,,2009-06,0.21,0.1292,0.32,,234.60M,0.125,,2009-06,AOR,Restated
2009-03,2.104B,2.104B,1.387B,717.00M,12.00M,65.00M,100.00M,4.00M,-96.00M,269.00M,507.00M,210.00M,4.00M,100.00M,-96.00M,12.00M,-96.00M,125.00M,50.00M,75.00M,-1.00M,,-1.00M,3.00M,73.00M,173.00M,225.00M,,2009-03,0.32,0.2882,0.31,,2009-03,0.31,0.2791,0.30,,233.20M,0.125,,2009-03,AOR,Restated
2008-12,1.83B,1.83B,2.716B,-886.00M,-14.00M,48.00M,,,,-1.271B,-1.071B,185.00M,,,,-14.00M,,78.00M,13.00M,65.00M,,,-1.00M,3.00M,59.00M,125.00M,231.00M,,2008-12,0.23,0.2804,0.23,,2008-12,0.23,0.2795,0.23,,235.90M,0.09,,2008-12,,Restated
2008-09,1.428B,1.428B,579.00M,849.00M,3.00M,47.00M,,,,460.00M,642.00M,207.00M,,,,3.00M,,117.00M,37.00M,80.00M,1.00M,,-2.00M,2.00M,81.00M,163.00M,207.00M,,2008-09,0.35,0.3408,0.36,,2008-09,0.33,0.3212,0.34,,234.30M,0.09,,2008-09,,
2008-06,1.365B,1.365B,783.00M,582.00M,6.00M,48.00M,97.00M,9.00M,-88.00M,250.00M,426.00M,156.00M,9.00M,97.00M,-88.00M,6.00M,-88.00M,73.00M,24.00M,49.00M,-1.00M,,-1.00M,3.00M,47.00M,128.00M,170.00M,,2008-06,0.21,0.1921,0.20,,2008-06,0.19,0.1733,0.18,,240.60M,0.09,,2008-06,,Restated
2008-03,2.184B,2.184B,1.469B,715.00M,10.00M,60.00M,101.00M,9.00M,-92.00M,228.00M,461.00M,254.00M,9.00M,101.00M,-92.00M,10.00M,-92.00M,171.00M,63.00M,108.00M,,,-3.00M,3.00M,105.00M,173.00M,272.00M,,2008-03,0.45,0.4220,0.45,,2008-03,0.43,0.4034,0.43,,237.60M,0.09,,2008-03,,Restated
2007-12,1.674B,1.674B,2.615B,-941.00M,59.00M,46.00M,,,,-894.00M,-710.00M,-231.00M,,,,59.00M,,-259.00M,-137.00M,-122.00M,-2.00M,,-1.00M,3.00M,-124.00M,97.00M,-231.00M,,2007-12,-0.56,-0.7320,-0.57,,2007-12,-0.56,-0.7320,-0.57,,223.00M,0.05,,2007-12,,
2007-09,1.282B,1.282B,548.00M,734.00M,19.00M,53.00M,,,,366.00M,540.00M,194.00M,,,,19.00M,,130.00M,46.00M,84.00M,,,-4.00M,2.00M,84.00M,138.00M,194.00M,,2007-09,0.37,0.3149,0.37,,2007-09,0.34,0.2891,0.34,,241.30M,0.05,,2007-09,,
2007-06,1.319B,1.319B,472.00M,847.00M,5.00M,55.00M,,,,667.00M,843.00M,4.00M,,,,5.00M,,-84.00M,-29.00M,-55.00M,91.00M,,-3.00M,3.00M,36.00M,138.00M,4.00M,,2007-06,-0.26,-0.2749,0.15,,2007-06,-0.26,-0.2749,0.15,,220.00M,0.05,,2007-06,,
2007-03,2.189B,2.189B,440.00M,1.749B,31.00M,68.00M,,,,1.568B,1.796B,-47.00M,,,,31.00M,,-108.00M,-75.00M,-33.00M,-178.00M,,-2.00M,3.00M,-211.00M,172.00M,-47.00M,,2007-03,-0.17,-0.2613,-0.97,,2007-03,-0.17,-0.2613,-0.97,,220.62M,0.05,,2007-03,,
2006-12,1.722B,1.722B,2.466B,-744.00M,105.00M,48.00M,,,,-760.00M,-564.00M,-180.00M,,,,105.00M,,-91.00M,-40.00M,-51.00M,22.00M,,73.00M,3.00M,-29.00M,158.00M,-180.00M,,2006-12,-0.25,-0.5517,-0.15,,2006-12,-0.25,-0.5517,-0.15,,208.82M,0.00,,2006-12,,
2006-09,1.288B,1.288B,457.00M,831.00M,30.00M,-21.00M,,,,774.00M,877.00M,-46.00M,,,,30.00M,,-153.00M,-41.00M,-112.00M,11.00M,,-38.00M,2.00M,-101.00M,106.00M,-46.00M,,2006-09,-0.52,-0.6202,-0.47,,2006-09,-0.52,-0.6202,-0.47,,219.15M,0.00,,2006-09,,
2006-06,1.219B,1.219B,374.00M,845.00M,29.00M,55.00M,,,,608.00M,784.00M,61.00M,,,,29.00M,,-17.00M,-80.00M,63.00M,12.00M,,,3.00M,75.00M,139.00M,61.00M,,2006-06,0.27,0.1902,0.33,,2006-06,0.26,0.1851,0.31,,232.26M,0.00,,2006-06,,
2006-03,1.973B,1.973B,472.00M,1.501B,-1.00M,76.00M,,,,1.286B,1.52B,-19.00M,,,,-1.00M,,-60.00M,-28.00M,-32.00M,8.00M,,69.00M,3.00M,-24.00M,173.00M,-19.00M,,2006-03,-0.16,-0.1573,-0.12,,2006-03,-0.16,-0.1573,-0.12,,225.00M,0.00,,2006-03,,
2005-12,1.458B,1.458B,2.172B,-714.00M,-1.00M,26.00M,,,,-694.00M,-563.00M,-151.00M,,,,-1.00M,,-124.00M,-64.00M,-60.00M,,,65.00M,3.00M,-3.00M,126.00M,-151.00M,,2005-12,-0.29,-0.2873,-0.02,,2005-12,-0.29,-0.2873,-0.02,,225.97M,0.00,,2005-12,,
2005-09,1.335B,1.335B,446.00M,889.00M,50.00M,59.00M,,,,1.553B,1.733B,-844.00M,,,,50.00M,,-428.00M,-165.00M,-263.00M,,,479.00M,2.00M,-263.00M,121.00M,-844.00M,,2005-09,-1.21,-1.350,-1.21,,2005-09,-1.21,-1.350,-1.21,,219.01M,0.00,,2005-09,,
2005-06,1.23B,1.23B,319.00M,911.00M,40.00M,66.00M,,,,654.00M,842.00M,69.00M,,,,40.00M,,5.00M,-25.00M,30.00M,,,14.00M,3.00M,30.00M,122.00M,69.00M,,2005-06,0.12,0.0133,0.12,,2005-06,0.12,0.0133,0.12,,225.00M,0.00,,2005-06,,
2005-03,1.845B,1.845B,63.00M,1.782B,45.00M,75.00M,,,,1.131B,1.362B,420.00M,,,,45.00M,,226.00M,74.00M,152.00M,,,-113.00M,2.00M,152.00M,156.00M,420.00M,,2005-03,0.77,0.6146,0.77,,2005-03,0.74,0.5907,0.74,,202.70M,0.00,,2005-03,,
2004-12,1.562B,1.562B,303.00M,1.259B,14.00M,70.00M,,,,906.00M,1.041B,218.00M,,,,14.00M,,46.00M,-13.00M,59.00M,-10.00M,0.00,2.00M,2.00M,49.00M,65.00M,218.00M,,2004-12,0.32,0.2763,0.26,,2004-12,0.31,0.2663,0.26,,192.31M,0.00,,2004-12,,
2004-09,1.063B,1.063B,315.00M,748.00M,69.00M,64.00M,,,,430.00M,608.00M,140.00M,,,,69.00M,,69.00M,18.00M,51.00M,8.00M,,-5.00M,3.00M,59.00M,114.00M,140.00M,,2004-09,0.30,-0.0188,0.35,,2004-09,0.29,-0.0196,0.34,,164.71M,0.00,,2004-09,,
2004-06,1.093B,1.093B,264.00M,829.00M,46.00M,62.00M,,,,552.00M,722.00M,107.00M,,,,46.00M,,12.00M,-7.00M,19.00M,,,-1.00M,3.00M,19.00M,108.00M,107.00M,,2004-06,0.10,-0.0725,0.10,,2004-06,0.10,-0.0725,0.10,,160.00M,0.00,,2004-06,,
2004-03,1.754B,1.754B,249.00M,1.505B,22.00M,74.00M,,,,1.161B,1.379B,126.00M,,,,22.00M,,-5.00M,-3.00M,-2.00M,-2.00M,-2.00M,-11.00M,3.00M,-6.00M,144.00M,126.00M,,2004-03,-0.04,-0.128,-0.06,,2004-03,-0.04,-0.128,-0.06,,150.00M,0.00,,2004-03,,
2003-12,1.372B,1.372B,-1.065B,2.437B,47.00M,57.00M,,,,2.194B,2.371B,66.00M,,,,47.00M,,-25.00M,10.00M,-35.00M,43.00M,0.00,,,7.00M,154.00M,66.00M,,2003-12,-0.24,-0.3967,0.06,,2003-12,-0.24,-0.3967,0.06,,180.00M,0.00,,2003-12,,
2003-09,1.047B,1.047B,523.00M,524.00M,19.00M,58.00M,,,,326.00M,474.00M,50.00M,,,,19.00M,,-96.00M,-25.00M,-71.00M,2.00M,,-11.00M,,-69.00M,90.00M,50.00M,,2003-09,-0.47,-0.5637,-0.46,,2003-09,-0.47,-0.5637,-0.46,,150.00M,0.00,,2003-09,,
2003-06,1.126B,1.126B,324.00M,802.00M,45.00M,7.00M,,,,579.00M,676.00M,126.00M,,,,45.00M,,22.00M,34.00M,-12.00M,-53.00M,,-1.00M,,-65.00M,90.00M,126.00M,,2003-06,-0.08,-0.2669,-0.45,,2003-06,-0.08,-0.2669,-0.45,,144.44M,0.00,,2003-06,,
