,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-03,1.412B,1.412B,22.00M,602.00M,624.00M,1.00M,17.00M,32.00M,-32.00M,593.00M,-28.00M,893.00M,438.00M,119.00M,319.00M,,,-1.00M,9.00M,318.00M,341.26M,98.00M,538.00M,,0.36,,,0.3875,0.36,,0.36,,,0.3871,0.36,,845.86M,857.92M,0.12,,AOR,Restated
2013-12,1.516B,1.516B,23.00M,623.00M,646.00M,,16.00M,31.00M,-37.00M,609.00M,74.00M,900.00M,561.00M,159.00M,402.00M,,,1.00M,19.00M,403.00M,429.51M,97.00M,663.00M,,0.44,,,0.4705,0.44,,0.43,,,0.4602,0.43,,868.06M,877.32M,0.12,,AOR,Restated
2013-09,1.478B,1.478B,32.00M,615.00M,647.00M,2.00M,15.00M,29.00M,56.00M,705.00M,96.00M,893.00M,604.00M,183.00M,421.00M,,,0.00,,421.00M,385.45M,134.00M,703.00M,,0.47,,,0.4296,0.47,,0.47,,,0.4300,0.47,,880.18M,888.11M,0.12,,AOR,Restated
2013-06,1.646B,1.646B,32.00M,632.00M,664.00M,2.00M,13.00M,27.00M,215.00M,881.00M,319.00M,880.00M,841.00M,250.00M,591.00M,,,0.00,9.00M,591.00M,443.37M,139.00M,945.00M,,0.67,,,0.4981,0.67,,0.65,,,0.4861,0.65,,858.58M,900.63M,0.12,,AOR,Restated
2013-03,1.583B,1.583B,26.00M,656.00M,682.00M,2.00M,12.00M,20.00M,-20.00M,664.00M,46.00M,888.00M,591.00M,179.00M,412.00M,,,10.00M,9.00M,422.00M,442.88M,137.00M,698.00M,,0.47,,,0.4940,0.47,,0.46,,,0.4829,0.46,,870.92M,913.16M,0.11,,AOR,Restated
2012-12,1.557B,1.557B,30.00M,679.00M,709.00M,3.00M,12.00M,22.00M,-191.00M,521.00M,-33.00M,899.00M,540.00M,145.00M,395.00M,,,3.00M,9.00M,398.00M,545.03M,143.00M,657.00M,,0.44,,,0.6062,0.44,,0.43,,,0.5889,0.43,,884.53M,925.44M,0.10,,AOR,Restated
2012-09,1.519B,1.519B,39.00M,617.00M,656.00M,3.00M,11.00M,22.00M,-22.00M,637.00M,-10.00M,903.00M,503.00M,139.00M,364.00M,,,-1.00M,9.00M,363.00M,386.86M,134.00M,623.00M,,0.39,,,0.4164,0.39,,0.38,,,0.4053,0.38,,904.47M,944.82M,0.10,,AOR,Restated
2012-06,1.517B,1.517B,36.00M,599.00M,635.00M,4.00M,10.00M,19.00M,-19.00M,620.00M,48.00M,895.00M,565.00M,180.00M,385.00M,,,0.00,9.00M,385.00M,410.92M,126.00M,697.00M,,0.41,,,0.4384,0.41,,0.40,,,0.4271,0.40,,913.54M,954.62M,0.08,,AOR,Restated
2012-03,1.546B,1.546B,23.00M,624.00M,647.00M,4.00M,10.00M,27.00M,-27.00M,624.00M,-10.00M,898.00M,603.00M,173.00M,430.00M,,,0.00,9.00M,430.00M,461.42M,128.00M,745.00M,,0.46,,,0.4943,0.46,,0.45,,,0.4828,0.45,,915.23M,957.42M,0.08,,AOR,Restated
2011-12,1.289B,1.289B,,879.00M,994.00M,,,,,994.00M,-41.00M,916.00M,418.00M,104.00M,314.00M,,,0.00,9.00M,314.00M,314.00M,129.00M,560.00M,,0.33,,,0.33,0.33,,0.32,,,0.32,0.32,,915.09M,956.44M,0.08,,AOR,Restated
2011-09,1.563B,1.563B,,521.00M,521.00M,,,,,521.00M,32.00M,898.00M,530.00M,149.00M,381.00M,,,0.00,8.00M,381.00M,381.00M,111.00M,687.00M,,0.41,0.00,,0.41,0.41,,0.40,0.00,,0.40,0.40,,914.95M,955.49M,0.08,,AOR,Restated
2011-06,1.52B,1.52B,,521.00M,521.00M,,,,,521.00M,6.00M,864.00M,506.00M,169.00M,337.00M,,,0.00,9.00M,337.00M,337.00M,103.00M,687.00M,,0.36,0.00,,0.36,0.36,,0.35,0.00,,0.35,0.35,,914.60M,955.48M,0.06,,AOR,Restated
2011-03,1.463B,1.463B,,522.00M,522.00M,,,,,522.00M,13.00M,879.00M,377.00M,112.00M,265.00M,,,0.00,177.00M,265.00M,265.00M,112.00M,558.00M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,880.83M,894.84M,0.06,,AOR,Restated
2010-12,1.435B,1.435B,,929.00M,1.027B,,,,,1.027B,22.00M,914.00M,417.00M,84.00M,333.00M,,,0.00,63.00M,333.00M,333.00M,130.00M,607.00M,,0.34,,,0.34,0.34,,0.34,,,0.34,0.34,,790.41M,800.52M,0.01,,AOR,Restated
2010-09,1.739B,1.739B,,516.00M,516.00M,,,,,516.00M,4.00M,912.00M,303.00M,65.00M,238.00M,,,0.00,63.00M,238.00M,238.00M,121.00M,517.00M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,791.00M,797.00M,0.01,,AOR,
2010-06,1.502B,1.502B,,505.00M,505.00M,,,,,505.00M,8.00M,882.00M,242.00M,50.00M,192.00M,,,0.00,62.00M,192.00M,192.00M,109.00M,476.00M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,791.00M,802.00M,0.01,,AOR,Restated
2010-03,1.524B,1.524B,,485.00M,485.00M,,,,,485.00M,14.00M,897.00M,-22.00M,-12.00M,-10.00M,,,0.00,62.00M,-10.00M,-10.00M,97.00M,224.00M,,-0.09,0.00,,-0.09,-0.09,,-0.09,0.00,,-0.09,-0.09,,790.00M,790.00M,0.01,,AOR,Restated
2009-12,1.53B,1.53B,,475.00M,475.00M,,,,-1.371B,-896.00M,2.00M,878.00M,-214.00M,-116.00M,-98.00M,,,0.00,61.00M,-98.00M,793.15M,83.00M,51.00M,,-0.27,0.00,,0.8595,-0.27,,-0.27,0.00,,0.8595,-0.27,,789.00M,789.00M,0.01,,AOR,Restated
2009-09,1.726B,1.726B,,486.00M,486.00M,,,,-6.00M,480.00M,2.00M,869.00M,-108.00M,-11.00M,-97.00M,,,0.00,62.00M,-97.00M,-91.61M,76.00M,192.00M,,-0.20,0.00,,-0.1932,-0.20,,-0.20,0.00,,-0.1932,-0.20,,790.00M,790.00M,0.01,,AOR,Restated
2009-06,1.65B,1.65B,,541.00M,541.00M,,,,1.764B,2.305B,1.81B,831.00M,1.352B,470.00M,882.00M,,,,26.00M,882.00M,-268.78M,96.00M,1.70B,,1.35,0.00,,-0.4766,1.35,,1.15,0.00,,-0.4528,1.15,,630.00M,718.00M,0.01,,AOR,Restated
2009-03,1.473B,1.473B,,455.00M,455.00M,,,,,455.00M,-8.00M,776.00M,-262.00M,-312.00M,50.00M,,,,76.00M,50.00M,50.00M,86.00M,140.00M,,-0.04,0.00,,-0.04,-0.04,,-0.04,0.00,,-0.04,-0.04,,572.00M,572.00M,0.01,,AOR,Restated
2008-12,1.535B,1.535B,,519.00M,519.00M,,,,-1.389B,-870.00M,55.00M,893.00M,-2.843B,-701.00M,-2.142B,,,,41.00M,-2.142B,-1.095B,-260.00M,-2.33B,,-3.92,0.00,,-2.087,-3.92,,-3.92,0.00,,-2.087,-3.92,,571.00M,571.00M,0.01,,AOR,Restated
2008-09,1.78B,1.78B,,510.00M,510.00M,,,,-346.00M,164.00M,-41.00M,1.063B,-128.00M,-72.00M,-56.00M,,,,25.00M,-56.00M,168.90M,96.00M,357.00M,,-0.14,0.00,,0.2532,-0.14,,-0.14,0.00,,0.2532,-0.14,,572.00M,572.00M,0.15,,AOR,
2008-06,1.46B,1.46B,,391.00M,391.00M,,,,,391.00M,-10.00M,738.00M,-117.00M,85.00M,-202.00M,,,,,-202.00M,-202.00M,107.00M,352.00M,,-0.37,0.00,,-0.37,-0.37,,-0.37,0.00,,-0.37,-0.37,,545.95M,545.95M,0.15,,,
2008-03,1.684B,1.684B,,432.00M,432.00M,,,,,432.00M,30.00M,820.00M,425.00M,139.00M,286.00M,,,,,286.00M,286.00M,65.00M,1.052B,,0.54,0.00,,0.54,0.54,,0.54,0.00,,0.54,0.54,,529.63M,529.63M,0.44,,,
2007-12,1.289B,1.289B,,498.00M,498.00M,,,,649.00M,1.147B,13.00M,780.00M,64.00M,47.00M,17.00M,,,,,17.00M,-404.85M,92.00M,834.00M,,0.04,0.00,,-0.7530,0.04,,0.04,0.00,,-0.7530,0.04,,532.00M,532.00M,0.44,,,Restated
2007-09,1.435B,1.435B,,483.00M,483.00M,,,,-274.00M,209.00M,13.00M,754.00M,443.00M,118.00M,325.00M,,,,,325.00M,526.02M,90.00M,1.218B,,0.61,0.00,,0.9893,0.61,,0.61,0.00,,0.9878,0.61,,530.00M,532.00M,0.42,,,Restated
2007-06,1.446B,1.446B,,377.00M,377.00M,,,,,377.00M,,739.00M,522.00M,146.00M,376.00M,,,,,376.00M,376.00M,95.00M,1.272B,,0.69,0.00,,0.69,0.69,,0.69,0.00,,0.69,0.69,,544.93M,544.93M,0.42,,,
2007-03,1.384B,1.384B,,379.00M,379.00M,,,,,379.00M,,736.00M,507.00M,148.00M,359.00M,,,,,359.00M,359.00M,90.00M,1.231B,,0.65,0.00,,0.65,0.65,,0.65,0.00,,0.65,0.65,,552.31M,552.31M,0.42,,,
2006-12,817.00M,817.00M,,361.00M,439.00M,,,,,439.00M,-395.00M,739.00M,52.00M,-13.00M,65.00M,,0.00,,,65.00M,65.00M,101.00M,858.00M,,0.12,0.00,0.00,0.12,0.12,,0.12,0.00,0.0000,0.12,0.12,,550.87M,552.99M,0.40,,,
2006-09,1.375B,1.375B,,362.00M,362.00M,,,,,362.00M,19.00M,713.00M,521.00M,144.00M,377.00M,,,,,377.00M,377.00M,105.00M,1.342B,,0.68,0.00,,0.68,0.68,,0.68,0.00,,0.68,0.68,,554.41M,554.41M,0.40,,,
2006-06,1.365B,1.365B,,372.00M,372.00M,,,,,372.00M,14.00M,710.00M,535.00M,153.00M,382.00M,,,,,382.00M,382.00M,99.00M,1.302B,,0.69,0.00,,0.69,0.69,,0.69,0.00,,0.69,0.69,,553.62M,553.62M,0.40,,,
2006-03,1.328B,1.328B,,371.00M,371.00M,,,,,371.00M,1.00M,711.00M,519.00M,160.00M,359.00M,,4.00M,,,363.00M,359.00M,94.00M,1.206B,,0.66,0.00,0.00,0.66,0.66,,0.65,0.00,0.0072,0.65,0.65,,550.00M,558.46M,0.38,,,
2005-12,1.237B,1.237B,-22.00M,352.00M,330.00M,,,,,330.00M,1.00M,727.00M,467.00M,135.00M,332.00M,,,,0.00,332.00M,332.00M,99.00M,1.092B,,0.60,0.00,,0.60,0.60,,0.59,0.00,,0.59,0.59,,553.60M,561.98M,0.38,,,
2005-09,1.359B,1.359B,36.00M,355.00M,391.00M,,,,,391.00M,8.00M,737.00M,558.00M,163.00M,395.00M,,,,1.00M,395.00M,395.00M,110.00M,1.104B,,0.71,0.00,,0.71,0.71,,0.71,0.00,,0.71,0.71,,554.93M,554.93M,0.38,,,
2005-06,1.385B,1.385B,,362.00M,362.00M,,,,,362.00M,15.00M,750.00M,597.00M,180.00M,417.00M,,,,,417.00M,417.00M,101.00M,1.062B,,0.75,0.00,,0.75,0.75,,0.75,0.00,,0.75,0.75,,556.00M,556.00M,0.35,,,
2005-03,1.358B,1.358B,,347.00M,347.00M,,,,,347.00M,14.00M,751.00M,586.00M,181.00M,405.00M,,,,,405.00M,405.00M,95.00M,980.00M,,0.73,0.00,,0.73,0.73,,0.72,0.00,,0.72,0.72,,554.79M,562.50M,0.35,,,
2004-12,1.222B,1.222B,,322.00M,421.00M,,,,,421.00M,-79.00M,743.00M,223.00M,47.00M,176.00M,,,,0.00,176.00M,176.00M,106.00M,561.00M,,0.32,0.00,,0.32,0.32,,0.31,0.00,,0.31,0.31,,556.18M,568.30M,0.35,,,
2004-09,1.368B,1.368B,,316.00M,316.00M,,,,,316.00M,16.00M,757.00M,694.00M,223.00M,471.00M,,,,1.00M,471.00M,471.00M,109.00M,980.00M,,0.84,0.00,,0.84,0.84,,0.83,0.00,,0.83,0.83,,559.52M,566.27M,0.32,,,
2004-06,1.511B,1.511B,,320.00M,320.00M,,,,,320.00M,,762.00M,680.00M,232.00M,448.00M,,,,,448.00M,448.00M,119.36M,918.00M,,0.80,0.00,,0.80,0.80,,0.79,0.00,,0.79,0.79,,560.00M,567.09M,0.32,,,
2004-03,1.376B,1.376B,,321.00M,321.00M,,,,,321.00M,25.59M,749.74M,640.84M,210.52M,430.32M,,,,0.185M,430.32M,430.32M,124.64M,881.22M,,0.76,0.00,,0.76,0.76,,0.75,0.00,,0.75,0.75,,565.96M,573.51M,0.32,,,
2003-12,1.325B,1.325B,,271.00M,271.00M,,,,,271.00M,2.00M,734.00M,601.00M,184.00M,417.00M,,0.00,0.00,0.00,461.00M,417.00M,138.00M,855.00M,,0.87,0.07,0.00,0.87,0.94,,0.86,0.07,-0.0011,0.86,0.93,,464.22M,468.37M,0.29,,,
2003-09,1.405B,1.405B,,287.00M,287.00M,,,,,287.00M,15.00M,725.00M,660.00M,213.00M,447.00M,,-11.00M,,,436.00M,447.00M,173.86M,918.00M,,0.75,0.00,0.00,0.75,0.73,,0.74,0.00,-0.0184,0.74,0.72,,597.26M,605.56M,0.29,,,
2003-06,1.357B,1.357B,,334.10M,334.10M,,,,,334.10M,40.65M,739.33M,616.79M,202.47M,414.32M,1.136M,,-10.23M,0.185M,415.46M,414.32M,119.62M,897.38M,,0.72,0.00,,0.72,0.72,,0.71,0.00,,0.71,0.71,,576.77M,584.89M,0.29,,,
2003-03,1.292B,1.292B,,329.36M,329.36M,,,,,329.36M,25.92M,706.24M,582.60M,193.47M,389.13M,0.813M,,-10.23M,0.185M,389.95M,389.13M,118.52M,876.66M,,0.68,0.00,,0.68,0.68,,0.67,0.00,,0.67,0.67,,573.18M,581.73M,0.26,,,
2002-12,1.281B,1.281B,,302.88M,302.88M,,,,,302.88M,-17.59M,698.14M,631.05M,207.21M,423.84M,,,-9.72M,0.445M,423.84M,423.84M,97.85M,960.35M,,0.55,0.01,,0.55,0.56,,0.54,0.01,,0.54,0.55,,730.88M,742.28M,0.26,,,
2002-09,1.285B,1.285B,,267.05M,267.05M,,,,,267.05M,123.13M,677.67M,601.22M,184.48M,416.74M,,,-9.422M,0.185M,416.74M,416.74M,94.34M,960.10M,,0.72,0.00,,0.72,0.72,,0.70,0.00,,0.70,0.70,,580.50M,592.02M,0.26,,,
2002-06,1.185B,1.185B,,269.50M,269.50M,,,,,269.50M,35.86M,678.02M,591.54M,187.28M,404.26M,,,-9.429M,0.185M,404.26M,404.26M,83.20M,960.83M,,0.69,0.00,,0.69,0.69,,0.68,0.00,,0.68,0.68,,581.81M,594.26M,0.23,,,
2002-03,1.142B,1.142B,,267.57M,267.57M,,,,,267.57M,-27.40M,646.17M,570.18M,180.03M,390.15M,,,-9.429M,0.185M,390.15M,390.15M,62.61M,941.73M,,0.67,0.00,,0.67,0.67,,0.66,0.00,,0.66,0.66,,582.58M,594.98M,0.23,,,
2001-12,1.123B,1.123B,,247.54M,247.54M,,,,,247.54M,90.99M,628.92M,554.94M,168.83M,386.11M,,-0.219M,,0.445M,385.89M,386.11M,72.44M,991.91M,,0.51,0.00,0.00,0.51,0.51,,0.49,0.00,0.0007,0.49,0.49,,789.60M,801.19M,0.23,,,
2001-09,1.073B,1.073B,,249.22M,249.22M,,,,-129.37M,119.85M,72.90M,607.96M,406.63M,127.03M,279.60M,,,,0.185M,279.60M,368.56M,66.21M,954.18M,,0.48,0.00,,0.6341,0.48,,0.47,0.00,,0.6198,0.47,,577.25M,593.76M,0.20,,,
2001-06,1.033B,1.033B,,255.16M,255.16M,,,,-219.23M,35.93M,2.788M,607.72M,239.16M,110.27M,128.89M,,,,0.185M,128.89M,260.43M,39.39M,859.86M,,0.22,0.00,,0.4489,0.22,,0.22,0.00,,0.4429,0.22,,574.54M,590.23M,0.20,,,
2001-03,1.002B,1.002B,,241.09M,241.09M,,,,,241.09M,4.319M,588.40M,450.27M,143.87M,306.40M,,-6.781M,,0.185M,299.62M,306.40M,57.96M,1.121B,,0.52,0.00,0.00,0.52,0.52,,0.51,0.00,-0.0119,0.51,0.51,,571.18M,586.85M,0.20,,,
2000-12,960.09M,960.09M,,228.95M,228.95M,,,,-0.027M,228.92M,5.64M,572.29M,465.54M,146.46M,319.08M,,,,0.445M,319.08M,319.09M,47.62M,1.185B,,0.40,0.00,,0.4000,0.40,,0.40,0.00,,0.4000,0.40,,465.65M,465.65M,0.18,,,
2000-09,939.96M,939.96M,,229.21M,229.21M,,,,,229.21M,0.42M,567.00M,456.37M,146.69M,309.68M,,,,0.185M,309.68M,309.68M,73.76M,1.165B,,0.55,0.00,,0.55,0.55,,0.54,0.00,,0.54,0.54,,565.44M,578.44M,0.18,,,
2000-06,612.78M,612.78M,,132.63M,132.63M,,,,,132.63M,-0.16M,364.72M,283.19M,91.10M,192.09M,,,,,192.09M,192.09M,30.64M,736.39M,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,464.74M,476.31M,0.18,,,
2000-03,603.61M,603.61M,,135.61M,135.61M,,,,,135.61M,0.522M,363.44M,308.36M,101.99M,206.37M,,,,,206.37M,206.37M,27.97M,712.09M,,0.45,0.00,,0.45,0.45,,0.44,0.00,,0.44,0.44,,463.78M,474.62M,0.16,,,
