,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-06,3.312B,25.20B,28.51B,,,,,28.51B,826.00M,1.779B,1.647B,667.00M,98.00M,406.00M,5.423B,-2.265B,3.158B,2.416B,948.00M,3.364B,91.17B,1.458B,,89.71B,25.76B,129.25B,132.56B,,,,,1.824B,3.146B,3.146B,3.146B,5.123B,13.96B,13.96B,95.95B,,39.00M,109.91B,117.05B,,3.382B,10.67B,2.613B,1.574B,1.331B,382.00M,15.47B,,AOR,Restated
2014-03,3.153B,22.95B,26.10B,,,,,26.10B,,,,3.242B,,,3.242B,,3.242B,2.416B,993.00M,3.409B,90.48B,1.483B,,89.00B,23.49B,126.50B,129.65B,,,,,1.669B,2.717B,2.717B,2.717B,4.654B,11.23B,11.23B,96.87B,,38.00M,108.11B,114.79B,,3.085B,10.36B,2.674B,1.492B,1.034B,196.00M,14.83B,,AOR,Restated
2013-12,3.178B,23.71B,26.89B,1.794B,12.00M,1.806B,94.00M,30.34B,838.00M,1.763B,1.581B,730.00M,118.00M,397.00M,5.427B,-2.166B,3.261B,2.416B,990.00M,3.406B,89.56B,1.582B,,87.98B,26.37B,121.92B,130.44B,,,,,1.758B,1.38B,1.38B,1.38B,3.422B,9.633B,9.633B,99.28B,,37.00M,108.91B,115.82B,,3.085B,10.16B,2.561B,1.295B,1.034B,82.00M,14.59B,,AOR,Restated
2013-09,2.887B,20.70B,23.59B,,,,,23.59B,,,,3.235B,,,3.235B,,3.235B,2.416B,940.00M,3.356B,88.56B,1.677B,,86.88B,21.21B,122.79B,125.67B,,,,,1.692B,3.487B,3.487B,3.487B,5.404B,8.098B,8.098B,94.13B,,39.00M,102.22B,110.99B,,2.644B,9.876B,2.565B,662.00M,593.00M,218.00M,14.64B,,AOR,Restated
2013-06,2.39B,17.30B,19.69B,,,,,19.69B,,,,3.185B,,,3.185B,,3.185B,2.416B,922.00M,3.338B,89.18B,1.735B,,87.44B,17.79B,120.97B,123.36B,,,,,1.619B,2.112B,2.112B,2.112B,4.367B,6.94B,6.94B,93.45B,,38.00M,100.39B,109.08B,,3.042B,9.561B,2.689B,1.202B,991.00M,149.00M,14.24B,,AOR,Restated
2013-03,2.186B,17.55B,19.74B,,,,,19.74B,,,,3.138B,,,3.138B,,3.138B,2.416B,797.00M,3.213B,88.37B,1.783B,,86.58B,18.05B,119.20B,121.38B,,,,,1.599B,2.439B,2.439B,2.439B,4.424B,8.32B,8.32B,91.62B,,38.00M,99.94B,107.46B,,2.449B,9.084B,2.782B,766.00M,398.00M,333.00M,13.88B,,AOR,Restated
2012-12,2.441B,17.63B,20.07B,1.524B,10.00M,1.534B,80.00M,23.66B,841.00M,1.692B,1.46B,581.00M,141.00M,386.00M,5.101B,-1.978B,3.123B,2.416B,724.00M,3.14B,88.72B,1.854B,,86.87B,20.34B,113.59B,121.89B,,,,,1.708B,6.28B,6.28B,6.28B,8.889B,7.085B,7.085B,89.52B,,48.00M,96.60B,108.13B,,2.449B,8.768B,2.758B,634.00M,398.00M,375.00M,13.72B,,AOR,Restated
2012-09,2.49B,1.286B,3.776B,,,,,3.776B,,,,2.52B,,542.00M,3.062B,,3.062B,2.417B,709.00M,3.126B,84.86B,1.925B,,82.94B,17.18B,114.99B,117.48B,,,,1.588B,1.588B,5.503B,5.503B,5.503B,7.777B,8.127B,8.127B,84.69B,,51.00M,92.82B,103.71B,,2.449B,8.466B,2.733B,398.00M,398.00M,468.00M,13.72B,,AOR,Restated
2012-06,2.393B,1.964B,4.357B,,,,,4.357B,,,,2.506B,,511.00M,3.017B,,3.017B,2.417B,769.00M,3.186B,84.22B,2.016B,,82.21B,18.02B,115.15B,117.54B,,,,1.491B,1.491B,4.613B,4.613B,4.613B,6.745B,9.685B,9.685B,84.27B,,51.00M,93.96B,103.72B,,2.449B,8.201B,2.752B,83.00M,398.00M,454.00M,13.77B,,AOR,Restated
2012-03,2.235B,1.628B,3.863B,,,,,3.863B,,,,2.485B,,495.00M,2.98B,,2.98B,2.417B,803.00M,3.22B,83.70B,2.126B,,81.57B,18.24B,114.51B,116.75B,,,,1.436B,1.436B,2.877B,2.877B,2.877B,4.632B,9.648B,9.648B,85.79B,,50.00M,95.44B,103.14B,,2.449B,7.902B,2.803B,62.00M,398.00M,468.00M,13.56B,,AOR,Restated
2011-12,2.663B,17.14B,19.81B,1.337B,5.00M,1.342B,84.00M,23.59B,834.00M,1.623B,1.318B,497.00M,140.00M,394.00M,4.806B,-1.862B,2.944B,2.417B,721.00M,3.138B,83.97B,2.255B,,81.72B,19.63B,107.61B,116.97B,,,,,1.469B,3.239B,3.239B,3.239B,5.429B,9.307B,9.307B,85.71B,,50.00M,95.02B,103.72B,,2.449B,7.554B,2.792B,64.00M,398.00M,470.00M,13.20B,,AOR,Restated
2011-09,2.348B,2.028B,4.376B,,,,,4.376B,,,,2.41B,,462.00M,2.872B,,2.872B,2.417B,707.00M,3.124B,81.06B,2.439B,,78.62B,18.78B,112.56B,114.90B,,,,1.307B,1.307B,4.894B,4.894B,4.894B,6.628B,9.80B,9.80B,82.05B,,29.00M,91.85B,101.85B,,2.449B,7.323B,2.78B,65.00M,398.00M,542.00M,13.03B,,AOR,Restated
2011-06,2.38B,1.37B,3.75B,,,,,3.75B,,,,2.395B,,492.00M,2.887B,,2.887B,2.417B,896.00M,3.313B,79.15B,2.614B,,76.54B,17.43B,108.42B,110.80B,,,,1.067B,1.067B,2.702B,2.702B,2.702B,4.172B,10.15B,10.15B,80.60B,,29.00M,90.75B,98.20B,,2.449B,7.024B,2.769B,66.00M,398.00M,396.00M,12.57B,,AOR,Restated
2011-03,2.121B,2.481B,4.602B,,,,,4.602B,,,,2.389B,,513.00M,2.902B,,2.902B,2.417B,949.00M,3.366B,78.76B,2.805B,,75.95B,18.18B,108.36B,110.48B,,,,844.00M,844.00M,1.297B,1.297B,1.297B,2.473B,10.56B,10.56B,82.32B,,29.00M,92.87B,98.29B,,2.449B,6.752B,2.824B,125.00M,398.00M,263.00M,12.16B,,AOR,Restated
2010-12,2.159B,1.515B,3.674B,,,,,3.674B,797.00M,1.593B,1.296B,,92.00M,872.00M,4.65B,-1.782B,2.868B,2.417B,884.00M,3.301B,79.71B,3.004B,,76.70B,17.58B,108.85B,111.01B,,,,889.00M,889.00M,1.574B,1.574B,1.574B,2.742B,9.558B,9.558B,81.65B,,29.00M,91.21B,96.93B,,3.654B,6.719B,3.494B,130.00M,3.654B,314.00M,14.05B,,AOR,Restated
2010-06,2.216B,4.322B,6.538B,,,,,6.538B,,,2.374B,,,489.00M,2.863B,,2.863B,2.417B,729.00M,3.146B,78.38B,3.693B,,74.69B,20.97B,109.81B,112.02B,,,,721.00M,721.00M,1.556B,1.556B,1.556B,2.517B,10.99B,10.99B,82.12B,,,93.10B,98.32B,,5.41B,6.289B,1.696B,134.00M,3.631B,440.00M,13.70B,,AOR,Restated
2010-03,2.133B,3.904B,6.037B,,,,,6.037B,,,2.384B,,,492.00M,2.876B,,2.876B,2.417B,819.00M,3.236B,79.03B,3.802B,,75.23B,21.50B,110.52B,112.65B,,,,633.00M,633.00M,1.359B,1.359B,1.359B,2.263B,10.95B,10.95B,83.57B,,,94.52B,99.24B,,5.399B,6.169B,1.753B,201.00M,3.62B,288.00M,13.41B,,AOR,Restated
2009-12,2.318B,3.369B,5.687B,,,,,5.687B,748.00M,1.539B,1.354B,,105.00M,900.00M,4.646B,-1.747B,2.899B,2.417B,806.00M,3.223B,78.85B,3.749B,,75.10B,22.29B,111.06B,113.38B,,,,773.00M,773.00M,1.415B,1.415B,1.415B,2.37B,10.51B,10.51B,84.30B,,0.00,94.81B,99.88B,,5.388B,6.326B,1.743B,201.00M,3.609B,241.00M,13.50B,,AOR,Restated
2009-09,2.13B,1.126B,3.256B,,,,,3.256B,,,2.426B,,,486.00M,2.912B,,2.912B,2.417B,745.00M,3.162B,80.48B,3.681B,,76.80B,18.24B,108.61B,110.74B,,,,878.00M,878.00M,3.674B,3.674B,3.674B,4.985B,10.16B,10.16B,79.36B,,,89.52B,97.05B,,5.378B,6.496B,1.729B,200.00M,3.599B,285.00M,13.69B,,AOR,Restated
2009-06,2.899B,513.00M,3.412B,,,,,3.412B,,,,2.44B,,474.00M,2.914B,,2.914B,2.417B,728.00M,3.145B,84.77B,3.485B,,81.28B,18.28B,113.08B,115.98B,,,,959.00M,959.00M,6.802B,6.802B,6.802B,8.196B,10.10B,10.10B,80.82B,,,90.92B,102.28B,,5.367B,6.663B,1.722B,204.00M,3.588B,152.00M,13.70B,,AOR,Restated
2009-03,2.491B,1.587B,4.078B,,,,,4.078B,,,,2.49B,,470.00M,2.96B,,2.96B,2.623B,635.00M,3.258B,85.17B,3.07B,,82.10B,20.27B,116.82B,119.31B,,,,904.00M,904.00M,11.08B,11.08B,11.08B,12.34B,12.18B,12.18B,79.78B,,,91.96B,107.21B,,5.547B,5.792B,841.00M,229.00M,4.252B,151.00M,12.10B,,AOR,Restated
2008-12,2.739B,3.578B,6.317B,,,,,6.317B,743.00M,1.518B,1.317B,,120.00M,841.00M,4.539B,-1.582B,2.957B,2.624B,667.00M,3.291B,85.60B,2.787B,,82.81B,17.86B,117.02B,119.76B,,,,2.029B,2.029B,9.959B,9.959B,9.959B,12.28B,13.58B,13.58B,78.61B,,,92.20B,107.69B,,5.536B,5.824B,848.00M,229.00M,4.241B,98.00M,12.08B,,AOR,Restated
2008-09,2.774B,229.00M,3.003B,,,,,3.003B,,,2.47B,,,369.00M,2.839B,,2.839B,3.592B,875.00M,4.467B,86.50B,2.058B,,84.44B,14.68B,113.52B,116.29B,,,,1.757B,1.757B,8.791B,8.791B,8.791B,13.07B,12.95B,12.95B,77.46B,,,90.41B,105.60B,,1.082B,8.013B,1.892B,231.00M,1.082B,-60.00M,10.70B,,AOR,
2008-06,2.853B,,2.853B,,,,,2.853B,,,,,,,,,2.444B,,,4.507B,86.41B,1.58B,,84.83B,13.61B,112.12B,114.98B,,1.864B,1.864B,,1.864B,5.628B,5.628B,5.628B,9.939B,15.05B,15.05B,77.42B,,,92.46B,104.22B,,2.377B,8.178B,583.00M,232.00M,1.082B,-152.00M,10.75B,,,
2008-03,3.092B,,3.092B,,,,,3.092B,,,,,,,,,2.582B,,,3.199B,83.46B,1.205B,,82.25B,13.48B,108.30B,111.40B,,2.377B,2.377B,,2.377B,6.387B,6.387B,6.387B,14.38B,14.04B,14.04B,71.40B,,,85.44B,102.04B,,1.304B,8.465B,1.768B,2.196B,9.00M,11.00M,9.352B,,,
2007-12,2.66B,620.00M,3.28B,,,,,3.28B,620.00M,1.383B,1.21B,,113.00M,673.00M,3.999B,-1.423B,2.576B,2.47B,765.00M,3.235B,84.58B,937.00M,,83.64B,11.82B,108.30B,110.96B,,,,2.427B,2.427B,4.747B,4.747B,4.747B,11.60B,12.86B,12.86B,75.44B,,,88.30B,101.80B,,1.304B,8.413B,1.779B,2.209B,9.00M,-126.00M,9.161B,,,Restated
2007-09,2.54B,,2.54B,,,,,2.54B,,,,,,,,,2.41B,,,2.956B,79.02B,827.00M,,78.19B,12.00B,101.72B,104.26B,,2.295B,2.295B,,2.295B,3.796B,3.796B,3.796B,11.22B,12.50B,12.50B,69.38B,,,81.88B,94.97B,,1.304B,8.593B,1.768B,2.174B,9.00M,-198.00M,9.293B,,,Restated
2007-06,2.327B,,2.327B,,,,,2.327B,,,,,,,,,2.272B,,,2.946B,77.42B,803.00M,,76.61B,11.91B,99.06B,101.39B,,2.114B,2.114B,,2.114B,3.331B,3.331B,3.331B,9.269B,11.96B,11.96B,69.19B,,,81.15B,92.20B,,1.304B,8.489B,1.749B,2.058B,9.00M,-293.00M,9.191B,,,
2007-03,2.244B,,2.244B,,,,,2.244B,,,,,,,,,2.213B,,,2.922B,76.20B,784.00M,,75.42B,11.32B,97.58B,99.82B,,2.324B,2.324B,,2.324B,2.383B,2.383B,2.383B,6.329B,12.62B,12.62B,69.19B,,,81.81B,90.02B,,1.304B,8.33B,1.806B,1.473B,9.00M,-163.00M,9.804B,,,
2006-12,2.737B,,2.737B,533.00M,1.446B,1.979B,,4.716B,,,,,,,,,2.142B,,,2.883B,76.75B,771.00M,-1.246B,74.73B,13.10B,95.95B,100.67B,,2.283B,2.283B,,2.283B,2.796B,2.796B,2.796B,6.50B,12.56B,12.56B,69.38B,,,81.94B,90.65B,,1.304B,8.317B,1.812B,1.232B,9.00M,-179.00M,10.02B,,,
2006-09,2.399B,,2.399B,,,,,2.399B,,,,,,,,,2.044B,,,2.872B,75.61B,761.00M,-1.255B,73.59B,20.16B,103.43B,105.83B,,2.156B,2.156B,,2.156B,3.833B,3.833B,3.833B,11.42B,14.17B,14.17B,68.64B,,,82.81B,95.81B,,1.304B,8.473B,1.799B,1.162B,9.00M,-392.00M,10.02B,,,
2006-06,2.67B,,2.67B,,,,,2.67B,,,,,,,,,2.003B,,,2.868B,74.79B,753.00M,-1.281B,72.76B,21.08B,103.44B,106.11B,,1.995B,1.995B,,1.995B,5.275B,5.275B,5.275B,9.763B,14.50B,14.50B,70.52B,,,85.02B,96.56B,,1.304B,8.319B,1.788B,1.172B,9.00M,-683.00M,9.556B,,,
2006-03,2.494B,,2.494B,,,,,2.494B,,,,,,,,,1.935B,,,2.851B,73.49B,749.00M,-1.323B,71.42B,21.96B,102.55B,105.04B,,2.169B,2.169B,,2.169B,4.472B,4.472B,4.472B,10.36B,14.75B,14.75B,69.01B,,,83.76B,95.58B,,1.304B,8.159B,1.811B,1.237B,9.00M,-568.00M,9.469B,,,
