,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-12,1.142B,1.142B,419.00M,723.00M,,294.00M,5.00M,,,-232.00M,,,,,,406.00M,317.00M,,,,-231.00M,,325.00M,84.00M,-13.00M,75.00M,,-132.00M,,62.00M,159.04M,464.00M,147.00M,317.00M,,0.16,-0.02,,0.5457,0.14,,0.15,-0.02,,0.5332,0.14,,446.00M,449.00M,0.10,,,
2005-09,1.164B,1.164B,643.00M,521.00M,,32.00M,18.00M,,,46.00M,,,,,,210.00M,311.00M,,,,46.00M,,333.00M,94.00M,125.00M,1.00M,,-115.00M,,126.00M,91.98M,473.00M,162.00M,311.00M,,0.28,0.00,,0.2060,0.28,,0.28,0.00,,0.2065,0.28,,446.00M,449.00M,0.10,,,
2005-06,997.00M,997.00M,588.00M,409.00M,,32.00M,12.00M,,,15.00M,,,,,,199.00M,210.00M,,,,14.00M,,207.00M,44.00M,88.00M,-38.00M,,-74.00M,,50.00M,76.19M,365.00M,143.00M,210.00M,,0.20,-0.09,,0.1735,0.11,,0.20,-0.09,,0.1737,0.11,,446.00M,449.00M,0.10,,,
2005-03,945.00M,945.00M,565.00M,380.00M,,31.00M,17.00M,,,43.00M,,,,,,209.00M,171.00M,,,,47.00M,,193.00M,53.00M,85.00M,-1.00M,,-59.00M,,84.00M,53.81M,332.00M,127.00M,171.00M,,0.19,0.00,,0.1201,0.19,,0.19,0.00,,0.1204,0.19,,446.00M,448.00M,0.10,,,
2004-12,1.094B,1.094B,545.00M,549.00M,,36.00M,21.00M,,,-88.00M,,,,,,205.00M,344.00M,,,,-87.00M,,324.00M,110.00M,110.00M,80.00M,0.00,-105.00M,,190.00M,168.12M,492.00M,144.00M,344.00M,,0.25,0.18,0.00,0.3812,0.43,,0.2466,0.18,0.00,0.3767,0.4240,,443.00M,447.00M,0.10,,,
2004-09,1.144B,1.144B,597.00M,547.00M,,22.00M,25.00M,,,-7.00M,,,,,,209.00M,338.00M,,,,-7.00M,,314.00M,94.00M,130.00M,-1.00M,,-90.00M,,129.00M,134.90M,511.00M,173.00M,338.00M,,0.29,0.00,,0.3011,0.29,,0.29,-0.0022,,0.3010,0.2886,,443.00M,447.00M,0.075,,,
2004-06,982.00M,982.00M,564.00M,418.00M,,47.00M,18.00M,,,-28.00M,,,,,,230.00M,188.00M,,,,-29.00M,,135.00M,32.00M,41.00M,-4.00M,,-61.00M,,37.00M,62.36M,360.00M,172.00M,188.00M,,0.09,-0.01,,0.1362,0.08,,0.09,-0.01,,0.1362,0.08,,462.50M,462.50M,0.075,,,
2004-03,1.122B,1.122B,596.00M,526.00M,,27.00M,16.00M,,,23.00M,,,,,,225.00M,301.00M,,,,25.00M,,298.00M,87.00M,134.00M,,-47.00M,-79.00M,,87.00M,117.71M,483.00M,167.00M,301.00M,,0.30,-0.10,0.00,0.2632,0.20,,0.2998,-0.10,-0.1061,0.2633,0.1946,,443.00M,447.00M,0.05,,,
2003-12,707.09M,707.09M,452.06M,255.03M,,43.34M,-47.74M,,,226.85M,,,,,,104.23M,150.80M,,,,151.06M,,341.35M,-20.58M,153.93M,,-0.467M,-42.28M,,153.46M,17.82M,287.14M,136.34M,150.80M,,0.07,0.37,0.00,-0.2498,0.36,,0.06,0.37,-0.0001,-0.2552,0.36,,425.65M,431.83M,0.05,,,
2003-09,881.16M,881.16M,461.35M,419.81M,,28.95M,30.65M,,,59.93M,,,,,,211.04M,208.77M,,,,75.77M,,195.41M,80.98M,114.43M,,,-57.12M,,114.43M,78.48M,360.21M,135.84M,208.77M,,0.28,0.00,,0.1919,0.28,,0.2771,0.00,,0.1900,0.2771,,408.38M,412.92M,0.04,,,
2003-06,747.22M,747.22M,436.13M,311.10M,,31.29M,30.25M,,,216.36M,,,,,,200.88M,110.22M,,,,126.35M,,305.71M,89.04M,90.85M,,,-35.81M,,90.85M,-62.50M,249.56M,131.58M,110.22M,,0.22,0.00,,-0.1583,0.22,,0.22,0.00,,-0.1556,0.22,,405.39M,408.24M,0.04,,,
2003-03,733.99M,864.64M,406.68M,457.96M,,26.41M,21.47M,,,128.76M,,,,,,178.48M,279.49M,,,,125.57M,,255.33M,62.56M,151.79M,,-34.53M,-37.79M,,117.26M,54.58M,410.08M,124.23M,279.49M,,0.29,0.00,0.00,0.0481,0.29,,0.29,0.00,-0.0859,0.0495,0.29,,401.89M,404.22M,0.04,,,
2002-12,785.78M,692.04M,558.74M,133.30M,,36.29M,,,,-73.40M,,,,,,-0.466M,133.77M,,,,-56.42M,,88.84M,-24.28M,67.12M,,15.70M,-42.24M,0.262M,82.82M,111.16M,260.28M,126.51M,133.77M,,0.06,0.10,0.00,0.1744,0.18,,0.05,0.10,0.0427,0.1558,0.17,,384.94M,416.37M,0.03,,,
2002-09,712.17M,728.35M,432.47M,295.88M,,29.74M,25.36M,,,4.987M,,,,,33.08M,238.63M,57.25M,,,,22.46M,,35.19M,11.16M,24.03M,,,-28.34M,,24.03M,20.63M,225.29M,168.04M,57.25M,,0.06,0.00,,0.0515,0.06,,0.06,0.00,,0.0515,0.06,,401.42M,402.96M,0.03,,,
2002-06,636.98M,636.98M,393.54M,243.44M,,27.65M,18.79M,,,65.66M,,,,,-41.50M,141.48M,101.96M,,,,82.53M,,93.98M,27.88M,66.65M,,,-16.32M,1.869M,66.65M,20.47M,238.50M,135.76M,101.96M,,0.16,0.00,,0.0438,0.16,,0.16,0.00,,0.0444,0.16,,397.53M,399.47M,0.03,,,
2002-03,491.60M,495.82M,330.99M,164.83M,,21.32M,11.57M,,,-6.83M,,,,,,135.07M,29.76M,,,,-5.426M,,-4.165M,1.188M,-14.50M,,7.701M,-10.55M,1.869M,-6.798M,-10.40M,142.45M,112.69M,29.76M,,-0.06,0.03,0.00,-0.0454,-0.03,,-0.06,0.03,0.0274,-0.0454,-0.03,,281.47M,281.47M,0.03,,,
2001-12,450.31M,447.32M,331.50M,115.82M,,28.07M,,,,-111.23M,,,,,19.34M,83.03M,32.80M,,,,-109.45M,,-45.33M,-50.27M,4.944M,,,-22.09M,1.868M,4.944M,71.68M,129.91M,97.11M,32.80M,,0.02,-0.01,,0.3732,0.01,,0.02,-0.01,,0.3732,0.01,,188.97M,188.97M,0.03,,,
2001-09,424.40M,424.40M,284.88M,139.51M,,13.68M,12.84M,,,-2.348M,,,,,27.93M,126.55M,12.96M,,,,13.82M,,10.93M,-9.694M,20.63M,,,-19.14M,1.87M,20.63M,22.03M,88.84M,75.88M,12.96M,,0.10,0.00,,0.1072,0.10,,0.10,0.00,,0.1072,0.10,,195.88M,196.07M,0.03,,,
2001-06,362.36M,362.36M,260.40M,101.96M,,13.66M,15.30M,,,-12.98M,,,,,18.88M,120.02M,-18.07M,,,,-2.219M,,-32.30M,-0.703M,-31.60M,,,-10.27M,1.868M,-31.60M,-18.90M,63.13M,81.19M,-18.07M,,-0.17,0.00,,-0.1051,-0.17,,-0.17,0.00,,-0.1051,-0.17,,195.64M,195.64M,0.03,,,
2001-03,427.52M,427.52M,259.68M,167.84M,,14.48M,15.32M,,,-97.81M,,,,,,114.58M,53.26M,,,,-97.81M,,-34.70M,2.546M,-37.25M,,-0.061M,-14.82M,1.869M,-37.31M,21.44M,138.05M,84.79M,53.26M,,-0.20,0.00,0.00,0.1047,-0.20,,-0.20,0.00,-0.0003,0.1047,-0.20,,192.61M,192.61M,0.03,,,
2000-12,521.29M,521.29M,384.37M,136.91M,,48.61M,,,,-115.56M,,,,,13.52M,65.65M,71.27M,,,,-118.82M,,-26.14M,0.218M,-26.36M,,-0.428M,-26.27M,1.393M,-26.78M,42.98M,143.01M,71.74M,71.27M,,-0.16,0.01,0.00,0.2153,-0.15,,-0.16,0.01,-0.0029,0.2153,-0.15,,184.74M,184.74M,0.03,,,
2000-09,419.40M,419.40M,256.32M,163.08M,,18.59M,20.70M,,,-39.88M,,,,,42.90M,171.40M,-8.324M,,,,-39.21M,,-45.21M,-10.55M,-34.66M,,,-19.50M,1.87M,-34.66M,-4.090M,111.74M,120.06M,-8.324M,,-0.19,0.00,,-0.0309,-0.19,,-0.19,0.00,,-0.0309,-0.19,,192.19M,192.19M,0.03,,,
2000-06,411.23M,411.23M,240.93M,170.29M,,15.47M,21.05M,,,-16.04M,,,,,,119.90M,50.39M,,,,-23.33M,,-18.69M,5.272M,-23.96M,,,-22.40M,1.868M,-23.96M,-14.34M,153.32M,102.93M,50.39M,,-0.13,0.00,,-0.0799,-0.13,,-0.13,0.00,,-0.0799,-0.13,,192.01M,192.01M,0.03,,,
2000-03,457.53M,457.53M,232.12M,225.41M,,15.33M,17.14M,,,-8.83M,,,,,,147.73M,77.68M,,,,-8.83M,,19.04M,11.06M,7.977M,,-12.57M,-24.84M,1.869M,-4.595M,13.28M,192.95M,115.27M,77.68M,,0.03,0.00,0.00,0.0576,0.03,,0.03,0.00,-0.0655,0.0576,0.03,,191.90M,191.90M,0.03,,,
1999-12,656.22M,656.22M,474.49M,181.73M,,56.51M,,,,-53.90M,,,,,,180.14M,1.591M,,,,-145.53M,,-50.69M,21.88M,-72.56M,,,3.609M,,-72.56M,-40.22M,153.07M,151.48M,1.591M,,-0.49,0.00,,-0.2753,-0.49,,-0.49,0.00,,-0.2753,-0.49,,150.63M,150.63M,0.03,,,
1999-09,328.00M,328.00M,187.90M,140.10M,,12.60M,14.30M,,,-42.80M,,,,,,110.30M,29.80M,,,,-42.80M,,-46.80M,-7.80M,-39.00M,,,-19.20M,,-39.00M,-3.333M,113.20M,83.40M,29.80M,,-0.23,0.00,,-0.0197,-0.23,,-0.23,0.00,,-0.0197,-0.23,,169.57M,169.57M,0.03,,,
1999-06,315.80M,315.80M,195.10M,120.70M,,12.70M,14.40M,,,9.80M,,,,,,91.30M,29.40M,,,,9.80M,,9.20M,2.10M,7.10M,,,-13.00M,,7.10M,-0.4630M,93.60M,64.20M,29.40M,,0.04,0.00,,-0.0026,0.04,,0.04,0.00,,-0.0026,0.04,,177.50M,177.50M,0.03,,,
1999-03,327.14M,327.14M,193.70M,133.44M,,12.60M,11.50M,,,-1.80M,,,,,,85.60M,47.84M,,,,-1.80M,,15.50M,5.60M,9.90M,,,-12.20M,,9.90M,11.05M,109.34M,61.50M,47.84M,,0.06,0.00,,0.0670,0.06,,0.06,0.00,,0.0670,0.06,,165.00M,165.00M,0.03,,,
1998-12,352.00M,352.00M,270.00M,82.00M,,626.10M,,,,-0.10M,,,,,,655.60M,-573.60M,,,,-0.10M,,-617.10M,-193.20M,-423.90M,,,-23.00M,,-456.80M,-423.83M,-492.90M,80.70M,-573.60M,,-2.67,-0.20,,-2.670,-2.87,,-2.67,-0.20,,-2.670,-2.87,,161.59M,161.59M,0.03,,,
1998-09,349.90M,349.90M,195.40M,154.50M,,11.70M,18.50M,,,3.70M,,,,,,115.00M,39.50M,,,,3.70M,,4.30M,-2.60M,6.90M,,,-20.00M,,6.90M,4.68M,124.30M,84.80M,39.50M,,0.04,0.00,,0.0271,0.04,,0.03,0.00,,0.0171,0.03,,172.50M,172.50M,0.03,,,
1998-06,374.00M,374.00M,191.10M,182.90M,,12.30M,16.60M,,,2.30M,,,,,,120.20M,62.70M,,,,2.30M,,32.80M,7.10M,25.70M,,,-13.10M,,25.70M,23.90M,154.70M,92.00M,62.70M,,0.16,0.00,,0.1488,0.16,,0.16,0.00,,0.1488,0.16,,160.62M,160.62M,0.03,,,
1998-03,378.10M,378.10M,197.70M,180.40M,,14.50M,16.10M,,,7.40M,,,,,,114.80M,65.60M,,,,7.40M,,37.70M,7.40M,30.30M,,-32.90M,-14.30M,,-2.60M,24.35M,149.80M,84.20M,65.60M,,0.19,-0.21,0.00,0.1442,-0.02,,0.19,-0.21,-0.2531,0.1442,-0.02,,130.00M,130.00M,0.03,,,
1997-12,412.10M,412.10M,167.80M,244.30M,,15.90M,30.10M,,,-12.50M,,,,,,170.00M,74.30M,,,,-12.50M,,29.90M,-8.80M,38.70M,,,-18.00M,,38.70M,46.20M,198.30M,124.00M,74.30M,,0.25,0.00,,0.2991,0.25,,0.25,0.00,,0.2991,0.25,,152.87M,152.87M,0.03,,,
1997-09,383.80M,383.80M,181.30M,202.50M,,16.20M,19.90M,,,4.60M,,,,,,106.40M,96.10M,,,,4.60M,,59.40M,16.30M,43.10M,,,-22.20M,,43.10M,39.76M,166.50M,70.40M,96.10M,,0.28,0.00,,0.2583,0.28,,0.28,0.00,,0.2583,0.28,,153.93M,153.93M,0.12,,,
1997-06,421.80M,421.80M,211.70M,210.10M,,181.60M,26.30M,,,2.70M,,,,,,274.00M,-63.90M,,,,2.70M,,-93.40M,-28.80M,-64.60M,,,-12.40M,,-64.60M,-66.47M,2.20M,66.10M,-63.90M,,-0.41,0.00,,-0.4219,-0.41,,-0.41,0.00,,-0.4219,-0.41,,157.56M,157.56M,0.12,,,
1997-03,355.10M,355.10M,184.00M,171.10M,,16.60M,23.60M,,,32.30M,,,,,,100.70M,70.40M,,,,32.30M,,64.60M,13.40M,51.20M,,,-18.70M,,51.20M,25.60M,130.90M,60.50M,70.40M,,0.33,0.00,,0.0728,0.33,,0.33,0.00,,0.0728,0.33,,99.52M,99.52M,0.12,,,
1996-12,305.50M,305.50M,179.30M,126.20M,,15.30M,33.30M,,,8.20M,,,,,,103.50M,22.70M,,,,8.20M,,13.10M,-8.40M,21.50M,,,-1.50M,,21.50M,16.58M,77.60M,54.90M,22.70M,,0.14,0.00,,0.0993,0.14,,0.14,0.00,,0.0993,0.14,,120.80M,120.80M,0.12,,,
1996-09,302.20M,302.20M,175.70M,126.50M,,17.50M,23.00M,,,17.30M,,,,,,93.10M,33.40M,,,,17.30M,,32.10M,-5.50M,37.60M,,,-2.50M,,37.60M,27.22M,124.50M,91.10M,33.40M,,0.24,0.00,,0.1541,0.24,,0.24,0.00,,0.1541,0.24,,120.80M,120.80M,0.12,,,
1996-06,181.20M,181.20M,113.40M,67.80M,,27.90M,,,,17.30M,,,,,,57.50M,10.30M,,,,17.30M,,15.30M,-4.20M,19.50M,,,-2.00M,,19.50M,9.12M,39.90M,29.60M,10.30M,,0.15,0.00,,0.0530,0.15,,0.15,0.00,,0.0530,0.15,,107.00M,107.00M,0.12,,,
1996-03,154.70M,154.70M,98.10M,56.60M,,25.90M,,,,18.60M,,,,,,54.40M,2.20M,,,,18.60M,,11.70M,1.00M,10.70M,,,1.10M,,10.70M,-6.310M,30.70M,28.50M,2.20M,,0.10,0.00,,-0.0590,0.10,,0.10,0.00,,-0.0590,0.10,,107.00M,107.00M,0.12,,,
1995-12,529.80M,529.80M,268.50M,261.30M,,-39.40M,,,,-98.30M,,,,,,162.60M,98.70M,,,,-98.30M,,33.70M,-5.40M,39.10M,,,1.80M,0.00,39.10M,98.08M,209.00M,110.30M,98.70M,,-0.17,0.00,,0.5131,-0.17,,-0.17,0.00,,0.5131,-0.17,,86.34M,86.34M,0.12,,,
1995-09,172.30M,172.30M,92.30M,80.00M,,29.80M,,,,14.90M,,,,,,57.80M,22.20M,,,,14.90M,,25.90M,0.60M,25.30M,,,-2.60M,4.00M,25.30M,10.75M,50.20M,28.00M,22.20M,,0.25,0.00,,0.0792,0.25,,0.25,0.00,,0.0792,0.25,,85.20M,85.20M,0.12,,,
1995-06,145.10M,145.10M,89.70M,55.40M,,50.10M,,,,135.60M,,,,,,73.90M,-18.50M,,,,135.60M,,100.80M,33.00M,67.80M,,,-7.70M,4.00M,67.80M,-23.41M,5.30M,23.80M,-18.50M,,0.74,0.00,,-0.3179,0.74,,0.74,0.00,,-0.3179,0.74,,86.22M,86.22M,0.12,,,
1995-03,151.70M,151.70M,83.20M,68.50M,,22.40M,,,,6.10M,,,,,,47.10M,21.40M,,,,6.10M,,17.50M,1.90M,15.60M,,,-1.40M,4.00M,15.60M,10.16M,46.10M,24.70M,21.40M,,0.14,0.00,,0.0744,0.14,,0.14,0.00,,0.0744,0.14,,82.86M,82.86M,0.12,,,
1994-12,147.80M,147.80M,87.60M,60.20M,,74.10M,,,,61.70M,,,,,,96.90M,-36.70M,,,,61.70M,,14.60M,-2.20M,16.80M,,,-1.60M,3.90M,16.80M,-20.22M,-13.90M,22.80M,-36.70M,,0.25,0.00,,-0.1801,0.25,,0.25,0.00,,-0.1801,0.25,,86.08M,86.08M,0.12,,,
1994-09,156.80M,156.80M,83.00M,73.80M,,30.00M,,,,1.70M,,,,,,54.20M,19.60M,,,,1.70M,,19.10M,-1.30M,20.40M,,,-2.00M,4.00M,20.40M,19.38M,43.80M,24.20M,19.60M,,0.12,0.00,,0.1082,0.12,,0.12,0.00,,0.1082,0.12,,86.11M,86.11M,0.12,,,
1994-06,139.30M,139.30M,101.80M,37.50M,,29.10M,,,,5.40M,,,,,,50.30M,-12.80M,,,,5.40M,,-9.40M,-26.70M,17.30M,,,-1.60M,4.00M,17.30M,14.06M,8.40M,21.20M,-12.80M,,0.16,0.00,,0.1210,0.16,,0.16,0.00,,0.1210,0.16,,83.12M,83.12M,0.12,,,
1994-03,149.80M,149.80M,82.90M,66.90M,,22.40M,,,,3.30M,,,,,,45.30M,21.60M,,,,3.30M,,22.60M,1.00M,21.60M,,,-2.10M,4.00M,21.60M,18.45M,44.50M,22.90M,21.60M,,0.20,0.00,,0.1642,0.20,,0.20,0.00,,0.1642,0.20,,88.00M,88.00M,0.1200,,,
1993-12,160.80M,160.80M,79.80M,81.00M,,39.60M,,,,9.90M,,,,,,66.40M,14.60M,,,,9.90M,,20.30M,3.30M,17.00M,,0.00,-2.30M,4.00M,17.00M,8.709M,41.40M,26.80M,14.60M,,-0.03,0.83,0.00,-0.1270,0.80,,-0.03,0.83,-0.0016,-0.1270,0.80,,85.49M,85.49M,0.1200,,,
1993-09,178.10M,178.10M,97.10M,81.00M,,24.60M,,,,6.30M,,,,,,51.80M,29.20M,,,,6.30M,,28.70M,3.00M,25.70M,,,-4.00M,4.00M,25.70M,20.06M,56.40M,27.20M,29.20M,,0.26,0.00,,0.1924,0.26,,0.26,0.00,,0.1924,0.26,,83.46M,83.46M,0.1200,,,
1993-06,157.30M,157.30M,82.80M,74.50M,,19.90M,,,,30.00M,,,,,,47.70M,26.80M,,,,30.00M,,50.50M,11.00M,39.50M,,,-2.70M,3.90M,39.50M,16.03M,54.60M,27.80M,26.80M,,0.42,0.00,,0.1432,0.42,,0.42,0.00,,0.1432,0.42,,84.76M,84.76M,0.1200,,,
1993-03,138.10M,138.10M,77.30M,60.80M,,18.80M,,,,6.10M,,,,,,47.00M,13.80M,,,,6.10M,,14.00M,1.40M,12.60M,,38.50M,-2.10M,4.10M,51.10M,7.11M,42.00M,28.20M,13.80M,,0.10,0.45,0.00,0.0358,0.55,,0.10,0.45,0.4505,0.0358,0.55,,85.45M,85.45M,0.1200,,,
1992-12,140.90M,140.90M,82.80M,58.10M,,21.80M,,,,-3.20M,,,,,,46.60M,11.50M,,,,-3.20M,,4.30M,0.30M,4.00M,,0.00,-0.60M,,4.00M,6.977M,36.30M,24.80M,11.50M,,0.02,0.00,0.00,0.0539,0.02,,0.02,0.00,0.0010,0.0539,0.02,,87.87M,87.87M,0.1200,,,
1992-09,155.80M,155.80M,83.60M,72.20M,,26.50M,,,,3.10M,,,,,,51.60M,20.60M,,,,3.10M,,16.40M,-1.90M,18.30M,,,-3.00M,,18.30M,16.44M,45.70M,25.10M,20.60M,,0.22,0.00,,0.1976,0.22,,0.22,0.00,,0.1976,0.22,,83.18M,83.18M,0.1200,,,
1992-06,158.70M,158.70M,83.50M,75.20M,,22.60M,,,,3.10M,,,,,,47.90M,27.30M,,,,3.10M,,24.10M,-0.30M,24.40M,,,-1.70M,,24.40M,22.54M,52.60M,25.20M,27.30M,,0.29,0.00,,0.2679,0.29,,0.29,0.00,,0.2679,0.29,,84.14M,84.14M,0.1200,,,
1992-03,157.70M,157.70M,73.50M,84.20M,,16.60M,,,,8.70M,,,,,,40.30M,43.90M,,,,8.70M,,48.80M,4.80M,44.00M,,-11.60M,-2.30M,,32.40M,36.16M,67.60M,23.70M,43.90M,,0.52,-0.14,0.00,0.4280,0.38,,0.52,-0.14,-0.1360,0.4280,0.38,,85.26M,85.26M,0.1200,,,
1991-12,155.90M,155.90M,81.00M,74.90M,,18.80M,,,,0.70M,,,,,,40.80M,34.10M,,,,0.70M,,29.80M,7.10M,22.70M,,,-3.40M,,22.70M,22.17M,56.10M,22.00M,34.10M,,0.26,0.00,,0.2539,0.26,,0.26,0.00,,0.2539,0.26,,87.11M,87.11M,0.1200,,,
1991-09,148.40M,148.40M,70.00M,78.40M,,22.70M,,,,-3.60M,,,,,,46.30M,32.10M,,,,-3.60M,,22.60M,10.40M,12.20M,,,-2.90M,,12.20M,14.36M,55.70M,23.60M,32.10M,,0.14,0.00,,0.1648,0.14,,0.14,0.00,,0.1648,0.14,,87.14M,87.14M,0.1200,,,
1991-06,167.20M,167.20M,81.20M,86.00M,,25.40M,,,,-0.80M,,,,,,51.10M,34.90M,,,,-0.80M,,27.20M,5.20M,22.00M,,,-2.90M,,22.00M,22.65M,60.60M,25.70M,34.90M,,0.26,0.00,,0.2676,0.26,,0.26,0.00,,0.2676,0.26,,84.62M,84.62M,0.1200,,,
1991-03,151.30M,151.30M,73.60M,77.70M,,16.80M,,,,12.20M,,,,,,39.50M,38.20M,,,,12.20M,,42.60M,5.20M,37.40M,,,-3.40M,,37.40M,26.69M,60.90M,22.70M,38.20M,,0.44,0.00,,0.3140,0.44,,0.44,0.00,,0.3140,0.44,,85.00M,85.00M,0.1200,,,
1990-12,163.30M,163.30M,98.40M,64.90M,,23.80M,,,,12.10M,,,,,,52.30M,12.60M,,,,12.10M,,10.70M,2.80M,7.90M,-2.70M,,-9.60M,,5.20M,-1.034M,41.10M,28.50M,12.60M,,0.09,-0.55,,0.0116,-0.46,,0.09,-0.55,,0.0116,-0.46,,113.94M,113.94M,0.1200,,,
1990-09,170.10M,170.10M,81.10M,89.00M,,21.80M,,,,111.60M,,,,,,41.20M,47.80M,,,,111.60M,,150.70M,53.40M,97.30M,151.10M,,-2.60M,,248.40M,25.25M,67.20M,19.40M,47.80M,,1.15,1.79,,0.2972,2.94,,1.15,1.79,,0.2972,2.94,,84.49M,84.49M,0.1200,,,
1990-06,184.60M,184.60M,94.30M,90.30M,,19.00M,,,,-5.50M,,,,,,37.70M,52.60M,,,,-5.50M,,30.10M,9.50M,20.60M,11.00M,,-0.90M,,31.60M,24.36M,71.30M,18.70M,52.60M,,0.25,0.13,,0.2953,0.38,,0.25,0.13,,0.2953,0.38,,83.16M,83.16M,0.1200,,,
1990-03,165.50M,165.50M,83.10M,82.40M,,17.80M,,,,19.30M,,,,,,36.00M,46.40M,,,,19.30M,,48.90M,6.20M,42.70M,14.70M,,-0.90M,,57.40M,25.85M,64.60M,18.20M,46.40M,,0.50,0.18,,0.3003,0.68,,0.50,0.18,,0.3003,0.68,,84.41M,84.41M,0.1200,,,
1989-12,79.70M,79.70M,37.50M,42.20M,,7.90M,,,,98.70M,,,,,,21.00M,21.20M,,,,98.70M,,98.10M,14.60M,83.50M,0.00,,-2.70M,,83.50M,-0.5107M,34.30M,13.10M,21.20M,,1.00,0.00,,-0.0329,1.00,,1.00,0.00,,-0.0329,1.00,,81.33M,81.33M,0.1200,,,
1989-09,195.70M,195.70M,107.00M,88.70M,,21.60M,,,,13.70M,,,,,,43.30M,45.40M,,,,13.70M,,31.70M,5.90M,25.80M,,,-3.10M,,25.80M,14.65M,67.10M,21.70M,45.40M,,0.30,0.00,,0.1703,0.30,,0.30,0.00,,0.1703,0.30,,86.00M,86.00M,0.1200,,,
1989-06,174.50M,174.50M,97.60M,76.90M,,20.90M,,,,4.40M,,,,,,39.70M,37.20M,,,,4.40M,,13.40M,2.60M,10.80M,-3.60M,,-3.30M,,7.20M,7.254M,56.00M,18.80M,37.20M,,0.13,-0.04,,0.0857,0.09,,0.13,-0.04,,0.0857,0.09,,80.00M,80.00M,0.1200,,,
1989-03,132.20M,132.20M,,,,,,,,,,,,,,,132.20M,,,,,,,,9.40M,,,,,9.40M,,132.20M,,132.20M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,84.04M,84.04M,0.1200,,,
1988-12,157.50M,157.50M,,,,,,,,,,,,,,,-207.90M,,,,,,,,21.80M,29.10M,,,,50.90M,,-207.90M,,-207.90M,,,0.3462,,,0.3462,,,0.3462,,,0.3462,,84.04M,84.04M,0.1200,,,
1988-09,137.20M,137.20M,,,,,,,,,,,,,,,137.20M,,,,,,,,-8.60M,0.20M,,,,-8.40M,,137.20M,,137.20M,,-0.10,0.00,,-0.10,-0.10,,-0.10,0.00,,-0.10,-0.10,,84.04M,84.04M,0.1200,,,
1988-06,113.00M,113.00M,,,,,,,,,,,,,,,113.00M,,,,,,,,-5.20M,24.60M,,,,19.40M,,113.00M,,113.00M,,-0.11,0.34,,-0.11,0.23,,-0.11,0.34,,-0.11,0.23,,84.04M,84.04M,0.1200,,,
1988-03,105.80M,105.80M,,,,,,,,,,,,,,,105.80M,,,,,,,,87.80M,26.60M,,,,114.40M,,105.80M,,105.80M,,1.05,0.31,,1.05,1.36,,1.05,0.31,,1.05,1.36,,82.90M,82.90M,0.1200,,,
1987-12,128.50M,128.50M,,,,,,,,,,,,,,,-206.10M,,,,,,,,84.40M,,,,,84.40M,,-206.10M,,-206.10M,,,,,,,,,,,,,,84.03M,84.03M,0.1200,,,
1987-09,128.50M,128.50M,,,,,,,,,,,,,,,128.50M,,,,,,,,84.40M,,,,,84.40M,,128.50M,,128.50M,,0.84,0.00,,0.84,0.84,,0.84,0.00,,0.84,0.84,,84.03M,84.03M,0.1200,,,
1987-06,128.50M,128.50M,,,,,,,,,,,,,,,128.50M,,,,,,,,84.40M,,,,,84.40M,,128.50M,,128.50M,,0.84,0.00,,0.84,0.84,,0.84,0.00,,0.84,0.84,,84.03M,84.03M,0.1200,,,
1987-03,128.50M,128.50M,,,,,,,,,,,,,,,128.50M,,,,,,,,84.40M,,,,,84.40M,,128.50M,,128.50M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,84.03M,84.03M,0.1000,,,
1986-12,-220.10M,-220.10M,,,,,,,,,,,,,,,-524.30M,,,,,,,,-45.10M,,,,,-45.10M,,-524.30M,,-524.30M,,,,,,,,,,,,,,76.02M,76.02M,0.1000,,,
1986-09,200.90M,200.90M,,,,,,,,,,,,,,,200.90M,,,,,,,,45.10M,,,,,45.10M,,200.90M,,200.90M,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,75.78M,75.78M,0.1000,,,
