,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-12,223.00M,,,,-160.00M,,,206.00M,206.00M,60.00M,,,,24.00M,-58.00M,-65.00M,191.00M,,,8.00M,76.00M,,429.00M,,-442.00M,3.00M,-439.00M,0.00,176.00M,9.00M,-174.00M,,,-48.00M,12.00M,,12.00M,,-45.00M,,-24.00M,-105.00M,,1.059B,278.00M,-3.00M,1.166B,,128.00M,12.00M,,,,,,
2006-09,198.00M,,,,-36.00M,,,149.00M,149.00M,-38.00M,,,,-17.00M,46.00M,-99.00M,76.00M,,,-54.00M,-31.00M,,225.00M,,-409.00M,331.00M,-78.00M,-161.00M,72.00M,-9.00M,-138.00M,,,99.00M,9.00M,,9.00M,,44.00M,,-292.00M,-154.00M,,1.135B,-211.00M,3.00M,1.059B,,-144.00M,9.00M,,,,,,
2006-06,161.00M,,,,208.00M,,,139.00M,139.00M,-5.00M,,,,20.00M,-54.00M,-100.00M,-15.00M,,12.00M,-30.00M,-187.00M,,336.00M,,-330.00M,-2.00M,-332.00M,-187.00M,362.00M,6.00M,-201.00M,,,56.00M,19.00M,,19.00M,,-134.00M,,51.00M,-8.00M,,979.00M,158.00M,4.00M,1.135B,,31.00M,19.00M,,,,,,
2006-03,209.00M,,,,125.00M,,,142.00M,142.00M,-72.00M,,,,-5.00M,-44.00M,-124.00M,25.00M,,-12.00M,-9.00M,-164.00M,,235.00M,,-370.00M,2.00M,-368.00M,,111.00M,,-257.00M,,,-20.00M,38.00M,,38.00M,,-45.00M,,-53.00M,-80.00M,,1.082B,-107.00M,-1.00M,979.00M,,-5.00M,38.00M,,,,,,
2005-12,62.00M,,,,90.00M,153.00M,-6.00M,147.00M,147.00M,23.00M,,,,159.00M,-90.00M,-18.00M,159.00M,3.00M,24.00M,-77.00M,1.00M,,482.00M,,-309.00M,-124.00M,-433.00M,,25.00M,-10.00M,-186.00M,,,-75.00M,26.00M,,26.00M,,40.00M,,-183.00M,-194.00M,,1.095B,20.00M,0.00,1.082B,,-82.00M,26.00M,,,,,,
2005-09,126.00M,,,,184.00M,166.00M,-4.00M,162.00M,162.00M,-8.00M,,,,-11.00M,69.00M,-89.00M,20.00M,-3.00M,-24.00M,11.00M,-16.00M,,437.00M,,-355.00M,143.00M,-212.00M,,250.00M,1.00M,39.00M,,,-73.00M,11.00M,,11.00M,,-59.00M,,-1.00M,-122.00M,,741.00M,357.00M,0.00,1.095B,,3.00M,11.00M,,,,,,
2005-06,50.00M,,,,55.00M,155.00M,-12.00M,143.00M,143.00M,-20.00M,,,,15.00M,-14.00M,-59.00M,-25.00M,-4.00M,6.00M,-11.00M,-107.00M,,136.00M,,-314.00M,8.00M,-306.00M,,11.00M,,-295.00M,,,-53.00M,2.00M,,2.00M,,-99.00M,,-6.00M,-156.00M,,1.059B,-314.00M,-1.00M,741.00M,,1.00M,2.00M,,,,,,
2005-03,84.00M,,,,47.00M,161.00M,-34.00M,127.00M,127.00M,-7.00M,,,,1.00M,-30.00M,-13.00M,-19.00M,4.00M,-6.00M,,-64.00M,,188.00M,,-242.00M,52.00M,-190.00M,,-229.00M,,-419.00M,,,567.00M,4.00M,,4.00M,,-61.00M,,-1.00M,509.00M,,783.00M,279.00M,-2.00M,1.059B,,1.00M,4.00M,,,,,,
2004-12,190.00M,,,,105.00M,148.00M,-4.00M,144.00M,144.00M,17.00M,,,,49.00M,12.00M,-24.00M,91.00M,13.00M,33.00M,,80.00M,,585.00M,,-154.00M,28.00M,-126.00M,,-161.00M,-110.00M,-403.00M,,,-93.00M,45.00M,,45.00M,,50.00M,,-239.00M,-241.00M,,790.00M,-46.00M,5.00M,781.00M,,13.00M,45.00M,,,,,,
2004-09,129.00M,,,,122.00M,149.00M,24.00M,173.00M,173.00M,44.00M,,,,8.00M,-3.00M,-4.00M,-48.00M,-8.00M,-8.00M,,-71.00M,,405.00M,,-167.00M,10.00M,-157.00M,,-566.00M,2.00M,-721.00M,,,-64.00M,7.00M,,7.00M,,-128.00M,,-2.00M,-187.00M,,1.475B,-495.00M,2.00M,790.00M,,8.00M,7.00M,,,,,,
2004-06,37.00M,,,,76.00M,173.00M,-1.00M,172.00M,172.00M,-9.00M,,,,,44.00M,-9.00M,-90.00M,11.00M,-18.00M,,-62.00M,,214.00M,,-187.00M,2.00M,-185.00M,,287.00M,0.00,102.00M,,,-17.00M,7.00M,,7.00M,,-4.00M,,11.00M,-3.00M,,985.00M,313.00M,-6.00M,1.475B,,,7.00M,,,,,,
2004-03,87.00M,,,,126.00M,182.00M,-15.00M,167.00M,167.00M,23.00M,,,,,-59.00M,23.00M,9.00M,-16.00M,-7.00M,,-50.00M,,353.00M,,-166.00M,11.00M,-155.00M,,-381.00M,82.00M,-454.00M,,,-22.00M,19.00M,,19.00M,,-51.00M,,8.00M,-46.00M,,1.131B,-147.00M,1.00M,985.00M,,,19.00M,,,,,,
2003-12,153.46M,,,,68.56M,142.63M,-6.287M,136.34M,136.34M,-51.09M,,,,,1.22M,-53.88M,-32.88M,-7.903M,-9.319M,,-102.76M,,203.52M,,-138.82M,4.387M,-134.43M,11.20M,-9.19M,-186.25M,-318.67M,,,-322.90M,1.232B,,1.232B,,-88.03M,,,821.22M,,419.41M,706.07M,5.20M,1.131B,,,1.232B,,,,,,
2003-09,114.43M,,,,25.45M,151.44M,-15.60M,135.84M,135.84M,6.346M,,,,,-3.22M,6.45M,-40.28M,-4.429M,14.94M,,-26.53M,,255.54M,,-150.88M,0.625M,-150.26M,0.00,50.54M,157.60M,57.88M,,,-138.74M,30.00M,,30.00M,,-96.66M,,,-205.41M,,274.74M,108.00M,36.66M,419.41M,,,30.00M,,,,,,
2003-06,90.85M,,,,-85.07M,139.34M,-7.752M,131.58M,131.58M,44.14M,,,,,2.145M,-2.094M,-6.862M,9.323M,-95.07M,,-92.56M,,88.95M,,-133.99M,-169.64M,-303.63M,-11.20M,181.65M,-17.41M,-150.58M,,,-24.57M,23.92M,,23.92M,,-16.22M,,,-16.88M,,380.32M,-78.50M,-27.07M,274.74M,,,23.92M,,,,,,
2003-03,117.26M,,,,-59.94M,130.59M,-6.362M,124.23M,124.23M,-35.40M,,,,,5.855M,-23.48M,61.02M,-1.991M,-51.56M,,-10.15M,,136.00M,,-81.31M,170.62M,89.31M,,,-57.94M,31.37M,,,-182.79M,0.934M,,0.934M,,-16.09M,,,-197.94M,,401.68M,-30.57M,9.205M,380.32M,,,0.934M,,,,,,
2002-12,67.42M,,,,115.54M,118.27M,8.24M,126.51M,126.51M,-75.83M,,,,,7.235M,-3.76M,-17.73M,2.987M,16.47M,,5.205M,,239.86M,,-61.83M,9.541M,-52.29M,88.11M,-0.445M,-133.07M,-97.68M,,,-14.51M,-0.964M,,-0.964M,,-41.07M,,1.004M,-55.54M,,292.15M,86.63M,22.65M,402.00M,,,-0.964M,,,,,,
2002-09,32.70M,,,,-11.93M,148.18M,19.86M,168.04M,168.04M,-15.45M,,,,,3.352M,-0.799M,20.60M,34.13M,16.42M,,73.71M,,247.06M,,-97.36M,-1.429M,-98.79M,-0.229M,0.712M,0.00,-98.31M,,,-110.80M,5.066M,,5.066M,,-12.06M,,0.687M,-117.11M,,285.40M,31.64M,-24.90M,292.15M,,,5.066M,,,,,,
2002-06,66.87M,,,,-35.19M,134.35M,1.405M,135.76M,135.76M,-7.501M,,,,,2.573M,-14.98M,19.52M,-0.503M,-41.07M,,-34.45M,,125.48M,,-87.53M,19.62M,-67.91M,-69.57M,84.00M,50.82M,-2.667M,,,-397.87M,47.16M,,47.16M,,-12.08M,,-0.691M,-363.48M,,511.56M,-240.67M,14.52M,285.40M,,,47.16M,,,,,,
2002-03,-8.991M,,,,2.577M,105.19M,7.498M,112.69M,112.69M,-1.215M,,,,,11.84M,9.536M,-67.40M,15.38M,-1.823M,,-32.46M,,72.60M,,-53.28M,0.269M,-53.01M,-18.31M,406.73M,-24.75M,310.66M,,,-24.81M,15.74M,,15.74M,,-13.79M,,,-22.87M,,149.43M,360.40M,1.731M,511.56M,,,15.74M,,,,,,
2001-12,4.944M,,,,78.42M,79.09M,18.02M,97.11M,97.11M,-53.88M,,,,,7.78M,-13.86M,26.46M,-5.657M,5.317M,,20.05M,,146.64M,,-71.90M,-2.073M,-73.97M,,,-3.843M,-77.81M,,,-2.348M,-5.366M,,-5.366M,,-7.753M,,5.573M,-9.894M,,90.52M,58.93M,-0.019M,149.43M,,,-5.366M,,,,,,
2001-09,17.26M,,,,4.225M,75.12M,0.757M,75.88M,75.88M,-7.673M,,,,,-9.159M,12.74M,3.685M,-9.006M,9.815M,,8.074M,,97.76M,,-97.17M,2.073M,-95.09M,,,8.479M,-86.62M,,,0.881M,5.366M,,5.366M,,-7.746M,,-0.63M,-2.129M,,76.75M,9.019M,4.751M,90.52M,,,5.366M,,,,,,
2001-06,-31.60M,,,,5.112M,147.35M,18.63M,81.19M,81.19M,-10.15M,,,,,2.441M,6.928M,21.07M,22.58M,9.085M,,62.10M,,106.66M,,-121.09M,-0.188M,-121.28M,,,-8.493M,-129.77M,,,68.03M,,,,,-7.743M,,1.433M,61.72M,,47.18M,38.61M,-9.047M,76.75M,,,,,,,,,
2001-03,-37.25M,,,,20.37M,,,84.79M,84.79M,-19.79M,,,,,4.216M,29.74M,-66.31M,8.215M,-5.369M,,-29.52M,,18.61M,,-99.81M,0.188M,-99.62M,,,8.794M,-90.83M,,,3.44M,,,,,-7.73M,,39.68M,35.39M,,77.56M,-36.84M,6.459M,47.18M,,,,,,,,,
2000-12,-26.78M,,,,112.71M,62.40M,9.344M,71.74M,71.74M,-42.26M,,,,,-15.21M,23.25M,40.31M,-5.018M,38.03M,,81.36M,,195.76M,,-115.94M,,-115.94M,,,30.42M,-85.52M,,,-78.03M,,,,,-7.276M,,0.938M,-84.37M,,59.53M,25.87M,-7.572M,78.00M,,,,,,,,,
2000-09,-34.66M,,,,36.29M,89.20M,30.86M,120.06M,120.06M,-9.595M,,,,,24.52M,-29.02M,17.54M,-9.291M,11.12M,,14.87M,,126.96M,,-111.48M,,-111.48M,,,-18.21M,-129.69M,,,16.29M,,,,,-6.913M,,-0.319M,9.054M,,52.26M,6.323M,0.945M,59.53M,,,,,,,,,
2000-06,-36.53M,,,,42.60M,169.40M,48.80M,102.93M,102.93M,-0.425M,,,,,-1.49M,-15.85M,31.75M,-7.353M,3.227M,,10.29M,,118.86M,,-102.70M,-1.739M,-104.44M,,,5.738M,-98.70M,,,-50.29M,,,,,-6.908M,,0.488M,-56.71M,,88.74M,-36.55M,0.074M,52.26M,,,,,,,,,
2000-03,7.977M,,,,17.40M,,,115.27M,115.27M,-12.72M,,,,,-15.82M,0.617M,-32.60M,1.662M,10.62M,,-35.52M,,92.42M,,-56.88M,1.739M,-55.14M,,,-140.94M,-196.09M,,,75.03M,,,,,-6.903M,,-1.107M,67.02M,,122.83M,-36.65M,2.553M,88.74M,,,,,,,,,
1999-12,-72.56M,,,,81.27M,,,151.48M,151.48M,-16.40M,,,,-0.20M,14.58M,5.367M,57.62M,10.15M,14.70M,,102.43M,,246.02M,,-110.64M,-177.30M,-287.94M,,,158.88M,-129.06M,,,-122.39M,,,,,-12.47M,,-31.16M,-166.03M,,20.70M,-49.07M,,122.83M,,,,,,,,,
1999-09,-39.00M,,,,44.40M,,,83.40M,83.40M,-26.20M,,,,0.10M,6.80M,-46.40M,12.90M,-6.40M,9.50M,,-23.60M,,39.10M,,-82.30M,177.30M,95.00M,,,-57.40M,37.60M,,,-132.40M,,,,,-5.10M,,-0.20M,-137.70M,,0.00,-61.00M,,20.70M,,,,,,,,,
1999-06,7.10M,,,,3.40M,,,64.20M,64.20M,-13.10M,,,,0.10M,9.70M,10.50M,20.60M,-0.80M,9.10M,,49.10M,,110.80M,,-40.30M,,-40.30M,,,-20.90M,-61.20M,,,-34.50M,,,,,-5.00M,,-0.40M,-39.90M,,72.00M,9.70M,,0.00,,,,,,,,,
1999-03,9.90M,,,,15.90M,,,61.50M,61.50M,-7.20M,,,,,1.40M,8.80M,-33.80M,-4.90M,3.70M,,-24.80M,,55.30M,,-37.00M,,-37.00M,,,-39.70M,-76.70M,,,19.70M,,,,,-5.00M,,-0.30M,14.40M,,79.10M,-7.00M,,72.00M,,,,,,,,,
1998-12,-423.90M,,,,629.90M,,,80.70M,80.70M,-206.00M,,,,0.10M,-6.20M,-14.10M,34.70M,0.90M,0.60M,,15.90M,,96.70M,,-40.70M,,-40.70M,,,-44.00M,-84.70M,,,17.00M,0.00,14.10M,14.10M,,-19.10M,,-0.30M,11.70M,,0.00,23.70M,,0.00,,,0.00,,,14.10M,,,
1998-09,6.90M,,,,12.00M,,,84.80M,84.80M,-0.20M,,,,-0.10M,5.10M,19.30M,-21.60M,6.90M,-6.90M,,2.80M,,106.20M,,-60.10M,,-60.10M,,,-40.50M,-100.60M,,,0.70M,0.30M,-14.10M,-13.80M,,9.40M,,-0.70M,-4.40M,,0.00,1.20M,,0.00,,,0.30M,,,-14.10M,,,
1998-06,26.20M,,,,11.00M,,,92.00M,92.00M,-5.10M,,,,0.10M,8.90M,-13.50M,3.00M,-10.00M,3.20M,,-8.40M,,115.80M,,-59.20M,,-59.20M,,,-79.80M,-139.00M,,,17.60M,,,,,-4.70M,,0.00,12.90M,,0.00,-10.30M,,0.00,,,,,,,,,
1998-03,30.30M,,,,8.20M,,,84.20M,84.20M,-9.70M,,,,-0.10M,9.50M,0.50M,-68.00M,-3.00M,2.90M,,-58.10M,,54.80M,,-56.00M,,-56.00M,,,-40.50M,-96.50M,,,-35.10M,,,,,-4.70M,,-0.20M,-40.00M,,146.20M,-81.70M,,0.00,,,,,,,,,
1997-12,38.70M,,,,-35.90M,,,124.00M,124.00M,0.60M,,,,0.10M,4.20M,-3.20M,51.50M,9.70M,-22.70M,,39.50M,,167.00M,,-114.80M,,-114.80M,,,-45.30M,-160.10M,,,35.20M,1.00M,,1.00M,,-4.70M,,-0.30M,31.20M,,0.00,38.10M,,146.20M,,,1.00M,,,,,,
1997-09,43.10M,,,,76.00M,,,70.40M,70.40M,-2.80M,,,,0.00,-15.70M,-43.30M,-31.40M,-0.40M,8.20M,,-82.60M,,104.10M,,-113.80M,,-113.80M,,,-0.70M,-114.50M,,,14.90M,8.60M,,8.60M,,-19.10M,,0.00,4.40M,,0.00,-6.00M,,0.00,,,8.60M,,,,,,
1997-06,-64.60M,,,,17.10M,,,66.10M,66.10M,-45.30M,,,,-0.20M,15.20M,-38.60M,42.90M,74.70M,13.00M,,107.20M,,80.30M,,-81.20M,,-81.20M,,,3.40M,-77.80M,,,-4.40M,3.00M,,3.00M,,-18.80M,,-3.40M,-23.60M,,0.00,-21.10M,,0.00,,,3.00M,,,,,,
1997-03,51.20M,,,,-4.30M,,,60.50M,60.50M,-1.30M,,,,0.10M,-15.90M,-64.20M,-21.00M,-75.60M,2.90M,,-173.80M,,-67.60M,,-105.30M,,-105.30M,,,32.60M,-72.70M,,,59.50M,,,,,-11.90M,,0.90M,48.50M,,227.10M,-91.80M,,0.00,,,,,,,,,
1996-12,21.50M,,,,-15.50M,,,54.90M,54.90M,-18.40M,,,,-0.20M,8.60M,9.10M,7.30M,4.40M,3.90M,,33.30M,,75.60M,,-127.20M,,-127.20M,,,1.90M,-125.30M,,,63.40M,-1.60M,,-1.60M,,-11.00M,,0.00,50.80M,,0.00,1.10M,,0.00,,,-1.60M,,,,,,
1996-09,46.90M,,,,2.70M,,,91.10M,91.10M,3.30M,,,,0.20M,-10.30M,-41.70M,-7.50M,4.80M,-4.10M,,-58.80M,,85.40M,,-280.30M,,-280.30M,,,-6.20M,-286.50M,,,196.10M,0.10M,,0.10M,,-19.40M,,-0.40M,176.40M,,0.00,-24.70M,,0.00,,,0.10M,,,,,,
1996-06,19.50M,,,,-0.10M,,,29.60M,29.60M,-1.50M,,,,-0.20M,0.10M,-12.20M,16.80M,-10.10M,2.00M,,-3.40M,,43.90M,,-67.10M,,-67.10M,,,-0.50M,-67.60M,,,3.30M,5.40M,,5.40M,,-12.00M,,0.10M,-3.20M,,0.00,-26.90M,,0.00,,,5.40M,,,,,,
1996-03,10.70M,,,,-0.30M,,,28.50M,28.50M,,,,,0.10M,-2.60M,-18.40M,-4.70M,-12.20M,1.60M,,-36.30M,,2.70M,,-73.20M,,-73.20M,,,-1.20M,-74.40M,,,4.60M,261.50M,,261.50M,,-11.90M,,,254.20M,,59.10M,182.50M,,0.00,,,261.50M,,,,,,
1995-12,39.10M,,,,-73.80M,,,110.30M,110.30M,-14.80M,,,,113.20M,8.60M,-26.10M,14.50M,0.60M,-15.90M,,-18.30M,,155.70M,,-288.80M,-116.40M,-405.20M,,,-12.10M,-297.50M,,,115.30M,3.10M,,-1.30M,,-17.40M,,-4.90M,91.70M,,0.00,-50.10M,,0.00,,,3.10M,,,,,,
1995-09,25.20M,,,,-2.40M,,,28.00M,28.00M,-2.90M,,,,0.10M,-5.60M,-20.30M,24.40M,-3.40M,-13.00M,,-17.90M,,30.10M,,-76.80M,0.00,-76.80M,,,-1.50M,-78.30M,,,8.00M,1.80M,,1.80M,,-14.30M,,,-4.50M,,0.00,-52.70M,,0.00,,,1.80M,,,,,,
1995-06,67.80M,,,,22.90M,,,23.80M,23.80M,6.00M,,,,-113.50M,-1.90M,-17.90M,13.50M,2.00M,20.50M,,16.20M,,23.20M,,-84.60M,116.40M,31.80M,,,-5.50M,26.30M,,,15.00M,3.00M,,3.00M,,-14.30M,,-0.10M,3.60M,,0.00,53.10M,,0.00,,,3.00M,,,,,,
1995-03,15.60M,,,,2.30M,,,24.70M,24.70M,-1.20M,,,,0.30M,13.50M,-6.70M,6.40M,5.90M,-6.30M,,12.80M,,54.50M,,-70.70M,,-70.70M,,,-19.80M,-90.50M,,,,0.10M,,0.10M,,-14.30M,,0.10M,-14.10M,,160.60M,-50.10M,,0.00,,,0.10M,,,,,,
1994-12,16.80M,,,,,,,22.80M,22.80M,0.80M,,,,-4.20M,,-23.90M,18.70M,-11.00M,5.80M,,-0.40M,,35.80M,,-91.00M,,-91.00M,,5.30M,-16.60M,-102.30M,,,0.00,1.70M,,1.70M,,-14.30M,,0.00,-12.60M,,0.00,-79.10M,,0.00,,,1.70M,,,,,,
1994-09,20.40M,,,,,,,24.20M,24.20M,-0.60M,,,,-5.30M,,15.50M,9.10M,-16.40M,-1.80M,,6.40M,,45.10M,,-112.80M,,-112.80M,,,7.50M,-105.30M,,,279.10M,4.00M,,4.00M,,-14.30M,,0.10M,268.90M,,0.00,208.70M,,0.00,,,4.00M,,,,,,
1994-06,17.30M,,,,,,,21.20M,21.20M,-20.10M,,,,-4.50M,,-13.50M,6.00M,22.80M,-20.20M,,-4.90M,,9.00M,,-103.40M,,-103.40M,,0.20M,5.10M,-98.10M,,,95.00M,2.10M,,2.10M,,-14.40M,,,82.70M,,0.00,-6.40M,,0.00,,,2.10M,,,,,,
1994-03,21.60M,,,,,,,22.90M,22.90M,-8.20M,,,,0.70M,,8.60M,-8.90M,-0.40M,10.90M,,10.20M,,47.20M,,-94.80M,,-94.80M,,-0.20M,-0.50M,-95.50M,,,27.50M,2.80M,,2.80M,,-14.30M,,,16.00M,,69.70M,-32.30M,,0.00,,,2.80M,,,,,,
1993-12,17.00M,,,,,,,26.80M,26.80M,0.40M,,,,-3.40M,-2.30M,-28.20M,-9.00M,17.50M,-32.20M,,-54.20M,,-13.40M,,-84.90M,,-84.90M,,71.70M,-53.50M,-66.70M,,,-22.60M,16.70M,,16.70M,,-14.30M,,,-20.20M,,0.00,-100.30M,,0.00,,,16.70M,,,,,,
1993-09,25.60M,,,,,,,27.20M,27.20M,-13.00M,,,,-3.60M,-0.30M,-14.80M,9.30M,-2.00M,-8.10M,,-15.90M,,20.30M,,-57.50M,,-57.50M,,-66.90M,73.60M,-50.80M,,,-17.50M,4.40M,,4.40M,,-14.20M,,,-27.30M,,0.00,-57.80M,,0.00,,,4.40M,,,,,,
1993-06,39.50M,,,,,,,27.80M,27.80M,-53.20M,,,,31.80M,2.60M,-24.80M,-7.90M,-16.30M,13.90M,,-32.50M,,13.40M,,-42.60M,,-42.60M,,66.60M,-5.40M,18.60M,,,-22.10M,4.60M,,4.60M,,-14.20M,,0.10M,-31.60M,,0.00,0.40M,,0.00,,,4.60M,,,,,,
1993-03,12.60M,,,,,,,28.20M,28.20M,,,,,-28.30M,,,,,,,,,12.50M,,-50.30M,,-50.30M,,,-4.10M,-54.40M,,,-6.70M,0.40M,,0.40M,,-15.30M,,-0.10M,-21.70M,,291.00M,-63.60M,,0.00,,,0.40M,,,,,,
1992-12,4.00M,,,,,,,24.80M,24.80M,4.40M,,,,-3.30M,-1.40M,11.50M,-13.00M,-15.90M,21.70M,,2.90M,,32.80M,,-96.20M,,-96.20M,,-0.20M,-0.40M,-96.80M,,,-21.60M,279.90M,,279.90M,,-10.20M,,,248.20M,,0.00,184.20M,,0.00,,,279.90M,,,,,,
1992-09,18.30M,,,,,,,25.10M,25.10M,-9.40M,,,,-3.20M,1.40M,-22.00M,11.20M,-6.10M,-9.80M,,-25.30M,,5.50M,,-49.60M,,-49.60M,,-0.30M,3.80M,-46.10M,,,-4.30M,6.50M,,6.50M,,-10.20M,,,-8.00M,,0.00,-48.60M,,0.00,,,6.50M,,,,,,
1992-06,24.30M,,,,,,,25.20M,25.20M,-9.70M,,,,-5.10M,2.90M,28.60M,-9.00M,-6.10M,2.70M,,19.10M,,53.80M,,-41.90M,,-41.90M,,-0.90M,2.90M,-39.90M,,,138.70M,2.40M,,2.40M,,-10.20M,,,130.90M,,0.00,144.80M,,0.00,,,2.40M,,,,,,
1992-03,44.00M,,,,,,,23.70M,23.70M,-15.90M,,,,-15.00M,-3.00M,-4.00M,-6.10M,-0.70M,16.20M,,2.40M,,39.20M,,-19.90M,,-19.90M,,,0.20M,-19.70M,,,-22.00M,4.50M,,4.50M,,-10.20M,,,-27.70M,,18.90M,-8.20M,,0.00,,,4.50M,,,,,,
1991-12,22.70M,,,,-4.50M,,,22.00M,22.00M,8.00M,,,,2.40M,0.20M,-7.60M,17.10M,-2.20M,-28.20M,,-20.70M,,29.90M,,-27.90M,,-27.90M,,0.10M,6.80M,-21.00M,,,-22.00M,2.10M,,2.10M,,-10.10M,,-0.10M,-30.10M,,0.00,-21.20M,,0.00,,,2.10M,,,,,,
1991-09,12.20M,,,,-31.60M,,,23.60M,23.60M,-12.00M,,,,-2.00M,0.00,1.60M,7.50M,-5.40M,33.00M,,36.70M,,26.90M,,-35.00M,,-35.00M,,-0.40M,0.50M,-34.90M,,,-45.00M,1.00M,,1.00M,,-10.20M,,0.10M,-54.10M,,0.00,-62.10M,,0.00,,,1.00M,,,,,,
1991-06,22.00M,,,,,,,25.70M,25.70M,-1.90M,,,,-2.40M,5.50M,-4.50M,-8.30M,0.40M,3.70M,,-3.20M,,40.20M,,-17.80M,,-17.80M,,0.00,1.30M,-16.50M,,,-22.90M,0.10M,,0.10M,,-10.10M,,-0.10M,-33.00M,,0.00,-9.30M,,0.00,,,0.10M,,,,,,
1991-03,37.40M,,,,,,,22.70M,22.70M,-10.80M,,,,-1.20M,-0.60M,-24.10M,-15.10M,0.60M,-7.60M,,-46.80M,,1.30M,,-14.80M,,-14.80M,,3.30M,0.20M,-11.30M,,,1.20M,,,,,-10.20M,,0.10M,-8.90M,,130.40M,-18.90M,,0.00,,,,,,,,,
1990-12,5.20M,,,,,,,28.50M,28.50M,-5.20M,,,,2.00M,-1.20M,32.00M,-139.10M,-0.60M,27.80M,,-81.10M,,-50.60M,,-17.50M,,-17.50M,,-137.50M,139.50M,-15.50M,,,-47.50M,0.20M,,0.20M,,-10.20M,,,-57.40M,,0.00,-120.40M,,0.00,,3.10M,0.20M,,,,,,
1990-09,248.40M,,,,,,,19.40M,19.40M,12.00M,,,,-379.50M,7.40M,-17.10M,123.50M,-8.20M,9.70M,,115.30M,,15.60M,,-14.00M,,-14.00M,,-62.50M,718.10M,641.60M,,,-599.80M,2.60M,,2.60M,,-10.10M,,,-607.30M,,0.00,-221.80M,,0.00,,-271.70M,2.60M,,,,,,
1990-06,31.60M,,,,,,,18.70M,18.70M,1.80M,,,,-8.30M,-5.40M,21.60M,7.40M,2.60M,-0.80M,,25.40M,,69.20M,,-12.40M,,-12.40M,,200.00M,-2.90M,184.70M,,,-53.20M,0.00,,0.00,,-10.20M,,,-63.40M,,0.00,188.80M,,0.00,,-1.70M,0.00,,,,,,
1990-03,57.40M,,,,,,,18.20M,18.20M,-5.30M,,,,-16.70M,-4.90M,-17.30M,12.90M,-5.00M,2.00M,,-12.30M,,41.30M,,-16.20M,,-16.20M,,,,-16.20M,,,-8.50M,2.10M,,2.10M,,-10.10M,,,-16.50M,,4.80M,10.60M,,0.00,,2.00M,2.10M,,,,,,
