,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,2.444B,2.444B,3.042B,3.042B,1.234B,663.00M,1.897B,342.00M,7.725B,,,,,,,8.065B,-4.766B,3.299B,5.821B,2.203B,8.024B,737.00M,12.06B,19.78B,1.603B,147.00M,1.75B,2.362B,4.112B,,,,1.833B,1.833B,,,,5.945B,333.00M,3.357B,,3.357B,262.00M,262.00M,,661.00M,,45.00M,690.00M,5.303B,11.25B,477.00M,22.25B,323.00M,13.74B,,,-827.00M,8.492B
2017-12,3.096B,3.096B,2.881B,2.881B,1.204B,641.00M,1.845B,330.00M,8.152B,,,,,,,7.93B,-4.651B,3.279B,5.616B,2.118B,7.734B,693.00M,11.71B,19.86B,1.596B,217.00M,1.813B,2.286B,4.099B,,,,2.093B,2.093B,,,,6.192B,336.00M,3.375B,,3.375B,244.00M,244.00M,,659.00M,,39.00M,664.00M,5.278B,11.47B,477.00M,22.08B,306.00M,13.52B,,,-992.00M,8.349B
2017-09,3.062B,3.062B,3.072B,3.072B,1.136B,560.00M,1.696B,422.00M,8.252B,0.0,295.00M,2.043B,5.175B,,360.00M,7.873B,-4.552B,3.321B,5.316B,1.89B,7.206B,810.00M,11.34B,19.59B,1.776B,65.00M,1.841B,2.342B,4.183B,592.00M,,270.00M,862.00M,862.00M,,,,5.045B,340.00M,3.794B,,3.794B,425.00M,425.00M,,664.00M,,52.00M,551.00M,5.774B,10.82B,477.00M,22.00B,297.00M,13.03B,,,-1.019B,8.718B
2017-06,3.14B,3.14B,2.926B,2.926B,1.213B,678.00M,1.891B,597.00M,8.554B,,,,,,,7.921B,-4.617B,3.304B,5.296B,1.868B,7.164B,380.00M,10.85B,19.40B,1.613B,219.00M,1.832B,2.175B,4.007B,,,,1.363B,1.363B,,,,5.37B,,3.797B,,3.797B,426.00M,426.00M,,941.00M,0.00,56.00M,846.00M,6.01B,11.38B,477.00M,21.80B,350.00M,13.09B,,,-1.575B,7.966B
2017-03,5.039B,5.039B,2.479B,2.479B,897.00M,434.00M,1.331B,597.00M,9.446B,,,,,,,7.405B,-4.525B,2.88B,3.891B,869.00M,4.76B,191.00M,7.831B,17.28B,1.368B,199.00M,1.567B,1.952B,3.519B,,,,252.00M,252.00M,,,,3.771B,,3.816B,,3.816B,182.00M,182.00M,,952.00M,0.00,51.00M,499.00M,5.449B,9.22B,477.00M,21.70B,337.00M,12.81B,,,-1.69B,8.006B
2016-12,4.151B,4.151B,2.426B,2.426B,855.00M,423.00M,1.278B,552.00M,8.877B,,,,,,,7.293B,-4.432B,2.861B,3.861B,879.00M,4.74B,993.00M,8.594B,17.47B,1.335B,396.00M,1.731B,1.872B,3.603B,,,,254.00M,254.00M,,,289.00M,4.146B,,3.815B,,3.815B,213.00M,213.00M,,986.00M,89.00M,41.00M,468.00M,5.571B,9.717B,477.00M,21.71B,306.00M,12.75B,,,-2.03B,7.713B
2016-09,3.182B,3.182B,2.701B,2.701B,826.00M,382.00M,1.208B,669.00M,9.96B,0.0,210.00M,1.867B,4.932B,,318.00M,7.327B,-4.396B,2.931B,3.909B,902.00M,4.811B,4.03B,11.77B,21.73B,1.517B,180.00M,1.697B,2.126B,3.823B,2.317B,,267.00M,2.584B,2.584B,,,1.601B,8.008B,52.00M,4.051B,,4.051B,210.00M,210.00M,,1.037B,326.00M,50.00M,430.00M,6.106B,14.11B,477.00M,21.72B,205.00M,12.83B,,,-1.999B,7.568B
2016-06,3.516B,3.516B,4.014B,4.014B,1.273B,676.00M,1.949B,741.00M,10.22B,,,,,,,9.115B,-5.594B,3.521B,6.667B,1.411B,8.078B,263.00M,11.86B,22.08B,2.23B,79.00M,2.309B,2.797B,5.106B,,,,3.22B,3.22B,,,,8.326B,,4.062B,,4.062B,461.00M,461.00M,,731.00M,,54.00M,547.00M,5.801B,14.13B,477.00M,21.58B,200.00M,12.80B,,,-1.564B,7.901B
2016-03,3.322B,3.322B,3.874B,3.874B,1.249B,701.00M,1.95B,767.00M,9.913B,,,,,,,9.034B,-5.511B,3.523B,6.642B,1.437B,8.079B,249.00M,11.85B,21.76B,2.14B,88.00M,2.228B,2.722B,4.95B,,,,3.232B,3.232B,,,,8.182B,,4.062B,,4.062B,453.00M,453.00M,,776.00M,,51.00M,548.00M,5.839B,14.02B,477.00M,21.41B,189.00M,12.80B,,,-1.582B,7.692B
2015-12,3.109B,3.109B,3.842B,3.842B,1.215B,688.00M,1.903B,840.00M,9.694B,,,,,,,8.905B,-5.385B,3.52B,6.601B,1.467B,8.068B,270.00M,11.86B,21.55B,2.075B,102.00M,2.177B,2.616B,4.793B,,,,3.409B,3.409B,,,,8.202B,,4.043B,,4.043B,453.00M,453.00M,,824.00M,,41.00M,533.00M,5.853B,14.06B,477.00M,21.35B,178.00M,12.81B,,,-1.738B,7.456B
2015-09,3.054B,3.054B,2.87B,2.87B,847.00M,418.00M,1.265B,724.00M,10.05B,0.0,190.00M,1.762B,4.774B,,379.00M,7.105B,-4.176B,2.929B,3.847B,938.00M,4.785B,4.325B,12.04B,22.09B,1.537B,87.00M,1.624B,2.058B,3.682B,2.261B,,291.00M,2.552B,2.552B,,,1.566B,7.80B,,4.289B,,4.289B,270.00M,270.00M,,742.00M,332.00M,47.00M,527.00M,6.16B,13.96B,477.00M,21.31B,170.00M,12.26B,,,-1.617B,8.081B
2015-06,3.393B,3.393B,4.272B,4.272B,1.334B,810.00M,2.144B,835.00M,10.64B,,,,,,,9.052B,-5.442B,3.61B,6.93B,1.575B,8.505B,705.00M,12.82B,23.46B,2.402B,53.00M,2.455B,2.678B,5.133B,,,,3.179B,3.179B,,,,8.312B,,4.29B,,4.29B,637.00M,637.00M,,759.00M,,50.00M,667.00M,6.353B,14.66B,477.00M,20.97B,162.00M,11.80B,,,-1.056B,8.749B
2015-03,3.256B,3.256B,4.299B,4.299B,1.345B,762.00M,2.107B,682.00M,10.34B,,,,,,,8.911B,-5.341B,3.57B,6.805B,1.555B,8.36B,694.00M,12.62B,22.97B,2.407B,410.00M,2.817B,2.595B,5.412B,,,,3.358B,3.358B,,,,8.77B,,3.272B,,3.272B,543.00M,543.00M,,754.00M,,50.00M,661.00M,5.23B,14.00B,477.00M,20.72B,173.00M,11.18B,,,-1.273B,8.918B
2014-12,3.122B,3.122B,4.404B,4.404B,1.354B,767.00M,2.121B,836.00M,10.48B,,,,,,,8.986B,-5.355B,3.631B,6.94B,1.649B,8.589B,1.021B,13.24B,23.72B,2.468B,285.00M,2.753B,2.64B,5.393B,,,,3.484B,3.484B,,,,8.877B,,3.289B,,3.289B,555.00M,555.00M,,783.00M,,43.00M,664.00M,5.291B,14.17B,477.00M,20.07B,162.00M,10.32B,,,-875.00M,9.513B
2014-09,3.149B,3.149B,5.019B,5.019B,1.316B,741.00M,2.057B,642.00M,10.87B,0.0,275.00M,2.355B,6.353B,,428.00M,9.411B,-5.609B,3.802B,7.182B,1.689B,8.871B,637.00M,13.31B,24.18B,2.951B,162.00M,3.113B,2.876B,5.989B,1.938B,5.00M,522.00M,2.465B,2.465B,,,,8.454B,,3.559B,,3.559B,572.00M,572.00M,,797.00M,,48.00M,628.00M,5.556B,14.01B,477.00M,19.87B,161.00M,9.811B,,,-575.00M,10.12B
2014-06,3.049B,3.049B,4.772B,4.772B,1.439B,814.00M,2.253B,739.00M,10.81B,,,,,,,9.413B,-5.676B,3.737B,7.917B,1.768B,9.685B,880.00M,14.30B,25.12B,2.645B,177.00M,2.822B,2.736B,5.558B,,,,2.975B,2.975B,,,,8.533B,,3.565B,,3.565B,747.00M,747.00M,,771.00M,,53.00M,626.00M,5.709B,14.24B,477.00M,19.76B,220.00M,9.582B,,,-52.00M,10.82B
2014-03,2.724B,2.724B,4.563B,4.563B,1.422B,811.00M,2.233B,683.00M,10.20B,,,,,,,9.304B,-5.612B,3.692B,7.875B,1.81B,9.685B,766.00M,14.14B,24.35B,2.522B,66.00M,2.588B,2.583B,5.171B,,,,2.661B,2.661B,,,,7.832B,,3.836B,,3.836B,774.00M,774.00M,,778.00M,,48.00M,601.00M,5.989B,13.82B,477.00M,19.33B,200.00M,9.405B,,,-128.00M,10.48B
2013-12,2.737B,2.737B,4.429B,4.429B,1.356B,806.00M,2.162B,671.00M,9.999B,,,,,,,9.194B,-5.555B,3.639B,7.871B,1.839B,9.71B,776.00M,14.12B,24.12B,2.425B,199.00M,2.624B,2.526B,5.15B,,,,1.958B,1.958B,,,,7.108B,,3.834B,,3.834B,922.00M,922.00M,,775.00M,,142.00M,602.00M,6.133B,13.24B,477.00M,19.09B,528.00M,9.206B,,,-146.00M,10.74B
2013-09,3.275B,3.275B,4.808B,4.808B,1.217B,678.00M,1.895B,1.021B,11.00B,0.0,278.00M,1.965B,6.44B,,409.00M,9.092B,-5.487B,3.605B,7.509B,1.672B,9.181B,926.00M,13.71B,24.71B,2.725B,129.00M,2.854B,3.184B,6.038B,1.304B,16.00M,267.00M,1.587B,1.587B,,,,7.625B,,4.055B,,4.055B,823.00M,823.00M,,802.00M,,133.00M,688.00M,6.368B,13.99B,477.00M,18.93B,352.00M,8.985B,,,-189.00M,10.58B
2013-06,2.81B,2.81B,4.725B,4.725B,1.469B,835.00M,2.304B,667.00M,10.51B,,,,,,,9.117B,-5.642B,3.475B,7.514B,1.698B,9.212B,320.00M,13.01B,23.51B,2.614B,67.00M,2.681B,2.783B,5.464B,,,,1.486B,1.486B,,,,6.95B,,4.059B,,4.059B,591.00M,591.00M,,978.00M,,148.00M,671.00M,6.299B,13.25B,477.00M,18.43B,344.00M,8.388B,,,-745.00M,10.12B
2013-03,2.615B,2.615B,4.559B,4.559B,1.479B,848.00M,2.327B,688.00M,10.19B,,,,,,,9.083B,-5.602B,3.481B,8.007B,1.734B,9.741B,313.00M,13.54B,23.72B,2.46B,48.00M,2.508B,2.651B,5.159B,,,,1.485B,1.485B,,,,6.644B,,4.059B,,4.059B,629.00M,629.00M,,1.05B,,142.00M,668.00M,6.406B,13.05B,477.00M,18.53B,336.00M,8.102B,,,-708.00M,10.53B
2012-12,2.527B,2.527B,4.556B,4.556B,1.465B,843.00M,2.308B,695.00M,10.09B,,,,,,,9.027B,-5.524B,3.503B,8.068B,1.798B,9.866B,316.00M,13.68B,23.77B,2.431B,212.00M,2.643B,2.648B,5.291B,,,,1.912B,1.912B,,,,7.203B,,3.542B,,3.542B,641.00M,641.00M,,1.131B,,140.00M,636.00M,5.95B,13.15B,477.00M,18.26B,326.00M,7.972B,,,-617.00M,10.48B
2012-09,2.367B,2.367B,4.983B,4.983B,1.378B,747.00M,2.125B,651.00M,10.13B,0.0,268.00M,2.103B,6.193B,,370.00M,8.934B,-5.425B,3.509B,8.026B,1.838B,9.864B,319.00M,13.69B,23.82B,2.767B,128.00M,2.895B,2.732B,5.627B,936.00M,10.00M,560.00M,1.506B,1.506B,,,,7.133B,,3.787B,,3.787B,592.00M,592.00M,,1.142B,,147.00M,722.00M,6.243B,13.38B,477.00M,18.11B,324.00M,7.882B,,,-731.00M,10.30B
2012-06,2.292B,2.292B,,4.601B,1.522B,845.00M,2.367B,743.00M,10.00B,,,,,,,8.821B,-5.403B,3.418B,8.739B,1.856B,10.60B,310.00M,14.32B,24.33B,2.617B,158.00M,2.775B,2.561B,5.336B,,,,2.06B,2.06B,,,,7.396B,,3.789B,,3.789B,,,,,,146.00M,2.476B,6.265B,13.66B,477.00M,18.12B,317.00M,7.623B,,,-767.00M,10.52B
2012-03,2.153B,2.153B,,4.319B,1.553B,849.00M,2.402B,670.00M,9.544B,,,,,,,8.831B,-5.382B,3.449B,8.866B,1.936B,10.80B,339.00M,14.59B,24.13B,2.419B,178.00M,2.597B,2.50B,5.097B,,,,1.828B,1.828B,,,,6.925B,,4.018B,,4.018B,,,,,,144.00M,2.536B,6.554B,13.48B,477.00M,17.64B,311.00M,7.419B,,,-496.00M,10.51B
2011-12,2.076B,2.076B,4.04B,4.04B,1.521B,796.00M,2.317B,642.00M,9.075B,,,,,,,8.746B,-5.331B,3.415B,8.723B,1.893B,10.62B,338.00M,14.37B,23.44B,2.302B,170.00M,2.472B,2.484B,4.956B,,,,1.578B,1.578B,,,,6.534B,,4.041B,,4.041B,735.00M,735.00M,,1.093B,,143.00M,708.00M,6.577B,13.11B,477.00M,17.39B,306.00M,7.351B,,,-629.00M,10.19B
2011-09,2.052B,2.052B,4.611B,4.502B,1.358B,742.00M,2.10B,691.00M,9.345B,0.0,266.00M,2.01B,6.115B,,340.00M,8.731B,-5.294B,3.437B,8.771B,1.969B,10.74B,339.00M,14.52B,23.86B,2.677B,139.00M,2.816B,2.772B,5.588B,,,,877.00M,877.00M,,,,6.465B,,4.324B,,4.324B,361.00M,361.00M,,1.496B,,152.00M,664.00M,6.845B,13.31B,477.00M,17.31B,317.00M,7.143B,,,-562.00M,10.40B
2011-06,1.781B,1.781B,,4.443B,1.555B,867.00M,2.422B,637.00M,9.283B,,,,,,,8.738B,-5.356B,3.382B,8.974B,2.074B,11.05B,391.00M,14.82B,24.10B,2.633B,156.00M,2.789B,2.657B,5.446B,,,,862.00M,862.00M,,,,6.308B,,4.353B,,4.353B,784.00M,784.00M,645.00M,1.002B,,155.00M,13.00M,6.797B,13.10B,477.00M,16.81B,375.00M,6.741B,,,-74.00M,10.84B
2011-03,1.593B,1.593B,,4.231B,1.514B,810.00M,2.324B,650.00M,8.798B,,,,,,,8.583B,-5.28B,3.303B,8.905B,2.146B,11.05B,383.00M,14.74B,23.54B,2.463B,118.00M,2.581B,2.582B,5.163B,,,,771.00M,771.00M,,,,5.934B,,4.353B,,4.353B,,,,,,160.00M,2.443B,6.796B,12.73B,477.00M,16.38B,356.00M,6.421B,,,-150.00M,10.64B
2010-12,1.493B,1.493B,,3.956B,1.41B,797.00M,2.207B,649.00M,8.305B,,,,,,,8.412B,-5.157B,3.255B,8.666B,2.096B,10.76B,381.00M,14.40B,22.70B,2.243B,110.00M,2.353B,2.447B,4.80B,,,,800.00M,800.00M,,,,5.60B,,4.352B,,4.352B,,,,,,153.00M,2.428B,6.78B,12.38B,477.00M,16.09B,345.00M,6.308B,,,-432.00M,10.17B
2010-09,1.592B,1.592B,4.087B,3.989B,1.359B,746.00M,2.105B,677.00M,8.363B,0.0,213.00M,1.902B,5.964B,,228.00M,8.307B,-5.02B,3.287B,8.656B,2.15B,10.81B,387.00M,14.48B,22.84B,2.409B,96.00M,2.505B,2.864B,5.369B,,,,480.00M,480.00M,,,,5.849B,,4.586B,,4.586B,,,,,,160.00M,2.456B,7.042B,12.89B,477.00M,15.87B,192.00M,6.32B,,,-426.00M,9.792B
2010-03,2.159B,2.159B,,3.654B,1.288B,787.00M,2.075B,620.00M,8.508B,,,,,,,8.90B,-5.533B,3.367B,7.63B,,7.63B,2.215B,13.21B,21.72B,2.122B,52.00M,2.174B,2.556B,4.73B,,,,1.269B,1.269B,,,,5.999B,,4.581B,,4.581B,,,,,,150.00M,2.135B,6.716B,12.72B,477.00M,15.04B,165.00M,6.269B,,,-558.00M,8.855B
2009-12,1.84B,1.84B,,3.65B,1.231B,725.00M,1.956B,617.00M,8.063B,,,,,,,8.992B,-5.517B,3.475B,7.647B,,7.647B,2.304B,13.43B,21.49B,1.991B,100.00M,2.091B,2.474B,4.565B,,,,1.24B,1.24B,,,,5.805B,,4.558B,,4.558B,,,,,,147.00M,2.188B,6.746B,12.55B,477.00M,14.89B,173.00M,6.281B,,,-466.00M,8.791B
2009-09,1.56B,1.56B,,3.623B,1.158B,697.00M,1.855B,615.00M,7.653B,0.0,219.00M,1.935B,6.511B,,229.00M,8.894B,-5.394B,3.50B,7.078B,1.144B,8.222B,388.00M,12.11B,19.76B,1.949B,52.00M,2.001B,2.378B,4.379B,,,,577.00M,577.00M,,,,4.956B,,3.998B,,3.998B,,,,,,151.00M,2.103B,6.101B,11.06B,477.00M,14.71B,157.00M,6.297B,,,-496.00M,8.555B
2009-06,1.382B,1.382B,,3.72B,1.263B,799.00M,2.062B,554.00M,7.718B,,,,,,,8.783B,-5.308B,3.475B,6.976B,,6.976B,2.155B,12.61B,20.32B,1.824B,24.00M,1.848B,2.308B,4.156B,,,,837.00M,837.00M,,,,4.993B,,4.464B,,4.464B,,,,,,,2.207B,6.671B,11.66B,477.00M,14.47B,152.00M,6.307B,,,-133.00M,8.66B
2009-03,1.507B,1.507B,,3.757B,1.364B,893.00M,2.257B,611.00M,8.132B,,,,,,,8.667B,-5.22B,3.447B,6.616B,,6.616B,1.796B,11.86B,19.99B,1.871B,38.00M,1.909B,2.316B,4.225B,,,,1.722B,1.722B,,,,5.947B,,3.696B,,3.696B,,,,,,,2.136B,5.832B,11.78B,477.00M,14.33B,146.00M,6.312B,,,-430.00M,8.212B
2008-12,1.668B,1.668B,4.007B,4.007B,1.49B,980.00M,2.47B,728.00M,8.873B,,,,,,,8.589B,-5.13B,3.459B,6.556B,,6.556B,1.634B,11.65B,20.52B,2.171B,,2.171B,2.412B,4.583B,,,,2.042B,2.042B,,,203.00M,6.828B,,3.234B,,3.234B,566.00M,566.00M,,,,158.00M,1.334B,5.134B,11.96B,477.00M,14.21B,140.00M,6.067B,,,-356.00M,8.402B
2008-09,1.777B,1.777B,,4.618B,1.464B,884.00M,2.348B,588.00M,9.331B,0.0,201.00M,1.737B,6.296B,,457.00M,8.691B,-5.184B,3.507B,6.562B,,6.562B,1.64B,11.71B,21.04B,2.699B,173.00M,2.872B,2.48B,5.352B,,,,1.221B,1.221B,,,,6.573B,,3.297B,,3.297B,,,,,,,2.057B,5.354B,11.93B,477.00M,14.00B,146.00M,5.653B,,,141.00M,9.113B
2008-06,2.057B,2.057B,4.663B,4.663B,1.596B,966.00M,2.562B,812.00M,10.09B,,,,,,,8.728B,-5.27B,3.458B,6.713B,767.00M,7.48B,1.164B,12.10B,22.20B,2.563B,,2.563B,2.506B,5.069B,,,,1.732B,1.732B,,,242.00M,7.043B,,3.298B,,3.298B,514.00M,514.00M,,,,184.00M,1.403B,5.215B,12.26B,477.00M,13.55B,200.00M,5.292B,,,823.00M,9.754B
2008-03,1.767B,1.767B,4.377B,4.377B,1.555B,977.00M,2.532B,762.00M,9.438B,,,,,,,8.568B,-5.155B,3.413B,6.658B,,6.658B,1.941B,12.01B,21.45B,2.403B,,2.403B,2.342B,4.745B,,,,1.609B,1.609B,,,234.00M,6.588B,,3.338B,,3.338B,500.00M,500.00M,,,,181.00M,1.363B,5.201B,11.79B,477.00M,13.17B,188.00M,5.059B,,,705.00M,9.48B
2007-12,1.706B,1.706B,4.296B,4.296B,1.511B,969.00M,2.48B,512.00M,8.994B,,,,,,,8.605B,-5.17B,3.435B,6.595B,814.00M,7.409B,1.016B,11.86B,20.85B,2.329B,,2.329B,2.151B,4.48B,,,,1.696B,1.696B,,,232.00M,6.408B,,3.197B,,3.197B,540.00M,540.00M,,,,171.00M,1.364B,5.101B,11.51B,477.00M,12.86B,174.00M,4.779B,,,444.00M,9.174B
2007-09,1.008B,1.008B,4.26B,4.26B,1.343B,884.00M,2.227B,570.00M,8.065B,0.0,199.00M,1.683B,6.138B,,414.00M,8.434B,-5.003B,3.431B,6.412B,,6.412B,1.772B,11.62B,19.68B,2.501B,,2.501B,2.337B,4.838B,,,,404.00M,404.00M,,,304.00M,5.546B,,3.372B,,3.372B,519.00M,519.00M,,,,191.00M,1.28B,5.171B,10.72B,477.00M,12.54B,31.00M,4.654B,459.00M,-77.00M,382.00M,8.772B
2007-06,1.331B,1.331B,4.083B,4.083B,1.376B,933.00M,2.309B,648.00M,8.371B,,,,,,,8.279B,-5.00B,3.279B,6.289B,686.00M,6.975B,1.45B,11.70B,20.08B,2.247B,,2.247B,2.198B,4.445B,,,,954.00M,954.00M,,,283.00M,5.682B,,3.623B,,3.623B,753.00M,753.00M,,,,183.00M,1.131B,5.507B,11.19B,477.00M,12.12B,21.00M,4.434B,,,518.00M,8.703B
2007-03,1.094B,1.094B,3.888B,3.888B,1.411B,977.00M,2.388B,619.00M,7.989B,,,,,,,7.928B,-4.669B,3.259B,6.24B,,6.24B,2.044B,11.54B,19.53B,2.137B,,2.137B,2.016B,4.153B,,,,1.349B,1.349B,,,284.00M,5.786B,,3.375B,,3.375B,747.00M,747.00M,,,,180.00M,1.098B,5.22B,11.01B,477.00M,11.76B,13.00M,4.302B,,,403.00M,8.346B
