,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2017-03,679.60M,679.60M,209.80M,469.80M,202.90M,73.50M,,,8.70M,,276.40M,193.40M,,8.70M,,8.70M,202.10M,21.30M,180.80M,0.00,180.80M,180.80M,216.10M,22.70M,193.40M,1.62,,1.62,1.62,1.57,,1.57,1.57,111.90M,115.50M
2016-12,759.00M,759.00M,229.00M,530.00M,192.00M,69.10M,,,11.70M,,261.10M,268.90M,,11.70M,,11.70M,280.60M,74.20M,206.40M,,206.40M,206.40M,293.00M,24.10M,268.90M,1.7530000000000001,,1.7530000000000001,1.7530000000000001,1.71,,1.71,1.71,115.80M,118.80M
2016-09,682.90M,682.90M,195.90M,487.00M,168.00M,62.60M,,,10.40M,,230.60M,256.40M,,10.40M,,10.40M,266.80M,55.80M,211.00M,,211.00M,211.00M,278.70M,22.30M,256.40M,1.82,,1.82,1.82,1.77,,1.77,1.77,116.10M,119.10M
2016-06,670.10M,670.10M,199.20M,470.90M,170.80M,54.70M,,,8.00M,,225.50M,245.40M,,8.00M,,8.00M,253.40M,68.90M,184.50M,,184.50M,184.50M,267.70M,22.30M,245.40M,1.607,,1.607,1.607,1.57,,1.57,1.57,114.90M,117.60M
2016-03,594.50M,594.50M,189.50M,405.00M,172.80M,53.20M,,,5.50M,,226.00M,179.00M,,5.50M,,5.50M,184.50M,48.10M,136.40M,,136.40M,136.40M,202.40M,23.40M,179.00M,1.207,,1.207,1.207,1.18,,1.18,1.18,113.10M,115.50M
2015-12,676.50M,676.50M,217.70M,458.80M,160.30M,52.60M,,,5.90M,,212.90M,245.90M,,5.90M,,5.90M,251.80M,61.80M,190.00M,,190.00M,190.00M,270.50M,24.60M,245.90M,1.6969999999999998,,1.6969999999999998,1.6969999999999998,1.663,,1.663,1.663,112.20M,114.60M
2015-09,589.70M,589.70M,193.90M,395.80M,154.90M,51.00M,,,3.70M,,205.90M,189.90M,,3.70M,,3.70M,193.60M,26.30M,167.30M,,167.30M,167.30M,213.50M,23.60M,189.90M,1.4969999999999999,,1.4969999999999999,1.4969999999999999,1.4669999999999999,,1.4669999999999999,1.4669999999999999,111.90M,114.00M
2015-06,586.10M,586.10M,199.60M,386.50M,163.30M,49.40M,,,4.60M,,212.70M,173.80M,,4.60M,,4.60M,178.40M,43.90M,134.50M,,134.50M,134.50M,194.90M,21.10M,173.80M,1.213,,1.213,1.213,1.187,,1.187,1.187,110.70M,113.40M
2015-03,532.10M,532.10M,195.30M,336.80M,162.00M,44.40M,,,4.30M,,206.40M,130.40M,,4.30M,,4.30M,134.70M,37.70M,97.00M,,97.00M,97.00M,150.60M,20.20M,130.40M,0.88,,0.88,0.88,0.8567,,0.8567,0.8567,110.10M,113.10M
2014-12,604.70M,604.70M,211.30M,393.40M,160.00M,47.30M,,,-1.30M,,207.30M,186.10M,,-1.30M,,-1.30M,184.80M,38.00M,146.80M,,146.80M,146.80M,206.40M,20.30M,186.10M,1.34,,1.34,1.34,1.31,,1.31,1.31,108.90M,111.30M
2014-09,550.10M,550.10M,189.50M,360.60M,154.00M,47.50M,,,2.00M,,201.50M,159.10M,,2.00M,,2.00M,161.10M,37.40M,123.70M,,123.70M,123.70M,179.00M,19.90M,159.10M,1.143,,1.143,1.143,1.117,,1.117,1.117,108.30M,110.70M
2014-06,512.20M,512.20M,167.80M,344.40M,161.20M,40.20M,,,-0.40M,,201.40M,143.00M,,-0.40M,,-0.40M,142.60M,38.60M,104.00M,,104.00M,104.00M,160.20M,17.20M,143.00M,0.94,,0.94,0.94,0.9233,,0.9233,0.9233,110.70M,112.80M
2014-03,464.70M,464.70M,149.30M,315.40M,215.80M,43.00M,,,3.90M,,258.80M,56.60M,,3.90M,,3.90M,60.50M,16.20M,44.30M,,44.30M,44.30M,73.60M,17.00M,56.60M,0.3867,,0.3867,0.3867,0.3767,,0.3767,0.3767,114.90M,117.30M
2013-12,576.20M,576.20M,178.20M,398.00M,147.70M,41.70M,,,5.90M,,189.40M,208.60M,,5.90M,,5.90M,214.50M,48.30M,166.20M,,166.20M,166.20M,226.70M,18.10M,208.60M,1.4269999999999998,,1.4269999999999998,1.4269999999999998,1.4269999999999998,,1.4269999999999998,1.4269999999999998,114.00M,116.70M
2013-09,499.00M,499.00M,142.30M,356.70M,139.30M,43.20M,,,3.90M,,182.50M,174.20M,,3.90M,,3.90M,178.10M,21.30M,156.80M,,156.80M,156.80M,190.80M,16.60M,174.20M,1.3530000000000002,,1.3530000000000002,1.3530000000000002,1.33,,1.33,1.33,115.80M,117.90M
2013-06,578.50M,578.50M,173.30M,405.20M,145.50M,41.20M,,,4.30M,,186.70M,218.50M,,4.30M,,4.30M,222.80M,63.70M,159.10M,,159.10M,159.10M,235.10M,16.60M,218.50M,1.33,,1.33,1.33,1.3,,1.3,1.3,119.70M,122.40M
2013-03,611.40M,611.40M,177.10M,434.30M,141.50M,41.60M,,,4.30M,,183.10M,251.20M,,4.30M,,4.30M,255.50M,66.60M,188.90M,,188.90M,188.90M,267.20M,16.00M,251.20M,1.5630000000000002,,1.5630000000000002,1.5630000000000002,1.52,,1.52,1.52,120.90M,124.20M
2012-12,609.30M,609.30M,171.40M,437.90M,148.10M,41.70M,,,3.70M,,189.80M,248.10M,,3.70M,,3.70M,251.80M,76.90M,174.90M,,174.90M,174.90M,263.50M,15.40M,248.10M,1.4569999999999999,,1.4569999999999999,1.4569999999999999,1.4169999999999998,,1.4169999999999998,1.4169999999999998,119.40M,123.30M
2012-09,537.80M,537.80M,147.70M,390.10M,129.00M,49.70M,,,4.30M,,178.70M,211.40M,,4.30M,,4.30M,215.70M,32.40M,183.30M,,183.30M,183.30M,226.60M,15.20M,211.40M,1.53,,1.53,1.53,1.4869999999999999,,1.4869999999999999,1.4869999999999999,119.70M,123.30M
2012-06,536.50M,536.50M,150.10M,386.40M,120.90M,40.20M,,,4.00M,,161.10M,225.30M,,4.00M,,4.00M,229.30M,74.40M,154.90M,,154.90M,154.90M,239.20M,13.90M,225.30M,1.2930000000000001,,1.2930000000000001,1.2930000000000001,1.25,,1.25,1.25,119.70M,123.90M
2012-03,495.20M,495.20M,139.30M,355.90M,124.20M,38.40M,,,3.80M,,162.60M,193.30M,,3.80M,,3.80M,197.10M,53.60M,143.50M,,143.50M,143.50M,206.60M,13.30M,193.30M,1.21,,1.21,1.21,1.167,,1.167,1.167,118.50M,123.00M
2011-12,496.80M,496.80M,133.90M,362.90M,122.00M,41.40M,,,3.60M,,163.40M,199.50M,,3.60M,,3.60M,203.10M,51.90M,151.20M,,151.20M,151.20M,212.00M,12.50M,199.50M,1.287,,1.287,1.287,1.2570000000000001,,1.2570000000000001,1.2570000000000001,117.60M,120.60M
2011-09,446.70M,446.70M,121.20M,325.50M,111.20M,35.40M,,,1.90M,,146.60M,178.90M,,1.90M,,1.90M,180.80M,58.40M,122.40M,,122.40M,122.40M,190.40M,11.50M,178.90M,1.043,0.0,1.043,1.043,1.0170000000000001,0.0,1.0170000000000001,1.0170000000000001,117.30M,120.30M
2011-06,425.70M,425.70M,119.10M,306.60M,106.50M,32.00M,,,4.10M,,138.50M,168.10M,,4.10M,,4.10M,172.20M,54.80M,117.40M,,117.40M,117.40M,179.30M,11.20M,168.10M,0.9967,0.0,0.9967,0.9967,0.97,0.0,0.97,0.97,117.60M,120.90M
2011-03,388.10M,388.10M,109.30M,278.80M,99.10M,31.40M,,,5.30M,,130.50M,148.30M,,5.30M,,5.30M,153.60M,49.50M,104.10M,,104.10M,104.10M,159.60M,11.30M,148.30M,0.8867,0.0,0.8867,0.8867,0.8633,0.0,0.8633,0.8633,117.30M,120.60M
2010-12,389.30M,389.30M,107.20M,282.10M,95.80M,32.60M,,,3.50M,,128.40M,153.70M,,3.50M,,3.50M,157.20M,36.00M,121.20M,,121.20M,121.20M,164.50M,10.80M,153.70M,1.03,,1.03,1.03,1.0070000000000001,,1.0070000000000001,1.0070000000000001,117.60M,120.00M
2010-09,344.40M,344.40M,93.80M,250.60M,91.60M,26.90M,,5.00M,5.00M,,118.50M,132.10M,5.00M,5.00M,,5.00M,137.10M,50.50M,86.60M,,86.60M,86.60M,142.40M,10.30M,132.10M,0.7333,0.0,0.7333,0.7333,0.7133,0.0,0.7133,0.7133,118.20M,121.50M
2010-06,350.70M,350.70M,93.90M,256.80M,88.60M,28.50M,,,4.50M,,117.10M,139.70M,,4.50M,,4.50M,144.20M,55.50M,88.70M,,88.70M,88.70M,149.50M,9.80M,139.70M,0.7533,0.0,0.7533,0.7533,0.73,0.0,0.73,0.73,117.90M,121.50M
2010-03,328.60M,328.60M,88.10M,240.50M,82.80M,28.00M,,,4.10M,,110.80M,129.70M,,4.10M,,4.10M,133.80M,48.50M,85.30M,,85.30M,85.30M,139.20M,9.50M,129.70M,0.7333,0.0,0.7333,0.7333,0.7067,0.0,0.7067,0.7067,116.40M,120.60M
2009-12,323.10M,323.10M,89.90M,233.20M,79.00M,25.80M,,,4.20M,,104.80M,128.40M,,4.20M,,4.20M,132.60M,55.00M,77.60M,,77.60M,77.60M,137.10M,8.70M,128.40M,0.6733,0.0,0.6733,0.6733,0.6533,0.0,0.6533,0.6533,114.90M,119.40M
2009-09,280.10M,280.10M,81.10M,199.00M,69.90M,24.60M,,,4.30M,,94.50M,104.50M,,4.30M,,4.30M,108.80M,44.30M,64.50M,,64.50M,64.50M,113.40M,8.90M,104.50M,0.5633,0.0,0.5633,0.5633,0.5467,0.0,0.5467,0.5467,114.30M,117.60M
2009-06,260.60M,260.60M,70.40M,190.20M,67.30M,23.40M,,5.20M,5.20M,,90.70M,99.50M,5.20M,5.20M,,5.20M,104.70M,42.30M,62.40M,,62.40M,62.40M,108.50M,9.00M,99.50M,0.55,0.0,0.55,0.55,0.54,0.0,0.54,0.54,113.70M,115.80M
2009-03,188.40M,188.40M,59.70M,128.70M,62.40M,21.30M,,,5.00M,,83.70M,45.00M,,5.00M,,5.00M,50.00M,21.90M,28.10M,,28.10M,28.10M,53.00M,8.00M,45.00M,0.24,0.0,0.24,0.24,0.24,0.0,0.24,0.24,116.70M,117.90M
2008-12,231.54M,231.54M,66.20M,165.34M,61.74M,20.86M,,,,,82.60M,82.74M,,,,,88.26M,37.50M,50.76M,,50.76M,50.76M,90.24M,7.505M,82.74M,0.4333,0.0,0.4333,0.4333,0.4267,0.0,0.4267,0.4267,117.41M,119.51M
2008-09,235.99M,235.99M,66.42M,169.58M,62.69M,21.85M,,,,,84.54M,85.03M,,,,,89.63M,32.03M,57.59M,,57.59M,57.59M,91.82M,6.785M,85.03M,0.4933,0.0,0.4933,0.4933,0.48,0.0,0.48,0.48,117.04M,120.32M
2008-06,219.19M,219.19M,63.13M,156.06M,57.50M,20.36M,,,,,77.86M,78.20M,,,,,83.90M,32.72M,51.18M,,51.18M,51.18M,84.36M,6.166M,78.20M,0.44,0.0,0.44,0.44,0.4267,0.0,0.4267,0.4267,116.32M,119.94M
2008-03,188.19M,188.19M,58.39M,129.81M,48.63M,16.30M,,,,,64.94M,64.87M,,,,,73.41M,28.63M,44.78M,,44.78M,44.78M,69.50M,4.628M,64.87M,0.3867,0.0,0.3867,0.3867,0.3733,0.0,0.3733,0.3733,115.75M,119.54M
2007-12,189.45M,189.45M,54.25M,135.20M,45.70M,16.12M,,,,,61.82M,73.38M,,,,,81.81M,32.66M,49.15M,,49.15M,49.15M,77.10M,3.721M,73.38M,0.43,0.0,0.43,0.43,0.4133,0.0,0.4133,0.4133,115.10M,119.27M
2007-09,156.90M,156.90M,48.43M,108.47M,40.16M,14.32M,,,,,54.48M,53.99M,,,,,66.21M,25.29M,40.92M,,40.92M,40.92M,57.37M,3.386M,53.99M,0.36,0.0,0.36,0.36,0.3467,0.0,0.3467,0.3467,114.10M,117.81M
2007-06,140.25M,140.25M,46.14M,94.11M,38.88M,10.19M,,,,,49.08M,45.03M,,,,,50.26M,19.60M,30.66M,,30.66M,30.66M,48.10M,3.068M,45.03M,0.27,0.0,0.27,0.27,0.2633,0.0,0.2633,0.2633,112.91M,115.97M
2007-03,114.23M,114.23M,37.72M,76.51M,33.94M,8.224M,,,,,42.17M,34.34M,,,,,38.95M,15.14M,23.80M,,23.80M,23.80M,37.19M,2.852M,34.34M,0.2133,0.0,0.2133,0.2133,0.2067,0.0,0.2067,0.2067,111.87M,115.19M
2006-12,112.57M,112.57M,37.62M,74.94M,31.05M,8.448M,,,,,39.50M,35.45M,,,,,39.63M,15.99M,23.64M,,23.64M,23.64M,63.75M,28.30M,35.45M,0.2133,0.0,0.2133,0.2133,0.2067,0.0,0.2067,0.2067,111.03M,114.72M
2006-09,95.83M,95.83M,33.60M,62.23M,28.58M,7.979M,,,,,36.56M,25.68M,,,,,28.82M,11.56M,17.26M,,17.26M,17.26M,28.28M,2.603M,25.68M,0.1567,0.0,0.1567,0.1567,0.15,0.0,0.15,0.15,110.62M,114.55M
2006-06,87.02M,87.02M,28.05M,58.98M,27.26M,7.205M,,,,,34.47M,24.51M,,,,,27.76M,11.08M,16.68M,,16.68M,16.68M,26.70M,2.189M,24.51M,0.15,0.0,0.15,0.15,0.1467,0.0,0.1467,0.1467,110.05M,114.37M
2006-03,77.26M,77.26M,25.58M,51.68M,23.81M,6.145M,,,,,29.96M,21.73M,,,,,23.93M,9.469M,14.46M,,14.46M,14.46M,23.90M,2.174M,21.73M,0.1333,0.0,0.1333,0.1333,0.1267,0.0,0.1267,0.1267,109.14M,113.47M
2005-12,72.09M,72.09M,23.53M,48.56M,20.78M,4.267M,-3.624M,,,,25.05M,23.51M,,,-3.624M,,25.44M,-24.09M,49.53M,,49.53M,51.70M,25.30M,1.791M,23.51M,0.4667,0.0,0.4869,0.4667,0.44,0.0,0.4592,0.44,107.46M,113.02M
2005-09,60.87M,60.87M,18.76M,42.12M,16.52M,4.587M,1.43M,,,,21.11M,21.01M,,,1.43M,,22.44M,1.719M,20.72M,,20.72M,19.40M,22.65M,1.639M,21.01M,0.1967,0.0,0.1841,0.1967,0.1833,0.0,0.1718,0.1833,105.46M,114.04M
2005-06,52.76M,52.76M,17.13M,35.63M,15.93M,4.355M,0.954M,,,,20.29M,15.34M,,,0.954M,,16.29M,1.508M,14.78M,,14.78M,13.92M,16.97M,1.63M,15.34M,0.14,0.0,0.1317,0.14,0.1333,0.0,0.1256,0.1333,104.37M,111.73M
2005-03,41.61M,41.61M,14.35M,27.26M,14.20M,4.145M,0.723M,,,,18.35M,8.914M,,,0.723M,,9.637M,0.533M,9.104M,,9.104M,8.421M,10.58M,1.667M,8.914M,0.0867,0.0,0.0801,0.0867,0.0833,0.0,0.0772,0.0833,103.55M,111.06M
2004-12,45.19M,45.19M,15.39M,29.80M,14.62M,4.241M,-1.682M,,,,18.86M,10.95M,,,-1.682M,,12.04M,0.361M,11.68M,,11.68M,13.31M,12.70M,1.752M,10.95M,0.1167,0.0,0.1326,0.1167,0.11,0.0,0.125,0.11,102.31M,108.91M
2004-09,35.49M,35.49M,12.77M,22.72M,12.60M,4.635M,0.692M,,,,17.24M,5.487M,,,0.692M,,6.179M,0.066M,6.113M,,6.113M,5.428M,7.207M,1.72M,5.487M,0.06,0.0,0.0533,0.06,0.0567,0.0,0.0502,0.0567,101.47M,105.92M
2004-06,31.06M,31.06M,11.43M,19.63M,11.54M,3.626M,0.626M,,,,15.16M,4.467M,,,0.626M,,5.093M,0.263M,4.83M,,4.83M,4.236M,6.25M,1.783M,4.467M,0.0467,0.0,0.0408,0.0467,0.0467,0.0,0.0409,0.0467,100.68M,102.63M
2004-03,27.06M,27.06M,11.22M,15.84M,10.24M,5.31M,0.606M,,,,15.55M,0.283M,,,0.606M,,0.889M,0.036M,0.853M,,0.853M,0.2715M,2.139M,1.856M,0.283M,0.01,0.0,0.0042,0.01,0.0067,0.0,0.001,0.0067,99.85M,102.41M
2003-12,27.59M,27.59M,20.60M,6.999M,7.879M,4.733M,-1.105M,,,,12.61M,-5.613M,,,-1.105M,,,,-4.855M,,-4.855M,-4.192M,0.266M,5.879M,-5.613M,-0.0633,0.0,-0.0561,-0.0633,-0.0633,,-0.0566,-0.0633,91.85M,99.15M
2003-09,23.39M,23.39M,10.41M,12.99M,12.24M,4.407M,0.31M,,,,16.65M,-3.663M,,,0.31M,,,,-3.353M,,-3.353M,-3.539M,-1.481M,2.182M,-3.663M,-0.04,0.0,-0.0423,-0.04,-0.04,0.0,-0.0423,-0.04,80.63M,80.63M
2003-06,21.45M,21.45M,7.906M,13.55M,9.389M,3.627M,0.347M,,,,13.02M,0.531M,,,0.347M,,,,0.878M,,0.878M,0.6698M,1.865M,1.334M,0.531M,0.0167,0.0,0.0129,0.0167,0.0167,0.0,0.013,0.0167,55.74M,56.92M
2003-03,19.24M,19.24M,8.738M,10.50M,10.21M,3.423M,0.842M,,,,13.63M,-3.135M,,,0.842M,,,,-2.293M,,-2.293M,-2.798M,-1.901M,1.234M,-3.135M,-0.04,0.0,-0.0491,-0.04,-0.04,0.0,-0.0491,-0.04,55.29M,55.29M
2002-12,21.14M,21.14M,13.05M,8.096M,7.065M,4.026M,-1.446M,,,,11.09M,-2.995M,,,-1.446M,,,,-2.60M,,-2.60M,-1.732M,-1.82M,1.175M,-2.995M,-0.05,0.0,-0.0342,-0.05,-0.05,,-0.0342,-0.05,54.96M,55.07M
2002-09,17.08M,17.08M,8.34M,8.741M,11.69M,3.89M,0.378M,,,,15.58M,-6.842M,,,0.378M,,,,-6.464M,,-6.464M,-6.691M,-5.662M,1.18M,-6.842M,-0.12,0.0,-0.1241,-0.12,-0.12,0.0,-0.1241,-0.12,54.75M,54.75M
2002-06,19.39M,19.39M,9.225M,10.16M,9.784M,4.645M,0.527M,,,,14.43M,-4.267M,,,0.527M,,,,-3.74M,,-3.74M,-4.056M,-3.106M,1.161M,-4.267M,-0.0667,0.0,-0.0725,-0.0667,-0.0667,0.0,-0.0725,-0.0667,54.57M,54.57M
2002-03,14.41M,14.41M,7.507M,6.902M,8.785M,4.232M,0.498M,,,,13.02M,-6.115M,,,0.498M,,,,-5.617M,,-5.617M,-5.916M,-5.082M,1.033M,-6.115M,-0.1,0.0,-0.1055,-0.1,-0.1,0.0,-0.1055,-0.1,54.46M,54.46M
2001-12,16.01M,16.01M,9.246M,6.767M,8.035M,3.791M,-2.834M,,,,11.83M,-5.059M,,,-2.834M,,,,-4.252M,,-4.252M,-2.552M,-3.907M,1.152M,-5.059M,-0.0767,0.0,-0.0453,-0.0767,-0.0783,,-0.047,-0.0783,54.23M,54.34M
2001-09,10.86M,10.86M,5.75M,5.111M,7.452M,3.493M,1.036M,,,,10.94M,-5.834M,,,1.036M,,,,-4.798M,,-4.798M,-5.420M,-4.687M,1.147M,-5.834M,-0.0867,0.0,-0.0982,-0.0867,-0.0867,0.0,-0.0982,-0.0867,54.08M,54.08M
2001-06,12.72M,12.72M,6.659M,6.061M,7.666M,3.336M,0.697M,,,,11.00M,-4.941M,,,0.697M,,,,-4.244M,,-4.244M,-4.662M,-3.767M,1.174M,-4.941M,-0.08,0.0,-0.0878,-0.08,-0.08,0.0,-0.0878,-0.08,53.48M,53.48M
2001-03,12.08M,12.08M,6.135M,5.944M,6.835M,3.231M,1.143M,,,-0.428M,10.07M,-4.122M,,,1.143M,,,,-3.407M,,-3.407M,-4.093M,-2.883M,1.239M,-4.122M,-0.0667,0.0,-0.0796,-0.0667,-0.0667,0.0,-0.0796,-0.0667,53.10M,53.10M
2000-12,10.71M,10.71M,2.536M,8.17M,6.626M,3.11M,-2.525M,,,,14.49M,-6.318M,,,-2.525M,,,,-4.981M,,-4.981M,-3.466M,-4.905M,1.413M,-6.318M,-0.5867,0.0,-0.5579,-0.5867,-0.5867,0.0,-0.5579,-0.5867,52.70M,52.70M
2000-09,7.859M,7.859M,4.708M,3.151M,5.395M,3.172M,1.396M,,,,8.567M,-5.416M,,,1.396M,,,,-4.02M,,-4.02M,-4.858M,-4.073M,1.343M,-5.416M,-0.08,0.0,-0.0961,-0.08,-0.08,0.0,-0.0961,-0.08,52.00M,52.00M
2000-06,5.127M,5.127M,2.238M,2.889M,3.976M,2.822M,,,,,8.063M,-5.174M,,,,,,,-4.49M,,-4.49M,-4.49M,-3.909M,1.265M,-5.174M,-0.1533,0.0,-0.1533,-0.1533,-0.1533,0.0,-0.1533,-0.1533,29.71M,29.71M
2000-03,2.933M,2.933M,1.801M,1.132M,3.138M,2.631M,,,,,6.50M,-5.368M,,,,,,,-5.032M,,-5.032M,-5.032M,-4.637M,0.731M,-5.368M,-0.6,0.0,-0.6,-0.6,-0.6,0.0,-0.6,-0.6,8.361M,8.361M
