,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-09,188.50M,868.20M,871.50M,1.740B,334.70M,334.70M,58.70M,8.00M,127.30M,,194.00M,102.70M,,27.70M,,2.399B,,,,,,,,,427.30M,201.10M,130.00M,331.10M,1.386B,139.60M,,2.284B,4.682B,58.00M,,58.00M,105.20M,163.20M,,,,225.00M,225.00M,,478.60M,,,,,,88.50M,88.50M,567.10M,0.00,785.70M,3.332B,,,,,-2.70M,4.115B
2015-06,265.00M,915.40M,646.10M,1.562B,321.50M,321.50M,66.00M,8.70M,126.60M,,201.30M,53.00M,,25.90M,,2.163B,,,,,,,,,408.60M,201.10M,125.60M,326.70M,1.307B,148.90M,,2.191B,4.354B,64.70M,,64.70M,105.90M,170.60M,,,,216.80M,216.80M,,474.40M,,,,,,87.40M,87.40M,561.80M,0.00,651.30M,3.148B,,,,,-6.40M,3.793B
2015-03,280.00M,701.10M,661.10M,1.362B,292.40M,292.40M,61.90M,9.10M,131.40M,,202.40M,73.90M,,28.40M,,1.959B,,,,,,,,,404.70M,198.00M,120.30M,318.30M,1.305B,139.10M,,2.167B,4.126B,67.90M,,67.90M,107.90M,175.80M,,,,212.00M,212.00M,,456.90M,,,,,,83.90M,83.90M,540.80M,0.00,562.30M,3.024B,,,,,-1.20M,3.585B
2014-12,227.70M,600.30M,632.20M,1.232B,315.10M,315.10M,60.00M,8.70M,113.00M,,181.70M,82.60M,,,,1.812B,0.0,131.70M,159.00M,290.80M,,28.80M,610.30M,-222.90M,387.40M,198.00M,74.10M,272.10M,1.264B,171.30M,52.20M,2.148B,3.959B,61.60M,7.40M,69.00M,119.40M,188.40M,,,,216.60M,216.60M,,501.20M,,,,,,17.00M,78.80M,580.00M,0.00,487.70M,2.897B,,,,,-5.10M,3.379B
2014-09,192.90M,493.00M,521.30M,1.014B,259.10M,259.10M,57.00M,10.10M,131.80M,,198.90M,86.20M,,33.40M,,1.592B,,,,,,,,,335.40M,198.00M,134.60M,332.60M,1.248B,143.20M,,2.060B,3.652B,53.60M,,53.60M,133.00M,186.60M,,,,217.80M,217.80M,,480.50M,,,,,,86.80M,86.80M,567.30M,0.00,341.00M,2.742B,,,,,1.40M,3.084B
2014-06,209.10M,507.60M,471.00M,978.60M,271.10M,271.10M,60.40M,11.30M,130.70M,,202.40M,42.40M,,38.90M,,1.533B,,,,,,,,,326.70M,198.00M,138.00M,336.00M,1.065B,143.70M,,1.871B,3.405B,58.90M,,58.90M,137.40M,196.30M,,,,225.10M,225.10M,,495.90M,,,,,,86.30M,86.30M,582.20M,0.00,312.20M,2.510B,,,,,0.60M,2.822B
2014-03,210.50M,814.00M,745.30M,1.559B,239.10M,239.10M,60.00M,8.40M,117.10M,,185.50M,58.80M,,34.90M,,2.078B,,,,,,,,,320.80M,147.50M,112.40M,259.90M,1.404B,131.60M,,2.117B,4.194B,57.00M,,57.00M,120.60M,177.60M,,,,226.50M,226.50M,,459.50M,,,,,,78.10M,78.10M,537.60M,0.00,1.024B,2.629B,,,,,3.80M,3.657B
2013-12,247.80M,782.10M,621.40M,1.404B,301.40M,301.40M,67.20M,12.60M,99.80M,,179.60M,38.30M,,9.60M,,1.932B,0.0,84.70M,151.90M,231.20M,,16.40M,484.20M,-174.30M,309.90M,137.40M,64.30M,201.70M,1.350B,126.10M,29.80M,2.018B,3.950B,46.20M,5.10M,51.30M,58.80M,110.10M,,,,200.10M,200.10M,,380.90M,,,,,,3.50M,68.00M,448.90M,0.00,979.40M,2.520B,,,,,2.10M,3.501B
2013-09,183.10M,586.80M,626.10M,1.213B,280.60M,280.60M,59.10M,6.80M,134.20M,,200.10M,30.00M,,9.90M,,1.734B,,,,,,,,,294.20M,137.40M,91.30M,228.70M,1.319B,121.60M,,1.964B,3.697B,62.00M,,62.00M,57.80M,119.80M,,,,192.60M,192.60M,,367.30M,,,,,,65.80M,65.80M,433.10M,0.00,813.20M,2.451B,,,,,0.40M,3.264B
2013-06,61.40M,432.70M,857.50M,1.290B,358.60M,358.60M,50.20M,6.40M,112.70M,,169.30M,33.40M,,9.50M,,1.861B,,,,,,,,,267.60M,137.40M,92.10M,229.50M,1.737B,106.20M,,2.340B,4.201B,67.20M,,67.20M,57.00M,124.20M,,,,196.70M,196.70M,,390.90M,,,,,,91.60M,91.60M,482.50M,0.00,1.293B,2.428B,,,,,-2.10M,3.719B
