,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,RepurchaseofCapitalStock
2018-03,287.30M,4.70M,4.70M,23.70M,2.60M,26.30M,26.30M,37.40M,,57.50M,,2.70M,33.00M,-66.20M,-20.60M,8.40M,,,-90.30M,-135.70M,280.20M,-40.10M,,,0.00,93.70M,,53.60M,,,,,86.20M,-94.50M,-8.30M,663.20M,325.50M,1.00M,989.70M,,
2017-12,-31.50M,4.40M,4.40M,24.80M,2.80M,27.60M,27.60M,28.80M,,55.60M,,2.70M,-42.70M,-32.80M,-21.10M,2.10M,,,338.90M,244.40M,332.00M,-31.00M,,,0.00,-284.80M,,-315.80M,,-381.60M,-274.00M,-655.60M,,-3.00M,-243.10M,890.00M,-226.90M,0.10M,663.20M,-381.60M,-274.00M
2017-09,298.60M,5.40M,5.40M,21.80M,3.10M,24.90M,24.90M,-4.10M,,55.70M,,2.70M,12.70M,-24.40M,30.10M,6.20M,,,-53.90M,-29.30M,353.90M,-51.40M,,,0.00,-208.60M,,-260.00M,,85.20M,0.00,85.20M,,-1.60M,83.60M,711.50M,177.50M,1.00M,890.00M,85.20M,0.00
2017-06,223.00M,5.30M,5.30M,20.60M,3.30M,23.90M,23.90M,5.00M,,50.40M,,2.80M,-67.90M,-19.30M,-50.70M,0.20M,,,43.80M,-93.90M,216.50M,-55.30M,,,,-298.50M,,-353.80M,,127.30M,0.00,127.30M,,-2.60M,124.70M,723.60M,-12.60M,0.50M,711.50M,127.30M,0.00
2017-03,180.80M,6.10M,6.10M,19.00M,3.70M,22.70M,22.70M,30.50M,,47.40M,,2.70M,16.50M,-39.00M,2.80M,5.50M,,,-34.50M,-48.70M,241.50M,-53.00M,,,,1.361B,,1.308B,,169.10M,-2.00B,-1.831B,,-47.40M,-1.878B,1.052B,-328.50M,0.50M,723.60M,169.10M,-2.00B
2016-12,206.40M,,,19.90M,4.20M,24.10M,24.10M,-10.80M,-26.30M,45.50M,4.20M,-173.90M,3.50M,-5.90M,-20.20M,9.50M,,,53.70M,40.60M,329.70M,-17.80M,,,,-291.20M,,-309.00M,,-550.40M,-34.40M,-584.80M,,-0.80M,-4.70M,1.022B,16.00M,-1.00M,1.052B,-550.40M,-34.40M
2016-09,211.00M,,,18.00M,4.30M,22.30M,22.30M,-4.10M,8.90M,46.80M,7.30M,63.00M,-28.30M,-21.30M,-4.50M,-6.60M,,,37.30M,-23.40M,268.80M,-15.10M,,,,-526.20M,,-541.30M,,101.90M,0.00,101.90M,,-1.40M,100.50M,1.194B,-172.00M,0.10M,1.022B,101.90M,0.00
2016-06,184.50M,,,17.70M,4.60M,22.30M,22.30M,6.90M,9.10M,42.60M,7.50M,59.20M,-77.80M,-11.70M,35.40M,7.70M,,,35.20M,-11.20M,261.70M,-11.40M,,,,-225.80M,,-237.20M,,189.70M,0.00,189.70M,,-1.20M,188.50M,980.50M,213.00M,0.00,1.194B,189.70M,0.00
2016-03,136.40M,,,18.30M,5.10M,23.40M,23.40M,28.90M,8.30M,42.70M,10.80M,61.80M,68.40M,-7.80M,-49.90M,5.30M,,,-39.70M,-23.70M,226.80M,-9.60M,,,,-182.30M,,-191.90M,,258.80M,-8.10M,250.70M,,-20.60M,230.10M,714.60M,265.00M,0.90M,980.50M,258.80M,-8.10M
2015-12,190.00M,,,18.80M,5.80M,24.60M,24.60M,1.80M,-18.50M,41.30M,30.50M,53.30M,-59.50M,20.00M,30.60M,-2.90M,,,33.40M,21.60M,317.70M,-19.70M,,,,-393.40M,,-413.10M,,67.10M,-84.20M,-17.10M,,-41.00M,-58.10M,868.20M,-153.50M,-0.10M,714.60M,67.10M,-84.20M
2015-09,167.30M,,,17.40M,6.20M,23.60M,23.60M,7.50M,6.80M,44.20M,-5.00M,46.00M,-13.30M,3.10M,-59.30M,-7.00M,,,11.80M,-64.70M,179.70M,-28.50M,,,,-310.30M,,-338.80M,,136.50M,-35.50M,101.00M,,11.40M,112.40M,915.40M,-46.70M,-0.50M,868.20M,136.50M,-35.50M
2015-06,134.50M,,,14.90M,6.20M,21.10M,21.10M,-6.80M,6.30M,41.30M,-2.00M,45.60M,-29.10M,-5.90M,9.00M,-4.10M,,,20.80M,-9.30M,185.10M,-13.60M,,,,3.70M,,-9.90M,,77.30M,-49.30M,28.00M,,10.80M,38.80M,701.10M,214.00M,0.30M,915.40M,77.30M,-49.30M
2015-03,97.00M,,,14.00M,6.20M,20.20M,20.20M,2.10M,5.40M,41.10M,-2.00M,44.50M,22.70M,-27.90M,9.20M,2.70M,,,-46.80M,-40.10M,123.70M,-19.20M,,,,-68.50M,,-87.70M,,80.20M,-14.70M,65.50M,,0.50M,66.00M,600.30M,102.00M,-1.20M,701.10M,80.20M,-14.70M
2014-12,146.80M,,,13.80M,6.50M,20.30M,20.30M,5.20M,10.10M,41.10M,-2.60M,48.60M,-56.10M,13.70M,1.80M,9.50M,,,4.40M,-26.70M,194.20M,-65.20M,,,-1.40M,-136.90M,,-203.50M,,107.60M,0.00,107.60M,,8.80M,116.40M,493.00M,107.10M,0.20M,600.30M,107.60M,0.00
2014-09,123.70M,,,13.40M,6.50M,19.90M,19.90M,6.80M,5.50M,45.10M,-2.30M,48.30M,12.10M,-1.60M,-49.60M,-5.90M,,,-3.10M,-48.10M,150.60M,-13.80M,,,-1.70M,-243.20M,,-258.70M,,85.50M,0.00,85.50M,,9.10M,94.60M,507.60M,-13.50M,-1.10M,493.00M,85.50M,0.00
2014-06,104.00M,,,12.50M,4.70M,17.20M,17.20M,-13.80M,10.20M,41.90M,-3.00M,49.10M,-32.10M,-18.50M,5.30M,3.80M,,,39.00M,-2.50M,154.00M,-18.50M,,,-68.70M,600.80M,,513.60M,,24.20M,-1.00B,-975.80M,,1.80M,-974.00M,814.00M,-306.40M,0.00,507.60M,24.20M,-1.00B
2014-03,44.30M,,,12.30M,4.70M,17.00M,17.00M,-33.20M,8.10M,40.80M,-2.20M,46.70M,62.40M,-20.40M,-25.10M,10.30M,,,64.30M,91.50M,166.30M,-8.10M,,,-12.50M,-184.70M,,-205.30M,,66.30M,0.00,66.30M,,4.30M,70.60M,782.10M,31.60M,0.30M,814.00M,66.30M,0.00
2013-12,166.20M,,,13.40M,4.70M,18.10M,18.10M,-4.70M,8.20M,41.60M,-2.10M,47.70M,-20.80M,17.90M,-14.70M,-13.30M,,,32.70M,1.80M,229.10M,-28.90M,,,0.00,-34.30M,,-63.20M,,22.70M,0.00,22.70M,,6.90M,29.60M,586.80M,195.50M,-0.20M,782.10M,22.70M,0.00
2013-09,156.80M,,,11.30M,5.30M,16.60M,16.60M,-18.10M,8.40M,50.40M,-0.70M,58.10M,78.00M,-34.70M,-6.40M,-5.30M,,,-41.20M,-9.60M,203.80M,-34.00M,,,0.00,647.20M,,613.20M,,25.80M,-693.80M,-668.00M,,4.60M,-663.40M,432.70M,153.60M,0.50M,586.80M,25.80M,-693.80M
2013-06,159.10M,,,10.90M,5.70M,16.60M,16.60M,-6.20M,10.40M,38.70M,0.00,49.10M,-13.60M,-37.40M,-2.40M,-0.60M,,,24.50M,-29.50M,189.10M,-25.00M,,,0.00,82.00M,,57.00M,,22.80M,-269.70M,-246.90M,,5.90M,-241.00M,427.50M,5.10M,0.10M,432.70M,22.80M,-269.70M
2013-03,188.90M,,,10.40M,5.60M,16.00M,16.00M,-9.50M,9.80M,38.20M,-0.70M,47.30M,25.30M,-15.80M,18.50M,10.30M,,,-23.00M,15.30M,258.00M,-16.70M,,,,-331.30M,,-348.00M,,89.30M,-145.70M,-56.40M,,20.60M,-35.80M,553.70M,-125.80M,-0.40M,427.50M,89.30M,-145.70M
2012-12,174.90M,,,9.50M,5.90M,15.40M,15.40M,-1.50M,9.30M,38.30M,-0.40M,47.20M,-34.10M,13.90M,-31.60M,1.50M,,,41.10M,-9.20M,226.80M,-70.70M,,,0.00,-87.00M,15.00M,-142.70M,,86.80M,-53.20M,33.60M,,39.50M,73.10M,396.20M,157.20M,0.30M,553.70M,86.80M,-53.20M
2012-09,183.30M,,,10.00M,5.20M,15.20M,15.20M,-13.20M,8.60M,47.30M,0.10M,56.00M,-12.90M,-8.80M,-1.10M,1.50M,,,-8.40M,-29.70M,211.60M,12.90M,,,-27.60M,-148.20M,-15.00M,-177.90M,,38.00M,-169.90M,-131.90M,,10.00M,-121.90M,484.40M,-88.20M,0.00,396.20M,38.00M,-169.90M
2012-06,154.90M,,,7.70M,6.20M,13.90M,13.90M,-4.70M,8.20M,33.30M,0.00,41.50M,-23.50M,-6.20M,-1.00M,4.90M,,,31.00M,5.20M,210.80M,-8.10M,,,,-108.80M,,-116.90M,,55.60M,-15.20M,40.40M,,24.50M,64.90M,325.90M,158.80M,-0.30M,484.40M,55.60M,-15.20M
2012-03,143.50M,,,7.50M,5.80M,13.30M,13.30M,-1.40M,7.00M,34.40M,0.00,41.40M,1.60M,-6.00M,-3.40M,0.50M,,,-24.50M,-31.80M,165.00M,-48.30M,,,,-359.90M,,-408.20M,,82.90M,0.00,82.90M,,20.20M,103.10M,465.80M,-140.10M,0.20M,325.90M,82.90M,0.00
2011-12,495.10M,,,7.80M,4.70M,12.50M,12.50M,-37.30M,6.60M,34.60M,34.70M,-195.10M,-32.90M,-3.50M,-1.80M,19.60M,,,30.00M,11.40M,213.70M,-15.20M,,67.70M,,-123.20M,,-138.40M,,79.00M,0.00,79.00M,,13.90M,92.90M,298.20M,168.20M,-0.60M,465.80M,79.00M,0.00
2011-09,-221.50M,,,7.10M,4.40M,11.50M,11.50M,22.50M,6.00M,34.90M,-20.50M,291.40M,-14.70M,-8.50M,-4.50M,-0.70M,,,9.20M,-19.20M,157.60M,-14.50M,,-14.50M,0.00,-156.30M,,-170.80M,,181.60M,-181.10M,0.50M,-91.20M,20.50M,-70.20M,382.00M,-83.40M,-0.40M,298.20M,181.60M,-181.10M
2011-06,117.40M,,,6.90M,4.30M,11.20M,11.20M,2.10M,4.90M,34.80M,-10.70M,29.00M,9.60M,-6.80M,15.20M,19.40M,,,3.80M,41.20M,200.90M,-38.50M,,-38.50M,,-133.50M,,-172.00M,,,-139.10M,-139.10M,31.70M,10.70M,-96.70M,449.80M,-67.80M,0.00,382.00M,,-139.10M
2011-03,104.10M,,,6.90M,4.40M,11.30M,11.30M,19.80M,5.10M,32.10M,-13.70M,23.50M,-13.10M,-6.50M,-18.30M,-20.10M,,,4.70M,-53.30M,105.40M,-14.70M,,-14.70M,,16.90M,,2.20M,,,-11.60M,-11.60M,59.50M,13.70M,61.60M,279.80M,169.20M,0.80M,449.80M,,-11.60M
2010-12,381.80M,,,6.30M,4.50M,10.80M,10.80M,-59.20M,,30.10M,49.00M,-132.50M,-39.10M,-1.80M,1.40M,-11.60M,,,23.10M,-28.00M,141.70M,-9.40M,,86.60M,,-111.50M,,-120.90M,,8.20M,-139.70M,-131.50M,,8.90M,-122.60M,382.00M,-101.80M,-0.40M,279.80M,8.20M,-139.70M
2010-09,-174.00M,,,6.00M,4.30M,10.30M,10.30M,-3.40M,,30.40M,-9.40M,250.40M,-13.10M,-11.00M,-1.10M,14.80M,,,8.90M,-1.50M,113.00M,-50.10M,,-50.10M,,-69.10M,,-119.20M,,17.00M,-58.90M,-41.90M,,9.40M,-32.50M,420.00M,-38.70M,0.70M,382.00M,17.00M,-58.90M
2010-06,88.70M,,,5.80M,4.00M,9.80M,9.80M,36.10M,,30.30M,-14.70M,-17.10M,-14.50M,-5.50M,21.40M,46.70M,,,4.50M,52.60M,175.50M,-20.30M,,-20.30M,,-86.30M,,-106.60M,,23.40M,0.00,23.40M,,14.70M,38.10M,313.60M,107.00M,-0.60M,420.00M,23.40M,0.00
2010-03,85.30M,,,5.60M,3.90M,9.50M,9.50M,5.00M,,26.80M,-32.20M,27.30M,25.20M,-10.90M,-20.60M,-3.60M,,,3.80M,-6.10M,115.60M,-16.20M,,-16.20M,,-131.40M,,-147.60M,,92.50M,0.00,92.50M,,32.20M,124.70M,221.40M,92.70M,-0.50M,313.60M,92.50M,0.00
2009-12,77.60M,,,4.80M,3.90M,8.70M,8.70M,-0.10M,,25.10M,-15.90M,14.90M,-18.90M,-0.90M,0.60M,15.70M,,8.90M,,5.40M,115.70M,-7.70M,,-7.70M,,-133.50M,,-141.20M,,25.00M,0.00,25.00M,,15.90M,40.90M,206.10M,15.40M,-0.10M,221.40M,25.00M,0.00
2009-09,64.50M,,,5.10M,3.80M,8.90M,8.90M,-7.10M,,24.50M,-8.20M,8.00M,-11.30M,2.60M,-2.90M,15.20M,,12.40M,-10.30M,5.70M,96.30M,-5.40M,,-5.40M,,-88.40M,,-93.80M,,33.70M,0.00,33.70M,-12.00M,8.20M,29.90M,173.40M,32.40M,0.30M,206.10M,33.70M,0.00
2009-06,62.40M,,,4.90M,4.10M,9.00M,9.00M,-5.90M,,24.70M,-1.00M,-22.00M,-35.90M,5.10M,-2.60M,35.20M,,,-8.70M,-6.90M,83.00M,-12.80M,,-12.80M,,-1.30M,,-14.10M,,-5.60M,0.00,-5.60M,12.00M,1.00M,7.40M,96.60M,76.30M,0.50M,173.40M,-5.60M,0.00
2009-03,28.10M,,,4.20M,3.80M,8.00M,8.00M,-2.50M,,22.70M,0.00,22.70M,30.80M,-0.90M,-1.40M,-13.70M,,,19.00M,33.80M,90.10M,-27.50M,,-27.50M,,-15.80M,,-43.30M,,5.60M,-150.00M,-144.40M,,,-144.40M,194.60M,-97.60M,-0.40M,96.60M,5.60M,-150.00M
2008-12,50.76M,,,3.946M,3.559M,7.505M,7.505M,-6.38M,,,,21.44M,3.60M,-10.96M,1.786M,-5.634M,,-1.008M,41.14M,28.92M,102.24M,-32.94M,,-32.94M,,-105.36M,,-138.31M,,2.684M,,2.684M,,0.512M,3.196M,227.61M,-32.87M,-0.12M,194.62M,2.684M,
2008-09,57.59M,,,3.968M,2.817M,6.785M,6.785M,-6.515M,,,,21.11M,-11.63M,-9.904M,-2.236M,6.223M,,-7.733M,18.11M,-7.168M,71.81M,-21.00M,,-21.00M,,-81.62M,,-102.62M,,18.68M,,18.68M,,17.21M,35.89M,223.02M,5.075M,-0.484M,227.61M,18.68M,
2008-06,51.18M,,,3.58M,2.586M,6.166M,6.166M,-4.981M,,,,21.34M,-26.40M,-3.761M,5.331M,-4.023M,,19.94M,,-8.907M,64.80M,-45.09M,,-45.09M,,-52.26M,,-97.34M,,8.299M,,8.299M,,16.34M,24.64M,230.81M,-7.903M,0.118M,223.02M,8.299M,
2008-03,44.78M,,,3.139M,1.489M,4.628M,4.628M,-2.619M,,,,15.38M,-5.314M,-6.437M,-0.915M,-5.805M,,-4.314M,,-22.78M,39.38M,-6.949M,,-6.949M,,40.69M,,33.74M,,15.02M,,15.02M,,19.24M,34.26M,122.82M,107.39M,0.597M,230.81M,15.02M,
2007-12,49.15M,,0.00,2.995M,0.726M,3.721M,3.721M,9.257M,,,,10.51M,-10.10M,-5.769M,0.884M,7.518M,,-7.35M,,10.37M,83.01M,-11.84M,,-11.84M,,-64.96M,,-76.79M,,14.37M,,14.37M,,15.72M,30.09M,86.39M,36.31M,0.12M,122.82M,14.37M,
2007-09,40.92M,,-4.075M,2.955M,0.431M,3.386M,3.386M,-1.437M,,,,15.41M,-14.62M,-2.734M,-2.445M,6.019M,,8.525M,,-5.252M,48.95M,-5.069M,,-5.069M,,-62.88M,,-67.95M,,21.35M,,21.35M,,18.17M,39.53M,65.71M,20.53M,0.147M,86.39M,21.35M,
2007-06,30.66M,,,2.638M,0.43M,3.068M,3.068M,-3.186M,,,,10.60M,-15.17M,2.221M,-4.165M,1.937M,,14.38M,,-0.795M,40.35M,-4.398M,,-4.398M,,-50.13M,,-54.53M,,10.60M,,10.60M,,16.50M,27.10M,52.76M,12.92M,0.034M,65.71M,10.60M,
2007-03,23.80M,,,2.423M,0.429M,2.852M,2.852M,-0.721M,,,,9.792M,4.20M,-1.931M,-1.045M,3.172M,,-6.752M,,-2.356M,33.37M,-2.705M,,-2.705M,,-34.43M,,-37.13M,,9.66M,,9.66M,,12.47M,22.13M,34.39M,18.36M,,52.76M,9.66M,
2006-12,23.64M,,,2.613M,25.69M,28.30M,28.30M,-1.223M,,,,-11.52M,-23.00M,-1.965M,2.064M,0.89M,,10.73M,,-11.28M,27.93M,-3.807M,,-3.807M,,-54.51M,-0.319M,-58.64M,,3.296M,,3.296M,,8.197M,11.49M,53.44M,-19.22M,0.164M,34.39M,3.296M,
2006-09,17.26M,,,2.174M,0.429M,2.603M,2.603M,-2.591M,,,,16.54M,-1.14M,2.30M,-0.311M,4.416M,,-3.001M,,2.264M,36.08M,-2.072M,,-2.072M,,-25.17M,0.00,-27.24M,,4.194M,0.033M,4.227M,,9.31M,13.54M,31.06M,22.37M,0.01M,53.44M,4.194M,0.033M
2006-06,16.68M,,-4.975M,1.826M,0.363M,2.189M,2.189M,4.895M,,,,6.604M,-13.65M,-4.252M,-0.80M,-3.386M,,16.42M,,-5.67M,19.72M,-8.071M,,-8.071M,,3.153M,0.319M,-4.599M,,5.152M,0.00,5.152M,,5.533M,10.68M,5.216M,25.81M,0.034M,31.06M,5.152M,0.00
2006-03,14.46M,,4.975M,1.656M,0.518M,2.174M,2.174M,7.999M,,,,,-4.057M,-5.103M,-1.115M,1.187M,,-4.402M,,-13.49M,16.12M,-4.104M,,-4.104M,,-18.77M,,-22.88M,,6.501M,-0.033M,6.468M,,,6.468M,5.508M,-0.291M,-0.001M,5.216M,6.501M,-0.033M
2005-12,49.53M,,17.49M,1.323M,0.468M,1.791M,1.791M,,,,,,-9.17M,-2.95M,-1.007M,0.456M,-0.003M,11.30M,,-1.378M,26.67M,-25.10M,-0.01M,-25.10M,,-16.77M,-0.205M,-42.08M,-0.034M,12.17M,0.072M,12.24M,,,12.21M,8.729M,-3.201M,-0.02M,5.508M,12.17M,0.072M
2005-09,20.72M,,1.599M,1.173M,0.466M,1.639M,1.639M,,,,,,-4.166M,-3.384M,-0.495M,2.119M,0.034M,3.287M,,-2.605M,21.35M,-1.345M,0.01M,-1.335M,,-30.68M,0.001M,-32.02M,-0.136M,11.56M,0.00,11.56M,,,11.42M,7.972M,0.76M,-0.003M,8.729M,11.56M,0.00
2005-06,14.78M,,1.434M,1.162M,0.468M,1.63M,1.63M,,,,,,-8.22M,-1.27M,-0.715M,-1.086M,0.023M,3.838M,,-7.43M,10.42M,-3.603M,,-3.603M,,-11.82M,0.00,-15.42M,-0.176M,2.237M,-0.072M,2.165M,,,1.989M,11.02M,-3.018M,-0.035M,7.972M,2.237M,-0.072M
2005-03,9.104M,,-0.058M,1.201M,0.466M,1.667M,1.667M,,,,,,4.094M,-1.601M,-0.922M,2.016M,0.039M,-1.991M,,1.635M,12.35M,-1.001M,,-1.001M,,-12.99M,0.204M,-13.79M,-0.262M,6.958M,,6.958M,,,6.696M,5.771M,5.255M,-0.001M,11.02M,6.958M,
2004-12,11.68M,,0.333M,1.237M,0.515M,1.752M,1.752M,,,,,,-9.029M,0.63M,0.999M,-0.752M,0.035M,2.836M,,-5.281M,8.486M,-0.479M,-0.026M,-0.505M,,-16.52M,-0.307M,-17.33M,-0.256M,3.401M,,3.401M,,,3.145M,11.27M,-5.697M,0.20M,5.771M,3.401M,
2004-09,6.113M,,0.273M,1.253M,0.467M,1.72M,1.72M,,,,,,-1.655M,0.566M,0.001M,0.896M,0.054M,2.91M,,2.772M,10.88M,-0.551M,0.00,-0.551M,,-11.52M,0.00,-12.07M,-0.269M,4.479M,,4.479M,,,4.21M,8.23M,3.017M,0.021M,11.27M,4.479M,
2004-06,4.83M,,-0.204M,1.232M,0.551M,1.783M,1.783M,,,,,,2.833M,0.821M,-0.122M,-0.356M,0.267M,2.014M,,5.457M,11.87M,-20.87M,-0.001M,-20.87M,,2.953M,0.038M,-17.88M,-0.299M,1.237M,,1.237M,,,0.938M,13.35M,-5.078M,-0.038M,8.23M,1.237M,
2004-03,0.853M,,-0.119M,1.374M,0.482M,1.856M,1.856M,,,,,,-0.399M,0.805M,-0.469M,-1.228M,-0.041M,-2.173M,,-3.505M,-0.915M,-0.537M,0.027M,-0.51M,,-0.631M,0.269M,-0.872M,-0.292M,4.116M,,4.116M,,,3.824M,11.34M,2.037M,-0.026M,13.35M,4.116M,
2003-12,-4.855M,,0.887M,1.13M,4.749M,5.879M,5.879M,,,,,,-4.052M,3.958M,0.045M,-5.582M,-0.591M,7.374M,,1.152M,3.063M,-0.611M,-0.042M,-0.653M,0.00,-70.07M,-2.475M,-73.20M,-0.381M,78.78M,0.00,78.78M,,,78.40M,12.48M,8.264M,0.148M,11.34M,78.78M,0.00
2003-09,-3.353M,,0.00,1.244M,0.938M,2.182M,2.182M,,,,,,-1.801M,0.855M,-1.207M,-5.784M,0.838M,0.367M,,-6.732M,-7.903M,-0.884M,0.191M,-0.693M,-1.773M,2.00M,,-0.466M,-0.373M,3.552M,0.00,3.552M,,,3.179M,17.68M,-5.19M,-0.013M,12.48M,3.552M,0.00
2003-06,0.878M,,0.004M,0.895M,0.439M,1.334M,1.334M,,,,,,3.515M,-0.647M,0.26M,-0.83M,-0.827M,-0.755M,,0.716M,2.932M,-0.712M,0.001M,-0.711M,-4.088M,-0.449M,-0.07M,-5.318M,-0.486M,0.279M,-0.006M,0.273M,,,-0.213M,10.79M,-2.599M,-0.064M,17.68M,0.279M,-0.006M
2003-03,-2.293M,,0.001M,0.882M,0.352M,1.234M,1.234M,,,,,,-4.008M,0.456M,0.124M,0.86M,,-2.32M,,-4.888M,-5.946M,-0.318M,,-0.318M,,8.056M,0.07M,7.808M,-0.384M,1.35M,,1.35M,,,0.966M,8.052M,2.828M,-0.091M,10.79M,1.35M,
2002-12,-2.60M,,0.002M,0.859M,0.316M,1.175M,1.175M,,,,,,2.157M,1.133M,-0.212M,0.183M,,0.80M,,3.895M,2.472M,-0.56M,0.00,-0.56M,,-11.52M,,-13.07M,0.171M,0.112M,-0.001M,0.111M,,,0.282M,18.34M,-10.32M,0.031M,8.052M,0.112M,-0.001M
