,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-01,1.283B,460.00M,1.743B,2.954B,50.00M,3.004B,327.00M,249.00M,853.00M,1.429B,662.00M,368.00M,,7.206B,,,,,,4.804B,-2.548B,2.256B,7.744B,2.186B,9.93B,,,54.00M,3.318B,15.56B,22.76B,,363.00M,,363.00M,1.621B,1.984B,,,1.184B,,1.184B,,,,3.168B,5.525B,,5.525B,571.00M,571.00M,,,,436.00M,6.532B,9.70B,,112.00M,12.99B,,,,-35.00M,13.06B,,,Restated
2008-10,541.00M,501.00M,1.042B,2.947B,148.00M,3.095B,299.00M,262.00M,787.00M,1.348B,633.00M,384.00M,,6.502B,,,,,,4.865B,-2.631B,2.234B,7.515B,2.198B,9.713B,,,,3.584B,15.53B,22.03B,,364.00M,,364.00M,1.532B,1.896B,,,1.018B,,1.018B,,,,2.914B,5.523B,,5.523B,18.00M,18.00M,,,,954.00M,6.495B,9.409B,,112.00M,12.47B,,,,44.00M,12.62B,,,Restated
2008-07,1.17B,575.00M,1.745B,3.239B,,3.239B,271.00M,269.00M,816.00M,1.356B,483.00M,575.00M,,7.398B,,,,,,4.835B,-2.594B,2.241B,7.529B,2.147B,9.676B,,,82.00M,3.336B,15.34B,22.73B,,387.00M,,387.00M,1.70B,2.087B,,,1.635B,,1.635B,,,,3.722B,5.499B,,5.499B,,,,,,1.273B,6.772B,10.49B,,113.00M,12.33B,,,,-208.00M,12.24B,,,Restated
2008-04,1.06B,553.00M,1.613B,3.287B,,3.36B,246.00M,250.00M,784.00M,1.28B,469.00M,600.00M,,7.322B,0.00,123.00M,1.24B,3.066B,314.00M,4.743B,-2.522B,2.221B,7.519B,2.193B,9.712B,2.322B,,103.00M,518.00M,14.88B,22.20B,,383.00M,0.00,383.00M,1.998B,2.381B,,,1.154B,,1.154B,,,,3.535B,5.802B,,5.802B,519.00M,519.00M,304.00M,,,502.00M,7.127B,10.66B,,112.00M,11.71B,,,,-286.00M,11.54B,,,Restated
2008-01,729.00M,578.00M,1.307B,2.979B,,2.979B,269.00M,234.00M,804.00M,1.307B,490.00M,598.00M,,6.681B,,,,,,4.754B,-2.526B,2.228B,7.528B,2.259B,9.787B,,,,2.716B,14.73B,21.41B,,395.00M,,395.00M,1.823B,2.218B,,,1.318B,,1.318B,,,,3.536B,5.656B,,5.656B,10.00M,10.00M,,,,1.244B,6.91B,10.45B,,112.00M,10.97B,,185.00M,-305.00M,-120.00M,10.97B,,,
2007-10,4.683B,900.00M,5.583B,2.865B,,2.865B,246.00M,239.00M,763.00M,1.248B,403.00M,442.00M,,10.54B,,,,,,4.599B,-2.438B,2.161B,4.335B,1.389B,5.724B,,,323.00M,1.837B,10.04B,20.59B,,315.00M,,315.00M,1.459B,1.774B,,,877.00M,,877.00M,,,,2.651B,5.494B,,5.494B,,,,,,966.00M,6.46B,9.111B,,113.00M,11.49B,,202.00M,-333.00M,-131.00M,11.48B,,,
2007-07,873.00M,1.94B,2.813B,2.76B,,2.76B,258.00M,221.00M,764.00M,1.243B,451.00M,401.00M,,7.668B,,,,,,4.428B,-2.336B,2.092B,4.331B,1.419B,5.75B,,,312.00M,3.838B,11.99B,19.66B,,317.00M,,317.00M,1.26B,1.577B,,,463.00M,,463.00M,,,,2.04B,5.576B,,5.576B,,,,,,901.00M,6.477B,8.517B,,114.00M,11.12B,,,,-88.00M,11.14B,,,
2007-04,1.256B,1.822B,3.078B,2.737B,,2.737B,253.00M,209.00M,753.00M,1.215B,483.00M,405.00M,,7.918B,0.00,95.00M,1.007B,2.784B,423.00M,4.309B,-2.247B,2.062B,4.327B,1.433B,5.76B,,,204.00M,3.568B,11.59B,19.51B,,282.00M,,282.00M,1.772B,2.054B,,,509.00M,,509.00M,,,,2.563B,5.578B,,5.578B,,,,,,394.00M,5.972B,8.535B,,114.00M,10.92B,,195.00M,-258.00M,-63.00M,10.98B,,,
2007-01,2.087B,1.234B,3.321B,2.626B,,2.626B,281.00M,215.00M,823.00M,1.319B,499.00M,445.00M,,8.21B,,,,,,4.135B,-2.146B,1.989B,4.363B,1.555B,5.918B,,,8.00M,3.447B,11.36B,19.57B,,345.00M,,345.00M,1.807B,2.152B,,,551.00M,,551.00M,,,,2.703B,5.577B,,5.577B,,,,,,308.00M,5.885B,8.588B,,115.00M,10.68B,,198.00M,-12.00M,186.00M,10.98B,,,
2006-10,1.09B,2.515B,3.605B,2.59B,,2.59B,279.00M,215.00M,824.00M,1.318B,496.00M,414.00M,,8.423B,,,,,,4.048B,-2.10B,1.948B,4.361B,1.608B,5.969B,,,12.00M,2.544B,10.47B,18.90B,,319.00M,,319.00M,1.847B,2.166B,,,529.00M,,529.00M,,,,2.695B,5.581B,,5.581B,,,,,,343.00M,5.924B,8.619B,,115.00M,9.96B,,,,202.00M,10.28B,,,
2006-07,1.396B,4.549B,5.945B,2.444B,,2.444B,291.00M,185.00M,804.00M,1.28B,536.00M,226.00M,,10.43B,,,,,,3.921B,-2.017B,1.904B,4.361B,1.559B,5.92B,,,25.00M,1.901B,9.75B,20.18B,,341.00M,,341.00M,1.671B,2.012B,,,2.427B,,2.427B,,,,4.439B,5.485B,,5.485B,,,,,,361.00M,5.846B,10.28B,,115.00M,9.60B,,,,181.00M,9.896B,,,
2006-04,2.994B,3.107B,6.101B,2.429B,,2.429B,244.00M,197.00M,736.00M,1.177B,473.00M,197.00M,,10.38B,0.00,92.00M,955.00M,2.513B,234.00M,3.794B,-1.913B,1.881B,4.346B,1.592B,5.938B,,,,1.469B,9.288B,19.66B,,319.00M,,319.00M,1.651B,1.97B,,,2.437B,,2.437B,,,-1.00M,4.406B,5.486B,,5.486B,22.00M,22.00M,,,,368.00M,5.876B,10.28B,,116.00M,9.112B,,177.00M,-22.00M,155.00M,9.383B,,,
2006-01,1.368B,3.559B,4.927B,2.365B,,2.365B,253.60M,198.40M,725.20M,1.177B,373.70M,83.20M,,8.926B,,,,,,3.710B,-1.834B,1.876B,,5.977B,5.977B,,,,1.561B,9.414B,18.34B,,310.90M,,310.90M,1.537B,1.848B,,,3.023B,,3.023B,,,,4.872B,1.002B,,1.002B,362.80M,362.80M,,,,364.60M,1.730B,6.601B,,120.90M,11.45B,,,,167.90M,11.74B,,,
2005-10,1.948B,2.230B,4.177B,2.316B,,2.316B,250.90M,168.80M,706.90M,1.127B,417.40M,81.50M,,8.119B,,,,,,3.707B,-1.825B,1.882B,,5.964B,5.964B,,,,1.802B,9.648B,17.77B,,340.70M,,340.70M,1.723B,2.064B,,,2.835B,,2.835B,,,,4.899B,1.001B,,1.001B,370.90M,370.90M,,,,362.60M,1.735B,6.634B,,120.70M,10.84B,,,,169.20M,11.13B,,,
2005-07,1.590B,1.571B,3.160B,2.260B,,2.260B,243.90M,140.90M,661.60M,1.046B,539.10M,128.60M,,7.134B,,,,,,3.616B,-1.766B,1.850B,,5.977B,5.977B,,,,1.957B,9.783B,16.92B,,343.70M,,343.70M,1.800B,2.143B,,,1.459B,,1.459B,,,,3.602B,1.973B,,1.973B,392.30M,392.30M,,,,368.70M,2.734B,6.336B,,120.90M,10.31B,,,,152.70M,10.58B,,,
2005-04,2.232B,1.159B,3.391B,2.293B,,2.293B,227.00M,148.00M,607.00M,982.00M,370.00M,386.00M,,7.422B,0.00,85.00M,891.00M,2.363B,289.00M,3.628B,-1.769B,1.859B,,5.299B,5.299B,,,,2.037B,9.195B,16.62B,,372.00M,,372.00M,2.529B,2.901B,,,479.00M,,479.00M,,,,3.38B,1.973B,,1.973B,478.00M,478.00M,,,,336.00M,2.787B,6.167B,,121.00M,10.18B,,,,150.00M,10.45B,,,
2005-01,2.186B,744.30M,2.930B,2.203B,,2.203B,228.60M,147.20M,638.70M,1.014B,389.70M,191.30M,,6.728B,,,,,,3.527B,-1.722B,1.805B,,5.320B,5.320B,,,,1.842B,8.967B,15.70B,,344.80M,,344.80M,1.897B,2.242B,,,413.70M,,413.70M,,,,2.656B,1.975B,,1.975B,442.00M,442.00M,,,,390.50M,2.807B,5.463B,,120.70M,9.975B,,,,136.70M,10.23B,,,
2004-10,2.297B,410.40M,2.708B,2.126B,,2.126B,220.10M,133.70M,623.80M,977.60M,361.60M,196.50M,,6.370B,,,,,,3.434B,-1.665B,1.769B,,5.254B,5.254B,,,,1.788B,8.811B,15.18B,,323.60M,,323.60M,1.773B,2.097B,,,390.70M,,390.70M,,,,2.488B,1.975B,,1.975B,419.30M,419.30M,,,,373.30M,2.767B,5.255B,,120.90M,9.664B,,,,140.90M,9.925B,,,
2004-07,2.151B,257.40M,2.408B,1.987B,,1.987B,204.20M,136.50M,591.60M,932.30M,345.10M,200.70M,,5.874B,,,,,,3.292B,-1.570B,1.721B,,5.211B,5.211B,,,,1.751B,8.683B,14.56B,,288.50M,,288.50M,1.660B,1.949B,,,2.349B,,2.349B,,,,4.298B,1.60M,,1.60M,403.90M,403.90M,,,,405.10M,810.60M,5.109B,,120.90M,9.244B,,,,83.40M,9.448B,,,
2004-04,1.594B,333.80M,1.928B,1.994B,,1.994B,196.20M,140.10M,541.40M,877.70M,315.80M,197.40M,,5.313B,0.00,83.50M,820.10M,2.103B,197.30M,3.204B,-1.496B,1.708B,,5.236B,5.236B,,,,1.854B,8.798B,14.11B,,346.20M,,346.20M,1.536B,1.882B,,,2.358B,,2.358B,,,,4.241B,1.10M,,1.10M,408.20M,408.20M,,,,383.90M,793.20M,5.034B,,120.90M,8.891B,,,,65.20M,9.077B,,,
2004-01,1.268B,176.40M,1.444B,1.980B,,1.980B,217.90M,148.80M,609.40M,976.10M,20.70M,216.00M,,4.636B,,,,,,3.15B,-1.481B,1.669B,,5.271B,5.271B,,,,1.861B,8.802B,13.44B,,291.90M,,291.90M,1.319B,1.611B,,,2.464B,,2.464B,,,,4.074B,2.10M,,2.10M,326.20M,326.20M,,,,347.50M,675.80M,4.750B,,121.20M,8.501B,,,,64.90M,8.688B,,,
2003-10,971.00M,219.30M,1.190B,1.930B,,1.930B,219.60M,156.60M,601.40M,977.60M,86.60M,208.30M,,4.393B,,,,,,3.027B,-1.411B,1.615B,,5.271B,5.271B,,,,1.622B,8.508B,12.90B,,294.00M,,294.00M,1.189B,1.483B,,,2.464B,,2.464B,,,,3.947B,2.10M,,2.10M,326.60M,326.60M,,,,323.50M,652.20M,4.599B,,121.10M,21.60M,8.166B,,,-6.80M,8.302B,,,
2003-07,1.173B,106.30M,1.280B,1.775B,,1.775B,216.20M,149.50M,584.10M,949.80M,173.10M,190.50M,,4.368B,,,,,,2.936B,-1.343B,1.592B,,5.212B,5.212B,,,,1.454B,8.259B,12.63B,,269.50M,,269.50M,1.135B,1.405B,,,408.60M,,408.60M,,,,1.813B,1.980B,,1.980B,332.30M,332.30M,,,,325.10M,2.637B,4.450B,,121.60M,8.052B,,,,3.60M,8.177B,,,
2003-04,1.470B,22.70M,1.493B,1.761B,,1.761B,214.40M,135.70M,592.30M,942.40M,299.60M,194.00M,,4.690B,0.00,76.90M,751.40M,1.852B,192.90M,2.873B,-1.290B,1.583B,,5.217B,5.217B,,,,915.50M,7.715B,12.41B,,269.40M,,269.40M,1.243B,1.513B,,,385.30M,,385.30M,,,,1.898B,1.980B,,1.980B,304.30M,304.30M,,,,316.50M,2.601B,4.499B,,121.80M,7.808B,,,,-23.80M,7.906B,,,
2003-01,1.469B,16.70M,1.485B,1.722B,,1.722B,231.20M,139.10M,623.80M,994.10M,203.80M,173.00M,,4.578B,,,,2.791B,,2.791B,-1.249B,1.542B,,5.218B,5.218B,,,,575.50M,7.335B,11.91B,,300.40M,,300.40M,1.032B,1.333B,,,419.60M,,419.60M,,,,1.752B,1.984B,,1.984B,255.50M,255.50M,,,,348.40M,2.588B,4.340B,,122.00M,7.502B,,,,-51.50M,7.573B,,,
2002-10,990.90M,49.80M,1.041B,1.642B,,1.642B,242.10M,132.10M,520.00M,894.20M,349.40M,268.20M,,4.195B,,,,2.666B,,2.666B,-1.180B,1.486B,,5.226B,5.226B,,,,543.60M,7.255B,11.45B,,266.40M,,266.40M,1.028B,1.294B,,,405.30M,,405.30M,,,,1.700B,1.983B,,1.983B,251.00M,251.00M,,,,335.00M,2.569B,4.269B,,121.90M,7.175B,,,,-115.70M,7.181B,,,
2002-07,872.10M,16.60M,888.70M,1.577B,,1.577B,222.00M,132.40M,496.30M,850.70M,340.50M,355.40M,,4.012B,,,,2.609B,,2.609B,-1.115B,1.494B,4.053B,1.047B,5.099B,,,,586.70M,7.180B,11.19B,,274.60M,,274.60M,1.110B,1.385B,,,2.508B,,2.508B,,,,3.893B,9.70M,,9.70M,221.00M,221.00M,,,,336.20M,566.90M,4.460B,,121.40M,6.754B,,,,-143.80M,6.731B,,,
2002-04,410.70M,123.00M,533.70M,1.522B,,1.522B,209.50M,120.10M,418.50M,748.10M,359.30M,324.40M,,3.488B,0.00,64.00M,650.80M,1.548B,226.80M,2.489B,-1.037B,1.452B,4.035B,1.060B,5.095B,,,,869.80M,7.416B,10.90B,,268.20M,,268.20M,1.201B,1.469B,,,2.516B,,2.516B,,,,3.985B,9.50M,,9.50M,233.80M,233.80M,,,,245.20M,488.50M,4.473B,,121.50M,6.493B,,,,-183.40M,6.431B,,,
2002-01,458.80M,73.40M,532.20M,1.417B,,1.417B,220.20M,132.30M,385.60M,738.10M,313.10M,312.40M,,3.313B,,,,,,2.449B,-1.017B,1.431B,3.766B,858.60M,4.624B,,,,776.80M,6.832B,10.15B,,211.20M,,211.20M,1.068B,1.279B,,,2.365B,,2.365B,,,,3.644B,13.60M,,13.60M,143.50M,143.50M,,,,181.50M,338.60M,3.982B,,121.40M,6.206B,,,,-164.20M,6.163B,,,
2001-10,283.10M,64.60M,347.70M,1.398B,,1.398B,230.50M,117.60M,414.90M,763.00M,306.90M,312.00M,,3.128B,,,,,,2.374B,-973.40M,1.401B,,4.591B,4.591B,,,,598.60M,6.590B,9.718B,,234.30M,,234.30M,1.043B,1.277B,,,2.282B,,2.282B,,,,3.559B,14.10M,,14.10M,138.30M,138.30M,,,,175.10M,327.50M,3.887B,,121.00M,5.870B,,,,-159.10M,5.832B,,,
2001-07,1.170B,188.40M,1.359B,1.246B,,1.246B,199.80M,120.40M,397.40M,717.60M,309.10M,281.20M,,3.913B,,,,,,2.117B,-916.60M,1.200B,,1.234B,1.234B,,,,926.40M,3.361B,7.274B,,200.60M,,200.60M,991.40M,1.192B,,,127.90M,,127.90M,,,,1.320B,13.90M,,13.90M,4.20M,4.20M,,,,163.20M,181.30M,1.501B,,121.00M,5.813B,,,,-161.10M,5.772B,,,
2001-04,1.030B,201.40M,1.232B,1.226B,,1.226B,197.30M,131.50M,400.70M,729.50M,288.00M,281.50M,,3.757B,0.00,57.70M,510.10M,1.215B,274.10M,2.057B,-880.80M,1.176B,995.90M,239.40M,1.235B,,,,870.30M,3.282B,7.039B,,205.90M,,205.90M,1.008B,1.214B,,,145.40M,,145.40M,,,,1.359B,13.30M,,13.30M,,,,,,156.80M,170.10M,1.529B,,121.00M,5.576B,,,,-187.80M,5.510B,,,
2001-01,448.80M,221.40M,670.20M,,,1.213B,,,,763.80M,,,434.10M,3.081B,,,,,,1.954B,-850.40M,1.104B,,1.303B,1.303B,,,,1.024B,3.431B,6.512B,,181.40M,,181.40M,,181.40M,,,151.90M,,151.90M,,,616.10M,949.40M,15.90M,,15.90M,22.50M,22.50M,,,,165.70M,204.10M,1.154B,,120.80M,5.399B,,,,-161.30M,5.359B,,,
2000-10,587.50M,236.10M,823.60M,,,1.164B,,,,754.80M,,,470.10M,3.212B,,,,,,1.819B,-799.30M,1.020B,,1.301B,1.301B,,,,638.70M,2.959B,6.172B,,210.70M,,210.70M,,210.70M,,,214.80M,,214.80M,,,594.80M,1.020B,15.00M,,15.00M,15.40M,15.40M,,,,156.70M,187.10M,1.207B,,120.00M,5.051B,,,,-206.50M,4.964B,,,
2000-07,575.20M,238.20M,813.40M,,,1.154B,,,,751.40M,,,405.50M,3.125B,,,,,,1.745B,-775.30M,969.70M,,1.341B,1.341B,,,,451.00M,2.761B,5.886B,,180.30M,,180.30M,,180.30M,,,252.90M,,252.90M,,,530.90M,964.10M,15.50M,,15.50M,15.60M,15.60M,,,,151.80M,182.90M,1.147B,,119.90M,4.776B,,,,-157.20M,4.739B,,,
2000-04,467.80M,109.70M,577.50M,1.211B,,1.211B,,,,691.70M,,,556.50M,3.036B,,,,,,1.681B,-732.70M,948.00M,,1.361B,1.361B,,,,348.40M,2.658B,5.694B,,201.10M,,201.10M,,201.10M,,,317.20M,,317.20M,,,476.10M,994.40M,14.90M,,14.90M,15.20M,15.20M,,,,157.10M,187.20M,1.182B,,119.80M,4.564B,,,,-171.40M,4.512B,,,
2000-01,154.80M,82.80M,237.60M,,,1.238B,,,,709.80M,,,548.00M,2.733B,,,,,,1.622B,-739.50M,883.00M,,1.390B,1.390B,,,,415.90M,2.688B,5.422B,,252.90M,,252.90M,,252.90M,,,293.20M,,293.20M,,,574.30M,1.120B,24.40M,,24.40M,,,,,,157.70M,182.10M,1.302B,,119.50M,4.143B,,,,-143.70M,4.119B,,,
1999-10,157.80M,59.20M,217.00M,,,1.153B,,,,683.30M,,,470.00M,2.524B,,,,,,1.530B,-705.20M,824.40M,,1.351B,1.351B,,,,477.90M,2.653B,5.177B,,197.50M,,197.50M,,197.50M,,,186.20M,,186.20M,,,719.90M,1.104B,18.10M,,18.10M,37.70M,37.70M,,,,152.20M,208.00M,1.312B,,117.20M,3.871B,,,,-122.90M,3.865B,,,
1999-07,230.00M,82.10M,312.10M,,,1.047B,,,,600.40M,,,440.80M,2.400B,,,,,,1.458B,-676.70M,781.30M,,1.355B,1.355B,,,,465.80M,2.602B,5.003B,,192.10M,,192.10M,,192.10M,,,188.50M,,188.50M,,,603.40M,984.00M,18.90M,,18.90M,41.80M,41.80M,,,,147.00M,207.70M,1.192B,,58.60M,3.873B,,,,-120.70M,3.811B,,,
1999-04,228.50M,153.80M,382.30M,,,1.025B,,,,575.30M,,,462.40M,2.445B,,,,,,1.444B,-672.20M,772.30M,,1.374B,1.374B,,,,417.10M,2.564B,5.008B,,158.80M,,158.80M,,158.80M,,,239.20M,,239.20M,,,608.20M,1.006B,23.40M,,23.40M,30.80M,30.80M,,,,177.20M,231.40M,1.238B,,119.10M,3.773B,,,,-121.30M,3.771B,,,
1999-01,346.60M,,346.60M,,,933.80M,,,,525.50M,,,720.40M,2.526B,,,,,,1.435B,-685.50M,749.60M,,1.229B,1.229B,,,,405.00M,2.384B,4.910B,,139.50M,,139.50M,,139.50M,,,225.30M,,225.30M,,,801.70M,1.166B,22.60M,,22.60M,6.00M,6.00M,,,,140.20M,168.80M,1.335B,,,3.602B,,,,,3.575B,,,
1998-10,572.30M,,572.30M,,,706.50M,,,,424.60M,,,568.10M,2.272B,,,,,,1.138B,-573.30M,565.10M,,673.40M,673.40M,,,,324.60M,1.563B,3.835B,,96.20M,,96.20M,,96.20M,,,201.30M,,201.30M,,,476.60M,774.10M,19.50M,,19.50M,0.50M,0.50M,,,,130.40M,150.40M,924.50M,,,2.963B,,,,,2.910B,,,
1998-07,259.20M,,259.20M,,,574.90M,,,,342.40M,,,418.20M,1.595B,,,,,,1.053B,-534.80M,518.20M,,456.40M,456.40M,,,,223.40M,1.198B,2.793B,,74.20M,,74.20M,,74.20M,,,99.20M,,99.20M,,,404.00M,577.40M,16.40M,,16.40M,0.70M,0.70M,,,,125.30M,142.40M,719.80M,,,2.128B,,,,,2.073B,,,
1998-04,519.50M,,519.50M,,,789.60M,,,,422.80M,,,405.40M,2.137B,,,,,,1.189B,-562.40M,627.00M,,563.80M,563.80M,,,,318.10M,1.509B,3.646B,,122.00M,,122.00M,,122.00M,,,130.80M,,130.80M,,,511.30M,764.10M,61.20M,,61.20M,13.40M,13.40M,,,,156.90M,231.50M,995.60M,,,2.676B,,,,,2.651B,,,
1998-01,310.60M,,310.60M,,,546.30M,,,,320.20M,,,318.90M,1.496B,,,,,,971.90M,-497.50M,474.40M,,471.90M,471.90M,,,,217.00M,1.163B,2.659B,,80.00M,,80.00M,,80.00M,,,94.40M,,94.40M,,,426.30M,600.70M,15.50M,,15.50M,8.70M,8.70M,,,,142.60M,166.80M,767.50M,,,1.944B,,,,,1.892B,,,
1997-10,297.90M,,297.90M,,,542.40M,,,,325.50M,,,219.10M,1.385B,,,,,,1.010B,-519.40M,490.30M,,491.30M,491.30M,,,,242.80M,1.224B,2.609B,,79.40M,,79.40M,,79.40M,,,100.10M,,100.10M,,,319.20M,498.70M,16.10M,,16.10M,11.80M,11.80M,,,,140.90M,168.80M,667.50M,,,1.978B,,,,,1.942B,,,
1997-07,280.20M,,280.20M,,,513.10M,,,,300.20M,,,230.30M,1.324B,,,,,,972.80M,-492.20M,480.60M,,490.80M,490.80M,,,,220.50M,1.192B,2.516B,,70.90M,,70.90M,,70.90M,,,95.10M,,95.10M,,,351.50M,517.50M,18.90M,,18.90M,6.30M,6.30M,,,,132.20M,157.40M,674.90M,,,1.892B,,,,,1.841B,,,
1997-04,197.40M,,197.40M,,,517.00M,,,,282.60M,,,240.90M,1.238B,,,,,,965.00M,-477.80M,487.20M,,491.00M,491.00M,,,,193.10M,1.171B,2.409B,,110.30M,,110.30M,,110.30M,,,106.40M,,106.40M,,,302.00M,518.70M,14.00M,,14.00M,2.20M,2.20M,,,,128.10M,144.30M,663.00M,,,1.808B,,,,,1.746B,,,
1997-01,61.10M,,61.10M,,,490.10M,,,,292.60M,,,660.80M,1.505B,,,,,,930.20M,-467.60M,462.60M,,482.70M,482.70M,,,,245.30M,1.191B,2.695B,,94.70M,,94.70M,,94.70M,,,87.20M,,87.20M,,,306.50M,488.40M,17.70M,,17.70M,18.20M,18.20M,,,,137.70M,173.60M,662.00M,,,2.070B,,,,,2.033B,,,
1996-10,89.00M,,89.00M,,,493.00M,,,,285.50M,,,599.80M,1.467B,,,,,,916.80M,-460.30M,456.50M,,495.40M,495.40M,,,,253.30M,1.205B,2.672B,,76.50M,,76.50M,,76.50M,,,78.40M,,78.40M,,,316.20M,471.10M,20.40M,,20.40M,25.80M,25.80M,,,,135.50M,181.70M,652.80M,,,2.025B,,,,,2.020B,,,
1996-07,121.10M,,121.10M,,,475.00M,,,,265.70M,,,566.20M,1.428B,,,,,,877.50M,-442.10M,435.40M,,456.70M,456.70M,,,,248.10M,1.140B,2.568B,,74.80M,,74.80M,,74.80M,,,47.10M,,47.10M,,,337.30M,459.20M,19.10M,,19.10M,27.50M,27.50M,,,,143.40M,190.00M,649.20M,,,1.916B,,,,,1.919B,,,
1996-04,110.30M,,110.30M,,,456.80M,,,,257.30M,,,518.80M,1.343B,,,,,,833.70M,-418.40M,415.30M,,471.70M,471.70M,,,,273.10M,1.160B,2.503B,,97.40M,,97.40M,,97.40M,,,60.50M,,60.50M,,,367.10M,525.00M,15.30M,,15.30M,45.70M,45.70M,,,,128.00M,189.00M,714.00M,,,1.797B,,,,,1.789B,,,
1996-01,120.10M,,120.10M,,,420.30M,,,,245.20M,,,451.80M,1.237B,,,,,,780.40M,-417.30M,363.10M,,375.70M,375.70M,,,,254.10M,992.90M,2.230B,,67.60M,,67.60M,,67.60M,,,30.50M,,30.50M,,,292.30M,390.40M,,,,39.40M,39.40M,,,,144.90M,184.30M,574.70M,,,1.660B,,,,,1.656B,,,
1995-10,124.30M,,124.30M,,,416.10M,,,,228.40M,,,428.90M,1.198B,,,,,,760.20M,-414.50M,345.70M,,319.00M,319.00M,,,,212.40M,877.10M,2.075B,,60.50M,,60.50M,,60.50M,,,22.20M,,22.20M,,,308.60M,391.30M,,,,32.80M,32.80M,,,,142.10M,174.90M,566.20M,,,1.500B,,,,,1.509B,,,
1995-07,141.60M,,141.60M,,,422.10M,,,,212.40M,,,449.00M,1.225B,,,,,,746.40M,-401.70M,344.70M,,328.60M,328.60M,,,,129.50M,802.80M,2.028B,,70.00M,,70.00M,,70.00M,,,42.00M,,42.00M,,,320.40M,432.40M,,,,39.00M,39.00M,,,,130.20M,169.20M,601.60M,,,1.422B,,,,,1.426B,,,
1995-04,98.30M,,98.30M,,,413.90M,,,,221.90M,,,369.80M,1.104B,,,,,,715.50M,-384.40M,331.10M,,363.30M,363.30M,,,,148.40M,842.80M,1.947B,,123.00M,,123.00M,,123.00M,,,33.50M,,33.50M,,,299.60M,456.10M,14.20M,,14.20M,35.90M,35.90M,,,,105.50M,155.60M,611.70M,,,1.330B,,,,,1.335B,,,
1995-01,129.30M,,129.30M,,,450.80M,,,,212.40M,,,118.40M,910.90M,,,,,,682.30M,-368.90M,313.40M,,342.40M,342.40M,,,,150.20M,806.00M,1.717B,,90.60M,,90.60M,,90.60M,,,38.10M,,38.10M,,,256.60M,385.30M,,,,19.50M,19.50M,,,,109.50M,129.00M,514.30M,,,1.22B,,,,,1.203B,,,
1994-10,115.00M,,115.00M,,,428.80M,,,,219.20M,,,114.60M,877.60M,,,,,,669.40M,-359.60M,309.80M,,350.60M,350.60M,,,,117.70M,778.10M,1.656B,,89.10M,,89.10M,,89.10M,,,27.90M,,27.90M,,,278.10M,395.10M,,,,19.50M,19.50M,,,,105.20M,124.70M,519.80M,,,1.147B,,,,,1.136B,,,
1994-07,77.00M,,77.00M,,,416.20M,,,,212.60M,,,113.40M,819.20M,,,,,,647.10M,-337.30M,309.80M,,357.20M,357.20M,,,,125.70M,792.70M,1.612B,,71.80M,,71.80M,,71.80M,,,92.80M,,92.80M,,,250.40M,415.00M,,,,19.70M,19.70M,,,,113.80M,133.50M,548.50M,,,1.092B,,,,,1.063B,,,
1994-04,108.70M,,108.70M,,,413.60M,,,,213.30M,,,110.30M,845.90M,,,,,,610.00M,-308.20M,301.80M,,367.20M,367.20M,,,,108.40M,777.40M,1.623B,,101.20M,,101.20M,,101.20M,,,58.20M,,58.20M,,,280.00M,439.40M,20.20M,,20.20M,15.90M,15.90M,,,,94.30M,130.40M,569.80M,,,1.090B,,,,,1.054B,,,
1994-01,119.00M,,119.00M,,,406.60M,,,,187.40M,,,81.30M,794.30M,,,,,,562.40M,-295.60M,266.80M,,139.70M,139.70M,,,,114.10M,520.60M,1.315B,,65.60M,,65.60M,,65.60M,,,27.70M,,27.70M,,,190.20M,283.50M,,,,5.40M,5.40M,,,,105.70M,111.10M,394.60M,,,969.30M,,,,,920.30M,,,
