,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,163.00M,2.919B,2.211B,5.13B,1.551B,1.551B,155.00M,1.079B,856.00M,2.09B,821.00M,,,9.592B,,,,,5.025B,-2.17B,2.855B,4.362B,888.00M,5.25B,271.00M,205.00M,149.00M,8.935B,18.53B,,492.00M,120.00M,612.00M,382.00M,994.00M,,,,,,,,1.466B,5.066B,,5.066B,50.00M,,50.00M,82.00M,1.229B,6.427B,7.893B,,1.741B,36.41B,1.867B,29.02B,,-371.00M,10.63B,,AOR,Restated
2018-03,236.00M,1.717B,2.362B,4.079B,1.454B,1.454B,144.00M,1.076B,812.00M,2.032B,1.025B,,,8.59B,,,,,4.907B,-2.171B,2.736B,4.362B,968.00M,5.33B,271.00M,218.00M,147.00M,8.917B,17.51B,,488.00M,133.00M,621.00M,395.00M,1.016B,,500.00M,500.00M,500.00M,,,,1.86B,3.578B,,3.578B,53.00M,,53.00M,92.00M,1.282B,5.005B,6.865B,,1.741B,35.62B,1.77B,28.10B,,-392.00M,10.64B,,AOR,Restated
2017-12,259.00M,1.656B,2.813B,4.469B,1.278B,1.278B,126.00M,1.089B,742.00M,1.957B,768.00M,,262.00M,8.734B,0.00,127.00M,2.467B,2.195B,4.789B,-2.125B,2.664B,4.362B,1.056B,5.418B,268.00M,264.00M,86.00M,8.908B,17.64B,,466.00M,128.00M,594.00M,442.00M,1.036B,,500.00M,500.00M,500.00M,,,,2.258B,3.577B,,3.577B,78.00M,,78.00M,89.00M,668.00M,5.047B,7.305B,,1.741B,34.66B,1.776B,27.46B,,-384.00M,10.34B,,AOR,Restated
2017-09,187.00M,1.296B,2.148B,3.444B,1.576B,1.576B,120.00M,1.103B,685.00M,1.908B,1.063B,,,7.991B,,,,,4.668B,-2.101B,2.567B,4.362B,1.136B,5.498B,258.00M,414.00M,89.00M,8.938B,16.93B,,430.00M,74.00M,504.00M,417.00M,921.00M,,499.00M,499.00M,499.00M,,,,2.055B,3.084B,,3.084B,38.00M,,694.00M,108.00M,,3.886B,5.941B,,1.741B,34.94B,1.718B,26.90B,,-505.00M,10.99B,,AOR,Restated
2017-06,190.00M,1.14B,1.844B,2.984B,1.469B,1.469B,109.00M,1.099B,739.00M,1.947B,1.111B,,,7.511B,,,,,4.656B,-2.142B,2.514B,4.362B,1.219B,5.581B,250.00M,412.00M,71.00M,8.927B,16.44B,,450.00M,86.00M,536.00M,353.00M,889.00M,,499.00M,499.00M,499.00M,,,,1.877B,3.084B,,3.084B,33.00M,,668.00M,101.00M,,3.853B,5.73B,,1.741B,34.15B,1.683B,26.34B,,-520.00M,10.71B,,AOR,Restated
2017-03,228.00M,1.073B,1.976B,3.049B,1.337B,1.337B,102.00M,1.017B,724.00M,1.843B,811.00M,,,7.04B,,,,,4.833B,-2.332B,2.501B,4.362B,1.30B,5.662B,241.00M,361.00M,71.00M,8.938B,15.98B,,429.00M,77.00M,506.00M,366.00M,872.00M,,378.00M,378.00M,378.00M,,,,1.602B,2.98B,,2.98B,36.00M,,660.00M,97.00M,,3.737B,5.339B,,1.741B,33.60B,1.597B,25.77B,,-527.00M,10.64B,,AOR,Restated
2016-12,211.00M,1.154B,2.336B,3.49B,1.267B,1.267B,102.00M,954.00M,734.00M,1.79B,910.00M,,,7.457B,0.00,127.00M,2.753B,2.043B,4.923B,-2.411B,2.512B,4.362B,1.316B,5.678B,235.00M,374.00M,79.00M,8.974B,16.43B,,396.00M,83.00M,479.00M,444.00M,923.00M,,631.00M,631.00M,631.00M,,,,2.264B,2.978B,,2.978B,33.00M,,33.00M,129.00M,554.00M,3.694B,5.958B,,1.741B,33.11B,1.674B,25.52B,,-526.00M,10.47B,,AOR,Restated
2016-09,193.00M,1.369B,1.768B,3.137B,1.447B,1.447B,104.00M,949.00M,755.00M,1.808B,789.00M,,,7.181B,,,,,4.982B,-2.437B,2.545B,4.362B,1.394B,5.756B,233.00M,355.00M,82.00M,9.035B,16.22B,,428.00M,68.00M,496.00M,393.00M,889.00M,,634.00M,634.00M,634.00M,,,,2.17B,2.977B,,2.977B,35.00M,,582.00M,201.00M,,3.76B,5.93B,,1.741B,32.43B,1.757B,25.10B,,-542.00M,10.29B,,AOR,Restated
2016-06,205.00M,1.235B,1.304B,2.539B,1.348B,1.348B,104.00M,946.00M,826.00M,1.876B,926.00M,,,6.689B,,,,,5.152B,-2.595B,2.557B,4.362B,1.476B,5.838B,224.00M,231.00M,69.00M,9.004B,15.69B,,416.00M,58.00M,474.00M,387.00M,861.00M,,637.00M,637.00M,637.00M,,,,1.991B,2.975B,,2.975B,40.00M,,572.00M,193.00M,,3.74B,5.731B,,1.741B,31.85B,1.681B,24.77B,,-536.00M,9.962B,,AOR,Restated
2016-03,229.00M,1.281B,1.519B,2.80B,1.269B,1.269B,105.00M,888.00M,812.00M,1.805B,785.00M,,,6.659B,,,,,5.29B,-2.736B,2.554B,4.362B,1.556B,5.918B,220.00M,175.00M,76.00M,9.027B,15.69B,,387.00M,67.00M,454.00M,377.00M,831.00M,,1.249B,1.249B,1.249B,,,,2.42B,2.869B,,2.869B,38.00M,,420.00M,195.00M,,3.484B,5.904B,,1.741B,31.46B,1.558B,24.44B,,-531.00M,9.782B,,AOR,Restated
2015-12,228.00M,1.00B,2.218B,3.218B,1.165B,1.165B,109.00M,846.00M,736.00M,1.691B,1.00B,,,7.074B,0.00,127.00M,2.789B,2.549B,5.465B,-2.869B,2.596B,4.362B,1.629B,5.991B,221.00M,201.00M,62.00M,9.156B,16.23B,,386.00M,95.00M,481.00M,410.00M,891.00M,,1.00B,1.00B,1.00B,,,,2.555B,3.12B,,3.12B,37.00M,,413.00M,196.00M,,3.729B,6.284B,,1.741B,31.18B,1.629B,24.07B,,-532.00M,9.946B,,AOR,Restated
2015-09,249.00M,1.133B,1.602B,2.735B,1.481B,1.481B,108.00M,913.00M,750.00M,1.771B,945.00M,357.00M,,7.289B,,,,,5.742B,-3.113B,2.629B,4.362B,1.716B,6.078B,216.00M,160.00M,92.00M,9.251B,16.54B,,367.00M,84.00M,451.00M,431.00M,882.00M,,1.00B,1.00B,1.00B,3.00M,3.00M,,2.50B,3.132B,,3.132B,308.00M,,691.00M,247.00M,,4.07B,6.57B,,1.741B,30.73B,1.562B,23.55B,,-513.00M,9.97B,,AOR,Restated
2015-06,261.00M,1.184B,2.122B,3.306B,1.434B,1.434B,112.00M,940.00M,833.00M,1.885B,1.088B,347.00M,,8.06B,,,,,6.097B,-3.412B,2.685B,4.362B,1.805B,6.167B,228.00M,169.00M,96.00M,9.472B,17.53B,,417.00M,117.00M,534.00M,425.00M,959.00M,,1.75B,1.75B,1.75B,3.00M,3.00M,,3.193B,3.134B,,3.134B,355.00M,,746.00M,254.00M,,4.134B,7.327B,,1.741B,30.29B,1.504B,22.81B,,-514.00M,10.20B,,AOR,Restated
2015-03,250.00M,1.242B,2.062B,3.304B,1.394B,1.394B,107.00M,906.00M,831.00M,1.844B,810.00M,340.00M,,7.692B,,,,,6.177B,-3.419B,2.758B,4.362B,1.895B,6.257B,232.00M,174.00M,105.00M,9.654B,17.35B,,432.00M,75.00M,507.00M,426.00M,933.00M,,1.00B,1.00B,1.00B,4.00M,4.00M,,2.286B,3.638B,,3.638B,403.00M,,800.00M,253.00M,,4.691B,6.977B,,1.741B,29.95B,1.41B,22.20B,,-531.00M,10.37B,,AOR,Restated
2014-12,215.00M,1.199B,2.342B,3.541B,1.246B,1.246B,101.00M,896.00M,787.00M,1.784B,850.00M,,,7.421B,0.00,137.00M,2.801B,3.328B,6.266B,-3.426B,2.84B,4.362B,1.985B,6.347B,224.00M,180.00M,233.00M,9.951B,17.37B,,437.00M,71.00M,508.00M,498.00M,1.006B,,1.001B,1.001B,1.001B,,,,2.658B,3.63B,,3.63B,64.00M,,469.00M,225.00M,,4.324B,6.982B,,1.741B,29.65B,1.368B,21.84B,,-532.00M,10.39B,,AOR,Restated
2014-09,227.00M,1.306B,1.88B,3.186B,1.477B,1.477B,97.00M,905.00M,749.00M,1.751B,887.00M,378.00M,,7.756B,,,,,6.393B,-3.463B,2.93B,4.362B,2.075B,6.437B,219.00M,177.00M,246.00M,10.14B,17.90B,,393.00M,106.00M,499.00M,527.00M,1.026B,,1.002B,1.002B,1.002B,2.00M,2.00M,,2.643B,3.643B,,3.643B,450.00M,,921.00M,222.00M,,4.786B,7.429B,,1.741B,29.19B,1.314B,21.30B,,-468.00M,10.47B,,AOR,Restated
2014-06,233.00M,1.216B,1.588B,2.804B,1.527B,1.527B,93.00M,894.00M,757.00M,1.744B,914.00M,389.00M,,7.456B,,,,,6.452B,-3.408B,3.044B,4.362B,2.163B,6.525B,219.00M,194.00M,246.00M,10.35B,17.81B,,402.00M,109.00M,511.00M,552.00M,1.063B,,254.00M,254.00M,254.00M,2.00M,2.00M,,1.803B,4.394B,,4.394B,484.00M,,923.00M,224.00M,,5.541B,7.344B,,1.741B,28.69B,1.273B,20.72B,,-512.00M,10.47B,,AOR,Restated
2014-03,242.00M,1.565B,2.467B,4.032B,1.355B,1.355B,95.00M,898.00M,721.00M,1.714B,796.00M,383.00M,,8.36B,,,,,6.426B,-3.247B,3.179B,4.362B,2.253B,6.615B,212.00M,200.00M,240.00M,10.58B,18.94B,,405.00M,101.00M,506.00M,600.00M,1.106B,,1.00B,1.00B,1.00B,1.00M,1.00M,,2.471B,4.652B,,4.652B,536.00M,,974.00M,218.00M,,5.844B,8.315B,,1.741B,28.33B,1.181B,20.11B,,-520.00M,10.62B,,AOR,Restated
2013-12,217.00M,1.627B,2.202B,3.829B,1.203B,1.203B,102.00M,919.00M,710.00M,1.731B,863.00M,393.00M,,8.019B,0.00,175.00M,2.913B,3.468B,6.556B,-3.157B,3.399B,4.362B,2.341B,6.703B,216.00M,207.00M,264.00M,10.92B,18.94B,,422.00M,119.00M,541.00M,143.00M,684.00M,,1.00B,1.00B,1.00B,1.00M,1.00M,508.00M,2.747B,4.158B,,4.158B,548.00M,,1.01B,216.00M,,5.384B,8.131B,,1.741B,28.17B,1.211B,19.79B,,-528.00M,10.81B,,AOR,Restated
2013-09,98.00M,1.435B,2.158B,3.593B,1.524B,1.524B,107.00M,954.00M,665.00M,1.726B,219.00M,1.039B,,8.101B,,,,,6.539B,-3.03B,3.509B,4.362B,2.444B,6.806B,210.00M,227.00M,272.00M,11.14B,19.24B,,426.00M,37.00M,463.00M,691.00M,1.154B,,1.00B,1.00B,1.00B,2.00M,2.00M,,2.723B,4.161B,,4.161B,564.00M,,1.056B,253.00M,,5.47B,8.193B,,1.741B,27.99B,1.125B,19.24B,,-572.00M,11.05B,,AOR,Restated
2013-06,155.00M,1.18B,2.064B,3.244B,1.491B,1.491B,101.00M,926.00M,693.00M,1.72B,513.00M,1.07B,,8.038B,,,,,6.679B,-3.068B,3.611B,4.362B,2.547B,6.909B,203.00M,253.00M,278.00M,11.36B,19.40B,,437.00M,218.00M,655.00M,682.00M,1.337B,,1.00B,1.00B,1.00B,2.00M,2.00M,,2.802B,4.165B,,4.165B,584.00M,,1.123B,240.00M,,5.528B,8.33B,,1.741B,27.68B,1.117B,18.88B,,-590.00M,11.07B,,AOR,Restated
2013-03,158.00M,1.393B,2.469B,3.862B,1.333B,1.333B,99.00M,930.00M,671.00M,1.70B,259.00M,1.051B,,8.205B,,,,,6.773B,-3.034B,3.739B,4.362B,2.642B,7.004B,204.00M,264.00M,223.00M,11.50B,19.70B,,440.00M,109.00M,549.00M,694.00M,1.243B,,1.50B,1.50B,1.50B,2.00M,2.00M,,3.11B,4.183B,,4.183B,598.00M,,1.198B,258.00M,,5.639B,8.749B,,1.741B,27.33B,1.049B,18.52B,,-650.00M,10.95B,,AOR,Restated
2012-12,222.00M,1.416B,2.549B,3.965B,1.23B,1.23B,116.00M,935.00M,706.00M,1.757B,805.00M,473.00M,,8.23B,0.00,189.00M,3.006B,3.696B,6.891B,-2.979B,3.912B,4.362B,2.70B,7.062B,215.00M,280.00M,254.00M,11.79B,20.02B,,444.00M,206.00M,650.00M,213.00M,863.00M,,1.50B,1.50B,1.50B,2.00M,2.00M,541.00M,3.43B,4.186B,,4.186B,572.00M,,1.175B,269.00M,,5.63B,9.06B,,1.741B,27.20B,1.176B,18.46B,,-699.00M,10.96B,,AOR,Restated
2012-09,,1.21B,2.451B,3.661B,1.623B,1.623B,124.00M,988.00M,736.00M,1.848B,409.00M,1.043B,,8.584B,,,,,6.806B,-2.751B,4.055B,4.452B,2.809B,7.261B,225.00M,199.00M,161.00M,11.93B,20.51B,,501.00M,106.00M,607.00M,766.00M,1.373B,0.00,1.50B,1.50B,1.50B,,,,3.425B,4.19B,,4.19B,596.00M,,1.146B,350.00M,,5.686B,9.111B,,1.741B,27.18B,1.193B,18.09B,,-617.00M,11.40B,,AOR,Restated
2012-06,,1.192B,1.141B,2.333B,1.629B,1.629B,123.00M,1.04B,722.00M,1.885B,351.00M,1.155B,,7.353B,,,,,6.84B,-2.666B,4.174B,4.452B,2.911B,7.363B,218.00M,288.00M,93.00M,12.17B,19.52B,,555.00M,101.00M,656.00M,711.00M,1.367B,500.00M,1.50B,2.00B,2.00B,,,,3.821B,2.703B,,2.703B,596.00M,,1.139B,700.00M,,4.542B,8.363B,,1.741B,26.59B,1.164B,17.60B,,-741.00M,11.16B,,AOR,Restated
2012-03,,1.193B,1.572B,2.765B,1.478B,1.478B,114.00M,996.00M,743.00M,1.853B,303.00M,1.192B,,7.591B,,,,,6.84B,-2.562B,4.278B,4.452B,3.016B,7.468B,239.00M,302.00M,94.00M,12.42B,20.01B,,589.00M,106.00M,695.00M,754.00M,1.449B,700.00M,378.00M,1.078B,1.078B,,,,2.909B,4.207B,,4.207B,622.00M,,1.138B,684.00M,,6.029B,8.938B,,1.741B,26.34B,1.112B,17.38B,,-742.00M,11.07B,,AOR,Restated
2011-12,372.00M,992.00M,1.943B,2.935B,1.545B,1.545B,115.00M,1.004B,669.00M,1.788B,386.00M,1.174B,,7.828B,0.00,188.00M,2.998B,3.947B,7.133B,-2.705B,4.428B,4.452B,3.106B,7.558B,265.00M,321.00M,57.00M,12.67B,20.50B,,625.00M,199.00M,824.00M,190.00M,1.014B,999.00M,382.00M,1.381B,1.381B,0.00,0.00,507.00M,3.499B,4.211B,,4.211B,607.00M,,1.134B,701.00M,,6.046B,9.545B,,1.741B,26.28B,1.194B,17.48B,,-776.00M,10.95B,,AOR,Restated
2011-09,,1.581B,1.037B,2.618B,1.784B,1.784B,148.00M,1.185B,632.00M,1.965B,303.00M,1.046B,,7.716B,,,,,7.239B,-2.667B,4.572B,4.451B,3.223B,7.674B,350.00M,497.00M,70.00M,13.19B,20.91B,,627.00M,60.00M,687.00M,863.00M,1.55B,,,1.586B,1.586B,,,,3.668B,4.215B,,4.215B,822.00M,,1.381B,617.00M,,6.213B,9.881B,,1.741B,26.18B,1.172B,17.37B,,-690.00M,11.03B,,AOR,Restated
2011-06,,4.501B,1.899B,6.40B,1.672B,1.672B,148.00M,970.00M,644.00M,1.762B,233.00M,793.00M,,10.86B,,,,,6.573B,-2.859B,3.714B,924.00M,247.00M,1.171B,334.00M,925.00M,69.00M,6.238B,17.10B,,623.00M,65.00M,688.00M,637.00M,1.325B,,,,,,,,1.753B,3.498B,,3.498B,92.00M,,412.00M,532.00M,,4.442B,6.195B,,1.741B,25.73B,1.108B,16.99B,,-686.00M,10.90B,,AOR,Restated
2011-03,,1.343B,1.514B,2.857B,1.568B,1.568B,132.00M,934.00M,612.00M,1.678B,170.00M,771.00M,,7.044B,,,,,6.712B,-3.055B,3.657B,924.00M,262.00M,1.186B,449.00M,899.00M,47.00M,6.266B,13.31B,,605.00M,247.00M,852.00M,593.00M,1.445B,,,,,,,,1.793B,,,,82.00M,,416.00M,527.00M,,943.00M,2.736B,,1.74B,25.21B,1.068B,16.74B,,-702.00M,10.57B,,AOR,Restated
2010-12,,1.319B,1.753B,3.072B,1.518B,1.518B,122.00M,919.00M,479.00M,1.52B,180.00M,770.00M,,7.06B,0.00,92.00M,2.815B,4.00B,6.907B,-3.227B,3.68B,924.00M,281.00M,1.205B,453.00M,927.00M,45.00M,6.341B,13.40B,,621.00M,109.00M,730.00M,622.00M,1.352B,0.00,,0.00,0.00,,,,1.981B,,,,86.00M,,464.00M,519.00M,,983.00M,2.964B,,1.74B,24.70B,1.114B,16.41B,,-701.00M,10.44B,,AOR,Restated
2010-09,,1.093B,1.417B,2.51B,1.754B,1.754B,114.00M,875.00M,435.00M,1.424B,179.00M,601.00M,,6.468B,,,,,6.897B,-3.441B,3.456B,926.00M,299.00M,1.225B,523.00M,907.00M,47.00M,6.181B,12.65B,,623.00M,31.00M,654.00M,1.184B,1.838B,,,,,,,,1.838B,,,,82.00M,,402.00M,447.00M,,849.00M,2.687B,,1.74B,23.91B,1.128B,16.17B,,-644.00M,9.962B,,AOR,Restated
2010-06,,1.138B,1.167B,2.305B,1.715B,1.715B,98.00M,812.00M,439.00M,1.349B,195.00M,566.00M,,6.13B,,,,,6.831B,-3.591B,3.24B,926.00M,326.00M,1.252B,557.00M,915.00M,48.00M,6.034B,12.16B,,542.00M,18.00M,560.00M,978.00M,1.538B,,,,,,,,1.538B,,,,70.00M,,401.00M,470.00M,,871.00M,2.409B,,1.74B,23.19B,1.127B,15.65B,,-654.00M,9.755B,,AOR,Restated
2010-03,,1.217B,1.574B,2.791B,1.526B,1.526B,95.00M,812.00M,369.00M,1.276B,174.00M,556.00M,,6.323B,,,,,6.763B,-3.601B,3.162B,926.00M,330.00M,1.256B,641.00M,893.00M,41.00M,6.047B,12.37B,,556.00M,317.00M,873.00M,846.00M,1.719B,,,,,,,,1.719B,,,,68.00M,,421.00M,425.00M,,846.00M,2.565B,,1.74B,22.57B,1.095B,14.98B,,-627.00M,9.805B,,AOR,Restated
2009-12,,1.182B,1.743B,2.925B,1.277B,1.277B,93.00M,758.00M,351.00M,1.202B,164.00M,546.00M,,6.114B,0.00,83.00M,2.867B,3.755B,6.705B,-3.547B,3.158B,926.00M,243.00M,1.169B,637.00M,926.00M,51.00M,6.005B,12.12B,,503.00M,128.00M,631.00M,956.00M,1.587B,,,,,,,,1.587B,,,,67.00M,318.00M,385.00M,425.00M,,810.00M,2.397B,,1.74B,22.07B,1.086B,14.55B,,-621.00M,9.722B,,AOR,Restated
2009-09,,1.294B,1.533B,2.827B,1.435B,1.435B,89.00M,767.00M,260.00M,1.116B,168.00M,592.00M,,6.138B,,,,,6.599B,-3.654B,2.945B,926.00M,262.00M,1.188B,627.00M,928.00M,57.00M,5.765B,11.90B,,467.00M,148.00M,615.00M,1.047B,1.662B,,,,,,,,1.662B,,,,60.00M,,339.00M,464.00M,,803.00M,2.465B,,1.74B,21.56B,1.071B,14.26B,,-678.00M,9.438B,,AOR,Restated
2009-06,,1.765B,792.00M,2.557B,1.244B,1.244B,81.00M,699.00M,283.00M,1.063B,208.00M,668.00M,,5.74B,,,,,6.739B,-3.799B,2.94B,926.00M,290.00M,1.216B,632.00M,909.00M,53.00M,5.77B,11.51B,,421.00M,56.00M,477.00M,991.00M,1.468B,,,,,,,,1.468B,,,,54.00M,,327.00M,502.00M,,829.00M,2.297B,,1.74B,21.16B,1.045B,,,-674.00M,9.213B,,AOR,Restated
2009-03,,1.436B,990.00M,2.426B,1.125B,1.125B,77.00M,712.00M,309.00M,1.098B,207.00M,676.00M,,5.532B,,,,,7.03B,-3.915B,3.115B,912.00M,280.00M,1.192B,645.00M,967.00M,52.00M,5.988B,11.52B,,326.00M,21.00M,347.00M,940.00M,1.287B,,,,,,,,1.287B,,,,61.00M,,415.00M,608.00M,,1.023B,2.31B,,1.74B,21.04B,1.02B,13.85B,,-741.00M,9.21B,,AOR,Restated
