,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,291.00M,,-6.00M,-6.00M,418.00M,418.00M,418.00M,59.00M,,,6.00M,-39.00M,88.00M,118.00M,-42.00M,1.00M,-17.00M,1.00M,149.00M,,887.00M,2018-03,-860.00M,,,,-6.00M,-6.00M,-872.00M,,0.00,211.00M,211.00M,,,,-175.00M,-175.00M,,-18.00M,18.00M,,83.00M,33.00M,,116.00M,2018-03,,,0.00,0.00,,,,2018-03,AOR,Restated
2017-12,189.00M,,-8.00M,-6.00M,408.00M,408.00M,408.00M,139.00M,,,13.00M,-91.00M,-167.00M,6.00M,111.00M,-55.00M,74.00M,90.00M,59.00M,,759.00M,2017-12,-988.00M,,,,-5.00M,-64.00M,-1.057B,,96.00M,300.00M,396.00M,0.00,,0.00,-183.00M,-183.00M,,0.00,213.00M,,167.00M,-85.00M,,83.00M,2017-12,,0.00,96.00M,0.00,,,,2017-12,AOR,Restated
2017-09,492.00M,,-7.00M,-7.00M,405.00M,405.00M,405.00M,192.00M,,,12.00M,-22.00M,-65.00M,-74.00M,-16.00M,148.00M,78.00M,-76.00M,-5.00M,,1.075B,2017-09,-782.00M,,,,-5.00M,22.00M,-765.00M,,248.00M,-270.00M,-22.00M,0.00,,0.00,-183.00M,-183.00M,,1.00M,-204.00M,,61.00M,106.00M,,167.00M,2017-09,,0.00,1.028B,-780.00M,,-4.00M,,2017-09,AOR,Restated
2017-06,228.00M,,-7.00M,-7.00M,396.00M,396.00M,396.00M,115.00M,,,14.00M,-25.00M,-39.00M,-23.00M,92.00M,-7.00M,-147.00M,-35.00M,-159.00M,,574.00M,2017-06,-725.00M,,,3.00M,-13.00M,9.00M,-726.00M,,144.00M,179.00M,323.00M,,,,-182.00M,-182.00M,,-1.00M,140.00M,,74.00M,-12.00M,,61.00M,2017-06,,,394.00M,-250.00M,,4.00M,,2017-06,AOR,Restated
2017-03,239.00M,,-8.00M,-8.00M,400.00M,400.00M,400.00M,194.00M,,,18.00M,-10.00M,177.00M,88.00M,-144.00M,-77.00M,-43.00M,-128.00M,-127.00M,,718.00M,2017-03,-749.00M,,,-3.00M,-5.00M,9.00M,-748.00M,,,213.00M,213.00M,,,,-173.00M,-173.00M,,-21.00M,19.00M,,85.00M,-11.00M,,74.00M,2017-03,,,,,,,,2017-03,AOR,Restated
2016-12,227.10M,4.693M,-9.50M,-4.807M,363.84M,363.84M,363.84M,111.82M,,,11.13M,-75.78M,-215.43M,7.203M,67.47M,-19.57M,83.52M,19.66M,-57.14M,,626.66M,2016-12,-1.009B,,,3.962M,-5.347M,-44.84M,-1.055B,,335.52M,26.00M,361.52M,,-29.19M,-29.19M,-173.18M,-173.18M,,0.487M,159.64M,,353.38M,-268.44M,,85.00M,2016-12,,,791.36M,-455.83M,-29.19M,,,2016-12,AOR,Restated
2016-09,457.80M,-0.596M,-9.701M,-10.30M,363.55M,363.55M,363.55M,224.90M,,,5.418M,-16.31M,-42.77M,-88.08M,22.72M,11.07M,88.06M,-27.34M,-36.34M,,1.000B,2016-09,-773.35M,,,-1.792M,-5.094M,17.30M,-762.94M,,295.02M,-81.00M,214.02M,,-2.021M,-2.021M,-172.70M,-172.70M,,0.00,39.30M,,76.71M,276.67M,,353.38M,2016-09,,,295.21M,-0.191M,-2.021M,,,2016-09,AOR,Restated
2016-06,196.80M,-1.673M,-9.617M,-11.29M,359.09M,359.09M,359.09M,91.20M,,,11.36M,-13.57M,-24.46M,-6.69M,49.87M,86.13M,-119.15M,-8.236M,-22.54M,,622.48M,2016-06,-712.81M,,,-1.91M,-52.47M,17.97M,-749.21M,,10.66M,264.00M,274.66M,,0.00,0.00,-172.70M,-172.70M,,0.00,101.96M,,101.49M,-24.78M,,76.71M,2016-06,,,590.30M,-579.64M,0.00,,,2016-06,AOR,Restated
2016-03,241.31M,5.576M,-13.18M,-7.606M,349.51M,349.51M,349.51M,159.07M,,,13.10M,-12.34M,124.66M,88.57M,-22.06M,-16.64M,-32.44M,-94.07M,48.02M,,802.55M,2016-03,-700.32M,,,-0.26M,-5.093M,11.56M,-694.11M,,746.79M,-663.00M,83.79M,,-0.789M,-0.789M,-162.41M,-162.41M,,-12.49M,-91.89M,,84.94M,16.55M,,101.49M,2016-03,,,747.13M,-0.333M,-0.789M,,,2016-03,AOR,Restated
2015-12,208.54M,3.192M,-9.64M,-6.448M,325.01M,325.01M,325.01M,106.06M,,,15.24M,-15.80M,-127.70M,36.66M,-3.863M,-63.44M,17.71M,9.553M,-131.09M,,548.08M,2015-12,-1.497B,,,-1.168M,-1.664M,15.71M,-1.484B,,-1.546M,781.50M,779.95M,1.702M,,1.702M,-154.78M,-154.78M,,,615.87M,,404.41M,-319.80M,,85.00M,2015-12,,1.702M,-1.19M,955.14M,,,,2015-12,AOR,Restated
2015-09,426.46M,5.358M,-8.162M,-2.804M,318.11M,318.11M,318.11M,236.54M,,,8.345M,-14.26M,-28.36M,-112.22M,15.90M,3.365M,152.40M,-32.28M,-1.199M,,980.88M,2015-09,-708.41M,,,-0.068M,-15.90M,16.16M,-708.22M,,535.47M,-387.00M,148.47M,1.889M,,1.889M,-154.20M,-154.20M,0.00,,-3.84M,,135.60M,268.81M,,404.41M,2015-09,,1.889M,785.66M,-637.19M,,,,2015-09,AOR,Restated
2015-06,196.93M,0.672M,-8.422M,-7.75M,300.02M,300.02M,300.02M,107.01M,,,11.20M,-11.19M,112.38M,-27.45M,-33.00M,12.40M,-126.75M,-20.01M,-82.44M,,523.65M,2015-06,-707.35M,,,-0.443M,-1.716M,16.88M,-692.63M,,841.54M,-518.00M,323.54M,1.998M,,1.998M,-154.00M,-154.00M,0.00,,171.54M,,133.04M,2.553M,,135.60M,2015-06,,1.998M,841.53M,-518.00M,,,,2015-06,AOR,Restated
2015-03,152.07M,12.78M,-7.776M,5.002M,305.85M,305.85M,305.85M,81.39M,,,10.22M,118.25M,183.68M,92.01M,-99.03M,56.68M,34.64M,34.74M,302.73M,,985.39M,2015-03,-770.61M,,,-0.321M,-1.715M,34.26M,-738.39M,,-0.455M,-50.50M,-50.96M,1.411M,,1.411M,-144.02M,-144.02M,0.00,,-193.57M,,79.61M,53.44M,,133.04M,2015-03,,1.411M,0.00,-50.96M,,,,2015-03,AOR,Restated
2014-12,196.34M,6.86M,-7.501M,-0.641M,289.07M,289.07M,289.07M,134.94M,,,15.65M,-19.45M,-262.73M,37.12M,102.55M,-85.40M,133.76M,61.60M,-13.11M,,655.14M,2014-12,-898.45M,,,-0.156M,-2.20M,18.31M,-882.50M,,-0.45M,322.50M,322.05M,2.159M,,2.159M,-143.82M,-143.82M,,,169.09M,,137.87M,-58.26M,,79.61M,2014-12,,2.159M,-0.21M,61.76M,,-0.408M,,2014-12,AOR,Restated
2014-09,368.58M,1.049M,-7.401M,-6.352M,291.60M,291.60M,291.60M,195.30M,,,5.546M,-21.89M,17.36M,-132.94M,-8.054M,6.256M,144.66M,95.73M,123.02M,,964.83M,2014-09,-725.59M,,,-0.088M,-1.647M,23.80M,-703.53M,,-1.012M,-80.80M,-81.81M,2.066M,,2.066M,-143.22M,-143.22M,,,-222.97M,,99.54M,38.33M,,137.87M,2014-09,,2.066M,-0.788M,-62.22M,,0.246M,,2014-09,AOR,Restated
2014-06,195.16M,-9.787M,-7.811M,-17.60M,291.18M,291.18M,291.18M,84.57M,,,5.62M,-22.03M,108.51M,-65.03M,-110.00M,34.16M,-130.99M,64.05M,-99.30M,,446.86M,2014-06,-753.12M,,,-0.971M,-1.645M,25.28M,-730.46M,,267.32M,12.80M,280.12M,113.02M,,113.02M,-142.33M,-142.33M,,,250.82M,,132.31M,-32.77M,,99.54M,2014-06,,113.02M,542.58M,-275.26M,,4.54M,,2014-06,AOR,Restated
2014-03,261.22M,7.384M,-7.438M,-0.054M,279.20M,279.20M,279.20M,149.02M,,,5.37M,-20.35M,-29.54M,140.30M,-37.73M,-66.32M,1.008M,-98.33M,-90.61M,,592.65M,2014-03,-822.63M,,,-1.161M,-1.647M,24.67M,-800.77M,,295.78M,6.00M,301.78M,63.55M,,63.55M,-132.03M,-132.03M,,,233.29M,,107.14M,25.17M,,132.31M,2014-03,,63.55M,296.00M,-0.224M,,0.164M,,2014-03,AOR,Restated
2013-12,150.06M,7.307M,-7.641M,-14.00M,282.86M,282.86M,282.86M,104.62M,,,-3.749M,-23.03M,-111.94M,26.33M,135.74M,-24.13M,-3.429M,15.26M,37.82M,,581.13M,2013-12,-941.13M,,,-4.086M,-15.79M,58.41M,-902.59M,,-0.681M,457.00M,456.32M,2.347M,,2.347M,-131.89M,-131.89M,,,326.77M,,101.83M,5.31M,,107.14M,2013-12,,2.347M,-3.094M,302.41M,,,,2013-12,AOR,Restated
2013-09,364.75M,-9.257M,-7.273M,-16.53M,259.93M,259.93M,259.93M,172.32M,,,9.615M,-19.68M,21.04M,-110.60M,-4.922M,-23.64M,213.32M,54.27M,149.46M,,928.68M,2013-09,-857.42M,,,-1.252M,-1.601M,61.46M,-798.82M,,94.60M,-52.00M,42.60M,2.307M,,2.307M,-131.76M,-131.76M,,,-86.85M,,58.82M,43.01M,,101.83M,2013-09,,2.307M,97.94M,-303.35M,,,,2013-09,AOR,Restated
2013-06,196.86M,-2.971M,-7.529M,-10.50M,276.62M,276.62M,276.62M,103.36M,,,10.58M,-20.40M,-46.27M,-47.18M,-3.686M,80.90M,-103.65M,-13.88M,-133.77M,,431.90M,2013-06,-844.53M,,,-1.935M,-1.909M,49.66M,-798.71M,,442.61M,-71.00M,371.61M,67.03M,,67.03M,-125.97M,-125.97M,,,312.68M,,112.96M,-54.14M,,58.82M,2013-06,,67.03M,842.76M,-400.15M,,,,2013-06,AOR,Restated
2013-03,236.57M,0.217M,-7.577M,-7.36M,280.53M,280.53M,280.53M,129.00M,,,8.167M,-18.04M,4.397M,87.86M,5.311M,-51.20M,20.32M,-62.76M,3.923M,,642.33M,2013-03,-752.25M,,,-0.231M,-1.291M,40.51M,-713.26M,,242.92M,-177.00M,65.92M,160.08M,,160.08M,-124.43M,-124.43M,,,101.57M,,82.32M,30.64M,,112.96M,2013-03,,160.08M,494.28M,-251.37M,,,,2013-03,AOR,Restated
2012-12,140.24M,4.815M,-7.821M,-3.006M,259.55M,259.55M,259.55M,65.73M,,,6.084M,4.177M,-212.91M,27.15M,17.95M,-0.448M,78.20M,7.775M,-82.29M,,432.84M,2012-12,-764.37M,,,-0.201M,-14.95M,56.17M,-723.35M,,-550.42M,298.00M,-252.42M,2.172M,0.00,2.172M,-124.19M,-124.19M,0.00,,-374.44M,,747.27M,-664.95M,,82.32M,2012-12,,2.172M,98.81M,-649.23M,0.00,3.313M,,2012-12,AOR,Restated
2012-09,398.15M,-97.45M,-7.49M,-104.94M,272.92M,272.92M,272.92M,160.50M,,,3.637M,-14.11M,-97.03M,-89.58M,58.80M,31.00M,82.37M,-11.98M,-26.42M,,706.62M,2012-09,-702.28M,,,-0.40M,0.00,49.45M,-653.23M,,929.23M,-177.00M,752.23M,2.18M,0.00,2.18M,-124.06M,-124.06M,0.00,,630.35M,,63.53M,683.74M,,747.27M,2012-09,,2.18M,1.580B,-651.08M,0.00,0.382M,,2012-09,AOR,Restated
2012-06,183.08M,0.192M,-7.502M,-7.31M,254.78M,254.78M,254.78M,109.38M,,,13.37M,-13.31M,-6.603M,1.222M,25.57M,10.26M,-135.36M,-47.26M,-152.17M,,387.81M,2012-06,-606.34M,,,-0.207M,0.00,49.20M,-557.35M,,108.57M,142.00M,250.57M,2.10M,0.00,2.10M,-119.35M,-119.35M,0.00,,133.32M,,99.74M,-36.21M,,63.53M,2012-06,,2.10M,110.27M,-1.697M,0.00,4.702M,,2012-06,AOR,Restated
2012-03,183.77M,7.133M,-7.158M,-0.025M,259.10M,259.10M,259.10M,165.87M,,,3.883M,-11.57M,144.69M,143.87M,-202.65M,-71.55M,17.71M,-163.65M,-131.58M,,477.48M,2012-03,-497.22M,,,-0.172M,0.00,98.38M,-399.01M,,-0.013M,120.00M,119.99M,1.598M,-18.53M,-16.93M,-119.16M,-119.16M,-23.31M,,-39.41M,,60.68M,39.06M,,99.74M,2012-03,,1.598M,0.745M,-0.758M,-18.53M,1.173M,,2012-03,AOR,Restated
2011-12,140.74M,,-33.20M,-23.23M,224.53M,224.53M,224.53M,71.02M,-3.239M,-14.54M,13.06M,-2.717M,-181.96M,-10.22M,96.43M,2.444M,106.38M,-15.85M,-2.776M,,481.40M,2011-12,-601.36M,,1.604B,-0.678M,10.43M,4.767M,-586.85M,,-1.186M,169.00M,167.81M,32.53M,0.00,32.53M,,-123.39M,,,-28.03M,,194.16M,-133.47M,,60.68M,2011-12,,32.53M,-0.088M,-1.098M,-104.98M,,,2011-12,AOR,Restated
2011-09,338.30M,,1.127M,1.127M,278.48M,278.48M,278.48M,191.72M,0.321M,-2.265M,11.64M,-11.84M,-34.54M,-123.24M,-114.80M,7.819M,84.08M,174.20M,-6.481M,,801.00M,2011-09,-481.94M,,-481.94M,-0.807M,0.015M,-88.34M,-571.07M,,585.90M,-606.00M,-20.10M,2.375M,0.00,2.375M,,-119.66M,,,-137.38M,,101.60M,92.55M,,194.16M,2011-09,,2.375M,499.09M,-102.78M,0.00,-54.99M,,2011-09,AOR,Restated
2011-06,158.67M,,0.80M,0.80M,251.98M,251.98M,251.98M,82.78M,1.474M,2.307M,10.40M,-13.61M,45.70M,-42.57M,104.54M,8.846M,-83.60M,-64.06M,-31.14M,,463.67M,2011-06,-581.93M,,-581.93M,-0.06M,-0.013M,116.47M,-465.54M,,-1.19M,124.50M,123.31M,1.911M,0.00,1.911M,,-116.09M,,,9.127M,,94.34M,7.265M,,101.60M,2011-06,,1.911M,124.50M,-1.19M,0.00,-4.058M,,2011-06,AOR,Restated
2011-03,203.47M,,0.741M,0.741M,254.77M,254.77M,254.77M,114.85M,1.444M,14.50M,9.895M,-13.24M,111.05M,118.60M,-72.42M,43.55M,5.491M,-133.24M,73.02M,,659.44M,2011-03,-540.34M,,-540.34M,-0.901M,0.00,-83.11M,-624.35M,,-0.551M,65.10M,64.55M,1.878M,0.00,1.878M,,-115.62M,,,-49.19M,,108.44M,-14.10M,,94.34M,2011-03,,1.878M,65.10M,-0.551M,0.00,59.05M,,2011-03,AOR,Restated
2010-12,136.50M,,-31.34M,-66.89M,251.32M,251.32M,251.32M,82.58M,-13.91M,61.14M,8.535M,5.298M,-236.04M,34.76M,94.27M,-21.74M,59.18M,-103.98M,-173.55M,,367.62M,2010-12,-654.21M,,1.562B,-734.42M,-3.506M,106.37M,-1.286B,,35.11M,426.40M,461.51M,451.39M,,451.39M,,-109.92M,,,802.97M,,223.61M,-115.17M,,108.44M,2010-12,,451.39M,395.04M,59.07M,,-0.775M,,2010-12,AOR,Restated
2010-09,312.49M,,0.36M,0.36M,254.87M,254.87M,254.87M,154.27M,1.586M,-39.76M,10.80M,-13.46M,-21.51M,-127.34M,-56.69M,2.498M,93.27M,41.73M,-68.04M,,613.11M,2010-09,-594.66M,,-594.66M,-3.214M,-2.261M,13.60M,-586.53M,,319.57M,-89.00M,230.57M,1.575M,,1.575M,,-109.80M,,,122.35M,,74.69M,148.92M,,223.61M,2010-09,,1.575M,494.16M,-593.59M,,9.579M,,2010-09,AOR,Restated
2010-06,135.62M,,0.574M,0.574M,234.91M,234.91M,234.91M,76.71M,6.163M,-6.499M,9.341M,-13.00M,47.60M,-11.96M,-27.05M,28.88M,-114.52M,-5.136M,-82.19M,,361.64M,2010-06,-486.09M,,-486.09M,-1.668M,0.323M,13.12M,-474.31M,,543.70M,-337.00M,206.70M,1.705M,,1.705M,,-106.42M,,,101.98M,,85.38M,-10.69M,,74.69M,2010-06,,1.705M,537.20M,-0.505M,,7.831M,,2010-06,AOR,Restated
2010-03,167.34M,,0.454M,0.454M,236.46M,236.46M,236.46M,94.55M,6.163M,-14.88M,7.129M,-13.29M,165.55M,113.78M,-199.38M,0.821M,-24.73M,11.60M,67.64M,,551.58M,2010-03,-481.24M,,-481.24M,-1.237M,9.245M,13.12M,-460.11M,,-25.36M,7.00M,-18.36M,2.589M,,2.589M,,-105.96M,,,-121.73M,,115.65M,-30.27M,,85.38M,2010-03,,2.589M,7.00M,-25.36M,,,,2010-03,AOR,Restated
2009-12,170.85M,,-5.844M,-27.50M,233.62M,233.62M,233.62M,102.81M,28.20M,-7.269M,16.42M,154.18M,-366.30M,-11.28M,235.38M,18.83M,42.04M,-372.09M,-453.41M,17.17M,284.09M,2009-12,-476.22M,,-476.22M,-3.554M,17.43M,21.77M,-440.57M,,293.93M,-35.00M,258.93M,15.96M,,15.96M,,-105.60M,,,169.29M,,90.21M,12.81M,,115.65M,2009-12,,15.96M,295.15M,-39.97M,,-21.86M,,2009-12,AOR,Restated
2009-09,221.79M,,3.163M,10.92M,224.53M,224.53M,224.53M,157.80M,-1.738M,-5.09M,-4.692M,-41.63M,83.43M,-117.72M,24.57M,-73.41M,50.59M,-12.46M,-45.02M,-13.83M,503.05M,2009-09,-363.21M,,-363.21M,-13.68M,-0.777M,17.20M,-360.48M,,-451.24M,124.00M,-327.24M,1.509M,,1.509M,,-105.46M,,,-431.19M,,380.25M,-288.06M,,90.21M,2009-09,0.557M,1.509M,-0.135M,-327.10M,,-4.712M,,2009-09,AOR,Restated
2009-06,117.06M,,4.203M,11.28M,225.16M,225.16M,225.16M,102.26M,-1.737M,14.29M,8.607M,-150.60M,108.72M,13.60M,-71.41M,-24.99M,-71.35M,4.51M,-40.91M,27.79M,313.22M,2009-06,-469.64M,,-947.47M,-11.08M,2.824M,17.50M,-460.39M,,393.83M,-68.02M,325.82M,1.395M,,1.395M,,-102.12M,,,225.10M,,301.32M,77.36M,,380.25M,2009-06,-0.557M,1.395M,394.90M,-69.08M,,23.81M,,2009-06,AOR,Restated
2009-03,175.82M,,2.873M,9.699M,232.39M,232.39M,232.39M,44.64M,-1.738M,37.10M,9.337M,-37.64M,346.08M,215.90M,-239.18M,-5.207M,28.11M,28.38M,374.08M,-31.13M,812.55M,2009-03,-477.84M,,,-14.17M,-0.712M,19.48M,-473.24M,,-167.90M,-17.24M,-185.14M,1.27M,,1.27M,,-101.74M,,,-285.61M,,249.20M,53.69M,,301.32M,2009-03,,1.27M,,-185.14M,,2.761M,,2009-03,AOR,Restated
2008-12,163.56M,,-2.417M,-2.417M,184.21M,184.21M,184.21M,82.65M,38.56M,2.154M,7.55M,-18.04M,-364.72M,60.62M,226.34M,-12.61M,128.74M,-95.35M,-56.97M,11.49M,476.14M,2008-12,-590.29M,,-2.114B,-24.89M,-8.105M,51.60M,-571.69M,,-148.60M,191.25M,42.64M,1.514M,,1.514M,,-79.12M,,,-34.97M,,383.98M,-130.51M,,259.84M,2008-12,,1.514M,232.67M,443.29M,,,,2008-12,,Restated
2008-09,223.47M,,-1.154M,6.733M,723.46M,723.46M,242.61M,61.72M,-5.824M,-34.05M,17.96M,-25.55M,366.84M,-222.24M,-162.00M,-147.03M,134.27M,-56.96M,-87.12M,5.199M,405.16M,2008-09,-483.04M,,1.040B,-73.04M,26.94M,9.139M,-519.99M,,1.482B,-824.56M,182.58M,348.34M,,348.34M,,-103.40M,,,427.52M,,70.87M,312.69M,,383.98M,2008-09,,348.34M,1.682B,-1.025B,,-47.40M,,2008-09,,Restated
2008-06,105.57M,,,-30.10M,,,243.14M,50.07M,,,,-11.48M,-15.13M,-79.95M,-35.18M,101.55M,-56.84M,-23.03M,-108.58M,7.979M,256.60M,2008-06,-550.43M,,-550.43M,,-36.46M,30.14M,-556.75M,,,,293.80M,1.451M,,1.451M,,-100.08M,,,195.18M,,175.84M,-104.97M,,70.87M,2008-06,,1.451M,,,,46.30M,,2008-06,,
2008-03,153.12M,,,22.21M,,,237.71M,87.36M,,,,-8.446M,-11.92M,106.48M,-1.692M,67.27M,-65.92M,-11.79M,82.43M,-24.67M,549.71M,2008-03,-489.90M,,-489.90M,,-23.03M,4.648M,-508.28M,,,,181.41M,1.564M,,1.564M,,-99.68M,,,83.29M,,51.12M,124.72M,,175.84M,2008-03,,1.564M,,,,1.092M,,2008-03,,
2007-12,129.92M,,,-1.90M,,,224.38M,75.94M,,,,20.33M,-421.56M,-0.241M,239.35M,-35.61M,52.57M,-64.79M,-230.28M,-52.97M,165.42M,2007-12,-614.21M,,-614.21M,0.00,-467.45M,512.26M,-569.40M,,,,190.30M,1.569M,,1.569M,,-97.64M,,0.00,94.23M,,360.87M,-309.75M,,51.12M,2007-12,,1.569M,,,,-4.696M,,2007-12,,
