,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-03,1.965B,1.965B,1.469B,496.28M,,,60.22M,31.60M,-31.60M,,246.20M,250.08M,31.60M,-31.60M,-1.516M,-31.60M,216.96M,83.60M,133.37M,,,133.37M,133.37M,310.09M,61.53M,248.56M,1.38,,,1.38,1.38,1.38,,,1.38,1.38,96.17M,96.18M,0.37
2013-12,1.244B,1.244B,854.90M,388.96M,,,42.01M,32.12M,-32.12M,,218.24M,170.72M,32.12M,-32.12M,-2.132M,-32.12M,136.47M,49.46M,87.02M,,,87.02M,87.02M,229.28M,60.69M,168.59M,0.95,,,0.95,0.95,0.95,,,0.95,0.95,91.84M,91.84M,0.37
2013-09,674.37M,674.37M,373.93M,300.44M,,,40.72M,31.79M,-31.79M,,250.06M,50.38M,31.79M,-31.79M,-2.14M,-31.79M,16.45M,8.916M,7.536M,0.00,,7.536M,7.536M,108.67M,60.42M,48.24M,0.08,0.0,,0.08,0.08,0.08,0.0,,0.08,0.08,90.64M,92.51M,0.35
2013-06,857.94M,857.94M,541.44M,316.50M,,,50.71M,32.74M,-32.74M,,230.10M,86.40M,32.74M,-32.74M,-0.467M,-32.74M,53.19M,19.71M,33.47M,5.294M,,38.77M,33.47M,144.24M,58.31M,85.93M,0.37,0.06,,0.37,0.43,0.36,0.06,,0.36,0.42,90.60M,91.55M,0.35
2013-03,1.309B,1.309B,876.24M,432.75M,,,54.31M,33.33M,-33.33M,,222.57M,210.18M,33.33M,-33.33M,1.712M,-33.33M,178.56M,66.22M,112.34M,4.085M,,116.42M,112.34M,270.14M,58.24M,211.89M,1.24,0.04,,1.24,1.28,1.23,0.04,,1.23,1.27,90.53M,91.49M,0.35
2012-12,1.034B,1.034B,671.79M,362.36M,,,41.33M,30.52M,-30.52M,,207.44M,154.92M,30.52M,-30.52M,0.698M,-30.52M,125.10M,47.75M,77.35M,3.117M,,80.46M,77.35M,216.25M,60.63M,155.62M,0.85,0.04,,0.85,0.89,0.85,0.03,,0.85,0.88,90.36M,91.31M,0.35
2012-09,550.24M,550.24M,300.86M,249.39M,,,36.90M,33.90M,-33.90M,,221.31M,28.08M,33.90M,-33.90M,-16.35M,-33.90M,-22.16M,-21.88M,-0.286M,8.253M,,7.967M,-0.286M,74.12M,62.38M,11.73M,-0.01,0.09,,-0.01,0.08,-0.01,0.09,,-0.01,0.08,90.21M,91.67M,0.345
2012-06,576.41M,576.41M,283.24M,293.17M,,,46.62M,34.91M,-34.91M,,211.62M,81.55M,34.91M,-34.91M,-2.075M,-34.91M,44.56M,16.55M,28.01M,3.118M,,31.13M,28.01M,140.93M,61.46M,79.47M,0.31,0.03,,0.31,0.34,0.31,0.03,,0.31,0.34,90.12M,90.99M,0.345
2012-03,1.226B,1.226B,799.72M,425.79M,,,54.64M,36.64M,-36.64M,,223.36M,202.43M,36.64M,-36.64M,0.506M,-36.64M,166.30M,64.21M,102.08M,7.027M,,109.11M,102.08M,264.86M,61.92M,202.94M,1.12,0.08,,1.12,1.2,1.12,0.08,,1.12,1.2,90.02M,90.32M,0.345
2011-12,1.084B,1.084B,728.60M,355.39M,,,42.91M,35.73M,-35.73M,,215.92M,139.47M,35.73M,-35.73M,-2.016M,-35.73M,101.73M,39.34M,62.38M,6.123M,,68.51M,62.38M,198.27M,60.81M,137.46M,0.68,0.07,,0.68,0.75,0.68,0.07,,0.68,0.75,90.25M,90.55M,0.345
2011-09,728.06M,728.06M,512.44M,215.62M,,0.00,31.90M,38.15M,-38.15M,,190.20M,25.42M,38.15M,-38.15M,-2.862M,-38.15M,-15.59M,-7.392M,-8.198M,10.16M,,1.961M,-8.198M,84.07M,61.51M,22.56M,-0.09,0.11,,-0.09,0.02,-0.09,0.11,,-0.09,0.02,90.10M,91.02M,0.34
2011-06,843.62M,843.62M,576.81M,266.80M,112.66M,-10.99M,52.14M,35.84M,-35.84M,,221.74M,45.07M,35.84M,-35.84M,-12.42M,-35.84M,-3.197M,-1.723M,-1.474M,0.908M,,-0.566M,5.668M,91.13M,58.48M,32.65M,-0.02,0.01,,0.0592,-0.01,-0.02,0.01,,0.0592,-0.01,90.13M,90.13M,0.34
2011-03,1.581B,1.581B,1.128B,453.67M,114.16M,-19.28M,53.56M,37.88M,-37.88M,,223.19M,230.48M,37.88M,-37.88M,6.92M,-37.88M,199.53M,71.37M,128.16M,4.049M,,132.21M,140.55M,294.59M,57.19M,237.40M,1.41,0.04,,1.547,1.45,1.41,0.04,,1.547,1.45,90.25M,90.53M,0.34
2010-12,1.133B,1.133B,768.54M,364.72M,114.49M,-0.726M,40.17M,38.90M,-38.90M,,209.44M,155.29M,38.90M,-38.90M,-0.726M,-38.90M,115.67M,44.57M,71.10M,2.897M,,74.00M,71.55M,210.77M,56.21M,154.56M,0.78,0.03,,0.785,0.81,0.78,0.03,,0.7849,0.81,90.08M,90.41M,0.34
2010-09,778.58M,778.58M,537.19M,241.39M,112.06M,0.749M,35.41M,38.88M,-38.88M,,202.86M,38.54M,38.88M,-38.88M,0.749M,-38.88M,0.407M,0.163M,0.244M,1.293M,,1.537M,-0.2054M,96.10M,56.81M,39.29M,0.02,0.01,,0.015,0.03,0.01,0.01,,0.0051,0.02,89.87M,91.12M,0.335
2010-06,761.30M,761.30M,513.64M,247.67M,111.56M,-0.798M,51.91M,37.27M,-37.27M,,215.41M,32.26M,37.27M,-37.27M,-0.798M,-37.27M,-5.806M,-1.577M,-4.229M,1.075M,,-3.154M,-3.648M,84.77M,53.31M,31.46M,-0.04,0.01,,-0.0337,-0.03,-0.04,0.01,,-0.0337,-0.03,92.65M,92.65M,0.335
2010-03,1.940B,1.940B,1.486B,454.32M,117.09M,0.049M,59.61M,39.58M,-39.58M,,229.78M,224.54M,39.58M,-39.58M,0.049M,-39.58M,185.01M,70.88M,114.13M,,,114.13M,114.10M,277.73M,53.14M,224.59M,1.22,0.0,,1.22,1.22,1.22,0.0,,1.22,1.22,92.52M,92.85M,0.335
2009-12,1.293B,1.293B,882.00M,410.85M,,-0.269M,42.55M,38.71M,-38.71M,,220.25M,190.60M,38.71M,-38.71M,-0.269M,-38.71M,151.62M,58.29M,93.33M,,,93.33M,93.50M,244.20M,53.88M,190.33M,1.0,0.0,,1.002,1.0,1.0,0.0,,1.002,1.0,92.15M,92.51M,0.335
2009-09,650.57M,650.57M,418.77M,231.80M,,-2.656M,32.67M,36.80M,-36.80M,,217.82M,13.98M,36.80M,-36.80M,-2.656M,-36.80M,-25.47M,-9.521M,-15.95M,,,-15.95M,-14.29M,67.81M,56.48M,11.32M,-0.17,0.0,,-0.1519,-0.17,-0.18,0.0,,-0.1621,-0.18,91.65M,92.74M,0.33
2009-06,780.78M,780.78M,521.14M,259.64M,,-2.085M,47.58M,41.51M,-41.51M,,212.65M,46.99M,41.51M,-41.51M,-2.085M,-41.51M,3.391M,1.427M,1.964M,,,1.964M,3.319M,99.12M,54.22M,44.90M,0.02,0.0,,0.0348,0.02,0.02,0.0,,0.0348,0.02,91.34M,91.65M,0.33
2009-03,1.821B,1.821B,1.361B,460.05M,,-1.565M,58.31M,35.53M,-35.53M,,233.50M,226.55M,35.53M,-35.53M,-1.565M,-35.53M,189.45M,60.45M,129.00M,,,129.00M,130.07M,278.44M,53.46M,224.98M,1.41,0.0,,1.422,1.41,1.4,0.0,,1.412,1.4,90.90M,91.19M,0.33
2008-12,1.716B,1.716B,1.321B,395.21M,,-2.379M,44.14M,38.99M,-38.99M,,229.94M,165.27M,38.99M,-38.99M,-2.379M,-38.99M,123.90M,47.94M,75.96M,,,75.96M,77.42M,216.03M,53.13M,162.89M,0.83,0.0,,0.8461,0.83,0.83,0.0,,0.8461,0.83,90.47M,90.77M,0.33
2008-09,1.441B,1.441B,1.170B,271.07M,,-0.243M,39.58M,34.12M,-34.12M,,233.54M,37.53M,34.12M,-34.12M,-0.243M,-34.12M,3.172M,1.59M,1.582M,,,1.582M,1.740M,90.12M,52.82M,37.29M,0.02,0.0,,0.0218,0.02,0.01,0.0,,0.0117,0.01,89.70M,91.28M,0.325
2008-06,1.639B,1.639B,1.393B,246.22M,,1.60M,57.34M,33.47M,-33.47M,,225.51M,20.71M,33.47M,-33.47M,1.60M,-33.47M,-11.16M,-4.573M,-6.588M,,,-6.588M,-7.628M,72.70M,50.40M,22.31M,-0.07,0.0,,-0.0816,-0.07,-0.07,0.0,,-0.0816,-0.07,89.65M,89.65M,0.325
2008-03,2.484B,2.484B,2.050B,434.39M,,1.467M,54.41M,33.52M,-33.52M,,223.25M,211.14M,33.52M,-33.52M,1.467M,-33.52M,179.09M,67.56M,111.53M,,,111.53M,110.62M,261.44M,48.83M,212.61M,1.25,0.0,,1.24,1.25,1.24,0.0,,1.23,1.24,89.31M,89.99M,0.325
2007-12,1.658B,1.658B,1.288B,369.64M,,-0.093M,41.43M,,,,211.13M,158.51M,,,-0.093M,,121.60M,47.80M,73.80M,,,73.80M,73.86M,207.04M,48.54M,158.51M,0.83,0.0,,0.8306,0.83,0.82,0.0,,0.8206,0.82,89.01M,89.61M,0.325
2007-09,1.002B,1.002B,783.48M,218.58M,,1.501M,33.17M,,,,207.85M,10.73M,,,1.501M,,-23.73M,-17.82M,-5.914M,,,-5.914M,-6.890M,60.60M,49.87M,10.73M,-0.08,0.0,,-0.091,-0.08,-0.08,0.0,,-0.0908,-0.08,88.77M,89.95M,0.32
2007-06,1.218B,1.218B,990.14M,228.02M,,4.266M,52.88M,,,,220.28M,7.731M,,,4.266M,,-22.48M,-9.122M,-13.36M,,,-13.36M,-16.13M,56.74M,49.00M,7.731M,-0.15,0.0,,-0.1814,-0.15,-0.15,0.0,,-0.1814,-0.15,88.37M,88.37M,0.32
2007-03,2.076B,2.076B,1.647B,428.69M,,1.838M,56.75M,,,,219.67M,209.01M,,,1.838M,,175.59M,69.08M,106.50M,,,106.50M,105.39M,260.11M,51.10M,209.01M,1.21,0.0,,1.197,1.21,1.2,0.0,,1.187,1.2,88.08M,88.74M,0.32
2006-12,1.603B,1.603B,1.227B,375.59M,,1.579M,40.07M,,,,204.43M,171.16M,,,1.579M,,133.21M,51.95M,81.26M,,,81.26M,80.30M,220.24M,49.08M,171.16M,0.98,0.0,,0.9684,0.98,0.97,0.0,,0.9584,0.97,82.73M,83.35M,0.32
2006-09,971.45M,971.45M,710.30M,261.16M,,1.909M,33.30M,,,,213.87M,47.28M,,,1.909M,,10.21M,4.151M,6.059M,,,6.059M,4.914M,95.72M,48.43M,47.28M,0.07,0.0,,0.0559,0.07,0.07,0.0,,0.0561,0.07,81.36M,82.52M,0.315
2006-06,863.24M,863.24M,658.74M,204.50M,,0.963M,48.48M,,,,199.70M,4.803M,,,0.963M,,-30.18M,-12.03M,-18.14M,,,-18.14M,-18.72M,51.67M,46.86M,4.803M,-0.22,0.0,,-0.2272,-0.22,-0.22,0.0,,-0.2272,-0.22,80.84M,80.84M,0.315
2006-03,2.034B,2.034B,1.628B,405.40M,,-2.439M,64.80M,,,,224.57M,180.83M,,,-2.439M,,142.90M,54.11M,88.80M,,,88.80M,90.31M,228.10M,47.26M,180.83M,1.1,0.0,,1.119,1.1,1.1,0.0,,1.119,1.1,80.57M,81.04M,0.315
2005-12,2.284B,2.284B,1.937B,346.59M,,0.448M,45.42M,,,,196.89M,149.70M,,,0.448M,,113.96M,42.93M,71.03M,,,71.03M,70.75M,193.10M,43.41M,149.70M,0.88,0.0,,0.8765,0.88,0.88,0.0,,0.8765,0.88,80.26M,80.72M,0.315
2005-09,1.001B,1.001B,801.03M,200.26M,,-0.846M,34.16M,,,,191.93M,8.332M,,,-0.846M,,-25.87M,-9.066M,-16.80M,,,-16.80M,-16.25M,53.57M,44.60M,8.332M,-0.2741,,,-0.267,-0.2741,-0.2741,0.0,,-0.2672,-0.2741,78.01M,80.61M,0.31
2005-06,909.95M,909.95M,685.60M,224.35M,,1.524M,46.92M,,,,184.88M,39.47M,,,1.524M,,7.303M,2.817M,4.486M,,,4.486M,3.550M,83.07M,43.60M,39.47M,0.06,0.0,,0.0483,0.06,0.06,0.0,,0.0483,0.06,79.68M,80.14M,0.31
2005-03,1.685B,1.685B,1.309B,375.89M,,0.958M,54.97M,,,,203.71M,172.18M,,,0.958M,,140.07M,51.56M,88.50M,,,88.50M,87.90M,217.73M,45.55M,172.18M,1.12,0.0,,1.112,1.12,1.11,0.0,,1.102,1.11,79.27M,79.76M,0.31
2004-12,1.369B,1.369B,1.044B,324.45M,,0.385M,38.66M,,,,195.78M,128.67M,,,0.385M,,96.52M,36.92M,59.60M,,,59.60M,59.36M,172.92M,44.25M,128.67M,0.79,0.0,,0.7868,0.79,0.79,0.0,,0.7869,0.79,75.31M,75.72M,0.31
2004-09,492.88M,492.88M,403.36M,89.52M,,1.657M,11.48M,,,,86.24M,3.28M,,,1.657M,,-10.99M,-4.61M,-6.384M,,,-6.384M,-7.378M,30.24M,26.96M,3.28M,-0.417,,,-0.4362,-0.417,-0.417,0.0,,-0.4332,-0.417,51.79M,61.17M,0.305
2004-06,546.06M,546.06M,438.57M,107.49M,,2.187M,12.30M,,,,86.03M,21.46M,,,2.187M,,7.636M,2.871M,4.765M,,,4.765M,3.400M,45.40M,23.94M,21.46M,0.09,0.0,,0.0639,0.09,0.09,0.0,,0.0641,0.09,52.22M,52.62M,0.305
2004-03,1.117B,1.117B,911.36M,206.13M,,4.456M,18.48M,,,,100.71M,105.41M,,,4.456M,,93.71M,35.40M,58.30M,,,58.30M,55.53M,128.55M,23.07M,105.41M,1.12,0.0,,1.067,1.12,1.12,0.0,,1.067,1.12,51.85M,52.24M,0.305
2003-12,763.62M,763.62M,604.56M,159.05M,,1.207M,15.12M,,,,95.51M,63.54M,,,1.207M,,47.41M,17.87M,29.54M,,,29.54M,28.79M,87.69M,24.14M,63.54M,0.57,0.0,,0.5554,0.57,0.57,0.0,,0.5555,0.57,51.48M,51.86M,0.305
2003-09,436.87M,436.87M,337.09M,99.78M,,-1.13M,10.99M,,,,86.50M,13.28M,,,-1.13M,,-3.829M,-1.393M,-2.436M,,0.00,-2.436M,-1.717M,35.53M,22.24M,13.28M,-0.2863,,0.0,-0.2703,-0.2673,-0.2863,0.17,0.0068,-0.2723,-0.2673,44.68M,51.35M,0.3
2003-06,488.47M,488.47M,393.41M,95.06M,,0.686M,12.68M,,,,81.01M,14.06M,,,0.686M,,-1.30M,-1.099M,-0.201M,,,-0.201M,-0.6126M,38.92M,24.87M,14.06M,0.0,0.0,,-0.0089,0.0,0.0,0.0,,-0.0089,0.0,46.00M,46.00M,0.3
2003-03,1.194B,1.194B,991.17M,202.97M,,-1.489M,18.54M,,,,95.09M,107.88M,,,-1.489M,,90.23M,33.93M,56.30M,,-7.773M,48.53M,57.23M,128.76M,20.89M,107.88M,1.24,-0.17,0.0,1.261,1.07,1.24,-0.17,-0.1716,1.26,1.07,45.31M,45.49M,0.3
2002-12,401.55M,401.55M,268.96M,132.59M,,4.124M,12.84M,,,-4.58M,79.96M,52.62M,,,4.124M,,41.27M,15.48M,25.79M,,,25.79M,23.22M,73.82M,21.19M,52.62M,0.6,0.0,,0.5398,0.6,0.6,0.0,,0.5399,0.6,42.80M,42.92M,0.3
2002-09,838.34M,838.34M,740.28M,98.06M,,-0.428M,6.56M,,,,91.68M,6.374M,,,-0.428M,,-8.924M,-3.315M,-5.609M,,,-5.609M,-5.340M,27.49M,21.12M,6.374M,-0.1586,,,-0.152,-0.1586,-0.1586,0.0,,-0.1521,-0.1586,41.05M,41.57M,0.295
2002-06,161.80M,161.80M,87.97M,73.83M,,-0.182M,8.72M,,,-12.26M,54.66M,19.18M,,,-0.182M,,5.173M,1.919M,3.254M,,,3.254M,3.368M,41.47M,22.29M,19.18M,0.08,0.0,,0.0828,0.08,0.08,0.0,,0.0828,0.08,41.26M,41.37M,0.295
2002-03,379.48M,379.48M,229.60M,149.88M,,-6.112M,10.86M,,,-9.604M,63.55M,86.33M,,,-6.112M,,65.73M,24.35M,41.38M,,,41.38M,45.23M,106.37M,20.04M,86.33M,1.01,0.0,,1.104,1.01,1.01,0.0,,1.104,1.01,41.04M,41.14M,0.295
2001-12,271.34M,271.34M,161.98M,109.36M,,5.401M,10.08M,,,-7.163M,65.92M,43.45M,,,5.401M,,32.86M,12.22M,20.63M,,,20.63M,17.24M,63.92M,20.47M,43.45M,0.51,0.0,,0.4269,0.51,0.5,0.0,,0.4171,0.5,40.84M,40.92M,0.295
2001-09,160.11M,160.11M,94.94M,65.17M,,-0.448M,7.26M,,,-3.683M,60.89M,4.275M,,,-0.448M,,-11.89M,-4.333M,-7.556M,,,-7.556M,-7.271M,24.86M,20.59M,4.275M,-0.24,0.0,,-0.233,-0.24,-0.24,0.0,,-0.233,-0.24,40.67M,40.72M,0.29
2001-06,164.26M,164.26M,102.98M,61.28M,,0.644M,7.584M,,,3.195M,58.10M,3.174M,,,0.644M,,-5.414M,-2.014M,-3.40M,,,-3.40M,-3.804M,21.37M,18.20M,3.174M,-0.08,0.0,,-0.09,-0.08,-0.08,0.0,,-0.09,-0.08,40.40M,40.40M,0.29
2001-03,675.11M,675.11M,536.79M,138.32M,,6.339M,13.54M,,,,64.43M,73.89M,,,6.339M,,70.41M,26.34M,44.07M,,,44.07M,40.11M,89.80M,15.90M,73.89M,1.14,0.0,,1.038,1.14,1.13,0.0,,1.028,1.13,38.82M,38.92M,0.29
