,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,715.52M,,,-90.03M,-90.03M,334.67M,334.67M,,3.029M,-141.55M,71.86M,-65.06M,,,-62.84M,-56.04M,843.48M,-172.76M,,,-10.86M,-7.542M,-1.833M,-123.67M,-893.94M,-893.94M,,-234.53M,-234.53M,,,,-91.52M,-606.56M,-698.09M,-8.352M,-1.835B,1.482B,-1.115B,367.21M,,1.756B,-2.650B,-234.53M
2017-12,659.82M,,0.00,-123.06M,-126.70M,345.02M,345.02M,,0.00,-0.121M,-46.10M,-3.487M,,,-57.26M,-106.84M,874.34M,-244.78M,,,-222.70M,-17.15M,16.62M,-394.62M,1.171B,1.171B,,-10.92M,-10.92M,,,,-87.54M,-576.43M,-663.97M,-2.266M,494.19M,508.40M,973.90M,1.482B,,3.597B,-2.426B,-10.92M
2017-09,592.63M,,-21.54M,-116.11M,-137.65M,336.73M,336.73M,,0.00,-9.463M,-26.82M,91.74M,,,-46.40M,18.52M,909.87M,-168.37M,,,-17.77M,52.26M,-18.54M,-116.73M,-124.34M,-124.34M,,-0.082M,-0.082M,,,,-85.32M,-560.86M,-646.18M,-2.733M,-773.34M,488.61M,19.79M,508.40M,,2.322B,-2.446B,-0.082M
2017-06,441.37M,,,-92.02M,36.60M,339.86M,339.86M,,0.00,-8.85M,-7.288M,118.54M,,,12.81M,124.07M,1.024B,-170.35M,,,-122.27M,0.337M,-30.70M,-74.85M,34.63M,34.63M,,-247.06M,-247.06M,,,,-82.84M,-546.88M,-629.72M,-131.68M,-973.83M,513.40M,-24.79M,488.61M,,3.881B,-3.846B,-247.06M
2017-03,551.08M,,,-69.08M,-69.08M,335.75M,335.75M,,0.00,-8.109M,54.04M,-106.87M,,,-42.10M,-94.93M,785.69M,-148.60M,,,-58.93M,-4.174M,-18.96M,-175.26M,129.73M,129.73M,,-152.06M,-152.06M,,,,-82.91M,-549.00M,-631.91M,-2.857M,-657.09M,560.06M,-46.66M,513.40M,,1.868B,-1.739B,-152.06M
2016-12,455.60M,,,-94.34M,42.43M,355.90M,355.90M,,,13.50M,-39.71M,-28.03M,,,-52.01M,-119.76M,839.92M,-221.27M,,,-59.82M,12.92M,0.00,-207.25M,104.95M,104.95M,,-255.35M,-255.35M,,,,-78.59M,-519.20M,-597.79M,-139.16M,-887.36M,814.75M,-254.69M,560.06M,,4.779B,-4.674B,-255.35M
2016-09,587.94M,,,-83.37M,-83.37M,329.40M,329.40M,,,-60.46M,-3.003M,-32.45M,,,25.06M,-10.40M,838.82M,-193.74M,,,-272.29M,-4.495M,0.125M,-280.93M,-28.78M,-28.78M,,-0.235M,-0.235M,,,,-78.60M,-518.97M,-597.56M,-0.845M,-627.43M,884.28M,-69.53M,814.75M,,2.645B,-2.674B,-0.235M
2016-06,527.32M,,,-84.99M,-84.99M,324.85M,324.85M,,,-17.80M,-14.33M,79.46M,,,56.47M,121.60M,973.49M,-194.43M,,,-337.13M,-0.837M,9.04M,-285.58M,-22.88M,-22.88M,,-3.358M,-3.358M,,,,-76.17M,-504.08M,-580.24M,-2.218M,-608.70M,805.08M,79.20M,884.28M,,3.850B,-3.873B,-3.358M
2016-03,563.84M,,,-90.63M,-90.63M,317.80M,317.80M,,,-34.96M,73.32M,-96.77M,,,-73.32M,-96.76M,720.46M,-189.03M,,,-142.89M,-3.799M,35.60M,-195.26M,162.75M,162.75M,,-0.952M,-0.952M,,,,-83.07M,-497.21M,-580.29M,-2.773M,-421.26M,701.13M,103.94M,805.08M,,3.592B,-3.429B,-0.952M
2015-12,459.92M,,0.00,-81.52M,39.44M,318.52M,318.52M,,,-41.75M,-45.76M,30.65M,,,-35.27M,-50.38M,805.86M,-248.07M,,,-96.51M,39.63M,,-190.27M,-72.56M,-72.56M,,-505.73M,-505.73M,,505.69M,505.69M,-83.11M,-496.41M,-579.52M,-119.19M,-771.31M,856.86M,-155.73M,701.13M,,4.122B,-4.194B,-0.039M
2015-09,492.50M,,0.00,-68.22M,-68.22M,305.44M,305.44M,,,-12.42M,-14.75M,8.573M,,,-46.56M,-52.74M,735.52M,-283.90M,,,-259.25M,-31.71M,,-418.64M,537.65M,537.65M,,-0.082M,-0.082M,,0.00,0.00,-80.52M,-480.92M,-561.43M,-1.813M,-25.68M,565.66M,291.20M,856.86M,,2.288B,-1.751B,-0.082M
2015-06,554.53M,,-80.19M,-70.20M,-150.38M,312.58M,312.58M,,,-30.72M,0.94M,58.08M,,,-2.185M,56.84M,808.51M,-259.72M,,,-679.21M,447.30M,,-343.04M,320.67M,320.67M,,-2.966M,-2.966M,,-505.69M,-505.69M,-77.78M,-466.68M,-544.46M,-1.097M,-733.55M,833.73M,-268.08M,565.66M,,2.092B,-1.771B,-508.66M
2015-03,632.44M,,,-64.87M,-64.87M,302.67M,302.67M,,,-219.75M,69.49M,-61.76M,,,-38.66M,-30.93M,674.80M,-229.23M,,,-705.83M,-10.74M,,-510.77M,570.89M,570.89M,,-0.499M,-0.499M,,,,-73.54M,-437.09M,-510.63M,-2.339M,57.42M,612.28M,221.45M,833.73M,,1.967B,-1.396B,-0.499M
2014-12,475.99M,,,-58.30M,-58.30M,312.15M,312.15M,,,-15.99M,-52.09M,93.62M,,,-10.95M,30.58M,798.20M,-329.65M,,,-84.01M,-67.68M,57.57M,-305.85M,-223.50M,-223.50M,,0.122M,0.399M,,,,-68.89M,-405.36M,-474.24M,-0.721M,-698.06M,818.00M,-205.72M,612.28M,,941.78M,-1.165B,0.122M
2014-09,296.96M,,,-55.63M,71.94M,302.92M,302.92M,,,-31.50M,-18.28M,4.495M,,,-8.861M,-22.65M,661.08M,-101.05M,,,-39.99M,-314.31M,91.63M,-279.02M,-529.76M,-529.76M,,-14.49M,-14.49M,,0.00,0.00,-68.90M,-405.31M,-474.21M,-211.43M,-1.230B,1.666B,-847.82M,818.00M,,1.280B,-1.810B,-14.49M
2014-06,477.47M,,,-56.07M,-56.07M,340.15M,340.15M,,,-145.26M,0.589M,-26.89M,,,-33.76M,-60.06M,609.69M,-158.38M,,,-69.97M,-3.99M,-15.78M,-84.92M,639.90M,639.90M,,0.011M,0.011M,,0.00,0.00,-68.15M,-405.27M,-473.43M,-38.80M,127.68M,1.013B,652.45M,1.666B,,597.98M,41.92M,0.011M
2014-03,401.10M,,,-57.42M,-57.42M,330.56M,330.56M,,,-14.68M,63.06M,-100.80M,,,-12.00M,-49.75M,661.45M,-207.66M,,,-131.32M,-5.211M,-13.37M,-227.48M,-579.54M,-579.54M,,-0.082M,-0.082M,,,,-65.70M,-389.58M,-455.28M,-102.57M,-1.137B,1.717B,-703.50M,1.013B,,1.810B,-2.390B,-0.082M
2013-12,449.30M,,,-46.60M,-46.60M,341.24M,341.24M,,,-22.97M,-36.47M,35.22M,,,16.52M,15.28M,772.10M,-212.63M,,,-587.63M,-4.172M,-10.83M,-550.88M,834.45M,834.45M,-0.082M,,-0.082M,,,,-62.74M,-373.74M,-436.48M,-1.573M,396.31M,1.099B,617.54M,1.717B,-0.082M,1.676B,-842.05M,
2013-09,367.29M,,,-47.92M,-47.92M,338.36M,338.36M,,,-22.38M,-27.72M,84.61M,,,-35.00M,21.88M,695.94M,-234.29M,,,-138.08M,-20.10M,40.55M,-279.50M,2.399M,2.399M,0.181M,0.00,-0.035M,,,,-60.13M,-358.20M,-418.33M,3.012M,-412.95M,1.096B,3.492M,1.099B,0.181M,346.41M,-344.01M,0.00
2013-06,400.52M,,,-56.52M,-56.52M,331.38M,331.38M,,,-79.07M,-27.67M,41.86M,,,10.68M,24.86M,682.44M,-194.38M,,,-216.75M,26.27M,90.44M,-105.48M,109.62M,109.62M,,,0.095M,,,,-59.96M,-358.16M,-418.13M,-2.675M,-311.09M,829.97M,265.86M,1.096B,,253.76M,-144.14M,
2013-03,334.47M,,,-54.23M,-54.23M,321.97M,321.97M,,,-31.36M,77.92M,-119.29M,,,-22.21M,-63.58M,550.51M,-199.91M,,,-67.23M,1.376M,54.81M,-12.23M,-473.29M,-473.29M,,,0.121M,,,,-59.77M,-357.85M,-417.62M,-2.046M,-892.84M,1.185B,-354.55M,829.97M,,642.70M,-1.116B,
2012-12,370.50M,,,-35.29M,-41.72M,360.99M,360.99M,,,-28.66M,-62.29M,114.43M,,,-64.21M,-12.08M,685.93M,-212.76M,,,-100.71M,410.93M,-3.893M,163.36M,513.28M,513.28M,0.125M,0.00,0.125M,,,,-57.69M,-341.61M,-399.29M,-231.59M,-117.48M,452.71M,731.81M,1.185B,0.125M,1.645B,-1.132B,0.00
2012-09,306.37M,,,-37.13M,-37.13M,320.12M,320.12M,,,-7.325M,-23.09M,40.22M,,,-20.42M,-3.284M,627.96M,-245.84M,,,-28.49M,-168.64M,73.64M,-357.88M,174.41M,174.41M,-0.192M,-248.00M,-248.19M,,,,-62.07M,-319.82M,-381.89M,-0.194M,-455.86M,638.50M,-185.79M,452.71M,-0.192M,635.31M,-460.89M,-248.00M
2012-06,260.94M,,,-29.13M,-29.13M,321.69M,321.69M,,,-9.784M,2.953M,19.34M,,,22.82M,45.11M,626.24M,-219.58M,,,-127.70M,-4.007M,76.77M,-210.84M,-289.51M,-289.51M,-0.179M,,-0.179M,,,,-61.11M,-304.53M,-365.64M,-2.123M,-657.44M,880.55M,-242.05M,638.50M,-0.179M,435.59M,-725.10M,
2012-03,781.83M,,,-30.35M,-30.35M,298.50M,298.50M,,,-502.26M,77.61M,-8.312M,,,-71.95M,-2.647M,572.95M,-124.25M,,,-3.680B,-7.245M,468.44M,-3.175B,1.814B,1.814B,1.214B,,1.214B,,,,-57.91M,-280.51M,-338.42M,-5.11M,2.684B,798.65M,81.90M,880.55M,1.214B,4.056B,-2.242B,
2011-12,441.93M,,,-101.33M,-101.33M,293.38M,293.38M,,,-133.82M,-52.67M,-78.89M,84.08M,,,-106.40M,506.75M,-146.13M,,,-322.51M,-16.34M,217.56M,128.48M,-21.87M,-21.87M,3.158M,,3.158M,,,,,-324.55M,-536.04M,142.37M,-412.39M,575.82M,222.83M,798.65M,3.158M,243.18M,-265.05M,
2011-09,333.78M,,,0.671M,0.671M,274.64M,274.64M,,,-87.23M,-23.38M,46.85M,55.76M,,,79.23M,601.09M,-135.91M,,,-1.285B,-1.832M,153.58M,-1.269B,740.07M,740.07M,0.329M,,0.329M,,,,,-236.35M,-236.35M,-49.61M,454.44M,789.71M,-213.90M,575.82M,0.329M,1.206B,-466.01M,
2011-06,250.52M,,,15.60M,15.60M,270.14M,270.14M,,,-20.59M,-3.271M,25.66M,-92.32M,,,-69.93M,445.74M,-103.75M,,,268.08M,-5.384M,,158.94M,-166.50M,-166.50M,1.467M,,1.467M,,,,,-236.00M,-236.00M,-49.99M,-451.02M,636.05M,153.66M,789.71M,1.467M,205.95M,-372.44M,
2011-03,219.67M,,,3.814M,3.814M,274.28M,274.28M,,,-5.304M,59.94M,-52.58M,-47.51M,,,-40.15M,452.30M,-59.71M,,,59.28M,-11.59M,,-12.03M,-295.20M,-295.20M,0.359M,,0.359M,,,,,-235.76M,-235.76M,-70.34M,-600.94M,796.72M,-160.67M,636.05M,0.359M,0.00,-295.20M,
2010-12,267.08M,,,218.35M,218.35M,284.63M,284.63M,,,-318.89M,-37.55M,-18.08M,5.536M,,,-90.48M,469.74M,-62.42M,,,-687.67M,-248.29M,339.00M,-376.55M,-17.89M,-17.89M,0.723M,,0.723M,,0.00,0.00,,-235.62M,-388.87M,97.99M,-308.05M,1.012B,-214.86M,796.72M,0.723M,116.68M,-134.57M,0.00
2010-09,280.53M,,,-314.66M,-129.59M,257.31M,257.31M,,,18.14M,-28.42M,19.85M,90.49M,,,81.91M,508.31M,-65.22M,,,-485.60M,-2.467M,-19.00M,-572.28M,-815.10M,-815.10M,-0.029M,,-0.029M,,0.00,0.00,,-177.06M,-177.06M,-225.50M,-1.218B,2.293B,-1.282B,1.012B,-0.029M,1.446B,-2.261B,0.00
2010-06,185.15M,,,10.99M,10.99M,240.22M,240.22M,,,-27.74M,18.36M,-28.85M,-69.35M,,,-79.85M,328.77M,-65.90M,,,-31.47M,-161.17M,,-258.54M,-881.09M,-881.09M,3.237M,,3.237M,,-10.99M,-10.99M,,-175.16M,-175.16M,-39.62M,-1.104B,3.327B,-1.033B,2.293B,3.237M,72.32M,-953.41M,-10.99M
2010-03,20.75M,,,9.396M,175.02M,233.86M,233.86M,,,-8.866M,49.76M,4.537M,-26.67M,,,27.62M,448.39M,-62.78M,,,34.54M,-11.09M,,-39.32M,-654.91M,-654.91M,0.235M,,0.235M,,,,,-178.35M,-178.35M,-207.12M,-1.040B,3.958B,-631.08M,3.327B,0.235M,2.224B,-2.879B,
2009-12,115.93M,,,4.909M,4.909M,244.16M,244.16M,99.57M,,25.83M,-46.05M,-75.45M,10.33M,,,-111.17M,379.24M,-63.15M,,,234.66M,-172.26M,-47.53M,-48.29M,-63.56M,-63.56M,2.852M,,2.852M,,0.00,0.00,,-160.39M,-52.70M,-5.511M,-118.92M,3.746B,212.02M,3.958B,2.852M,98.83M,-162.39M,0.00
2009-09,139.19M,,,17.31M,17.31M,253.49M,253.49M,140.48M,,-146.37M,-3.401M,64.52M,-11.56M,,,49.56M,453.66M,-73.41M,,,-68.45M,107.57M,47.53M,13.24M,706.32M,706.32M,-0.203M,,-0.203M,,0.00,0.00,94.38M,8.329M,-4.984M,-50.76M,650.37M,2.628B,1.117B,3.746B,-0.203M,918.86M,-212.55M,0.00
2009-06,-14.11M,,,19.48M,19.48M,254.23M,254.23M,,,134.69M,27.50M,17.28M,13.74M,,,58.52M,452.81M,-102.62M,,,38.66M,-154.78M,,-218.73M,528.77M,528.77M,1.114B,,1.114B,,-87.69M,-87.69M,-82.55M,23.23M,-59.32M,0.349M,1.496B,898.33M,1.730B,2.628B,1.114B,775.32M,-246.55M,-87.69M
2009-03,146.25M,0.0,,23.40M,23.40M,257.60M,257.60M,,,-8.694M,59.42M,-2.569M,-40.59M,,,16.26M,434.82M,-137.09M,0.00,0.00,29.78M,-57.90M,,-165.21M,-629.45M,-629.45M,525.66M,,525.66M,,,,-11.83M,-31.56M,-43.38M,2.355M,-144.82M,773.54M,124.78M,898.33M,525.66M,1.428B,-2.057B,
2008-12,196.42M,,,15.18M,15.18M,269.98M,269.98M,,,-7.622M,-38.51M,-41.71M,5.606M,,,-74.61M,420.52M,-206.05M,,,46.52M,10.54M,,-148.99M,131.20M,131.20M,1.654M,-1.648M,0.006M,,0.00,0.00,-61.04M,-216.44M,-277.48M,2.17M,-144.10M,646.12M,127.43M,773.54M,1.654M,347.90M,-216.70M,-1.648M
2008-09,159.74M,,,16.99M,16.99M,236.34M,236.34M,,,-7.726M,-3.562M,40.10M,10.56M,,,47.10M,452.44M,-206.68M,,,94.73M,-131.37M,,-243.31M,203.50M,203.50M,4.095M,-0.318M,3.777M,,0.00,0.00,-55.97M,-218.49M,-274.46M,0.296M,-66.89M,503.88M,142.24M,646.12M,4.095M,1.087B,-883.21M,-0.318M
2008-06,114.35M,,,37.34M,37.34M,225.50M,225.50M,,,-11.74M,29.01M,62.03M,77.69M,,,168.73M,534.19M,-231.37M,,,7.376M,-206.86M,,-430.86M,258.26M,258.26M,2.811M,-12.83M,-10.02M,,-1.845M,-1.845M,-57.79M,-218.12M,-275.91M,1.39M,-28.11M,428.66M,75.22M,503.88M,2.811M,2.032B,-1.773B,-14.67M
2008-03,129.02M,,,16.90M,16.90M,225.01M,225.01M,,,-6.587M,-1.249M,-19.20M,-115.16M,,,-135.61M,228.73M,-230.19M,,,23.08M,8.00M,,-199.11M,171.87M,171.87M,2.546M,-1.217M,1.329M,,,,-59.30M,-217.00M,-276.30M,0.149M,-102.95M,501.98M,-73.32M,428.66M,2.546M,990.77M,-818.90M,-1.217M
2007-12,125.00M,,,44.70M,52.56M,228.26M,228.26M,,,90.12M,-69.96M,99.84M,-17.06M,,,12.82M,508.76M,-328.63M,,,136.64M,239.22M,17.66M,64.89M,-58.05M,-58.05M,149.80M,-2.626M,147.17M,,-300.22M,-300.22M,-48.66M,-204.78M,-253.44M,2.903M,-461.64M,389.97M,112.01M,501.98M,149.80M,989.79M,-1.048B,-302.84M
2007-09,179.23M,,,11.77M,-81.54M,217.50M,217.50M,,,42.60M,-38.23M,32.07M,-14.12M,,,-20.28M,337.51M,-276.22M,,,-162.19M,-254.64M,40.75M,-652.30M,628.19M,628.19M,4.633M,-53.75M,-49.12M,,0.00,0.00,-48.62M,-206.86M,-255.49M,,323.59M,381.18M,8.793M,389.97M,4.633M,1.620B,-991.70M,-53.75M
2007-06,74.22M,,,7.415M,-48.31M,221.94M,221.94M,,,30.11M,17.91M,8.231M,-38.95M,,46.95M,34.14M,312.11M,-206.94M,,,-372.81M,-113.30M,1.399B,706.11M,-709.52M,-709.52M,2.282M,-27.62M,-25.33M,,-0.25M,-0.25M,-43.33M,-212.80M,-256.13M,14.24M,-976.99M,339.95M,41.22M,381.18M,2.282M,1.049B,-1.758B,-27.86M
2007-03,112.79M,,,,,207.58M,207.58M,,,13.70M,49.30M,-26.39M,,,-46.95M,-24.04M,310.02M,-205.68M,,,-135.58M,-431.94M,-1.395B,-2.168B,1.539B,1.539B,,,,,,,-54.21M,-201.41M,-255.62M,-14.24M,1.269B,929.36M,-589.41M,339.95M,,1.919B,-379.97M,
2006-12,226.99M,,,,,212.73M,212.73M,,,-35.30M,-59.86M,45.33M,63.88M,-23.88M,-52.62M,-27.16M,377.27M,-234.01M,,533.70M,-158.39M,-22.91M,132.61M,-282.71M,942.58M,942.58M,-13.17M,14.12M,0.947M,,-393.06M,-393.06M,139.80M,-190.52M,-50.72M,12.10M,511.85M,322.95M,606.41M,929.36M,-13.17M,2.076B,-1.134B,-378.94M
2006-09,113.00M,,41.95M,,41.95M,198.79M,198.79M,,,-42.09M,1.907M,71.08M,-71.34M,71.08M,-72.99M,-0.255M,311.39M,-257.28M,,-257.28M,0.00,-134.40M,216.31M,-175.37M,100.74M,100.74M,-3.291M,-3.033M,-6.324M,,-0.25M,-0.25M,135.23M,-186.50M,-51.27M,-186.25M,-143.36M,330.28M,-7.333M,322.95M,-3.291M,1.179B,-1.079B,-3.283M
2006-06,101.26M,,-41.95M,,-41.95M,201.45M,201.45M,,,60.38M,54.16M,-47.20M,7.458M,-47.20M,-6.957M,9.751M,330.89M,-140.12M,,-276.41M,0.00,0.00,86.69M,-53.43M,-14.57M,-14.57M,16.46M,-11.09M,5.377M,,-0.244M,-0.244M,128.15M,-186.39M,-58.23M,-178.54M,-246.21M,299.04M,31.25M,330.28M,16.46M,989.85M,-1.004B,-11.33M
2006-03,122.59M,,,,,199.75M,199.75M,,,-19.03M,,,,,,-49.49M,253.82M,-136.29M,,,0.00,0.00,45.96M,-90.34M,36.64M,36.64M,,,,,,,141.67M,-186.10M,-44.43M,-193.71M,-201.49M,337.05M,-38.01M,299.04M,,1.262B,-1.226B,
2005-12,134.18M,,,,,216.26M,216.26M,,,33.73M,-83.84M,10.40M,53.42M,101.72M,-22.67M,59.03M,443.20M,-305.99M,,420.40M,,-59.28M,201.86M,-163.41M,-139.20M,-139.20M,-2.667M,177.52M,174.85M,,0.00,0.00,124.08M,-172.33M,-48.25M,-352.94M,-365.53M,422.79M,-85.74M,337.05M,-2.667M,1.021B,-1.160B,177.52M
2005-09,92.88M,,12.61M,,12.61M,196.80M,196.80M,,,5.20M,81.80M,73.37M,-39.86M,73.37M,-165.99M,22.69M,330.18M,165.01M,,-122.96M,,-1.448M,-270.49M,-106.93M,94.39M,94.39M,0.568M,-49.81M,-49.25M,,0.00,0.00,124.63M,-172.90M,-48.27M,-172.90M,-176.03M,375.58M,47.22M,422.79M,0.568M,357.09M,-262.70M,-49.81M
2005-06,173.22M,,-12.61M,,-12.61M,199.34M,199.34M,,,-64.40M,-45.62M,38.54M,-45.62M,38.54M,7.081M,-7.081M,288.47M,-414.13M,,-126.17M,,-7.958M,720.75M,298.66M,-271.64M,-271.64M,-0.118M,-2.091M,-2.209M,,-0.388M,-0.388M,123.81M,-172.62M,-48.81M,-172.04M,-495.08M,283.53M,92.05M,375.58M,-0.118M,1.658B,-1.930B,-2.479M
2005-03,75.46M,,,,,206.07M,206.07M,,,8.562M,32.05M,-213.63M,32.05M,-213.63M,181.58M,-181.58M,108.52M,-171.27M,,-171.27M,,-8.02M,98.55M,-80.74M,81.44M,81.44M,2.217M,-125.61M,-123.40M,,-0.191M,-0.191M,123.44M,-172.81M,-49.37M,-172.81M,-264.33M,520.08M,-236.56M,283.53M,2.217M,926.77M,-845.33M,-125.80M
2004-12,126.29M,,,,,-439.55M,-439.55M,,,694.60M,-53.81M,100.82M,-137.99M,191.06M,-47.01M,53.08M,434.41M,-179.93M,,-179.93M,-1.863B,115.97M,6.706M,-1.920B,1.834B,1.834B,-10.45M,-89.77M,-100.22M,,,,,,-632.05M,412.96M,1.514B,488.97M,28.78M,520.08M,-10.45M,2.210B,-376.22M,-89.77M
2004-09,81.98M,,,,,149.30M,149.30M,,,22.26M,54.18M,18.92M,54.18M,18.92M,-73.10M,73.10M,326.64M,-140.76M,,-140.76M,73.13M,-91.70M,30.47M,-128.85M,-44.00M,-44.00M,-0.264M,-0.021M,-0.285M,,0.00,0.00,,,-37.14M,-146.45M,-227.88M,519.07M,-30.10M,488.97M,-0.264M,1.071B,-1.115B,-0.021M
2004-06,78.54M,,,,,149.06M,149.06M,,,-16.45M,-50.93M,48.60M,-25.44M,48.60M,2.33M,23.17M,234.32M,-125.92M,,-125.92M,-473.54M,-5.546M,58.34M,-546.67M,497.65M,497.65M,8.264M,-8.02M,0.244M,,0.00,0.00,,,-37.12M,-119.11M,341.66M,489.76M,29.31M,519.07M,8.264M,1.082B,-584.53M,-8.02M
