,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-12,701.13M,,701.13M,624.60M,,624.60M,385.58M,1.711B,,,,,,,,,20.10M,255.58M,275.68M,4.790B,,240.23M,,28.85B,30.57B,1.324B,1.369B,2.692B,,2.692B,878.66M,878.66M,878.66M,,3.571B,21.54B,,21.54B,744.90M,25.54M,214.25M,21.78B,25.35B,43.76M,-4.267B,9.384B,437.13M,43.73M,,,-252.69M,4.471B
2015-09,856.86M,,856.86M,564.34M,,564.34M,,1.421B,,,,,,,,,,,,4.282B,,1.394B,,29.22B,30.64B,1.308B,1.365B,2.673B,,2.673B,,,,,2.673B,22.63B,,22.63B,728.04M,25.54M,193.68M,22.85B,25.52B,43.85M,-4.336B,9.370B,437.13M,43.82M,,,-248.37M,4.392B
2015-06,565.66M,,565.66M,537.17M,,537.17M,,1.103B,,,,,,,,,,,,4.157B,,1.334B,,28.98B,30.08B,1.215B,1.344B,2.559B,,2.559B,,,,,2.559B,22.07B,,22.07B,736.27M,25.54M,248.60M,22.34B,24.90B,43.93M,-4.274B,9.358B,437.75M,43.90M,,,-246.58M,4.443B
2015-03,833.73M,,833.73M,523.73M,,523.73M,,1.357B,,,,,,,,,,,,3.675B,,1.852B,,28.92B,30.28B,1.122B,1.373B,2.495B,,2.495B,,,,,2.495B,21.69B,,21.69B,828.62M,25.54M,295.85M,22.02B,24.51B,44.01M,-4.289B,9.437B,103.97M,43.98M,,,-151.83M,4.936B
2014-12,612.28M,,612.28M,580.20M,,580.20M,372.32M,1.565B,,,,,,,,,20.10M,291.70M,311.79M,4.975B,,312.57M,,27.97B,29.53B,1.260B,1.167B,2.427B,,2.427B,409.18M,409.18M,409.18M,,2.836B,20.44B,,20.44B,858.33M,25.54M,275.45M,20.74B,23.58B,44.09M,-4.208B,9.422B,103.93M,44.06M,,,-61.04M,5.093B
2014-09,818.00M,,818.00M,516.86M,,516.86M,,1.335B,,,,,,,,,,,,4.327B,,1.716B,,28.34B,29.67B,1.151B,1.167B,2.318B,,2.318B,,,,,2.318B,21.20B,,21.20B,845.34M,25.54M,259.82M,21.49B,23.81B,44.18M,-4.200B,9.407B,103.87M,44.14M,,,-125.41M,5.021B
2014-06,1.666B,,1.666B,487.84M,,487.84M,,2.154B,,,,,,,,,,,,4.526B,,1.524B,,28.43B,30.59B,1.147B,1.116B,2.264B,,2.264B,,,,,2.264B,21.90B,,21.90B,882.34M,25.54M,280.48M,22.21B,24.47B,44.26M,-4.049B,9.407B,106.75M,44.23M,,,-61.74M,5.233B
2014-03,1.013B,,1.013B,530.48M,,530.48M,,1.544B,,,,,,,,,,,,4.358B,,1.565B,,31.21B,32.76B,1.259B,1.139B,2.398B,,2.398B,,,,,2.398B,23.19B,,23.19B,989.99M,107.61M,198.61M,23.49B,25.89B,44.34M,-3.273B,9.288B,117.70M,44.31M,,,-67.58M,5.874B
2013-12,1.691B,,1.691B,520.36M,,520.36M,481.46M,2.693B,,,,,,,,,20.10M,356.27M,376.36M,4.713B,,296.36M,3.002B,30.63B,33.32B,1.223B,1.050B,2.273B,,2.273B,,,,,2.273B,22.67B,,22.67B,973.23M,190.48M,250.37M,24.23B,26.50B,44.42M,-3.219B,9.217B,117.90M,44.39M,,,-75.80M,5.849B
2013-09,1.099B,,1.099B,529.89M,,529.89M,,1.629B,,,,,,,,,,,,3.963B,,1.558B,,30.48B,32.11B,1.328B,842.06M,2.170B,,2.170B,,,,,2.170B,22.73B,,22.73B,975.67M,179.79M,227.32M,23.14B,25.31B,44.50M,-3.219B,9.198B,118.03M,44.47M,,,-76.70M,5.829B
2013-06,1.096B,,1.096B,491.39M,,491.39M,,1.587B,,,,,,,,,,,,3.862B,,1.474B,,30.43B,32.02B,1.273B,836.26M,2.109B,,2.109B,,,,,2.109B,22.69B,,22.69B,971.50M,180.02M,231.77M,23.10B,25.21B,44.58M,-3.174B,9.185B,118.03M,44.55M,,,-102.33M,5.835B
2013-03,829.97M,,829.97M,454.11M,,454.11M,,1.284B,,,,,,,,,,,,3.993B,,1.520B,,30.60B,31.89B,1.231B,825.22M,2.057B,,2.057B,,,,,2.057B,22.57B,,22.57B,977.75M,187.41M,246.30M,23.01B,25.06B,44.67M,-3.165B,9.183B,134.32M,44.64M,,,-82.73M,5.846B
2012-12,1.185B,,1.185B,521.30M,,521.30M,459.58M,2.165B,,,,,,,,,20.10M,487.03M,507.13M,4.396B,,334.34M,,30.42B,32.59B,1.374B,724.74M,2.099B,,2.099B,,,,,2.099B,23.11B,,23.11B,982.49M,178.01M,303.59M,23.59B,25.69B,44.75M,-3.083B,9.176B,135.78M,44.72M,,,-90.90M,5.911B
2012-09,452.71M,,452.71M,456.40M,0.00,456.40M,,909.11M,,,,,,34.37B,-9.101B,25.27B,,,,3.959B,,1.844B,,31.07B,31.98B,,,,,1.204B,,,,,1.204B,23.30B,,23.30B,979.36M,354.01M,300.39M,23.95B,25.16B,44.83M,-3.057B,9.055B,135.78M,44.80M,,,-64.78M,5.842B
2012-06,638.50M,,638.50M,423.92M,0.00,423.92M,,1.062B,,,,,,34.06B,-8.827B,25.24B,,,,3.943B,,1.745B,,30.92B,31.99B,,,,,1.169B,,,,,1.169B,23.20B,,23.20B,1.185B,263.48M,226.68M,23.69B,24.86B,44.91M,-2.974B,9.092B,135.78M,44.88M,,,-81.66M,5.945B
2012-03,880.55M,,880.55M,417.08M,0.00,417.08M,,1.298B,,,,,,33.92B,-8.588B,25.34B,,,,3.985B,,1.799B,,31.12B,32.42B,,,1.128B,222.87M,1.351B,,,,,1.351B,23.51B,,23.51B,1.216B,262.39M,,23.77B,25.12B,45.00M,-2.886B,9.093B,150.84M,44.96M,,,-23.72M,6.078B
2011-12,798.65M,,798.65M,486.73M,651.00M,1.138B,343.94M,2.280B,,,,,,,,,20.10M,276.05M,296.15M,2.063B,,308.38M,,23.94B,26.22B,1.092B,695.57M,1.787B,,1.787B,,,,,1.787B,18.45B,,18.45B,894.62M,267.94M,170.97M,18.89B,20.67B,45.08M,-3.252B,8.103B,152.54M,45.05M,,,-94.26M,4.650B
2011-09,575.82M,,575.82M,413.92M,651.00M,1.065B,,1.641B,,,,,,28.76B,-8.239B,20.52B,,,,1.462B,,1.951B,,23.93B,25.58B,,,1.151B,262.12M,1.413B,,,,,1.413B,18.48B,,18.48B,870.69M,171.36M,,18.65B,20.06B,45.16M,-3.220B,8.072B,153.44M,45.13M,,,-102.00M,4.641B
2011-06,789.71M,,789.71M,381.90M,651.00M,1.033B,,1.823B,,,,,,27.50B,-8.098B,19.40B,,,,1.346B,,1.967B,,22.71B,24.53B,,,1.049B,205.03M,1.254B,,,,,1.254B,17.62B,,17.62B,773.89M,90.16M,,17.71B,18.96B,45.24M,-3.203B,8.060B,153.44M,45.21M,,,45.85M,4.795B
2011-03,636.05M,,636.05M,372.65M,651.00M,1.024B,,1.660B,,,,,,27.52B,-7.871B,19.65B,,,,1.379B,,1.879B,,22.91B,24.57B,,,1.014B,217.94M,1.232B,,,,,1.232B,17.69B,,17.69B,771.15M,90.22M,,17.78B,19.01B,45.32M,-3.174B,8.055B,158.19M,45.29M,,,20.48M,4.789B
2010-12,796.72M,,796.72M,,,426.74M,,1.223B,0.0,2.929B,24.26B,316.51M,,27.51B,-7.711B,19.80B,,,,1.390B,651.00M,1.795B,,23.63B,24.86B,,,993.74M,184.86M,1.179B,,,,,1.179B,17.47B,,17.47B,802.97M,85.47M,485.86M,18.05B,19.22B,45.40M,-3.115B,8.060B,166.44M,45.38M,,,6.53M,4.831B
2010-03,3.327B,,3.327B,355.47M,632.00M,987.47M,,5.473B,,,,,,25.11B,-7.027B,18.09B,,,,1.419B,,,,19.50B,24.98B,,,952.53M,182.49M,1.135B,,,,469.45M,1.604B,17.88B,,17.88B,705.11M,348.09M,,18.23B,19.84B,45.65M,-3.119B,7.705B,167.25M,45.62M,,,-27.52M,4.436B
2009-12,3.958B,,3.958B,,,402.73M,,4.360B,0.0,2.758B,22.27B,312.47M,,25.34B,-7.005B,18.33B,,,,1.469B,632.00M,1.156B,,21.59B,25.95B,,,987.53M,159.34M,1.147B,,,,,1.147B,18.63B,,18.63B,724.82M,530.37M,457.75M,19.62B,20.77B,45.73M,-2.956B,7.548B,176.80M,45.70M,,,-3.088M,4.458B
2009-09,3.746B,,3.746B,352.64M,636.00M,988.64M,,4.734B,,,,,,25.41B,-6.838B,18.57B,,,,1.507B,,1.167B,,21.24B,25.98B,,,1.050B,182.72M,1.233B,,,,443.08M,1.676B,18.67B,,18.67B,728.55M,530.44M,,19.20B,20.88B,45.82M,-2.873B,7.391B,176.88M,45.79M,,,-15.16M,4.372B
2009-06,2.628B,,2.628B,343.36M,586.00M,929.36M,,3.558B,,,,,,25.33B,-6.604B,18.72B,,,,1.552B,,1.177B,,21.45B,25.01B,,,984.85M,178.82M,1.164B,,,,413.27M,1.577B,17.94B,,17.94B,696.06M,571.00M,,18.51B,20.08B,45.90M,-2.793B,7.206B,176.88M,45.87M,,,-52.12M,4.230B
2009-03,898.33M,,898.33M,364.10M,536.00M,900.10M,,1.798B,,,,,,25.25B,-6.374B,18.88B,,,,1.573B,,1.039B,,21.49B,23.29B,,,981.90M,183.72M,1.166B,,,,406.16M,1.572B,17.39B,,17.39B,521.27M,656.12M,,18.04B,19.61B,46.00M,-2.603B,6.106B,177.62M,45.95M,,,-218.48M,3.153B
2008-12,773.54M,,773.54M,414.86M,520.70M,935.56M,,1.709B,0.0,2.795B,22.11B,297.74M,,25.21B,-6.184B,19.02B,,,,1.664B,,1.028B,,21.71B,23.42B,,,1.086B,155.15M,1.241B,,,,380.73M,1.622B,18.04B,,18.04B,488.97M,656.12M,,18.70B,20.32B,46.06M,-2.492B,5.410B,186.21M,46.03M,,,-165.07M,2.613B
2008-09,646.12M,,646.12M,368.73M,530.70M,899.43M,,1.546B,,,,,,24.99B,-5.934B,19.06B,,,,1.697B,,1.463B,,22.22B,23.76B,,,1.151B,182.23M,1.333B,,,,358.61M,1.692B,17.88B,,17.88B,,235.52M,644.38M,18.76B,20.45B,743.92M,-2.384B,5.130B,186.21M,743.89M,,,9.571M,3.313B
2008-06,503.88M,,503.88M,357.12M,534.00M,891.12M,,1.395B,,,,,,24.81B,-5.716B,19.09B,,,,1.849B,,1.335B,,22.27B,23.67B,,,1.128B,188.29M,1.316B,,,,370.65M,1.687B,17.69B,,17.69B,,235.70M,671.22M,18.60B,20.29B,746.71M,-2.294B,5.111B,186.21M,746.68M,,,5.071M,3.382B
2008-03,428.66M,1.868B,2.297B,,,374.39M,,2.671B,,,,,,24.59B,-5.499B,19.09B,,,,1.868B,540.00M,,,21.50B,23.50B,,,,,,,,,,,17.45B,,17.45B,945.20M,,,17.45B,19.08B,747.34M,-2.168B,5.104B,187.00M,747.31M,-17.79M,0.189M,-17.60M,3.479B
2007-12,501.98M,,501.98M,447.22M,548.00M,995.22M,,1.497B,0.0,2.798B,21.36B,251.66M,,24.42B,-5.312B,19.10B,,,,1.887B,,1.119B,,22.11B,23.61B,,,1.251B,180.64M,1.432B,,,,352.80M,1.784B,17.22B,,17.22B,,307.71M,731.41M,18.26B,20.04B,746.63M,-2.055B,5.068B,213.61M,746.61M,,,18.09M,3.563B
2007-09,389.97M,1.997B,2.387B,,,370.44M,,2.757B,,,,,,24.14B,-5.140B,19.00B,,,,1.997B,1.539B,,,22.53B,23.66B,,,,,,,,,,,17.27B,,17.27B,1.070B,,,17.27B,18.81B,897.22M,-1.980B,5.052B,213.61M,897.20M,,,21.28M,3.777B
2007-06,381.18M,1.853B,2.234B,,,324.78M,,2.559B,,,,,,23.63B,-4.971B,18.66B,,,,1.853B,1.065B,,,21.58B,22.88B,,,,,,,,,,,16.44B,,16.44B,1.084B,,,16.44B,17.97B,897.28M,-1.957B,5.028B,164.34M,897.26M,,,22.91M,3.827B
2007-03,339.95M,1.874B,2.214B,,,339.34M,,2.554B,,,,,,23.40B,-4.800B,18.60B,,,,1.874B,2.947B,,,23.42B,23.74B,,,,,,,,,,,17.15B,,17.15B,1.121B,,,17.15B,18.67B,898.14M,-1.830B,5.029B,165.12M,898.12M,,,18.79M,3.951B
2006-12,929.36M,,929.36M,,,380.13M,,1.309B,,,,,,22.86B,-4.606B,18.26B,,,,1.526B,0.00,,,19.78B,22.08B,,,,,,,,,,,15.39B,,15.39B,,,,15.39B,18.10B,884.64M,-1.741B,5.010B,193.60M,884.62M,,,19.24M,3.980B
2006-09,322.95M,1.493B,1.815B,,,312.95M,,2.128B,,,,,,,,17.88B,,,,19.37B,,,,37.25B,21.00B,,,,,,,,,,,14.24B,,14.24B,1.208B,,,14.24B,15.69B,1.072B,-1.777B,4.985B,193.68M,1.072B,,,17.38M,4.104B
2006-06,330.28M,,330.28M,,,307.97M,,638.25M,,,,,,,,17.83B,,,,19.36B,,,,37.19B,20.92B,,,,,,,,,,,14.13B,,14.13B,1.234B,,,14.13B,15.51B,1.069B,-1.700B,4.976B,193.68M,1.069B,,,18.45M,4.170B
2006-03,299.04M,1.567B,1.866B,,,323.11M,,2.189B,,,,,,,,17.85B,,,,19.42B,,,,37.27B,21.02B,,,,,,,,,,,14.14B,,14.14B,1.255B,,,14.14B,15.52B,1.080B,-1.615B,4.963B,194.46M,1.080B,,,10.84M,4.245B
2005-12,337.05M,,337.05M,,,357.08M,,694.13M,,,,,,21.75B,-3.809B,17.94B,,,,1.563B,,,,19.50B,21.13B,,,,,,,,,,,14.11B,,14.11B,,,,14.11B,16.82B,1.080B,-1.551B,4.999B,230.09M,1.080B,,,9.793M,4.307B
2005-09,422.79M,,422.79M,,,306.90M,,729.69M,,,,,,21.60B,-3.638B,17.96B,,,,1.598B,,,,19.56B,21.34B,,,,,,,,,,,14.33B,,14.33B,1.287B,,,14.33B,15.72B,1.078B,-1.513B,5.025B,230.09M,1.078B,,,4.217M,3.041B
2005-06,375.58M,,375.58M,,,310.61M,,686.18M,,,,,,21.16B,-3.441B,17.72B,,,,1.710B,,,,19.43B,21.32B,,,,,,,,,,,14.25B,,14.25B,1.327B,,,14.25B,15.54B,1.072B,-1.433B,5.017B,171.44M,1.072B,,,7.053M,3.535B
2005-03,283.53M,,283.53M,,,319.92M,,603.45M,,,,,,21.25B,-3.328B,17.92B,,,,1.829B,,,,19.75B,21.52B,,,,,,,,,,,14.53B,,14.53B,1.343B,,,14.53B,15.74B,1.070B,-1.433B,5.001B,172.01M,1.070B,,,14.61M,3.504B
2004-12,520.08M,,520.08M,,,,,520.08M,,,,,,,,,,,,,,,,,22.07B,,,,,,,,,,,14.59B,,14.59B,1.378B,,,14.59B,16.05B,0.023M,-1.335B,4.994B,72.92M,,,,,4.643B
2004-09,488.97M,,488.97M,,,293.86M,,782.84M,,,,,,16.11B,-2.981B,13.13B,,,,1.658B,,,,14.79B,16.18B,,,,,,,,,,,11.03B,,11.03B,1.016B,,,11.03B,11.98B,365.89M,-1.304B,4.190B,52.52M,365.87M,,,14.37M,2.173B
2004-06,519.07M,,519.07M,,,285.76M,,804.83M,,,,,,16.02B,-2.856B,13.17B,,,,1.641B,,,,14.81B,16.26B,,,,,,,,,,,11.05B,,11.05B,1.033B,,,11.05B,11.98B,365.79M,-1.244B,4.189B,52.52M,365.77M,,,18.14M,2.216B
2004-03,489.76M,,489.76M,,,257.47M,,747.22M,,,,,,15.34B,-2.707B,12.64B,,,,1.647B,,,,14.28B,15.66B,,,,,,,,,,,10.51B,,10.51B,1.086B,,,10.51B,11.29B,365.67M,-1.181B,4.160B,52.52M,365.65M,,,16.24M,2.191B
2003-12,535.62M,,535.62M,,,,,535.62M,,,,,,,,12.42B,,,,,,,,12.42B,15.68B,,,,,,,,,,,10.27B,,10.27B,1.117B,,,10.27B,11.23B,0.021M,-1.097B,4.121B,52.52M,,,,,3.339B
2003-09,361.07M,,361.07M,,,275.99M,,637.06M,,,,,,14.82B,-2.479B,12.34B,37.21M,,37.21M,1.487B,,,,13.87B,15.10B,,,,,,,,,,,10.00B,,10.00B,929.60M,,,10.00B,10.83B,814.62M,-1.148B,3.736B,52.52M,814.60M,,,13.59M,2.419B
2003-06,351.41M,,351.41M,,,264.88M,,616.29M,,,,,,14.40B,-2.372B,12.03B,37.21M,,37.21M,1.577B,,,,13.65B,14.83B,,,,,,,,,,,9.702B,,9.702B,948.82M,,,9.702B,10.47B,814.51M,-1.078B,3.734B,52.52M,814.49M,,,5.117M,2.457B
2003-03,406.94M,,406.94M,,,270.03M,,676.97M,,,,,,14.45B,-2.288B,12.16B,37.21M,,37.21M,1.590B,,,,13.79B,14.97B,,,,,,,,,,,9.804B,,9.804B,970.39M,,,9.804B,10.54B,814.39M,-1.014B,3.732B,52.52M,814.37M,,,6.654M,2.495B
2002-12,397.13M,,397.13M,,,,,397.13M,,,,,,,,12.03B,,,,,,,,12.03B,14.90B,,,,,,,,,,,9.546B,,9.546B,1.024B,,,9.546B,10.41B,0.019M,-961.34M,3.686B,52.52M,,,,,3.468B
2002-09,223.85M,,223.85M,,,375.92M,,599.76M,,,,,,14.19B,-2.137B,12.06B,37.21M,,37.21M,1.687B,,,,13.78B,14.76B,567.71M,0.00,567.71M,,567.71M,,,,,567.71M,9.549B,,9.549B,1.179B,,,9.549B,10.13B,814.18M,-953.05M,3.670B,52.33M,814.16M,,,-7.081M,2.588B
2002-06,220.20M,,220.20M,,,380.66M,,600.85M,,,,,,13.74B,-2.010B,11.73B,37.21M,,37.21M,1.793B,,,,13.56B,14.49B,484.53M,17.64M,502.17M,,502.17M,,,,,502.17M,9.597B,,9.597B,987.93M,,,9.597B,10.27B,814.06M,-909.23M,3.400B,52.33M,814.04M,,,-7.286M,2.397B
2002-03,240.25M,,240.25M,,,376.28M,,616.53M,,,,,,13.19B,-1.950B,11.24B,37.21M,,37.21M,1.383B,,,,12.66B,13.61B,524.59M,19.31M,543.90M,,543.90M,,,,,543.90M,8.812B,,8.812B,948.71M,,,8.812B,9.505B,877.60M,-985.28M,3.341B,52.33M,877.59M,,,-8.573M,2.361B
2001-12,259.76M,,259.76M,,,396.58M,,656.34M,,,,,,13.19B,-1.877B,11.32B,37.21M,,37.21M,1.451B,,,,12.81B,13.81B,,,,,,,,,,,8.841B,,8.841B,971.09M,,,8.841B,9.625B,877.49M,-927.65M,3.348B,52.52M,877.47M,,,-9.893M,2.394B
2001-09,152.82M,,152.82M,370.83M,0.00,370.83M,,523.65M,,,,,,13.22B,-1.774B,11.44B,37.50M,,37.50M,1.362B,,,,12.84B,13.68B,483.24M,19.32M,502.56M,,502.56M,,,,,502.56M,8.792B,,8.792B,997.16M,,,8.792B,9.450B,877.37M,-876.79M,3.321B,52.33M,877.35M,,,-10.26M,2.389B
