,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.296B,1.394B,255.32M,1.139B,34.80M,12.63M,47.43M,,135.28M,,,205.49M,-205.49M,72.57M,436.93M,701.93M,205.49M,-205.49M,225.30M,-205.49M,721.74M,6.22M,715.52M,,,-94.04M,0.834M,621.49M,487.38M,1.262B,334.67M,927.24M,2.0,,,,1.568,2.0,2.0,,,,1.568,2.0,310.58M,310.58M,1.95
2017-12,2.485B,1.416B,245.17M,1.171B,42.42M,11.88M,54.30M,,-1.342M,,,204.98M,-204.98M,42.28M,421.76M,749.45M,204.98M,-204.98M,121.72M,-204.98M,666.18M,6.362M,659.82M,,,-87.87M,0.834M,571.95M,573.28M,1.216B,345.02M,871.17M,1.84,,,,1.844,1.84,1.84,,,,1.844,1.84,310.85M,310.85M,1.85
2017-09,926.76M,1.404B,256.11M,1.148B,36.01M,13.01M,49.02M,,0.00,,,199.03M,-199.03M,91.40M,457.46M,690.07M,199.03M,-199.03M,116.11M,-199.03M,607.15M,14.51M,592.64M,,,-78.02M,0.834M,514.62M,514.62M,1.143B,336.73M,806.18M,1.65,,,,1.65,1.65,1.65,,,,1.65,1.65,310.85M,310.85M,1.8
2017-06,912.68M,1.362B,242.49M,1.119B,36.50M,13.07M,49.57M,,-123.63M,,,207.17M,-207.17M,60.95M,432.91M,686.15M,207.17M,-207.17M,-31.61M,-207.17M,447.36M,5.99M,441.37M,,,-58.55M,0.834M,382.82M,504.80M,994.40M,339.86M,654.54M,1.23,,,,1.621,1.23,1.23,,,,1.621,1.23,311.58M,311.58M,1.75
2017-03,905.55M,1.346B,236.31M,1.109B,35.95M,14.00M,49.95M,,0.00,,,198.20M,-198.20M,72.00M,432.78M,676.67M,198.20M,-198.20M,69.08M,-198.20M,547.55M,-3.521M,551.08M,,,-72.50M,0.834M,478.57M,478.57M,1.082B,335.75M,745.76M,1.53,,,,1.53,1.53,1.53,,,,1.53,1.53,312.81M,312.81M,1.75
2016-12,970.47M,1.426B,242.49M,1.183B,38.90M,19.94M,58.84M,,-128.68M,,,209.51M,-209.51M,87.42M,482.98M,700.50M,209.51M,-209.51M,-34.34M,-209.51M,456.66M,1.052M,455.60M,,,-60.34M,0.834M,395.26M,523.65M,1.022B,355.90M,666.16M,1.26,,,,1.669,1.26,1.26,,,,1.669,1.26,313.69M,313.69M,1.65
2016-09,924.61M,1.357B,255.00M,1.102B,35.70M,15.15M,50.85M,,49.56M,,,214.86M,-214.86M,63.37M,425.97M,676.19M,214.86M,-214.86M,132.94M,-214.86M,594.26M,6.325M,587.94M,,,-82.36M,0.834M,505.58M,456.54M,1.139B,329.40M,809.13M,1.61,,,,1.454,1.61,1.61,,,,1.454,1.61,314.23M,314.23M,1.65
2016-06,887.95M,1.315B,235.10M,1.080B,33.17M,15.12M,48.30M,,4.209M,,,214.00M,-214.00M,69.16M,421.04M,659.24M,214.00M,-214.00M,89.20M,-214.00M,534.44M,7.115M,527.32M,,,-71.10M,0.834M,456.22M,452.07M,1.073B,324.85M,748.44M,1.45,,,,1.4369999999999998,1.45,1.45,,,,1.4369999999999998,1.45,313.40M,313.40M,1.6
2016-03,880.85M,1.337B,238.55M,1.098B,35.04M,14.86M,49.90M,,22.69M,,,219.19M,-219.19M,62.75M,413.27M,684.90M,219.19M,-219.19M,113.31M,-219.19M,579.02M,15.19M,563.84M,,,-82.01M,0.834M,481.83M,459.74M,1.116B,317.80M,798.22M,1.55,,,,1.479,1.55,1.55,,,,1.479,1.55,309.42M,309.42M,1.6
2015-12,947.84M,1.381B,243.66M,1.137B,36.13M,15.15M,51.27M,,-93.70M,,,230.90M,-230.90M,71.64M,427.24M,709.73M,230.90M,-230.90M,-12.19M,-230.90M,466.65M,6.73M,459.92M,,,-66.79M,0.834M,393.13M,485.48M,1.016B,318.52M,697.54M,1.27,0.0,,,1.568,1.27,1.27,0.0,,,1.568,1.27,309.41M,309.41M,1.6
2015-09,874.37M,1.320B,251.15M,1.069B,38.76M,14.84M,53.59M,,,,,229.65M,-229.65M,68.44M,411.40M,657.59M,229.65M,-229.65M,68.22M,-229.65M,496.15M,3.658M,492.50M,,,-71.65M,0.834M,420.84M,420.84M,1.031B,305.44M,725.81M,1.36,,,,1.36,1.36,1.36,,,,1.36,1.36,309.42M,309.42M,1.55
2015-06,845.19M,1.349B,229.00M,1.120B,41.22M,15.34M,56.56M,,16.34M,,,230.97M,-230.97M,65.38M,417.72M,702.38M,230.97M,-230.97M,86.54M,-230.97M,557.95M,3.42M,554.53M,,,-80.75M,0.834M,473.78M,457.54M,1.102B,312.58M,788.92M,1.52,,,,1.4680000000000002,1.52,1.52,,,,1.4680000000000002,1.52,310.50M,310.50M,1.5
2015-03,827.48M,1.216B,236.38M,979.86M,18.76M,15.00M,33.76M,,206.93M,,,232.17M,-232.17M,58.82M,380.68M,599.17M,232.17M,-232.17M,271.80M,-232.17M,638.80M,6.362M,632.44M,,,-92.47M,0.834M,539.97M,335.10M,1.174B,302.67M,870.97M,1.73,,,,1.071,1.73,1.73,,,,1.071,1.73,311.10M,311.10M,1.4
2014-12,892.16M,1.297B,224.59M,1.073B,37.53M,15.12M,52.64M,,4.066M,,,233.66M,-233.66M,70.14M,417.24M,655.29M,233.66M,-233.66M,62.37M,-233.66M,484.00M,8.007M,475.99M,0.00,,-70.11M,0.834M,405.88M,401.88M,1.030B,312.15M,717.66M,1.3,0.0,,,1.287,1.3,1.3,0.0,,,1.287,1.3,310.78M,310.78M,1.3
2014-09,829.11M,1.235B,225.52M,1.009B,38.36M,14.39M,52.75M,,-109.86M,,,249.78M,-249.78M,67.21M,401.62M,607.56M,249.78M,-249.78M,-54.22M,-249.78M,303.55M,6.589M,296.96M,0.00,,-44.16M,0.834M,252.80M,360.27M,856.25M,302.92M,553.33M,0.81,0.0,,,1.156,0.81,0.81,0.0,,,1.156,0.81,310.77M,310.77M,1.3
2014-06,801.79M,1.182B,213.68M,968.30M,38.15M,15.60M,53.75M,,133.87M,,,254.93M,-254.93M,65.81M,406.77M,561.53M,254.93M,-254.93M,189.63M,-254.93M,496.24M,6.626M,489.61M,-12.14M,,-70.05M,0.834M,407.42M,287.48M,1.091B,340.15M,751.16M,1.34,-0.03,,,0.9149,1.31,1.34,-0.03,,,0.9149,1.31,310.74M,310.74M,1.3
2014-03,784.56M,1.157B,219.02M,938.00M,22.62M,14.86M,37.47M,,2.655M,,,254.23M,-254.23M,59.07M,377.04M,560.96M,254.23M,-254.23M,59.73M,-254.23M,366.46M,6.863M,359.60M,41.50M,,-58.62M,0.834M,342.48M,298.37M,951.26M,330.56M,620.70M,0.99,0.11,,,0.9816,1.1,0.99,0.11,,,0.9816,1.1,310.62M,310.62M,1.25
2013-12,854.55M,1.251B,218.94M,1.032B,42.77M,15.33M,58.09M,,7.609M,,,273.85M,-273.85M,62.83M,404.45M,627.77M,273.85M,-273.85M,56.18M,-273.85M,410.10M,9.765M,400.34M,48.97M,,-66.91M,0.834M,382.39M,325.99M,1.025B,341.24M,683.95M,1.23,0.14,,,1.206,1.23,1.229,0.14,,,1.205,1.229,310.44M,310.44M,1.2
2013-09,779.63M,1.147B,214.74M,932.14M,28.46M,14.55M,43.00M,,11.07M,,,270.70M,-270.70M,61.36M,383.66M,548.48M,270.70M,-270.70M,58.63M,-270.70M,336.41M,7.70M,328.71M,38.58M,,-54.78M,0.834M,312.51M,263.11M,945.47M,338.36M,607.11M,0.89,0.11,,,0.8551,1.0,0.89,0.11,,,0.8551,1.0,310.33M,310.33M,1.15
2013-06,745.54M,1.085B,204.64M,880.35M,27.55M,15.42M,42.97M,,68.07M,,,266.23M,-266.23M,53.90M,370.41M,509.94M,266.23M,-266.23M,124.38M,-266.23M,368.09M,8.959M,359.13M,41.40M,,-59.76M,0.834M,340.77M,232.96M,965.70M,331.38M,634.32M,0.99,0.11,,,0.776,1.1,0.9622,0.11,,,0.7482,1.0959999999999999,310.26M,310.26M,1.15
2013-03,845.34M,1.215B,249.34M,965.72M,21.26M,14.51M,35.77M,,20.77M,,,285.03M,-285.03M,55.63M,408.03M,557.69M,285.03M,-285.03M,75.00M,-285.03M,347.66M,13.19M,334.47M,,,-50.50M,0.834M,283.97M,263.99M,954.66M,321.97M,632.69M,0.91,,,,0.8455,0.91,0.91,,,,0.8455,0.91,309.99M,309.99M,1.15
2012-12,499.35M,720.50M,57.21M,663.30M,32.05M,14.36M,46.40M,,18.10M,,,232.65M,-232.65M,61.92M,269.49M,393.80M,232.65M,-232.65M,58.80M,-232.65M,219.95M,5.843M,214.11M,,,-54.28M,0.834M,316.22M,142.20M,813.59M,360.99M,452.60M,1.01,,,,0.9531,1.01,1.01,,,,0.9531,1.01,309.46M,309.46M,1.1
2012-09,842.50M,1.229B,264.63M,963.99M,28.11M,14.16M,42.28M,,-2.911M,,,288.90M,-288.90M,46.51M,399.04M,564.95M,288.90M,-288.90M,34.22M,-288.90M,310.28M,3.904M,306.37M,,,-50.62M,0.834M,255.76M,258.63M,919.29M,320.12M,599.17M,0.84,,,,0.8495,0.84,0.84,,,,0.8495,0.84,304.11M,304.11M,1.05
2012-06,805.97M,1.188B,249.46M,938.61M,28.55M,14.73M,43.28M,,0.00,,,288.56M,-288.56M,59.13M,414.28M,524.33M,288.56M,-288.56M,29.13M,-288.56M,264.90M,3.963M,260.94M,,,-44.66M,0.834M,216.28M,216.28M,875.15M,321.69M,553.46M,0.71,,,,0.71,0.71,0.71,,,,0.71,0.71,303.25M,303.25M,1.0
2012-03,762.06M,1.119B,229.08M,889.89M,21.10M,13.89M,34.99M,,494.84M,,,258.08M,-258.08M,53.07M,373.16M,516.72M,258.08M,-258.08M,525.19M,-258.08M,783.83M,2.003M,781.83M,,,-135.58M,0.834M,646.24M,152.67M,1.340B,298.50M,1.042B,2.18,,,,0.5108,2.18,2.18,,,,0.5108,2.18,295.69M,295.69M,0.95
2011-12,-201.52M,1.171B,588.81M,582.53M,34.38M,-156.29M,-121.90M,,124.56M,,,246.51M,-246.51M,159.76M,41.44M,541.09M,246.51M,-246.51M,156.23M,-246.51M,450.82M,8.889M,441.93M,,,-78.17M,0.834M,363.76M,241.66M,990.71M,293.38M,697.33M,1.24,,,,0.8244,1.24,1.24,,,,0.8245,1.24,293.83M,293.84M,0.9
2011-09,1.074B,1.074B,122.45M,951.91M,25.77M,69.96M,95.74M,,78.31M,,87.26M,244.38M,-244.38M,24.51M,468.32M,483.60M,244.38M,-244.38M,95.43M,-244.38M,334.64M,0.86M,333.78M,,,-58.95M,0.834M,274.83M,196.73M,853.66M,274.64M,579.02M,0.93,0.0,,,0.6641,0.93,0.93,0.0,,,0.6641,0.93,293.74M,293.76M,0.8
2011-06,1.041B,1.041B,109.02M,931.84M,24.96M,65.08M,90.04M,,,0.274M,93.42M,244.52M,-244.52M,19.23M,464.26M,467.57M,244.52M,-244.52M,13.82M,-244.52M,236.88M,0.703M,250.52M,,,-44.57M,0.834M,205.96M,205.96M,751.53M,270.14M,481.39M,0.7,0.0,,,0.7,0.7,0.7,0.0,,,0.7,0.7,293.37M,293.40M,0.8
2011-03,1.020B,1.020B,99.54M,920.33M,21.89M,67.56M,89.45M,,,1.405M,93.26M,248.12M,-248.12M,19.02M,469.44M,450.89M,248.12M,-248.12M,18.62M,-248.12M,221.39M,1.142M,219.67M,,,-39.42M,0.834M,180.25M,180.25M,743.79M,274.28M,469.51M,0.61,0.0,,,0.61,0.61,0.61,0.0,,,0.61,0.61,293.08M,293.29M,0.8
2010-12,-176.56M,1.120B,547.00M,572.72M,-27.91M,-131.89M,-159.80M,,-32.04M,,,252.40M,-252.40M,,41.50M,531.22M,252.40M,-252.40M,-6.85M,-252.40M,271.96M,4.888M,267.08M,,,-48.32M,0.835M,218.76M,250.22M,809.00M,284.63M,524.37M,0.75,,,,0.8574,0.75,0.75,,,,0.8573,0.75,292.95M,293.18M,0.8
2010-09,979.28M,979.28M,115.65M,863.63M,69.02M,54.01M,123.03M,185.06M,93.30M,-3.096M,86.68M,249.26M,-249.26M,,449.92M,413.71M,249.26M,-249.26M,115.84M,-249.26M,280.28M,-0.249M,280.53M,,,-49.07M,0.834M,231.46M,170.81M,786.86M,257.31M,529.55M,0.79,0.0,,,0.5829,0.79,0.79,0.0,,,0.5831,0.79,292.83M,293.09M,0.6
2010-06,933.57M,933.57M,101.23M,832.33M,33.55M,52.98M,86.53M,0.00,0.00,4.487M,78.66M,261.46M,-261.46M,13.00M,416.86M,415.47M,261.46M,-261.46M,10.61M,-261.46M,164.62M,-0.51M,185.15M,,,-33.31M,-0.665M,151.84M,151.84M,666.30M,240.22M,426.08M,0.52,0.0,,,0.52,0.52,0.52,0.0,,,0.52,0.52,292.32M,292.61M,0.6
2010-03,925.07M,925.07M,98.77M,826.30M,22.54M,46.17M,68.71M,165.62M,-165.62M,-3.451M,89.73M,263.96M,-263.96M,15.49M,399.39M,426.92M,263.96M,-263.96M,-148.04M,-263.96M,14.91M,0.202M,20.75M,,,-5.771M,5.61M,14.98M,178.36M,512.73M,233.86M,278.87M,0.03,0.0,,,0.601,0.03,0.03,0.0,,,0.6004,0.03,286.12M,286.44M,0.6
2009-12,1.028B,1.028B,98.90M,929.28M,37.71M,64.38M,102.09M,0.00,-129.68M,3.319M,82.78M,263.70M,-263.70M,19.18M,446.80M,482.48M,263.70M,-263.70M,-105.15M,-263.70M,,,115.93M,,,-17.68M,6.712M,98.26M,182.55M,496.70M,244.16M,252.54M,0.33,0.0,,,0.6266,0.33,0.32,0.0,,,0.6156,0.32,284.15M,285.17M,0.6
2009-09,924.93M,924.93M,113.82M,811.12M,23.23M,50.56M,73.78M,0.00,0.00,-0.745M,79.85M,257.88M,-257.88M,15.90M,418.94M,392.18M,257.88M,-257.88M,4.655M,-257.88M,,,139.19M,,,-27.10M,6.539M,112.09M,112.09M,645.67M,253.49M,392.18M,0.38,0.0,,,0.38,0.38,0.38,0.0,,,0.38,0.38,281.43M,282.47M,0.6
2009-06,903.61M,903.61M,106.84M,796.78M,19.82M,52.17M,71.99M,0.00,-140.48M,7.066M,83.08M,244.44M,-244.44M,17.78M,431.60M,365.18M,244.44M,-244.44M,-134.98M,-244.44M,,,-14.11M,,,-0.123M,6.529M,-14.23M,77.08M,619.40M,254.23M,365.18M,-0.08,0.0,,,0.2603,-0.08,-0.08,0.0,,,0.2603,-0.08,268.29M,268.29M,0.6
2009-03,918.49M,918.49M,106.15M,812.34M,18.51M,52.80M,71.30M,0.00,2.523M,,88.24M,226.04M,-226.04M,32.24M,448.13M,364.22M,226.04M,-226.04M,8.068M,-226.04M,,,146.25M,,,-32.95M,6.529M,113.30M,111.66M,621.82M,257.60M,364.22M,0.45,0.0,,,0.443,0.45,0.45,0.0,,,0.4431,0.45,235.91M,236.13M,0.9
2008-12,1.029B,1.029B,103.69M,925.63M,32.73M,74.28M,107.00M,,-21.17M,,80.59M,244.93M,-244.93M,-0.27M,480.26M,445.37M,244.93M,-244.93M,-1.986M,-244.93M,198.45M,2.005M,196.45M,,,-44.08M,7.139M,152.34M,173.33M,713.36M,269.98M,443.39M,0.65,0.0,,,0.7421,0.65,0.64,0.0,,,0.7319,0.64,227.53M,227.96M,0.9
2008-09,935.59M,935.59M,127.52M,808.08M,22.94M,59.75M,82.69M,,,,84.10M,239.96M,-239.96M,22.02M,424.73M,383.35M,239.96M,-239.96M,17.31M,-239.96M,160.71M,0.972M,159.74M,,,-35.64M,11.28M,124.09M,124.09M,637.00M,236.34M,400.66M,0.5,0.0,,,0.5,0.5,0.5,0.0,,,0.5,0.5,225.36M,225.93M,0.9
2008-06,922.95M,922.95M,111.91M,811.04M,21.74M,65.78M,87.52M,,-20.33M,6.781M,85.45M,232.34M,-232.34M,15.63M,432.00M,379.04M,232.34M,-232.34M,-31.72M,-232.34M,114.98M,0.627M,114.35M,,,-26.44M,11.34M,87.92M,108.14M,583.93M,225.50M,347.32M,0.34,0.0,,,0.4299,0.34,0.34,0.0,,,0.4296,0.34,224.98M,225.57M,0.9
2008-03,895.30M,895.30M,112.76M,782.54M,19.37M,73.92M,93.30M,,,6.582M,84.52M,229.92M,-229.92M,18.32M,430.76M,351.78M,229.92M,-229.92M,7.141M,-229.92M,129.00M,-0.023M,129.02M,,,-29.74M,11.35M,99.28M,99.28M,586.96M,225.01M,358.92M,0.39,0.0,,,0.39,0.39,0.39,0.0,,,0.39,0.39,223.46M,224.07M,0.9
2007-12,1.036B,1.036B,111.46M,924.12M,32.85M,81.50M,114.35M,,-59.49M,4.462M,77.13M,241.56M,-241.56M,19.24M,450.27M,473.85M,241.56M,-241.56M,-59.09M,-241.56M,133.08M,-12.73M,145.81M,-20.80M,,,12.08M,125.00M,184.48M,609.74M,228.26M,374.64M,0.61,-0.1,,,0.7834,0.51,0.6,-0.1,,,0.7729,0.5,223.01M,223.69M,0.84
2007-09,907.14M,907.14M,121.70M,785.45M,22.19M,64.18M,86.38M,,88.08M,3.134M,77.94M,238.16M,-238.16M,14.64M,406.75M,378.70M,238.16M,-238.16M,96.57M,-238.16M,186.99M,0.648M,186.34M,-7.118M,,,14.29M,179.23M,98.57M,649.81M,217.50M,425.15M,0.77,-0.03,,,0.3766,0.74,0.77,-0.03,,,0.3779,0.74,223.10M,223.85M,0.84
2007-06,855.93M,855.93M,112.12M,743.81M,20.41M,64.13M,84.54M,,-2.636M,1.424M,79.06M,243.65M,-243.65M,14.62M,410.26M,333.55M,243.65M,-243.65M,4.823M,-243.65M,73.68M,-0.528M,74.20M,0.017M,,,14.30M,74.22M,75.92M,547.94M,221.94M,317.33M,0.27,0.0,,,0.2777,0.27,0.27,0.0,,,0.2776,0.27,223.40M,224.24M,0.84
2007-03,852.14M,852.14M,,,18.88M,3.899M,22.78M,,,0.542M,,,,264.58M,503.18M,348.97M,,,,,,,112.95M,-0.162M,,-2.91M,14.41M,112.79M,112.95M,564.24M,207.58M,348.97M,0.44,0.0,,,0.44,0.44,0.44,0.0,,,0.44,0.44,223.59M,223.59M,0.84
2006-12,927.03M,927.03M,,,32.82M,2.732M,35.55M,,,4.647M,,,,273.18M,537.38M,389.65M,,,,,,,226.75M,0.176M,,-4.012M,22.32M,226.99M,226.82M,613.65M,212.73M,389.65M,0.93,0.0,,,0.93,0.93,0.92,0.0,,,0.92,0.92,218.99M,223.03M,0.76
2006-09,818.74M,818.74M,,,17.72M,4.422M,22.14M,,,0.393M,,,,263.49M,497.41M,321.32M,,,,,,,112.95M,0.045M,,-3.154M,18.40M,113.00M,112.95M,532.71M,198.79M,321.32M,0.43,0.0,,,0.43,0.43,0.43,0.0,,,0.43,0.43,219.98M,219.98M,0.76
2006-06,798.74M,798.74M,,,20.54M,5.005M,25.55M,,-0.334M,4.466M,,,,247.31M,488.69M,310.05M,,,-0.334M,,,,101.28M,,,-3.433M,18.40M,101.26M,101.46M,521.41M,201.45M,310.05M,0.37,0.0,,,0.3709,0.37,0.37,0.0,,,0.3709,0.37,223.97M,223.97M,0.76
2006-03,787.65M,787.65M,,,17.40M,4.493M,21.90M,,,0.006M,,,,257.10M,488.44M,299.20M,,,,,,,122.43M,,,-0.925M,18.57M,122.59M,122.59M,508.65M,199.75M,299.20M,0.47,0.0,,,0.47,0.47,0.47,0.0,,,0.47,0.47,221.31M,221.31M,0.76
2005-12,826.19M,889.79M,,,34.64M,-87.92M,-53.27M,,,4.796M,,,,-1.062B,541.62M,348.17M,,,-13.34M,,51.65M,5.013M,46.64M,114.23M,,-5.009M,18.52M,134.18M,19.95M,580.26M,216.26M,348.17M,0.45,0.07,,,0.45,0.52,0.45,0.07,,,0.45,0.52,222.74M,222.74M,0.7
2005-09,801.62M,783.01M,,,20.97M,4.993M,25.97M,,,2.727M,-484.17M,,,736.63M,484.17M,298.84M,,,-0.055M,,113.12M,3.796M,109.32M,4.695M,,-3.174M,18.52M,92.88M,88.24M,501.86M,196.80M,298.84M,0.3,0.04,,,0.3002,0.34,0.3,0.04,,,0.3002,0.34,218.70M,218.70M,0.7
2005-06,768.67M,752.08M,,,18.64M,-14.19M,4.454M,,,,-463.26M,,,717.57M,463.26M,288.82M,,,,,91.04M,-2.734M,102.64M,0.25M,,-2.253M,18.41M,173.22M,172.97M,493.32M,199.34M,288.82M,0.27,0.43,,,0.27,0.7,0.27,0.43,,,0.27,0.7,221.16M,221.16M,0.7
2005-03,770.37M,741.97M,,,18.12M,-14.33M,3.787M,,-10.84M,,-472.38M,,,730.66M,472.38M,269.60M,,,-0.363M,,74.39M,-4.686M,94.80M,3.253M,,-3.307M,18.40M,75.46M,72.43M,479.89M,206.07M,269.60M,0.25,0.01,,,0.251,0.26,0.25,0.01,,,0.251,0.26,219.49M,219.49M,0.7
2004-12,747.84M,807.89M,,,,,,,,,,,,,,1.878B,,,,,,,70.18M,,,,,83.94M,90.28M,1.878B,,1.878B,0.57,-0.06,,,0.57,0.51,0.56,-0.06,,,0.56,0.5,212.77M,218.53M,0.2402
2004-09,638.35M,613.33M,,,11.68M,3.615M,15.30M,,,3.41M,-367.70M,,,573.26M,367.70M,245.63M,,,1.121M,,107.94M,2.196M,105.74M,1.933M,,-2.209M,7.834M,81.98M,78.94M,394.93M,149.30M,245.63M,0.35,0.01,,,0.3447,0.36,0.35,0.01,,,0.3447,0.36,205.95M,205.95M,1.06
