,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,405.00M,224.00M,629.00M,486.00M,,486.00M,4.05B,,205.00M,5.638B,,,,,,,384.00M,6.549B,2.432B,8.981B,,416.00M,371.00M,10.15B,15.79B,,237.00M,128.00M,365.00M,111.00M,476.00M,498.00M,462.00M,,,960.00M,,960.00M,386.00M,386.00M,,4.214B,6.036B,3.155B,,3.155B,600.00M,106.00M,706.00M,,,,168.00M,5.452M,,,2.00M,4.146B,2.926B,289.00M,,,,-1.06B,5.725B,,AOR,Restated
2017-12,377.00M,235.00M,612.00M,356.00M,,356.00M,4.01B,,532.00M,5.51B,,,905.00M,,905.00M,-505.00M,400.00M,6.586B,2.468B,9.054B,,,390.00M,9.844B,15.35B,,177.00M,128.00M,305.00M,170.00M,475.00M,,480.00M,,,480.00M,,480.00M,161.00M,161.00M,,4.118B,5.234B,3.727B,,3.727B,225.00M,126.00M,351.00M,,,,162.00M,4.932M,,,2.00M,3.963B,3.024B,247.00M,,,,-862.00M,5.88B,,AOR,Restated
2017-09,530.00M,207.00M,737.00M,320.00M,,320.00M,3.914B,,175.00M,5.446B,,,,,,,379.00M,6.154B,2.091B,8.245B,,611.00M,391.00M,9.626B,15.07B,,168.00M,31.00M,199.00M,130.00M,329.00M,,,,,154.00M,,154.00M,204.00M,204.00M,,4.036B,4.723B,3.589B,,3.589B,726.00M,157.00M,883.00M,,,,142.00M,4.859M,,,2.00M,3.787B,3.012B,241.00M,,,,-825.00M,5.735B,,AOR,Restated
2017-06,356.00M,300.00M,656.00M,392.00M,,392.00M,3.689B,,184.00M,4.921B,,,,,,,384.00M,6.237B,2.102B,8.339B,,633.00M,383.00M,9.739B,14.66B,,149.00M,169.00M,318.00M,124.00M,442.00M,,,,,494.00M,,494.00M,265.00M,265.00M,,3.786B,4.987B,3.058B,,3.058B,732.00M,161.00M,893.00M,,,,146.00M,4.634M,,,2.00M,3.68B,3.011B,225.00M,,,,-892.00M,5.576B,,AOR,Restated
2017-03,386.00M,220.00M,606.00M,467.00M,,467.00M,3.711B,,163.00M,4.947B,,,,,,,376.00M,6.07B,2.082B,8.152B,,617.00M,398.00M,9.543B,14.49B,,187.00M,81.00M,268.00M,110.00M,378.00M,,,,,379.00M,,379.00M,322.00M,322.00M,,3.807B,4.886B,3.242B,,3.242B,702.00M,164.00M,866.00M,,,,144.00M,4.592M,,,2.00M,3.595B,2.963B,221.00M,,,,-987.00M,5.352B,,AOR,Restated
2016-12,403.00M,245.00M,648.00M,429.00M,,429.00M,3.316B,,167.00M,4.56B,,,919.00M,,919.00M,-557.00M,362.00M,6.027B,2.094B,8.121B,,717.00M,390.00M,9.59B,14.15B,,175.00M,108.00M,283.00M,207.00M,490.00M,,,,,,,,162.00M,162.00M,,3.43B,4.082B,3.603B,,3.603B,720.00M,171.00M,891.00M,,,,144.00M,3.922M,,,2.00M,3.479B,3.104B,176.00M,,,,-979.00M,5.43B,,AOR,Restated
2016-09,257.00M,238.00M,495.00M,349.00M,,349.00M,3.342B,,160.00M,4.346B,,,,,,,342.00M,6.206B,2.74B,8.946B,,768.00M,406.00M,10.46B,14.81B,,159.00M,27.00M,186.00M,175.00M,361.00M,,,,,20.00M,,20.00M,216.00M,216.00M,,3.457B,4.054B,3.689B,,3.689B,980.00M,191.00M,1.171B,,,,140.00M,3.820M,,,2.00M,3.757B,3.046B,169.00M,,,,-882.00M,5.754B,,AOR,Restated
2016-06,344.00M,255.00M,599.00M,399.00M,,399.00M,3.433B,,165.00M,4.596B,,,,,,,332.00M,6.236B,2.771B,9.007B,,741.00M,423.00M,10.50B,15.10B,,172.00M,160.00M,332.00M,129.00M,461.00M,,,,,,,,275.00M,275.00M,,3.572B,4.308B,3.731B,,3.731B,983.00M,199.00M,1.182B,,,,161.00M,3.798M,,,2.00M,3.679B,3.062B,166.00M,,,,-860.00M,5.717B,,AOR,Restated
2016-03,331.00M,259.00M,590.00M,333.00M,,333.00M,3.635B,,164.00M,4.722B,,,,,,,326.00M,5.663B,2.085B,7.748B,,604.00M,317.00M,8.995B,13.72B,,175.00M,80.00M,255.00M,87.00M,342.00M,,,,,,,,304.00M,304.00M,,3.783B,4.429B,2.565B,,2.565B,678.00M,188.00M,866.00M,,,,160.00M,3.452M,,,2.00M,3.609B,3.001B,145.00M,,,,-770.00M,5.697B,,AOR,Restated
2015-12,301.00M,201.00M,502.00M,316.00M,,316.00M,2.284B,,158.00M,3.26B,,,830.00M,,830.00M,-507.00M,323.00M,5.395B,1.959B,7.354B,,643.00M,281.00M,8.601B,11.86B,,158.00M,98.00M,256.00M,171.00M,427.00M,,,,,,,,127.00M,127.00M,,2.366B,2.92B,2.364B,,2.364B,626.00M,200.00M,826.00M,,,,142.00M,2.917M,,,2.00M,3.571B,3.011B,111.00M,,,,-864.00M,5.609B,,AOR,Restated
2015-09,290.00M,193.00M,483.00M,278.00M,,278.00M,2.193B,49.00M,157.00M,3.16B,,,,,,,305.00M,5.421B,1.981B,7.402B,,630.00M,273.00M,8.61B,11.77B,,173.00M,25.00M,198.00M,121.00M,319.00M,,,,,20.00M,,20.00M,164.00M,191.00M,27.00M,2.322B,2.852B,2.415B,,2.415B,603.00M,211.00M,814.00M,,0.00,,143.00M,2.816M,,,2.00M,3.464B,3.032B,105.00M,,,,-847.00M,5.546B,,AOR,Restated
2015-06,324.00M,264.00M,588.00M,323.00M,,323.00M,2.348B,35.00M,152.00M,3.446B,,,,,,,295.00M,5.469B,2.009B,7.478B,,621.00M,264.00M,8.658B,12.10B,,188.00M,147.00M,335.00M,94.00M,429.00M,,,,,,,,231.00M,261.00M,30.00M,2.456B,3.146B,2.281B,,2.281B,606.00M,208.00M,814.00M,,0.00,,147.00M,2.801M,,,2.00M,3.366B,3.257B,104.00M,,,,-805.00M,5.716B,,AOR,Restated
2015-03,328.00M,194.00M,522.00M,344.00M,,344.00M,2.654B,23.00M,145.00M,3.688B,,,,,,,281.00M,5.35B,1.995B,7.345B,,652.00M,276.00M,8.554B,12.24B,,207.00M,82.00M,289.00M,71.00M,360.00M,,,,,,,,282.00M,312.00M,30.00M,2.768B,3.44B,2.306B,,2.306B,587.00M,210.00M,797.00M,,1.00M,,154.00M,2.600M,,,2.00M,3.276B,3.243B,94.00M,,,,-883.00M,5.544B,,AOR,Restated
2014-12,427.00M,174.00M,601.00M,389.00M,,389.00M,2.243B,16.00M,151.00M,3.40B,,,760.00M,,760.00M,-468.00M,292.00M,5.538B,2.077B,7.615B,,536.00M,228.00M,8.671B,12.07B,,189.00M,124.00M,313.00M,143.00M,456.00M,,,,,,,,177.00M,214.00M,37.00M,2.31B,2.98B,2.297B,,2.297B,626.00M,215.00M,841.00M,,1.00M,,159.00M,1.530M,,,2.00M,3.292B,3.222B,41.00M,,,,-682.00M,5.793B,,AOR,Restated
2014-09,286.00M,169.00M,455.00M,370.00M,,370.00M,2.54B,30.00M,162.00M,3.557B,,,,,,,288.00M,5.802B,2.213B,8.015B,,585.00M,247.00M,9.135B,12.69B,,182.00M,26.00M,208.00M,110.00M,318.00M,,,,,,,,191.00M,228.00M,37.00M,2.648B,3.194B,2.345B,,2.345B,677.00M,221.00M,898.00M,,1.00M,,137.00M,48.73M,1.60M,,2.00M,3.231B,4.354B,1.145B,,,,-325.00M,6.117B,,AOR,Restated
2014-06,314.00M,203.00M,517.00M,395.00M,,395.00M,2.618B,22.00M,166.00M,3.718B,,,,,,,280.00M,6.068B,2.313B,8.381B,,482.00M,255.00M,9.398B,13.12B,,188.00M,154.00M,342.00M,100.00M,442.00M,,,,,,,,230.00M,268.00M,38.00M,2.714B,3.424B,2.408B,,2.408B,697.00M,232.00M,929.00M,,2.00M,,148.00M,48.05M,1.60M,,2.00M,3.134B,4.328B,1.117B,,,,-142.00M,6.205B,,AOR,Restated
2014-03,384.00M,197.00M,581.00M,434.00M,,434.00M,2.337B,17.00M,150.00M,3.519B,,,,,,,266.00M,6.173B,2.362B,8.535B,,415.00M,243.00M,9.459B,12.98B,,227.00M,74.00M,301.00M,96.00M,397.00M,,,,,430.00M,,430.00M,276.00M,312.00M,36.00M,2.439B,3.578B,2.084B,,2.084B,707.00M,222.00M,929.00M,,1.00M,,147.00M,45.61M,1.60M,,2.00M,3.032B,4.302B,1.026B,,,,-71.00M,6.239B,,AOR,Restated
2013-12,398.00M,189.00M,587.00M,393.00M,,393.00M,2.045B,12.00M,126.00M,3.163B,,,727.00M,,727.00M,-459.00M,268.00M,6.186B,2.386B,8.572B,,404.00M,170.00M,9.414B,12.58B,,228.00M,82.00M,310.00M,154.00M,464.00M,,,,,45.00M,,45.00M,151.00M,189.00M,38.00M,2.102B,2.80B,2.589B,,2.589B,708.00M,143.00M,851.00M,,0.00,,153.00M,45.06M,1.60M,,2.00M,2.976B,4.278B,1.005B,,,,-67.00M,6.184B,,AOR,Restated
2013-09,300.00M,190.00M,490.00M,372.00M,,372.00M,2.015B,54.00M,141.00M,3.072B,,,,,,,249.00M,6.191B,2.409B,8.60B,,399.00M,166.00M,9.414B,12.49B,,255.00M,19.00M,274.00M,115.00M,389.00M,,,,,45.00M,,45.00M,187.00M,225.00M,38.00M,2.048B,2.707B,2.673B,,2.673B,716.00M,152.00M,868.00M,,1.00M,,182.00M,46.02M,1.60M,,2.00M,2.857B,4.27B,1.023B,,,,-51.00M,6.055B,,AOR,Restated
2013-06,379.00M,170.00M,549.00M,362.00M,,362.00M,1.494B,51.00M,154.00M,2.61B,,,,,,,227.00M,6.048B,2.383B,8.431B,,478.00M,207.00M,9.343B,11.95B,,252.00M,145.00M,397.00M,84.00M,481.00M,,,,,138.00M,,138.00M,222.00M,258.00M,36.00M,1.539B,2.416B,2.647B,,2.647B,689.00M,146.00M,835.00M,,1.00M,,192.00M,46.21M,1.60M,,2.00M,2.765B,4.261B,1.027B,,,,-139.00M,5.862B,,AOR,Restated
2013-03,591.00M,218.00M,809.00M,317.00M,,317.00M,312.00M,46.00M,124.00M,1.608B,,,,,,,215.00M,5.309B,1.619B,6.928B,,291.00M,146.00M,7.58B,9.188B,,217.00M,71.00M,288.00M,59.00M,347.00M,,,,,137.00M,,137.00M,250.00M,285.00M,35.00M,345.00M,1.114B,1.829B,,1.829B,702.00M,148.00M,850.00M,,3.00M,,192.00M,47.67M,1.60M,,2.00M,2.699B,3.776B,1.059B,,,,-218.00M,5.20B,,AOR,Restated
2012-12,497.00M,223.00M,720.00M,333.00M,,333.00M,294.00M,33.00M,112.00M,1.492B,,,612.00M,,612.00M,-401.00M,211.00M,5.335B,1.65B,6.985B,,294.00M,150.00M,7.64B,9.132B,,172.00M,97.00M,269.00M,111.00M,380.00M,,,,,136.00M,,136.00M,139.00M,174.00M,35.00M,328.00M,1.018B,1.84B,,1.84B,713.00M,156.00M,869.00M,,1.00M,,196.00M,47.82M,1.60M,,2.00M,2.678B,3.771B,1.058B,,,,-185.00M,5.208B,,AOR,Restated
2012-09,438.00M,157.00M,595.00M,,,327.00M,81.00M,16.00M,310.00M,1.329B,,,,,,,203.00M,5.286B,1.645B,6.931B,,303.00M,154.00M,7.591B,8.92B,,149.00M,24.00M,173.00M,,173.00M,,,,45.00M,45.00M,,45.00M,165.00M,192.00M,27.00M,309.00M,805.00M,1.941B,,1.941B,686.00M,160.00M,846.00M,,1.00M,,192.00M,48.23M,1.60M,,2.00M,2.614B,3.804B,1.063B,,,,-222.00M,5.135B,,AOR,Restated
2012-06,491.00M,196.00M,687.00M,,,341.00M,36.00M,16.00M,330.00M,1.41B,,,,,,,198.00M,5.103B,1.625B,6.728B,,392.00M,199.00M,7.517B,8.927B,,160.00M,156.00M,316.00M,,316.00M,,,,45.00M,45.00M,,45.00M,201.00M,228.00M,27.00M,324.00M,987.00M,1.951B,,1.951B,661.00M,160.00M,821.00M,,9.00M,,198.00M,46.25M,1.60M,,2.00M,2.547B,3.797B,1.017B,,,,-368.00M,4.961B,,AOR,Restated
2012-03,525.00M,215.00M,740.00M,,,327.00M,38.00M,14.00M,287.00M,1.406B,,,,,,,195.00M,5.21B,1.68B,6.89B,,326.00M,204.00M,7.615B,9.021B,,147.00M,69.00M,216.00M,,216.00M,,,,45.00M,45.00M,,45.00M,237.00M,264.00M,27.00M,278.00M,859.00M,1.962B,,1.962B,684.00M,173.00M,857.00M,,9.00M,,182.00M,41.54M,1.60M,,2.00M,2.476B,3.798B,906.00M,,,,-218.00M,5.152B,,AOR,Restated
2011-12,506.00M,279.00M,785.00M,308.00M,,308.00M,51.00M,16.00M,3.855B,6.581B,,,585.00M,,585.00M,-392.00M,193.00M,5.061B,1.648B,6.709B,,392.00M,216.00M,7.51B,14.09B,,164.00M,106.00M,270.00M,132.00M,402.00M,,,,45.00M,45.00M,,45.00M,124.00M,151.00M,27.00M,5.44B,6.038B,2.072B,,2.072B,670.00M,154.00M,824.00M,,10.00M,,171.00M,39.85M,1.60M,,2.00M,2.391B,3.793B,860.00M,,,,-350.00M,4.976B,,AOR,Restated
2011-09,543.00M,294.00M,837.00M,,,347.00M,51.00M,20.00M,2.999B,5.677B,,,,,,,168.00M,5.046B,1.657B,6.703B,,385.00M,224.00M,7.48B,13.16B,,175.00M,30.00M,205.00M,,205.00M,,,,45.00M,45.00M,,45.00M,152.00M,178.00M,26.00M,4.447B,4.98B,2.168B,,2.168B,678.00M,158.00M,836.00M,,9.00M,,177.00M,36.25M,1.60M,,2.00M,2.31B,3.79B,769.00M,,,,-346.00M,4.987B,,AOR,Restated
2011-06,578.00M,320.00M,898.00M,,,344.00M,59.00M,24.00M,3.687B,6.429B,,,,,,,165.00M,5.345B,1.767B,7.112B,,273.00M,238.00M,7.788B,14.22B,,180.00M,147.00M,327.00M,,327.00M,,,,140.00M,140.00M,,140.00M,202.00M,229.00M,27.00M,5.135B,5.919B,2.069B,,2.069B,712.00M,170.00M,882.00M,,10.00M,,187.00M,36.32M,1.60M,,2.00M,2.20B,3.78B,770.00M,,,,-62.00M,5.15B,,AOR,Restated
2011-03,439.00M,283.00M,722.00M,,,327.00M,60.00M,8.00M,6.763B,10.18B,,,,,,,166.00M,5.339B,1.773B,7.112B,,358.00M,254.00M,7.89B,18.06B,,151.00M,70.00M,221.00M,,221.00M,,,,140.00M,140.00M,,140.00M,237.00M,264.00M,27.00M,9.099B,9.795B,2.15B,,2.15B,716.00M,172.00M,888.00M,,11.00M,,195.00M,37.08M,1.60M,,2.00M,2.108B,3.784B,786.00M,,,,-82.00M,5.026B,,AOR,Restated
2010-12,315.00M,253.00M,568.00M,,,298.00M,60.00M,13.00M,7.571B,8.51B,,,348.00M,180.00M,528.00M,-364.00M,164.00M,5.127B,1.719B,6.846B,,433.00M,254.00M,7.697B,16.21B,,,,224.00M,122.00M,346.00M,,,,,140.00M,,140.00M,122.00M,148.00M,26.00M,7.597B,8.231B,2.181B,,2.181B,698.00M,170.00M,868.00M,,11.00M,0.00,198.00M,37.59M,1.60M,,2.00M,2.004B,3.78B,796.00M,,,,-272.00M,4.718B,,AOR,Restated
2010-09,336.00M,2.00B,2.336B,,,308.00M,53.00M,17.00M,166.00M,2.88B,,,,,,,160.00M,5.041B,1.68B,6.721B,,403.00M,191.00M,7.475B,10.36B,,138.00M,19.00M,157.00M,97.00M,254.00M,,,,,140.00M,,140.00M,156.00M,182.00M,26.00M,1.791B,2.367B,1.846B,,1.846B,713.00M,169.00M,882.00M,,11.00M,0.00,182.00M,15.17M,1.60M,,2.00M,1.867B,3.776B,310.00M,,,,-268.00M,5.067B,,AOR,Restated
2010-06,526.00M,310.00M,836.00M,,,361.00M,31.00M,24.00M,1.636B,2.888B,,,,,,,154.00M,4.526B,1.513B,6.039B,,640.00M,189.00M,7.022B,9.91B,,172.00M,137.00M,309.00M,164.00M,473.00M,,,,,140.00M,,140.00M,188.00M,210.00M,22.00M,1.511B,2.334B,1.912B,,1.912B,644.00M,157.00M,801.00M,,10.00M,0.00,170.00M,10.29M,,,2.00M,1.766B,3.774B,212.00M,,,,-647.00M,4.683B,,AOR,Restated
2010-03,535.00M,2.107B,2.642B,,,377.00M,44.00M,22.00M,136.00M,3.221B,,,,,,,161.00M,4.77B,1.607B,6.377B,,523.00M,237.00M,7.298B,10.52B,,152.00M,57.00M,209.00M,165.00M,374.00M,,,,,105.00M,,105.00M,221.00M,245.00M,24.00M,1.846B,2.57B,1.986B,,1.986B,676.00M,159.00M,835.00M,,12.00M,16.00M,181.00M,2.638M,1.60M,,2.00M,1.67B,3.743B,58.00M,,,,-438.00M,4.919B,,AOR,Restated
2009-12,594.00M,308.00M,902.00M,,,301.00M,30.00M,25.00M,2.112B,3.37B,,,313.00M,178.00M,491.00M,-327.00M,164.00M,4.80B,1.631B,6.431B,,504.00M,253.00M,7.352B,10.72B,,,,262.00M,114.00M,376.00M,,,,,225.00M,,225.00M,105.00M,128.00M,23.00M,2.125B,2.854B,1.867B,,1.867B,683.00M,160.00M,843.00M,,12.00M,15.00M,199.00M,0.3277M,1.60M,,2.00M,1.61B,3.736B,10.00M,,,,-406.00M,4.932B,,AOR,Restated
2009-09,311.00M,3.826B,4.137B,,,379.00M,155.00M,43.00M,198.00M,4.912B,,,,,,,165.00M,4.922B,1.675B,6.597B,,403.00M,265.00M,7.43B,12.34B,,229.00M,41.00M,270.00M,202.00M,472.00M,,,,,169.00M,,169.00M,137.00M,161.00M,24.00M,3.569B,4.371B,1.92B,,1.92B,726.00M,159.00M,885.00M,,21.00M,,195.00M,0.3172M,1.60M,,2.00M,1.567B,3.723B,11.00M,,,,-331.00M,4.95B,,AOR,Restated
2009-06,419.00M,3.27B,3.689B,,,383.00M,152.00M,42.00M,171.00M,4.437B,,,,,,,170.00M,4.591B,1.581B,6.172B,,615.00M,266.00M,7.223B,11.66B,,236.00M,114.00M,350.00M,207.00M,557.00M,,,,,225.00M,,225.00M,171.00M,192.00M,21.00M,3.034B,4.008B,2.09B,,2.09B,688.00M,163.00M,851.00M,,22.00M,,198.00M,0.3118M,1.60M,,2.00M,1.507B,3.593B,11.00M,,,,-600.00M,4.491B,,AOR,Restated
2009-03,333.00M,4.272B,4.605B,,,355.00M,139.00M,33.00M,170.00M,5.302B,,,,,,,165.00M,4.381B,1.536B,5.917B,,720.00M,349.00M,7.151B,12.45B,,242.00M,24.00M,266.00M,212.00M,478.00M,,,,,225.00M,,225.00M,189.00M,209.00M,20.00M,4.048B,4.96B,2.229B,,2.229B,675.00M,157.00M,832.00M,,16.00M,,175.00M,0.3025M,1.60M,,2.00M,1.438B,3.578B,11.00M,,,,-766.00M,4.241B,,AOR,Restated
2008-12,374.00M,227.00M,601.00M,,,339.00M,141.00M,27.00M,4.32B,5.428B,,,258.00M,165.00M,423.00M,-240.00M,183.00M,4.492B,1.583B,6.075B,,659.00M,407.00M,7.324B,12.75B,,,,291.00M,322.00M,613.00M,,,,,225.00M,,225.00M,98.00M,117.00M,19.00M,4.122B,5.077B,2.299B,,2.299B,696.00M,155.00M,851.00M,,17.00M,0.00,222.00M,0.2914M,1.60M,,2.00M,1.344B,3.569B,10.00M,,,,-619.00M,4.286B,,,Restated
