,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,177.00M,0.00,,-2.00M,-2.00M,,,53.00M,53.00M,-9.00M,,,15.00M,,3.00M,-127.00M,6.00M,68.00M,-17.00M,208.00M,138.00M,,375.00M,,-16.00M,,-16.00M,0.00,8.00M,,-8.00M,,-115.00M,-18.00M,-133.00M,,-99.00M,-99.00M,-63.00M,-63.00M,,-42.00M,-337.00M,,399.00M,30.00M,0.00,429.00M,,,0.00,-133.00M,-99.00M,27.00M,33.00M,,AOR,Restated
2017-12,246.00M,0.00,,-5.00M,-5.00M,,,48.00M,48.00M,11.00M,,,18.00M,,7.00M,-19.00M,144.00M,-406.00M,52.00M,204.00M,-25.00M,,300.00M,,-42.00M,,-42.00M,-776.00M,-29.00M,30.00M,-817.00M,,115.00M,326.00M,441.00M,,-28.00M,-28.00M,-63.00M,-63.00M,21.00M,-6.00M,365.00M,,551.00M,-152.00M,0.00,399.00M,,,-14.00M,-25.00M,-28.00M,28.00M,15.00M,,AOR,Restated
2017-09,169.00M,0.00,,-4.00M,-4.00M,,,48.00M,48.00M,-12.00M,,,18.00M,,-3.00M,47.00M,-117.00M,308.00M,-42.00M,-317.00M,-121.00M,,95.00M,,-38.00M,,-38.00M,0.00,100.00M,-31.00M,31.00M,,485.00M,-340.00M,145.00M,,-19.00M,-19.00M,-64.00M,-64.00M,2.00M,-18.00M,46.00M,,374.00M,172.00M,5.00M,551.00M,,,158.00M,-13.00M,-19.00M,67.00M,17.00M,,AOR,Restated
2017-06,146.00M,,,-2.00M,-2.00M,,,47.00M,47.00M,-21.00M,,,19.00M,,14.00M,12.00M,53.00M,75.00M,-5.00M,-68.00M,67.00M,,270.00M,,-28.00M,,-28.00M,,-67.00M,-1.00M,-96.00M,,-660.00M,494.00M,-166.00M,,0.00,0.00,-63.00M,-63.00M,29.00M,-72.00M,-272.00M,,464.00M,-98.00M,8.00M,374.00M,,,504.00M,-670.00M,0.00,33.00M,68.00M,,AOR,Restated
2017-03,168.00M,,,-4.00M,-4.00M,,,45.00M,45.00M,29.00M,,,15.00M,,7.00M,-29.00M,-113.00M,-7.00M,-19.00M,152.00M,-16.00M,,244.00M,,-36.00M,,-36.00M,,28.00M,,-8.00M,,0.00,0.00,0.00,,-156.00M,-156.00M,-53.00M,-53.00M,1.00M,16.00M,-192.00M,,418.00M,44.00M,2.00M,464.00M,,,,0.00,-156.00M,26.00M,29.00M,,AOR,Restated
2016-12,-227.00M,,,4.00M,4.00M,,,45.00M,45.00M,-127.00M,,,31.00M,,4.00M,20.00M,125.00M,-50.00M,2.00M,-121.00M,-24.00M,,284.00M,,-49.00M,,-49.00M,-6.00M,-21.00M,10.00M,-66.00M,,-18.00M,0.00,-18.00M,,0.00,0.00,-53.00M,-53.00M,12.00M,-10.00M,-69.00M,,276.00M,149.00M,-7.00M,418.00M,,,20.00M,-38.00M,0.00,24.00M,23.00M,,AOR,Restated
2016-09,131.00M,,,-3.00M,-3.00M,,,46.00M,46.00M,-3.00M,,,20.00M,,1.00M,59.00M,-97.00M,-17.00M,-9.00M,-65.00M,-129.00M,,63.00M,,-34.00M,,-34.00M,0.00,16.00M,0.00,-18.00M,,-40.00M,0.00,-40.00M,,-55.00M,-55.00M,-53.00M,-53.00M,14.00M,-1.00M,-135.00M,,366.00M,-90.00M,0.00,276.00M,,,45.00M,-85.00M,-55.00M,40.00M,29.00M,,AOR,Restated
2016-06,70.00M,,,-1.00M,-1.00M,,,41.00M,41.00M,-9.00M,,,19.00M,,8.00M,-1.00M,102.00M,17.00M,-36.00M,-36.00M,46.00M,,174.00M,,-28.00M,,-28.00M,-1.247B,-4.00M,0.00,-1.279B,,1.189B,0.00,1.189B,,-16.00M,-16.00M,-53.00M,-53.00M,27.00M,-23.00M,1.124B,,352.00M,19.00M,-5.00M,366.00M,,,1.667B,-478.00M,-16.00M,92.00M,39.00M,,AOR,Restated
2016-03,132.00M,,,-2.00M,-2.00M,,,38.00M,38.00M,2.00M,,,16.00M,,4.00M,-5.00M,-93.00M,-2.00M,18.00M,147.00M,65.00M,,255.00M,,-23.00M,,-23.00M,-213.00M,-48.00M,-10.00M,-294.00M,,169.00M,,169.00M,,-29.00M,-29.00M,-41.00M,-41.00M,1.00M,-72.00M,28.00M,,357.00M,-11.00M,6.00M,352.00M,,,724.00M,-555.00M,-29.00M,35.00M,28.00M,,AOR,Restated
2015-12,148.00M,,,-1.00M,-1.00M,,,36.00M,36.00M,47.00M,,,19.00M,16.00M,0.00,-41.00M,107.00M,-41.00M,11.00M,-46.00M,-10.00M,,255.00M,,-42.00M,,-42.00M,0.00,-10.00M,-1.00M,-53.00M,,-53.00M,,-53.00M,,-67.00M,-67.00M,-41.00M,-41.00M,10.00M,-28.00M,-179.00M,,290.00M,23.00M,-5.00M,357.00M,,,140.00M,-193.00M,-67.00M,56.00M,12.00M,,AOR,Restated
2015-09,138.00M,,,-1.00M,-1.00M,,,35.00M,35.00M,3.00M,,,17.00M,-11.00M,0.00,42.00M,-113.00M,-13.00M,30.00M,-61.00M,-115.00M,,66.00M,,-32.00M,,-32.00M,0.00,71.00M,-3.00M,36.00M,,150.00M,,150.00M,,-255.00M,-255.00M,-40.00M,-40.00M,2.00M,10.00M,-133.00M,,324.00M,-31.00M,-3.00M,290.00M,,,235.00M,-85.00M,-255.00M,35.00M,26.00M,,AOR,Restated
2015-06,132.00M,,,-1.00M,-1.00M,,,33.00M,33.00M,-9.00M,,,18.00M,-3.00M,12.00M,18.00M,48.00M,-4.00M,-6.00M,-63.00M,-7.00M,,175.00M,,-35.00M,,-35.00M,0.00,-57.00M,0.00,-92.00M,,-35.00M,,-35.00M,,-25.00M,-25.00M,-43.00M,-43.00M,11.00M,0.00,-92.00M,,328.00M,-9.00M,5.00M,324.00M,,,31.00M,-66.00M,-25.00M,93.00M,38.00M,,AOR,Restated
2015-03,9.00M,,,-14.00M,-14.00M,,,34.00M,34.00M,-55.00M,,,14.00M,-2.00M,131.00M,36.00M,-73.00M,17.00M,13.00M,121.00M,114.00M,,231.00M,,-24.00M,,-24.00M,-256.00M,-40.00M,-6.00M,-326.00M,,75.00M,,75.00M,,-30.00M,-30.00M,-25.00M,-25.00M,6.00M,-22.00M,4.00M,,427.00M,-91.00M,-8.00M,328.00M,,,100.00M,-25.00M,-30.00M,18.00M,27.00M,,AOR,Restated
2014-12,86.00M,,,0.00,0.00,,,33.00M,33.00M,13.00M,,,17.00M,-10.00M,10.00M,-23.00M,138.00M,-64.00M,-21.00M,-3.00M,27.00M,,225.00M,,-47.00M,,-47.00M,0.00,-12.00M,0.00,-59.00M,,0.00,,0.00,,-57.00M,-57.00M,-25.00M,-25.00M,10.00M,27.00M,-45.00M,,286.00M,121.00M,-15.00M,476.00M,,,123.00M,-123.00M,-57.00M,43.00M,11.00M,,AOR,Restated
2014-09,122.00M,,,0.00,0.00,,,35.00M,35.00M,2.00M,,,15.00M,1.00M,0.00,17.00M,-122.00M,-10.00M,-4.00M,-32.00M,-151.00M,,24.00M,,-27.00M,,-27.00M,0.00,25.00M,0.00,-2.00M,,0.00,,0.00,,-28.00M,-28.00M,-26.00M,-26.00M,12.00M,0.00,-42.00M,,314.00M,-20.00M,-8.00M,286.00M,,,93.00M,-93.00M,-28.00M,44.00M,27.00M,,AOR,Restated
2014-06,102.00M,,,0.00,0.00,,,34.00M,34.00M,-11.00M,,,16.00M,-3.00M,16.00M,32.00M,49.00M,7.00M,-13.00M,-29.00M,46.00M,,200.00M,,-35.00M,,-35.00M,0.00,-10.00M,-3.00M,-48.00M,,-114.00M,,-114.00M,,-93.00M,-93.00M,-25.00M,-25.00M,11.00M,1.00M,-220.00M,,384.00M,-68.00M,-2.00M,314.00M,,,494.00M,-608.00M,-93.00M,92.00M,40.00M,,AOR,Restated
2014-03,103.00M,,,0.00,0.00,,,35.00M,35.00M,-10.00M,,,14.00M,-3.00M,22.00M,-42.00M,-67.00M,-17.00M,20.00M,128.00M,22.00M,,183.00M,,-31.00M,,-31.00M,0.00,-8.00M,-7.00M,-46.00M,,-121.00M,,-121.00M,,0.00,0.00,-22.00M,-22.00M,7.00M,-17.00M,-153.00M,,398.00M,-16.00M,2.00M,384.00M,,,25.00M,-146.00M,0.00,11.00M,36.00M,,AOR,Restated
2013-12,141.00M,,,,,,,34.00M,34.00M,43.00M,,4.00M,15.00M,-5.00M,-1.00M,-19.00M,75.00M,5.00M,19.00M,-46.00M,34.00M,,237.00M,,-35.00M,,-35.00M,-43.00M,46.00M,,-32.00M,,-98.00M,,-98.00M,,0.00,0.00,-22.00M,-22.00M,14.00M,-3.00M,-109.00M,,300.00M,96.00M,2.00M,398.00M,,,0.00,-98.00M,0.00,52.00M,2.00M,,AOR,Restated
2013-09,113.00M,,,,,,,33.00M,33.00M,13.00M,,0.00,14.00M,2.00M,9.00M,-14.00M,-101.00M,64.00M,-17.00M,-34.00M,-102.00M,,82.00M,,-35.00M,,-35.00M,0.00,-7.00M,,-42.00M,,-98.00M,,-98.00M,,0.00,0.00,-22.00M,-22.00M,2.00M,-3.00M,-121.00M,,379.00M,-81.00M,2.00M,300.00M,,,70.00M,-168.00M,0.00,5.00M,37.00M,,AOR,Restated
2013-06,88.00M,,,,,,,28.00M,28.00M,-5.00M,,0.00,9.00M,-11.00M,0.00,-36.00M,135.00M,-54.00M,11.00M,-58.00M,-2.00M,,106.00M,,-25.00M,,-25.00M,-1.121B,18.00M,,-1.128B,,813.00M,,813.00M,,0.00,0.00,-22.00M,-22.00M,13.00M,8.00M,812.00M,,591.00M,-210.00M,-2.00M,379.00M,,,825.00M,-12.00M,0.00,89.00M,3.00M,,AOR,Restated
2013-03,42.00M,,,,,,,27.00M,27.00M,-23.00M,,10.00M,9.00M,-2.00M,2.00M,14.00M,-34.00M,-7.00M,5.00M,105.00M,83.00M,,149.00M,,-20.00M,,-20.00M,,6.00M,,-14.00M,,-11.00M,,-11.00M,,-10.00M,-10.00M,-21.00M,-21.00M,6.00M,1.00M,-35.00M,,497.00M,100.00M,-6.00M,591.00M,,,0.00,-11.00M,-10.00M,11.00M,37.00M,,AOR,Restated
2012-12,85.00M,0.00,,,0.00,,,27.00M,27.00M,36.00M,,0.00,12.00M,-7.00M,11.00M,-4.00M,127.00M,9.00M,-27.00M,-32.00M,73.00M,,232.00M,,-24.00M,,-24.00M,-15.00M,-62.00M,,-101.00M,,-11.00M,,-11.00M,,-50.00M,-50.00M,-22.00M,-22.00M,,1.00M,-76.00M,,438.00M,55.00M,4.00M,497.00M,,,0.00,-11.00M,-50.00M,293.00M,158.00M,,AOR,Restated
2012-09,88.00M,14.00M,,0.00,14.00M,,,26.00M,26.00M,16.00M,,0.00,12.00M,1.00M,2.00M,9.00M,-139.00M,80.00M,-29.00M,-43.00M,-122.00M,,38.00M,,-22.00M,,-22.00M,-40.00M,49.00M,,-13.00M,,-12.00M,,-12.00M,-2.00M,-50.00M,-52.00M,-21.00M,-21.00M,,-1.00M,-86.00M,,491.00M,-61.00M,8.00M,438.00M,,-2.00M,0.00,-12.00M,-50.00M,-195.00M,-118.00M,,AOR,Restated
2012-06,92.00M,,,,,,,25.00M,25.00M,-28.00M,,28.00M,12.00M,0.00,12.00M,-15.00M,113.00M,5.00M,11.00M,-47.00M,67.00M,,210.00M,,-25.00M,,-25.00M,-57.00M,5.00M,,-77.00M,,-11.00M,,-11.00M,1.00M,-125.00M,-124.00M,-22.00M,-22.00M,,-1.00M,-158.00M,,525.00M,-25.00M,-9.00M,491.00M,,1.00M,0.00,-11.00M,-125.00M,57.00M,2.00M,,AOR,Restated
2012-03,84.00M,,,,,,,26.00M,26.00M,-8.00M,,12.00M,10.00M,-1.00M,7.00M,-20.00M,-136.00M,-23.00M,28.00M,127.00M,-24.00M,,108.00M,,-16.00M,,-16.00M,,79.00M,,63.00M,,-111.00M,,-111.00M,1.00M,-50.00M,-49.00M,0.00,0.00,,1.00M,-159.00M,,506.00M,12.00M,7.00M,525.00M,,1.00M,,-111.00M,-50.00M,22.00M,38.00M,,AOR,Restated
2011-12,81.00M,0.00,,0.00,31.00M,,,28.00M,28.00M,22.00M,-17.00M,18.00M,10.00M,-4.00M,6.00M,33.00M,86.00M,9.00M,-22.00M,-49.00M,57.00M,,233.00M,,-37.00M,,-37.00M,-24.00M,11.00M,,-50.00M,,-128.00M,,-128.00M,1.00M,-100.00M,-99.00M,,0.00,,7.00M,-220.00M,,543.00M,-37.00M,0.00,506.00M,,1.00M,250.00M,-378.00M,-100.00M,40.00M,5.00M,,AOR,Restated
2011-09,108.00M,0.00,,-1.00M,-1.00M,,,28.00M,28.00M,3.00M,5.00M,6.00M,9.00M,0.00,-21.00M,-1.00M,-102.00M,-5.00M,,-49.00M,-157.00M,,6.00M,,-27.00M,,-27.00M,0.00,7.00M,,-20.00M,,0.00,,0.00,1.00M,0.00,1.00M,,0.00,,-10.00M,-9.00M,,578.00M,-23.00M,-12.00M,543.00M,,1.00M,450.00M,-450.00M,0.00,52.00M,45.00M,,AOR,Restated
2011-06,91.00M,,,-1.00M,-1.00M,,,26.00M,26.00M,-10.00M,10.00M,1.00M,10.00M,-3.00M,20.00M,-17.00M,132.00M,74.00M,-26.00M,-24.00M,139.00M,,259.00M,,-14.00M,,-14.00M,-2.00M,-36.00M,,-52.00M,,-85.00M,,-85.00M,3.00M,0.00,3.00M,,0.00,,13.00M,-69.00M,,439.00M,138.00M,1.00M,578.00M,,3.00M,,-85.00M,0.00,11.00M,3.00M,,AOR,Restated
2011-03,103.00M,,,,,,,27.00M,27.00M,-11.00M,2.00M,0.00,7.00M,-3.00M,4.00M,-26.00M,-58.00M,-9.00M,26.00M,108.00M,41.00M,,171.00M,,-10.00M,,-10.00M,,-14.00M,,-24.00M,,-35.00M,,-35.00M,5.00M,0.00,5.00M,,,,3.00M,-27.00M,,315.00M,120.00M,4.00M,439.00M,,5.00M,,-35.00M,0.00,26.00M,33.00M,,AOR,Restated
2010-12,135.00M,,-11.00M,0.00,32.00M,,,28.00M,28.00M,-30.00M,,1.00M,8.00M,-1.00M,-20.00M,13.00M,85.00M,17.00M,-51.00M,-35.00M,29.00M,,183.00M,,-10.00M,,-10.00M,-113.00M,84.00M,,-39.00M,,329.00M,,329.00M,1.00M,-497.00M,-496.00M,,,,2.00M,-165.00M,,336.00M,-21.00M,0.00,315.00M,,1.00M,734.00M,-405.00M,-497.00M,35.00M,4.00M,,AOR,Restated
2010-09,100.00M,,0.00,-1.00M,1.00M,,,25.00M,25.00M,0.00,,2.00M,8.00M,1.00M,1.00M,63.00M,-144.00M,-41.00M,56.00M,-40.00M,-106.00M,,34.00M,,-12.00M,,-12.00M,-72.00M,19.00M,,-65.00M,,-71.00M,,-71.00M,1.00M,-100.00M,-99.00M,,,,-2.00M,-172.00M,,526.00M,-203.00M,13.00M,336.00M,,1.00M,-1.00M,-70.00M,-100.00M,14.00M,34.00M,,AOR,Restated
2010-06,154.00M,,11.00M,-1.00M,13.00M,,,25.00M,25.00M,4.00M,-1.00M,0.00,9.00M,-1.00M,-61.00M,9.00M,93.00M,25.00M,-3.00M,-28.00M,96.00M,,239.00M,,-9.00M,,-9.00M,-4.00M,-34.00M,,-47.00M,,-43.00M,,-43.00M,3.00M,-154.00M,-151.00M,,,,4.00M,-190.00M,,535.00M,2.00M,-11.00M,526.00M,,3.00M,-2.00M,-41.00M,-154.00M,85.00M,11.00M,,AOR,Restated
2010-03,,,,,,,,25.00M,25.00M,-9.00M,1.00M,3.00M,8.00M,-1.00M,102.00M,-80.00M,-83.00M,-86.00M,-14.00M,117.00M,-146.00M,,-16.00M,,-11.00M,,-11.00M,,44.00M,,33.00M,,-22.00M,,-22.00M,1.00M,-46.00M,-45.00M,,,,-1.00M,-68.00M,,594.00M,-51.00M,-8.00M,535.00M,,1.00M,1.678B,-1.70B,-46.00M,14.00M,4.00M,,AOR,Restated
2009-12,42.00M,-12.00M,0.00,87.00M,75.00M,,,26.00M,16.00M,-13.00M,,,10.00M,0.00,-2.00M,73.00M,-16.00M,138.00M,18.00M,,213.00M,,354.00M,,-13.00M,,-13.00M,28.00M,-25.00M,-54.00M,-64.00M,,1.00M,,1.00M,1.00M,0.00,1.00M,,,,-6.00M,-4.00M,,311.00M,286.00M,-3.00M,594.00M,,1.00M,0.00,1.00M,0.00,-1.00M,13.00M,,AOR,Restated
2009-09,59.00M,0.00,0.00,0.00,25.00M,,,28.00M,38.00M,38.00M,,,8.00M,-1.00M,10.00M,9.00M,-8.00M,-31.00M,-143.00M,,-173.00M,,4.00M,,-15.00M,-1.00M,-16.00M,-1.00M,-45.00M,54.00M,-8.00M,,-113.00M,,-113.00M,0.00,0.00,0.00,,,,-8.00M,-121.00M,,419.00M,-125.00M,17.00M,311.00M,,0.00,0.00,-113.00M,0.00,154.00M,58.00M,,AOR,Restated
2009-06,68.00M,0.00,5.00M,20.00M,23.00M,,,26.00M,26.00M,-16.00M,,,9.00M,-2.00M,-2.00M,-25.00M,64.00M,0.00,-4.00M,,35.00M,,141.00M,,-15.00M,1.00M,-14.00M,-13.00M,90.00M,,63.00M,,-148.00M,,-148.00M,6.00M,0.00,6.00M,,,,9.00M,-133.00M,,333.00M,71.00M,15.00M,419.00M,,6.00M,0.00,-148.00M,0.00,,,,AOR,Restated
2009-03,94.00M,,,,-2.00M,,,24.00M,24.00M,-19.00M,,,8.00M,-1.00M,6.00M,-24.00M,-118.00M,23.00M,92.00M,,-27.00M,,83.00M,,-16.00M,,-16.00M,-6.00M,-22.00M,,-44.00M,,-80.00M,,-80.00M,1.00M,,1.00M,,,,1.00M,-78.00M,,374.00M,-39.00M,-2.00M,333.00M,,1.00M,0.00,-80.00M,,,,,AOR,Restated
2008-12,35.00M,,,,20.00M,,,27.00M,19.00M,-42.00M,,35.00M,8.00M,0.00,46.00M,13.00M,89.00M,231.00M,-49.00M,,284.00M,,405.00M,,-16.00M,,-16.00M,-259.00M,-91.00M,,-366.00M,,-42.00M,,-42.00M,3.00M,,3.00M,,,,0.00,-17.00M,,382.00M,22.00M,-30.00M,374.00M,,3.00M,-4.00M,-38.00M,,50.00M,30.00M,,,Restated
2008-09,59.00M,,,,51.00M,,,28.00M,36.00M,-26.00M,,7.00M,6.00M,-2.00M,-3.00M,0.00,-150.00M,-370.00M,-17.00M,,-537.00M,,-409.00M,,-12.00M,,-12.00M,-751.00M,-32.00M,,-795.00M,,912.00M,,912.00M,2.00M,,2.00M,,,,2.00M,916.00M,,696.00M,-288.00M,-26.00M,382.00M,,2.00M,949.00M,-37.00M,,64.00M,22.00M,,,Restated
2008-06,100.00M,,,,-5.00M,,,22.00M,22.00M,-9.00M,,,7.00M,-1.00M,1.00M,50.00M,-51.00M,-7.00M,-54.00M,,-62.00M,,53.00M,,-13.00M,0.00,-13.00M,-25.00M,-16.00M,,-54.00M,,-1.00M,,-1.00M,2.00M,,2.00M,,,,1.00M,2.00M,,698.00M,1.00M,-3.00M,696.00M,,2.00M,-1.00M,0.00,,126.00M,14.00M,,,Restated
2008-03,121.00M,,,,-35.00M,,,16.00M,16.00M,-30.00M,,,5.00M,-2.00M,-27.00M,-32.00M,90.00M,-35.00M,96.00M,,119.00M,,167.00M,,-14.00M,,-14.00M,-1.964B,44.00M,,-1.934B,,1.125B,,1.125B,1.00M,,1.00M,,,,2.00M,1.128B,,1.325B,-639.00M,12.00M,698.00M,,1.00M,1.478B,-353.00M,,26.00M,1.00M,,,Restated
2007-12,78.96M,,,,-18.20M,,,9.594M,9.594M,4.471M,,,,,-1.107M,31.87M,28.86M,,-57.36M,-20.84M,-17.47M,,56.25M,,-4.812M,0.035M,-4.777M,-7.105M,9.20M,0.00,-2.682M,,,,0.00,6.27M,,6.27M,,,,6.818M,13.09M,,1.259B,66.65M,,1.325B,,6.27M,,,,,,,,
2007-09,364.99M,,,,-466.64M,,,9.661M,9.661M,12.67M,,,,,0.483M,-9.568M,-94.89M,,153.80M,-33.82M,15.53M,,-63.31M,,-5.901M,0.348M,-5.553M,-8.00M,1.802B,3.91M,1.793B,,,,-1.055B,4.81M,,4.81M,,,,4.824M,-1.046B,,575.00M,683.66M,,1.259B,,4.81M,,,,,,,,
