,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-06,807.00M,807.00M,433.00M,374.00M,6.00M,105.00M,111.00M,21.00M,-5.00M,,27.00M,1.00M,-26.00M,7.00M,152.00M,222.00M,1.00M,27.00M,-26.00M,-4.00M,-26.00M,192.00M,60.00M,132.00M,,,1.00M,,133.00M,136.44M,253.00M,33.00M,219.00M,,0.79,,,0.8104,0.79,,0.77,,,0.7900,0.77,,168.72M,172.14M,0.25,,AOR,Restated
2015-03,858.00M,858.00M,498.00M,360.00M,7.00M,135.00M,142.00M,21.00M,-150.00M,,28.00M,1.00M,-27.00M,7.00M,183.00M,177.00M,1.00M,28.00M,-27.00M,-136.00M,-27.00M,14.00M,5.00M,9.00M,,,,,9.00M,105.45M,76.00M,34.00M,42.00M,,0.05,,,0.6208,0.05,,0.05,,,0.6086,0.05,,168.99M,172.68M,0.15,,AOR,Restated
2014-12,920.00M,920.00M,551.00M,369.00M,9.00M,113.00M,122.00M,35.00M,-84.00M,,22.00M,2.00M,-27.00M,6.00M,161.00M,208.00M,2.00M,22.00M,-27.00M,-84.00M,-27.00M,97.00M,11.00M,86.00M,,,0.00,,86.00M,160.47M,152.00M,33.00M,119.00M,,0.52,,,0.9629,0.52,,0.50,,,0.9312,0.50,,168.15M,172.73M,0.15,,AOR,Restated
2014-09,818.00M,818.00M,457.00M,361.00M,5.00M,103.00M,108.00M,26.00M,-5.00M,,29.00M,1.00M,-28.00M,7.00M,149.00M,212.00M,1.00M,29.00M,-28.00M,-5.00M,-28.00M,179.00M,56.00M,123.00M,,,0.00,,123.00M,126.45M,243.00M,35.00M,208.00M,,0.73,,,0.7505,0.73,,0.71,,,0.7299,0.71,,168.59M,173.16M,0.15,,AOR,Restated
2014-06,865.00M,865.00M,487.00M,378.00M,9.00M,122.00M,131.00M,24.00M,-14.00M,,30.00M,1.00M,-29.00M,7.00M,173.00M,205.00M,1.00M,30.00M,-29.00M,-14.00M,-29.00M,162.00M,61.00M,101.00M,,,0.00,,101.00M,109.68M,227.00M,34.00M,192.00M,,0.60,,,0.6513,0.60,,0.59,,,0.6403,0.59,,169.34M,172.47M,0.15,,AOR,Restated
2014-03,898.00M,898.00M,527.00M,371.00M,8.00M,109.00M,117.00M,25.00M,-28.00M,,30.00M,2.00M,-28.00M,7.00M,159.00M,212.00M,2.00M,30.00M,-28.00M,-28.00M,-28.00M,156.00M,53.00M,103.00M,,,,,103.00M,121.48M,221.00M,35.00M,186.00M,,0.61,,,0.7190,0.61,,0.59,,,0.6964,0.59,,169.60M,173.67M,0.13,,AOR,Restated
2013-12,849.00M,849.00M,474.00M,375.00M,8.00M,117.00M,125.00M,27.00M,25.00M,,20.00M,2.00M,-28.00M,7.00M,166.00M,209.00M,2.00M,20.00M,-28.00M,54.00M,-28.00M,235.00M,94.00M,141.00M,,,0.00,,141.00M,126.00M,289.00M,34.00M,255.00M,,0.84,,,0.7509,0.84,,0.81,,,0.7233,0.81,,168.30M,173.08M,0.13,,AOR,Restated
2013-09,805.00M,805.00M,449.00M,356.00M,7.00M,106.00M,113.00M,26.00M,0.00,,32.00M,2.00M,-30.00M,8.00M,154.00M,202.00M,2.00M,32.00M,-30.00M,-1.00M,-30.00M,171.00M,58.00M,113.00M,,,0.00,,113.00M,113.00M,236.00M,33.00M,203.00M,,0.68,,,0.68,0.68,,0.66,,,0.66,0.66,,167.34M,172.10M,0.13,,AOR,Restated
2013-06,814.00M,814.00M,489.00M,325.00M,8.00M,97.00M,105.00M,23.00M,-25.00M,,26.00M,2.00M,-24.00M,8.00M,141.00M,184.00M,2.00M,26.00M,-24.00M,-25.00M,-24.00M,135.00M,47.00M,88.00M,,,0.00,,88.00M,104.25M,189.00M,28.00M,161.00M,,0.53,,,0.6277,0.53,,0.52,,,0.6155,0.52,,166.37M,170.14M,0.13,,AOR,Restated
2013-03,744.00M,744.00M,443.00M,301.00M,7.00M,91.00M,98.00M,22.00M,-89.00M,,24.00M,3.00M,-21.00M,7.00M,132.00M,169.00M,3.00M,24.00M,-21.00M,-89.00M,-21.00M,59.00M,17.00M,42.00M,,,0.00,,42.00M,105.19M,110.00M,27.00M,83.00M,,0.26,,,0.6413,0.26,,0.25,,,0.6224,0.25,,165.70M,169.66M,0.13,,AOR,Restated
