,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-03,285.46M,1.059M,2.156M,-56.39M,,-53.17M,49.21M,27.39M,76.61M,76.61M,5.891M,,22.61M,22.61M,-172.22M,13.23M,-30.81M,60.58M,,,44.37M,-84.85M,,252.55M,-47.64M,11.62M,11.62M,12.80M,-132.00M,-1.487M,-156.70M,-3.033M,450.40M,447.37M,,-476.88M,-476.88M,-87.99M,-87.99M,0.104M,2.778M,-114.62M,1.075B,-18.77M,-39.53M,1.017B,,-2.90M,-0.133M,-476.88M
2014-12,267.34M,-0.009M,0.83M,-10.46M,,-9.64M,50.90M,27.96M,78.86M,78.86M,-82.42M,,11.66M,11.66M,133.62M,-42.37M,-43.78M,-57.56M,,,21.92M,11.83M,,277.62M,-55.07M,1.166M,1.166M,-18.63M,-49.09M,-38.18M,-159.81M,1.485B,-701.90M,783.54M,,-816.77M,-816.77M,-93.15M,-93.15M,1.737M,7.007M,-117.64M,1.092B,0.175M,-17.00M,1.075B,,1.486B,113.21M,-816.77M
2014-09,280.17M,-5.782M,7.262M,-12.72M,,-11.24M,52.77M,29.00M,81.77M,81.77M,47.17M,,40.56M,40.56M,77.91M,-112.96M,10.13M,-192.22M,,,39.60M,-177.54M,,260.87M,-54.71M,2.736M,2.736M,22.77M,-446.66M,-5.06M,-480.93M,-0.293M,-113.27M,-113.56M,,-54.79M,-54.79M,-71.61M,-71.61M,0.987M,9.312M,-229.67M,1.614B,-449.72M,-71.70M,1.092B,,0.001M,-113.57M,-54.79M
2014-06,301.18M,0.00,-2.061M,-0.174M,,0.762M,53.22M,30.34M,83.55M,83.55M,-73.37M,0.00,18.51M,18.51M,-89.00M,80.72M,53.24M,142.68M,,,52.15M,239.79M,,570.42M,-48.97M,-10.78M,-10.78M,-3.321M,-624.88M,13.30M,-674.66M,-0.469M,-261.78M,-262.25M,,-50.12M,-50.12M,-71.73M,-71.73M,1.378M,7.339M,-375.39M,2.096B,-479.63M,-2.807M,1.614B,,0.009M,-262.26M,-50.12M
2014-03,242.52M,0.00,1.455M,1.121M,,2.576M,53.21M,29.85M,83.06M,83.06M,-42.90M,0.00,9.277M,9.277M,-232.97M,2.144M,-13.58M,188.01M,,,39.23M,-17.17M,,277.36M,-55.52M,1.995M,1.995M,-15.00M,0.00,-2.654M,-71.18M,-0.415M,-138.07M,-138.48M,,-50.21M,-50.21M,-71.80M,-71.80M,1.934M,9.171M,-249.39M,2.140B,-43.21M,-0.323M,2.096B,,0.598M,-139.08M,-50.21M
2013-12,253.40M,-412.61M,-1.33M,-3.233M,,-417.18M,54.20M,30.31M,84.51M,84.51M,57.88M,188.87M,26.37M,215.24M,95.73M,-17.74M,9.268M,-38.68M,,,14.98M,63.56M,,257.42M,-55.20M,5.875M,5.875M,201.74M,0.00,-0.777M,151.64M,-1.284M,-116.82M,-118.10M,,-51.17M,-51.17M,-67.33M,-67.33M,1.095M,13.19M,-222.31M,1.946B,186.74M,7.156M,2.140B,,-1.277M,-116.83M,-51.17M
2013-09,244.32M,0.00,1.936M,7.684M,,9.62M,54.34M,31.24M,85.58M,85.58M,-15.75M,,49.00M,49.00M,127.10M,-68.94M,9.189M,-114.98M,,,-42.45M,-90.08M,,282.69M,-56.65M,2.915M,2.915M,1.491M,0.00,0.049M,-52.20M,-0.018M,1.287M,1.269M,,-52.54M,-52.54M,-67.39M,-67.39M,3.606M,4.029M,-111.02M,1.781B,119.47M,44.74M,1.946B,,1.418M,-0.149M,-52.54M
2013-06,271.13M,-1.324M,2.08M,5.116M,,8.618M,53.92M,31.13M,85.05M,85.05M,0.49M,0.00,19.48M,19.48M,-60.72M,87.58M,-48.03M,57.06M,,,51.49M,87.37M,,472.14M,-51.84M,-24.32M,-24.32M,0.828M,,13.06M,-62.27M,-1.274M,-193.36M,-194.63M,,-50.86M,-50.86M,-67.30M,-67.30M,3.276M,13.11M,-296.40M,1.677B,113.46M,-9.367M,1.781B,,-193.36M,-1.275M,-50.86M
2013-03,256.59M,-0.605M,-0.252M,4.354M,,3.497M,53.52M,33.22M,86.75M,86.75M,-28.57M,0.00,18.99M,18.99M,-243.43M,24.37M,14.53M,185.67M,,,53.07M,34.21M,,371.46M,-73.84M,10.15M,10.15M,4.69M,,-1.61M,-60.61M,-224.63M,1.243B,1.018B,,-49.16M,-49.16M,-64.38M,-64.38M,10.37M,14.63M,929.42M,497.64M,1.240B,-60.59M,1.677B,,1.243B,-224.82M,-49.16M
2012-12,181.11M,-12.71M,-0.688M,9.045M,,-4.351M,53.27M,29.38M,82.66M,82.66M,-27.32M,0.00,15.27M,15.27M,197.73M,24.59M,5.683M,-164.71M,,,43.64M,106.94M,,354.31M,-63.54M,5.528M,5.528M,-358.60M,,-7.933M,-424.54M,-30.84M,237.32M,206.48M,,-50.00M,-50.00M,-61.96M,-61.96M,6.78M,13.52M,114.82M,436.13M,44.59M,16.92M,497.64M,,234.95M,-28.46M,-50.00M
