,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,1.539B,,56.00M,301.00M,357.00M,357.00M,35.00M,,,220.00M,,49.00M,101.00M,-14.00M,529.00M,-546.00M,,,,70.00M,2.27B,-212.00M,,,4.586B,-20.00M,4.354B,-4.50B,,-4.50B,111.00M,-1.039B,-928.00M,-753.00M,-753.00M,,-414.00M,-6.595B,7.588B,29.00M,26.00M,7.643B,111.00M,,-4.50B,-1.039B
2017-12,-3.836B,,78.00M,319.00M,397.00M,397.00M,-209.00M,,,334.00M,,77.00M,281.00M,-174.00M,47.00M,5.836B,,,,5.99B,2.753B,-220.00M,,,630.00M,,-10.02B,4.273B,,4.273B,51.00M,-106.00M,-55.00M,-682.00M,-682.00M,,-189.00M,3.347B,11.51B,-3.916B,-4.00M,7.588B,51.00M,5.994B,-1.721B,-106.00M
2017-09,2.712B,,52.00M,245.00M,297.00M,297.00M,-11.00M,,,113.00M,,38.00M,355.00M,-65.00M,166.00M,-911.00M,,,,-455.00M,2.694B,-129.00M,,,-1.985B,,-2.114B,2.961B,,2.961B,64.00M,-153.00M,-89.00M,-682.00M,-682.00M,,-20.00M,2.17B,8.712B,2.75B,46.00M,11.51B,64.00M,2.991B,-30.00M,-153.00M
2017-06,3.069B,,54.00M,244.00M,298.00M,298.00M,80.00M,,,102.00M,,150.00M,-419.00M,-9.00M,-32.00M,287.00M,,,,-173.00M,3.526B,-123.00M,,,-4.123B,,-4.246B,-30.00M,,-30.00M,23.00M,-130.00M,-107.00M,-680.00M,-680.00M,,-63.00M,-880.00M,10.28B,-1.60B,27.00M,8.712B,23.00M,,-30.00M,-130.00M
2017-03,2.699B,,49.00M,245.00M,294.00M,294.00M,58.00M,,,89.00M,,39.00M,537.00M,-5.00M,177.00M,-963.00M,,,,-254.00M,2.925B,-118.00M,,,425.00M,,307.00M,-30.00M,,-30.00M,96.00M,-565.00M,-469.00M,-687.00M,-687.00M,,-58.00M,-1.244B,8.229B,1.988B,68.00M,10.28B,96.00M,,-30.00M,-565.00M
2016-12,3.099B,,48.00M,244.00M,292.00M,292.00M,-24.00M,,,102.00M,,221.00M,422.00M,-214.00M,265.00M,-624.00M,,,,-151.00M,3.539B,-169.00M,,,-2.506B,,-2.675B,-730.00M,,-730.00M,28.00M,-1.00B,-972.00M,-619.00M,-619.00M,0.00,-27.00M,-2.348B,9.809B,-1.484B,-96.00M,8.229B,28.00M,0.00,-730.00M,-1.00B
2016-09,3.325B,,44.00M,255.00M,299.00M,299.00M,21.00M,,,95.00M,,141.00M,580.00M,-177.00M,-450.00M,559.00M,,,,512.00M,4.393B,-198.00M,,,-3.719B,,-3.917B,4.939B,,4.939B,60.00M,-1.00B,-940.00M,-623.00M,-623.00M,-469.00M,-110.00M,2.797B,6.485B,3.273B,51.00M,9.809B,60.00M,4.944B,-5.00M,-1.00B
2016-06,3.497B,,43.00M,241.00M,284.00M,284.00M,-131.00M,,,95.00M,,50.00M,381.00M,-83.00M,-209.00M,1.101B,,,,1.19B,4.985B,-204.00M,,,-3.08B,,-3.284B,90.00M,,90.00M,28.00M,-1.001B,-973.00M,-626.00M,-626.00M,,-52.00M,-1.561B,6.315B,140.00M,30.00M,6.485B,28.00M,1.21B,-1.12B,-1.001B
2016-03,3.567B,,42.00M,241.00M,283.00M,283.00M,15.00M,,,88.00M,,182.00M,-191.00M,-14.00M,-126.00M,326.00M,,,,-5.00M,4.13B,-177.00M,,,-1.932B,,-2.109B,-31.00M,,-31.00M,92.00M,-8.00B,-7.908B,-587.00M,-587.00M,,-87.00M,-8.613B,12.85B,-6.592B,56.00M,6.315B,92.00M,95.00M,-126.00M,-8.00B
2015-12,4.685B,,45.00M,233.00M,278.00M,278.00M,-450.00M,,,97.00M,498.00M,528.00M,213.00M,-196.00M,77.00M,409.00M,,,-344.00M,159.00M,5.795B,-166.00M,,,-2.272B,,-2.438B,-50.00M,,-50.00M,38.00M,-3.051B,-3.013B,-614.00M,-614.00M,0.00,-788.00M,-4.465B,13.96B,-1.108B,-6.00M,12.85B,38.00M,184.00M,-234.00M,-3.051B
2015-09,4.592B,,41.00M,237.00M,278.00M,278.00M,-9.00M,,,97.00M,-172.00M,7.00M,-800.00M,-25.00M,-40.00M,189.00M,,,-21.00M,-697.00M,4.096B,-286.00M,,,-3.90B,,-4.186B,9.881B,,9.881B,79.00M,-3.05B,-2.971B,-627.00M,-627.00M,0.00,361.00M,6.644B,7.417B,6.554B,-6.00M,13.96B,79.00M,9.994B,-113.00M,-3.05B
2015-06,4.497B,,38.00M,235.00M,273.00M,273.00M,1.00M,,,96.00M,-140.00M,30.00M,-462.00M,-264.00M,-179.00M,1.502B,,,304.00M,901.00M,5.658B,-171.00M,,,-3.381B,,-3.552B,-97.00M,,-97.00M,84.00M,-900.00M,-816.00M,-633.00M,-633.00M,-3.865B,70.00M,-5.341B,10.64B,-3.235B,17.00M,7.417B,84.00M,354.00M,-451.00M,-900.00M
2015-03,4.332B,,37.00M,232.00M,269.00M,269.00M,65.00M,,,92.00M,-186.00M,-3.00M,-348.00M,-370.00M,52.00M,1.737B,,,61.00M,1.132B,5.701B,-124.00M,,,-2.175B,,-2.299B,-45.00M,,-45.00M,118.00M,-3.001B,-2.883B,0.00,0.00,,206.00M,-2.722B,10.03B,680.00M,-72.00M,10.64B,118.00M,154.00M,-199.00M,-3.001B
2014-12,3.462B,,31.00M,244.00M,275.00M,275.00M,-45.00M,,,95.00M,-124.00M,50.00M,-1.751B,42.00M,58.00M,940.00M,,,19.00M,-692.00M,3.021B,-167.00M,,,-238.00M,,-405.00M,2.962B,,2.962B,56.00M,-2.001B,-1.945B,0.00,0.00,0.00,217.00M,1.234B,6.209B,3.85B,-32.00M,10.03B,56.00M,4.881B,-1.919B,-2.001B
2014-09,2.724B,,41.00M,227.00M,268.00M,268.00M,130.00M,,,100.00M,-144.00M,22.00M,505.00M,122.00M,93.00M,232.00M,,,-8.00M,944.00M,4.044B,-135.00M,,,-635.00M,,-770.00M,-105.00M,,-105.00M,112.00M,-1.698B,-1.586B,0.00,0.00,-4.093B,12.00M,-5.772B,8.731B,-2.498B,-24.00M,6.209B,112.00M,316.00M,-421.00M,-1.698B
2014-06,3.65B,,29.00M,237.00M,266.00M,266.00M,8.00M,,,83.00M,-57.00M,23.00M,-214.00M,64.00M,-353.00M,698.00M,,,17.00M,212.00M,4.185B,-91.00M,,,-396.00M,,-487.00M,-311.00M,,-311.00M,54.00M,-1.20B,-1.146B,0.00,0.00,0.00,86.00M,-1.371B,6.404B,2.327B,0.00,8.731B,54.00M,709.00M,-1.02B,-1.20B
2014-03,2.223B,,24.00M,217.00M,241.00M,241.00M,155.00M,,,82.00M,-157.00M,6.00M,-1.118B,-85.00M,-169.00M,387.00M,,,3.00M,-982.00M,1.568B,-164.00M,,,3.00M,,-161.00M,3.124B,,3.124B,109.00M,-450.00M,-341.00M,,,,101.00M,2.884B,2.113B,4.291B,0.00,6.404B,109.00M,4.569B,-1.445B,-450.00M
2013-12,786.46M,,26.95M,101.30M,128.26M,128.26M,29.48M,,,71.71M,-110.27M,12.44M,-88.69M,-126.35M,-58.80M,89.63M,,,-7.057M,-191.27M,726.80M,-68.69M,,-0.355M,285.81M,,216.76M,-699.09M,,-699.09M,72.33M,-399.74M,-327.41M,,,-0.305M,181.69M,-845.12M,2.011B,98.45M,3.512M,2.113B,72.33M,1.516B,-2.215B,-399.74M
2013-09,785.22M,,25.96M,43.29M,69.24M,69.24M,58.52M,,,62.57M,-79.58M,48.46M,-45.04M,-15.79M,42.60M,-184.97M,,,11.87M,-191.34M,753.10M,-37.18M,,0.00,29.15M,,-8.032M,-37.29M,,-37.29M,94.33M,-100.02M,-5.691M,,,-1.040B,140.45M,-942.23M,2.202B,-197.17M,5.729M,2.011B,94.33M,51.91M,-89.21M,-100.02M
2013-06,767.62M,,26.12M,47.06M,73.18M,73.18M,20.79M,,,55.95M,-48.40M,29.81M,50.52M,-143.75M,33.50M,129.48M,,,-15.69M,54.06M,953.00M,-45.28M,,0.00,-10.20M,,-55.48M,-682.47M,,-682.47M,60.29M,0.00,60.29M,,,,64.53M,-557.65M,1.864B,339.88M,-1.675M,2.202B,60.29M,1.105B,-1.788B,0.00
2013-03,717.71M,,23.97M,50.35M,74.33M,74.33M,78.21M,,,61.77M,-40.75M,14.29M,-231.78M,-57.11M,-187.30M,209.87M,,,32.88M,-233.45M,672.10M,-38.85M,,-378.64M,10.24M,,-407.26M,-247.14M,,-247.14M,86.05M,-82.24M,3.81M,,,,44.33M,-199.00M,1.804B,65.84M,-5.566M,1.864B,86.05M,100.77M,-347.92M,-82.24M
2012-12,759.36M,,22.51M,50.91M,73.42M,73.42M,-8.775M,,,57.40M,-49.04M,68.04M,37.17M,-125.26M,-19.45M,-102.62M,,,15.76M,-194.39M,706.01M,-269.82M,,-0.364M,320.31M,,50.12M,-573.57M,,-573.57M,115.74M,-200.00M,-84.26M,,,0.00,147.63M,-510.20M,1.551B,245.94M,7.128M,1.804B,115.74M,213.27M,-786.83M,-200.00M
2012-09,671.04M,,20.55M,50.44M,71.00M,71.00M,30.00M,,,54.46M,-29.52M,-3.101M,-19.34M,-11.55M,-77.22M,63.15M,,,-3.556M,-48.52M,745.37M,-66.58M,,0.00,-451.46M,,-518.04M,-350.02M,,-350.02M,148.47M,-205.21M,-56.74M,,,0.00,99.24M,-307.51M,1.626B,-80.19M,5.40M,1.551B,148.47M,0.00,-350.02M,-205.21M
2012-06,706.07M,,20.23M,47.18M,67.41M,67.41M,-16.77M,,,48.40M,-12.14M,-12.70M,376.70M,-186.36M,42.85M,286.56M,,,-9.382M,510.37M,1.291B,-37.39M,,0.00,-597.57M,,-634.96M,-351.54M,,-351.54M,69.26M,-241.02M,-171.76M,,,,48.42M,-474.88M,1.452B,180.81M,-7.25M,1.626B,69.26M,0.00,-351.54M,-241.02M
2012-03,437.53M,,19.71M,46.46M,66.17M,66.17M,69.54M,,,48.73M,-23.30M,13.77M,-196.53M,-26.83M,-75.18M,118.90M,,,20.18M,-159.46M,452.97M,-23.20M,,-10.75B,31.72M,,-10.74B,1.794B,,1.794B,132.53M,-20.77M,111.76M,,,,-50.29M,1.856B,9.884B,-8.435B,2.722M,1.452B,132.53M,2.145B,-350.61M,-20.77M
2011-12,661.76M,,18.96M,54.47M,73.42M,73.42M,31.30M,,,46.60M,-10.59M,9.255M,-154.34M,-64.11M,-27.33M,382.35M,,,3.158M,139.72M,978.11M,-26.11M,,0.00,4.466B,,4.440B,3.673B,,3.673B,53.50M,-226.30M,-172.80M,,,,26.03M,3.527B,909.36M,8.945B,29.36M,9.884B,53.50M,3.709B,-36.09M,-226.30M
2011-09,737.54M,,17.20M,55.80M,73.00M,73.00M,12.18M,,,46.18M,-9.957M,41.01M,0.573M,-22.04M,2.489M,3.70M,,,12.43M,-2.85M,897.11M,-64.29M,,0.00,-16.03M,,-80.32M,-1.619M,0.00,-0.052M,42.32M,-883.97M,-841.65M,,,,-34.50M,-876.20M,905.78M,-59.41M,62.99M,909.36M,42.32M,0.00,-1.619M,-883.97M
2011-06,742.46M,,17.74M,57.15M,74.89M,74.89M,25.12M,,,50.12M,-6.043M,13.40M,-114.09M,-17.47M,34.79M,176.77M,,,-36.70M,43.30M,943.26M,-26.64M,,-367.50M,-75.65M,,-469.79M,-649.99M,0.00,-650.02M,57.03M,-724.16M,-667.13M,,,,-54.81M,-1.372B,1.836B,-898.50M,-31.70M,905.78M,57.03M,0.00,-649.99M,-724.16M
2011-03,647.30M,,18.28M,62.63M,80.91M,80.91M,32.68M,,,49.47M,-14.26M,-7.249M,-107.88M,-97.17M,-23.90M,269.00M,,,-8.371M,31.68M,820.54M,-14.87M,,-221.10M,-64.41M,,-300.38M,987.37M,,985.84M,58.88M,-548.70M,-489.82M,,,,-10.91M,485.11M,907.88M,1.005B,-77.17M,1.836B,58.88M,987.37M,0.00,-548.70M
2010-12,626.36M,,17.86M,59.65M,77.52M,77.52M,-18.42M,,,53.35M,-12.98M,30.03M,3.206M,67.07M,-64.65M,-173.43M,,,0.779M,-167.02M,724.84M,-23.36M,,0.00,-384.46M,,-407.82M,-5.786M,,-0.197M,54.40M,-615.54M,-561.14M,,,0.00,101.68M,-459.66M,1.023B,-142.63M,27.52M,907.88M,54.40M,0.00,-5.786M,-615.54M
2010-09,702.16M,,15.99M,53.06M,69.05M,69.05M,20.04M,,,51.80M,-7.953M,-23.30M,-109.70M,89.28M,-6.117M,-25.20M,,,-20.65M,-72.38M,739.42M,-10.81M,,-91.00M,-1.292B,,-1.394B,2.100B,-500.00M,1.600B,22.54M,-1.553B,-1.530B,,,155.42M,45.62M,270.45M,1.483B,-384.26M,-75.39M,1.023B,22.54M,2.462B,-862.62M,-1.553B
2010-06,1.561B,,15.91M,42.89M,58.80M,58.80M,61.56M,,,48.05M,-10.87M,-902.54M,-78.47M,-142.56M,-6.006M,117.73M,,,-7.843M,-117.14M,699.08M,-16.05M,,0.00,949.02M,,932.97M,0.00,500.00M,494.46M,40.93M,-1.692B,-1.651B,,,,-9.367M,-1.166B,936.88M,466.52M,79.24M,1.483B,40.93M,500.00M,0.00,-1.692B
2010-03,,,17.48M,42.63M,60.11M,60.11M,31.06M,,,46.84M,-49.82M,906.22M,-163.91M,-174.98M,6.305M,10.77M,,,-2.018M,-323.84M,670.57M,-11.67M,,0.00,-1.057B,,-1.069B,0.00,,-0.019M,103.36M,-162.52M,-59.16M,,,,75.21M,16.03M,1.273B,-382.18M,46.10M,936.88M,103.36M,0.00,,-162.52M
2009-12,799.39M,,20.25M,43.86M,64.11M,64.11M,-53.35M,,,41.82M,-20.92M,40.57M,-66.45M,-35.25M,-32.31M,145.84M,,,71.82M,83.65M,955.28M,-26.99M,,0.00,-370.70M,,-397.68M,-0.09M,-200.00M,-200.09M,61.80M,-242.00M,-180.20M,,,0.00,56.21M,-324.08M,1.025B,233.51M,14.85M,1.273B,61.80M,0.00,-200.09M,-242.00M
2009-09,670.48M,,15.48M,41.57M,57.05M,57.05M,-9.07M,,,48.61M,-25.58M,32.48M,-72.10M,-46.89M,-43.96M,255.36M,,,-5.833M,86.57M,860.53M,-18.12M,,0.00,-408.52M,,-426.65M,-5.55M,-200.00M,-205.55M,58.83M,-288.25M,-229.42M,,,0.00,9.641M,-425.32M,1.041B,8.557M,-24.83M,1.025B,58.83M,0.00,-205.55M,-288.25M
2009-06,569.14M,,15.11M,37.53M,52.64M,52.64M,9.104M,,,49.21M,-36.59M,40.41M,-128.84M,18.77M,10.70M,38.20M,,,0.177M,-61.00M,622.92M,-20.87M,,-1.248B,205.51M,,-1.063B,-305.43M,400.00M,94.57M,61.15M,-238.18M,-177.03M,,,,-73.83M,-156.29M,1.664B,-596.55M,-26.22M,1.041B,61.15M,400.00M,-305.43M,-238.18M
2009-03,586.58M,,13.72M,25.43M,39.15M,39.15M,11.30M,,,41.04M,2.911M,39.37M,-89.07M,-11.90M,-0.102M,39.61M,,,-17.56M,-79.02M,641.33M,-164.07M,,,-164.32M,,-328.39M,-0.036M,,-0.036M,40.95M,-230.06M,-189.12M,,,,43.41M,-145.74M,1.459B,167.20M,37.14M,1.664B,40.95M,,-0.036M,-230.06M
2008-12,527.38M,10.85M,14.17M,65.80M,79.97M,79.97M,-59.02M,,,153.36M,-191.94M,55.48M,1.925M,-32.34M,31.99M,83.50M,,-103.65M,27.25M,8.67M,584.76M,-41.66M,73.34M,0.00,280.24M,,238.58M,-4.326M,0.00,-0.577M,69.71M,-753.51M,-683.80M,,,,97.49M,-586.89M,1.209B,236.44M,13.44M,1.459B,69.71M,0.00,-4.326M,-753.51M
2008-09,523.91M,-10.85M,13.77M,-5.25M,8.517M,8.517M,34.21M,,,-73.01M,-8.777M,105.50M,-75.14M,-44.00M,-25.28M,-19.59M,,103.65M,-7.098M,-67.45M,512.05M,-31.40M,-73.34M,-10.85M,-283.60M,6.768M,-319.08M,0.193M,,-3.556M,40.85M,-250.08M,-209.23M,,,,78.30M,-134.49M,1.120B,58.48M,31.34M,1.209B,40.85M,,0.193M,-250.08M
2008-06,432.62M,10.85M,13.07M,24.41M,37.48M,37.48M,-4.421M,,,36.88M,4.488M,50.64M,-42.93M,-196.26M,-55.51M,171.68M,,,-4.45M,-127.47M,441.07M,-25.20M,,0.00,56.87M,-6.768M,24.90M,-0.096M,0.00,-0.096M,70.08M,-150.05M,-79.97M,,,,16.60M,-63.47M,722.88M,402.50M,-5.785M,1.120B,70.08M,0.00,-0.096M,-150.05M
2008-03,486.42M,,10.71M,18.93M,29.64M,29.64M,4.263M,,,36.14M,4.289M,-13.35M,-141.02M,-58.12M,58.52M,189.37M,,,9.375M,58.12M,605.51M,-16.75M,,,-106.47M,,-123.22M,-0.097M,,-0.097M,65.48M,-815.94M,-750.46M,,,,60.83M,-689.72M,968.09M,-207.43M,-37.78M,722.88M,65.48M,,-0.097M,-815.94M
2007-12,401.64M,7.032M,10.64M,-1.174M,9.465M,9.465M,39.48M,,,,,56.63M,23.99M,-36.58M,-30.02M,26.49M,,-39.82M,53.67M,-2.26M,511.99M,-19.32M,-19.32M,0.00,-110.65M,,-129.98M,,,-0.082M,57.08M,-32.66M,24.42M,,,,-9.003M,15.34M,584.13M,397.35M,-13.39M,968.09M,57.08M,,,-32.66M
2007-09,398.32M,-2.478M,10.28M,5.254M,15.53M,15.53M,53.78M,,,,,17.49M,-46.70M,8.049M,-202.97M,-2.26M,,-51.24M,63.67M,-231.45M,251.20M,-12.50M,-12.50M,-46.44M,-341.80M,,-400.74M,,,-0.129M,37.86M,0.00,37.86M,,,,16.42M,54.15M,701.65M,-95.39M,-22.13M,584.13M,37.86M,,,0.00
2007-06,407.93M,-2.401M,8.544M,6.067M,14.61M,14.61M,31.96M,,,,,61.14M,-40.49M,-48.01M,-18.71M,-30.63M,,91.24M,45.09M,-1.512M,511.72M,-21.79M,-21.79M,,-159.53M,,-181.32M,,,-0.111M,64.90M,-454.89M,-389.99M,,,,35.09M,-355.01M,729.14M,-24.61M,-2.886M,701.65M,64.90M,,,-454.89M
2007-03,407.41M,-2.153M,7.427M,4.244M,11.67M,11.67M,7.848M,,,,,66.56M,-74.84M,41.92M,-0.796M,-71.15M,,79.91M,24.11M,-0.841M,490.49M,-25.04M,-25.04M,,-565.39M,,-590.43M,,,-99.14M,83.59M,,83.59M,,,,33.77M,18.22M,816.01M,-81.72M,-5.146M,729.14M,83.59M,,,
2006-12,-1.666B,2.032B,,,11.77M,11.77M,-8.949M,,,,,46.16M,-6.80M,-197.36M,35.82M,127.08M,,43.93M,61.07M,63.75M,479.51M,-30.21M,-30.21M,-2.380B,2.173B,,-237.47M,,,-40.12M,44.07M,0.001M,44.07M,,,,15.48M,19.43M,559.58M,261.46M,-5.038M,816.01M,44.07M,,,0.001M
2006-09,-52.16M,361.61M,,,11.68M,11.68M,13.07M,,,,,47.32M,-94.61M,-54.37M,-16.18M,136.88M,-82.91M,-26.47M,6.892M,-130.77M,250.76M,-41.41M,-41.41M,-356.17M,-189.56M,,-587.14M,,,-439.29M,281.42M,0.00,281.42M,,,,172.93M,15.06M,884.45M,-321.33M,-3.542M,559.58M,281.42M,,,0.00
2006-06,265.15M,-8.477M,,,12.59M,12.59M,-12.72M,,,,,102.33M,-41.63M,-93.36M,5.219M,0.874M,82.91M,-50.24M,3.249M,-92.98M,265.90M,-19.33M,-19.33M,,-205.40M,,-224.73M,,,1.231B,34.38M,-544.94M,-510.57M,,,,-130.53M,590.00M,268.68M,631.17M,-15.40M,884.45M,34.38M,,,-544.94M
2006-03,262.70M,8.844M,,,11.24M,11.24M,-0.626M,,,,,4.881M,-41.33M,-13.10M,-5.832M,-0.874M,,2.397M,-6.41M,-65.15M,221.89M,-14.26M,-14.26M,,-675.74M,,-689.99M,,,-56.13M,43.53M,,43.53M,,,,37.38M,24.78M,707.91M,-443.32M,4.087M,268.68M,43.53M,,,
2005-12,281.60M,89.72M,,,11.87M,11.87M,-121.15M,,,,,,10.26M,-43.87M,-17.54M,27.95M,,92.17M,,68.97M,331.01M,-13.04M,-13.04M,,-538.75M,,-551.80M,,,298.78M,36.13M,,36.13M,,,,,334.90M,592.72M,114.12M,1.071M,707.91M,36.13M,,,
2005-09,179.23M,81.04M,,,11.33M,11.33M,14.09M,,,,,-60.42M,-28.06M,-7.98M,-337.68M,-24.57M,,31.62M,,-366.68M,-141.40M,-11.29M,-11.29M,,-75.80M,,-87.09M,,,-0.049M,29.94M,,29.94M,,,,,29.89M,793.62M,-198.60M,-2.292M,592.72M,29.94M,,,
2005-06,195.97M,-1.464M,,,6.435M,6.435M,23.24M,,,,,60.42M,31.78M,-30.55M,10.27M,21.84M,,-29.13M,,4.206M,288.81M,-14.75M,-14.75M,,198.66M,,183.91M,,,-0.237M,60.19M,,60.19M,,,,,59.95M,281.94M,532.67M,-21.00M,793.62M,60.19M,,,
2005-03,157.11M,0.721M,,,6.137M,6.137M,30.58M,,,,,,-0.223M,0.485M,-10.60M,-11.69M,,54.70M,,32.68M,227.22M,-8.875M,-8.875M,,-218.63M,,-227.51M,,,0.12M,17.03M,,17.03M,,,,,17.15M,280.91M,16.87M,-15.84M,281.94M,17.03M,,,
