,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-12,12.85B,1.756B,14.61B,5.854B,,5.854B,,,,1.955B,1.013B,828.00M,505.00M,24.76B,0.0,393.00M,1.32B,772.00M,554.00M,3.039B,-763.00M,2.276B,1.172B,10.25B,11.42B,11.60B,324.00M,934.00M,26.95B,51.72B,1.178B,,1.178B,6.91B,8.088B,,982.00M,,982.00M,440.00M,440.00M,,,9.89B,21.07B,,21.07B,,,,579.00M,2.00M,395.00M,22.71B,32.60B,1.00M,18.00B,444.00M,,,,88.00M,18.53B
2015-09,13.96B,1.749B,15.71B,6.105B,,6.105B,,,,1.988B,1.209B,894.00M,,25.91B,,,,,,,,2.143B,1.172B,10.45B,11.63B,9.40B,291.00M,858.00M,24.73B,50.64B,1.239B,159.00M,1.398B,6.987B,8.385B,,331.00M,,331.00M,356.00M,356.00M,,,9.36B,21.89B,,21.89B,30.00M,,30.00M,530.00M,4.00M,378.00M,23.33B,32.69B,1.00M,16.96B,285.00M,,,,167.00M,17.41B
2015-06,7.417B,1.194B,8.611B,5.331B,,5.331B,,,,2.039B,726.00M,833.00M,553.00M,18.09B,,,,,,,,1.899B,1.172B,10.66B,11.83B,6.056B,177.00M,682.00M,21.07B,39.17B,1.571B,356.00M,1.927B,5.877B,7.804B,,352.00M,,352.00M,501.00M,501.00M,,,8.925B,11.92B,,11.92B,36.00M,,36.00M,347.00M,7.00M,760.00M,13.61B,22.53B,2.00M,16.04B,0.00,,,,247.00M,16.29B
2015-03,10.64B,659.00M,11.29B,4.835B,,4.835B,,,,1.908B,609.00M,655.00M,761.00M,20.06B,,,,,,,,1.765B,1.172B,10.87B,12.04B,3.22B,205.00M,583.00M,18.26B,38.32B,1.011B,98.00M,1.109B,5.46B,6.569B,,442.00M,,442.00M,191.00M,191.00M,,,7.428B,11.92B,,11.92B,41.00M,,41.00M,408.00M,11.00M,619.00M,13.30B,20.73B,1.00M,13.92B,2.724B,,,,539.00M,17.18B
2014-12,10.03B,101.00M,10.13B,4.635B,,4.635B,,,,1.386B,585.00M,508.00M,472.00M,17.71B,0.0,254.00M,997.00M,632.00M,411.00M,2.294B,-620.00M,1.674B,1.172B,11.07B,12.24B,1.598B,236.00M,731.00M,16.95B,34.66B,955.00M,105.00M,1.06B,3.768B,4.828B,,483.00M,,483.00M,134.00M,134.00M,,,5.761B,11.92B,,11.92B,,,,393.00M,15.00M,586.00M,13.08B,18.84B,2.00M,12.73B,2.391B,,,,301.00M,15.43B
2014-09,6.209B,107.27M,6.316B,2.850B,,2.850B,956.84M,501.86M,450.89M,1.910B,833.92M,384.59M,267.25M,12.56B,,,,,,,,1.510B,1.172B,11.31B,12.48B,1.375B,163.72M,267.49M,16.28B,28.84B,1.183B,43.78M,1.227B,2.967B,4.193B,,1.477B,,1.477B,116.88M,116.88M,,,6.055B,7.933B,,7.933B,65.43M,,65.43M,297.39M,27.38M,482.54M,8.926B,14.98B,1.514M,11.25B,2.143B,,,,173.96M,13.57B
2014-06,8.731B,68.55M,8.799B,3.437B,,3.437B,944.89M,563.88M,559.98M,2.069B,608.87M,386.58M,199.36M,15.50B,,,,,,,,1.381B,1.172B,11.51B,12.68B,782.32M,153.55M,212.80M,15.71B,31.21B,1.162B,97.30M,1.260B,3.050B,4.310B,,1.572B,,1.572B,126.28M,126.28M,,,6.228B,7.933B,,7.933B,67.98M,,67.98M,338.71M,35.88M,174.20M,8.549B,14.78B,1.526M,10.20B,5.931B,,,,-41.46M,16.09B
2014-03,6.404B,64.88M,6.469B,3.236B,,3.236B,999.67M,592.90M,547.66M,2.140B,575.22M,348.94M,201.01M,12.97B,,,,,,,,1.303B,1.172B,11.71B,12.88B,389.87M,138.97M,204.46M,15.11B,28.08B,1.235B,152.95M,1.387B,2.362B,3.749B,,1.872B,,1.872B,111.79M,111.79M,,,5.915B,7.932B,,7.932B,81.96M,,81.96M,314.87M,45.77M,174.94M,8.461B,14.38B,1.538M,7.735B,5.747B,,,,-95.77M,13.39B
2013-12,2.113B,19.00M,2.132B,2.182B,,2.182B,,,,1.697B,564.00M,331.00M,91.00M,6.997B,0.0,196.00M,835.00M,508.00M,129.00M,1.668B,-502.00M,1.166B,1.169B,11.90B,13.07B,439.00M,190.00M,519.00M,15.58B,22.58B,1.256B,11.00M,1.267B,2.089B,3.356B,,2.697B,,2.697B,111.00M,111.00M,,,6.407B,3.939B,,3.939B,83.00M,,83.00M,375.00M,64.00M,179.00M,4.427B,10.83B,2.00M,6.106B,5.386B,,,,-124.00M,11.37B
2013-09,2.011B,79.76M,2.090B,1.972B,,1.972B,919.86M,540.40M,485.79M,1.946B,611.11M,239.29M,109.20M,6.968B,,,,,,,,1.133B,1.188B,12.03B,13.22B,665.06M,162.74M,139.47M,15.50B,22.47B,1.350B,10.65M,1.361B,1.721B,3.082B,,1.457B,,1.457B,127.28M,127.28M,,,4.895B,5.856B,,5.856B,118.66M,25.40M,144.06M,308.86M,,261.09M,6.381B,11.28B,0.763M,5.735B,5.190B,,,,-42.07M,10.88B
2013-06,2.202B,85.19M,2.287B,1.896B,,1.896B,884.60M,453.34M,597.21M,1.935B,553.32M,224.43M,176.36M,7.073B,,,,,,,,1.136B,1.188B,12.06B,13.24B,688.43M,155.67M,143.94M,15.55B,22.62B,1.391B,37.97M,1.429B,1.711B,3.139B,,1.488B,,1.488B,112.12M,112.12M,,,4.937B,5.850B,,5.850B,118.32M,28.77M,147.08M,251.38M,,224.63M,6.344B,11.28B,0.765M,5.066B,5.995B,,,,30.37M,11.09B
2013-03,1.864B,78.80M,1.943B,1.945B,,1.945B,693.14M,529.16M,577.32M,1.800B,545.83M,211.94M,217.75M,6.663B,,,,,,,,1.126B,1.188B,12.08B,13.27B,688.25M,139.66M,149.95M,15.55B,22.21B,1.356B,19.24M,1.376B,1.695B,3.070B,,942.81M,,942.81M,124.37M,124.37M,,,4.290B,7.055B,,7.055B,118.40M,32.20M,150.61M,240.24M,,213.33M,7.529B,11.82B,0.76M,4.302B,5.829B,,,,20.81M,10.15B
2012-12,1.804B,58.56M,1.862B,1.751B,,1.751B,826.54M,358.52M,559.91M,1.745B,450.78M,262.64M,84.30M,6.156B,0.0,195.81M,670.47M,440.84M,216.43M,1.524B,-423.30M,1.100B,1.061B,11.74B,12.80B,719.84M,131.11M,159.19M,15.08B,21.24B,1.327B,13.40M,1.341B,1.420B,2.761B,,1.169B,,1.169B,103.16M,103.16M,,,4.238B,7.055B,,7.055B,10.19M,20.53M,30.72M,241.13M,7.147M,249.97M,7.458B,11.70B,1.519M,3.705B,5.642B,,,,-45.62M,9.303B
2012-09,1.551B,144.78M,1.695B,1.766B,,1.766B,826.65M,378.99M,411.73M,1.617B,434.69M,222.57M,144.18M,5.880B,,,,,,,,856.18M,1.079B,11.74B,12.81B,955.60M,110.33M,170.63M,15.08B,20.96B,1.320B,17.09M,1.337B,1.453B,2.789B,,1.731B,,1.731B,99.05M,99.05M,,,4.802B,7.040B,,7.040B,,20.84M,20.84M,146.52M,,221.65M,7.412B,12.21B,0.758M,3.139B,5.435B,,,,28.25M,8.604B
2012-06,1.626B,82.04M,1.708B,1.703B,,1.703B,903.04M,292.22M,408.15M,1.603B,389.99M,213.45M,226.90M,5.844B,,,,,,,,811.80M,1.079B,11.75B,12.83B,564.13M,116.26M,171.28M,14.66B,20.50B,1.367B,11.85M,1.379B,1.396B,2.775B,,1.973B,,1.973B,93.66M,93.66M,,,4.987B,7.126B,,7.126B,,23.66M,23.66M,81.27M,,155.20M,7.432B,12.42B,0.756M,2.663B,5.214B,,,,124.38M,8.002B
2012-03,1.452B,0.00,1.452B,2.164B,,2.164B,584.84M,603.43M,229.77M,1.418B,423.33M,193.94M,175.63M,5.827B,,,,,,,,782.87M,1.079B,11.77B,12.85B,48.17M,107.73M,169.31M,14.12B,19.95B,1.339B,14.49M,1.354B,1.246B,2.600B,,1.352B,,1.352B,100.19M,100.19M,,,4.188B,8.077B,,8.077B,,26.51M,26.51M,50.47M,,153.99M,8.398B,12.59B,0.758M,2.179B,5.101B,,,,33.59M,7.314B
2011-12,9.884B,16.49M,9.900B,1.951B,,1.951B,697.62M,466.50M,225.86M,1.390B,469.21M,208.16M,,13.92B,0.0,149.38M,500.04M,422.51M,60.75M,1.133B,-358.26M,774.41M,1.004B,1.063B,2.067B,63.70M,144.02M,160.67M,3.384B,17.30B,1.206B,40.58M,1.247B,1.019B,2.265B,,1.572M,,1.572M,74.66M,74.66M,,,2.515B,7.606B,,7.606B,,31.87M,31.87M,128.49M,,147.74M,7.921B,10.44B,0.753M,1.777B,4.903B,,,,58.20M,6.739B
2011-09,909.36M,1.348B,2.257B,1.867B,,1.867B,866.41M,175.54M,295.79M,1.338B,285.79M,283.86M,115.64M,6.147B,,,,,,,,761.19M,1.004B,1.107B,2.111B,3.225B,82.73M,131.65M,6.493B,12.64B,1.064B,33.67M,1.097B,907.68M,2.005B,,1.587M,,1.587M,68.67M,68.67M,,,2.224B,3.892B,,3.892B,,34.70M,34.70M,116.44M,,138.77M,4.182B,6.407B,0.757M,1.322B,4.810B,,,,-15.54M,6.117B
2011-06,905.78M,1.365B,2.270B,1.939B,,1.939B,665.25M,271.64M,384.72M,1.322B,325.84M,277.61M,85.02M,6.219B,,,,,,,,721.88M,1.004B,1.124B,2.128B,3.229B,87.17M,119.37M,6.475B,12.69B,1.102B,5.438M,1.108B,1.003B,2.110B,,7.345M,,7.345M,63.24M,63.24M,,,2.311B,3.871B,,3.871B,,27.71M,27.71M,164.49M,,156.39M,4.172B,6.483B,0.777M,1.396B,4.783B,,,,-133.28M,6.047B
2011-03,1.836B,1.175B,3.011B,1.801B,,1.801B,559.16M,296.87M,448.43M,1.304B,360.25M,277.84M,96.08M,6.851B,,,,,,,,703.79M,1.630B,,1.630B,3.345B,134.86M,125.60M,6.136B,12.99B,981.63M,2.457M,984.09M,914.72M,1.899B,,653.09M,,653.09M,97.37M,97.37M,,,2.769B,3.850B,,3.850B,,30.28M,30.28M,229.11M,,49.80M,4.043B,6.812B,0.791M,1.320B,4.726B,,,,-101.18M,5.946B
2010-12,907.88M,1.191B,2.099B,1.622B,,1.622B,408.02M,454.65M,341.14M,1.204B,388.06M,279.34M,116.24M,5.708B,0.0,137.81M,501.40M,296.06M,82.33M,1.018B,-316.37M,701.24M,532.67M,892.92M,1.426B,3.219B,153.38M,181.15M,5.885B,11.59B,803.02M,1.862M,804.89M,762.91M,1.568B,,646.34M,,646.34M,103.18M,103.18M,,,2.465B,2.839B,,2.839B,,32.84M,32.84M,258.11M,,27.40M,3.006B,5.471B,0.802M,1.184B,4.648B,,,,30.91M,5.864B
2010-09,1.023B,1.285B,2.308B,1.670B,,1.670B,441.52M,392.54M,439.32M,1.273B,358.66M,310.32M,111.65M,6.032B,,,,,,,,692.03M,532.67M,1.044B,1.577B,2.744B,95.29M,111.95M,5.424B,11.46B,950.81M,38.71M,989.52M,872.40M,1.862B,,632.39M,,632.39M,95.79M,95.79M,,,2.590B,2.819B,,2.819B,,39.45M,39.45M,172.46M,,128.56M,2.987B,5.577B,0.815M,1.122B,4.576B,,,,7.485M,5.706B
2010-06,1.483B,518.29M,2.001B,1.483B,,1.483B,540.30M,440.72M,375.58M,1.357B,336.39M,288.64M,243.55M,5.709B,,,,,,,,695.04M,462.56M,1.032B,1.495B,2.217B,78.04M,91.34M,4.788B,10.50B,1.066B,24.36M,1.091B,774.34M,1.865B,,1.124B,,1.124B,116.36M,116.36M,,,3.106B,628.41M,,628.41M,,39.53M,39.53M,137.50M,,23.05M,690.98M,3.797B,0.86M,1.831B,4.541B,,,,189.62M,6.562B
2010-03,936.88M,715.31M,1.652B,1.491B,,1.491B,454.96M,336.49M,432.49M,1.224B,333.30M,283.58M,139.88M,5.124B,,,,,,,,695.60M,462.56M,1.047B,1.510B,2.968B,81.93M,97.52M,5.572B,10.70B,949.08M,38.49M,987.57M,770.75M,1.758B,,,7.088M,7.088M,122.24M,122.24M,,,1.888B,1.237B,,1.237B,,41.49M,41.49M,160.68M,,27.29M,1.306B,3.193B,0.902M,2.689B,4.569B,,,,83.47M,7.342B
2009-12,1.273B,384.02M,1.657B,1.390B,,1.390B,333.58M,392.04M,326.15M,1.052B,352.31M,295.08M,66.89M,4.813B,0.0,137.81M,490.63M,317.97M,58.45M,1.005B,-304.89M,699.97M,1.525B,,1.525B,2.248B,101.50M,85.64M,4.886B,9.699B,810.54M,167.62M,978.17M,765.16M,1.743B,,5.587M,,5.587M,122.72M,122.72M,,,1.872B,1.243B,,1.243B,,43.03M,43.03M,138.09M,,35.92M,1.322B,3.193B,0.90M,1.995B,4.377B,,,,-5.758M,6.367B
2009-09,1.025B,330.71M,1.355B,1.339B,,1.339B,402.16M,256.58M,359.08M,1.018B,332.89M,192.70M,59.71M,4.298B,,,,,,,,701.37M,,1.556B,1.556B,1.937B,134.42M,79.21M,4.639B,8.937B,742.68M,139.54M,882.22M,752.05M,1.634B,,,205.61M,205.61M,49.36M,49.36M,,,1.889B,1.209B,,1.209B,,44.57M,44.57M,105.62M,,42.36M,1.296B,3.185B,0.902M,1.421B,4.264B,,,,-39.20M,5.647B
2009-06,1.041B,203.39M,1.244B,1.243B,,1.243B,410.02M,214.12M,345.83M,969.97M,280.60M,185.44M,78.13M,4.001B,,,,,,,,697.43M,,,1.571B,1.654B,132.61M,89.98M,4.386B,8.387B,650.00M,73.39M,723.39M,602.52M,1.326B,,,405.62M,405.62M,46.34M,46.34M,,,1.778B,1.192B,,1.192B,,53.42M,53.42M,124.12M,,50.08M,1.295B,3.073B,0.905M,1.020B,4.146B,,,,23.29M,5.190B
2009-03,1.664B,396.65M,2.060B,1.068B,,1.068B,482.07M,140.37M,314.29M,936.73M,250.35M,135.61M,164.93M,4.616B,,,,,,,,679.44M,,,,1.549B,220.69M,206.32M,2.904B,7.520B,578.36M,95.36M,673.72M,534.16M,1.208B,,,5.613M,5.613M,48.30M,48.30M,,,1.262B,1.168B,,1.168B,,51.28M,51.28M,213.19M,,21.10M,1.241B,2.503B,0.906M,672.96M,4.019B,,,,111.64M,4.804B
2008-12,1.459B,330.76M,1.790B,1.023B,,1.023B,505.11M,140.33M,282.43M,927.87M,270.13M,140.88M,126.07M,4.278B,0.0,66.32M,348.03M,280.44M,81.19M,775.99M,-247.19M,528.80M,123.01M,,123.01M,1.450B,226.73M,73.10M,2.658B,6.937B,601.20M,44.76M,645.96M,526.44M,1.172B,,,5.631M,5.631M,42.96M,42.96M,,,1.221B,1.155B,,1.155B,,74.18M,74.18M,193.01M,,21.46M,1.250B,2.471B,0.91M,300.31M,3.930B,,,,41.24M,4.273B
2008-09,1.209B,709.87M,1.919B,1.047B,,1.047B,392.41M,188.70M,316.51M,897.62M,221.00M,100.77M,140.79M,4.327B,,,,,,713.62M,-201.34M,512.28M,,,,,315.06M,1.820B,2.647B,6.974B,631.52M,,631.52M,491.31M,1.123B,,6.055M,,6.055M,40.20M,40.20M,,90.04M,1.259B,1.321B,,1.321B,,,,127.64M,,100.23M,1.421B,2.681B,0.921M,531.00M,3.617B,,,,17.19M,4.166B
2008-06,1.120B,228.12M,1.348B,1.021B,,1.021B,410.53M,186.34M,259.42M,856.29M,195.32M,133.48M,115.19M,3.669B,,,,,,694.35M,-201.34M,493.01M,,,,,306.29M,2.049B,2.848B,6.517B,606.24M,,606.24M,469.94M,1.076B,,1.304B,,1.304B,38.76M,38.76M,,32.72M,2.451B,26.45M,,26.45M,,,,93.10M,,174.31M,200.76M,2.652B,0.923M,265.44M,3.506B,,,,-0.011M,3.772B
2008-03,722.88M,191.31M,914.20M,979.80M,,979.80M,312.20M,195.96M,152.93M,661.09M,147.38M,140.35M,105.44M,2.948B,,,,,,657.10M,-201.34M,455.76M,,,,,,2.475B,2.931B,5.879B,396.21M,,396.21M,491.54M,887.75M,,0.216M,,0.216M,41.17M,41.17M,,9.868M,939.00M,1.310B,,1.310B,,,,110.01M,,190.22M,1.501B,2.440B,0.921M,-34.62M,3.371B,,,,-7.931M,3.329B
2007-12,968.09M,203.89M,1.172B,795.13M,,795.13M,244.72M,136.65M,218.59M,599.97M,273.45M,152.53M,35.24M,3.028B,0.0,65.98M,333.82M,236.72M,12.51M,649.04M,-201.34M,447.70M,,,,,297.36M,2.061B,2.806B,5.835B,290.33M,,290.33M,414.91M,705.24M,,0.286M,,0.286M,30.75M,30.75M,,,736.28M,1.312B,,1.312B,,,,140.30M,,186.55M,1.498B,2.234B,0.932M,249.08M,3.214B,,13.87M,-18.24M,-4.363M,3.460B
