,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,5.088B,5.088B,1.001B,4.087B,997.00M,937.00M,,290.00M,,-290.00M,1.934B,2.153B,,290.00M,-290.00M,170.00M,-290.00M,2.033B,494.00M,1.539B,,-1.00M,1.538B,1.538B,2.68B,357.00M,2.323B,1.18,,,1.18,1.18,1.17,,,1.17,1.17,1.307B,1.32B,0.57
2017-12,5.949B,5.949B,1.256B,4.693B,1.252B,1.15B,,297.00M,,-297.00M,2.402B,2.291B,,297.00M,-297.00M,132.00M,-297.00M,2.126B,5.962B,-3.836B,,-29.00M,-3.865B,-3.865B,2.82B,397.00M,2.423B,-2.96,,,-2.96,-2.96,-2.96,,,-2.96,-2.96,1.307B,1.319B,0.52
2017-09,6.512B,6.512B,1.032B,5.48B,879.00M,789.00M,,291.00M,,-291.00M,1.668B,3.812B,,291.00M,-291.00M,150.00M,-291.00M,3.671B,959.00M,2.712B,,6.00M,2.718B,2.718B,4.259B,297.00M,3.962B,2.08,,,2.08,2.08,2.06,,,2.06,2.06,1.306B,1.319B,0.52
2017-06,7.141B,7.141B,1.126B,6.015B,897.00M,864.00M,,269.00M,,-269.00M,1.761B,4.254B,,269.00M,-269.00M,130.00M,-269.00M,4.115B,1.046B,3.069B,,4.00M,3.073B,3.073B,4.682B,298.00M,4.384B,2.35,,,2.35,2.35,2.33,,,2.33,2.33,1.307B,1.317B,0.52
2017-03,6.505B,6.505B,957.00M,5.548B,850.00M,931.00M,,261.00M,,-261.00M,1.781B,3.767B,,261.00M,-261.00M,111.00M,-261.00M,3.617B,918.00M,2.699B,,3.00M,2.702B,2.702B,4.172B,294.00M,3.878B,2.07,,,2.07,2.07,2.05,,,2.05,2.05,1.308B,1.32B,0.52
2016-12,7.32B,7.32B,1.075B,6.245B,992.00M,1.208B,,265.00M,,-265.00M,2.20B,4.045B,,265.00M,-265.00M,140.00M,-265.00M,3.92B,821.00M,3.099B,,9.00M,3.108B,3.108B,4.477B,292.00M,4.185B,2.36,,,2.36,2.36,2.34,,,2.34,2.34,1.315B,1.325B,0.47
2016-09,7.50B,7.50B,1.129B,6.371B,831.00M,1.141B,,242.00M,,-242.00M,1.972B,4.399B,,242.00M,-242.00M,119.00M,-242.00M,4.276B,951.00M,3.325B,,5.00M,3.33B,3.33B,4.817B,299.00M,4.518B,2.52,,,2.52,2.52,2.49,,,2.49,2.49,1.322B,1.339B,0.47
2016-06,7.776B,7.776B,864.00M,6.912B,890.00M,1.484B,,227.00M,,-227.00M,2.374B,4.538B,,227.00M,-227.00M,88.00M,-227.00M,4.399B,902.00M,3.497B,,0.00,3.497B,3.497B,4.91B,284.00M,4.626B,2.62,,,2.62,2.62,2.58,,,2.58,2.58,1.335B,1.355B,0.47
2016-03,7.794B,7.794B,1.193B,6.601B,685.00M,1.265B,,230.00M,,-230.00M,1.95B,4.651B,,230.00M,-230.00M,81.00M,-230.00M,4.502B,935.00M,3.567B,,-1.00M,3.566B,3.566B,5.015B,283.00M,4.732B,2.58,,,2.58,2.58,2.53,,,2.53,2.53,1.383B,1.412B,0.43
2015-12,8.506B,8.506B,1.062B,7.444B,1.066B,757.00M,,230.00M,,-230.00M,1.823B,5.621B,,230.00M,-230.00M,46.00M,-230.00M,5.437B,752.00M,4.685B,,-2.00M,4.683B,4.683B,5.945B,278.00M,5.667B,3.26,,,3.26,3.26,3.18,,,3.18,3.18,1.434B,1.47B,0.43
2015-09,8.295B,8.295B,1.064B,7.231B,903.00M,743.00M,,165.00M,,-165.00M,1.646B,5.585B,,165.00M,-165.00M,52.00M,-165.00M,5.472B,880.00M,4.592B,,8.00M,4.60B,4.60B,5.915B,278.00M,5.637B,3.14,,,3.14,3.14,3.06,,,3.06,3.06,1.463B,1.503B,0.43
2015-06,8.244B,8.244B,998.00M,7.246B,812.00M,818.00M,,140.00M,,-140.00M,1.63B,5.616B,,140.00M,-140.00M,35.00M,-140.00M,5.511B,1.014B,4.497B,,-5.00M,4.492B,4.492B,5.924B,273.00M,5.651B,3.05,,,3.05,3.05,2.92,,,2.92,2.92,1.472B,1.54B,0.43
2015-03,7.594B,7.594B,882.00M,6.712B,645.00M,696.00M,,153.00M,,-153.00M,1.341B,5.371B,,153.00M,-153.00M,21.00M,-153.00M,5.239B,907.00M,4.332B,,1.00M,4.333B,4.333B,5.661B,269.00M,5.392B,2.91,,,2.91,2.91,2.76,,,2.76,2.76,1.488B,1.569B,
2014-12,7.314B,7.314B,1.063B,6.251B,876.00M,1.045B,,130.00M,,-130.00M,1.921B,4.33B,,130.00M,-130.00M,30.00M,-130.00M,4.23B,768.00M,3.462B,,25.00M,3.487B,3.487B,4.635B,275.00M,4.36B,2.32,,,2.32,2.32,2.18,,,2.18,2.18,1.504B,1.602B,
2014-09,6.042B,6.042B,987.00M,5.055B,945.00M,630.00M,,104.00M,,-104.00M,1.575B,3.48B,,104.00M,-104.00M,-5.00M,-104.00M,3.371B,647.00M,2.724B,,7.00M,2.731B,2.731B,3.743B,268.00M,3.475B,1.8,,,1.8,1.8,1.67,,,1.67,1.67,1.514B,1.637B,
2014-06,6.535B,6.535B,925.00M,5.61B,614.00M,584.00M,,102.00M,,-102.00M,1.198B,4.412B,,102.00M,-102.00M,-4.00M,-102.00M,4.306B,656.00M,3.65B,,6.00M,3.656B,3.656B,4.674B,266.00M,4.408B,2.39,,,2.39,2.39,2.2,,,2.2,2.2,1.533B,1.664B,
2014-03,4.999B,4.999B,813.00M,4.186B,548.00M,595.00M,,76.00M,,-76.00M,1.143B,3.043B,,76.00M,-76.00M,-18.00M,-76.00M,2.949B,726.00M,2.223B,,4.00M,2.227B,2.227B,3.266B,241.00M,3.025B,1.45,,,1.45,1.45,1.33,,,1.33,1.33,1.537B,1.68B,
2013-12,3.120B,3.120B,858.02M,2.262B,512.85M,552.22M,,73.26M,,-73.26M,1.065B,1.197B,,73.26M,-73.26M,-11.22M,-73.26M,1.113B,326.11M,786.46M,,5.147M,791.60M,791.60M,1.314B,128.26M,1.186B,0.52,,,0.52,0.52,0.47,,,0.47,0.47,1.535B,1.711B,
2013-09,2.783B,2.783B,681.87M,2.101B,406.86M,546.24M,,73.95M,,-73.95M,953.10M,1.148B,,73.95M,-73.95M,5.777M,-73.95M,1.080B,294.47M,785.22M,,3.39M,788.61M,788.61M,1.223B,69.24M,1.154B,0.51,,,0.51,0.51,0.47,,,0.47,0.47,1.532B,1.692B,
2013-06,2.767B,2.767B,684.66M,2.083B,404.99M,523.90M,,78.01M,,-78.01M,928.89M,1.154B,,78.01M,-78.01M,-0.231M,-78.01M,1.076B,307.98M,767.62M,,4.987M,772.60M,772.60M,1.227B,73.18M,1.154B,0.51,,,0.51,0.51,0.46,,,0.46,0.46,1.527B,1.695B,
2013-03,2.532B,2.532B,634.45M,1.897B,374.30M,497.63M,,81.79M,,-81.79M,871.93M,1.025B,,81.79M,-81.79M,-3.324M,-81.79M,940.15M,222.44M,717.71M,,4.476M,722.19M,722.19M,1.096B,74.33M,1.022B,0.47,,,0.47,0.47,0.43,,,0.43,0.43,1.521B,1.665B,
2012-12,2.588B,2.588B,675.46M,1.912B,365.79M,439.71M,,85.99M,,-85.99M,805.50M,1.107B,,85.99M,-85.99M,1.665M,-85.99M,1.022B,263.12M,759.36M,,3.615M,762.98M,762.98M,1.182B,73.42M,1.108B,0.5,,,0.5,0.5,0.47,,,0.47,0.47,1.518B,1.629B,
2012-09,2.427B,2.427B,597.27M,1.829B,319.58M,465.83M,,89.32M,,-89.32M,785.41M,1.044B,,89.32M,-89.32M,-3.505M,-89.32M,951.09M,280.05M,671.04M,,4.47M,675.50M,675.50M,1.111B,71.00M,1.040B,0.45,,,0.45,0.45,0.43,,,0.43,0.43,1.515B,1.585B,
2012-06,2.405B,2.405B,617.34M,1.788B,332.50M,396.24M,,88.42M,,-88.42M,728.75M,1.059B,,88.42M,-88.42M,-1.075M,-88.42M,969.60M,263.52M,706.07M,,5.49M,711.56M,711.56M,1.125B,67.41M,1.058B,0.47,,,0.47,0.47,0.46,,,0.46,0.46,1.514B,1.561B,
2012-03,2.282B,2.282B,580.93M,1.702B,443.12M,458.21M,,97.27M,,-97.27M,901.33M,800.19M,,97.27M,-97.27M,-34.08M,-97.27M,668.83M,231.30M,437.53M,,4.425M,441.96M,441.96M,832.27M,66.17M,766.10M,0.29,,,0.29,0.29,0.28,,,0.28,0.28,1.513B,1.555B,
2011-12,2.200B,2.200B,584.45M,1.616B,346.22M,402.24M,,75.00M,,-75.00M,748.46M,867.48M,,75.00M,-75.00M,26.36M,-75.00M,818.84M,157.08M,661.76M,,3.386M,665.14M,665.14M,967.27M,73.42M,893.84M,0.45,,,0.45,0.45,0.44,,,0.44,0.44,1.476B,1.504B,
2011-09,2.122B,2.122B,531.99M,1.590B,295.93M,290.07M,14.41M,43.10M,,-43.10M,585.99M,1.004B,,43.10M,-43.10M,14.41M,-43.10M,974.99M,237.45M,737.54M,,3.586M,741.12M,730.23M,1.091B,73.00M,1.018B,0.485,0.0,,0.4779,0.485,0.475,0.0,,0.468,0.475,1.534B,1.563B,
2011-06,2.137B,2.137B,533.86M,1.603B,304.27M,282.40M,11.98M,46.11M,,-46.11M,586.67M,1.017B,,46.11M,-46.11M,11.98M,-46.11M,982.59M,240.13M,742.46M,,3.768M,746.23M,737.18M,1.104B,74.89M,1.029B,0.475,0.0,,0.4692,0.475,0.465,0.0,,0.4593,0.465,1.570B,1.602B,
2011-03,1.926B,1.926B,474.11M,1.452B,295.57M,254.45M,13.83M,41.22M,,-41.22M,550.01M,901.97M,,41.22M,-41.22M,13.83M,-41.22M,874.58M,227.28M,647.30M,,3.838M,651.14M,640.90M,996.72M,80.91M,915.80M,0.41,0.0,,0.4036,0.41,0.4,0.0,,0.3937,0.4,1.592B,1.624B,
2010-12,1.999B,1.999B,496.34M,1.502B,280.21M,392.76M,,40.62M,,-90.14M,672.97M,829.38M,,40.62M,-90.14M,,-90.14M,799.52M,173.16M,626.36M,,3.054M,629.42M,629.42M,917.66M,77.52M,840.14M,0.385,,,0.385,0.385,0.385,,,0.385,0.385,1.617B,1.646B,
2010-09,1.938B,1.938B,477.58M,1.460B,250.56M,230.44M,,33.62M,15.59M,-18.03M,481.00M,979.07M,15.59M,33.62M,-18.03M,,-18.03M,961.05M,258.88M,702.16M,,2.713M,704.88M,704.88M,1.064B,69.05M,994.67M,0.425,0.0,,0.425,0.425,0.415,0.0,,0.415,0.415,1.666B,1.694B,
2010-06,1.927B,1.927B,455.52M,1.472B,248.01M,231.07M,,17.76M,18.28M,0.521M,479.07M,992.63M,18.28M,17.76M,0.521M,,0.521M,993.15M,284.02M,709.13M,,2.934M,712.06M,712.06M,1.070B,58.80M,1.011B,0.405,0.0,,0.405,0.405,0.395,0.0,,0.395,0.395,1.764B,1.798B,
2010-03,2.086B,2.086B,440.43M,1.645B,265.62M,218.66M,,16.96M,15.64M,-1.31M,484.28M,1.161B,15.64M,16.96M,-1.31M,,-1.31M,1.160B,307.74M,852.09M,,2.807M,854.90M,854.90M,1.237B,60.11M,1.177B,0.475,0.0,,0.475,0.475,0.46,0.0,,0.46,0.46,1.803B,1.857B,
2009-12,2.032B,2.032B,473.40M,1.559B,253.90M,239.64M,,17.29M,11.30M,-5.991M,493.54M,1.065B,11.30M,17.29M,-5.991M,,-5.991M,1.059B,260.05M,799.39M,,2.819M,802.21M,802.21M,1.141B,64.11M,1.077B,0.445,0.0,,0.445,0.445,0.43,0.0,,0.43,0.43,1.800B,1.854B,
2009-09,1.801B,1.801B,409.70M,1.392B,227.43M,269.86M,,17.22M,14.02M,-3.20M,497.28M,894.41M,14.02M,17.22M,-3.20M,,-3.20M,891.21M,220.73M,670.48M,,2.555M,673.03M,673.03M,965.47M,57.05M,908.42M,0.375,0.0,,0.375,0.375,0.36,0.0,,0.36,0.36,1.807B,1.865B,
2009-06,1.647B,1.647B,383.04M,1.264B,261.41M,241.64M,,18.48M,12.92M,-5.561M,503.05M,761.06M,12.92M,18.48M,-5.561M,,-5.561M,755.50M,186.36M,569.14M,,2.253M,571.40M,571.40M,826.62M,52.64M,773.98M,0.315,0.0,,0.315,0.315,0.305,0.0,,0.305,0.305,1.811B,1.869B,
2009-03,1.530B,1.530B,329.41M,1.201B,203.95M,188.78M,,16.67M,4.158M,-12.51M,392.73M,808.32M,4.158M,16.67M,-12.51M,,-12.51M,795.80M,209.23M,586.58M,,2.536M,589.11M,589.11M,851.62M,39.15M,812.47M,0.325,0.0,,0.325,0.325,0.315,0.0,,0.315,0.315,1.820B,1.885B,
2008-12,1.428B,1.428B,321.53M,1.107B,193.66M,201.86M,0.00,,,,395.53M,711.15M,,,,0.00,,667.98M,140.60M,527.38M,,2.369M,535.94M,535.94M,839.67M,79.97M,759.70M,0.295,0.0,,0.295,0.295,0.28,0.0,,0.28,0.28,1.822B,1.885B,
2008-09,1.371B,1.371B,300.18M,1.071B,189.19M,188.06M,,,,,377.25M,693.83M,,,,,,696.68M,192.68M,504.00M,,2.16M,504.00M,504.00M,702.35M,8.517M,693.83M,0.275,0.0,,0.275,0.275,0.26,0.0,,0.26,0.26,1.842B,1.921B,
2008-06,1.278B,1.278B,265.68M,1.012B,219.53M,176.54M,-10.85M,16.43M,14.03M,-2.402M,396.08M,616.37M,14.03M,16.43M,-2.402M,-10.85M,-2.402M,603.11M,170.49M,432.62M,,2.16M,434.78M,442.57M,657.02M,37.48M,619.54M,0.235,0.0,,0.2392,0.235,0.225,0.0,,0.229,0.225,1.846B,1.931B,
2008-03,1.258B,1.258B,239.85M,1.018B,194.96M,155.30M,,16.00M,22.70M,6.699M,350.26M,668.05M,22.70M,16.00M,6.699M,,6.699M,674.74M,188.32M,486.42M,,1.875M,488.30M,488.30M,720.38M,29.64M,690.75M,0.265,0.0,,0.265,0.265,0.255,0.0,,0.255,0.255,1.856B,1.933B,
2007-12,1.095B,1.095B,215.54M,879.18M,180.05M,184.65M,,,,,364.70M,514.48M,,,,,,543.23M,141.59M,401.64M,,2.076M,401.64M,401.64M,523.95M,9.465M,514.48M,0.215,0.0,,0.215,0.215,0.21,0.0,,0.21,0.21,1.862B,1.938B,
2007-09,1.059B,1.059B,198.46M,860.34M,172.96M,140.36M,,,,,313.31M,547.03M,,,,,,576.02M,177.70M,398.32M,,2.478M,398.32M,398.32M,562.56M,15.53M,547.03M,0.215,0.0,,0.215,0.215,0.21,0.0,,0.21,0.21,1.854B,1.918B,
2007-06,1.048B,1.048B,183.13M,864.96M,186.18M,135.93M,,,,,322.11M,542.85M,,,,,,570.23M,162.30M,407.93M,,2.401M,407.93M,407.93M,557.46M,14.61M,542.85M,0.22,0.0,,0.22,0.22,0.21,0.0,,0.21,0.21,1.863B,1.936B,
2007-03,1.028B,1.028B,171.64M,856.79M,166.56M,130.09M,,,,,296.65M,560.14M,,,,,,580.85M,173.45M,407.41M,,2.153M,407.41M,407.41M,571.82M,11.67M,560.14M,0.22,0.0,,0.22,0.22,0.2125,0.0,,0.2125,0.2125,1.854B,1.925B,
2006-12,899.23M,899.23M,155.29M,743.94M,147.09M,111.62M,-2.038B,,,,258.71M,485.22M,,,,-2.038B,,-1.524B,141.99M,-1.666B,,2.388M,-1.666B,-442.56M,496.99M,11.77M,485.22M,-0.91,0.0,,-0.2454,-0.91,-0.91,0.0,,-0.2454,-0.91,1.840B,1.840B,
2006-09,748.73M,748.73M,109.79M,638.94M,132.53M,93.30M,-355.57M,,,,225.83M,413.11M,,,,-355.57M,,89.30M,141.46M,-52.16M,,1.64M,-52.16M,161.18M,424.79M,11.68M,413.11M,-0.03,0.0,,0.0866,-0.03,-0.03,0.0,,0.0866,-0.03,1.830B,1.830B,
2006-06,685.30M,685.30M,77.88M,607.42M,151.57M,90.54M,,,,,242.10M,365.32M,,,,,,398.71M,133.56M,265.15M,,1.244M,265.15M,265.15M,377.90M,12.59M,365.32M,0.145,0.0,,0.145,0.145,0.14,0.0,,0.14,0.14,1.830B,1.905B,
2006-03,692.88M,692.88M,90.36M,602.52M,142.47M,88.40M,,,,,230.87M,371.65M,,,,,,397.45M,134.74M,262.70M,,0.994M,262.70M,262.70M,382.90M,11.24M,371.65M,0.1425,0.0,,0.1425,0.1425,0.1375,0.0,,0.1375,0.1375,1.846B,1.927B,
2005-12,609.27M,609.27M,74.14M,535.12M,106.52M,68.76M,,,,,175.28M,359.84M,,,,,,378.99M,97.38M,281.60M,,1.597M,281.60M,281.60M,371.71M,11.87M,359.84M,0.1525,0.0,,0.1525,0.1525,0.1475,0.0,,0.1475,0.1475,1.834B,1.920B,
2005-09,493.45M,493.45M,65.50M,427.95M,100.87M,78.83M,,,,,179.70M,248.25M,,,,,,263.57M,84.34M,179.23M,,1.223M,179.23M,179.23M,259.58M,11.33M,248.25M,0.0975,0.0,,0.0975,0.0975,0.095,0.0,,0.095,0.095,1.824B,1.904B,
2005-06,495.27M,495.27M,63.27M,432.00M,94.80M,59.70M,,,,,154.50M,277.50M,,,,,,288.18M,92.22M,195.97M,,0.914M,195.97M,195.97M,283.93M,6.435M,277.50M,0.1075,0.0,,0.1075,0.1075,0.1025,0.0,,0.1025,0.1025,1.812B,1.890B,
2005-03,430.41M,430.41M,57.42M,373.00M,79.09M,70.43M,,,,,149.52M,223.48M,,,,,,231.05M,73.94M,157.11M,,0.261M,157.11M,157.11M,229.61M,6.137M,223.48M,0.0875,0.0,,0.0875,0.0875,0.085,0.0,,0.085,0.085,1.798B,1.870B,
2004-12,369.58M,369.58M,48.70M,320.88M,89.72M,70.16M,-7.438M,,,,159.88M,161.00M,,,,-7.438M,,162.52M,52.28M,110.24M,,,110.24M,115.29M,167.42M,6.429M,161.00M,0.0625,0.0,,0.0654,0.0625,0.0625,0.0,,0.0652,0.0625,1.761B,1.872B,
2004-09,326.19M,326.19M,40.84M,285.34M,72.37M,49.20M,,,,,121.58M,163.77M,,,,,,166.53M,53.29M,113.24M,,,113.24M,113.24M,169.89M,6.118M,163.77M,0.065,0.0,,0.065,0.065,0.0625,0.0,,0.0625,0.0625,1.725B,1.862B,
2004-06,319.72M,319.72M,42.09M,277.63M,73.79M,45.64M,,,,,119.43M,158.20M,,,,,,161.54M,50.08M,111.46M,,,111.46M,111.46M,164.21M,6.011M,158.20M,0.065,0.0,,0.065,0.065,0.0612,0.0,,0.0612,0.0612,1.716B,1.848B,
2004-03,309.13M,309.13M,34.95M,274.18M,71.21M,58.54M,20.58M,,,,129.76M,144.42M,,,,20.58M,,165.84M,51.41M,114.43M,,,114.43M,100.23M,150.27M,5.85M,144.42M,0.0675,0.0,,0.0592,0.0675,0.0625,0.0,,0.0548,0.0625,1.709B,1.842B,
2003-12,287.16M,263.52M,33.28M,230.24M,90.03M,42.01M,-33.86M,,,,142.26M,87.98M,,,,-33.86M,,85.26M,-107.32M,192.58M,,,192.58M,212.90M,94.13M,6.157M,87.98M,0.12,0.0,,0.1324,0.12,0.12,0.0,,0.1324,0.12,1.633B,1.633B,
2003-09,194.08M,200.37M,25.94M,174.44M,59.28M,35.98M,6.297M,,,,95.26M,79.17M,,,,6.297M,,76.95M,3.855M,73.10M,,,73.10M,67.11M,84.32M,5.152M,79.17M,0.045,0.0,,0.0413,0.045,0.0425,0.0,,0.0393,0.0425,1.613B,1.867B,
2003-06,238.87M,238.87M,32.11M,206.76M,55.67M,43.32M,,,,,98.99M,107.77M,,,,,,105.65M,5.275M,100.37M,,,100.37M,100.37M,112.72M,4.951M,107.77M,0.0625,0.0,,0.0625,0.0625,0.0575,0.0,,0.0575,0.0575,1.602B,1.843B,
2003-03,165.10M,165.10M,21.37M,143.73M,47.59M,41.14M,-488.60M,,,,88.73M,55.00M,,,,-488.60M,,-435.39M,2.66M,-438.05M,,,-438.05M,-144.89M,59.60M,4.599M,55.00M,-0.2762,0.0,,-0.0915,-0.2762,-0.2762,0.0,,-0.0915,-0.2762,1.587B,1.587B,
2002-12,145.03M,145.03M,19.55M,125.48M,57.62M,35.02M,0.00,,,,92.64M,32.84M,,,,0.00,,36.56M,1.076M,35.48M,,,35.48M,35.48M,36.73M,3.889M,32.84M,0.0225,0.0,,0.0225,0.0225,0.0212,0.0,,0.0212,0.0212,1.576B,1.659B,
2002-09,133.98M,133.98M,20.41M,113.57M,42.32M,35.34M,-16.05M,,,,77.66M,35.92M,,,,-16.05M,,21.31M,0.55M,20.76M,,,20.76M,36.39M,39.66M,3.748M,35.92M,0.0138,0.0,,0.0237,0.0138,0.0125,0.0,,0.022,0.0125,1.569B,1.649B,
2002-06,109.36M,109.36M,17.72M,91.64M,41.60M,30.85M,,,,,72.45M,19.19M,,,,,,20.35M,0.638M,19.71M,,,19.71M,19.71M,22.63M,3.433M,19.19M,0.0125,0.0,,0.0125,0.0125,0.0119,0.0,,0.0119,0.0119,1.561B,1.651B,
2002-03,78.42M,78.42M,12.04M,66.37M,39.76M,33.55M,,,,,73.32M,-6.943M,,,,,,-4.814M,-0.964M,-3.85M,,,-3.85M,-3.85M,-3.585M,3.358M,-6.943M,-0.0025,0.0,,-0.0025,-0.0025,-0.0025,0.0,,-0.0025,-0.0025,1.550B,1.550B,
2001-12,74.33M,74.33M,13.18M,61.15M,41.48M,44.60M,159.90M,,,,86.08M,-24.92M,,,,157.77M,,134.74M,3.168M,131.58M,0.00,,131.58M,-24.56M,-21.08M,3.845M,-24.92M,0.0869,0.0006,0.0,-0.0148,0.0875,0.0844,0.0006,-0.0,0.0032,0.085,1.536B,1.923B,
2001-09,50.92M,50.92M,9.208M,41.71M,32.05M,45.73M,8.254M,,,,77.78M,-36.07M,,,,8.254M,,-24.52M,0.174M,-25.20M,,,-25.20M,-30.15M,-32.28M,3.793M,-36.07M,-0.0162,0.0,,-0.0195,-0.0162,-0.0162,0.0,,-0.0195,-0.0162,1.525B,1.525B,
2001-06,50.69M,50.69M,10.80M,39.89M,29.71M,44.08M,,,,,73.78M,-33.90M,,,,-1.24M,,-32.06M,0.323M,-32.39M,,,-32.39M,-32.39M,-30.29M,3.608M,-33.90M,-0.0212,0.0,,-0.0212,-0.0212,-0.0212,0.0,,-0.0212,-0.0212,1.516B,1.516B,
2001-03,57.84M,57.84M,10.58M,47.26M,21.91M,51.15M,-0.39M,,,,73.06M,-25.80M,,,,-0.39M,,-22.34M,0.47M,-22.81M,1.089M,,-21.72M,-22.58M,-22.36M,3.445M,-25.80M,-0.015,0.0006,0.0,-0.0148,-0.0144,-0.015,0.0006,0.0007,-0.0148,-0.0144,1.510B,1.510B,
