,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,236.06M,236.06M,126.78M,109.28M,52.26M,15.83M,,4.041M,,,,,72.13M,37.14M,,,0.558M,,37.70M,-1.461M,39.16M,,,39.16M,39.16M,52.68M,15.54M,37.14M,,1.02,,,1.02,1.02,,0.97,,,0.97,0.97,,38.39M,40.22M,0.00,,AOR,Restated
2018-03,221.17M,221.17M,118.37M,102.80M,47.60M,13.05M,,3.315M,,,,,63.97M,38.84M,,,0.599M,,39.44M,1.612M,37.82M,,,37.82M,37.82M,52.95M,14.11M,38.84M,,1.00,,,1.00,1.00,,0.95,,,0.95,0.95,,38.00M,39.84M,0.00,,AOR,Restated
2017-12,217.70M,217.70M,112.35M,105.35M,45.62M,12.02M,,3.365M,,,,,61.00M,44.35M,,,0.914M,,45.26M,-20.94M,66.20M,,,66.20M,66.20M,58.04M,13.70M,44.35M,,1.64,,,1.64,1.64,,1.56,,,1.56,1.56,,37.38M,39.19M,0.00,,AOR,Restated
2017-09,214.71M,214.71M,110.72M,103.99M,44.51M,11.83M,,3.36M,,,,,59.71M,44.28M,,,0.075M,,44.36M,5.521M,38.84M,,,38.84M,38.84M,57.88M,13.60M,44.28M,,1.04,,,1.04,1.04,,0.99,,,0.99,0.99,,37.39M,39.34M,0.00,,AOR,Restated
2017-06,208.76M,208.76M,113.26M,95.50M,43.00M,11.87M,,3.331M,,,,,58.20M,37.30M,,,-0.101M,,37.20M,5.427M,31.77M,,,31.77M,31.77M,50.43M,13.14M,37.30M,,0.86,,,0.86,0.86,,0.81,,,0.81,0.81,,37.15M,39.20M,0.00,,AOR,Restated
2017-03,199.73M,199.73M,105.19M,94.54M,42.78M,11.60M,,3.325M,,,,,57.70M,36.83M,,,-0.19M,,36.64M,3.872M,32.77M,,,32.77M,32.77M,49.80M,12.97M,36.83M,,0.89,,,0.89,0.89,,0.84,,,0.84,0.84,,36.84M,38.93M,0.00,,AOR,Restated
2016-12,197.12M,197.12M,100.46M,96.65M,40.18M,11.79M,,2.929M,,,,,54.90M,41.76M,,,-0.285M,,41.47M,6.43M,35.04M,,,35.04M,35.04M,54.01M,12.25M,41.76M,,0.85,,,0.85,0.85,,0.80,,,0.80,0.80,,36.48M,38.80M,0.00,,AOR,Restated
2016-09,194.50M,194.50M,101.02M,93.48M,42.01M,11.07M,,3.458M,,,,,56.54M,36.94M,,,-0.526M,,36.42M,0.989M,35.43M,,,35.43M,35.43M,49.62M,12.67M,36.94M,,0.97,,,0.97,0.97,,0.91,,,0.91,0.91,,36.43M,39.06M,0.00,,AOR,Restated
2016-06,188.97M,188.97M,102.04M,86.94M,42.23M,10.34M,,3.453M,,,,,56.02M,30.92M,,,-0.72M,,30.20M,5.188M,25.01M,,,25.01M,25.01M,43.59M,12.67M,30.92M,,0.69,,,0.69,0.69,,0.65,,,0.65,0.65,,36.16M,38.74M,0.00,,AOR,Restated
2016-03,179.29M,179.29M,97.18M,82.12M,40.76M,9.956M,,3.362M,,,,,54.08M,28.04M,,,-0.467M,,27.57M,9.35M,18.22M,,,18.22M,18.22M,40.22M,12.18M,28.04M,,0.50,,,0.50,0.50,,0.47,,,0.47,0.47,,36.55M,39.07M,0.00,,AOR,Restated
2015-12,158.92M,158.92M,85.69M,73.22M,42.51M,8.615M,,2.32M,,,,,53.44M,19.78M,,,-0.24M,,19.54M,10.92M,8.618M,,,8.618M,8.618M,27.77M,7.988M,19.78M,,0.24,,,0.24,0.24,,0.23,,,0.23,0.23,,35.19M,37.72M,0.00,,AOR,Restated
2015-09,150.84M,150.84M,79.01M,71.83M,31.87M,7.193M,,1.282M,,,,,40.34M,31.49M,,,0.255M,,31.74M,11.60M,20.14M,,,20.14M,20.14M,35.59M,4.102M,31.49M,,0.59,,,0.59,0.59,,0.55,,,0.55,0.55,,33.90M,36.35M,0.00,,AOR,Restated
2015-06,146.30M,146.30M,78.04M,68.25M,30.40M,7.11M,,1.151M,,,,,38.66M,29.60M,,,0.185M,,29.78M,10.94M,18.84M,,,18.84M,18.84M,33.37M,3.771M,29.60M,,0.56,,,0.56,0.56,,0.52,,,0.52,0.52,,33.75M,36.10M,0.00,,AOR,Restated
2015-03,134.97M,134.97M,71.09M,63.88M,28.54M,7.004M,,1.152M,,,,,36.70M,27.18M,,,0.181M,,27.36M,10.09M,17.27M,,,17.27M,17.27M,30.89M,3.713M,27.18M,,0.51,,,0.51,0.51,,0.48,,,0.48,0.48,,33.56M,35.90M,0.00,,AOR,Restated
2014-12,127.44M,127.44M,66.95M,60.49M,28.13M,6.615M,,1.153M,,,,,35.90M,24.59M,,,0.167M,,24.76M,9.443M,15.32M,,,15.32M,15.32M,28.26M,3.669M,24.59M,,0.46,,,0.46,0.46,,0.43,,,0.43,0.43,,33.20M,35.59M,0.00,,AOR,Restated
2014-09,128.66M,128.66M,66.87M,61.79M,27.34M,6.567M,,1.136M,,,,,35.05M,26.74M,,,-0.047M,,26.70M,9.698M,17.00M,,,17.00M,17.00M,30.40M,3.655M,26.74M,,0.52,,,0.52,0.52,,0.48,,,0.48,0.48,,32.94M,35.28M,0.00,,AOR,Restated
2014-06,124.37M,124.37M,65.81M,58.56M,27.42M,6.389M,,1.128M,,,,,34.94M,23.62M,,,-0.216M,,23.41M,8.666M,14.74M,,,14.74M,14.74M,27.25M,3.625M,23.62M,,0.45,,,0.45,0.45,,0.42,,,0.42,0.42,,32.92M,35.16M,0.00,,AOR,Restated
2014-03,112.63M,112.63M,60.10M,52.53M,25.37M,6.172M,,1.129M,,,,,32.67M,19.86M,,,-0.259M,,19.60M,7.72M,11.88M,,,11.88M,11.88M,23.52M,3.656M,19.86M,,0.36,,,0.36,0.36,,0.33,,,0.33,0.33,,32.92M,35.50M,0.00,,AOR,Restated
2013-12,110.74M,110.74M,57.97M,52.77M,26.09M,6.095M,,1.129M,,,,,33.32M,19.45M,,,-0.39M,,19.06M,8.55M,10.51M,,,10.51M,10.51M,23.14M,3.693M,19.45M,,0.32,,,0.32,0.32,,0.30,,,0.30,0.30,,32.09M,34.94M,0.00,,AOR,Restated
2013-09,107.02M,107.02M,57.47M,49.55M,24.58M,5.982M,,1.129M,,,,,31.69M,17.86M,,,-0.285M,,17.57M,6.523M,11.05M,,,11.05M,11.05M,21.27M,3.412M,17.86M,,0.34,,,0.34,0.34,,0.32,,,0.32,0.32,,32.04M,34.76M,0.00,,AOR,Restated
2013-06,103.09M,103.09M,56.05M,47.04M,24.97M,5.594M,,1.128M,,,,,31.69M,15.35M,,,-0.296M,,15.05M,6.006M,9.047M,,,9.047M,9.047M,18.71M,3.359M,15.35M,,0.29,,,0.29,0.29,,0.26,,,0.26,0.26,,31.62M,34.29M,0.00,,AOR,Restated
2013-03,95.80M,95.80M,51.95M,43.84M,22.65M,5.598M,,1.131M,,,,,29.38M,14.47M,,,-0.338M,,14.13M,5.639M,8.493M,,,8.493M,8.493M,17.79M,3.322M,14.47M,,0.27,,,0.27,0.27,,0.25,,,0.25,0.25,,31.40M,33.95M,0.00,,AOR,Restated
2012-12,95.37M,95.37M,50.73M,44.64M,22.76M,5.365M,,1.093M,,,,,29.22M,15.42M,,,-0.384M,,15.04M,5.659M,9.376M,,,9.376M,9.376M,18.51M,3.095M,15.42M,,0.30,,,0.30,0.30,,0.28,,,0.28,0.28,,30.51M,33.15M,0.00,,AOR,Restated
2012-09,93.84M,93.84M,48.90M,44.94M,20.91M,4.273M,,1.103M,,,,,26.28M,18.66M,,,-0.849M,,17.81M,6.978M,10.83M,,,10.83M,10.83M,21.94M,3.28M,18.66M,,0.36,,,0.36,0.36,,0.33,,,0.33,0.33,,30.39M,32.99M,0.00,,AOR,Restated
2012-06,91.37M,91.37M,50.67M,40.70M,21.70M,5.408M,,1.137M,,,,,28.24M,12.46M,,,-0.773M,,11.68M,4.577M,7.105M,,,7.105M,7.105M,15.76M,3.31M,12.46M,,0.24,,,0.24,0.24,,0.22,,,0.22,0.22,,30.17M,32.77M,0.00,,AOR,Restated
2012-03,82.72M,82.72M,45.30M,37.42M,21.34M,5.094M,,0.946M,,,,,27.38M,10.04M,,,-0.703M,,9.341M,3.66M,5.681M,,,5.681M,5.681M,13.07M,3.026M,10.04M,,0.19,,,0.19,0.19,,0.17,,,0.17,0.17,,30.02M,32.53M,0.00,,AOR,Restated
2011-12,82.08M,82.08M,43.06M,39.02M,21.14M,2.634M,,0.923M,,,,,24.70M,14.32M,,,-0.818M,,13.50M,4.805M,8.699M,,,8.699M,8.699M,17.22M,2.898M,14.32M,,0.29,0.00,,0.29,0.29,,0.27,0.00,,0.27,0.27,,31.33M,33.54M,0.00,,AOR,Restated
2011-09,77.18M,77.18M,41.05M,36.13M,18.76M,4.196M,,0.801M,-0.562M,,,,23.75M,12.38M,,,-0.562M,,11.82M,4.312M,7.506M,,,7.506M,7.863M,14.94M,2.559M,12.38M,,0.24,0.00,,0.2515,0.24,,0.23,0.00,,0.2408,0.23,,31.10M,32.96M,0.00,,AOR,Restated
2011-06,76.74M,76.74M,42.60M,34.14M,18.47M,5.035M,,0.803M,-0.524M,,,,24.30M,9.833M,,,-0.524M,,9.309M,3.685M,5.624M,,,5.624M,5.941M,12.47M,2.634M,9.833M,,0.18,0.00,,0.1899,0.18,,0.17,0.00,,0.1794,0.17,,32.00M,33.85M,0.00,,AOR,Restated
2011-03,73.39M,73.39M,40.77M,32.62M,17.29M,4.549M,,0.804M,-0.50M,,,,22.64M,9.982M,,,-0.50M,,9.482M,3.754M,5.728M,,,5.728M,6.030M,12.57M,2.585M,9.982M,,0.18,0.00,,0.1894,0.18,,0.17,0.00,,0.1790,0.17,,32.09M,33.72M,0.00,,AOR,Restated
2010-12,72.44M,72.44M,39.82M,32.62M,17.14M,3.478M,,0.806M,,,,,21.43M,11.19M,,,-1.03M,,10.16M,2.949M,7.21M,,,7.21M,7.21M,13.90M,2.711M,11.19M,,0.22,,,0.22,0.22,,0.21,,,0.21,0.21,,34.08M,35.69M,0.00,,AOR,Restated
2010-09,73.77M,73.77M,40.56M,33.21M,17.34M,3.233M,,0.806M,-0.568M,,,,21.38M,11.83M,,,-0.568M,,11.26M,4.54M,6.723M,,,6.723M,7.064M,14.59M,2.759M,11.83M,,0.20,0.00,,0.2100,0.20,,0.19,0.00,,0.1996,0.19,,34.10M,35.41M,0.00,,AOR,Restated
2010-06,72.60M,72.60M,40.12M,32.48M,17.44M,3.744M,,0.807M,-0.102M,,,,21.99M,10.48M,,,-0.102M,,10.38M,4.134M,6.249M,,,6.249M,6.310M,13.15M,2.669M,10.48M,,0.18,0.00,,0.1818,0.18,,0.17,0.00,,0.1717,0.17,,34.86M,36.20M,0.00,,AOR,Restated
2010-03,69.82M,69.82M,39.80M,30.02M,17.56M,3.516M,,0.806M,-0.042M,,,,21.88M,8.136M,,,-0.042M,,8.094M,3.222M,4.872M,,,4.872M,4.897M,10.78M,2.649M,8.136M,,0.14,0.00,,0.1407,0.14,,0.13,0.00,,0.1307,0.13,,35.10M,36.66M,0.00,,AOR,Restated
2009-12,74.22M,74.22M,40.98M,33.24M,18.51M,3.112M,,0.671M,-0.027M,,,,22.29M,10.95M,,,-0.027M,,10.92M,4.266M,6.656M,,,6.656M,6.672M,13.38M,2.432M,10.95M,,0.19,0.00,,0.1905,0.19,,0.18,0.00,,0.1804,0.18,,35.28M,36.82M,0.00,,AOR,Restated
2009-09,74.33M,74.33M,41.10M,33.24M,17.11M,2.973M,,0.685M,-0.042M,,,,20.77M,12.46M,,,-0.042M,,12.42M,4.946M,7.475M,,,7.475M,7.500M,14.79M,2.331M,12.46M,,0.21,0.00,,0.2107,0.21,,0.20,0.00,,0.2007,0.20,,35.12M,36.49M,0.00,,AOR,Restated
2009-06,72.17M,72.17M,40.18M,32.00M,17.08M,2.839M,,0.677M,-0.063M,,,,20.60M,11.40M,,,-0.063M,,11.33M,4.461M,6.873M,,,6.873M,6.911M,13.80M,2.402M,11.40M,,0.19,0.00,,0.1911,0.19,,0.19,0.00,,0.1910,0.19,,35.34M,36.72M,0.00,,AOR,Restated
2009-03,69.56M,69.56M,39.27M,30.29M,17.41M,2.235M,,0.672M,-0.014M,,,,20.32M,9.975M,,,-0.014M,,9.961M,3.955M,6.006M,,,6.006M,6.014M,12.31M,2.332M,9.975M,,0.17,0.00,,0.1702,0.17,,0.16,0.00,,0.1602,0.16,,35.50M,36.75M,0.00,,AOR,Restated
2008-12,69.54M,69.54M,40.60M,28.94M,16.77M,1.801M,,0.668M,9.182M,,,0.00,19.24M,9.708M,,,9.182M,,9.845M,4.714M,5.131M,,,5.131M,-0.8373M,13.33M,3.622M,9.708M,,0.13,0.00,,-0.0332,0.13,,0.13,0.00,,-0.0276,0.13,,36.58M,37.86M,0.00,,AOR,Restated
2008-09,68.64M,68.64M,38.69M,29.95M,15.98M,1.416M,,0.612M,0.398M,,,,18.01M,11.94M,,,0.398M,,12.34M,5.976M,6.359M,,,6.359M,6.100M,15.01M,3.068M,11.94M,,0.17,0.00,,0.1633,0.17,,0.16,0.00,,0.1535,0.16,,38.47M,40.02M,0.00,,,
2008-06,67.57M,67.57M,38.48M,29.09M,15.42M,2.253M,,0.591M,-8.801M,,,9.045M,27.31M,1.782M,,,-8.801M,,2.026M,1.78M,0.246M,,,0.246M,5.967M,4.767M,2.985M,1.782M,,0.01,0.00,,0.1602,0.01,,0.01,0.00,,0.1543,0.01,,38.09M,39.63M,0.00,,,
2008-03,59.35M,59.35M,37.55M,21.80M,14.75M,1.816M,,0.567M,0.402M,,,,17.14M,4.668M,,,0.402M,,5.07M,1.944M,3.126M,,,3.126M,2.878M,7.604M,2.936M,4.668M,,0.08,0.00,,0.0735,0.08,,0.08,0.00,,0.0737,0.08,,38.02M,39.53M,0.00,,,
2007-12,60.42M,60.42M,35.98M,24.44M,13.28M,1.177M,,0.403M,0.548M,,,,14.86M,9.58M,,,0.548M,,10.13M,3.938M,6.19M,,,6.19M,5.855M,13.00M,3.416M,9.58M,,0.16,0.00,,0.1514,0.16,,0.15,0.00,,0.1417,0.15,,38.79M,40.39M,0.00,,,
2007-09,54.93M,54.93M,33.30M,21.63M,12.69M,0.639M,,0.372M,0.441M,,,,13.70M,7.928M,,,0.441M,,8.369M,3.209M,5.16M,,,5.16M,4.888M,10.57M,2.641M,7.928M,,0.13,0.00,,0.1230,0.13,,0.12,0.00,,0.1134,0.12,,38.69M,41.40M,0.00,,,
2007-06,54.11M,54.11M,33.78M,20.34M,12.78M,1.404M,,0.356M,0.364M,,,,14.54M,5.796M,,,0.364M,,6.16M,2.41M,3.75M,,,3.75M,3.528M,8.401M,2.605M,5.796M,,0.10,0.00,,0.0942,0.10,,0.09,0.00,,0.0847,0.09,,38.54M,41.45M,0.00,,,
2007-03,50.33M,50.33M,32.31M,18.02M,12.98M,1.223M,,0.347M,0.447M,,,,14.55M,3.476M,,,0.447M,,3.923M,1.522M,2.401M,,,2.401M,2.127M,6.025M,2.549M,3.476M,,0.06,0.00,,0.0530,0.06,,0.06,0.00,,0.0535,0.06,,38.81M,42.07M,0.00,,,
2006-12,51.16M,51.16M,30.92M,20.24M,16.13M,,,0.345M,0.477M,,,,13.98M,6.255M,,,0.477M,,6.732M,2.555M,4.177M,,,4.177M,3.881M,8.765M,2.51M,6.255M,,0.11,0.00,,0.1023,0.11,,0.10,0.00,,0.0929,0.10,,38.43M,41.74M,0.00,,,
2006-09,50.14M,50.14M,29.98M,20.16M,12.42M,0.78M,,0.326M,0.306M,,,,13.53M,6.63M,,,0.306M,,6.936M,2.523M,4.413M,,,4.413M,4.218M,9.101M,2.471M,6.63M,,0.11,0.00,,0.1050,0.11,,0.11,0.00,,0.1054,0.11,,38.70M,41.90M,0.00,,,
2006-06,49.15M,49.15M,30.20M,18.95M,12.99M,,,0.325M,0.20M,,,,13.32M,5.628M,,,0.20M,,5.828M,2.068M,3.76M,,,3.76M,3.631M,8.102M,2.474M,5.628M,,0.10,0.00,,0.0967,0.10,,0.09,0.00,,0.0869,0.09,,39.03M,41.95M,0.00,,,
2006-03,44.86M,44.86M,29.40M,15.46M,10.98M,0.902M,,0.322M,0.097M,,,,12.20M,3.262M,,,0.097M,,3.359M,1.347M,2.012M,,,2.012M,1.954M,5.909M,2.647M,3.262M,,0.05,0.00,,0.0485,0.05,,0.05,0.00,,0.0486,0.05,,39.11M,41.89M,0.00,,,
2005-12,44.31M,44.31M,27.61M,16.70M,11.59M,,,0.316M,0.303M,,,,11.91M,4.794M,,,0.303M,,5.097M,1.976M,3.121M,,,3.121M,2.935M,7.38M,2.586M,4.794M,,0.08,0.00,,0.0752,0.08,,0.07,0.00,,0.0656,0.07,,38.78M,41.82M,0.00,,,
2005-09,42.31M,42.31M,26.48M,15.82M,11.44M,,,0.317M,0.224M,,,,11.76M,4.06M,,,0.224M,,4.284M,1.703M,2.581M,,,2.581M,2.446M,6.578M,2.518M,4.06M,,0.07,0.00,,0.0665,0.07,,0.06,0.00,,0.0568,0.06,,39.10M,41.77M,0.00,,,
2005-06,43.18M,43.18M,27.14M,16.05M,11.26M,,,0.316M,-1.027M,,,,11.58M,4.471M,,,-1.027M,,3.444M,1.423M,2.021M,,,2.021M,2.637M,7.038M,2.567M,4.471M,,0.05,0.00,,0.0656,0.05,,0.05,0.00,,0.0647,0.05,,39.62M,41.94M,0.00,,,
2005-03,40.66M,40.66M,27.55M,13.11M,11.94M,,,0.515M,0.146M,,,,12.46M,0.654M,,,0.146M,,0.80M,0.33M,0.47M,,,0.47M,0.3824M,3.426M,2.772M,0.654M,,0.01,0.00,,0.0078,0.01,,0.01,0.00,,0.0080,0.01,,40.23M,42.74M,0.00,,,
2004-12,44.73M,44.73M,28.12M,16.62M,12.20M,,,-0.908M,0.036M,,,,11.29M,5.325M,,,0.036M,,5.361M,2.331M,3.03M,,,3.03M,3.008M,8.124M,2.799M,5.325M,,0.08,0.00,,0.0795,0.08,,0.07,0.00,,0.0695,0.07,,40.96M,44.05M,0.00,,,
2004-09,41.81M,41.81M,26.52M,15.30M,11.31M,,,0.583M,0.138M,,,,11.90M,3.401M,,,0.138M,,3.539M,1.507M,2.032M,,,2.032M,1.949M,6.22M,2.819M,3.401M,,0.05,0.00,,0.0480,0.05,,0.05,0.00,,0.0481,0.05,,41.31M,44.35M,0.00,,,
2004-06,44.26M,44.26M,27.16M,17.10M,11.41M,,,0.67M,0.041M,,,,12.08M,5.018M,,,0.041M,,5.059M,2.084M,2.975M,,,2.975M,2.950M,7.885M,2.867M,5.018M,,0.07,0.00,,0.0694,0.07,,0.07,0.00,,0.0695,0.07,,41.42M,44.80M,0.00,,,
2004-03,41.46M,41.46M,26.64M,14.82M,10.53M,,,0.922M,0.102M,,,,11.45M,3.376M,,,0.102M,,3.478M,1.387M,2.091M,,,2.091M,2.030M,6.277M,2.901M,3.376M,,0.05,0.00,,0.0485,0.05,,0.05,0.00,,0.0486,0.05,,41.47M,45.06M,0.00,,,
2003-12,39.12M,39.12M,25.27M,13.85M,9.55M,,,-1.265M,0.339M,,,,8.285M,5.565M,,,0.339M,,5.617M,2.149M,3.468M,,,3.892M,3.259M,7.932M,2.367M,5.565M,,0.1068,0.0102,,0.1020,0.1170,,0.08,0.00,,0.0753,0.08,,43.08M,44.49M,0.00,,,
2003-09,37.87M,37.87M,22.40M,15.47M,9.678M,,,0.68M,,,,,10.36M,5.112M,,,,,5.253M,2.02M,3.233M,,,3.233M,3.233M,7.86M,2.748M,5.112M,,0.08,0.00,,0.08,0.08,,0.07,0.00,,0.07,0.07,,40.46M,43.18M,0.00,,,
2003-06,36.14M,36.14M,22.27M,13.86M,10.06M,,,0.725M,,,,,10.79M,3.077M,,,,,3.214M,1.233M,1.981M,,,1.981M,1.981M,5.204M,2.127M,3.077M,,0.05,0.00,,0.05,0.05,,0.04,0.00,,0.04,0.04,,42.88M,44.80M,0.00,,,
2003-03,32.32M,32.32M,20.68M,11.64M,9.101M,,,0.785M,23.23M,,,,9.886M,1.758M,,,23.23M,,25.00M,7.704M,17.30M,,,17.30M,1.222M,3.912M,2.154M,1.758M,,0.38,0.00,,0.0302,0.38,,0.36,0.00,,0.0233,0.36,,45.95M,47.74M,0.00,,,
2002-12,37.23M,37.23M,23.00M,14.23M,8.592M,,,0.832M,,,,,9.424M,4.804M,,,,,4.086M,1.505M,2.581M,,,4.398M,2.581M,6.971M,2.167M,4.804M,,0.0535,0.0393,,0.0535,0.0928,,0.05,0.00,,0.05,0.05,,47.40M,48.47M,0.00,,,
2002-09,34.69M,34.69M,22.38M,12.31M,8.546M,,,0.832M,,,,,9.378M,2.934M,,,,,2.922M,1.183M,1.739M,,,1.739M,1.739M,5.071M,2.137M,2.934M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,47.17M,49.37M,0.00,,,
2002-06,33.60M,33.60M,21.90M,11.71M,8.596M,,,0.831M,-0.16M,,,,9.427M,2.281M,,,-0.16M,,2.116M,0.826M,1.29M,,,1.29M,1.388M,4.407M,2.126M,2.281M,,0.03,0.00,,0.0320,0.03,,0.03,0.00,,0.0319,0.03,,47.65M,50.40M,0.00,,,
2002-03,28.66M,28.66M,18.92M,9.734M,8.02M,,,0.834M,,,,,8.854M,0.88M,,,,,0.917M,0.355M,0.562M,,,0.562M,0.562M,2.972M,2.092M,0.88M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,47.39M,49.72M,0.00,,,
2001-12,32.13M,32.13M,20.79M,11.35M,7.96M,,,1.721M,-0.714M,,,,9.681M,1.665M,,,-0.714M,,1.31M,1.147M,0.163M,0.035M,,0.198M,0.5914M,4.569M,2.904M,1.665M,,0.01,0.00,,0.0191,0.01,,0.01,0.00,,0.0188,0.01,,47.22M,48.94M,0.00,,,
2001-09,28.44M,28.44M,18.52M,9.92M,7.508M,,,1.721M,,,,,9.229M,0.691M,,,,,0.614M,0.363M,0.251M,-0.023M,,0.228M,0.251M,3.502M,2.811M,0.691M,,0.01,-0.01,,0.01,0.00,,0.0052,-0.01,,0.0052,0.00,,47.17M,48.40M,0.00,,,
2001-06,30.98M,30.98M,20.84M,10.13M,7.782M,,,1.719M,0.235M,,,,9.501M,0.631M,,,0.235M,,0.745M,0.373M,0.372M,-0.001M,,0.371M,0.231M,3.31M,2.679M,0.631M,,0.01,0.00,,0.0070,0.01,,0.0078,-0.0000,,0.0049,0.0078,,47.15M,47.42M,0.00,,,
