,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,39.16M,,15.54M,15.54M,-2.538M,12.93M,,12.93M,-79.10M,,-2.148M,-2.895M,,,41.65M,-42.49M,,22.60M,,-6.057M,,-6.057M,0.00,-157.15M,-2.811M,-0.929M,-166.95M,,0.00,,0.00,,0.00,0.00,,26.98M,,26.98M,,210.62M,-117.37M,93.25M,,,,,0.00,,AOR,Restated
2018-03,37.82M,,14.11M,14.11M,-2.658M,10.56M,,10.56M,30.23M,,1.333M,-15.65M,,,-31.11M,-15.20M,,44.63M,,-8.895M,,-8.895M,0.00,0.00,-32.88M,0.743M,-41.04M,,0.00,,0.00,,0.00,0.00,,21.10M,,21.10M,,185.93M,24.69M,210.62M,,,,,0.00,,AOR,Restated
2017-12,66.20M,,13.70M,13.70M,-19.96M,9.98M,,9.98M,-34.86M,,-3.295M,8.812M,,,10.78M,-18.57M,,53.37M,,-5.323M,,-5.323M,,-1.583M,-2.263M,-0.419M,-9.588M,,0.00,,0.00,,-0.442M,-0.442M,,17.98M,,17.54M,,124.60M,61.32M,185.93M,,,,,-0.442M,,AOR,Restated
2017-09,38.84M,,13.60M,13.60M,-4.858M,9.791M,,9.791M,25.66M,,1.134M,16.34M,,,-7.693M,35.44M,,92.81M,,-7.611M,,-7.611M,,-3.906M,-24.37M,0.486M,-35.40M,,0.00,,0.00,,0.00,0.00,,12.12M,,12.12M,,55.07M,69.53M,124.60M,,,,,0.00,,AOR,Restated
2017-06,31.77M,,13.14M,13.14M,-4.977M,8.901M,,8.901M,-69.88M,,-3.878M,-8.691M,,,35.01M,-47.43M,,1.396M,,-10.30M,,-10.30M,,-5.855M,-4.131M,-0.052M,-20.34M,,0.00,,0.00,,0.00,0.00,,10.29M,,10.29M,,63.73M,-8.659M,55.07M,,,,,0.00,,AOR,Restated
2017-03,32.77M,,12.97M,12.97M,-3.87M,8.676M,,8.676M,37.54M,,-0.919M,-9.529M,,,-29.46M,-2.363M,,48.18M,,-19.82M,,-19.82M,,,-0.232M,-0.016M,-20.07M,,-10.00M,,-10.00M,,-7.032M,-7.032M,,16.50M,,-0.531M,,36.15M,27.58M,63.73M,,,,,-7.032M,,AOR,Restated
2016-12,35.04M,,12.25M,12.25M,-15.14M,8.399M,,8.399M,-1.934M,,-0.923M,1.737M,,,7.893M,6.773M,,51.80M,,-8.197M,,-8.197M,,0.00,0.392M,-0.069M,-7.874M,,-24.00M,,-24.00M,,-17.34M,-17.34M,,10.24M,,-31.09M,,23.31M,12.84M,36.15M,,,,,-17.34M,,AOR,Restated
2016-09,35.43M,,12.67M,12.67M,-11.72M,7.656M,,7.656M,20.89M,,2.604M,8.22M,,,3.459M,35.17M,,79.21M,,-7.57M,,-7.57M,,0.00,0.21M,0.229M,-7.131M,,-101.00M,,-101.00M,,-0.002M,-0.002M,,10.91M,,-90.10M,,41.33M,-18.01M,23.31M,,,,,-0.002M,,AOR,Restated
2016-06,25.01M,,12.67M,12.67M,0.335M,7.212M,,7.212M,-71.28M,,-3.509M,4.171M,,,44.91M,-25.71M,,19.52M,,-5.237M,,-5.237M,,-7.394M,-0.696M,-0.232M,-13.56M,,-5.00M,,-5.00M,,-0.567M,-0.567M,,5.592M,,0.025M,,35.34M,5.986M,41.33M,,,,,-0.567M,,AOR,Restated
2016-03,18.22M,,12.18M,12.18M,0.092M,6.48M,,6.48M,35.75M,,2.074M,-3.024M,,,-30.45M,4.349M,,41.32M,,-16.72M,,-16.72M,,-2.00M,-3.385M,-0.049M,-22.16M,,74.00M,,74.00M,,-93.93M,-93.93M,,3.019M,,-16.91M,,33.09M,2.254M,35.34M,,,,,-93.93M,,AOR,Restated
2015-12,8.618M,,7.988M,7.988M,-8.599M,5.723M,10.80M,16.52M,10.44M,,-3.128M,0.106M,,,30.71M,38.13M,,64.41M,,-3.976M,,-3.976M,,-333.51M,-1.616M,0.005M,-339.10M,,66.00M,,66.00M,,0.00,0.00,,16.10M,-12.94M,69.16M,,238.61M,-205.53M,33.09M,,,,,0.00,,AOR,Restated
2015-09,20.14M,,4.102M,4.102M,0.643M,5.598M,-1.974M,3.624M,22.27M,,0.623M,4.357M,,,-0.659M,26.59M,,55.10M,,-2.399M,,-2.399M,,0.00,-22.94M,0.014M,-25.33M,,,,,,0.00,0.00,,2.764M,1.974M,4.738M,,204.10M,34.51M,238.61M,,,,,0.00,,AOR,Restated
2015-06,18.84M,,3.771M,3.771M,,4.603M,-5.269M,-0.666M,-44.94M,,-1.312M,5.036M,,,36.19M,-5.033M,,16.91M,,-4.217M,,-4.217M,,-6.122M,-6.449M,-0.009M,-16.80M,,0.00,,0.00,,-0.645M,-0.645M,,4.647M,5.269M,9.271M,,194.72M,9.382M,204.10M,,,,,-0.645M,,AOR,Restated
2015-03,17.27M,,3.713M,3.713M,,4.258M,-3.558M,0.70M,8.32M,,0.763M,-8.357M,,,-24.51M,-23.78M,,-2.095M,,-1.909M,,-1.909M,,-0.325M,-15.00M,,-17.23M,,,,,,,,,4.325M,3.558M,7.883M,,206.17M,-11.45M,194.72M,,,,,,,AOR,Restated
2014-12,15.32M,,3.669M,3.669M,,3.932M,6.717M,10.65M,26.06M,,-2.126M,-7.319M,,,3.369M,19.98M,,47.71M,,-1.306M,,-1.306M,,0.00,0.00,0.003M,-1.303M,,,,,,0.00,0.00,,9.048M,-6.717M,2.331M,,157.43M,48.74M,206.17M,,,,,0.00,,AOR,Restated
2014-09,17.00M,,3.655M,3.655M,,3.885M,-3.511M,0.374M,32.35M,,0.499M,11.67M,,,0.752M,45.27M,,66.30M,,-1.56M,,-1.56M,,-3.242M,0.808M,-0.124M,-4.118M,,,,,,-0.002M,-0.002M,,3.645M,3.511M,7.154M,,88.09M,69.34M,157.43M,,,,,-0.002M,,AOR,Restated
2014-06,14.74M,,3.625M,3.625M,,3.54M,-1.048M,2.492M,-62.50M,,-0.522M,9.154M,,,45.28M,-8.589M,,12.27M,,-2.847M,,-2.847M,,0.00,0.00,0.035M,-2.812M,,,,,,-22.82M,-22.82M,,3.258M,1.048M,-18.51M,,97.14M,-9.053M,88.09M,,,,,-22.82M,,AOR,Restated
2014-03,11.88M,,3.656M,3.656M,,3.462M,-2.158M,1.304M,24.30M,,-1.547M,-5.594M,,,-17.44M,-0.283M,,16.56M,,-3.63M,,-3.63M,,0.00,0.00,0.308M,-3.322M,,,,,,,,,2.873M,2.158M,5.031M,,78.88M,18.27M,97.14M,,,,,,,AOR,Restated
2013-12,10.51M,,3.693M,3.693M,,3.114M,-15.01M,-11.89M,2.612M,,-1.404M,-0.591M,,,5.228M,5.845M,,7.389M,,-6.596M,,-6.596M,,0.00,1.04M,0.02M,-5.536M,,0.00,,0.00,,,,,9.895M,15.01M,24.90M,,52.12M,26.76M,78.88M,,,,,,,AOR,Restated
2013-09,11.05M,,3.412M,3.412M,,3.061M,-7.539M,-4.478M,28.08M,,-0.154M,8.602M,,,-4.394M,32.13M,,42.12M,,-6.423M,,-6.423M,,0.00,0.025M,-0.024M,-6.422M,,0.00,,0.00,,0.00,0.00,,5.821M,7.539M,13.36M,,3.068M,49.05M,52.12M,,,,,0.00,,AOR,Restated
2013-06,9.047M,,3.359M,3.359M,,2.903M,-4.138M,-1.235M,-47.48M,,-1.392M,6.68M,,,30.52M,-11.67M,,-0.498M,,-8.75M,,-8.75M,,-0.181M,0.00,0.056M,-8.875M,,0.00,,0.00,,0.00,0.00,,3.808M,4.138M,7.946M,,4.495M,-1.427M,3.068M,,,,,0.00,,AOR,Restated
2013-03,8.493M,,3.322M,3.322M,,2.575M,-1.523M,1.052M,28.20M,,-1.204M,-7.61M,,,-15.16M,4.217M,,17.08M,,-5.089M,,-5.089M,,,0.025M,0.239M,-4.825M,,-18.00M,,-18.00M,,,,,2.307M,1.523M,-14.17M,,6.406M,-1.911M,4.495M,,,,,,,AOR,Restated
2012-12,9.376M,,3.095M,3.095M,,1.905M,-5.481M,-3.576M,-13.46M,,0.412M,0.067M,,,19.76M,6.773M,,16.41M,,-2.751M,,-2.751M,,-10.45M,0.00,-0.07M,-13.27M,,-10.00M,,-10.00M,,,,,7.68M,5.481M,3.161M,,0.103M,6.303M,6.406M,,,,,,,AOR,Restated
2012-09,10.83M,,3.28M,3.28M,,1.903M,-1.702M,0.201M,22.14M,,-0.04M,3.013M,,,-5.594M,19.52M,,33.83M,,-2.017M,,-2.017M,,-0.054M,0.05M,0.102M,-1.919M,,-37.70M,,-37.70M,,,,,3.879M,1.702M,-32.12M,,0.312M,-0.209M,0.103M,,,,,,,AOR,Restated
2012-06,7.105M,,3.31M,3.31M,,1.768M,-0.895M,0.873M,-39.74M,,0.079M,3.762M,,,14.96M,-20.95M,,-9.659M,,-3.286M,,-3.286M,,-9.301M,0.00,-0.061M,-12.65M,,9.70M,,9.70M,,,,,2.092M,0.895M,12.69M,,9.932M,-9.62M,0.312M,,,,,,,AOR,Restated
2012-03,5.681M,,3.026M,3.026M,,1.835M,-0.686M,1.149M,32.04M,,-0.341M,-7.741M,,,-15.73M,8.228M,,18.08M,,-1.048M,,-1.048M,,-5.874M,0.025M,,-6.897M,,-4.70M,,-4.70M,,,,,1.433M,0.686M,-2.581M,,1.326M,8.606M,9.932M,,,,,,,AOR,Restated
2011-12,,,2.898M,2.898M,,1.668M,-1.869M,-16.20M,-8.883M,,0.441M,1.149M,,,9.338M,2.045M,,11.33M,,-2.352M,,-2.352M,,-17.30M,0.00,0.518M,-19.13M,,34.20M,-31.50M,2.70M,-1.472M,-3.277M,-4.749M,,4.028M,1.869M,3.848M,,5.28M,-3.954M,1.326M,,-1.472M,,-31.50M,-3.277M,,AOR,Restated
2011-09,,,2.559M,2.559M,,1.616M,-0.029M,7.506M,14.45M,,0.159M,1.859M,,,-2.341M,14.13M,,25.78M,,-1.51M,,-1.51M,,0.00,0.025M,-0.015M,-1.50M,,-5.00M,31.50M,26.50M,0.548M,-47.64M,-47.09M,,0.154M,0.029M,-20.41M,,1.412M,3.868M,5.28M,,0.548M,,31.50M,-47.64M,,AOR,Restated
2011-06,,,2.634M,2.634M,,1.52M,-1.42M,5.624M,-23.24M,,-0.471M,-1.45M,,,18.66M,-6.498M,,1.86M,,-0.612M,,-0.612M,,0.00,0.00,0.00,-0.612M,,5.00M,4.00M,9.00M,0.468M,-14.04M,-13.58M,,1.073M,1.42M,-2.084M,,2.248M,-0.836M,1.412M,,0.468M,,4.00M,-14.04M,,AOR,Restated
2011-03,,,2.585M,2.585M,,1.449M,-0.272M,5.728M,15.21M,,-0.343M,3.904M,,,-10.80M,7.977M,,17.47M,,-7.804M,,-7.804M,,0.00,0.025M,0.214M,-7.565M,,,-4.00M,-4.00M,0.456M,-6.839M,-6.383M,,0.343M,0.272M,-9.768M,,2.114M,0.134M,2.248M,,0.456M,,-4.00M,-6.839M,,AOR,Restated
2010-12,25.05M,,2.711M,2.711M,,1.515M,-0.791M,-13.71M,-5.826M,,-0.321M,-0.847M,,0.759M,,-2.761M,,8.086M,,-0.733M,,-0.733M,,0.00,-6.00M,5.825M,-0.908M,,,-16.50M,10.00M,-1.404M,-24.12M,-25.52M,,3.219M,0.791M,-11.51M,,6.449M,-4.335M,2.114M,,-1.404M,-16.50M,,-24.12M,,AOR,Restated
2010-09,,,2.759M,2.759M,,1.544M,-0.048M,6.723M,11.85M,,-0.415M,4.783M,,0.441M,,16.66M,,27.64M,,-0.704M,,-0.704M,,0.00,5.025M,-0.006M,4.315M,,,1.85M,1.85M,0.453M,-27.28M,-26.82M,,0.256M,-1.979M,-26.70M,,1.192M,5.257M,6.449M,,0.453M,1.85M,,-27.28M,,AOR,Restated
2010-06,-4.872M,,2.669M,2.669M,,1.608M,-1.113M,9.704M,-26.09M,,0.66M,-3.378M,,12.09M,,-16.72M,,-7.308M,,-1.255M,,-1.255M,,-0.038M,0.00,0.028M,-1.265M,,,14.65M,14.65M,0.504M,-12.08M,-11.58M,,1.528M,1.113M,5.714M,,4.051M,-2.859M,1.192M,,0.504M,14.65M,,-12.08M,,AOR,Restated
2010-03,4.872M,,2.649M,2.649M,,1.465M,-0.048M,1.417M,18.08M,,0.18M,-6.973M,,-13.29M,,-2.004M,,6.934M,,-2.238M,,-2.238M,,-9.623M,1.05M,-0.025M,-10.84M,,,,,0.447M,-2.317M,-1.87M,,0.079M,0.048M,-1.743M,,9.696M,-5.645M,4.051M,,0.447M,,,-2.317M,,AOR,Restated
2009-12,6.656M,,2.432M,2.432M,,1.392M,-0.60M,-1.59M,2.295M,,0.083M,0.18M,,-0.554M,,2.004M,,11.69M,,-3.72M,,-3.72M,,0.00,-0.918M,0.953M,-3.685M,,,,-8.00M,0.425M,0.00,0.425M,,0.87M,6.499M,-0.206M,,1.895M,7.801M,9.696M,,0.425M,,-8.00M,0.00,,AOR,Restated
2009-09,7.475M,,2.331M,2.331M,,1.288M,-0.168M,1.12M,-2.47M,,1.166M,6.312M,,6.982M,,11.99M,,22.92M,,-4.094M,,-4.094M,,-0.70M,0.825M,0.003M,-3.966M,,,-7.425M,-7.425M,0.356M,-8.053M,-7.697M,,0.374M,-5.731M,-20.48M,,3.424M,-1.529M,1.895M,,0.356M,-7.425M,,-8.053M,,AOR,Restated
2009-06,6.873M,,2.402M,2.402M,,1.238M,-0.209M,1.029M,-17.40M,,0.29M,-2.435M,,5.368M,,-14.18M,,-3.873M,,-2.205M,,-2.205M,,-1.709M,0.90M,-0.904M,-3.918M,,,7.925M,7.925M,0.391M,-0.114M,0.277M,,0.493M,0.209M,8.904M,,2.311M,1.113M,3.424M,,0.391M,7.425M,0.50M,-0.114M,,AOR,Restated
2009-03,6.006M,,2.332M,2.332M,,1.127M,-0.148M,0.979M,11.30M,,-0.162M,0.484M,,-8.731M,,2.889M,,12.21M,,-2.333M,,-2.333M,,-0.525M,0.775M,-0.006M,-2.089M,,,-0.50M,-0.50M,0.322M,-10.10M,-9.774M,,0.558M,0.148M,-9.568M,,1.762M,0.549M,2.311M,,0.322M,,-0.50M,-10.10M,,AOR,Restated
2008-12,5.131M,,3.622M,3.622M,,,,-0.955M,-10.94M,,-0.853M,4.21M,,1.189M,,-6.398M,,2.403M,,-2.768M,,-1.381M,,0.00,0.50M,0.062M,-2.206M,,,,,-2.489M,-30.88M,-33.37M,,,-1.899M,-22.21M,,23.78M,-22.02M,1.762M,,-2.489M,,,-30.88M,,AOR,Restated
2008-09,6.359M,,3.068M,3.068M,,,,1.098M,14.82M,,0.883M,-0.157M,,1.393M,,16.94M,,27.46M,,-13.85M,,-13.85M,,-9.945M,0.05M,-0.047M,-23.79M,,,,,1.223M,-16.32M,-15.10M,,,2.198M,-12.90M,,33.01M,-9.233M,23.78M,,1.223M,,,-16.32M,,,
2008-06,0.246M,,2.985M,2.985M,,,,9.95M,-21.33M,,0.11M,-1.588M,,9.80M,,-13.01M,,0.171M,,-4.021M,,-4.021M,,-0.059M,2.25M,0.409M,-1.421M,,,,,0.846M,0.00,0.846M,,,0.325M,1.171M,,33.09M,-0.079M,33.01M,,0.846M,,,0.00,,,
2008-03,3.126M,,2.936M,2.936M,,,,0.716M,5.607M,,-0.478M,0.912M,,4.949M,,10.99M,,17.77M,,-0.891M,,-0.891M,,-13.86M,33.02M,-0.40M,17.86M,,,,,0.42M,-12.65M,-12.23M,,,0.042M,-12.18M,,9.642M,23.45M,33.09M,,0.42M,,,-12.65M,,,
2007-12,6.19M,,3.416M,3.416M,,,,1.413M,-8.107M,,-0.808M,-0.49M,,8.757M,0.80M,0.152M,,9.573M,,-1.112M,,-1.112M,,0.00,-12.73M,-0.40M,-14.24M,,,,,0.616M,-2.903M,-2.287M,,,0.773M,-1.514M,,15.82M,-6.181M,9.642M,,0.616M,,,-2.903M,,,
2007-09,5.16M,,2.641M,2.641M,,,,0.632M,9.117M,,0.13M,0.125M,,-1.248M,-0.80M,7.324M,,15.76M,,-1.03M,,-1.03M,,-3.919M,-7.043M,-0.003M,-12.00M,,,,,2.286M,-0.003M,2.283M,,,0.853M,3.136M,,8.925M,6.898M,15.82M,,2.286M,,,-0.003M,,,
2007-06,3.75M,,2.605M,2.605M,,,,0.575M,-14.38M,,0.933M,0.485M,,7.937M,,-5.021M,,1.909M,,-0.937M,,-0.937M,,-0.123M,-1.054M,0.505M,-1.609M,,,,,0.634M,-7.188M,-6.554M,,,0.068M,-6.486M,,15.11M,-6.186M,8.925M,,0.634M,,,-7.188M,,,
2007-03,2.401M,,2.549M,2.549M,,,,0.498M,11.79M,,-0.559M,-2.075M,,-7.733M,,1.424M,,6.872M,,-0.766M,,-0.766M,,-4.963M,-0.74M,0.038M,-6.431M,,,,,1.204M,-3.943M,-2.739M,,,0.197M,-2.542M,,17.21M,-2.101M,15.11M,,1.204M,,,-3.943M,,,
2006-12,4.177M,-0.14M,2.51M,2.51M,-2.379M,,,2.561M,-15.90M,,-0.905M,1.449M,,12.74M,,-2.612M,,4.117M,,-0.833M,,-0.833M,,0.00,-7.534M,0.05M,-8.317M,,,,,0.779M,-0.608M,0.171M,,,0.189M,0.36M,,21.05M,-3.84M,17.21M,,0.779M,,,-0.608M,,,
2006-09,4.413M,0.00,2.471M,2.471M,0.00,,,0.574M,6.994M,,-0.558M,-0.012M,1.292M,-3.116M,,4.60M,,12.06M,,-1.058M,,-1.058M,,-0.584M,-1.555M,0.009M,-3.188M,,,,,1.576M,-1.662M,-0.086M,,,0.294M,0.208M,,11.97M,9.078M,21.05M,,1.576M,,,-1.662M,,,
2006-06,3.76M,-0.471M,2.474M,2.474M,0.352M,,,1.103M,-1.498M,,-0.033M,0.189M,-1.292M,1.109M,-5.068M,-6.593M,,0.625M,,-1.478M,,-1.478M,,-0.04M,-0.20M,0.024M,-1.694M,,,,,0.482M,-6.07M,-5.588M,,,0.036M,-5.552M,,18.60M,-6.621M,11.97M,,0.482M,,,-6.07M,,,
2006-03,2.012M,0.611M,2.647M,2.647M,-0.493M,,,0.159M,,,,,,,5.068M,5.068M,,10.00M,,-0.955M,,-0.955M,,-11.61M,1.48M,-0.039M,-11.13M,,,,,1.081M,-2.191M,-1.11M,,,0.095M,-1.015M,,20.73M,-2.138M,18.60M,,1.081M,,,-2.191M,,,
2005-12,3.121M,1.653M,2.586M,2.586M,,,,,-12.55M,,-1.513M,0.921M,,,0.703M,-0.673M,,4.487M,,0.413M,,0.413M,,,0.436M,-0.041M,0.808M,,,,,1.591M,-2.254M,-0.663M,,,0.031M,-0.632M,,16.07M,4.663M,20.73M,,1.591M,,,-2.254M,,,
2005-09,2.581M,-0.023M,2.518M,2.518M,,,,,5.523M,,-0.604M,-0.36M,,,-0.139M,4.42M,,9.496M,,-1.262M,,-1.262M,,,-1.25M,0.729M,-1.783M,,,,0.031M,0.336M,-4.661M,-4.325M,,,-0.031M,-4.325M,,12.68M,3.388M,16.07M,,0.336M,,,-4.661M,,,
2005-06,2.021M,-0.062M,2.567M,2.567M,,,,,,,,,,,-4.795M,-4.795M,,-0.269M,,-0.264M,,-0.264M,,,2.025M,-0.286M,1.475M,,,,8.075M,0.725M,-10.77M,-10.04M,,,-0.343M,-2.311M,,13.79M,-1.105M,12.68M,,0.725M,,,-10.77M,,,
2005-03,0.47M,,2.772M,2.772M,,,,,,,,,,,4.231M,4.231M,,7.473M,,-0.621M,,-0.621M,,,2.369M,-0.428M,1.32M,,,,-8.106M,0.184M,,0.184M,,,0.343M,-7.579M,,12.57M,1.214M,13.79M,,0.184M,,,,,,
2004-12,3.03M,,2.799M,2.799M,,,,,,,,,,,-2.905M,-2.95M,,3.569M,,-0.633M,,-0.633M,,0.00,2.525M,-1.127M,0.765M,,,,-2.121M,2.613M,-4.959M,-2.346M,,,,-4.467M,,12.71M,-0.133M,12.57M,,2.613M,,,-4.959M,,,
2004-09,2.032M,,2.819M,2.819M,,,,,,,,,,,0.789M,0.789M,,5.64M,,-0.512M,,-0.512M,,-0.58M,-6.648M,-0.891M,-8.631M,,,,2.113M,-1.546M,-2.851M,-4.397M,,,,-2.284M,,17.98M,-5.275M,12.71M,,-1.546M,,,-2.851M,,,
2004-06,2.975M,,2.867M,2.867M,,,,,,,,,,,1.454M,1.454M,,7.296M,,-0.765M,,-0.765M,,-0.063M,1.95M,-0.978M,0.144M,,,,-0.009M,0.935M,-2.924M,-1.989M,,,,-1.998M,,12.54M,5.442M,17.98M,,0.935M,,,-2.924M,,,
2004-03,2.091M,,2.901M,2.901M,,,,,,,,,,,0.662M,0.662M,,5.654M,,-0.357M,,-0.357M,,-0.303M,-0.049M,-1.483M,-2.192M,,,,-0.018M,0.611M,-1.784M,-1.173M,,,,-1.191M,,10.27M,2.271M,12.54M,,0.611M,,,-1.784M,,,
2003-12,3.892M,1.264M,2.367M,2.367M,,,,,,,,,,,-13.22M,-8.40M,,2.908M,,-0.609M,-0.127M,-0.736M,,,-26.43M,18.68M,-8.355M,,,,0.134M,1.02M,0.00,1.02M,,,,1.154M,,14.56M,-4.293M,10.27M,,1.02M,,,0.00,,,
2003-09,3.233M,0.098M,2.748M,2.748M,,,,0.088M,,,,,,,7.709M,7.709M,,13.88M,,-0.414M,0.127M,-0.287M,,,26.78M,-41.16M,-14.67M,,,,-0.233M,0.388M,-0.236M,0.152M,,,,-0.081M,,15.44M,-0.875M,14.56M,,0.388M,,,-0.236M,,,
2003-06,1.981M,0.037M,2.127M,2.127M,,,,-0.088M,,,,,,,1.589M,1.589M,,5.646M,,-0.454M,,-0.454M,,,-36.44M,37.23M,0.33M,,,,-0.229M,0.215M,-20.57M,-20.36M,,,,-20.58M,,30.04M,-14.61M,15.44M,,0.215M,,,-20.57M,,,
2003-03,17.30M,-23.27M,2.154M,2.154M,,,,,,,,,,,3.925M,3.925M,,0.105M,,-0.319M,,-0.319M,,,24.33M,-1.908M,22.10M,,,,-2.662M,0.05M,-3.298M,-3.248M,,,,-5.91M,,13.74M,16.30M,30.04M,,0.05M,,,-3.298M,,,
