,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-09,3.06B,3.06B,1.63B,1.43B,757.00M,196.00M,-182.00M,99.00M,-5.00M,-104.00M,,953.00M,477.00M,-5.00M,99.00M,-104.00M,-184.00M,-104.00M,190.00M,9.00M,181.00M,,,,181.00M,354.38M,604.00M,315.00M,289.00M,0.86,,,1.681,0.86,0.84,,,1.6380000000000001,0.84,211.08M,217.33M,0.6
2015-06,3.12B,3.12B,1.946B,1.174B,751.00M,178.00M,-108.00M,105.00M,2.00M,-103.00M,,929.00M,245.00M,2.00M,105.00M,-103.00M,-103.00M,-103.00M,39.00M,-23.00M,62.00M,,,,62.00M,126.80M,443.00M,299.00M,144.00M,0.3,,,0.6083,0.3,0.29,,,0.5915,0.29,210.18M,214.93M,0.6
2015-03,2.051B,2.051B,1.005B,1.046B,511.00M,129.00M,-113.00M,91.00M,8.00M,-83.00M,,640.00M,406.00M,8.00M,91.00M,-83.00M,-98.00M,-83.00M,225.00M,9.00M,216.00M,,,,216.00M,324.59M,454.00M,138.00M,316.00M,1.1,,,1.6540000000000001,1.1,1.08,,,1.6230000000000002,1.08,196.08M,199.94M,0.6
2014-12,2.051B,2.051B,1.006B,1.045B,544.00M,129.00M,-23.00M,76.00M,10.00M,-66.00M,,673.00M,372.00M,10.00M,76.00M,-66.00M,-21.00M,-66.00M,285.00M,50.00M,236.00M,,,,236.00M,255.00M,500.00M,139.00M,361.00M,1.22,,,1.319,1.22,1.2,,,1.296,1.2,192.84M,197.00M,0.6
2014-09,2.202B,2.202B,1.10B,1.102B,561.00M,140.00M,0.00,36.00M,10.00M,-26.00M,,701.00M,401.00M,10.00M,36.00M,-26.00M,1.00M,-26.00M,377.00M,76.00M,301.00M,,,,301.00M,301.00M,562.00M,149.00M,413.00M,1.56,0.0,,1.56,1.56,1.53,0.0,,1.53,1.53,192.32M,197.40M,0.545
2014-06,2.157B,2.157B,1.046B,1.111B,528.00M,137.00M,0.00,33.00M,12.00M,-21.00M,,665.00M,446.00M,12.00M,33.00M,-21.00M,-2.00M,-21.00M,423.00M,97.00M,326.00M,,,,326.00M,326.00M,597.00M,141.00M,456.00M,1.69,,,1.69,1.69,1.65,,,1.65,1.65,193.05M,197.00M,0.545
2014-03,2.072B,2.072B,1.019B,1.053B,525.00M,147.00M,0.00,33.00M,10.00M,-23.00M,,672.00M,381.00M,10.00M,33.00M,-23.00M,5.00M,-23.00M,363.00M,76.00M,287.00M,,,,287.00M,287.00M,526.00M,130.00M,396.00M,1.48,,,1.48,1.48,1.45,,,1.45,1.45,193.61M,197.49M,0.545
2013-12,2.015B,2.015B,980.00M,1.035B,531.00M,126.00M,0.00,34.00M,14.00M,-20.00M,,657.00M,378.00M,14.00M,34.00M,-20.00M,1.00M,-20.00M,359.00M,88.00M,271.00M,,,,271.00M,271.00M,535.00M,142.00M,393.00M,1.4,,,1.4,1.4,1.37,,,1.37,1.37,194.20M,198.11M,0.545
2013-09,2.101B,2.101B,1.014B,1.087B,877.00M,132.00M,,34.00M,14.00M,-20.00M,,1.009B,78.00M,14.00M,34.00M,-20.00M,3.00M,-20.00M,60.00M,-31.00M,91.00M,0.00,,,90.00M,90.00M,236.00M,142.00M,94.00M,0.47,0.0,,0.47,0.46,0.46,0.0,,0.46,0.46,194.69M,199.44M,0.495
2013-06,2.053B,2.053B,993.00M,1.06B,534.00M,121.00M,,35.00M,6.00M,-29.00M,,655.00M,405.00M,6.00M,35.00M,-29.00M,3.00M,-29.00M,379.00M,87.00M,292.00M,10.00M,,,302.00M,292.00M,553.00M,139.00M,414.00M,1.5,0.05,,1.5,1.55,1.47,0.05,,1.47,1.52,194.88M,198.72M,0.495
