,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,637.87M,860.53M,1.498B,413.98M,,413.98M,74.76M,21.26M,35.84M,,131.86M,112.19M,,,2.156B,,,,,281.28M,,,281.28M,,281.28M,275.70M,84.41M,360.11M,89.26M,77.70M,2.995B,,2018-03,103.95M,,34.83M,138.78M,64.78M,203.56M,,,,,,85.89M,85.89M,15.58M,391.32M,369.42M,,369.42M,6.185M,16.68M,124.69M,,698.88M,1.090B,24.23M,216.12M,1.639B,,,,25.88M,1.905B,,2018-03,AOR,Restated
2017-12,429.84M,1.348B,1.778B,272.78M,,272.78M,62.67M,19.46M,25.39M,,107.52M,112.15M,,,2.270B,0.00,16.56M,98.37M,736.50M,,13.52M,49.54M,914.49M,-646.04M,268.45M,252.01M,79.09M,331.10M,125.93M,84.03M,3.110B,,2017-12,86.39M,,59.06M,145.45M,59.08M,204.53M,,,,,,83.61M,83.61M,24.50M,454.34M,365.99M,,365.99M,6.72M,10.27M,119.78M,20.60M,701.56M,1.156B,24.44M,272.01M,1.638B,,,,18.78M,1.954B,,2017-12,AOR,Restated
2017-09,418.68M,1.218B,1.637B,268.07M,,268.07M,64.55M,17.19M,43.44M,,125.18M,105.31M,,5.021M,2.140B,,,,,259.08M,,,259.08M,,259.08M,249.28M,85.73M,335.01M,211.94M,120.23M,3.089B,,2017-09,79.43M,,42.38M,121.81M,62.61M,184.42M,,,,,,111.51M,111.51M,21.82M,431.38M,362.60M,,362.60M,10.54M,11.60M,114.32M,17.31M,548.06M,979.43M,24.59M,438.20M,1.631B,,,,16.00M,2.110B,,2017-09,AOR,Restated
2017-06,598.35M,809.34M,1.408B,405.95M,,405.95M,64.24M,15.84M,73.57M,,153.64M,105.96M,,6.787M,2.080B,,,,,258.02M,,,258.02M,,258.02M,242.22M,90.60M,332.82M,212.50M,125.20M,3.030B,,2017-06,103.45M,,43.81M,147.27M,66.18M,213.44M,,,,,,81.09M,81.09M,22.43M,439.21M,359.24M,,359.24M,10.71M,11.06M,111.69M,16.98M,542.37M,981.58M,24.75M,404.98M,1.613B,,,,5.915M,2.049B,,2017-06,AOR,Restated
2017-03,324.75M,895.58M,1.220B,314.96M,,314.96M,62.37M,22.51M,118.39M,,203.28M,106.99M,,8.602M,1.854B,,,,,253.55M,,,253.55M,,253.55M,230.06M,94.84M,324.91M,262.06M,127.92M,2.842B,,2017-03,121.42M,,24.47M,145.88M,67.65M,213.53M,,,,,,78.79M,78.79M,21.71M,393.06M,355.94M,,355.94M,11.26M,9.921M,110.07M,16.20M,529.37M,922.43M,24.95M,300.30M,1.606B,,,,-10.90M,1.920B,,2017-03,AOR,Restated
2016-12,307.88M,871.02M,1.179B,192.44M,,192.44M,58.53M,22.95M,54.48M,,135.96M,116.49M,,,1.624B,0.00,16.56M,98.03M,684.73M,,3.032M,46.61M,848.97M,-595.15M,253.82M,223.34M,100.40M,323.74M,433.84M,107.40M,2.762B,,2016-12,95.36M,,30.48M,125.84M,51.38M,177.22M,,,,,,84.48M,84.48M,1.05M,372.70M,352.67M,,352.67M,12.14M,28.64M,106.94M,37.28M,561.14M,933.83M,24.90M,230.29M,1.594B,,,,-20.21M,1.829B,,2016-12,AOR,Restated
2016-09,297.94M,598.50M,896.44M,163.21M,,163.21M,,22.52M,33.05M,59.50M,115.07M,104.08M,,6.393M,1.285B,,,,,261.82M,,,261.82M,,261.82M,238.59M,114.15M,352.74M,357.75M,90.55M,2.366B,,2016-09,61.89M,,20.92M,82.82M,56.58M,139.40M,,,,,,138.92M,138.92M,1.05M,369.08M,,,,16.84M,31.35M,108.10M,31.84M,214.46M,583.54M,25.20M,235.60M,1.518B,,,,3.385M,1.782B,,2016-09,AOR,Restated
2016-06,381.10M,442.15M,823.25M,349.55M,,349.55M,,32.54M,39.00M,57.74M,129.28M,103.13M,0.00,7.681M,1.413B,,,,,264.56M,,,264.56M,,264.56M,237.21M,122.07M,359.28M,282.54M,72.71M,2.408B,,2016-06,103.09M,,23.97M,127.06M,47.15M,174.21M,,,,,,190.92M,190.92M,1.05M,455.35M,,,,16.11M,33.41M,106.62M,23.86M,206.93M,662.28M,25.36M,212.07M,1.506B,,,,2.293M,1.746B,,2016-06,AOR,Restated
2016-03,319.36M,410.00M,729.36M,253.98M,,253.98M,,38.49M,62.77M,59.42M,160.69M,95.18M,0.00,3.513M,1.243B,,,,,266.91M,,,266.91M,,266.91M,495.87M,223.27M,719.14M,246.07M,59.12M,2.549B,,2016-03,84.10M,,23.37M,107.47M,92.62M,200.09M,,,,,,72.10M,72.10M,0.50M,344.52M,,,,18.30M,34.75M,106.92M,23.11M,208.55M,553.07M,25.46M,476.39M,1.489B,,,,5.035M,1.996B,,2016-03,AOR,Restated
2015-12,264.70M,477.70M,742.40M,211.29M,,211.29M,73.12M,32.82M,47.65M,,153.59M,91.52M,54.97M,6.194M,1.260B,0.00,16.56M,108.80M,678.06M,,2.63M,43.33M,849.37M,-575.96M,273.41M,488.41M,239.83M,728.24M,265.93M,7.404M,2.549B,,2015-12,92.36M,,21.75M,114.11M,43.73M,157.84M,,,,,,85.53M,85.53M,15.50M,372.86M,,,,26.66M,32.16M,103.53M,21.94M,210.03M,582.89M,25.46M,467.83M,1.481B,,,,-8.144M,1.966B,,2015-12,AOR,Restated
2015-09,294.22M,525.38M,819.60M,245.23M,,245.23M,,15.88M,26.83M,85.71M,128.43M,80.78M,58.48M,4.135M,1.337B,,,,,275.09M,,,275.09M,,275.09M,498.35M,260.29M,758.64M,257.56M,6.909M,2.662B,,2015-09,81.64M,,43.26M,124.90M,83.82M,208.72M,,,,,,74.32M,74.32M,14.45M,395.74M,,,,35.49M,28.30M,107.10M,20.15M,220.54M,616.28M,25.90M,547.99M,1.472B,,,,0.067M,2.046B,,2015-09,AOR,Restated
2015-06,300.68M,452.04M,752.72M,296.65M,,296.65M,,17.38M,37.16M,67.28M,121.82M,80.25M,58.34M,6.596M,1.316B,,,,,291.93M,,,291.93M,,291.93M,495.43M,279.13M,774.56M,275.88M,6.836M,2.693B,,2015-06,86.46M,,43.16M,129.63M,85.47M,215.10M,,,,,,77.35M,77.35M,15.09M,402.08M,,,,38.62M,24.47M,107.56M,20.50M,216.51M,618.58M,26.56M,588.47M,1.462B,,,,-3.162M,2.074B,,2015-06,AOR,Restated
2015-03,218.94M,649.22M,868.16M,175.78M,,175.78M,,15.93M,32.99M,72.13M,121.05M,92.48M,56.72M,6.959M,1.321B,,,,,308.26M,,,308.26M,,308.26M,273.44M,176.79M,450.23M,402.72M,6.683M,2.512B,,2015-03,59.83M,,24.71M,84.54M,68.94M,153.48M,,,,,,74.25M,74.25M,,293.13M,,,,20.15M,17.14M,106.22M,,161.83M,454.96M,26.99M,579.57M,1.445B,,,,6.084M,2.057B,,2015-03,AOR,Restated
2014-12,294.26M,533.79M,828.04M,151.03M,,151.03M,,10.35M,23.96M,70.82M,105.13M,95.82M,57.24M,6.582M,1.244B,0.00,16.56M,108.67M,737.31M,,2.508M,31.98M,897.03M,-567.99M,329.04M,273.44M,190.60M,464.04M,470.79M,7.494M,2.539B,,2014-12,47.76M,,20.05M,67.81M,50.25M,118.06M,,,,,,71.60M,71.60M,0.895M,291.55M,,,,23.32M,13.83M,108.46M,2.455M,167.99M,459.54M,27.08M,610.08M,1.437B,,,,4.689M,2.079B,,2014-12,AOR,Restated
2014-09,211.70M,594.80M,806.50M,321.31M,,321.31M,,11.15M,32.64M,64.59M,108.38M,88.73M,68.79M,7.304M,1.401B,,,,,335.80M,,,335.80M,,335.80M,361.82M,197.48M,559.30M,374.81M,5.353M,2.695B,,2014-09,60.31M,,19.84M,80.15M,98.42M,178.57M,,,,,,60.18M,60.18M,,329.80M,,,,35.91M,27.47M,88.67M,,175.30M,505.10M,27.06M,726.89M,1.431B,,,,4.859M,2.190B,,2014-09,AOR,Restated
2014-06,254.62M,488.44M,743.06M,300.77M,,300.77M,,15.19M,41.24M,70.44M,126.87M,110.47M,68.46M,4.989M,1.355B,,,,,308.52M,,,308.52M,,308.52M,361.82M,215.75M,577.57M,364.08M,5.81M,2.631B,,2014-06,102.21M,,15.18M,117.40M,93.10M,210.50M,,,,,,63.97M,63.97M,,361.23M,,,,39.62M,16.86M,92.48M,,167.96M,529.19M,24.54M,656.71M,1.415B,,,,5.709M,2.101B,,2014-06,AOR,Restated
2014-03,232.63M,462.15M,694.78M,216.52M,,216.52M,,15.13M,45.23M,77.07M,137.43M,131.48M,68.78M,12.25M,1.261B,,,,,278.73M,,,278.73M,,278.73M,361.82M,234.02M,595.84M,272.07M,5.551M,2.433B,,2014-03,70.60M,11.65M,1.749M,83.99M,65.56M,149.56M,,,,,,64.81M,64.81M,,273.05M,,,,50.53M,13.52M,92.53M,,170.57M,443.62M,24.25M,555.51M,1.405B,,,,4.89M,1.990B,,2014-03,AOR,Restated
2013-12,341.64M,586.88M,928.52M,157.64M,,157.64M,,15.54M,38.17M,84.23M,137.94M,136.37M,72.48M,7.324M,1.440B,0.00,16.56M,107.63M,682.84M,,0.622M,30.76M,838.41M,-563.18M,275.24M,361.79M,252.29M,614.08M,271.08M,5.217M,2.630B,,2013-12,62.87M,,11.36M,74.23M,63.71M,137.95M,,,186.66M,,186.66M,55.40M,55.40M,,475.63M,,,,40.69M,23.14M,91.52M,,169.10M,644.73M,23.97M,566.23M,1.391B,,,,4.00M,1.985B,,2013-12,AOR,Restated
2013-09,572.87M,384.33M,957.20M,209.39M,,209.39M,,25.92M,26.49M,70.62M,123.03M,109.11M,83.78M,11.87M,1.494B,,,,,275.42M,,,275.42M,,275.42M,349.27M,265.70M,614.98M,202.09M,,2.612B,,2013-09,67.73M,,25.25M,92.98M,62.18M,155.17M,,,183.57M,,183.57M,70.37M,70.37M,,487.72M,,,,37.63M,21.36M,95.98M,,172.42M,660.15M,23.92M,543.89M,1.380B,,,,3.855M,1.952B,,2013-09,AOR,Restated
2013-06,227.60M,501.15M,728.75M,228.21M,,228.21M,,25.12M,31.53M,71.55M,128.20M,113.25M,83.79M,,1.282B,,,,,264.88M,,,264.88M,,264.88M,349.27M,283.73M,633.00M,302.85M,,2.506B,,2013-06,67.12M,,13.69M,80.81M,54.68M,135.50M,,,179.56M,,179.56M,76.25M,76.25M,,465.07M,,,,41.43M,20.93M,94.00M,,174.61M,639.68M,23.84M,474.43M,1.365B,,,,3.279M,1.866B,,2013-06,AOR,Restated
2013-03,305.22M,404.78M,710.00M,166.61M,,166.61M,,29.21M,34.35M,85.50M,149.06M,97.91M,83.87M,,1.207B,,,,,264.04M,,,264.04M,,264.04M,349.27M,300.83M,650.10M,246.25M,,2.390B,,2013-03,59.10M,,3.221M,62.32M,51.92M,114.24M,,,176.84M,,176.84M,71.82M,71.82M,,417.44M,,,,50.20M,20.41M,94.59M,,180.83M,598.27M,23.80M,407.87M,1.354B,,,,5.799M,1.791B,,2013-03,AOR,Restated
2012-12,338.92M,431.52M,770.44M,153.42M,,153.42M,,32.30M,17.51M,89.60M,139.41M,90.93M,77.30M,4.556M,1.236B,0.00,16.56M,106.71M,700.10M,,3.425M,29.58M,856.37M,-590.59M,265.78M,349.27M,318.87M,668.14M,235.87M,5.372M,2.429B,,2012-12,58.32M,,12.31M,70.63M,57.25M,127.88M,,,2.328M,,2.328M,81.36M,81.36M,,297.83M,171.06M,,171.06M,50.20M,21.30M,94.37M,,353.16M,650.99M,23.49M,401.28M,1.348B,,,,5.82M,1.778B,,2012-12,AOR,Restated
2012-09,485.69M,344.85M,830.54M,205.46M,,205.46M,94.83M,25.93M,14.00M,,134.76M,81.99M,58.52M,,1.311B,,,,,,,,847.71M,-586.59M,261.12M,349.37M,337.69M,687.06M,178.28M,,2.463B,,2012-09,74.19M,,43.57M,117.76M,61.22M,178.98M,,,3.863M,,3.863M,70.97M,70.97M,16.51M,349.25M,167.56M,,167.56M,30.93M,19.21M,80.50M,,328.80M,678.05M,23.46M,417.83M,1.338B,,,,6.343M,1.785B,,2012-09,AOR,Restated
2012-06,589.06M,105.95M,695.00M,346.12M,,346.12M,92.99M,27.08M,17.83M,,137.90M,80.90M,56.89M,,1.317B,,,,,,,,827.61M,-579.61M,248.00M,352.78M,356.12M,708.90M,133.75M,,2.435B,,2012-06,117.34M,,23.22M,140.56M,64.30M,204.86M,,,2.522M,,2.522M,83.71M,83.71M,54.66M,425.87M,165.28M,,165.28M,37.92M,20.57M,77.30M,,323.37M,749.24M,23.40M,329.19M,1.328B,,,,5.267M,1.685B,,2012-06,AOR,Restated
2012-03,533.40M,87.22M,620.62M,221.55M,,221.55M,89.12M,28.58M,20.53M,,138.23M,83.99M,56.60M,,1.121B,,,,,,,,809.25M,-570.63M,238.62M,352.78M,374.55M,727.32M,121.51M,,2.238B,,2012-03,106.38M,,,106.38M,59.86M,166.24M,,,2.431M,,2.431M,86.62M,86.62M,61.21M,375.82M,161.80M,,161.80M,29.40M,20.30M,78.25M,,313.63M,689.46M,23.30M,217.80M,1.303B,,,,4.933M,1.549B,,2012-03,AOR,Restated
2011-12,573.74M,96.50M,670.24M,129.33M,,129.33M,,24.28M,33.47M,102.31M,160.06M,86.31M,53.95M,,1.100B,0.00,16.56M,105.85M,648.61M,,1.28M,25.90M,798.19M,-565.99M,232.21M,352.78M,392.98M,745.75M,84.41M,,2.189B,,2011-12,69.84M,,0.86M,70.70M,62.42M,133.12M,,,2.573M,,2.573M,78.67M,78.67M,68.89M,373.68M,159.96M,,159.96M,16.05M,23.71M,76.64M,,309.90M,683.58M,22.95M,184.24M,1.293B,,,,4.746M,1.505B,,2011-12,AOR,Restated
2011-09,1.095B,96.54M,1.192B,143.52M,,143.52M,91.93M,23.40M,18.00M,,133.34M,64.09M,23.18M,,1.556B,,,,,,,,800.96M,-568.38M,232.58M,,101.60M,101.60M,40.71M,,1.963B,,2011-09,77.77M,,5.135M,82.90M,52.55M,135.46M,,,2.605M,,2.605M,79.46M,79.46M,,293.02M,156.84M,,156.84M,9.946M,18.91M,74.72M,,299.77M,592.79M,23.02M,186.53M,1.283B,,,,-122.92M,1.370B,,2011-09,AOR,Restated
2011-06,455.40M,453.94M,909.34M,207.82M,,207.82M,90.96M,21.04M,29.52M,,141.52M,61.95M,22.80M,,1.343B,,,,,,,,795.78M,-562.35M,233.43M,,108.36M,108.36M,281.98M,,1.998B,,2011-06,106.99M,,9.888M,116.88M,59.89M,176.77M,,,2.475M,,2.475M,98.72M,98.72M,,352.99M,154.82M,,154.82M,9.973M,19.36M,77.15M,,311.37M,664.36M,23.25M,142.06M,1.293B,,,,-124.09M,1.334B,,2011-06,AOR,Restated
2011-03,420.27M,435.58M,855.84M,186.25M,,186.25M,91.29M,22.38M,16.02M,,129.69M,56.38M,22.63M,,1.251B,,,,,,,,789.55M,-556.58M,232.97M,,115.65M,115.65M,244.47M,,1.875B,,2011-03,109.99M,,,109.99M,64.81M,174.80M,,,2.417M,,2.417M,94.22M,94.22M,,333.47M,151.75M,,151.75M,9.756M,19.50M,74.44M,,313.80M,647.27M,23.16M,53.00M,1.275B,,,,-123.84M,1.227B,,2011-03,AOR,Restated
2010-12,397.74M,409.06M,806.80M,176.48M,,176.48M,91.09M,17.05M,9.50M,,117.64M,52.96M,22.73M,,1.177B,0.00,16.56M,130.96M,631.48M,,1.073M,,780.07M,-548.50M,231.58M,,122.94M,122.94M,248.70M,,1.810B,,2010-12,81.98M,,,81.98M,172.70M,254.68M,,,2.45M,,2.45M,106.58M,106.58M,,363.70M,150.18M,,150.18M,9.849M,19.56M,73.31M,,324.46M,688.17M,22.76M,-41.88M,1.270B,,,,-128.22M,1.122B,,2010-12,AOR,Restated
2010-09,433.92M,263.88M,697.80M,306.52M,,306.52M,67.75M,24.43M,10.67M,,102.85M,60.92M,20.02M,,1.188B,,,,,,,,779.62M,-547.27M,232.35M,,130.23M,130.23M,201.49M,,1.792B,,2010-09,133.33M,,,133.33M,163.97M,297.30M,,,2.397M,,2.397M,101.58M,101.58M,,401.28M,147.29M,,147.29M,10.27M,15.95M,68.66M,,322.99M,724.28M,22.67M,-102.02M,1.261B,,,,-114.22M,1.067B,,2010-09,AOR,Restated
2010-06,404.00M,161.78M,565.77M,248.02M,,248.02M,51.70M,22.16M,9.962M,,83.82M,47.99M,19.71M,,965.32M,,,,,,,,777.49M,-541.80M,235.69M,,137.52M,137.52M,95.49M,,1.449B,,2010-06,96.04M,,,96.04M,154.56M,250.60M,,,2.291M,,2.291M,41.45M,41.45M,,294.34M,145.50M,,145.50M,10.14M,20.84M,69.76M,,246.23M,540.57M,22.64M,-249.36M,1.253B,,,,-117.63M,908.76M,,2010-06,AOR,Restated
2010-03,342.01M,118.46M,460.47M,178.74M,,178.74M,17.15M,55.45M,11.59M,,84.20M,43.89M,19.23M,,786.53M,,,,,,,,778.40M,-538.14M,240.26M,,144.84M,144.84M,72.19M,,1.262B,,2010-03,71.17M,,,71.17M,113.88M,185.04M,,,2.133M,,2.133M,69.05M,69.05M,,256.23M,142.44M,,142.44M,8.041M,21.48M,107.90M,,279.87M,536.10M,22.16M,-371.50M,1.211B,,,,-135.72M,725.57M,,2010-03,AOR,Restated
2009-12,416.74M,46.93M,463.67M,125.24M,,125.24M,43.69M,37.16M,9.984M,,90.84M,63.61M,18.94M,,762.29M,0.00,16.56M,133.69M,631.51M,,0.651M,,782.41M,-536.04M,246.36M,,152.19M,152.19M,55.13M,,1.235B,,2009-12,66.76M,,,66.76M,110.00M,176.76M,,,2.157M,,2.157M,104.44M,104.44M,,283.36M,141.10M,,141.10M,8.041M,20.84M,115.10M,,287.40M,570.76M,21.86M,-421.61M,1.202B,,,,-138.10M,664.58M,,2009-12,AOR,Restated
2009-09,406.74M,5.735M,412.48M,139.69M,,139.69M,50.35M,53.47M,8.149M,,111.97M,60.35M,17.56M,,742.05M,,,,,,,,775.14M,-524.99M,250.15M,,160.59M,160.59M,55.03M,,1.226B,,2009-09,70.61M,,,70.61M,102.24M,172.85M,,,2.237M,,2.237M,127.99M,127.99M,,303.08M,138.97M,,138.97M,3.045M,23.62M,134.46M,,300.10M,603.18M,21.83M,-442.14M,1.195B,,,,-151.30M,623.31M,,2009-09,AOR,Restated
2009-06,334.08M,,334.08M,73.91M,,73.91M,64.96M,50.18M,11.54M,,126.69M,51.78M,17.27M,,603.73M,,,,,,,,784.61M,-514.24M,270.37M,,170.54M,170.54M,38.98M,,1.102B,,2009-06,47.98M,,,47.98M,97.30M,145.28M,,,2.069M,,2.069M,49.73M,49.73M,,197.08M,137.09M,,137.09M,3.158M,22.96M,133.48M,,296.69M,493.76M,21.79M,-448.81M,1.188B,,,,-152.52M,608.62M,,2009-06,AOR,Restated
2009-03,279.06M,,279.06M,67.26M,42.96M,110.22M,79.39M,77.93M,8.026M,,165.35M,61.40M,17.12M,,633.14M,,,,,,,,785.35M,-502.50M,282.85M,,178.76M,178.76M,41.67M,,1.154B,,2009-03,35.51M,,,35.51M,103.92M,139.44M,,,124.51M,,124.51M,54.69M,54.69M,64.62M,383.25M,8.056M,,8.056M,5.203M,25.55M,132.01M,,170.82M,554.07M,21.57M,-382.04M,1.114B,,,,-153.44M,600.32M,,2009-03,AOR,Restated
