,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2005-09,1.607B,,1.607B,1.018B,1.018B,,,951.14M,228.73M,3.805B,,,,,5.721B,-2.875B,2.846B,,,,308.28M,3.154B,6.959B,573.48M,,573.48M,684.87M,1.258B,,1.25M,,1.25M,,,,1.260B,922.30M,,922.30M,,,,169.26M,517.97M,1.440B,2.700B,73.99M,4.469B,172.24M,692.62M,,,67.21M,4.090B
2005-06,1.061B,,1.061B,933.67M,933.67M,,,1.149B,231.11M,3.375B,,,,,5.743B,-2.875B,2.868B,,,,219.64M,3.088B,6.463B,447.21M,,447.21M,566.87M,1.014B,,1.25M,,1.25M,,,,1.015B,922.30M,,922.30M,,,,195.21M,484.46M,1.407B,2.422B,73.95M,4.239B,169.04M,653.43M,,,16.31M,3.845B
2005-03,1.203B,,1.203B,1.021B,1.021B,,,1.193B,194.51M,3.611B,,,,,5.694B,-2.875B,2.819B,,,,183.03M,3.002B,6.613B,524.66M,,524.66M,483.81M,1.008B,,,,,,,195.15M,1.204B,923.55M,,923.55M,,,,202.29M,498.06M,1.422B,2.625B,73.93M,3.979B,168.01M,447.68M,,,12.21M,3.786B
2004-12,779.05M,,779.05M,962.76M,962.76M,,,1.240B,193.26M,3.175B,142.28M,478.16M,4.981B,92.41M,5.694B,-2.875B,2.818B,,,,139.95M,2.958B,6.133B,471.55M,,471.55M,565.28M,1.037B,,,,,,,28.96M,1.066B,923.55M,,923.55M,,,,173.31M,514.57M,1.438B,2.504B,73.75M,3.689B,147.21M,451.96M,,,-1.569M,3.456B
2004-09,758.15M,,758.15M,1.048B,1.048B,,,950.59M,178.03M,2.935B,,,,,5.339B,-2.514B,2.825B,,,,124.96M,2.950B,5.885B,565.62M,,565.62M,545.81M,1.111B,,,,,,,169.35M,1.281B,923.55M,,923.55M,,,,165.85M,400.62M,1.324B,2.605B,73.59M,3.368B,125.58M,452.03M,,,-0.392M,3.115B
2004-06,502.05M,,502.05M,900.92M,900.92M,,,730.35M,145.41M,2.279B,,,,,5.427B,-2.706B,2.721B,,,,111.12M,2.832B,5.111B,412.60M,,412.60M,448.30M,860.89M,,,,,,,75.35M,936.24M,903.55M,,903.55M,,,,146.60M,418.88M,1.322B,2.259B,36.68M,2.973B,148.50M,452.26M,,,-0.492M,2.706B
2004-03,397.91M,,397.91M,762.57M,762.57M,,,641.52M,146.34M,1.948B,,,,,5.301B,-2.514B,2.787B,,,,93.46M,2.881B,4.829B,486.80M,,486.80M,347.35M,834.15M,,,,,,,59.75M,893.91M,903.55M,,903.55M,,,,138.69M,438.42M,1.342B,2.236B,36.55M,2.738B,132.56M,452.49M,,,-0.492M,2.455B
2003-12,350.33M,,350.33M,572.48M,572.48M,,,560.40M,137.35M,1.621B,132.92M,455.44M,4.623B,119.08M,5.331B,-2.514B,2.817B,,,,54.66M,2.872B,4.492B,329.86M,,329.86M,299.73M,629.59M,,,,,,,,629.59M,903.55M,,903.55M,,,,177.28M,439.85M,1.343B,1.973B,36.43M,2.642B,117.40M,453.46M,,,,2.342B
2003-09,284.94M,,284.94M,546.55M,546.55M,,,581.54M,132.64M,1.546B,,,,,5.003B,-2.162B,2.840B,,,,54.56M,2.895B,4.441B,339.31M,,339.31M,322.89M,662.20M,,,,,,,4.106M,666.30M,903.55M,,903.55M,,,,172.69M,375.19M,1.279B,1.945B,36.31M,2.637B,103.24M,453.61M,,,,2.323B
2003-06,182.28M,,182.28M,527.29M,527.29M,,,582.83M,134.81M,1.427B,,,,,5.040B,-2.162B,2.878B,,,,45.22M,2.923B,4.350B,290.63M,,290.63M,308.55M,599.18M,,,,,,,4.106M,603.29M,878.55M,,878.55M,,,,168.10M,381.44M,1.260B,1.863B,36.28M,2.637B,100.13M,453.87M,,,,2.319B
2003-03,181.71M,,181.71M,483.46M,483.46M,,,624.71M,136.07M,1.426B,,,,,5.080B,-2.162B,2.918B,,,,38.40M,2.956B,4.382B,326.77M,,326.77M,295.71M,622.48M,,,,,,,11.11M,633.59M,878.55M,,878.55M,,,,173.60M,371.28M,1.250B,1.883B,36.27M,2.644B,99.42M,454.10M,,,,2.325B
2002-12,219.00M,,219.00M,483.61M,483.61M,235.60M,353.39M,588.99M,132.54M,1.424B,122.62M,452.38M,4.475B,43.79M,5.094B,-2.162B,2.932B,,,,24.80M,2.957B,4.381B,247.23M,,247.23M,319.36M,566.59M,,16.00M,,16.00M,,,8.949M,591.54M,878.55M,,878.55M,,,,216.65M,371.27M,1.250B,1.841B,36.27M,2.642B,99.40M,454.26M,,,,2.323B
2002-09,523.01M,,523.01M,425.35M,425.35M,,,536.24M,125.91M,1.610B,,,,,4.256B,-1.861B,2.395B,,,,14.67M,2.410B,4.020B,301.93M,,301.93M,224.24M,526.17M,,,,,,,142.91M,669.08M,544.55M,,544.55M,,,,206.54M,307.48M,852.03M,1.521B,36.27M,2.614B,97.38M,454.36M,,,,2.293B
2002-06,537.58M,,537.58M,382.42M,382.42M,,,523.35M,117.14M,1.560B,,,,,4.151B,-1.861B,2.290B,,,,24.35M,2.314B,3.875B,281.65M,,281.65M,324.00M,605.65M,,,,,,,20.81M,626.45M,458.55M,,458.55M,,,,204.63M,317.01M,775.56M,1.402B,36.27M,2.589B,97.32M,454.49M,,,,2.268B
2002-03,456.22M,,456.22M,360.47M,360.47M,,,469.95M,108.79M,1.395B,,,,,4.199B,-1.861B,2.338B,,,,22.34M,2.360B,3.756B,250.91M,,250.91M,291.52M,542.43M,,,,,,,7.573M,550.01M,460.45M,,460.45M,,,,204.56M,323.92M,784.37M,1.334B,36.22M,2.544B,90.96M,454.64M,,,,2.217B
2001-12,462.35M,,462.35M,330.86M,330.86M,,,466.69M,113.77M,1.374B,99.96M,387.10M,3.605B,134.37M,4.227B,-1.861B,2.366B,,,,20.03M,2.386B,3.759B,189.24M,,189.24M,202.15M,391.39M,,,,,,,92.77M,484.16M,460.45M,,460.45M,,,,283.89M,329.39M,789.84M,1.274B,36.13M,2.539B,81.19M,454.74M,,,,2.201B
2001-09,471.14M,,471.14M,391.00M,391.00M,,,500.30M,80.83M,1.443B,,,,,4.064B,-1.695B,2.369B,,,,,2.369B,3.812B,260.16M,,260.16M,222.90M,483.06M,,,,,,,145.21M,628.27M,460.45M,,460.45M,,,,266.14M,270.82M,731.27M,1.360B,36.12M,2.526B,79.33M,454.89M,,,,2.186B
2001-06,385.17M,,385.17M,408.71M,408.71M,,,502.47M,80.62M,1.377B,,,,,4.071B,-1.695B,2.376B,,,,,2.376B,3.753B,242.95M,,242.95M,234.35M,477.30M,,,,,,,112.60M,589.90M,460.45M,,460.45M,,,,248.54M,275.72M,736.17M,1.326B,36.11M,2.518B,78.56M,455.02M,,,,2.178B
2001-03,331.99M,,331.99M,391.41M,391.41M,,,492.34M,81.36M,1.297B,,,,,4.093B,-1.695B,2.397B,,,,,2.397B,3.694B,231.73M,,231.73M,223.13M,454.86M,,,,,,,90.29M,545.15M,460.45M,,460.45M,,,,269.02M,268.75M,729.20M,1.274B,36.05M,2.498B,71.79M,455.23M,,,,2.151B
2000-12,490.58M,,490.58M,350.18M,350.18M,,,461.15M,77.62M,1.380B,94.54M,357.44M,3.483B,89.93M,4.025B,-1.695B,2.329B,,,,1.918M,2.331B,3.711B,203.33M,,203.33M,219.78M,423.12M,,,,,,,134.95M,558.07M,460.45M,,460.45M,,,,301.34M,260.05M,720.50M,1.279B,36.04M,2.479B,71.49M,455.37M,,,,2.131B
2000-09,304.88M,,304.88M,,405.81M,,,462.77M,92.29M,1.266B,,,,,3.804B,-1.491B,2.313B,,,,,2.313B,3.579B,225.40M,,225.40M,,225.40M,,,,,,,362.96M,588.36M,390.45M,,390.45M,,,,287.21M,241.28M,631.73M,1.220B,36.04M,2.411B,71.17M,446.35M,,,,2.071B
2000-06,311.73M,,311.73M,,426.52M,,,500.17M,100.34M,1.339B,,,,,3.908B,-1.614B,2.294B,,,,,2.294B,3.633B,262.31M,,262.31M,,262.31M,,,,,,,318.82M,581.13M,390.45M,,390.45M,,,,268.14M,255.51M,645.96M,1.227B,36.04M,2.354B,71.17M,324.31M,,,,2.137B
2000-03,479.45M,,479.45M,,412.89M,,,488.87M,112.03M,1.493B,,,,,3.787B,-1.548B,2.239B,,,,,2.239B,3.733B,252.36M,,252.36M,,252.36M,,,,,,,327.62M,579.98M,390.45M,,390.45M,,,,264.90M,268.70M,659.15M,1.239B,36.04M,2.285B,70.91M,163.25M,,,,2.228B
1999-12,572.20M,,572.20M,,393.80M,,,465.00M,107.50M,1.538B,,,,,3.680B,-1.489B,2.191B,,,,,2.191B,3.730B,255.20M,,255.20M,,255.20M,,,,,,,275.80M,531.00M,390.50M,,390.50M,,,,280.90M,265.20M,655.70M,1.187B,36.00M,2.216B,70.90M,60.80M,,,,2.262B
1999-09,599.00M,,599.00M,,357.20M,,,398.80M,86.50M,1.442B,,,,,3.606B,-1.492B,2.113B,,,,,2.113B,3.555B,221.20M,,221.20M,,221.20M,,,,,,,362.40M,583.60M,390.50M,,390.50M,,,,253.60M,147.70M,538.20M,1.122B,36.00M,2.130B,69.00M,55.70M,,,,2.179B
1999-06,517.90M,,517.90M,,342.20M,,,384.10M,87.40M,1.332B,,,,,3.520B,-1.427B,2.093B,,,,,2.093B,3.425B,213.10M,,213.10M,,213.10M,,,,,,,305.40M,518.50M,390.50M,,390.50M,,,,245.50M,144.30M,534.80M,1.053B,,2.073B,,,,,,2.126B
1999-03,458.50M,,458.50M,,293.10M,,,421.90M,88.40M,1.262B,,,,,3.444B,-1.362B,2.081B,,,,,2.081B,3.343B,199.80M,,199.80M,,199.80M,,,,,,,253.50M,453.30M,390.50M,,390.50M,,,,245.60M,168.30M,558.80M,1.012B,,2.034B,,,,,,2.085B
1998-12,308.70M,,308.70M,,299.20M,,,435.90M,85.70M,1.130B,,,,,3.398B,-1.301B,2.097B,,,,-0.10M,2.097B,3.226B,198.30M,,198.30M,,198.30M,,,,,,,288.60M,486.90M,215.50M,,215.50M,,,,282.40M,169.10M,384.60M,871.50M,36.00M,2.017B,67.30M,47.60M,,,,2.073B
1998-09,274.30M,,274.30M,,319.20M,,,492.10M,60.00M,1.146B,,,,,3.331B,-1.276B,2.055B,,,,-0.10M,2.055B,3.200B,231.40M,,231.40M,,231.40M,,,,,,,319.10M,550.50M,215.50M,,215.50M,,,,262.30M,141.30M,356.80M,907.30M,,1.966B,,,,,,2.031B
1998-06,291.30M,,291.30M,,390.40M,,,406.20M,60.80M,1.149B,,,,,3.180B,-1.216B,1.964B,,,,,1.964B,3.113B,233.10M,,233.10M,,233.10M,,,,,,,277.80M,510.90M,215.50M,,215.50M,,,,249.10M,141.20M,356.70M,867.60M,,1.912B,,,,,,1.996B
