,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-12,395.09M,-11.86M,-11.86M,161.01M,22.83M,183.84M,183.84M,-182.84M,0.00,12.95M,12.95M,77.08M,56.08M,-123.56M,,,-119.28M,-109.68M,288.77M,-156.24M,5.895M,5.895M,-40.89M,0.00,8.844M,-182.39M,-600.00M,2.463M,-597.54M,1.653M,0.001M,1.654M,-121.02M,-121.02M,-7.866M,-724.77M,1.576B,-618.39M,-8.45M,949.10M,1.653M,0.00,-600.00M,0.001M
2017-09,266.10M,-7.743M,-7.743M,156.54M,22.95M,179.50M,179.50M,-34.16M,0.00,10.07M,10.07M,-10.13M,-175.45M,156.82M,,,29.54M,0.784M,415.71M,-103.08M,6.911M,6.911M,-64.74M,0.00,-0.465M,-161.37M,0.00,11.17M,11.17M,1.882M,-90.30M,-88.42M,-121.60M,-121.60M,-7.051M,-205.90M,1.511B,48.44M,16.16M,1.576B,1.882M,0.00,0.00,-90.30M
2017-06,341.72M,-13.30M,-13.30M,159.75M,23.08M,182.83M,182.83M,2.522M,,31.64M,31.64M,-106.19M,-261.68M,58.75M,,,-146.20M,-455.32M,106.72M,-94.70M,3.639M,3.639M,1.65M,0.00,-0.99M,-90.40M,0.00,-8.945M,-8.945M,-3.897M,0.00,-3.897M,-121.40M,-121.40M,-30.30M,-164.54M,1.658B,-148.22M,1.814M,1.511B,-3.897M,0.00,0.00,0.00
2017-03,377.65M,-8.756M,-8.756M,158.52M,22.37M,180.89M,180.89M,-6.695M,,9.524M,9.524M,-290.26M,-519.90M,310.51M,,,160.93M,-338.72M,244.14M,-94.54M,8.87M,8.87M,-499.06M,100.00M,,-484.72M,,30.18M,30.18M,7.432M,0.00,7.432M,-121.30M,-121.30M,-63.41M,-147.10M,2.046B,-387.68M,-0.517M,1.658B,7.432M,,,0.00
2016-12,175.18M,-8.525M,-8.525M,154.08M,19.80M,173.88M,173.88M,-15.37M,,12.30M,12.30M,110.26M,156.62M,50.87M,,,-89.44M,228.31M,567.91M,-277.40M,3.688M,3.688M,-306.68M,500.00M,0.756M,-79.64M,,-11.84M,-11.84M,9.943M,0.00,9.943M,-120.41M,-120.41M,-21.56M,-143.87M,1.705B,344.40M,-3.144M,2.046B,9.943M,,,0.00
2016-09,331.36M,-14.17M,-14.17M,153.02M,18.48M,171.50M,171.50M,75.13M,,6.634M,6.634M,70.27M,-106.20M,-165.36M,,,-54.90M,-256.20M,315.72M,-100.09M,3.252M,3.252M,-83.76M,-100.00M,7.085M,-273.52M,,9.855M,9.855M,3.845M,0.00,3.845M,-120.37M,-120.37M,-9.118M,-115.79M,1.781B,-73.59M,-2.849M,1.705B,3.845M,,,0.00
2016-06,271.37M,-6.819M,-6.819M,153.84M,17.48M,171.31M,171.31M,-3.843M,,30.28M,30.28M,-294.01M,-297.54M,337.01M,,,106.74M,-147.80M,315.51M,-146.64M,6.322M,6.322M,-5.024M,-500.00M,5.473M,-639.87M,,-16.70M,-16.70M,1.882M,0.00,1.882M,-120.15M,-120.15M,-41.75M,-176.72M,2.278B,-501.08M,3.74M,1.781B,1.882M,,,0.00
2016-03,122.50M,-9.245M,-9.245M,152.25M,18.11M,170.36M,170.36M,15.53M,,7.30M,7.30M,-104.25M,114.48M,147.90M,,,50.28M,208.40M,550.86M,-80.70M,5.309M,5.309M,-7.484M,50.00M,0.792M,-32.08M,,-14.67M,-14.67M,0.00,-5.173M,-5.173M,-120.15M,-120.15M,-50.06M,-190.06M,1.939B,328.72M,10.30M,2.278B,0.00,,,-5.173M
2015-12,-318.34M,-4.779M,-4.779M,156.52M,18.59M,175.10M,175.10M,-194.18M,,6.252M,251.08M,326.82M,690.76M,-395.67M,,,-120.32M,501.58M,411.46M,-91.04M,4.394M,4.394M,-57.97M,0.00,0.063M,-144.55M,0.00,-3.287M,-3.287M,0.001M,-66.50M,-66.50M,-119.97M,-119.97M,-27.82M,-217.59M,1.895B,49.32M,-5.278M,1.939B,0.001M,,0.00,-66.50M
2015-09,267.74M,-0.115M,-0.115M,154.72M,18.78M,173.50M,173.50M,-17.28M,,5.595M,5.595M,74.33M,-101.66M,137.70M,,,20.79M,131.15M,562.60M,-107.83M,7.064M,7.064M,-17.52M,11.45M,1.077M,-105.76M,-8.30M,11.94M,3.637M,0.00,0.00,0.00,-119.98M,-119.98M,-16.79M,-133.14M,1.576B,323.70M,-4.769M,1.895B,0.00,,-8.30M,0.00
2015-06,159.34M,-0.694M,-0.694M,156.59M,18.24M,174.83M,174.83M,-25.21M,,27.49M,27.49M,-89.15M,141.26M,122.99M,,,108.01M,283.11M,631.01M,-97.73M,15.33M,15.33M,-3.227M,0.00,0.00,-85.63M,-8.00M,15.77M,7.773M,0.00,0.00,0.00,-119.76M,-119.76M,-13.91M,-125.90M,1.154B,419.48M,3.08M,1.576B,0.00,,-8.00M,0.00
2015-03,84.29M,0.259M,0.259M,157.93M,18.66M,176.59M,176.59M,-10.17M,,6.453M,6.453M,343.50M,330.84M,-360.07M,,,-7.992M,306.27M,563.69M,-77.52M,2.604M,2.604M,-20.78M,-11.93M,1.87M,-105.75M,,-180.24M,-180.24M,0.423M,0.00,0.423M,-119.71M,-119.71M,-25.32M,-324.84M,1.024B,133.10M,-3.304M,1.154B,0.423M,,,0.00
2014-12,207.73M,-3.477M,-25.02M,165.32M,18.30M,183.61M,183.61M,114.51M,,6.059M,31.45M,239.17M,92.30M,-193.07M,,,-275.58M,-137.18M,417.34M,-110.73M,17.82M,17.82M,-733.83M,0.00,105.75M,-721.00M,-2.058M,166.41M,164.35M,1.149M,,1.149M,-118.89M,-118.89M,-12.64M,33.97M,1.296B,-269.69M,-2.11M,1.024B,1.149M,,-2.058M,
2014-09,274.20M,-2.352M,10.15M,160.26M,17.86M,178.12M,178.12M,-38.59M,,6.573M,6.573M,-169.16M,49.49M,60.40M,,,111.06M,51.79M,482.23M,-110.45M,5.89M,5.89M,-25.64M,0.00,11.50M,-118.70M,-3.30M,-1.312M,-4.612M,4.465M,,4.465M,-118.86M,-118.86M,-13.55M,-132.56M,1.068B,230.98M,-2.592M,1.296B,4.465M,,-3.30M,
2014-06,166.94M,-3.202M,-3.202M,164.95M,17.83M,182.78M,182.78M,-13.43M,,27.66M,27.66M,-152.01M,-7.318M,140.45M,,,-59.25M,-78.14M,294.12M,-188.74M,8.318M,8.318M,-98.44M,0.00,12.00M,-266.87M,0.00,15.34M,15.34M,0.00,,0.00,-118.69M,-118.69M,-11.20M,-114.55M,1.153B,-87.30M,2.322M,1.068B,0.00,,0.00,
2014-03,129.70M,-4.474M,4.572M,161.48M,18.43M,179.91M,179.91M,8.312M,,6.088M,6.088M,-97.18M,-123.14M,-51.66M,,,92.62M,-179.37M,149.21M,-258.06M,4.54M,4.54M,-8.513M,-72.47M,3.00M,-331.50M,,-2.13M,-2.13M,0.00,,0.00,-118.68M,-118.68M,-25.10M,-145.90M,1.483B,-328.19M,-2.517M,1.153B,0.00,,,
2013-12,190.42M,-6.632M,-20.63M,145.36M,18.30M,163.66M,163.66M,45.68M,,6.899M,20.90M,100.89M,-168.79M,-88.67M,,,-50.14M,-206.72M,194.31M,-309.02M,4.769M,4.769M,-20.29M,19.33M,12.89M,-292.32M,0.00,-9.002M,-9.002M,0.00,,0.00,-117.87M,-117.87M,-12.62M,-139.50M,1.723B,-237.51M,-2.149M,1.483B,0.00,0.00,0.00,
2013-09,178.12M,-2.252M,11.75M,132.10M,18.48M,150.58M,150.58M,-1.423M,,6.508M,6.508M,-133.76M,-165.37M,215.37M,,,136.89M,53.14M,398.67M,-266.62M,19.18M,19.18M,-21.28M,0.041M,87.05M,-181.62M,999.10M,6.535M,1.006B,0.00,,0.00,-117.88M,-117.88M,-13.28M,874.48M,630.47M,1.092B,0.916M,1.723B,0.00,999.10M,0.00,
2013-06,106.27M,-1.585M,-1.585M,127.96M,18.53M,146.49M,146.49M,1.121M,,28.01M,28.01M,19.90M,99.31M,-5.675M,,,-38.68M,74.86M,356.16M,-290.72M,7.187M,7.187M,-22.81M,-19.39M,98.49M,-227.24M,-250.00M,-10.72M,-260.72M,,,,-117.66M,-117.66M,-21.47M,-399.85M,902.70M,-270.93M,-1.305M,630.47M,,,-250.00M,
2013-03,110.73M,1.172M,1.172M,130.42M,19.05M,149.47M,149.47M,11.18M,,6.035M,6.035M,-90.69M,-63.22M,-74.38M,,,71.80M,-156.49M,128.81M,-330.58M,2.958M,2.958M,-20.68M,73.43M,136.09M,-138.79M,,12.51M,12.51M,,,,-117.62M,-117.62M,-33.98M,-139.09M,1.053B,-149.07M,-1.095M,902.70M,,,,
2012-12,160.26M,4.23M,4.23M,139.32M,19.49M,158.81M,158.81M,17.27M,0.00,7.875M,7.875M,85.33M,-107.32M,-140.97M,,,-109.79M,-272.75M,75.70M,-333.83M,8.489M,8.489M,-111.22M,325.23M,171.99M,60.65M,-650.00M,-1.038M,-651.04M,0.00,,0.00,-116.82M,-116.82M,-7.753M,-775.61M,1.693B,-639.26M,-1.071M,1.053B,0.00,0.00,-650.00M,
2012-09,129.89M,2.261M,19.82M,133.72M,20.40M,154.12M,154.12M,-19.40M,0.00,5.546M,5.546M,139.03M,194.16M,9.704M,,,45.33M,388.22M,678.20M,-230.33M,21.55M,21.55M,-25.90M,141.76M,94.94M,2.016M,0.00,23.75M,23.75M,4.359M,,4.359M,-116.77M,-116.77M,-12.96M,-101.62M,1.112B,578.59M,2.616M,1.693B,4.359M,0.00,0.00,
2012-06,139.57M,0.158M,0.158M,129.63M,16.54M,146.17M,146.17M,-1.247M,30.00M,30.48M,60.48M,-1.618M,110.66M,-144.33M,,,-65.17M,-100.46M,244.67M,-221.95M,13.07M,13.07M,-706.89M,626.09M,109.55M,-180.13M,0.00,-0.924M,-0.924M,0.28M,,0.28M,-116.44M,-116.44M,-13.96M,-131.05M,1.180B,-66.51M,-1.316M,1.112B,0.28M,,0.00,
2012-03,163.41M,6.674M,6.674M,131.34M,16.58M,147.92M,147.92M,-21.90M,,6.835M,6.835M,-74.63M,-263.15M,103.73M,,,132.92M,-101.13M,201.82M,-161.50M,7.953M,7.953M,-97.29M,164.66M,-0.357M,-86.53M,,6.158M,6.158M,5.876M,,5.876M,-116.32M,-116.32M,-34.30M,-138.59M,1.201B,-23.31M,2.475M,1.180B,5.876M,,,
2011-12,158.17M,-4.147M,-4.147M,130.72M,16.15M,146.88M,146.88M,17.20M,0.00,8.68M,8.68M,126.32M,200.35M,-99.53M,,,-206.35M,20.79M,347.57M,-110.35M,3.178M,3.178M,-99.91M,558.28M,-475.99M,-124.80M,,-5.804M,-5.804M,1.14M,,1.14M,,-115.51M,-4.996M,-125.17M,1.101B,97.60M,1.607M,1.201B,1.14M,5.646M,,
2011-09,200.11M,11.25M,11.25M,135.79M,17.00M,152.78M,152.78M,63.74M,13.94M,8.792M,22.74M,-8.287M,27.29M,45.31M,,-136.98M,12.82M,-59.85M,390.76M,-115.70M,3.746M,3.746M,49.84M,-828.24M,516.70M,-373.66M,,-7.003M,-7.003M,3.751M,,3.751M,,-115.44M,18.32M,-100.38M,1.190B,-83.28M,-4.832M,1.101B,3.751M,-7.003M,,
2011-06,321.58M,-1.267M,-1.267M,128.83M,17.24M,146.07M,146.07M,-27.20M,0.00,22.02M,22.02M,-133.18M,-263.80M,-64.22M,,136.98M,108.22M,-215.98M,245.23M,-116.86M,14.42M,14.42M,-25.36M,50.39M,0.00,-77.41M,,-2.237M,-2.237M,0.548M,,0.548M,,-115.33M,-13.48M,-130.50M,1.153B,37.32M,-0.723M,1.190B,0.548M,-2.237M,,
2011-03,181.12M,4.21M,4.21M,127.23M,17.44M,144.67M,144.67M,4.311M,,9.508M,9.508M,-259.77M,-397.54M,309.79M,,,51.20M,-296.32M,47.50M,-96.04M,3.985M,3.985M,-24.48M,10.55M,21.95M,-84.03M,,3.594M,3.594M,2.658M,,2.658M,,-115.23M,-29.99M,-138.98M,1.325B,-175.51M,3.044M,1.153B,2.658M,3.594M,,
2010-12,8.887M,0.601M,0.601M,127.04M,17.08M,144.12M,144.12M,108.11M,,8.926M,8.926M,30.74M,93.64M,176.57M,,,78.96M,379.91M,650.55M,-100.35M,5.946M,5.946M,-55.01M,-997.13M,,-1.661B,600.00M,10.22M,610.22M,1.039M,,1.039M,,-114.42M,-11.86M,484.98M,1.850B,-525.61M,0.919M,1.325B,1.039M,598.66M,0.00,
2010-09,50.02M,5.732M,5.732M,129.84M,17.52M,147.37M,147.37M,25.97M,,8.869M,8.869M,-50.39M,303.39M,-191.20M,,19.89M,190.35M,272.04M,510.00M,-75.11M,3.476M,3.476M,-26.56M,184.00M,,85.80M,598.99M,0.491M,599.48M,1.871M,,1.871M,,-114.40M,-35.56M,451.39M,801.50M,1.047B,1.39M,1.850B,1.871M,599.48M,0.00,
2010-06,147.41M,7.372M,7.372M,127.38M,17.63M,145.01M,145.01M,1.735M,,14.85M,-15.95M,-111.24M,-325.94M,-17.55M,,-37.45M,-73.73M,-565.91M,-290.72M,-109.00M,12.48M,12.48M,-329.96M,0.00,,-426.48M,-6.00M,-6.46M,-12.46M,0.315M,,0.315M,,-114.27M,-12.92M,-139.33M,1.660B,-856.54M,-1.545M,801.50M,0.315M,-6.46M,-6.00M,
2010-03,,18.38M,18.38M,127.88M,18.22M,146.10M,146.10M,2.443M,,10.40M,41.19M,-179.30M,-303.00M,268.62M,,17.57M,-25.44M,-221.55M,-3.037M,-54.22M,3.046M,3.046M,-87.27M,-115.50M,,-253.94M,,7.312M,7.312M,1.462M,,1.462M,,-114.19M,0.206M,-105.21M,2.017B,-362.19M,4.794M,1.660B,1.462M,7.312M,,
2009-12,86.43M,12.91M,12.91M,126.07M,18.25M,144.32M,144.32M,37.44M,,11.20M,14.00M,48.89M,4.496M,-95.60M,,-40.96M,11.00M,-72.17M,222.93M,-74.48M,0.885M,0.885M,-11.27M,36.39M,,-48.48M,0.00,-1.686M,-1.686M,0.16M,,0.16M,,-115.14M,0.10M,-116.57M,1.958B,57.89M,1.42M,2.017B,0.16M,,0.00,
2009-09,-5.311M,9.633M,9.633M,125.49M,18.14M,143.63M,143.63M,82.76M,,11.80M,11.80M,-185.84M,-34.32M,360.15M,,-95.42M,30.22M,74.80M,317.31M,-75.60M,1.876M,1.876M,-2.391M,-125.00M,,-201.11M,-5.40M,-2.528M,-7.928M,2.038M,,2.038M,,-213.85M,-2.50M,-222.24M,2.060B,-106.04M,3.511M,1.958B,2.038M,,-5.40M,
2009-06,-127.77M,21.80M,21.80M,122.78M,17.86M,140.64M,140.64M,20.03M,,21.44M,21.44M,-14.34M,624.68M,222.26M,,-285.74M,-4.185M,542.67M,618.81M,-114.46M,6.376M,6.376M,-82.62M,-127.92M,,-318.62M,0.00,-0.374M,-0.374M,0.49M,,0.49M,,-193.84M,49.34M,-144.38M,1.900B,155.80M,4.32M,2.060B,0.49M,,0.00,
2009-03,-190.52M,38.00M,38.00M,119.70M,18.14M,137.84M,137.84M,-51.69M,,10.22M,10.22M,292.40M,522.74M,-736.38M,,,-8.462M,70.30M,14.14M,-125.97M,2.234M,2.234M,0.00,-8.468M,,-132.20M,-175.00M,-2.32M,-177.32M,1.028M,,1.028M,,-110.51M,-50.04M,-336.84M,2.355B,-454.90M,-0.148M,1.900B,1.028M,,-175.00M,
2008-12,163.89M,,,125.19M,18.37M,143.56M,143.56M,-181.94M,,11.44M,116.63M,1.293B,719.54M,-1.226B,,245.08M,-134.85M,897.42M,1.176B,-212.83M,8.504M,8.504M,-14.63M,52.69M,,-166.27M,0.001M,-6.357M,-6.356M,0.769M,-116.28M,-115.51M,,-187.56M,0.00,-309.42M,1.654B,700.79M,,2.355B,0.769M,0.00,-6.356M,-116.28M
2008-09,810.80M,,,123.06M,18.99M,142.05M,142.05M,-44.66M,,7.28M,7.28M,153.53M,-513.25M,-115.66M,,40.00M,13.93M,-421.47M,494.01M,-304.48M,2.125M,2.125M,-912.39M,-24.85M,,-1.240B,-0.001M,-122.05M,-122.05M,1.356M,-7.684M,-6.328M,,-264.97M,1.40M,-391.95M,2.792B,-1.138B,,1.654B,1.356M,0.00,-122.05M,-7.684M
2008-06,668.69M,,,121.57M,18.66M,140.22M,140.22M,-58.22M,,21.51M,31.43M,-624.32M,-578.58M,626.30M,,-65.89M,30.77M,-611.73M,160.76M,-275.43M,5.301M,5.301M,-217.54M,34.69M,,-452.98M,582.78M,-10.93M,571.85M,1.988B,,1.988B,,-212.05M,1.90M,2.350B,734.00M,2.058B,,2.792B,1.988B,589.72M,-17.86M,
2008-03,501.52M,,,109.66M,13.41M,123.07M,123.07M,-8.663M,,9.635M,-0.283M,33.00M,8.014M,-146.25M,,189.41M,-41.99M,42.19M,667.48M,-226.24M,1.25M,1.25M,-1.402B,165.33M,,-1.462B,400.00M,-10.50M,389.50M,6.158M,,6.158M,,-268.55M,7.30M,134.41M,1.394B,-659.95M,,734.00M,6.158M,400.00M,-10.50M,
2007-12,364.85M,,78.85M,104.89M,8.947M,113.84M,113.84M,9.985M,,,5.314M,65.08M,25.95M,-110.29M,,-60.10M,51.16M,-28.21M,544.62M,-189.77M,1.983M,-187.78M,-131.99M,-213.97M,0.00,-533.74M,,,1.323B,1.573M,0.00,1.573M,,-176.53M,-37.27M,1.111B,272.26M,1.122B,,1.394B,1.573M,,,0.00
2007-09,381.22M,,80.37M,298.28M,15.44M,117.57M,117.57M,-38.22M,,,-2.718M,-43.27M,16.06M,-36.42M,,159.73M,18.79M,114.89M,653.12M,-131.91M,0.064M,-131.85M,-327.06M,337.99M,0.00,-120.92M,,,-2.23M,0.535M,-617.27M,-616.74M,,-183.77M,-81.66M,-884.40M,624.46M,-352.20M,,272.26M,0.535M,,,-617.27M
2007-06,344.85M,,75.30M,,,97.75M,97.75M,-36.03M,,,15.74M,-73.53M,-139.19M,-16.24M,,-115.05M,18.46M,-325.54M,172.05M,-107.32M,0.562M,-106.76M,-23.54M,130.32M,0.00,0.022M,,,-70.33M,3.294M,-136.76M,-133.46M,,-184.68M,-40.76M,-429.23M,881.61M,-257.15M,,624.46M,3.294M,,,-136.76M
2007-03,381.03M,,58.99M,,,98.40M,98.40M,-16.95M,,,7.649M,-122.60M,-5.314M,220.21M,,-27.51M,-28.40M,36.39M,565.51M,-91.35M,0.178M,-91.17M,-1.060B,943.91M,5.847M,-201.50M,,,6.096M,6.601M,,6.601M,,-181.16M,-99.60M,-268.06M,785.65M,95.96M,,881.61M,6.601M,,,
2006-12,408.16M,,71.18M,,,90.26M,90.26M,5.29M,,,36.98M,180.60M,37.51M,-166.18M,,-87.96M,-15.02M,-51.06M,560.81M,-98.23M,0.199M,-98.03M,-180.04M,-21.78M,,-299.85M,,,0.00,-9.14M,-99.25M,-108.39M,,-182.02M,-17.50M,-307.91M,832.60M,-46.95M,,785.65M,-9.14M,,,-99.25M
2006-09,517.58M,,62.97M,,,91.19M,91.19M,1.70M,,,-3.668M,-214.47M,-181.48M,157.67M,267.46M,26.68M,24.28M,80.14M,749.91M,-102.86M,0.304M,-102.56M,0.00,-125.62M,,-228.17M,,,-1.25M,2.133M,-319.54M,-317.41M,,-185.77M,-68.03M,-572.47M,883.32M,-50.72M,,832.60M,2.133M,,,-319.54M
2006-06,451.91M,,50.13M,,,91.66M,91.66M,-27.57M,,,-8.305M,68.12M,-3.832M,-90.75M,-267.46M,96.56M,12.64M,-184.71M,373.12M,-67.44M,0.235M,-67.21M,-43.88M,-220.54M,14.70M,-316.93M,,,,6.229M,-170.39M,-164.16M,,-109.15M,-27.54M,-300.85M,1.128B,-244.66M,,883.32M,6.229M,,,-170.39M
2006-03,380.03M,,34.92M,,,90.82M,90.82M,-18.33M,,,8.305M,-68.12M,3.832M,90.75M,,51.19M,-6.008M,71.64M,567.39M,-69.87M,1.439M,-68.43M,,-219.66M,-14.70M,-302.80M,,,,38.01M,-10.26M,27.75M,,-100.87M,-43.64M,-116.76M,980.15M,147.83M,,1.128B,38.01M,,,-10.26M
2005-12,341.03M,,46.44M,,,93.56M,93.56M,15.53M,,,55.51M,,,,-280.21M,-198.27M,,-142.79M,409.29M,-108.84M,0.043M,-108.79M,0.00,,37.45M,-970.61M,,,,10.44M,-46.09M,-35.64M,,-20.88M,-9.247M,-65.77M,1.607B,-627.09M,,980.15M,10.44M,,,-46.09M
2005-09,291.88M,,24.91M,,,96.23M,96.23M,-11.84M,,,-1.461M,,,,133.96M,244.26M,,378.22M,777.94M,-75.53M,0.098M,-75.43M,-2.00M,,-4.927M,-82.36M,,,,3.368M,-39.32M,-35.95M,,-32.50M,-80.64M,-149.09M,1.061B,546.48M,,1.607B,3.368M,,,-39.32M
