,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,2.622B,4.241B,6.863B,1.530B,,1.530B,1.112B,,,,9.505B,,,,,,,,573.04M,2.755B,2.140B,4.895B,9.433B,,613.45M,15.51B,25.02B,841.27M,,841.27M,1.239B,2.080B,941.66M,941.66M,941.66M,1.426B,1.426B,,4.447B,7.990B,,7.990B,481.22M,481.22M,,,161.34M,9.884B,14.33B,0.488M,14.98B,5.034B,9.430B,,,,56.41M,10.69B
2017-12,2.542B,4.86B,7.402B,1.218B,,1.218B,415.00M,,,,9.035B,0.0,816.00M,,8.00M,199.00M,1.023B,-543.00M,480.00M,2.738B,2.177B,4.915B,10.87B,,148.00M,16.42B,25.45B,668.00M,,668.00M,1.139B,1.807B,711.00M,711.00M,711.00M,980.00M,980.00M,,3.498B,8.81B,,8.81B,481.00M,481.00M,,,147.00M,10.69B,14.19B,0.00,13.94B,5.783B,8.699B,,,,238.00M,11.26B
2017-09,2.846B,4.407B,7.253B,1.438B,,1.438B,433.50M,,,,9.125B,,,,,,,,457.55M,2.728B,2.218B,4.946B,11.11B,,146.60M,16.66B,25.79B,805.74M,,805.74M,1.091B,1.897B,899.80M,899.80M,899.80M,827.36M,827.36M,,3.624B,8.727B,,8.727B,407.94M,407.94M,,,143.83M,9.278B,12.90B,0.486M,14.51B,5.707B,7.998B,,,,653.67M,12.89B
2017-06,2.634B,3.722B,6.356B,1.231B,,1.231B,685.88M,,,,8.273B,,,,,,,,425.10M,2.419B,1.915B,4.333B,10.26B,,163.60M,15.19B,23.46B,598.20M,,598.20M,1.074B,1.672B,899.48M,899.48M,899.48M,1.186B,1.186B,,3.757B,7.565B,,7.565B,397.45M,397.45M,,,134.54M,8.097B,11.85B,0.486M,12.79B,5.634B,7.411B,,,,573.92M,11.60B
2017-03,2.434B,2.936B,5.370B,934.25M,,934.25M,683.45M,,,,6.988B,,,,,,,,381.20M,2.402B,1.952B,4.354B,10.14B,,130.24M,15.01B,21.99B,407.58M,,407.58M,986.68M,1.394B,974.54M,974.54M,974.54M,879.40M,879.40M,,3.248B,7.286B,,7.286B,497.85M,497.85M,,,128.56M,7.913B,11.16B,0.486M,12.07B,5.558B,7.068B,,,,247.06M,10.83B
2016-12,2.081B,2.219B,4.300B,860.12M,,860.12M,241.45M,,,,5.402B,0.0,556.85M,,5.945M,143.19M,705.99M,-358.97M,347.02M,2.397B,1.994B,4.391B,9.591B,,108.58M,14.44B,19.84B,419.11M,,419.11M,857.47M,1.277B,967.73M,967.73M,967.73M,614.36M,614.36M,,2.859B,6.171B,,6.171B,822.33M,822.33M,,,138.77M,7.132B,9.990B,0.485M,11.33B,5.483B,6.855B,,,,-134.68M,9.849B
2016-09,2.422B,1.956B,4.378B,1.105B,,1.105B,349.32M,0.857M,,,5.834B,,,,,,,,339.80M,2.416B,2.040B,4.457B,9.296B,,107.43M,14.20B,20.03B,494.61M,,494.61M,882.08M,1.377B,960.98M,960.98M,960.98M,568.30M,568.30M,,2.906B,6.347B,,6.347B,802.43M,802.43M,,,141.09M,7.291B,10.20B,0.484M,10.65B,5.411B,6.584B,,,,322.35M,9.837B
2016-06,2.694B,1.677B,4.371B,982.99M,,982.99M,559.69M,0.823M,,,5.914B,,,,,,,,320.45M,3.361B,2.082B,5.443B,7.954B,,55.13M,13.77B,19.69B,431.87M,,431.87M,1.020B,1.451B,,,,758.27M,758.27M,,2.210B,7.255B,,7.255B,803.94M,803.94M,,,143.67M,8.203B,10.41B,0.484M,10.15B,5.377B,6.385B,,,,135.44M,9.275B
2016-03,1.857B,1.526B,3.383B,857.14M,,857.14M,623.99M,0.835M,,,4.865B,,,,,,,,299.84M,3.378B,2.129B,5.507B,7.594B,,68.73M,13.47B,18.33B,334.78M,,334.78M,1.117B,1.452B,,,,535.54M,535.54M,,1.988B,6.321B,,6.321B,830.16M,830.16M,,,143.24M,7.295B,9.282B,0.484M,9.566B,5.274B,6.086B,,,,297.76M,9.052B
2015-12,1.477B,1.171B,2.649B,645.17M,,645.17M,259.56M,,,,3.553B,0.0,425.41M,,0.00,109.72M,535.13M,-260.35M,274.79M,3.375B,2.168B,5.543B,7.931B,,118.66M,13.87B,17.42B,322.84M,,322.84M,681.59M,1.004B,,,,434.88M,434.88M,,1.439B,6.158B,,6.158B,892.58M,892.58M,,,134.78M,7.186B,8.625B,0.482M,9.192B,5.185B,5.827B,,,,244.85M,8.795B
2015-09,1.842B,1.211B,3.053B,890.53M,,890.53M,264.26M,0.827M,90.50M,,4.299B,,,,,,,,257.14M,3.387B,2.203B,5.590B,6.392B,44.74M,18.43M,12.32B,16.61B,388.53M,,388.53M,780.78M,1.169B,,,,413.50M,413.50M,,1.583B,5.421B,,5.421B,952.39M,952.39M,,,131.47M,6.505B,8.088B,0.482M,8.688B,5.098B,5.073B,,,,-185.46M,8.527B
2015-06,1.889B,1.299B,3.188B,889.87M,,889.87M,508.41M,1.052M,106.06M,,4.693B,,,,,,,,246.10M,3.366B,2.247B,5.613B,6.395B,45.96M,20.44M,12.33B,17.03B,367.22M,,367.22M,903.64M,1.271B,,,,660.27M,660.27M,,1.931B,5.400B,,5.400B,991.88M,991.88M,,,146.40M,6.538B,8.469B,0.482M,7.491B,5.010B,3.900B,,,,-43.12M,8.558B
2015-03,3.256B,1.380B,4.635B,706.78M,,706.78M,487.28M,0.863M,137.10M,,5.967B,,,,,,,,214.86M,3.328B,2.282B,5.610B,4.974B,43.54M,20.74M,10.88B,16.84B,567.32M,,567.32M,610.76M,1.178B,,,,525.15M,525.15M,,1.703B,5.304B,,5.304B,1.072B,1.072B,,,132.99M,6.509B,8.212B,0.481M,6.974B,4.927B,3.046B,,,,-224.54M,8.630B
2014-12,3.149B,1.142B,4.291B,643.89M,,643.89M,178.05M,0.843M,,,5.114B,,442.95M,,,,442.95M,-243.99M,198.95M,3.326B,2.335B,5.661B,3.756B,,41.52M,9.657B,14.77B,281.48M,,281.48M,599.52M,881.00M,37.15M,37.15M,37.15M,460.56M,460.56M,,1.379B,3.824B,,3.824B,897.85M,897.85M,,,103.53M,4.825B,6.204B,0.48M,6.641B,4.923B,2.738B,,,,-259.90M,8.567B
2014-09,5.044B,1.193B,6.237B,843.56M,,843.56M,166.31M,0.903M,56.02M,,7.304B,,,,,,,,203.79M,3.483B,2.175B,5.658B,1.965B,32.73M,7.762M,7.881B,15.18B,525.44M,,525.44M,609.07M,1.135B,37.78M,37.78M,37.78M,416.85M,416.85M,,1.589B,3.887B,,3.887B,866.17M,866.17M,,,107.94M,4.861B,6.450B,0.48M,6.189B,4.849B,2.233B,,,,-72.20M,8.734B
2014-06,3.504B,3.661B,7.165B,841.13M,,841.13M,380.28M,15.63M,107.01M,,8.509B,,,,,,,,168.68M,1.906B,976.95M,2.882B,,20.60M,7.303M,3.092B,11.60B,340.90M,,340.90M,555.72M,896.62M,41.32M,41.32M,41.32M,569.31M,569.31M,,1.507B,1.764B,,1.764B,396.49M,396.49M,,,106.86M,2.268B,3.775B,0.48M,5.126B,4.703B,2.085B,,,,78.34M,7.825B
2014-03,1.288B,5.422B,6.711B,627.16M,,627.16M,428.12M,15.62M,74.53M,,7.856B,,,,,,,,149.37M,1.772B,998.31M,2.770B,,20.21M,7.693M,2.958B,10.81B,299.41M,,299.41M,561.92M,861.33M,97.71M,97.71M,97.71M,471.96M,471.96M,,1.431B,1.753B,,1.753B,334.63M,334.63M,,,81.18M,2.169B,3.600B,0.478M,4.550B,4.650B,2.084B,,,,92.75M,7.214B
2013-12,1.290B,5.463B,6.753B,535.96M,,535.96M,107.10M,10.48M,74.69M,,7.481B,,312.79M,,,,312.79M,-177.73M,135.05M,1.768B,1.020B,2.788B,0.00,23.52M,6.432M,2.964B,10.44B,247.34M,,247.34M,545.34M,792.69M,151.93M,151.93M,151.93M,437.13M,437.13M,,1.382B,1.742B,,1.742B,326.42M,326.42M,,,75.98M,2.144B,3.526B,0.476M,4.219B,4.593B,1.987B,,,,84.73M,6.918B
2013-09,1.096B,5.488B,6.584B,706.23M,,706.23M,107.69M,9.034M,82.47M,,7.489B,,,,,,,,119.77M,1.761B,1.039B,2.800B,,20.84M,15.95M,2.957B,10.45B,312.90M,,312.90M,544.02M,856.92M,538.27M,538.27M,538.27M,430.66M,430.66M,,1.826B,1.731B,,1.731B,371.50M,371.50M,,0.00,83.93M,2.186B,4.012B,0.468M,3.841B,4.459B,1.944B,,,,39.76M,6.433B
2013-06,1.762B,4.183B,5.945B,649.25M,,649.25M,249.85M,7.733M,74.24M,,6.926B,,,,,,,,109.14M,1.738B,1.052B,2.790B,,25.33M,16.32M,2.941B,9.867B,316.25M,,316.25M,387.34M,703.59M,532.21M,532.21M,532.21M,535.64M,535.64M,,1.771B,1.720B,,1.720B,387.30M,387.30M,,0.00,88.09M,2.195B,3.967B,0.467M,3.008B,4.409B,1.484B,,,,-75.58M,5.900B
2013-03,1.611B,3.570B,5.182B,471.81M,,471.81M,319.25M,7.022M,50.76M,,6.030B,,,,,,,,92.50M,502.30M,191.14M,693.43M,,3.643M,35.10M,824.68M,6.855B,250.55M,,250.55M,425.03M,675.58M,526.23M,526.23M,526.23M,403.53M,403.53M,,1.605B,887.23M,,887.23M,41.47M,41.47M,,190.89M,90.59M,1.210B,2.816B,0.452M,2.570B,2.645B,1.137B,,,,-88.06M,4.040B
2012-12,1.536B,3.647B,5.183B,367.51M,,367.51M,84.29M,6.641M,40.74M,,5.682B,,232.48M,,,,232.48M,-143.21M,89.27M,522.67M,208.11M,730.78M,,55.01M,12.30M,887.37M,6.570B,184.65M,,184.65M,387.91M,572.56M,520.34M,520.34M,520.34M,368.82M,368.82M,,1.462B,882.00M,,882.00M,45.16M,45.16M,,160.29M,68.94M,1.156B,2.618B,0.45M,2.369B,2.612B,1.061B,,,,-23.68M,3.952B
2012-09,898.47M,3.770B,4.668B,493.78M,,493.78M,152.72M,7.214M,44.02M,,5.366B,,,,,,,,81.93M,517.72M,192.49M,710.21M,,23.23M,36.71M,852.08M,6.218B,240.18M,,240.18M,377.33M,617.50M,514.54M,514.54M,514.54M,,343.30M,,1.475B,937.27M,,937.27M,46.30M,46.30M,133.22M,,47.81M,1.031B,2.507B,0.45M,2.105B,2.594B,1.059B,,,,-62.87M,3.578B
2012-06,812.79M,3.130B,3.942B,429.52M,,429.52M,164.74M,6.609M,35.08M,,4.578B,,,,,,,,78.62M,508.33M,196.04M,704.37M,,29.04M,38.48M,850.51M,5.429B,201.20M,,201.20M,272.09M,473.29M,508.83M,508.83M,508.83M,,384.52M,,1.367B,937.84M,,937.84M,45.24M,45.24M,110.18M,,41.12M,1.024B,2.391B,0.45M,1.525B,2.569B,1.059B,,,,-107.65M,2.928B
2012-03,1.192B,2.427B,3.619B,324.56M,,324.56M,201.74M,4.458M,53.60M,,4.203B,,,,,,,,73.52M,520.77M,210.92M,731.69M,,43.24M,41.31M,889.76M,5.093B,173.98M,,173.98M,298.22M,472.20M,503.19M,503.19M,503.19M,,314.84M,,1.290B,938.38M,,938.38M,45.72M,45.72M,183.32M,,43.53M,1.028B,2.318B,0.449M,1.163B,2.537B,1.058B,,,,-51.11M,2.592B
2011-12,632.84M,2.025B,2.658B,264.45M,,264.45M,104.20M,3.771M,36.76M,,3.067B,,176.96M,,,,176.96M,-112.64M,64.32M,504.78M,200.15M,704.94M,,121.64M,12.93M,903.83M,3.971B,146.87M,,146.87M,222.13M,369.00M,497.64M,497.64M,497.64M,239.16M,239.16M,,1.106B,,,,46.99M,46.99M,,127.04M,39.18M,213.22M,1.319B,0.446M,1.034B,2.431B,803.59M,,,,-87.58M,2.652B
2011-09,421.17M,1.983B,2.405B,345.34M,,345.34M,95.91M,3.851M,32.25M,,2.882B,,,,,,,,53.84M,510.15M,210.69M,720.85M,,137.46M,21.44M,933.60M,3.816B,169.54M,,169.54M,305.74M,475.29M,492.17M,492.17M,492.17M,,213.80M,,1.181B,82.83M,,82.83M,47.45M,47.45M,76.62M,,37.12M,167.40M,1.349B,0.446M,858.44M,2.394B,802.78M,,,,-59.84M,2.390B
2011-06,611.25M,1.338B,1.949B,321.36M,,321.36M,52.72M,1.079M,51.86M,,2.376B,,,,,,,,49.35M,529.59M,228.88M,758.48M,,158.66M,17.16M,983.64M,3.360B,127.79M,,127.79M,267.89M,395.68M,486.78M,486.78M,486.78M,,243.73M,,1.126B,88.22M,,88.22M,54.68M,54.68M,67.50M,,33.86M,176.76M,1.303B,0.446M,396.53M,2.372B,799.11M,,,,19.48M,1.990B
2011-03,551.07M,1.195B,1.746B,221.98M,,221.98M,56.68M,1.064M,80.36M,,2.106B,,,,,,,,44.39M,525.80M,234.06M,759.86M,0.00,146.99M,8.439M,959.68M,3.065B,115.51M,,115.51M,322.74M,438.25M,481.64M,481.64M,481.64M,,166.80M,,1.087B,93.57M,,93.57M,55.94M,55.94M,57.54M,,47.21M,196.72M,1.283B,0.445M,163.54M,2.348B,797.68M,,,,10.36M,1.724B
2010-12,358.97M,1.303B,1.662B,162.43M,,162.43M,61.21M,1.05M,70.56M,,1.957B,,134.15M,,,,134.15M,-94.41M,39.74M,510.89M,232.03M,742.92M,,151.41M,14.42M,948.49M,2.906B,90.31M,,90.31M,243.77M,334.08M,0.175M,0.175M,0.175M,,136.92M,,471.17M,476.27M,,476.27M,56.44M,56.44M,45.75M,,42.99M,575.70M,1.047B,0.438M,69.11M,2.417B,640.42M,,,,-32.89M,1.813B
2010-09,533.12M,941.95M,1.475B,248.95M,,248.95M,41.63M,1.155M,73.26M,,1.840B,,,,,,,,35.90M,453.62M,243.24M,696.86M,0.424M,169.01M,4.285M,906.49M,2.747B,112.75M,79.67M,192.42M,195.94M,388.36M,,0.174M,0.174M,117.80M,117.80M,,506.33M,471.11M,,471.11M,59.40M,59.40M,44.22M,,28.48M,559.00M,1.065B,0.438M,-62.86M,2.355B,636.62M,,,,-19.05M,1.637B
2010-06,356.04M,864.16M,1.220B,208.06M,,208.06M,70.52M,1.302M,57.60M,,1.558B,,,,,,,,34.99M,426.32M,236.55M,662.87M,0.448M,185.25M,4.504M,888.06M,2.446B,119.14M,,119.14M,163.05M,282.18M,,41.98M,41.98M,141.61M,141.61M,,465.78M,474.05M,,474.05M,59.18M,59.18M,0.00,,62.25M,595.48M,1.061B,0.432M,-285.84M,2.401B,636.39M,,,,-94.67M,1.384B
2010-03,348.78M,886.89M,1.236B,132.50M,,132.50M,42.78M,1.335M,64.32M,,1.477B,,,,,,,,30.82M,333.53M,156.83M,490.36M,0.442M,201.48M,1.863M,724.96M,2.202B,75.26M,,75.26M,118.86M,194.12M,,78.33M,78.33M,71.15M,71.15M,,343.59M,480.12M,,480.12M,36.02M,36.02M,,,25.20M,541.34M,884.93M,0.424M,-400.80M,2.395B,629.90M,,,,-47.77M,1.317B
2009-12,202.14M,598.01M,800.16M,118.66M,,118.66M,36.83M,1.319M,65.98M,,1.023B,,108.00M,,,,108.00M,-77.51M,30.49M,350.63M,172.08M,522.71M,,253.70M,4.384M,811.28M,1.834B,60.57M,,60.57M,127.56M,188.13M,159.88M,159.88M,159.88M,,60.76M,,408.76M,35.98M,,35.98M,43.79M,43.79M,0.00,,24.05M,103.83M,512.60M,0.405M,-454.67M,2.290B,510.97M,,,,-3.00M,1.322B
2009-09,362.47M,356.79M,719.27M,169.86M,,169.86M,19.24M,1.321M,40.67M,,950.36M,,,,,,,,29.34M,349.98M,179.79M,529.78M,0.268M,285.69M,1.61M,846.68M,1.797B,63.00M,,63.00M,143.46M,206.46M,,220.72M,220.72M,50.40M,50.40M,,477.59M,50.21M,,50.21M,45.73M,45.73M,,,21.78M,117.72M,595.31M,0.391M,-533.13M,2.237B,507.72M,,,,4.814M,1.202B
2009-06,333.45M,256.12M,589.57M,150.04M,,150.04M,37.28M,1.283M,18.82M,,797.00M,,,,,,,,29.67M,347.22M,183.04M,530.26M,0.267M,133.92M,1.221M,695.34M,1.492B,77.17M,,77.17M,101.97M,179.14M,,297.88M,297.88M,41.72M,41.72M,,518.74M,58.60M,,58.60M,46.58M,46.58M,,,20.96M,126.15M,644.88M,0.377M,-852.11M,2.217B,506.79M,,,,-11.11M,847.45M
2009-03,291.26M,205.79M,497.05M,104.75M,,104.75M,27.25M,1.552M,15.78M,,646.38M,,,,,,,,28.56M,321.12M,174.89M,496.01M,9.089M,146.69M,1.295M,681.64M,1.328B,77.83M,,77.83M,74.46M,152.29M,,306.41M,306.41M,35.61M,35.61M,,494.31M,66.07M,,66.07M,44.27M,44.27M,,,18.72M,129.05M,623.36M,0.373M,-919.12M,2.195B,506.66M,,,,-64.54M,704.67M
2008-12,364.55M,98.89M,463.44M,92.33M,,92.33M,23.46M,2.528M,12.14M,,593.90M,,106.10M,,,,106.10M,-76.70M,29.40M,326.86M,193.23M,520.09M,9.124M,158.66M,1.245M,718.52M,1.312B,46.29M,,46.29M,77.71M,124.00M,,317.91M,317.91M,29.66M,29.66M,,471.58M,75.08M,,75.08M,48.93M,48.93M,,,18.01M,142.02M,613.60M,0.367M,-944.14M,2.177B,493.56M,,,,-40.40M,698.83M
2008-09,413.39M,38.85M,452.24M,138.88M,,138.88M,45.23M,2.835M,,,639.17M,,,,,,87.88M,-59.43M,28.45M,353.41M,213.39M,566.80M,,189.47M,32.22M,816.94M,1.456B,65.80M,,65.80M,92.69M,158.50M,,467.52M,467.52M,,,30.45M,656.47M,,,,54.36M,54.36M,,,16.87M,71.22M,727.69M,0.362M,-946.29M,2.164B,493.44M,,,,3.759M,728.42M
2008-06,471.07M,80.15M,551.22M,132.52M,,132.52M,36.44M,3.005M,,,723.18M,,,,,,86.97M,-59.43M,27.53M,311.20M,192.56M,503.76M,,203.40M,33.68M,768.36M,1.492B,78.36M,,78.36M,82.50M,160.86M,,520.08M,520.08M,,,31.50M,712.44M,,,,49.62M,49.62M,17.00M,,16.06M,65.68M,778.12M,0.355M,-1.034B,2.148B,492.51M,,,,75.10M,696.42M
2008-03,508.24M,41.43M,549.66M,97.26M,,97.26M,33.76M,2.919M,,,683.60M,,,,,,86.32M,-59.43M,26.88M,295.33M,182.84M,478.17M,,212.78M,26.75M,744.59M,1.428B,68.93M,,68.93M,55.95M,124.88M,,570.08M,570.08M,,,23.95M,718.90M,,,,46.57M,46.57M,19.56M,,14.17M,60.74M,779.65M,0.347M,-1.088B,2.136B,492.38M,,,,73.58M,628.98M
2007-12,385.36M,122.50M,507.86M,70.71M,,70.71M,19.05M,1.35M,14.03M,,613.00M,,86.52M,,,,86.52M,-59.43M,27.09M,287.16M,182.75M,469.91M,11.68M,228.55M,0.63M,737.86M,1.351B,47.71M,,47.71M,59.59M,107.30M,,569.80M,569.80M,17.75M,17.75M,,694.84M,,,,46.50M,46.50M,,,30.40M,76.91M,771.75M,0.346M,-1.107B,2.124B,489.11M,,,,50.34M,579.11M
2007-09,423.51M,73.05M,496.56M,103.56M,,103.56M,27.00M,2.71M,,,629.82M,,,,,,110.49M,-85.43M,25.06M,270.81M,182.44M,453.24M,,222.77M,39.82M,740.89M,1.371B,59.36M,,59.36M,124.58M,183.94M,,569.45M,569.45M,,,7.67M,761.06M,,,,47.15M,47.15M,15.13M,,12.51M,59.66M,820.72M,0.345M,-1.139B,2.113B,488.69M,,,,49.63M,534.86M
2007-06,426.52M,22.41M,448.93M,76.83M,,76.83M,23.92M,2.691M,,,552.37M,,,,,,107.57M,-85.43M,22.14M,236.61M,152.24M,388.85M,,184.09M,20.22M,615.29M,1.168B,59.00M,,59.00M,50.09M,109.09M,,569.16M,569.16M,,,10.70M,688.95M,,,,40.33M,40.33M,21.23M,,11.96M,52.28M,741.24M,0.343M,-1.244B,2.102B,488.10M,,,,35.04M,405.20M
2007-03,454.99M,,454.99M,52.13M,,52.13M,46.01M,2.624M,,,555.75M,,,,,,106.83M,-85.43M,21.40M,228.35M,148.26M,376.62M,,190.95M,21.02M,609.99M,1.166B,57.91M,,57.91M,96.53M,154.44M,,568.98M,568.98M,,,8.769M,732.19M,,,,39.16M,39.16M,23.22M,,11.47M,50.63M,782.81M,0.342M,-1.278B,2.096B,487.89M,,,,29.54M,359.71M
2006-12,423.58M,7.983M,431.56M,48.54M,,48.54M,20.53M,2.459M,,,503.09M,,107.12M,,,,107.12M,-85.43M,21.69M,226.71M,152.92M,379.63M,,179.39M,21.84M,602.56M,1.106B,49.03M,,49.03M,46.87M,95.90M,,,,,,4.768M,100.67M,568.86M,,568.86M,39.71M,39.71M,22.49M,13.47M,11.88M,633.93M,734.61M,0.331M,-1.262B,2.070B,486.47M,,,,26.35M,348.56M
