,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-04,531.60M,559.90M,66.80M,493.10M,276.40M,72.90M,349.30M,172.80M,3.80M,-22.50M,13.20M,,-13.20M,,525.90M,-32.80M,,13.20M,-13.20M,-17.80M,-13.20M,-63.80M,18.60M,-82.40M,-82.40M,-69.48M,-26.50M,24.10M,-50.60M,-0.38,,-0.3209,-0.38,-0.38,,-0.3209,-0.38,218.60M,218.60M,0.0
2018-01,513.50M,553.80M,73.10M,480.70M,301.50M,80.10M,381.60M,182.20M,4.90M,-93.90M,8.40M,,-8.40M,,568.70M,-88.00M,,8.40M,-8.40M,-101.90M,-8.40M,-198.30M,-24.80M,-173.50M,-173.50M,-83.47M,-163.00M,26.90M,-189.90M,-0.79,,-0.3787,-0.79,-0.79,,-0.3787,-0.79,218.90M,218.90M,0.0
2017-10,475.50M,515.30M,77.50M,437.80M,272.50M,68.80M,341.30M,191.80M,4.70M,0.00,9.20M,,-9.20M,,537.80M,-100.00M,,9.20M,-9.20M,-2.00M,-9.20M,-111.20M,8.60M,-119.80M,-119.80M,-118.48M,-77.30M,24.70M,-102.00M,-0.55,,-0.544,-0.55,-0.55,,-0.544,-0.55,219.60M,219.60M,0.0
2017-07,457.90M,501.80M,74.60M,427.20M,257.60M,78.00M,335.60M,193.80M,4.90M,-0.50M,10.00M,,-10.00M,,534.30M,-107.10M,,10.00M,-10.00M,-9.30M,-10.00M,-126.40M,17.60M,-144.00M,-144.00M,-135.78M,-88.00M,28.40M,-116.40M,-0.66,,-0.6226,-0.66,-0.66,,-0.6226,-0.66,219.50M,219.50M,0.0
2017-04,437.00M,485.70M,78.20M,407.50M,255.70M,78.30M,334.00M,187.70M,5.70M,0.30M,6.90M,,-6.90M,,527.40M,-119.90M,,6.90M,-6.90M,5.40M,-6.90M,-121.40M,8.20M,-129.60M,-129.60M,-132.60M,-86.10M,28.40M,-114.50M,-0.59,,-0.6036,-0.59,-0.59,,-0.6036,-0.59,219.90M,219.90M,0.0
2017-01,-6.00M,478.80M,82.90M,395.90M,283.60M,74.10M,357.70M,187.00M,9.30M,-9.00M,7.20M,,-7.20M,,554.00M,-158.10M,,7.20M,-7.20M,-2.90M,-7.20M,-168.20M,5.20M,-173.40M,-173.40M,-167.46M,-126.30M,34.70M,-161.00M,-0.77,,-0.7431,-0.77,-0.77,,-0.7431,-0.77,220.90M,220.90M,0.0
2016-10,489.60M,489.60M,81.50M,408.10M,255.00M,70.40M,325.40M,192.60M,6.80M,-3.20M,9.70M,,-9.70M,,524.80M,-116.70M,,9.70M,-9.70M,-2.90M,-9.70M,-129.30M,13.50M,-142.80M,-142.80M,-141.36M,-85.50M,34.10M,-119.60M,-0.64,,-0.6335,-0.64,-0.64,,-0.6335,-0.64,222.30M,222.30M,0.0
2016-07,550.70M,550.70M,85.10M,465.60M,243.10M,68.60M,311.70M,193.00M,7.80M,-16.00M,6.20M,,-6.20M,,512.50M,-46.90M,,6.20M,-6.20M,-19.90M,-6.20M,-73.00M,25.20M,-98.20M,-98.20M,-85.72M,-33.80M,33.00M,-66.80M,-0.44,,-0.3841,-0.44,-0.44,,-0.3841,-0.44,223.20M,223.20M,0.0
2016-04,511.90M,511.90M,92.40M,419.50M,240.80M,74.70M,315.50M,193.50M,7.90M,-52.30M,6.50M,,-6.50M,,516.90M,-97.40M,,6.50M,-6.50M,-49.40M,-6.50M,-153.30M,14.40M,-167.70M,-167.70M,-137.40M,-109.40M,37.40M,-146.80M,-0.75,,-0.615,-0.75,-0.75,,-0.615,-0.75,224.40M,224.40M,0.0
2016-01,648.30M,648.30M,94.90M,553.40M,277.40M,73.20M,350.60M,204.50M,8.00M,0.00,12.90M,,-12.90M,,563.10M,-9.70M,,12.90M,-12.90M,2.10M,-12.90M,-20.50M,16.70M,-37.20M,-37.20M,-38.46M,28.50M,36.10M,-7.60M,-0.15,,-0.1556,-0.15,-0.15,,-0.1556,-0.15,224.50M,224.50M,0.0
2015-10,599.80M,599.80M,91.00M,508.80M,243.40M,74.20M,317.60M,197.90M,8.10M,0.00,11.00M,,-11.00M,,523.60M,-14.80M,,11.00M,-11.00M,3.30M,-11.00M,-22.50M,21.30M,-43.80M,-43.80M,-43.56M,24.20M,35.70M,-11.50M,-0.19,,-0.1889,-0.19,-0.19,,-0.1889,-0.19,225.30M,225.30M,0.0
2015-07,609.50M,609.50M,93.00M,516.50M,240.80M,70.10M,310.90M,193.10M,8.20M,0.00,8.00M,,-8.00M,,512.20M,4.30M,,8.00M,-8.00M,4.60M,-8.00M,0.90M,269.50M,-268.60M,-268.60M,-270.22M,45.10M,36.20M,8.90M,-1.18,,-1.187,-1.18,-1.18,,-1.187,-1.18,227.00M,227.00M,0.0
2015-04,646.50M,646.50M,91.80M,554.70M,253.90M,75.90M,329.80M,194.50M,8.90M,0.00,2.00M,,-2.00M,,533.20M,21.50M,,2.00M,-2.00M,2.30M,-2.00M,21.80M,2.70M,19.10M,19.10M,19.63M,61.60M,37.80M,23.80M,0.08,,0.0823,0.08,0.08,,0.0823,0.08,227.20M,231.70M,0.0
2015-01,664.60M,664.60M,89.50M,575.10M,289.90M,70.40M,360.30M,191.50M,9.30M,0.00,4.70M,,-4.70M,,561.10M,14.00M,,4.70M,-4.70M,-16.40M,-4.70M,-7.10M,-18.60M,11.50M,11.50M,21.40M,33.60M,36.00M,-2.40M,0.05,,0.0936,0.05,0.05,,0.0923,0.05,227.10M,233.90M,0.0
2014-10,618.00M,618.00M,86.00M,532.00M,245.10M,78.90M,324.00M,183.90M,9.50M,0.00,2.80M,,-2.80M,,517.40M,14.60M,,2.80M,-2.80M,-0.20M,-2.80M,11.60M,0.90M,10.70M,10.70M,10.98M,51.00M,36.60M,14.40M,0.05,,0.0512,0.05,0.05,,0.0512,0.05,226.90M,231.50M,0.0
2014-07,637.10M,637.10M,87.90M,549.20M,237.60M,71.50M,309.10M,179.30M,10.10M,-0.80M,3.30M,,-3.30M,,498.50M,50.70M,,3.30M,-3.30M,-4.50M,-3.30M,42.90M,11.60M,31.30M,31.30M,34.51M,83.40M,37.20M,46.20M,0.14,,0.1541,0.14,0.13,,0.1438,0.13,227.30M,232.40M,0.0
2014-04,592.50M,592.50M,78.70M,513.80M,225.40M,62.50M,287.90M,170.50M,10.90M,-2.30M,2.40M,,-2.40M,,469.30M,44.50M,,2.40M,-2.40M,-6.50M,-2.40M,35.60M,7.30M,28.30M,28.30M,35.49M,74.10M,36.10M,38.00M,0.12,,0.1517,0.12,0.12,,0.151,0.12,227.00M,231.60M,0.0
2014-01,586.60M,586.60M,71.90M,514.70M,232.30M,53.00M,285.30M,162.40M,9.00M,-6.30M,3.00M,,-3.00M,,456.70M,58.00M,,3.00M,-3.00M,1.30M,-3.00M,56.30M,2.40M,53.90M,53.90M,52.56M,92.50M,33.20M,59.30M,0.24,,0.2341,0.24,0.23,,0.2242,0.23,225.80M,232.60M,0.0
2013-10,555.20M,555.20M,67.10M,488.10M,203.40M,55.80M,259.20M,149.00M,7.40M,-4.40M,1.80M,,-1.80M,,415.60M,72.50M,,1.80M,-1.80M,-1.50M,-1.80M,69.20M,11.60M,57.60M,57.60M,61.17M,101.60M,30.60M,71.00M,0.26,,0.276,0.26,0.25,,0.2657,0.25,223.10M,227.70M,0.0
2013-07,561.70M,561.70M,67.80M,493.90M,198.10M,52.30M,250.40M,148.90M,9.30M,-1.70M,1.90M,,-1.90M,,408.60M,85.30M,,1.90M,-1.90M,-1.60M,-1.90M,81.80M,20.10M,61.70M,61.70M,63.05M,115.70M,32.00M,83.70M,0.28,,0.2861,0.28,0.27,,0.2759,0.27,223.10M,228.30M,0.0
2013-04,570.40M,570.40M,67.50M,502.90M,208.80M,61.50M,270.30M,150.80M,,-0.40M,3.10M,,-3.10M,,421.10M,81.80M,,3.10M,-3.10M,-6.10M,-3.10M,72.60M,17.00M,55.60M,55.60M,60.14M,108.80M,33.10M,75.70M,0.25,,0.2703,0.25,0.24,,0.2598,0.24,223.80M,229.30M,0.0
2013-01,606.90M,606.90M,62.00M,544.90M,236.00M,25.60M,261.60M,149.40M,,-7.20M,,,-0.60M,,453.10M,91.80M,,,-0.60M,-5.10M,-0.60M,86.10M,11.60M,74.50M,74.50M,79.09M,126.50M,34.70M,91.80M,0.33,,0.3504,0.33,0.32,,0.3397,0.32,224.30M,232.60M,0.0
2012-10,548.00M,548.00M,57.90M,490.10M,203.90M,62.10M,266.00M,153.00M,,-36.70M,,,2.30M,,419.00M,71.10M,,,2.30M,-39.10M,2.30M,34.30M,4.90M,29.40M,29.40M,62.94M,106.10M,35.00M,71.10M,0.13,,0.2787,0.13,0.13,,0.2759,0.13,225.50M,229.90M,0.0
2012-07,568.70M,568.70M,59.80M,508.90M,212.40M,58.70M,271.10M,144.90M,,0.00,,,0.80M,,416.00M,92.90M,,,0.80M,-1.60M,0.80M,92.10M,27.50M,64.60M,64.60M,67.05M,121.80M,28.90M,92.90M,0.28,,0.2908,0.28,0.28,,0.2906,0.28,227.80M,232.10M,0.0
2012-04,588.60M,588.60M,58.80M,529.80M,223.20M,59.90M,283.10M,152.70M,,0.00,,,2.40M,,435.80M,94.00M,,,2.40M,1.10M,2.40M,97.50M,18.60M,78.90M,78.90M,78.01M,123.20M,29.20M,94.00M,0.35,,0.3461,0.35,0.34,,0.3362,0.34,228.10M,234.10M,0.0
2012-01,592.40M,592.40M,57.50M,534.90M,233.50M,60.10M,293.60M,149.50M,,0.00,,,-0.80M,,443.10M,91.80M,,,-0.80M,1.90M,-0.80M,92.90M,20.90M,72.00M,72.00M,72.00M,122.10M,30.30M,91.80M,0.32,,0.32,0.32,0.31,,0.31,0.31,226.20M,232.10M,0.0
2011-10,548.60M,548.60M,59.60M,489.00M,206.20M,51.40M,257.60M,141.20M,,0.00,,,1.10M,,398.80M,90.20M,,,1.10M,,1.10M,91.30M,18.50M,72.80M,72.80M,72.80M,121.20M,31.00M,90.20M,0.32,0.0,0.32,0.32,0.32,0.0,0.32,0.32,227.10M,230.70M,0.0
2011-07,546.30M,546.30M,57.40M,488.90M,201.00M,55.00M,256.00M,139.20M,,1.30M,,0.0,0.00,,395.20M,93.70M,0.0,,0.00,0.50M,0.00,94.20M,23.00M,71.20M,71.20M,70.82M,123.40M,29.70M,93.70M,0.31,0.0,0.3083,0.31,0.3,0.0,0.2984,0.3,229.40M,236.60M,0.0
2011-04,528.30M,528.30M,54.60M,473.70M,201.90M,56.60M,258.50M,136.60M,,,,,5.90M,,395.10M,78.60M,,,5.90M,,5.90M,84.50M,15.20M,69.30M,69.30M,69.30M,103.10M,24.50M,78.60M,0.3,0.0,0.3,0.3,0.29,0.0,0.29,0.29,228.20M,237.10M,0.0
2011-01,527.70M,527.70M,48.40M,479.30M,226.90M,52.10M,279.00M,126.90M,,5.70M,,,2.20M,,405.90M,73.40M,,,2.20M,-2.60M,2.20M,73.00M,11.40M,61.60M,61.60M,56.79M,99.20M,25.80M,73.40M,0.27,,0.2488,0.27,0.26,,0.2397,0.26,226.70M,236.60M,0.0
2010-10,476.70M,476.70M,48.50M,428.20M,185.10M,51.10M,236.20M,122.80M,,-0.60M,,,3.10M,,359.00M,69.20M,,,3.10M,-0.60M,3.10M,71.70M,18.10M,53.60M,53.60M,54.05M,95.80M,26.60M,69.20M,0.24,0.0,0.242,0.24,0.23,0.0,0.2319,0.23,226.50M,232.40M,0.0
2010-07,472.80M,472.80M,48.40M,424.40M,177.50M,45.90M,223.40M,119.30M,,-1.90M,,,0.10M,,342.70M,81.70M,,,0.10M,-1.90M,0.10M,79.90M,20.00M,59.90M,59.90M,61.32M,108.00M,26.30M,81.70M,0.26,0.0,0.2662,0.26,0.25,0.0,0.2561,0.25,228.00M,233.80M,0.0
2010-04,474.60M,474.60M,51.30M,423.30M,186.50M,51.70M,238.20M,127.20M,,-14.00M,,,3.50M,,365.40M,57.90M,,,3.50M,-14.00M,3.50M,47.40M,10.50M,36.90M,36.90M,47.80M,84.60M,26.70M,57.90M,0.16,0.0,0.2076,0.16,0.16,0.0,0.2065,0.16,229.00M,234.60M,0.0
2010-01,456.10M,456.10M,44.40M,411.70M,191.30M,47.10M,238.40M,116.80M,,3.70M,,,-6.50M,,355.20M,56.50M,,,-6.50M,8.70M,-6.50M,58.70M,8.60M,50.10M,50.10M,46.94M,83.60M,27.10M,56.50M,0.22,0.0,0.2062,0.22,0.22,0.0,0.2066,0.22,229.30M,235.10M,0.0
2009-10,416.90M,416.90M,45.00M,371.90M,180.30M,51.10M,231.40M,109.30M,,-4.90M,,,5.70M,,340.70M,31.20M,,,5.70M,-4.90M,5.70M,32.00M,2.50M,29.50M,29.50M,34.02M,60.10M,28.90M,31.20M,0.13,0.0,0.1497,0.13,0.13,0.0,0.1494,0.13,229.60M,232.90M,0.0
2009-07,414.90M,414.90M,50.10M,364.80M,176.40M,49.50M,225.90M,109.80M,,-22.60M,,,3.60M,,335.70M,29.10M,,,3.60M,-19.30M,3.60M,13.40M,2.90M,10.50M,10.50M,25.62M,57.60M,28.50M,29.10M,0.05,0.0,0.1161,0.05,0.05,0.0,0.1151,0.05,228.90M,232.30M,0.0
2009-04,425.80M,425.80M,52.30M,373.50M,183.90M,50.00M,233.90M,121.50M,,-39.40M,,,1.90M,,355.40M,18.10M,,,1.90M,-39.40M,1.90M,-19.40M,12.70M,-32.10M,-32.10M,-6.49M,45.10M,27.00M,18.10M,-0.14,0.0,-0.0272,-0.14,-0.14,0.0,-0.0272,-0.14,227.10M,227.10M,0.0
2009-01,489.80M,489.80M,48.50M,441.30M,218.00M,49.30M,267.30M,138.70M,,-171.40M,,,0.40M,,406.00M,35.30M,,,0.40M,-171.40M,0.40M,-135.70M,-30.30M,-105.40M,-105.40M,27.73M,62.60M,27.30M,35.30M,-0.47,0.0,0.118,-0.47,-0.47,0.0,0.117,-0.47,226.40M,226.80M,0.0
2008-10,607.10M,607.10M,52.90M,554.20M,227.00M,50.60M,277.60M,137.00M,,-6.20M,,,2.80M,,414.60M,139.60M,,,2.80M,-6.20M,2.80M,136.20M,31.70M,104.50M,104.50M,109.26M,165.00M,25.40M,139.60M,0.46,0.0,0.4811,0.46,0.45,0.0,0.4706,0.45,225.30M,230.40M,0.0
2008-07,619.50M,619.50M,59.70M,559.80M,230.20M,56.00M,286.20M,154.80M,,2.70M,,,3.60M,,441.00M,118.80M,,,3.60M,2.70M,3.60M,125.10M,35.30M,89.80M,89.80M,87.86M,141.00M,22.20M,118.80M,0.4,0.0,0.3914,0.4,0.39,0.0,0.3816,0.39,224.20M,231.10M,0.0
2008-04,598.80M,598.80M,58.00M,540.80M,225.50M,49.80M,275.30M,145.60M,,0.10M,,,6.80M,,420.90M,119.90M,,,6.80M,0.10M,6.80M,126.80M,32.20M,94.60M,94.60M,94.53M,136.80M,16.90M,119.90M,0.42,0.0,0.4197,0.42,0.41,0.0,0.4097,0.41,226.20M,232.60M,0.0
2008-01,599.10M,599.10M,50.80M,548.30M,,,291.80M,132.40M,,-9.40M,,,,,424.20M,124.10M,,,,-1.90M,,130.90M,34.40M,96.50M,96.50M,103.43M,141.30M,17.20M,124.10M,0.42,0.0,0.4501,0.42,0.4,0.0,0.4288,0.4,230.30M,240.50M,0.0
2007-10,538.40M,538.40M,51.60M,486.80M,,,258.00M,123.20M,,-2.00M,,,,,381.20M,105.60M,,,,-2.70M,,110.00M,25.20M,84.80M,84.80M,86.34M,121.10M,15.50M,105.60M,0.37,0.0,0.3767,0.37,0.35,0.0,0.3564,0.35,229.40M,239.90M,0.0
2007-07,525.90M,525.90M,51.90M,474.00M,,,244.60M,114.90M,,-0.30M,,,,,359.50M,114.50M,,,,-5.30M,,117.90M,26.30M,91.60M,91.60M,91.83M,128.90M,14.40M,114.50M,0.4,0.0,0.401,0.4,0.38,0.0,0.381,0.38,230.30M,243.00M,0.0
2007-04,508.60M,508.60M,52.70M,455.90M,,,239.80M,114.70M,,1.90M,,,,,354.50M,101.40M,,,,0.80M,,111.20M,27.90M,83.30M,83.30M,81.88M,115.60M,14.20M,101.40M,0.36,0.0,0.3538,0.36,0.34,0.0,0.3342,0.34,231.20M,243.80M,0.0
2007-01,497.40M,497.40M,54.60M,442.80M,,,223.10M,100.00M,,,,,,,323.10M,119.70M,,,,,,124.20M,27.80M,96.40M,96.40M,96.40M,134.00M,14.30M,119.70M,0.42,0.0,0.42,0.42,0.39,0.0,0.39,0.39,231.00M,243.50M,0.0
2006-10,456.80M,456.80M,56.30M,400.50M,,,223.00M,108.90M,,,,,,,331.90M,68.60M,,,,,,74.60M,16.60M,58.00M,58.00M,58.00M,81.80M,13.20M,68.60M,0.25,0.0,0.25,0.25,0.24,0.0,0.24,0.24,230.90M,242.00M,0.0
2006-07,449.60M,449.60M,55.80M,393.80M,,,193.70M,98.00M,,,,,,,291.70M,102.10M,,,,,,104.90M,18.10M,86.80M,86.80M,86.80M,115.60M,13.50M,102.10M,0.38,0.0,0.38,0.38,0.36,0.0,0.36,0.36,230.50M,243.10M,0.0
2006-04,436.00M,436.00M,49.90M,386.10M,,,227.40M,99.40M,,0.30M,,,,,326.80M,59.30M,,,,0.10M,,62.80M,14.30M,48.50M,48.50M,48.27M,71.80M,12.50M,59.30M,0.21,0.0,0.209,0.21,0.2,0.0,0.1991,0.2,230.30M,244.70M,0.0
2006-01,419.80M,419.80M,40.60M,379.20M,,,191.90M,89.00M,,,,,,,280.90M,98.30M,,,,,,110.14M,19.10M,83.40M,83.40M,83.40M,108.20M,9.90M,98.30M,0.37,0.0,0.37,0.37,0.34,0.0,0.34,0.34,229.90M,246.00M,0.0
2005-10,381.50M,381.50M,42.50M,339.00M,,,169.50M,74.30M,,,,,,,243.80M,95.20M,,,,,,98.40M,2.70M,95.70M,95.70M,95.70M,104.70M,9.50M,95.20M,0.42,0.0,0.42,0.42,0.38,0.0,0.38,0.38,229.60M,249.50M,0.0
2005-07,376.80M,376.80M,44.50M,332.30M,,,167.40M,73.50M,,,,,,,240.90M,91.40M,,,,,,94.20M,17.50M,76.70M,76.70M,76.70M,103.12M,11.72M,91.40M,0.34,0.0,0.34,0.34,0.31,0.0,0.31,0.31,228.70M,250.30M,0.0
2005-04,355.12M,355.12M,43.51M,311.61M,,,155.14M,65.85M,,,,,,,220.99M,90.62M,,,,,,93.63M,17.56M,76.08M,76.08M,76.08M,103.21M,12.58M,90.62M,0.33,0.0,0.33,0.33,0.31,0.0,0.31,0.31,227.72M,249.27M,0.015
2005-01,361.29M,361.29M,44.22M,317.07M,,,164.95M,65.34M,,-11.81M,,,,,230.28M,86.79M,,,,-11.81M,,78.98M,13.62M,65.36M,65.36M,75.13M,100.11M,13.32M,86.79M,0.28,0.0,0.3225,0.28,0.27,0.0,0.3097,0.27,229.72M,246.19M,0.015
2004-10,300.16M,300.16M,43.39M,256.76M,,,140.04M,59.94M,,-2.922M,,,,,199.98M,56.78M,,,,-2.922M,,56.66M,-17.41M,74.07M,74.07M,75.82M,69.99M,13.21M,56.78M,0.33,0.0,0.3377,0.33,0.3,0.0,0.3071,0.3,227.82M,248.04M,0.015
2004-07,279.58M,279.58M,40.22M,239.36M,,,127.96M,58.34M,,-3.717M,,,,,186.30M,53.06M,,,,-3.717M,,51.52M,12.36M,39.16M,39.16M,41.99M,65.93M,12.87M,53.06M,0.17,0.0,0.1824,0.17,0.16,0.0,0.1713,0.16,228.00M,250.61M,0.015
2004-04,297.88M,297.88M,41.87M,256.00M,,,136.35M,57.88M,,-8.25M,,,,,194.23M,61.77M,,,,-8.25M,,55.94M,13.43M,42.50M,42.50M,48.77M,74.27M,12.50M,61.77M,0.19,0.0,0.218,0.19,0.18,0.0,0.2063,0.18,224.10M,238.57M,0.015
2004-01,295.31M,295.31M,37.23M,258.08M,,,141.52M,55.10M,,,,,,,197.15M,60.93M,,,,,,66.56M,8.961M,57.60M,57.60M,57.60M,75.26M,14.33M,60.93M,0.26,0.0,0.26,0.26,0.24,0.0,0.24,0.24,222.99M,243.26M,0.015
2003-10,233.86M,233.86M,36.61M,197.25M,,,116.31M,53.00M,,,,,,,169.31M,27.94M,,,,,,29.74M,7.139M,22.61M,22.61M,22.61M,39.78M,11.84M,27.94M,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,222.44M,228.33M,0.015
2003-07,211.70M,211.70M,36.05M,175.66M,,,112.05M,49.66M,,,,,,,161.72M,13.94M,,,,,,17.01M,-15.59M,32.60M,32.60M,32.60M,25.76M,11.82M,13.94M,0.145,0.0,0.145,0.145,0.145,0.0,0.145,0.145,222.96M,226.92M,0.015
2003-04,210.77M,210.77M,36.95M,173.82M,,,119.82M,47.39M,,,,,,,167.21M,6.607M,,,,,,9.879M,2.371M,7.508M,7.508M,7.508M,18.91M,12.31M,6.607M,0.035,0.0,0.035,0.035,0.035,0.0,0.035,0.035,223.55M,226.89M,0.015
2003-01,195.52M,195.52M,33.42M,162.09M,,,113.56M,39.96M,0.026M,-7.324M,,,,,153.54M,8.55M,,,,-7.324M,,3.547M,-2.866M,6.413M,6.413M,10.81M,20.70M,12.15M,8.55M,0.025,0.0,0.0445,0.025,0.025,0.0,0.0442,0.025,225.31M,228.50M,0.015
2002-10,188.70M,188.70M,31.84M,156.87M,82.13M,28.09M,110.22M,41.18M,0.026M,-13.29M,,,,,151.42M,5.441M,,,,-13.29M,,-5.356M,-1.446M,-3.91M,-3.91M,5.789M,17.42M,11.98M,5.441M,-0.015,0.0,0.028,-0.015,-0.015,0.0,0.028,-0.015,225.62M,225.62M,0.015
2002-07,211.40M,211.40M,34.21M,177.19M,,,116.38M,46.64M,0.044M,-3.735M,,,,,163.06M,14.13M,,,,-3.735M,,16.11M,4.349M,11.76M,11.76M,14.49M,26.21M,12.08M,14.13M,0.05,0.0,0.062,0.05,0.05,0.0,0.0619,0.05,226.70M,228.55M,0.015
2002-04,229.33M,229.33M,40.69M,188.64M,,,120.50M,45.21M,0.203M,-1.542M,,,,,165.90M,22.73M,,,,-1.542M,,24.17M,6.525M,17.64M,17.64M,18.77M,35.37M,12.64M,22.73M,0.08,0.0,0.085,0.08,0.075,0.0,0.0798,0.075,226.52M,236.80M,0.015
