,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-04,1.093B,199.90M,1.293B,206.70M,,206.70M,,,,198.40M,,,1.698B,244.90M,,,345.90M,,,590.80M,-432.60M,158.20M,1.605B,46.90M,1.652B,171.50M,67.00M,164.90M,2.213B,3.911B,103.50M,24.60M,128.10M,127.80M,255.90M,,,,,,1.469B,1.469B,,1.853B,1.587B,,1.587B,84.80M,337.20M,422.00M,,137.10M,2.187B,4.04B,2.001B,-1.996B,,,,-133.80M,-128.60M
2018-01,1.078B,245.20M,1.323B,438.20M,,438.20M,,,,116.50M,,,1.878B,228.90M,,,353.10M,,,582.00M,-437.00M,145.00M,1.620B,55.20M,1.675B,190.80M,81.70M,142.80M,2.236B,4.114B,94.70M,28.00M,122.70M,198.00M,320.70M,,,,,,1.552B,1.552B,,2.123B,1.586B,,1.586B,66.60M,403.50M,470.10M,,148.70M,2.246B,4.370B,1.953B,-2.085B,,,,-123.80M,-256.00M
2017-10,1.025B,428.70M,1.454B,307.80M,,307.80M,,,,110.20M,,,1.872B,221.90M,,,343.20M,,,565.10M,-417.00M,148.10M,1.589B,61.60M,1.650B,264.30M,64.70M,152.70M,2.280B,4.152B,93.30M,21.70M,115.00M,106.00M,221.00M,,,,,,1.333B,1.333B,,1.75B,1.585B,,1.585B,97.90M,430.80M,528.70M,,149.30M,2.295B,4.045B,1.931B,-1.668B,,,,-155.50M,107.30M
2017-07,1.174B,533.60M,1.708B,265.60M,,265.60M,,,,110.00M,,,2.083B,218.50M,,,356.20M,,,574.70M,-421.70M,153.00M,1.589B,70.40M,1.659B,236.00M,66.20M,156.50M,2.271B,4.354B,93.00M,21.30M,114.30M,117.20M,231.50M,,,,,,1.308B,1.308B,,1.702B,1.585B,,1.585B,100.90M,467.50M,568.40M,,150.30M,2.337B,4.038B,1.935B,-1.466B,,,,-152.90M,315.50M
2017-04,1.340B,471.10M,1.811B,231.50M,,231.50M,,,,96.90M,,,2.140B,208.10M,,,345.30M,,,553.40M,-403.00M,150.40M,1.571B,87.60M,1.658B,264.40M,64.00M,154.60M,2.292B,4.431B,93.40M,23.20M,116.60M,109.60M,226.20M,,399.10M,399.10M,,399.10M,1.292B,1.292B,,2.050B,1.092B,,1.092B,91.70M,510.00M,601.70M,,147.50M,1.874B,3.923B,1.899B,-1.225B,,,,-166.30M,508.10M
2017-01,1.213B,686.80M,1.900B,452.30M,,452.30M,,,,108.40M,,,2.461B,206.30M,,,337.80M,,,544.10M,-385.50M,158.60M,1.561B,97.50M,1.659B,306.20M,63.90M,150.20M,2.338B,4.798B,93.50M,50.00M,143.50M,134.90M,278.40M,,398.70M,398.70M,,398.70M,1.270B,1.270B,,2.185B,1.092B,,1.092B,91.50M,517.90M,609.40M,,138.40M,1.879B,4.064B,1.876B,-964.20M,,,,-178.50M,733.60M
2016-10,1.436B,532.40M,1.969B,259.80M,,259.80M,,,,103.40M,,,2.332B,204.70M,,,335.40M,,,540.10M,-371.80M,168.30M,1.557B,114.60M,1.672B,455.00M,49.60M,152.30M,2.497B,4.829B,102.80M,85.90M,188.70M,122.20M,310.90M,,,,,,1.099B,1.099B,,1.598B,1.490B,,1.490B,75.90M,433.90M,509.80M,,131.30M,2.171B,3.769B,1.883B,-634.70M,,,,-187.50M,1.061B
2016-07,1.467B,597.60M,2.065B,306.90M,,306.90M,,,,114.70M,,,2.486B,202.10M,,,364.50M,,,566.60M,-393.60M,173.00M,1.597B,140.10M,1.738B,505.60M,9.80M,135.00M,2.561B,5.047B,110.30M,54.10M,164.40M,128.10M,292.50M,,,,,,1.107B,1.107B,,1.560B,1.489B,,1.489B,66.60M,412.90M,479.50M,,144.70M,2.156B,3.716B,1.857B,-395.60M,,,,-129.80M,1.332B
2016-04,1.223B,1.044B,2.267B,256.40M,,256.40M,,,,105.30M,,,2.629B,212.70M,,,357.80M,,,570.50M,-395.60M,174.90M,1.580B,143.20M,1.724B,538.90M,9.80M,129.30M,2.577B,5.206B,107.20M,25.10M,132.30M,117.60M,249.90M,,,,,,1.092B,1.092B,,1.474B,1.488B,,1.488B,78.10M,431.90M,510.00M,,143.00M,2.295B,3.770B,1.866B,-308.20M,,,,-121.50M,1.436B
2016-01,1.353B,897.90M,2.251B,653.60M,,653.60M,,,,88.60M,,,2.993B,202.90M,,,347.30M,,,550.20M,-380.90M,169.30M,1.535B,146.80M,1.682B,532.30M,9.20M,129.60M,2.522B,5.515B,119.90M,29.40M,149.30M,129.50M,278.80M,,,,,,1.069B,1.069B,,1.591B,1.488B,,1.488B,67.70M,450.30M,518.00M,,137.60M,2.305B,3.896B,1.822B,-80.80M,,,,-121.10M,1.620B
2015-10,1.338B,946.80M,2.284B,362.30M,,362.30M,,,,90.70M,10.20M,,2.748B,187.50M,,,335.90M,,,523.40M,-368.10M,155.30M,1.515B,153.60M,1.669B,540.10M,4.40M,104.10M,2.472B,5.22B,104.60M,28.20M,132.80M,107.60M,240.40M,,,,,,877.00M,877.00M,,1.311B,1.487B,,1.487B,54.90M,335.30M,390.20M,,134.80M,2.176B,3.487B,1.810B,9.70M,,,,-86.50M,1.733B
2015-07,1.473B,916.80M,2.390B,394.10M,,394.10M,,,,105.80M,10.00M,,2.900B,183.10M,,,345.00M,,,528.10M,-369.90M,158.20M,1.474B,143.10M,1.617B,562.50M,4.20M,100.20M,2.442B,5.342B,90.80M,52.30M,143.10M,116.90M,260.00M,,,,,,881.60M,881.60M,,1.314B,1.486B,,1.486B,28.90M,354.70M,383.60M,,132.10M,2.126B,3.440B,1.808B,164.40M,,,,-70.30M,1.902B
2015-04,1.183B,648.20M,1.831B,316.00M,,316.00M,,,,112.90M,81.20M,,2.341B,178.10M,,,334.90M,,,513.00M,-356.10M,156.90M,1.476B,163.40M,1.640B,440.30M,106.80M,91.40M,2.435B,4.776B,93.10M,29.00M,122.10M,91.20M,213.30M,,,,,,893.40M,893.40M,,1.270B,747.40M,,747.40M,,260.30M,260.30M,,133.90M,1.281B,2.552B,1.816B,464.20M,,,,-56.00M,2.224B
2015-01,1.411B,615.80M,2.026B,458.90M,,458.90M,,,,100.90M,85.10M,,2.671B,176.30M,,,331.90M,,,508.20M,-349.00M,159.20M,1.456B,171.90M,1.628B,273.00M,100.00M,78.10M,2.238B,4.910B,100.50M,28.20M,128.70M,117.30M,246.00M,,,,,,900.80M,900.80M,,1.400B,743.10M,,743.10M,,256.30M,256.30M,,132.20M,1.290B,2.690B,1.773B,499.40M,,,,-53.30M,2.219B
2014-10,1.345B,556.40M,1.901B,375.70M,,375.70M,,,,100.90M,80.70M,,2.459B,180.00M,,,319.90M,,,499.90M,-339.50M,160.40M,1.474B,193.80M,1.668B,255.50M,97.70M,96.60M,2.278B,4.737B,99.10M,38.30M,137.40M,85.50M,222.90M,,,,,,775.10M,775.10M,,1.193B,747.00M,,747.00M,,231.10M,231.10M,,114.90M,1.275B,2.468B,1.731B,538.60M,,,,-1.30M,2.268B
2014-07,1.323B,583.30M,1.906B,365.30M,,365.30M,,,,102.00M,76.30M,,2.45B,174.80M,,,324.00M,,,498.80M,-351.90M,146.90M,1.448B,204.40M,1.652B,262.10M,86.80M,105.60M,2.253B,4.703B,92.40M,37.30M,129.70M,98.90M,228.60M,,,,,,763.00M,763.00M,,1.157B,746.80M,,746.80M,,217.80M,217.80M,,111.30M,1.263B,2.42B,1.697B,584.00M,,,,2.30M,2.283B
2014-04,1.610B,510.10M,2.120B,323.30M,,323.30M,,,,92.80M,54.50M,,2.590B,172.10M,,,310.80M,,,482.90M,-340.80M,142.10M,1.263B,184.50M,1.448B,268.20M,93.60M,106.90M,2.058B,4.649B,90.30M,36.40M,126.70M,85.70M,212.40M,,,,,,749.70M,749.70M,,1.119B,746.60M,,746.60M,,213.80M,213.80M,,110.30M,1.241B,2.360B,1.683B,600.00M,,,,5.60M,2.289B
2014-01,1.853B,414.10M,2.267B,423.70M,,423.70M,,,,87.40M,56.80M,,2.835B,163.70M,,,295.60M,,,459.30M,-329.00M,130.30M,1.010B,104.30M,1.114B,277.30M,131.10M,107.10M,1.76B,4.595B,84.50M,24.30M,108.80M,85.30M,194.10M,,,,,,696.20M,696.20M,,1.072B,746.40M,,746.40M,,204.40M,204.40M,,99.40M,1.262B,2.334B,1.637B,624.80M,,,,-0.60M,2.262B
