,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,144.90M,,,-4.40M,-1.00M,,-5.40M,,83.30M,83.30M,14.70M,5.80M,,-16.70M,-37.20M,-7.50M,-19.20M,-22.10M,,,-86.00M,,2018-03,-121.20M,1.40M,-9.80M,-0.20M,,-0.30M,-124.20M,2018-03,-8.70M,-4.10M,-12.80M,,-54.00M,-54.00M,,-37.10M,0.40M,,-103.50M,2018-03,134.10M,-87.10M,,,2018-03,,,-12.80M,-54.00M,,,2018-03,AOR,Restated
2017-12,552.40M,,,10.90M,-1.80M,,9.10M,,79.30M,79.30M,-371.00M,3.60M,,6.20M,0.10M,0.30M,51.40M,-44.20M,,,7.60M,,2017-12,-138.50M,2.20M,2.20M,-0.10M,,-0.40M,-139.10M,2017-12,-5.20M,-12.30M,-17.50M,,-55.20M,-55.20M,,-37.40M,0.20M,,-109.90M,2017-12,88.40M,45.70M,,,2017-12,,-9.772B,9.596B,-55.20M,,,2017-12,AOR,Restated
2017-09,129.90M,,,6.00M,-2.80M,,3.20M,,81.90M,81.90M,36.30M,4.10M,,-9.70M,-4.60M,4.40M,75.00M,-3.70M,,,71.10M,,2017-09,-182.20M,1.10M,-19.60M,-13.70M,,-5.80M,-204.60M,2017-09,-7.50M,51.70M,44.20M,,-200.00M,-200.00M,,-34.80M,0.50M,,-190.10M,2017-09,166.30M,-77.90M,,,2017-09,,3.871B,-3.826B,-200.00M,,,2017-09,AOR,Restated
2017-06,134.70M,,,17.50M,-2.90M,,14.60M,,80.40M,80.40M,42.10M,5.70M,,3.20M,-26.10M,-0.70M,43.80M,-15.40M,,,1.60M,,2017-06,-147.20M,0.80M,-21.10M,-6.40M,,-6.70M,-175.00M,2017-06,-6.00M,36.70M,30.70M,,-64.70M,-64.70M,,-35.10M,,,-69.10M,2017-06,123.10M,43.20M,,,2017-06,,3.154B,-3.123B,-64.70M,,,2017-06,AOR,Restated
2017-03,146.90M,,,-83.40M,-4.00M,,-87.40M,,79.30M,79.30M,32.60M,4.80M,,-12.80M,-16.10M,-2.60M,-9.80M,-5.30M,,,-33.80M,,2017-03,-160.10M,4.70M,4.70M,-0.20M,,-2.60M,-162.40M,2017-03,-6.70M,82.90M,76.20M,,-55.70M,-55.70M,,-35.20M,0.00,,-14.70M,2017-03,170.60M,-47.50M,,,2017-03,,2.748B,-2.672B,-55.70M,,,2017-03,AOR,Restated
2016-12,130.30M,,,17.70M,-4.20M,,13.50M,,78.10M,78.10M,-25.80M,4.00M,,2.70M,3.20M,-8.20M,15.50M,14.10M,,,24.60M,,2016-12,-158.50M,1.40M,1.40M,0.00,,-3.20M,-162.20M,2016-12,-255.60M,181.10M,-74.50M,,-85.60M,-85.60M,,-35.60M,0.00,0.00,-195.70M,2016-12,293.10M,-122.50M,,,2016-12,,-6.398B,6.324B,-85.60M,,,2016-12,AOR,Restated
2016-09,121.00M,,,16.10M,-3.50M,,12.60M,,76.90M,76.90M,24.10M,4.10M,,-0.80M,-16.50M,-4.30M,60.00M,-11.60M,,,27.60M,,2016-09,-167.80M,1.60M,-19.60M,-0.90M,,-1.00M,-182.70M,2016-09,-7.80M,0.00,-7.80M,,-40.60M,-40.60M,,-35.60M,0.70M,0.00,-83.30M,2016-09,293.60M,-0.50M,,,2016-09,,0.30M,-8.10M,-40.60M,,,2016-09,AOR,Restated
2016-06,120.50M,,,18.70M,-3.00M,,15.70M,,75.70M,75.70M,7.00M,5.00M,,5.70M,-2.90M,2.10M,24.70M,-0.40M,,,23.50M,,2016-06,-137.20M,0.80M,0.00,,,-0.40M,-146.80M,2016-06,243.40M,-54.10M,189.30M,,-8.20M,-8.20M,,-35.80M,0.20M,-2.40M,143.10M,2016-06,39.20M,254.40M,,,2016-06,,2.553B,-2.363B,-8.20M,,,2016-06,AOR,Restated
2016-03,108.10M,,,-57.40M,-3.90M,,-61.30M,,74.30M,74.30M,36.70M,6.10M,,-7.40M,-2.10M,-3.80M,1.60M,7.80M,,,3.50M,,2016-03,-126.70M,1.20M,-3.40M,,,-4.40M,-136.50M,2016-03,-7.70M,-26.20M,-33.90M,,-51.00M,-51.00M,,-35.80M,,-0.20M,-120.90M,2016-03,136.60M,-97.40M,,,2016-03,,4.195B,-4.229B,-51.00M,,,2016-03,AOR,Restated
2015-12,140.00M,,,-1.40M,-3.90M,,2.30M,,73.90M,73.90M,47.90M,-0.40M,5.30M,4.70M,24.50M,-10.90M,-32.10M,-25.90M,,,-44.40M,,2015-12,-166.40M,4.60M,3.40M,,,-6.30M,-179.00M,2015-12,-5.20M,80.00M,74.80M,,-57.90M,-57.90M,,-36.10M,0.00,-19.80M,-39.00M,2015-12,116.60M,20.00M,,,2015-12,,1.346B,-1.271B,-57.90M,,,2015-12,AOR,Restated
2015-09,131.90M,,,20.60M,-5.00M,,15.60M,,71.40M,71.40M,33.70M,3.70M,-0.90M,-11.70M,-0.80M,7.90M,22.70M,0.20M,,,30.00M,,2015-09,-244.30M,,-81.70M,,,-2.90M,-250.50M,2015-09,491.40M,-292.10M,199.30M,,-115.70M,-115.70M,,-36.50M,0.30M,-4.90M,42.50M,2015-09,50.90M,65.70M,,,2015-09,,1.695B,-1.495B,-115.70M,,,2015-09,AOR,Restated
2015-06,112.20M,,,9.30M,-5.00M,,4.30M,,70.80M,70.80M,28.10M,3.70M,-0.80M,2.40M,10.90M,-7.50M,7.20M,-4.10M,,,6.50M,,2015-06,-189.80M,-0.90M,-8.50M,,,-17.00M,-209.70M,2015-06,-35.00M,78.50M,43.50M,,-20.60M,-20.60M,,-36.50M,0.00,0.80M,-12.80M,2015-06,38.40M,12.50M,,,2015-06,,4.578B,-4.534B,-20.60M,,,2015-06,AOR,Restated
2015-03,101.20M,,,13.20M,-4.40M,,8.80M,,68.50M,68.50M,26.10M,4.40M,-3.60M,0.60M,-22.60M,-15.70M,-24.90M,19.70M,,,-43.50M,,2015-03,-231.70M,0.90M,-52.80M,,,-1.10M,-233.80M,2015-03,22.70M,-237.50M,-214.80M,,,,,-31.00M,3.90M,3.60M,-238.30M,2015-03,348.00M,-309.60M,,,2015-03,,3.872B,-4.087B,,,,2015-03,AOR,Restated
2014-12,141.70M,,,,-4.50M,,-0.20M,,67.30M,67.30M,43.50M,3.80M,3.70M,-2.30M,25.70M,9.80M,-59.00M,-19.50M,,,-43.00M,,2014-12,-264.60M,-6.20M,-6.10M,,,11.80M,-260.10M,2014-12,-5.20M,137.70M,132.50M,,0.00,0.00,,-30.90M,0.70M,-4.20M,98.10M,2014-12,285.80M,62.20M,,,2014-12,,3.866B,-3.734B,0.00,,,2014-12,AOR,Restated
2014-09,138.40M,,,,-5.00M,,-5.00M,,65.00M,65.00M,38.20M,1.80M,-0.50M,-9.80M,3.90M,3.70M,43.50M,6.30M,,,57.40M,,2014-09,-143.40M,2.60M,-5.30M,,,-1.60M,-143.20M,2014-09,-7.40M,-9.50M,-16.90M,,0.00,0.00,,-30.90M,0.90M,0.20M,-46.70M,2014-09,190.20M,95.60M,,,2014-09,,6.421B,-6.438B,0.00,,,2014-09,AOR,Restated
2014-06,130.20M,,,,-5.90M,,-5.90M,,63.90M,63.90M,32.80M,2.90M,-0.10M,3.20M,-16.60M,6.30M,16.50M,12.00M,,,18.20M,,2014-06,-336.30M,2.20M,-164.10M,,,-0.40M,-339.70M,2014-06,-5.00M,145.60M,140.60M,,0.00,0.00,,-31.00M,0.20M,-0.40M,109.40M,2014-06,167.50M,22.70M,,,2014-06,,4.217B,-4.076B,0.00,,,2014-06,AOR,Restated
2014-03,94.00M,,,,-5.70M,,0.90M,,61.90M,61.90M,25.60M,1.50M,-2.40M,-3.90M,4.20M,-10.60M,-27.10M,-8.80M,,,-42.30M,,2014-03,-226.00M,1.40M,-126.60M,,,4.30M,-239.90M,2014-03,-315.40M,174.80M,-140.60M,,,,,-23.80M,0.20M,-1.20M,-165.40M,2014-03,429.50M,-262.00M,,,2014-03,,1.040B,-1.180B,,,,2014-03,AOR,Restated
2013-12,114.40M,,,,-5.00M,,0.40M,,58.30M,58.30M,24.30M,2.30M,-0.50M,-6.80M,14.40M,14.10M,-16.20M,15.10M,,,27.40M,,2013-12,-269.70M,2.00M,-54.70M,,,4.80M,-269.50M,2013-12,408.30M,0.00,408.30M,,,,,-23.60M,0.60M,-8.00M,377.30M,2013-12,95.90M,333.60M,,,2013-12,,449.70M,-41.40M,,,,2013-12,AOR,Restated
2013-09,119.00M,,,,-4.80M,,-2.40M,,57.20M,57.20M,33.50M,3.00M,-0.40M,-7.50M,-14.80M,5.00M,43.40M,10.10M,,,43.70M,,2013-09,-115.90M,1.90M,1.90M,,,-3.20M,-119.60M,2013-09,-33.60M,0.00,-33.60M,,,,,-23.80M,0.00,-3.20M,-60.60M,2013-09,30.00M,65.90M,,,2013-09,,65.00M,-98.60M,,,,2013-09,AOR,Restated
2013-06,15.70M,,,,-3.50M,,107.90M,,54.70M,54.70M,31.30M,3.70M,-0.40M,9.30M,4.70M,1.10M,-1.50M,-32.20M,,,-27.90M,,2013-06,-308.30M,1.40M,-153.70M,,,-4.80M,-321.40M,2013-06,215.00M,0.00,215.00M,,,,,-23.80M,0.50M,-104.80M,86.90M,2013-06,63.70M,-33.70M,,,2013-06,,1.404B,-1.189B,,,,2013-06,AOR,Restated
2013-03,104.20M,,,,-5.50M,,-5.50M,,53.10M,53.10M,22.10M,4.60M,-2.90M,2.00M,-18.70M,-13.10M,-25.40M,5.20M,,,-52.00M,,2013-03,-112.70M,2.90M,2.90M,,,-0.10M,-122.80M,2013-03,-14.50M,0.00,-14.50M,,,,,0.00,0.40M,2.40M,-11.70M,2013-03,72.60M,-8.90M,,,2013-03,,0.00,-14.50M,,,,2013-03,AOR,Restated
2012-12,92.50M,,,,-4.20M,,-2.10M,,51.90M,51.90M,55.00M,2.40M,-9.30M,6.90M,17.40M,0.70M,-52.60M,-18.10M,,,-52.60M,,2012-12,-220.80M,2.50M,2.50M,,,-1.60M,-223.70M,2012-12,-12.20M,,-12.20M,,,,,-43.00M,0.80M,6.50M,-47.90M,2012-12,187.00M,-114.40M,,,2012-12,,-0.10M,-12.10M,,,,2012-12,AOR,Restated
2012-09,90.70M,,,,-4.40M,,-4.40M,,49.80M,49.80M,60.80M,2.60M,-8.10M,-11.20M,-18.40M,-3.40M,50.80M,-3.30M,,,25.70M,,2012-09,-104.40M,5.80M,2.50M,,,6.50M,-96.90M,2012-09,-14.30M,,-14.30M,,,,,-21.50M,0.20M,8.10M,-27.50M,2012-09,105.50M,81.50M,,,2012-09,,0.10M,-14.40M,,,,2012-09,AOR,Restated
2012-06,120.90M,,,,-4.90M,,0.20M,,48.70M,48.70M,46.60M,2.50M,-0.90M,-60.30M,0.60M,4.90M,-1.40M,1.50M,,,5.60M,,2012-06,-115.40M,3.70M,-15.90M,,,1.40M,-130.20M,2012-06,-12.40M,,-12.40M,,,,,-21.50M,0.60M,-3.40M,-36.70M,2012-06,101.80M,3.70M,,,2012-06,,100.00M,-112.40M,,,,2012-06,AOR,Restated
2012-03,75.30M,,,,-5.80M,,7.10M,,48.40M,48.40M,34.90M,3.20M,-13.20M,11.40M,-21.10M,-11.50M,0.20M,4.80M,,,-27.60M,,2012-03,-99.40M,2.70M,2.70M,,,2.30M,-101.10M,2012-03,-7.40M,,-7.40M,,,,,-0.10M,0.30M,-1.80M,-9.00M,2012-03,72.40M,29.40M,,,2012-03,,229.60M,-237.00M,,,,2012-03,AOR,Restated
2011-12,96.00M,,,,-13.70M,-15.90M,34.70M,,47.10M,47.10M,0.50M,2.10M,-0.20M,-6.30M,25.40M,4.60M,-22.40M,-26.70M,,,-19.10M,,2011-12,-211.00M,3.20M,-9.60M,,29.00M,-16.10M,-218.20M,2011-12,-81.40M,,-81.40M,,,,,-0.10M,0.30M,-18.20M,-99.40M,2011-12,217.10M,-144.70M,,,2011-12,,50.00M,-131.40M,,,,2011-12,AOR,Restated
2011-09,100.10M,,,,-2.20M,6.80M,-20.80M,,47.90M,47.90M,43.00M,1.10M,0.00,5.00M,8.90M,2.00M,20.30M,-11.30M,,,19.90M,,2011-09,-112.20M,1.90M,1.90M,,-4.80M,-3.00M,-118.10M,2011-09,-12.30M,,-12.30M,,,,,0.00,0.60M,-5.30M,-17.00M,2011-09,156.00M,61.10M,,,2011-09,,300.00M,-312.30M,,,,2011-09,AOR,Restated
2011-06,71.70M,0.20M,,,1.30M,4.10M,5.40M,,45.50M,45.50M,42.20M,1.30M,0.00,-3.10M,-15.20M,-8.00M,7.20M,4.80M,,,-11.20M,,2011-06,-76.60M,3.40M,3.40M,,-17.50M,9.40M,-81.30M,2011-06,-3.80M,,-3.80M,,,,2.80M,-0.10M,0.80M,-12.90M,-16.00M,2011-06,101.50M,54.50M,,,2011-06,,200.00M,-203.80M,,,,2011-06,AOR,Restated
2011-03,64.10M,-0.20M,,,-3.60M,5.00M,1.20M,,45.70M,45.70M,35.00M,4.00M,0.00,-0.30M,-20.60M,-5.80M,-12.60M,6.40M,,,-32.60M,,2011-03,-95.20M,1.50M,1.50M,,-6.70M,7.60M,-92.80M,2011-03,-5.80M,,-5.80M,,,,-2.80M,-2.80M,0.40M,,-8.20M,2011-03,85.40M,16.10M,,,2011-03,,0.00,-5.80M,,,,2011-03,AOR,Restated
2010-12,55.60M,1.60M,,,-19.00M,,1.60M,,46.10M,46.10M,29.20M,2.70M,14.50M,-7.20M,13.90M,5.50M,-32.50M,-12.50M,,,-25.60M,,2010-12,-112.00M,2.10M,-22.90M,25.00M,18.20M,6.10M,-85.80M,2010-12,2.30M,,2.30M,0.00,,0.00,8.20M,-2.80M,1.30M,-34.80M,-34.00M,2010-12,68.80M,16.60M,,,2010-12,0.00,180.00M,-177.70M,,,,2010-12,AOR,Restated
2010-09,52.80M,-1.20M,,,-0.20M,,0.50M,,46.10M,46.10M,34.10M,1.60M,-0.20M,-30.90M,2.40M,0.40M,31.00M,1.80M,,,35.60M,,2010-09,-79.40M,2.70M,123.60M,0.00,-7.70M,4.10M,-80.30M,2010-09,-68.00M,,-68.00M,0.00,,0.00,-2.70M,-2.70M,0.10M,-4.20M,-74.80M,2010-09,84.30M,-15.50M,,,2010-09,0.00,5.00M,-73.00M,,,,2010-09,AOR,Restated
2010-06,71.60M,-0.40M,,,5.90M,,38.00M,,46.90M,46.90M,19.20M,1.30M,-3.80M,-57.40M,-7.00M,1.30M,-6.30M,5.00M,,,-7.00M,,2010-06,-68.60M,2.20M,-66.40M,0.00,-5.70M,8.50M,-63.60M,2010-06,-283.30M,,-283.30M,214.90M,,214.90M,-2.80M,-2.80M,0.20M,-16.00M,-87.00M,2010-06,126.10M,-41.80M,,,2010-06,214.90M,0.00,-283.30M,,,,2010-06,AOR,Restated
2010-03,,0.00,,,-6.40M,,8.50M,,45.80M,45.80M,23.70M,3.20M,-11.70M,41.70M,-29.50M,-0.90M,29.80M,0.90M,,,0.30M,,2010-03,-52.30M,1.30M,-51.00M,-25.00M,-4.80M,-1.00M,-81.80M,2010-03,-10.00M,,-10.00M,,,,-2.70M,-2.70M,0.50M,-8.90M,-21.10M,2010-03,117.50M,8.60M,,,2010-03,,295.70M,-305.70M,,,,2010-03,AOR,Restated
2009-12,35.20M,,,,4.50M,,4.40M,,42.70M,42.70M,15.20M,3.50M,-1.50M,-11.70M,19.70M,-3.30M,-42.80M,22.80M,,,-3.60M,,2009-12,-50.00M,0.30M,0.30M,0.00,-3.80M,19.90M,-33.60M,2009-12,-42.30M,,-42.30M,0.00,,0.00,-2.70M,-2.70M,1.50M,1.50M,-42.00M,2009-12,108.90M,8.60M,,,2009-12,0.00,12.30M,-54.60M,,,,2009-12,AOR,Restated
2009-09,28.60M,,,,-1.90M,,-2.00M,,44.60M,44.60M,14.60M,1.50M,0.00,8.00M,4.70M,7.50M,39.20M,-25.80M,,,25.60M,,2009-09,-70.70M,5.70M,5.70M,,-5.90M,-9.50M,-80.40M,2009-09,-14.40M,,-14.40M,22.60M,,22.60M,-2.80M,-2.80M,0.70M,0.00,6.10M,2009-09,62.30M,46.60M,,,2009-09,22.60M,0.00,-14.40M,,,,2009-09,AOR,Restated
2009-06,7.10M,,,,-2.00M,,-4.60M,,47.40M,47.40M,1.80M,2.80M,0.00,5.40M,-4.60M,-17.70M,-37.50M,8.90M,,-2.90M,-53.80M,,2009-06,-110.70M,4.20M,4.20M,,5.50M,2.00M,-99.00M,2009-06,-35.60M,,-35.60M,51.30M,,51.30M,-2.70M,-2.70M,0.50M,0.00,13.50M,2009-06,141.70M,-79.40M,,,2009-06,51.30M,-24.20M,-11.40M,,,,2009-06,AOR,Restated
2009-03,-2.80M,,,,-1.00M,,-2.00M,,46.90M,46.90M,-0.70M,2.10M,0.00,4.30M,3.50M,1.20M,21.20M,2.70M,,2.90M,31.50M,,2009-03,-115.40M,3.70M,3.70M,0.00,-17.80M,-1.50M,-131.00M,2009-03,-24.70M,,-24.70M,,,,-2.80M,-2.80M,0.30M,-9.30M,-36.50M,2009-03,229.90M,-88.20M,,,2009-03,,214.00M,-238.70M,,,,2009-03,AOR,Restated
2008-12,39.20M,,,,0.40M,,-1.10M,,45.40M,45.40M,-2.20M,2.10M,-3.60M,-9.70M,28.10M,2.10M,-61.50M,41.10M,,,9.80M,,2008-12,-118.20M,3.30M,3.30M,,-11.00M,5.20M,-120.70M,2008-12,176.30M,,176.30M,0.00,,0.00,-2.80M,-2.80M,1.30M,-0.60M,174.20M,2008-12,96.50M,133.40M,,,2008-12,0.00,180.20M,-3.90M,,,,2008-12,AOR,Restated
2008-09,51.70M,,,,-3.40M,,-6.00M,,42.70M,42.70M,24.70M,2.10M,-2.00M,-2.70M,23.10M,6.30M,25.80M,-3.90M,,5.90M,57.20M,,2008-09,-123.10M,10.80M,10.80M,,-2.50M,-7.10M,-121.90M,2008-09,17.60M,,17.60M,0.00,,0.00,-2.70M,-2.70M,6.20M,0.20M,21.30M,2008-09,29.40M,67.10M,,,2008-09,0.00,42.10M,-24.50M,,,,2008-09,,Restated
2008-06,55.50M,,,,4.00M,,5.90M,,40.20M,40.20M,25.70M,0.00,,-8.30M,-8.60M,-8.40M,-13.40M,-36.00M,,-5.90M,-72.30M,,2008-06,-200.00M,4.50M,4.50M,,0.00,55.00M,-140.50M,2008-06,65.90M,,65.90M,0.00,,0.00,-4.80M,-4.80M,0.00,-10.40M,50.70M,2008-06,72.50M,-43.10M,,,2008-06,0.00,285.00M,-219.10M,,,,2008-06,,Restated
2008-03,37.80M,,,,-0.10M,,-1.30M,,40.30M,40.30M,15.60M,3.20M,,22.00M,10.00M,-6.00M,6.30M,-9.20M,,,1.10M,,2008-03,-92.50M,2.30M,2.30M,,-16.90M,-47.80M,-154.90M,2008-03,57.50M,,57.50M,,,,-4.90M,-4.90M,1.10M,-0.50M,53.20M,2008-03,55.50M,17.00M,,,2008-03,,72.80M,-15.30M,,,,2008-03,,Restated
2007-12,54.70M,,,,,,-6.20M,,42.40M,42.40M,25.90M,,,-24.20M,41.10M,-2.40M,-52.90M,15.30M,,-15.10M,-14.00M,,2007-12,-197.50M,7.20M,220.20M,,-130.30M,135.60M,-185.00M,2007-12,,,41.50M,-0.70M,,-0.70M,,-4.90M,,2.50M,39.10M,2007-12,116.20M,-60.70M,,,2007-12,-0.70M,,,,,,2007-12,,Restated
2007-09,46.70M,,,,,,-7.30M,,38.90M,38.90M,17.50M,,,18.10M,13.90M,-7.10M,19.00M,-14.50M,,11.00M,22.30M,,2007-09,-80.30M,1.70M,-78.60M,,60.70M,-62.30M,-80.20M,2007-09,,,-0.60M,0.10M,,0.10M,,-4.80M,,-0.80M,-6.10M,2007-09,66.30M,49.90M,,,2007-09,0.10M,,,,,,2007-09,,
2007-06,30.20M,,,,,,-0.90M,,40.80M,40.80M,13.70M,,,-13.40M,1.30M,-3.80M,-15.10M,52.20M,,4.10M,38.70M,,2007-06,-55.60M,-0.30M,-55.90M,,-48.40M,27.40M,-76.90M,2007-06,,,-10.60M,0.50M,,0.50M,,-4.90M,,-18.90M,-33.90M,2007-06,68.00M,-1.70M,,,2007-06,0.50M,,,,,,2007-06,,
