,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-09,144.60M,,144.60M,110.40M,34.20M,,,,-2.60M,,,3.50M,18.20M,16.00M,,,4.30M,,10.60M,1.60M,9.00M,,,,,30.70M,14.70M,16.00M,,2001-09,,,0.1876,0.15,,0.00,,,,2001-09,58.66M,61.17M,0.00,,2001-09,,
2001-06,143.20M,,143.20M,115.80M,27.40M,,,,1.10M,,,,14.50M,12.90M,,,6.30M,,4.70M,,4.70M,,,,,27.40M,14.50M,12.90M,,2001-06,,,0.0687,0.08,,0.00,,,,2001-06,58.38M,60.92M,0.00,,2001-06,,
2001-03,144.00M,,144.00M,123.50M,20.50M,,,,12.20M,,,,14.40M,6.10M,,,12.20M,,3.10M,-3.20M,6.30M,,-0.40M,,,20.50M,14.40M,6.10M,,2001-03,0.00,,-0.0156,0.10,,0.00,-0.0069,,,2001-03,58.26M,60.78M,0.00,,2001-03,,
2000-12,134.80M,,134.80M,118.40M,16.40M,,,,2.90M,,,,13.70M,2.70M,,,2.90M,,-1.80M,-5.40M,3.60M,0.00,,,,16.40M,13.70M,2.70M,,2000-12,,0.0008,0.0298,0.02,,-0.04,,0.0008,,2000-12,57.54M,59.25M,0.00,,2000-12,,
2000-09,144.10M,,144.10M,111.60M,32.50M,,,,5.30M,,,,13.80M,18.70M,,,5.30M,,1.50M,-1.10M,2.60M,23.40M,,,,32.50M,13.80M,18.70M,,2000-09,,-0.0487,-0.0053,0.40,,0.39,,-0.0487,,2000-09,57.48M,58.86M,0.00,,2000-09,,
2000-06,144.40M,,144.40M,111.70M,32.70M,,,,10.10M,,,,14.30M,18.40M,,,10.10M,,10.10M,1.30M,8.80M,151.70M,,,,32.80M,14.40M,18.40M,,2000-06,,,0.0021,2.88,,2.59,,,,2000-06,55.72M,57.61M,0.00,,2000-06,,
2000-03,148.90M,,148.90M,116.70M,32.20M,,,,11.50M,,,,14.20M,18.00M,,,11.50M,,12.00M,1.60M,10.40M,188.70M,,,,32.20M,14.20M,18.00M,,2000-03,,-0.1062,0.0006,3.48,,3.24,,-0.1062,,2000-03,55.54M,57.48M,0.00,,2000-03,,
1999-12,151.70M,,151.70M,132.40M,19.30M,,,,-1.00M,,,,361.90M,-342.60M,,,-1.00M,,-9.70M,-2.50M,-7.20M,98.50M,,,,-242.70M,99.90M,-342.60M,,1999-12,,,-0.1179,1.665,,1.796,,,,1999-12,55.70M,55.70M,0.08,,1999-12,,
1999-09,149.10M,,149.10M,120.20M,28.90M,,,14.30M,6.40M,,,-120.20M,-105.90M,134.80M,,,6.40M,,6.30M,1.70M,4.60M,82.70M,,,,149.10M,-14.30M,134.80M,,1999-09,,,0.0839,1.592,,1.508,,,,1999-09,,,0.08,,1999-09,AOR,
1999-06,148.70M,,148.70M,121.40M,27.30M,,,14.40M,3.10M,,,-114.60M,-100.20M,127.50M,,,3.10M,,8.20M,3.00M,5.20M,70.90M,,,,141.90M,-7.60M,127.50M,,1999-06,,,0.0948,1.387,,1.293,,,,1999-06,,,0.08,,1999-06,AOR,
1999-03,385.20M,,385.20M,242.50M,142.70M,,,21.10M,18.10M,,,-242.50M,-221.40M,364.10M,,,18.10M,,113.50M,44.90M,68.60M,,,11.20M,,385.20M,-21.10M,364.10M,,1999-03,,,1.051,1.251,,,,,,1999-03,54.85M,54.85M,0.08,,1999-03,AOR,
1998-12,331.80M,,331.80M,,,,,,-47.00M,,,,836.40M,94.30M,,,,,83.70M,20.20M,-3.30M,,,7.60M,,221.20M,126.90M,94.30M,,1998-12,,,1.203,0.5532,,,,,,1998-12,54.85M,54.85M,0.08,,1998-12,AOR,
1998-09,334.20M,,334.20M,210.10M,124.10M,,,18.70M,14.50M,,,,18.70M,105.40M,,,14.50M,,93.40M,38.20M,55.20M,,,9.40M,,124.10M,-18.70M,105.40M,,1998-09,,,1.014,1.014,,,,,,1998-09,,,0.08,,1998-09,AOR,
1998-06,322.60M,,322.60M,200.30M,122.30M,,,17.90M,21.10M,,,-200.30M,-182.40M,304.70M,,,21.10M,,99.60M,40.90M,58.70M,,,9.70M,,322.60M,-17.90M,304.70M,,1998-06,,,1.079,1.079,,,,,,1998-06,,,0.08,,1998-06,AOR,
