,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2016-03,39.20M,,39.20M,175.40M,,175.40M,141.10M,141.10M,,,,95.80M,451.50M,6.915B,358.40M,,2.328B,153.80M,164.70M,9.92B,-2.163B,7.757B,,,,38.20M,,69.20M,7.864B,8.316B,,,,,,,350.90M,,,,329.80M,,329.80M,,,,680.70M,2.039B,,2.039B,1.228B,1.228B,3.383B,4.064B,,2016-03,7.20M,,6.10M,-4.80M,3.941B,,2016-03,AOR,Restated
2015-12,136.60M,,136.60M,171.90M,,243.50M,137.90M,137.90M,16.80M,,,2.20M,537.00M,5.686B,359.30M,703.40M,2.326B,159.30M,184.70M,9.419B,-1.714B,7.705B,,,,34.70M,,63.90M,7.804B,8.341B,176.70M,35.90M,18.80M,,231.40M,83.60M,315.00M,40.50M,80.00M,276.10M,356.10M,,356.10M,,,46.00M,757.60M,2.045B,,2.045B,1.191B,1.191B,3.359B,4.116B,,2015-12,7.20M,,6.10M,-4.70M,3.914B,,2015-12,AOR,Restated
2015-09,116.60M,,116.60M,196.30M,,196.30M,127.70M,127.70M,,,69.80M,71.10M,581.50M,6.693B,359.30M,,2.282B,170.00M,162.60M,9.667B,-2.050B,7.616B,,,,40.00M,,84.50M,7.741B,8.322B,,,,,,,440.10M,,,,25.30M,,25.30M,,,,465.40M,2.320B,,2.320B,1.210B,1.210B,3.673B,4.138B,,2015-09,7.20M,,6.10M,-4.60M,3.875B,,2015-09,AOR,Restated
2015-06,50.90M,,50.90M,195.30M,,195.30M,134.10M,134.10M,,,71.20M,72.00M,523.50M,6.519B,359.00M,,2.146B,170.50M,202.60M,9.398B,-1.979B,7.419B,,,,36.60M,,73.10M,7.529B,8.052B,,,,,,,384.10M,,,,317.10M,,317.10M,,,,701.20M,1.828B,,1.828B,1.179B,1.179B,3.154B,3.855B,,2015-06,7.20M,,6.10M,-3.80M,3.888B,,2015-06,AOR,Restated
2015-03,38.40M,,38.40M,204.40M,,204.40M,127.30M,127.30M,,,83.80M,61.50M,515.40M,6.405B,357.70M,,2.096B,168.30M,208.00M,9.235B,-1.929B,7.306B,,,,40.10M,,79.10M,7.425B,7.941B,,,,,,,390.30M,,,,268.10M,,268.10M,,,,658.40M,1.834B,,1.834B,1.165B,1.165B,3.144B,3.802B,,2015-03,7.20M,,6.10M,-3.60M,3.830B,,2015-03,AOR,Restated
2014-12,348.00M,,348.00M,181.60M,,237.50M,111.00M,111.00M,17.80M,,,3.90M,718.20M,5.264B,358.00M,669.50M,1.980B,160.90M,241.50M,8.674B,-1.519B,7.155B,,,,36.40M,,67.10M,7.258B,7.976B,215.00M,31.00M,24.80M,,270.80M,106.40M,377.20M,42.40M,150.10M,324.80M,474.90M,,474.90M,,,4.30M,898.80M,1.826B,,1.826B,1.056B,1.056B,3.014B,3.912B,,2014-12,7.20M,,6.10M,-3.20M,3.756B,,2014-12,AOR,Restated
2014-09,285.80M,,285.80M,208.50M,,208.50M,122.80M,122.80M,,,115.40M,47.80M,780.30M,6.207B,357.50M,,1.862B,153.90M,173.40M,8.754B,-1.845B,6.909B,,,,43.30M,,84.00M,7.037B,7.817B,,,,,,,424.10M,,312.00M,24.80M,336.80M,,336.80M,,,,760.90M,1.846B,,1.846B,1.128B,1.128B,3.103B,3.864B,,2014-09,7.20M,,6.10M,-2.30M,3.646B,,2014-09,AOR,Restated
2014-06,190.20M,,190.20M,213.10M,,213.10M,125.80M,125.80M,,,123.30M,55.80M,708.20M,6.145B,357.60M,,1.833B,154.80M,142.40M,8.633B,-1.807B,6.826B,,,,38.90M,,77.80M,6.942B,7.651B,,,,,,,383.20M,,321.00M,24.80M,345.80M,,345.80M,,,,729.00M,1.852B,,1.852B,1.098B,1.098B,3.080B,3.809B,,2014-06,7.20M,,6.10M,-2.00M,3.535B,,2014-06,AOR,Restated
2014-03,167.50M,,167.50M,195.60M,,195.60M,131.80M,131.80M,,,125.60M,71.20M,691.70M,6.049B,357.60M,,1.603B,151.60M,134.90M,8.297B,-1.756B,6.541B,,,,40.80M,,87.60M,6.669B,7.361B,,,,,,,374.40M,,175.00M,24.90M,199.90M,,199.90M,,,,574.30M,1.857B,,1.857B,1.067B,1.067B,3.047B,3.622B,,2014-03,7.20M,,6.10M,-2.00M,3.433B,,2014-03,AOR,Restated
2013-12,429.50M,,429.50M,198.30M,,198.30M,121.30M,121.30M,,,131.60M,61.70M,942.40M,5.008B,357.60M,606.40M,1.436B,152.80M,171.40M,7.733B,-1.376B,6.356B,,,,41.10M,,95.60M,6.493B,7.435B,200.50M,23.80M,18.50M,,242.80M,107.90M,350.70M,47.90M,,,332.00M,,332.00M,,,,730.60M,1.857B,,1.857B,1.045B,1.045B,3.028B,3.759B,,2013-12,7.20M,,6.10M,-2.00M,3.371B,,2013-12,AOR,Restated
2013-09,95.90M,,95.90M,211.50M,,211.50M,135.40M,135.40M,,,96.70M,78.20M,617.70M,5.885B,350.40M,,1.248B,147.30M,157.60M,7.789B,-1.668B,6.120B,,,,42.60M,,100.30M,6.263B,6.881B,,,,,,,403.00M,,,,51.80M,,51.80M,,,,454.80M,1.729B,,1.729B,985.40M,985.40M,2.844B,3.298B,,2013-09,7.20M,,6.10M,-2.10M,3.277B,,2013-09,AOR,Restated
2013-06,30.00M,,30.00M,199.60M,,199.60M,139.10M,139.10M,,,89.10M,85.90M,543.70M,5.774B,350.40M,,1.237B,147.40M,178.00M,7.687B,-1.623B,6.064B,,,,38.00M,,84.70M,6.186B,6.730B,,,,,,,356.30M,,,,48.30M,,48.30M,,,,404.60M,1.766B,,1.766B,944.30M,944.30M,2.842B,3.247B,,2013-06,7.20M,,6.10M,-2.10M,3.178B,,2013-06,AOR,Restated
2013-03,63.70M,,63.70M,202.40M,,202.40M,140.40M,140.40M,,,87.70M,48.80M,543.00M,5.652B,350.50M,,978.70M,147.90M,192.30M,7.321B,-1.576B,5.746B,,,,56.60M,,128.20M,5.930B,6.474B,,,,,,,356.90M,,,,162.50M,,162.50M,,,,519.40M,1.431B,,1.431B,909.40M,909.40M,2.467B,2.986B,,2013-03,7.20M,,6.10M,-1.80M,3.183B,,2013-03,AOR,Restated
2012-12,72.60M,,72.60M,183.60M,,215.00M,125.60M,125.60M,16.60M,,92.10M,0.40M,522.30M,4.740B,350.10M,585.30M,962.60M,148.10M,156.20M,6.943B,-1.258B,5.685B,,,,51.50M,,137.30M,5.874B,6.396B,169.10M,0.00,28.70M,12.30M,210.10M,101.80M,311.90M,52.70M,,,60.20M,,60.20M,,,,424.80M,1.548B,,1.548B,894.20M,894.20M,2.570B,2.995B,,2012-12,7.20M,,6.10M,-2.40M,3.097B,,2012-12,AOR,Restated
2012-09,187.00M,,187.00M,200.80M,,200.80M,123.60M,123.60M,,,135.70M,35.30M,682.40M,5.461B,349.30M,,861.10M,125.50M,251.60M,7.048B,-1.497B,5.552B,,,,59.70M,,130.50M,5.742B,6.424B,,,,,,,436.30M,,,,51.80M,,51.80M,,,,488.10M,1.557B,,1.557B,892.00M,892.00M,2.623B,3.111B,,2012-09,7.20M,,6.10M,-2.30M,3.018B,,2012-09,AOR,Restated
2012-06,105.50M,,105.50M,184.80M,,184.80M,117.30M,117.30M,,,164.60M,55.20M,627.40M,5.522B,349.30M,,857.80M,,209.90M,6.939B,-1.460B,5.479B,,,,54.50M,,129.80M,5.663B,6.291B,,,,,,,393.20M,,,,52.20M,,52.20M,,,,445.40M,1.571B,,1.571B,868.10M,868.10M,2.613B,3.058B,,2012-06,7.20M,,6.10M,-2.50M,2.937B,,2012-06,AOR,Restated
2012-03,101.80M,,101.80M,186.60M,,186.60M,120.90M,120.90M,,,205.10M,69.50M,683.90M,5.521B,348.80M,,834.00M,,156.90M,6.860B,-1.472B,5.388B,,,,57.50M,,124.60M,5.570B,6.254B,,,,,,,400.10M,,,,46.40M,,46.40M,,,,446.50M,1.586B,,1.586B,863.40M,863.40M,2.677B,3.124B,,2012-03,1.10M,,1.10M,-1.90M,2.836B,,2012-03,AOR,Restated
2011-12,72.40M,,72.40M,166.00M,,197.80M,109.60M,109.60M,25.60M,,225.00M,0.40M,642.50M,4.438B,348.60M,555.10M,821.50M,123.30M,152.70M,6.439B,-1.117B,5.322B,,,,50.40M,,130.60M,5.503B,6.145B,206.50M,,11.40M,14.30M,232.20M,103.70M,335.90M,65.20M,,,36.30M,,36.30M,,,,437.40M,1.603B,,1.603B,861.40M,861.40M,2.649B,3.086B,,2011-12,7.20M,,6.10M,-2.20M,2.764B,,2011-12,AOR,Restated
2011-09,217.10M,,217.10M,186.90M,,186.90M,116.00M,116.00M,,,132.10M,71.60M,723.70M,5.305B,318.00M,,765.10M,,182.10M,6.570B,-1.410B,5.160B,,,,55.20M,,127.60M,5.342B,6.066B,,,,,,,400.60M,,,,36.30M,,36.30M,,,,436.90M,1.676B,,1.676B,768.40M,768.40M,2.674B,3.111B,,2011-09,7.20M,,7.20M,-1.90M,2.669B,,2011-09,AOR,Restated
2011-06,156.00M,,156.00M,195.80M,,195.80M,115.40M,115.40M,,,136.30M,58.00M,661.50M,5.227B,318.00M,,679.30M,,150.80M,6.375B,-1.381B,4.994B,,,,48.80M,,121.30M,5.164B,5.826B,,,,,,,387.60M,,,,18.20M,,18.20M,,,,405.80M,1.615B,,1.615B,730.10M,730.10M,2.566B,2.972B,,2011-06,7.20M,,6.10M,-0.90M,2.568B,,2011-06,AOR,Restated
2011-03,101.50M,,101.50M,180.70M,,180.70M,107.70M,107.70M,,,142.00M,72.80M,604.70M,5.132B,318.00M,,676.60M,,139.40M,6.266B,-1.332B,4.934B,,,,50.40M,,111.10M,5.096B,5.700B,,,,,,,370.60M,,,,18.20M,,18.20M,,,,388.80M,1.617B,,1.617B,693.60M,693.60M,2.533B,2.922B,,2011-03,7.20M,,6.10M,-0.90M,2.496B,,2011-03,AOR,Restated
2010-12,85.40M,,85.40M,160.00M,,160.00M,101.40M,101.40M,,22.00M,138.20M,91.20M,598.20M,121.90M,,,,4.902B,143.50M,5.168B,-1.298B,3.869B,,,,46.40M,,1.127B,5.043B,5.641B,,,,,,,413.10M,,,,18.10M,,18.10M,,,,431.20M,1.622B,,1.622B,654.50M,654.50M,2.496B,2.927B,,2010-12,7.30M,,6.30M,-1.40M,2.431B,,2010-12,AOR,Restated
2010-09,68.80M,,68.80M,173.90M,,173.90M,106.10M,106.10M,,28.50M,202.50M,86.10M,665.90M,4.812B,319.10M,,701.40M,130.40M,143.50M,6.106B,-1.284B,4.822B,,,,46.80M,,94.70M,4.963B,5.629B,,,,,,,419.60M,,,,22.30M,,22.30M,,,,441.90M,1.611B,,1.611B,674.80M,674.80M,2.516B,2.958B,,2010-09,7.30M,,6.30M,-1.90M,2.390B,,2010-09,AOR,Restated
2010-06,84.30M,,84.30M,176.40M,,176.40M,106.10M,106.10M,,30.90M,166.50M,56.60M,620.80M,4.916B,315.80M,,690.00M,,117.40M,6.040B,-1.250B,4.790B,,,,46.40M,,89.20M,4.925B,5.546B,,,,,,,380.50M,,,,84.70M,,84.70M,,,,465.20M,1.615B,,1.615B,604.50M,846.70M,2.462B,2.927B,,2010-06,7.30M,,6.30M,-2.70M,2.337B,,2010-06,AOR,Restated
2010-03,126.10M,,126.10M,169.00M,,169.00M,107.60M,107.60M,,34.00M,163.60M,61.50M,661.80M,4.847B,313.90M,,691.00M,,120.50M,5.972B,-1.214B,4.758B,,,,53.50M,,75.90M,4.887B,5.549B,,,,,,,381.90M,,,,64.40M,,64.40M,,,,446.30M,1.907B,,1.907B,583.10M,583.10M,2.739B,3.185B,,2010-03,7.30M,,6.30M,-3.50M,2.082B,,2010-03,AOR,Restated
2009-12,117.50M,,117.50M,139.40M,,139.40M,106.40M,106.40M,,35.80M,151.70M,63.00M,613.80M,125.30M,,,,4.722B,165.60M,5.013B,-1.193B,3.821B,,,,46.80M,,973.10M,4.840B,5.454B,,,,,,,342.70M,,,,68.10M,,68.10M,,,,410.80M,1.912B,,1.912B,558.60M,558.60M,2.718B,3.128B,,2009-12,7.20M,,6.30M,-4.40M,2.043B,,2009-12,AOR,Restated
2009-09,108.90M,,108.90M,159.10M,,159.10M,104.30M,104.30M,,38.70M,102.40M,28.70M,542.10M,,,,,,,5.620B,-891.80M,4.728B,,,,52.80M,7.90M,75.70M,4.864B,5.406B,,,,,,,365.10M,,,,107.40M,,107.40M,,,,472.50M,1.914B,,1.914B,509.50M,509.50M,2.630B,3.102B,,2009-09,7.20M,,6.30M,-4.80M,2.02B,,2009-09,AOR,Restated
2009-06,62.30M,,62.30M,163.80M,,163.80M,114.30M,114.30M,,45.00M,102.40M,45.00M,532.80M,,,,,,,5.574B,-876.20M,4.698B,,,,51.30M,10.90M,73.80M,4.834B,5.366B,,,,,,,364.10M,,,,21.60M,,21.60M,,,,385.70M,2.013B,,2.013B,500.40M,500.40M,2.727B,3.113B,,2009-06,7.20M,,6.30M,-4.00M,1.970B,,2009-06,AOR,Restated
2009-03,141.70M,,141.70M,160.30M,,160.30M,95.20M,95.20M,,38.20M,62.80M,93.30M,591.50M,,,,,,,5.793B,-1.124B,4.669B,,,,58.20M,46.90M,52.80M,4.827B,5.418B,,,,,,,460.90M,,,,23.10M,,23.10M,,,,484.00M,2.039B,,2.039B,501.50M,501.50M,2.754B,3.238B,,2009-03,7.20M,,6.30M,-6.50M,1.906B,,2009-03,AOR,Restated
2008-12,229.90M,,229.90M,163.80M,,163.80M,96.30M,96.30M,,34.00M,62.80M,98.80M,685.60M,4.420B,300.70M,,688.20M,,354.30M,5.763B,-1.165B,4.598B,,,,60.50M,36.40M,58.30M,4.754B,5.439B,,,,,,,455.40M,,,,637.40M,,637.40M,,,,1.093B,1.449B,,1.449B,492.40M,492.40M,2.161B,3.254B,,2008-12,7.20M,,6.30M,-5.60M,1.912B,,2008-12,AOR,Restated
2008-09,96.50M,,96.50M,218.90M,,218.90M,,98.40M,,17.80M,221.00M,114.50M,767.10M,,,,,,,4.122B,-894.10M,3.227B,,,,,,1.357B,4.585B,5.352B,148.20M,,,,148.20M,318.30M,466.50M,,,,627.20M,,627.20M,,,,1.094B,1.282B,,1.282B,624.30M,624.30M,2.12B,3.214B,,2008-09,7.20M,,6.30M,1.70M,1.876B,,2008-09,,Restated
2008-06,29.40M,,29.40M,242.00M,,242.00M,,104.70M,,20.60M,204.10M,111.50M,712.30M,0.00,1.377B,,,4.017B,,5.394B,-1.052B,4.343B,,,,,,156.60M,4.500B,5.212B,150.30M,,,,150.30M,290.40M,440.70M,,,,624.40M,,624.40M,,,,1.065B,1.267B,,1.267B,583.80M,583.80M,2.066B,3.131B,,2008-06,7.30M,,6.50M,1.70M,1.819B,,2008-06,,Restated
2008-03,72.50M,,72.50M,227.70M,,227.70M,,96.30M,,17.20M,192.50M,153.90M,760.10M,0.00,1.201B,,,3.874B,,5.075B,-871.50M,4.204B,,,,,,119.40M,4.323B,5.083B,143.00M,,,,143.00M,324.30M,467.30M,,,,651.80M,,651.80M,,,,1.119B,1.167B,,1.167B,529.30M,529.30M,1.958B,3.077B,,2008-03,7.50M,,6.70M,0.40M,1.766B,,2008-03,,Restated
2007-12,55.50M,,55.50M,243.40M,,243.40M,90.30M,90.30M,16.10M,11.50M,177.80M,34.20M,645.70M,3.838B,291.00M,,631.40M,64.70M,309.00M,5.134B,-1.001B,4.133B,,,,79.30M,0.00,69.90M,4.282B,4.928B,101.10M,,,303.30M,404.40M,43.40M,447.80M,,,,650.90M,,650.90M,,,,1.099B,1.105B,,1.105B,499.10M,499.10M,1.860B,2.959B,,2007-12,7.50M,,6.70M,0.40M,1.726B,,2007-12,,Restated
2007-09,116.20M,,116.20M,284.50M,,284.50M,,87.90M,,30.90M,,73.90M,593.40M,,,,,,,3.499B,-807.30M,2.692B,,,,,118.40M,1.372B,4.182B,4.776B,143.20M,,,,143.20M,384.50M,527.70M,,,,351.30M,,351.30M,,,54.10M,933.10M,1.296B,,1.296B,424.20M,424.20M,1.966B,2.899B,,2007-09,7.40M,,6.70M,1.20M,1.672B,,2007-09,,
2007-06,66.30M,,66.30M,298.40M,,298.40M,,80.30M,,67.40M,,59.70M,572.10M,,,,,,,3.449B,-844.90M,2.604B,,,,,119.00M,1.417B,4.14B,4.712B,126.10M,,,,126.10M,351.00M,477.10M,,,,10.70M,,10.70M,,,52.30M,540.10M,1.637B,,1.637B,415.10M,415.10M,2.340B,2.880B,,2007-06,7.40M,,6.70M,1.30M,1.628B,,2007-06,,
