,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-06,7.307B,7.307B,112.00M,3.536B,3.648B,,3.893B,0.00,754.00M,2.463B,641.00M,1.822B,188.00M,1.822B,1.822B,245.00M,4.239B,3.77,,3.77,3.77,3.72,,3.72,3.72,431.90M,439.20M,0.65
2016-03,5.647B,5.647B,122.00M,2.859B,2.981B,,3.22B,0.00,883.00M,1.576B,441.00M,1.135B,-65.00M,1.135B,1.135B,239.00M,3.041B,2.71,,2.71,2.71,2.68,,2.68,2.68,440.80M,447.40M,0.65
2015-12,6.647B,6.647B,148.00M,2.264B,2.412B,,2.697B,0.00,700.00M,1.072B,307.00M,765.00M,191.00M,765.00M,765.00M,285.00M,2.52B,1.28,,1.28,1.28,1.27,,1.27,1.27,442.00M,451.70M,0.65
2015-09,6.196B,6.196B,123.00M,2.551B,2.674B,,2.896B,0.00,842.00M,2.046B,620.00M,1.426B,96.00M,1.426B,1.426B,222.00M,3.323B,2.95,,2.95,2.95,2.9,,2.9,2.9,449.00M,458.60M,0.65
2015-06,8.422B,8.422B,147.00M,4.012B,4.159B,,4.424B,0.00,663.00M,1.726B,678.00M,1.048B,132.00M,1.048B,1.048B,265.00M,3.213B,2.01,,2.01,2.01,1.98,,1.98,1.98,451.40M,461.60M,0.65
2015-03,9.979B,9.979B,139.00M,4.657B,4.796B,,5.015B,0.00,859.00M,3.934B,1.09B,2.844B,96.00M,2.844B,2.844B,219.00M,5.11B,6.05,,6.05,6.05,5.94,,5.94,5.94,453.30M,462.90M,0.6
2014-12,7.019B,7.019B,141.00M,2.158B,2.299B,,2.651B,0.00,961.00M,3.21B,1.044B,2.166B,134.00M,2.166B,2.166B,352.00M,4.383B,4.5,,4.5,4.5,4.38,,4.38,4.38,450.20M,463.30M,0.6
2014-09,7.763B,7.763B,129.00M,2.991B,3.12B,,3.421B,0.00,1.049B,3.305B,1.064B,2.241B,98.00M,2.241B,2.241B,301.00M,4.553B,4.69,,4.69,4.69,4.57,,4.57,4.57,455.50M,469.20M,0.55
2014-06,8.512B,8.512B,141.00M,4.11B,4.251B,,4.545B,0.00,1.00B,2.821B,784.00M,2.037B,84.00M,2.037B,2.037B,294.00M,4.40B,4.21,,4.21,4.21,4.1,,4.1,4.1,461.70M,475.90M,0.55
2014-03,8.733B,8.733B,138.00M,4.211B,4.349B,,4.739B,0.00,1.037B,3.021B,988.00M,2.033B,84.00M,2.033B,2.033B,390.00M,4.578B,4.15,,4.15,4.15,4.02,,4.02,4.02,468.60M,484.60M,0.55
2013-12,8.188B,8.188B,143.00M,2.393B,2.536B,,3.01B,0.00,801.00M,3.552B,1.22B,2.332B,84.00M,2.332B,2.332B,474.00M,5.142B,4.8,,4.8,4.8,4.6,,4.6,4.6,467.10M,488.80M,0.55
2013-09,6.149B,6.149B,117.00M,2.584B,2.701B,,2.981B,0.00,840.00M,2.167B,650.00M,1.517B,88.00M,1.517B,1.517B,280.00M,3.725B,3.07,,3.07,3.07,2.88,,2.88,2.88,463.40M,496.40M,0.5
2013-06,7.999B,7.999B,140.00M,3.934B,4.074B,,4.34B,0.00,826.00M,2.645B,714.00M,1.931B,70.00M,1.931B,1.931B,266.00M,4.482B,3.92,,3.92,3.92,3.7,,3.7,3.7,473.20M,503.50M,0.5
2013-03,9.529B,9.529B,141.00M,4.654B,4.795B,,5.097B,0.00,925.00M,3.373B,1.113B,2.26B,72.00M,2.26B,2.26B,302.00M,5.056B,4.53,,4.53,4.53,4.29,,4.29,4.29,482.10M,509.80M,0.5
2012-12,8.686B,8.686B,140.00M,2.337B,2.477B,,2.977B,0.00,973.00M,4.313B,1.421B,2.892B,59.00M,2.892B,2.892B,500.00M,6.204B,5.87,,5.87,5.87,5.6,,5.6,5.6,481.50M,504.10M,0.5
2012-09,7.804B,7.804B,123.00M,4.018B,4.141B,,4.537B,0.00,836.00M,2.298B,786.00M,1.512B,54.00M,1.512B,1.512B,396.00M,4.091B,2.95,,2.95,2.95,2.85,,2.85,2.85,491.20M,510.90M,0.46
2012-06,6.083B,6.083B,129.00M,3.238B,3.367B,,3.776B,0.00,1.09B,1.415B,453.00M,962.00M,35.00M,962.00M,962.00M,409.00M,3.38B,1.83,,1.83,1.83,1.78,,1.78,1.78,501.50M,520.30M,0.46
2012-03,9.382B,9.382B,117.00M,4.731B,4.848B,,5.281B,0.00,981.00M,3.181B,1.072B,2.109B,35.00M,2.109B,2.109B,433.00M,5.033B,4.05,,4.05,4.05,3.92,,3.92,3.92,510.80M,529.20M,0.35
2011-12,3.586B,3.586B,138.00M,2.546B,2.684B,,3.198B,0.00,1.065B,1.247B,234.00M,1.013B,35.00M,1.013B,1.013B,514.00M,3.214B,1.87,,1.87,1.87,1.81,,1.81,1.81,508.10M,527.80M,0.35
2011-09,3.587B,3.587B,140.00M,1.984B,2.124B,,2.513B,0.00,1.356B,-730.00M,-337.00M,-393.00M,35.00M,-393.00M,-393.00M,389.00M,1.268B,-0.84,0.0,-0.84,-0.84,-0.84,0.0,-0.84,-0.84,518.20M,518.20M,0.35
2011-06,7.281B,7.281B,183.00M,3.531B,3.714B,,4.086B,0.00,1.413B,1.612B,525.00M,1.087B,35.00M,1.087B,1.087B,372.00M,3.88B,1.96,0.0,1.96,1.96,1.85,0.0,1.85,1.85,531.90M,569.50M,0.35
2011-03,11.89B,11.89B,179.00M,5.519B,5.698B,,6.288B,0.00,1.358B,4.04B,1.305B,2.735B,1.827B,2.735B,2.735B,594.00M,5.789B,1.66,0.0,1.66,1.66,1.56,0.0,1.56,1.56,540.60M,583.00M,0.35
2010-12,6.361B,6.361B,175.00M,2.855B,3.03B,,3.755B,0.00,1.338B,3.474B,1.087B,2.387B,160.00M,2.387B,2.387B,731.00M,5.205B,4.09,,4.09,4.09,3.79,,3.79,3.79,541.10M,588.00M,0.35
2010-09,8.903B,8.903B,129.00M,4.02B,4.149B,-519.00M,3.985B,0.00,1.128B,2.811B,913.00M,1.898B,161.00M,1.898B,2.248B,358.00M,4.62B,3.19,0.0,3.838,3.19,2.98,0.0,3.5810000000000004,2.98,541.20M,582.70M,0.35
2010-06,8.841B,8.841B,116.00M,3.988B,4.104B,-622.00M,3.919B,0.00,1.619B,1.448B,835.00M,613.00M,160.00M,613.00M,1.017B,440.00M,3.131B,0.82,0.0,1.569,0.82,0.78,0.0,1.4769999999999999,0.78,539.80M,580.40M,0.35
2010-03,12.78B,12.78B,110.00M,5.669B,5.779B,,6.151B,0.00,1.418B,5.159B,1.703B,3.456B,160.00M,3.456B,3.456B,375.00M,6.742B,6.02,0.0,6.02,6.02,5.59,0.0,5.59,5.59,546.00M,590.00M,0.35
2009-12,9.615B,9.615B,-1.582B,-350.00M,-1.932B,,-1.54B,0.00,1.768B,7.377B,2.429B,4.948B,161.00M,4.948B,4.948B,394.00M,8.684B,9.14,0.0,9.14,9.14,8.39,0.0,8.39,8.39,531.80M,586.60M,0.35
2009-09,12.37B,12.37B,664.00M,5.545B,6.209B,,6.576B,0.00,1.69B,4.794B,1.606B,3.188B,160.00M,3.188B,3.188B,373.00M,6.104B,5.74,0.0,5.74,5.74,5.25,0.0,5.25,5.25,525.90M,576.90M,0.35
2009-06,13.76B,13.76B,656.00M,6.822B,7.478B,,7.904B,0.00,2.042B,5.029B,1.594B,3.435B,717.00M,3.435B,3.435B,527.00M,6.457B,5.27,0.0,5.27,5.27,4.93,0.0,4.93,4.93,514.10M,551.00M,0.35
2009-03,9.425B,9.425B,604.00M,4.885B,5.489B,,6.038B,0.00,1.907B,2.629B,815.00M,1.814B,155.00M,1.814B,1.814B,649.00M,5.084B,3.48,0.0,3.48,3.48,3.39,0.0,3.39,3.39,477.40M,489.20M,0.4667
2008-11,-1.578B,-1.578B,3.194B,8.792B,11.99B,,11.99B,-12.56B,913.00M,-3.599B,-1.478B,-2.121B,166.00M,-2.121B,-2.121B,579.00M,1.661B,-5.41,0.0,-5.41,-5.41,-5.41,0.0,-5.41,-5.41,460.10M,475.70M,0.35
2008-08,6.043B,6.043B,119.00M,2.901B,3.02B,,3.02B,2.44B,1.135B,960.00M,115.00M,845.00M,35.00M,845.00M,845.00M,392.00M,8.542B,1.89,0.0,1.89,1.89,1.81,0.0,1.81,1.81,427.60M,448.30M,0.35
2008-05,9.422B,9.422B,126.00M,4.522B,4.648B,,4.648B,5.239B,1.277B,2.832B,745.00M,2.087B,36.00M,2.087B,2.087B,311.00M,11.05B,4.8,0.0,4.8,4.8,4.58,0.0,4.58,4.58,427.50M,447.40M,0.35
2008-02,8.335B,8.335B,144.00M,4.001B,4.145B,,4.145B,4.877B,951.00M,2.143B,632.00M,1.511B,44.00M,1.511B,1.511B,343.00M,12.44B,3.39,0.0,3.39,3.39,3.23,0.0,3.23,3.23,432.80M,453.50M,0.35
2007-11,10.74B,10.74B,177.00M,3.272B,3.449B,,3.449B,6.823B,725.00M,5.055B,1.84B,3.215B,49.00M,3.215B,3.215B,331.00M,15.85B,7.45,0.0,7.45,7.45,6.98,0.0,6.98,6.98,423.40M,451.90M,0.35
2007-08,12.33B,12.33B,148.00M,5.92B,6.068B,,6.068B,7.576B,1.341B,4.259B,1.405B,2.854B,48.00M,2.854B,2.854B,283.00M,15.73B,6.54,0.0,6.54,6.54,6.13,0.0,6.13,6.13,429.00M,457.40M,0.35
2007-05,10.18B,10.18B,144.00M,4.887B,5.031B,,5.031B,6.242B,1.113B,3.431B,1.098B,2.333B,46.00M,2.333B,2.333B,281.00M,13.60B,5.25,0.0,5.25,5.25,4.93,0.0,4.93,4.93,435.80M,464.10M,0.35
2007-02,12.73B,12.73B,132.00M,6.111B,6.243B,,6.243B,9.073B,808.00M,4.859B,1.662B,3.197B,49.00M,3.197B,3.197B,272.00M,14.41B,7.08,0.0,7.08,7.08,6.67,0.0,6.67,6.67,444.50M,471.90M,0.35
2006-11,9.407B,9.407B,154.00M,2.56B,2.714B,,2.714B,6.051B,1.037B,4.985B,1.833B,3.152B,48.00M,3.152B,3.152B,266.00M,13.70B,7.01,0.0,7.01,7.01,6.57,0.0,6.57,6.57,439.70M,470.50M,0.35
2006-08,7.584B,7.584B,117.00M,3.51B,3.627B,,3.627B,4.368B,956.00M,2.362B,768.00M,1.594B,39.00M,1.594B,1.594B,251.00M,10.76B,3.46,0.0,3.46,3.46,3.26,0.0,3.26,3.26,449.40M,477.40M,0.35
2006-05,10.24B,10.24B,121.00M,5.086B,5.207B,,5.207B,6.921B,783.00M,3.524B,1.212B,2.312B,26.00M,2.312B,2.312B,259.00M,11.28B,5.08,0.0,5.08,5.08,4.78,0.0,4.78,4.78,449.70M,478.30M,0.35
2006-02,10.43B,10.43B,100.00M,5.301B,5.401B,,5.401B,6.687B,722.00M,3.689B,1.21B,2.479B,26.00M,2.479B,2.479B,219.00M,10.50B,5.36,0.0,5.36,5.36,5.08,0.0,5.08,5.08,457.30M,483.30M,0.25
2005-11,6.403B,6.403B,110.00M,2.44B,2.55B,,2.55B,3.907B,744.00M,2.479B,847.00M,1.632B,8.00M,1.632B,1.632B,216.00M,8.221B,3.5,0.0,3.5,3.5,3.32,0.0,3.32,3.32,459.50M,485.20M,0.25
2005-08,7.393B,7.393B,92.00M,3.642B,3.734B,,3.734B,4.842B,781.00M,2.405B,788.00M,1.617B,9.00M,1.617B,1.617B,210.00M,7.345B,3.4,0.0,3.4,3.4,3.25,0.0,3.25,3.25,473.30M,494.20M,0.25
2005-05,4.927B,4.927B,94.00M,2.403B,2.497B,,2.497B,2.562B,845.00M,1.244B,379.00M,865.00M,,865.00M,865.00M,230.00M,5.266B,1.78,0.0,1.78,1.78,1.71,0.0,1.71,1.71,485.40M,506.20M,0.25
2005-02,6.515B,6.515B,82.00M,3.203B,3.285B,,3.285B,4.141B,727.00M,2.145B,633.00M,1.512B,,1.512B,1.512B,198.00M,5.594B,3.06,0.0,3.06,3.06,2.94,0.0,2.94,2.94,494.30M,515.10M,0.25
2004-11,4.634B,4.634B,160.00M,1.617B,1.777B,,1.777B,2.332B,933.00M,1.714B,520.00M,1.194B,,1.194B,1.194B,211.00M,4.535B,2.44,0.0,2.44,2.44,2.36,0.0,2.36,2.36,488.90M,506.60M,0.25
2004-08,4.647B,4.647B,76.00M,2.269B,2.345B,,2.345B,2.424B,749.00M,1.293B,414.00M,879.00M,,879.00M,879.00M,315.00M,3.449B,1.8,0.0,1.8,1.8,1.74,0.0,1.74,1.74,489.20M,505.00M,0.25
2004-05,5.638B,5.638B,76.00M,2.756B,2.832B,,2.832B,3.409B,672.00M,1.74B,553.00M,1.187B,,1.187B,1.187B,97.00M,3.778B,2.43,0.0,2.43,2.43,2.31,0.0,2.31,2.31,487.90M,513.50M,0.25
2004-02,6.032B,6.032B,62.00M,2.964B,3.026B,,3.026B,3.819B,672.00M,1.929B,636.00M,1.293B,,1.293B,1.293B,222.00M,3.802B,2.63,0.0,2.63,2.63,2.5,0.0,2.5,2.5,492.00M,517.10M,0.25
2003-11,4.058B,4.058B,83.00M,1.411B,1.494B,,1.494B,5.287B,640.00M,1.409B,438.00M,971.00M,,971.00M,971.00M,601.00M,3.18B,1.98,0.0,1.98,1.98,1.89,0.0,1.89,1.89,489.90M,513.70M,0.25
2003-08,3.793B,3.793B,62.00M,1.896B,1.958B,,1.958B,1.169B,919.00M,980.00M,303.00M,677.00M,,677.00M,677.00M,170.00M,2.902B,1.39,0.0,1.39,1.39,1.32,0.0,1.32,1.32,488.50M,511.70M,0.25
2003-05,3.985B,3.985B,64.00M,1.992B,2.056B,,2.056B,1.526B,867.00M,1.038B,343.00M,695.00M,,695.00M,695.00M,185.00M,3.038B,1.43,0.0,1.43,1.43,1.36,0.0,1.36,1.36,485.80M,510.20M,0.12
2003-02,4.187B,4.187B,55.00M,2.094B,2.149B,,2.149B,1.773B,725.00M,1.018B,356.00M,662.00M,,662.00M,662.00M,189.00M,2.925B,1.35,0.0,1.35,1.35,1.29,0.0,1.29,1.29,489.30M,512.00M,0.12
2002-11,2.888B,2.888B,75.00M,1.195B,1.27B,,1.27B,679.00M,620.00M,719.00M,214.00M,505.00M,,505.00M,505.00M,199.00M,2.879B,1.03,0.0,1.03,1.03,0.99,0.0,0.99,0.99,490.80M,514.90M,0.12
2002-08,3.649B,3.649B,75.00M,1.824B,1.899B,,1.899B,1.107B,696.00M,794.00M,272.00M,522.00M,,522.00M,522.00M,192.00M,3.017B,1.05,0.0,1.05,1.05,1.0,0.0,1.0,1.0,494.90M,520.40M,0.12
2002-05,3.851B,3.851B,86.00M,1.926B,2.012B,,2.012B,1.074B,673.00M,901.00M,338.00M,563.00M,,563.00M,563.00M,185.00M,3.284B,1.13,0.0,1.13,1.13,1.06,0.0,1.06,1.06,496.80M,531.00M,0.12
2002-02,3.598B,3.598B,70.00M,1.799B,1.869B,,1.869B,1.203B,412.00M,839.00M,315.00M,524.00M,,524.00M,524.00M,168.00M,2.941B,1.05,0.0,1.05,1.05,0.98,0.0,0.98,0.98,500.20M,534.40M,0.12
2001-11,3.427B,3.427B,90.00M,1.632B,1.722B,,1.722B,1.126B,494.00M,724.00M,227.00M,497.00M,,497.00M,497.00M,242.00M,3.415B,0.99,0.0,0.99,0.99,0.93,0.0,0.93,0.93,501.90M,533.40M,0.12
2001-08,3.661B,3.661B,90.00M,1.794B,1.884B,,1.884B,1.267B,265.00M,767.00M,299.00M,468.00M,,468.00M,468.00M,226.00M,4.466B,0.92,0.0,0.92,0.92,0.87,0.0,0.87,0.87,508.10M,539.70M,0.12
2001-05,3.99B,3.99B,102.00M,1.907B,2.009B,,2.009B,1.795B,166.00M,946.00M,369.00M,577.00M,,577.00M,577.00M,209.00M,5.114B,1.12,0.0,1.12,1.12,1.06,0.0,1.06,1.06,513.80M,545.80M,0.12
2001-02,4.733B,4.733B,124.00M,2.367B,2.491B,,2.491B,2.066B,368.00M,1.259B,491.00M,768.00M,,768.00M,768.00M,196.00M,6.028B,1.49,0.0,1.49,1.49,1.4,0.0,1.4,1.4,515.40M,548.60M,0.12
2000-11,3.415B,3.415B,163.00M,1.186B,1.349B,,1.349B,985.00M,243.00M,910.00M,309.00M,601.00M,,601.00M,601.00M,164.00M,5.484B,1.23,0.0,1.23,1.23,1.15,0.0,1.15,1.15,488.19M,521.46M,0.12
2000-08,4.527B,4.527B,126.00M,2.263B,2.389B,,2.389B,2.112B,227.00M,1.373B,549.00M,824.00M,,824.00M,824.00M,119.00M,5.697B,1.71,0.0,1.71,1.71,1.62,0.0,1.62,1.62,481.25M,508.89M,0.12
2000-05,4.155B,4.155B,111.00M,2.077B,2.188B,,2.188B,942.00M,293.00M,1.258B,503.00M,755.00M,,755.00M,755.00M,102.00M,5.299B,1.56,0.0,1.56,1.56,1.48,0.0,1.48,1.48,484.38M,510.26M,0.12
2000-02,4.493B,4.493B,106.00M,2.247B,2.353B,,2.353B,2.096B,223.00M,1.479B,592.00M,887.00M,,887.00M,887.00M,101.00M,4.95B,1.83,0.0,1.83,1.83,1.76,0.0,1.76,1.76,484.58M,505.39M,0.12
1999-11,3.473B,3.473B,117.00M,1.527B,1.644B,,1.644B,1.218B,214.00M,1.209B,486.00M,723.00M,,723.00M,723.00M,108.00M,4.448B,1.51,0.0,1.51,1.51,1.46,0.0,1.46,1.46,478.96M,494.29M,0.12
1999-08,3.408B,3.408B,92.00M,1.704B,1.796B,,1.796B,1.423B,206.00M,1.082B,444.00M,638.00M,,638.00M,638.00M,71.00M,4.114B,1.34,0.0,1.34,1.34,1.32,0.0,1.32,1.32,476.12M,483.33M,0.12
1999-05,3.469B,3.469B,78.00M,1.953B,2.031B,,2.031B,616.00M,132.00M,-1.487B,-1.827B,340.00M,,340.00M,340.00M,61.00M,1.399B,0.72,0.0,0.72,0.72,0.71,0.0,0.71,0.71,472.22M,478.87M,
1999-02,152.00M,152.00M,,1.275B,1.275B,,1.275B,,152.00M,1.188B,181.00M,1.007B,,1.007B,1.007B,97.00M,4.049B,,,2.265,2.265,,,2.265,2.265,444.69M,444.69M,
