,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,388.00M,,0.00,-8.00M,-7.00M,,,122.00M,122.00M,8.00M,,-3.00M,18.00M,24.00M,331.00M,-255.00M,76.00M,704.00M,,-89.00M,0.00,-32.00M,-57.00M,0.00,-46.00M,-13.00M,-1.118B,,3.00B,-1.604B,1.396B,-175.00M,-175.00M,0.00,0.00,-108.00M,0.00,-108.00M,-13.00M,1.241B,,3.032B,827.00M,3.859B,,0.00,6.25B,-3.25B,-175.00M,,,,AOR,Restated
2017-12,666.00M,,,-2.00M,-18.00M,,,116.00M,116.00M,-113.00M,,-1.00M,13.00M,15.00M,-347.00M,19.00M,-328.00M,433.00M,,-187.00M,,-138.00M,-49.00M,0.00,127.00M,-10.00M,-60.00M,,2.005B,-3.251B,-1.246B,-335.00M,-335.00M,0.00,0.00,-89.00M,-7.00M,-96.00M,0.00,539.00M,,2.12B,912.00M,3.032B,,0.00,3.255B,-1.25B,-335.00M,,,,AOR,Restated
2017-09,348.00M,,,-2.00M,-1.00M,,,113.00M,113.00M,-3.00M,,0.00,8.00M,46.00M,-187.00M,517.00M,330.00M,913.00M,,-106.00M,,-51.00M,-55.00M,0.00,-305.00M,-10.00M,-2.039B,,249.00M,-500.00M,-251.00M,-225.00M,-225.00M,0.00,0.00,-90.00M,0.00,-90.00M,-1.00M,-921.00M,,4.167B,-2.047B,2.12B,,0.00,1.999B,-1.75B,-225.00M,,,,AOR,Restated
2017-06,318.00M,,,-4.00M,0.00,,,134.00M,134.00M,-59.00M,,-1.00M,9.00M,-61.00M,-250.00M,-476.00M,-726.00M,-316.00M,,-94.00M,,-50.00M,-44.00M,,463.00M,-13.00M,-742.00M,,1.361B,-758.00M,603.00M,-130.00M,-130.00M,,,-71.00M,-7.00M,-78.00M,0.00,1.232B,,3.993B,174.00M,4.167B,,,7.112B,-5.751B,-130.00M,,,,AOR,Restated
2017-03,320.00M,,,-4.00M,-3.00M,,,124.00M,124.00M,39.00M,,0.00,18.00M,156.00M,282.00M,-179.00M,103.00M,853.00M,,-53.00M,,-14.00M,-39.00M,,-398.00M,-11.00M,-1.143B,,-1.003B,-450.00M,-1.453B,-130.00M,-130.00M,,,-72.00M,,-72.00M,-19.00M,579.00M,,3.704B,289.00M,3.993B,,,2.997B,-4.00B,-130.00M,,,,AOR,Restated
2016-12,282.00M,,0.00,-6.00M,-77.00M,,,128.00M,128.00M,10.00M,-6.00M,-10.00M,8.00M,-55.00M,31.00M,-121.00M,-90.00M,292.00M,,-133.00M,0.00,-94.00M,-39.00M,,-413.00M,-12.00M,-2.627B,,3.199B,-1.551B,1.648B,-180.00M,-180.00M,,,-62.00M,-7.00M,-69.00M,,3.124B,,2.915B,789.00M,3.704B,,,5.50B,-2.301B,-180.00M,,,,AOR,Restated
2016-09,297.00M,,0.00,0.00,3.00M,,,142.00M,142.00M,49.00M,-10.00M,2.00M,4.00M,-33.00M,145.00M,-191.00M,-46.00M,494.00M,,-63.00M,0.00,-22.00M,-41.00M,,-1.314B,-13.00M,-3.062B,,152.00M,-265.00M,-113.00M,-250.00M,-250.00M,,,-62.00M,0.00,-62.00M,,1.828B,,3.655B,-740.00M,2.915B,,,2.649B,-2.497B,-250.00M,,,,AOR,Restated
2016-06,243.00M,,0.00,-4.00M,3.00M,,,133.00M,133.00M,64.00M,1.00M,-1.00M,7.00M,-87.00M,-111.00M,-12.00M,-123.00M,330.00M,,-54.00M,0.00,-14.00M,-40.00M,,-414.00M,-11.00M,-3.316B,,3.243B,-2.04B,1.203B,0.00,0.00,,,-64.00M,-7.00M,-71.00M,,4.786B,,1.855B,1.80B,3.655B,,,6.245B,-3.002B,0.00,,,,AOR,Restated
2016-03,223.00M,,-2.00M,-9.00M,-10.00M,,,112.00M,112.00M,30.00M,15.00M,5.00M,4.00M,-22.00M,-339.00M,265.00M,-74.00M,374.00M,,-53.00M,3.00M,-5.00M,-45.00M,,320.00M,-12.00M,-2.321B,,121.00M,670.00M,791.00M,0.00,0.00,,,-53.00M,,-53.00M,,717.00M,,3.085B,-1.23B,1.855B,,,750.00M,-629.00M,0.00,,,,AOR,Restated
2015-12,221.00M,,0.00,-10.00M,-11.00M,,,121.00M,121.00M,173.00M,4.00M,-3.00M,2.00M,149.00M,-161.00M,-156.00M,-317.00M,398.00M,,-103.00M,3.00M,-64.00M,-36.00M,,99.00M,-11.00M,-1.709B,,5.742B,-3.231B,2.511B,0.00,0.00,0.00,0.00,-53.00M,0.00,-53.00M,,2.64B,,1.756B,1.329B,3.085B,,0.00,6.50B,-758.00M,0.00,,,,AOR,Restated
2015-09,220.00M,,-9.00M,-2.00M,-9.00M,,,116.00M,116.00M,20.00M,4.00M,1.00M,7.00M,-8.00M,-168.00M,57.00M,-111.00M,316.00M,,-61.00M,-3.00M,-14.00M,-50.00M,,1.767B,-10.00M,774.00M,,248.00M,-901.00M,-653.00M,-250.00M,-250.00M,0.00,0.00,-53.00M,-7.00M,-60.00M,,-2.203B,,2.869B,-1.113B,1.756B,,0.00,250.00M,-2.00M,-250.00M,,,,AOR,Restated
2015-06,190.00M,,0.00,-10.00M,-8.00M,,,121.00M,121.00M,42.00M,5.00M,-6.00M,9.00M,-50.00M,-2.00M,39.00M,37.00M,417.00M,,-70.00M,4.00M,-21.00M,-45.00M,,-1.195B,-8.00M,-3.23B,,-3.00M,-251.00M,-254.00M,-250.00M,-250.00M,247.00M,247.00M,-53.00M,0.00,-53.00M,,678.00M,,5.004B,-2.135B,2.869B,,247.00M,0.00,-3.00M,-250.00M,,,,AOR,Restated
2015-03,209.00M,,0.00,-10.00M,-9.00M,,,113.00M,113.00M,14.00M,4.00M,-1.00M,6.00M,-59.00M,-136.00M,-101.00M,-237.00M,98.00M,,-65.00M,11.00M,-7.00M,-47.00M,,-250.00M,-8.00M,-1.74B,,-3.00M,0.00,-3.00M,,,,,-55.00M,,-55.00M,,3.37B,,3.276B,1.728B,5.004B,,,0.00,-3.00M,,,,,AOR,Restated
2014-12,197.00M,0.00,9.00M,-1.00M,11.00M,,,73.00M,73.00M,110.00M,10.00M,3.00M,24.00M,-38.00M,1.738B,-2.017B,-279.00M,183.00M,,-147.00M,-26.00M,-119.00M,-54.00M,,321.00M,-157.00M,-2.867B,,2.584B,-460.00M,2.124B,-334.00M,-334.00M,0.00,0.00,-55.00M,0.00,-55.00M,,3.071B,,2.889B,387.00M,3.276B,,0.00,2.583B,1.00M,-334.00M,,,,AOR,Restated
2014-09,189.00M,0.00,7.00M,-2.00M,6.00M,,,117.00M,117.00M,-5.00M,12.00M,-5.00M,10.00M,-46.00M,-2.09B,1.921B,-169.00M,186.00M,,-47.00M,0.00,-11.00M,-36.00M,,191.00M,-9.00M,-1.797B,,331.00M,-988.00M,-657.00M,0.00,0.00,0.00,0.00,-383.00M,0.00,-383.00M,,-856.00M,,5.356B,-2.467B,2.889B,,0.00,333.00M,-2.00M,0.00,,,,AOR,Restated
2014-06,313.00M,9.00M,10.00M,0.00,10.00M,,,100.00M,100.00M,-22.00M,12.00M,1.00M,0.00,-327.00M,-223.00M,408.00M,185.00M,321.00M,,-70.00M,29.00M,-1.00M,-40.00M,,173.00M,-11.00M,-574.00M,,331.00M,2.75B,3.081B,0.00,0.00,0.00,0.00,-343.00M,,-343.00M,,2.757B,,2.852B,2.504B,5.356B,,0.00,333.00M,-2.00M,0.00,,,,AOR,Restated
2014-03,166.00M,,1.00M,-25.00M,-20.00M,,,96.00M,96.00M,58.00M,12.00M,-4.00M,19.00M,45.00M,280.00M,-73.00M,207.00M,700.00M,,-47.00M,0.00,-7.00M,-40.00M,,-3.426B,-11.00M,-5.036B,,-3.00M,2.70B,2.697B,,,,,-25.00M,,-25.00M,,4.431B,,2.757B,95.00M,2.852B,,,,-3.00M,,,,,AOR,Restated
2013-12,152.00M,,1.00M,-25.00M,-23.00M,,,100.00M,100.00M,57.00M,16.00M,-5.00M,3.00M,109.00M,297.00M,175.00M,472.00M,1.013B,,-121.00M,25.00M,-17.00M,-79.00M,,-937.00M,-11.00M,-2.671B,,339.00M,1.686B,2.025B,,,,,-374.00M,,-374.00M,,1.833B,,2.582B,175.00M,2.757B,,,336.00M,3.00M,,1.00M,98.00M,,AOR,Restated
2013-09,144.00M,0.00,8.00M,-25.00M,-14.00M,,,99.00M,99.00M,76.00M,18.00M,-3.00M,24.00M,122.00M,-271.00M,-99.00M,-370.00M,241.00M,,-90.00M,0.00,-36.00M,-54.00M,,-3.888B,-11.00M,-4.716B,,333.00M,564.00M,897.00M,,,,,-383.00M,,-383.00M,,2.571B,,4.486B,-1.904B,2.582B,,,333.00M,0.00,,19.00M,354.00M,,AOR,
2013-06,-3.905B,0.00,5.00M,-42.00M,-36.00M,,,102.00M,102.00M,-186.00M,19.00M,4.402B,,121.00M,434.00M,-390.00M,44.00M,673.00M,,-83.00M,0.00,-52.00M,-31.00M,,901.00M,-12.00M,4.386B,,42.00M,-11.00M,31.00M,,,,,-388.00M,,-388.00M,,-3.962B,,3.389B,1.097B,4.486B,,,333.00M,-291.00M,,,,,,
2013-03,183.00M,,2.00M,-52.00M,-47.00M,,,103.00M,103.00M,0.00,20.00M,-6.00M,,96.00M,367.00M,-84.00M,283.00M,722.00M,,-74.00M,,-30.00M,-44.00M,,1.202B,-6.00M,548.00M,,-3.00M,-489.00M,-492.00M,,,,,-40.00M,,-40.00M,,-944.00M,,3.063B,326.00M,3.389B,,,,-3.00M,,,,,AOR,
