,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,DerivativeContractLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,3.865B,3.979B,20.16B,24.14B,,,24.36B,,,,,,,720.00M,6.887B,6.887B,114.12B,1.253B,112.86B,25.51B,149.55B,155.43B,,,,,,1.499B,1.499B,1.499B,1.825B,13.64B,13.64B,456.00M,456.00M,117.07B,425.00M,131.60B,134.96B,,549.00M,4.755B,18.81B,2.433B,543.00M,-1.21B,20.47B,,AOR,Restated
2018-03,3.859B,4.001B,19.96B,23.96B,84.00M,84.00M,24.32B,,,,,,,687.00M,6.887B,6.887B,112.22B,1.246B,110.98B,25.43B,147.42B,153.45B,,84.00M,84.00M,84.00M,,1.494B,1.494B,1.494B,1.893B,13.49B,13.49B,475.00M,475.00M,115.73B,331.00M,130.02B,133.39B,,253.00M,4.437B,18.80B,2.283B,247.00M,-1.145B,20.06B,,AOR,Restated
2017-12,3.032B,3.224B,20.16B,23.38B,6.00M,6.00M,24.00B,47.00M,719.00M,1.465B,359.00M,2.59B,-1.905B,685.00M,6.887B,6.887B,111.34B,1.236B,110.10B,25.02B,146.12B,152.34B,,,,,,1.856B,1.856B,1.856B,2.671B,11.76B,11.76B,571.00M,571.00M,115.09B,310.00M,127.74B,132.07B,,253.00M,4.164B,18.78B,2.108B,247.00M,-820.00M,20.27B,,AOR,Restated
2017-09,2.12B,2.407B,19.98B,22.39B,226.00M,226.00M,23.21B,,,,,,,618.00M,6.887B,6.887B,111.38B,1.224B,110.15B,24.98B,145.72B,151.36B,,,,,,1.505B,1.505B,1.505B,1.958B,13.40B,13.40B,744.00M,744.00M,113.24B,242.00M,127.62B,131.25B,,253.00M,3.442B,18.77B,1.773B,247.00M,-581.00M,20.11B,,AOR,Restated
2017-06,4.167B,4.60B,19.26B,23.86B,530.00M,530.00M,24.80B,,,,,,,600.00M,6.887B,6.887B,109.75B,1.219B,108.53B,24.33B,143.45B,151.41B,,,,,,2.004B,2.004B,2.004B,2.433B,13.15B,13.15B,740.00M,740.00M,113.61B,159.00M,127.67B,131.34B,,253.00M,3.191B,18.76B,1.548B,247.00M,-593.00M,20.06B,,AOR,Restated
2017-03,3.993B,4.344B,19.96B,24.31B,,,24.66B,,,,,,,582.00M,6.876B,6.876B,108.78B,1.224B,107.56B,25.08B,143.04B,150.28B,,,,,,2.762B,2.762B,2.762B,3.855B,11.78B,11.78B,744.00M,744.00M,112.11B,320.00M,124.96B,130.44B,,253.00M,2.944B,18.75B,1.418B,247.00M,-683.00M,19.85B,,AOR,Restated
2016-12,3.704B,4.143B,19.50B,23.64B,,0.00,24.27B,47.00M,684.00M,1.714B,,2.445B,-1.844B,601.00M,6.876B,6.876B,108.29B,1.236B,107.06B,24.67B,142.20B,149.52B,,,,,,3.211B,3.211B,3.211B,4.359B,12.79B,12.79B,714.00M,714.00M,109.80B,659.00M,123.97B,129.77B,,253.00M,2.703B,18.72B,1.263B,247.00M,-668.00M,19.75B,,AOR,Restated
2016-09,2.915B,3.635B,19.42B,23.06B,,,24.16B,,,,,,,540.00M,6.876B,6.876B,105.99B,1.24B,104.75B,24.83B,139.80B,147.02B,,,,,,2.512B,2.512B,2.512B,3.412B,11.90B,11.90B,994.00M,994.00M,108.33B,840.00M,122.06B,126.83B,,253.00M,2.483B,18.74B,1.108B,247.00M,-187.00M,20.18B,,AOR,Restated
2016-06,3.655B,4.382B,18.48B,22.86B,132.00M,132.00M,24.30B,,,,,,,551.00M,6.876B,6.876B,104.40B,1.246B,103.16B,23.52B,136.90B,145.18B,,86.00M,86.00M,86.00M,,2.77B,2.77B,2.77B,3.573B,11.81B,11.81B,961.00M,961.00M,106.26B,1.01B,120.04B,124.96B,,253.00M,2.255B,18.74B,858.00M,247.00M,-159.00M,20.23B,,AOR,Restated
2016-03,1.855B,2.389B,17.96B,20.35B,161.00M,161.00M,21.58B,,,,,,,570.00M,6.876B,6.876B,101.74B,1.224B,100.52B,23.16B,133.99B,140.08B,,276.00M,276.00M,276.00M,,3.30B,3.30B,3.30B,4.29B,10.04B,10.04B,852.00M,852.00M,102.61B,832.00M,114.32B,120.11B,,253.00M,2.076B,18.73B,858.00M,247.00M,-236.00M,19.96B,,AOR,Restated
2015-12,3.085B,3.441B,17.88B,21.32B,,,21.95B,25.00M,634.00M,1.667B,,2.326B,-1.731B,595.00M,6.876B,6.876B,99.41B,1.216B,98.19B,23.21B,131.72B,138.21B,,,,,,2.63B,2.63B,2.63B,3.432B,9.886B,9.886B,730.00M,730.00M,102.54B,485.00M,113.64B,118.56B,,253.00M,1.913B,18.72B,858.00M,247.00M,-387.00M,19.65B,,AOR,Restated
2015-09,1.756B,2.119B,18.20B,20.32B,,,21.15B,,,,,,,560.00M,6.876B,6.876B,97.85B,1.201B,96.65B,23.53B,130.12B,135.45B,,,,,,5.861B,5.861B,5.861B,7.154B,4.153B,4.153B,637.00M,637.00M,101.87B,641.00M,107.30B,115.85B,,253.00M,1.745B,18.72B,857.00M,247.00M,-259.00M,19.60B,,AOR,Restated
2015-06,2.869B,3.055B,18.66B,21.72B,939.00M,939.00M,23.32B,,,,,,,580.00M,6.876B,6.876B,97.24B,1.201B,96.03B,24.23B,130.19B,137.25B,,,,,,6.762B,6.762B,6.762B,10.55B,3.89B,3.89B,558.00M,558.00M,100.62B,556.00M,105.62B,117.66B,,253.00M,1.585B,18.71B,607.00M,247.00M,-359.00M,19.59B,,AOR,Restated
2015-03,5.004B,5.619B,19.04B,24.66B,,,25.40B,,,,,,,584.00M,6.876B,6.876B,94.87B,1.202B,93.67B,24.22B,127.78B,136.54B,,61.00M,61.00M,61.00M,,7.004B,7.004B,7.004B,11.49B,3.904B,3.904B,586.00M,586.00M,98.99B,616.00M,104.10B,116.97B,,6.00M,1.448B,18.71B,357.00M,,-240.00M,19.56B,,AOR,Restated
2014-12,3.276B,3.646B,18.66B,22.30B,,,22.93B,26.00M,607.00M,1.613B,,2.246B,-1.651B,595.00M,6.876B,6.876B,93.69B,1.195B,92.50B,23.84B,126.19B,132.86B,,,,,,6.253B,6.253B,6.253B,10.53B,4.642B,4.642B,493.00M,493.00M,95.71B,612.00M,101.45B,113.59B,,6.00M,1.294B,18.68B,336.00M,,-372.00M,19.27B,,AOR,Restated
2014-09,2.889B,3.181B,18.67B,21.85B,2.067B,2.067B,24.46B,,,,,,,541.00M,6.876B,6.876B,90.96B,1.201B,89.76B,23.96B,123.29B,131.34B,,2.087B,2.087B,2.087B,,6.715B,6.715B,6.715B,13.99B,2.062B,2.062B,354.00M,354.00M,93.46B,638.00M,96.52B,111.96B,,6.00M,1.152B,18.66B,,,-435.00M,19.38B,,AOR,Restated
2014-06,5.356B,5.665B,18.49B,24.16B,,0.00,24.79B,,,,,,,560.00M,6.876B,6.876B,89.09B,1.21B,87.88B,24.82B,122.62B,130.28B,,,,,,7.702B,7.702B,7.702B,14.51B,1.732B,1.732B,403.00M,403.00M,91.66B,747.00M,94.54B,110.68B,,6.00M,1.346B,18.60B,,,-358.00M,19.60B,,AOR,Restated
2014-03,2.852B,3.151B,18.41B,21.56B,,0.00,22.19B,,,,,,,574.00M,6.876B,6.876B,88.46B,1.259B,87.20B,24.80B,121.72B,126.89B,,,,,,4.95B,4.95B,4.95B,11.03B,1.403B,1.403B,319.00M,319.00M,87.46B,828.00M,90.01B,107.45B,,0.00,1.376B,18.61B,,,-543.00M,19.44B,,AOR,Restated
2013-12,2.757B,2.99B,16.00B,18.98B,446.00M,446.00M,20.08B,33.00M,636.00M,1.598B,,2.267B,-1.675B,592.00M,6.876B,6.876B,87.11B,1.221B,85.89B,20.32B,115.75B,122.15B,,,,,,2.251B,2.251B,2.251B,7.042B,1.405B,1.405B,199.00M,199.00M,86.90B,939.00M,89.45B,102.96B,,6.00M,1.235B,18.60B,0.00,,-648.00M,19.20B,,AOR,Restated
