,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-12,1.128B,1.128B,25.00M,472.00M,497.00M,38.00M,,535.00M,8.00M,870.00M,331.00M,110.00M,221.00M,0.00,221.00M,221.00M,121.00M,447.00M,,0.42,0.42,0.42,,0.42,0.42,0.42,,527.56M,530.10M,0.10,,AOR,Restated
2015-09,1.12B,1.12B,25.00M,432.00M,457.00M,35.00M,,492.00M,0.00,856.00M,335.00M,115.00M,220.00M,7.00M,220.00M,220.00M,116.00M,453.00M,,0.40,0.40,0.40,,0.40,0.40,0.40,,530.99M,533.40M,0.10,,AOR,Restated
2015-06,1.101B,1.101B,29.00M,437.00M,466.00M,37.00M,,503.00M,7.00M,840.00M,282.00M,92.00M,190.00M,,190.00M,190.00M,121.00M,394.00M,,0.35,0.35,0.35,,0.35,0.35,0.35,,537.73M,539.91M,0.10,,AOR,Restated
2015-03,1.104B,1.104B,22.00M,465.00M,487.00M,36.00M,,523.00M,7.00M,836.00M,315.00M,106.00M,209.00M,,209.00M,209.00M,113.00M,421.00M,,0.38,0.38,0.38,,0.38,0.38,0.38,,546.29M,549.80M,0.10,,AOR,Restated
2014-12,1.073B,1.073B,26.00M,401.00M,427.00M,43.00M,,470.00M,-2.00M,840.00M,283.00M,86.00M,197.00M,,197.00M,197.00M,73.00M,384.00M,,0.36,0.36,0.36,,0.36,0.36,0.36,,546.70M,550.66M,0.10,,AOR,Restated
2014-09,1.055B,1.055B,19.00M,454.00M,473.00M,38.00M,,511.00M,1.00M,820.00M,274.00M,85.00M,189.00M,,189.00M,189.00M,117.00M,367.00M,,0.34,0.34,0.34,,0.34,0.34,0.34,,560.00M,560.24M,,,AOR,Restated
2014-06,1.348B,1.348B,21.00M,540.00M,561.00M,33.00M,,594.00M,-2.00M,833.00M,476.00M,163.00M,313.00M,,313.00M,313.00M,100.00M,560.00M,,,0.5589,0.5589,,,0.5589,0.5589,,560.00M,560.00M,,,AOR,Restated
2014-03,1.083B,1.083B,20.00M,467.00M,487.00M,31.00M,,518.00M,21.00M,808.00M,235.00M,69.00M,166.00M,,166.00M,166.00M,96.00M,320.00M,,,0.2964,0.2964,,,0.2964,0.2964,,560.00M,560.00M,,,AOR,Restated
2013-12,1.057B,1.057B,20.00M,449.00M,469.00M,31.00M,0.00,500.00M,24.00M,779.00M,208.00M,56.00M,152.00M,,152.00M,152.00M,100.00M,305.00M,,,0.2714,0.2714,,,0.2714,0.2714,,560.00M,560.00M,,,AOR,Restated
2013-09,1.066B,1.066B,18.00M,444.00M,462.00M,26.00M,0.00,488.00M,22.00M,770.00M,220.00M,76.00M,144.00M,,144.00M,144.00M,99.00M,323.00M,,,0.2571,0.2571,,,0.2571,0.2571,,560.00M,560.00M,,,AOR,
2013-06,1.10B,1.10B,19.00M,472.00M,491.00M,24.00M,,515.00M,41.00M,749.00M,-4.178B,-273.00M,-3.905B,,-3.905B,-3.905B,102.00M,-4.061B,,,-6.973,-6.973,,,-6.973,-6.973,,560.00M,560.00M,,,,
2013-03,1.108B,1.108B,19.00M,484.00M,503.00M,21.00M,,524.00M,49.00M,760.00M,282.00M,99.00M,183.00M,,183.00M,183.00M,103.00M,408.00M,,,0.3268,0.3268,,,0.3268,0.3268,,560.00M,560.00M,,,AOR,
