,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-06,377.00M,,377.00M,1.14B,142.00M,1.279B,,1.351B,143.00M,516.00M,,477.00M,4.143B,60.49B,,60.49B,-16.81B,43.68B,3.294B,,3.294B,5.98B,,1.103B,57.23B,61.37B,589.00M,,,589.00M,561.00M,1.15B,,,4.785B,4.785B,4.785B,,1.331B,7.266B,1.941B,24.79B,,24.79B,7.666B,7.666B,,,1.20B,,1.939B,38.65B,45.92B,8.16B,6.585B,,,,,-493.00M,14.25B
2016-03,218.00M,,218.00M,1.175B,155.00M,1.328B,,1.304B,157.00M,,,704.00M,3.711B,59.15B,,59.15B,-16.53B,42.62B,3.294B,,3.294B,5.853B,,1.069B,55.79B,59.50B,670.00M,,,670.00M,583.00M,1.253B,,,4.802B,4.802B,4.802B,,1.463B,7.518B,1.916B,24.19B,,24.19B,7.536B,7.536B,,,1.135B,,1.98B,37.97B,45.49B,6.778B,6.565B,,,,,-463.00M,12.88B
2015-12,607.00M,,607.00M,1.20B,171.00M,1.369B,446.00M,1.348B,198.00M,,,412.00M,4.189B,4.96B,6.921B,57.78B,-16.22B,41.55B,3.294B,570.00M,3.864B,5.774B,,459.00M,54.46B,58.65B,726.00M,,,726.00M,515.00M,1.241B,,,5.334B,5.334B,5.334B,,1.544B,8.119B,1.887B,23.47B,,23.47B,7.414B,7.414B,1.199B,,938.00M,,674.00M,36.93B,45.05B,6.68B,6.458B,,,,,-474.00M,12.66B
2015-09,238.00M,,238.00M,1.289B,146.00M,1.433B,,1.31B,142.00M,,288.00M,469.00M,4.123B,55.85B,,55.85B,-16.07B,39.78B,3.294B,,3.294B,5.624B,,1.159B,52.48B,56.60B,705.00M,,,705.00M,553.00M,1.258B,,,4.083B,4.083B,4.083B,,1.405B,6.746B,1.824B,23.24B,,23.24B,7.551B,7.551B,,,684.00M,,1.784B,36.58B,43.32B,6.606B,6.487B,,,,,-501.00M,12.59B
2015-06,271.00M,,271.00M,1.334B,108.00M,1.44B,,1.26B,120.00M,,517.00M,844.00M,4.452B,54.45B,,54.45B,-15.78B,38.67B,3.294B,,3.294B,5.585B,,1.316B,51.49B,55.94B,842.00M,,,842.00M,527.00M,1.369B,,,3.932B,3.932B,3.932B,,1.435B,6.736B,1.812B,23.05B,,23.05B,7.573B,7.573B,,,433.00M,,1.782B,36.35B,43.09B,6.53B,6.278B,,,,,-386.00M,12.42B
2015-03,275.00M,,275.00M,1.589B,115.00M,1.702B,,1.227B,163.00M,,673.00M,1.013B,5.053B,52.72B,,52.72B,-15.49B,37.23B,3.294B,,3.294B,5.617B,,1.322B,50.10B,55.16B,945.00M,,,945.00M,,945.00M,,,5.022B,5.022B,5.022B,,2.054B,8.021B,1.645B,21.35B,,21.35B,7.577B,7.577B,,,405.00M,,2.025B,34.72B,42.74B,6.17B,6.25B,,,,,-409.00M,12.01B
2014-12,318.00M,,318.00M,1.514B,122.00M,1.633B,487.00M,1.41B,454.00M,,800.00M,464.00M,5.615B,4.15B,4.415B,51.41B,-15.14B,36.27B,3.044B,570.00M,3.614B,5.561B,,669.00M,48.71B,54.33B,952.00M,,,952.00M,566.00M,1.518B,,,4.15B,4.15B,4.15B,,1.53B,7.198B,1.633B,21.80B,,21.80B,7.444B,7.444B,1.296B,,402.00M,,1.003B,35.17B,42.37B,5.876B,6.095B,,,,,-416.00M,11.56B
2014-09,218.00M,,218.00M,1.339B,128.00M,1.464B,,1.385B,176.00M,,,2.203B,5.446B,49.93B,,49.93B,-15.05B,34.88B,3.044B,,3.044B,5.477B,,2.191B,46.83B,52.28B,848.00M,,,848.00M,,848.00M,,,4.22B,4.22B,4.22B,,2.511B,7.579B,1.535B,20.67B,,20.67B,7.226B,7.226B,,,,134.00M,1.53B,33.13B,40.71B,5.788B,6.202B,,,,,-417.00M,11.57B
2014-06,419.00M,,419.00M,1.476B,164.00M,1.637B,,1.261B,224.00M,,,2.02B,5.561B,48.70B,,48.70B,-14.81B,33.89B,3.044B,,3.044B,5.458B,,2.174B,45.94B,51.50B,852.00M,,,852.00M,,852.00M,,,3.945B,3.945B,3.945B,,2.446B,7.243B,1.515B,20.47B,,20.47B,7.237B,7.237B,,,,134.00M,1.319B,32.69B,39.93B,5.861B,6.023B,,,,,-317.00M,11.57B
2014-03,228.00M,,228.00M,1.805B,171.00M,1.972B,,1.013B,216.00M,,,1.577B,5.478B,47.72B,,47.72B,-14.60B,33.13B,3.046B,,3.046B,5.317B,,2.127B,45.11B,50.59B,1.143B,,,1.143B,,1.143B,,,2.888B,2.888B,2.888B,,2.32B,6.351B,1.495B,20.46B,,20.46B,7.293B,7.293B,,,,134.00M,1.209B,32.54B,38.89B,5.785B,6.213B,,,,,-299.00M,11.70B
2013-12,316.00M,,316.00M,1.695B,145.00M,1.836B,487.00M,1.176B,812.00M,,778.00M,335.00M,5.94B,3.251B,4.136B,46.97B,-14.34B,32.63B,3.086B,560.00M,3.646B,5.102B,,610.00M,44.16B,50.10B,1.168B,,,1.168B,609.00M,1.777B,,,3.446B,3.446B,3.446B,,1.771B,6.994B,1.484B,19.33B,,19.33B,7.114B,7.114B,481.00M,,0.00,257.00M,793.00M,31.46B,38.45B,5.783B,6.183B,,,,,-324.00M,11.64B
2013-09,287.00M,,287.00M,1.499B,106.00M,1.602B,,1.21B,,,,1.422B,5.21B,46.10B,,46.10B,-14.24B,31.86B,3.087B,,3.087B,4.876B,,1.976B,43.28B,48.49B,980.00M,,,980.00M,,980.00M,,,3.277B,3.277B,3.277B,,2.196B,6.453B,1.625B,18.55B,,18.55B,6.735B,6.735B,1.294B,,0.00,257.00M,616.00M,30.79B,37.25B,5.699B,6.079B,0.00,,,,-536.00M,11.24B
2013-06,190.00M,,190.00M,1.514B,136.00M,1.647B,,1.154B,,,,1.485B,5.863B,45.57B,,45.57B,-14.01B,31.55B,3.125B,,3.125B,4.387B,,2.024B,42.56B,48.43B,909.00M,,,909.00M,,909.00M,,,4.039B,4.039B,4.039B,,2.429B,7.377B,1.592B,18.04B,,18.04B,6.525B,6.525B,1.299B,,57.00M,257.00M,657.00M,29.99B,37.37B,5.65B,5.836B,0.00,,,,-483.00M,11.00B
2013-03,35.00M,,35.00M,1.758B,77.00M,1.831B,,1.039B,,,,1.403B,5.148B,44.66B,,44.66B,-13.75B,30.91B,3.128B,,3.128B,4.40B,,1.835B,41.97B,47.12B,950.00M,,,950.00M,,950.00M,,,4.048B,4.048B,4.048B,,1.974B,6.972B,1.611B,17.28B,,17.28B,6.07B,6.07B,1.834B,,60.00M,257.00M,521.00M,29.22B,36.19B,5.571B,5.961B,156.00M,,,,-820.00M,10.87B
2012-12,248.00M,,248.00M,1.621B,100.00M,1.717B,575.00M,1.259B,538.00M,,573.00M,287.00M,5.14B,3.227B,3.497B,44.32B,-13.55B,30.77B,3.13B,536.00M,3.666B,4.191B,,649.00M,41.70B,46.84B,1.137B,,,1.137B,636.00M,1.773B,,,4.635B,4.635B,4.635B,,1.355B,7.763B,1.641B,16.85B,,16.85B,5.80B,5.80B,1.831B,,57.00M,257.00M,556.00M,28.45B,36.21B,5.493B,5.79B,162.00M,,,,-877.00M,10.57B
2012-09,81.00M,0.00,81.00M,1.51B,169.00M,1.679B,,1.257B,,,,1.122B,4.653B,,,45.35B,-13.83B,31.52B,3.141B,,3.141B,3.86B,,3.709B,42.23B,46.89B,1.02B,,,1.02B,,1.02B,,,,3.557B,3.557B,499.00M,1.486B,6.562B,1.61B,17.14B,,17.14B,6.337B,6.337B,,,60.00M,257.00M,3.098B,28.45B,35.01B,0.00,6.753B,5.572B,,,,-507.00M,11.82B
2012-06,162.00M,0.00,162.00M,1.494B,184.00M,1.678B,,1.251B,,,,960.00M,4.712B,,,44.69B,-13.77B,30.92B,3.141B,,3.141B,3.723B,,3.919B,41.70B,46.42B,917.00M,,,917.00M,,917.00M,,,,3.671B,3.671B,752.00M,1.466B,6.806B,1.405B,17.00B,,17.00B,6.026B,6.026B,,,57.00M,257.00M,2.966B,27.66B,34.46B,0.00,6.847B,5.504B,,,,-455.00M,11.90B
2012-03,133.00M,0.00,133.00M,1.539B,173.00M,1.712B,,1.249B,,,,1.103B,5.019B,,,43.85B,-13.56B,30.29B,3.141B,,3.141B,3.783B,,3.862B,41.07B,46.09B,935.00M,,,935.00M,,935.00M,,,,3.188B,3.188B,871.00M,1.66B,6.654B,1.396B,17.08B,,17.08B,5.719B,5.719B,,,60.00M,257.00M,3.019B,27.47B,34.12B,0.00,6.891B,5.429B,,,,-411.00M,11.91B
2011-12,102.00M,,102.00M,1.78B,263.00M,2.035B,707.00M,1.348B,262.00M,,9.00M,969.00M,5.43B,4.735B,4.699B,42.99B,-13.32B,29.67B,3.141B,637.00M,3.778B,3.844B,,829.00M,40.18B,45.61B,1.25B,,,1.25B,648.00M,1.898B,,,3.293B,3.293B,3.293B,,1.771B,6.962B,1.383B,17.39B,,17.39B,5.216B,5.216B,962.00M,,57.00M,257.00M,613.00M,27.15B,34.11B,5.18B,6.697B,179.00M,,,,-610.00M,11.45B
2011-09,212.00M,0.00,212.00M,1.646B,228.00M,1.874B,,1.326B,,,,1.257B,5.267B,,,42.16B,-13.74B,28.41B,3.141B,,3.141B,3.852B,,3.359B,38.76B,44.03B,1.138B,,,1.138B,647.00M,1.785B,,,,2.11B,2.11B,,1.601B,5.496B,1.654B,17.15B,,17.15B,5.13B,5.13B,,,,257.00M,2.708B,26.90B,32.40B,0.00,6.778B,5.353B,,,,-499.00M,11.63B
2011-06,80.00M,0.00,80.00M,1.695B,303.00M,1.998B,,1.194B,,,,1.214B,4.962B,,,41.16B,-13.51B,27.65B,3.141B,,3.141B,3.60B,,4.057B,38.45B,43.41B,1.125B,,,1.125B,582.00M,1.707B,,,,2.599B,2.599B,,1.208B,5.514B,1.633B,16.50B,,16.50B,5.081B,5.081B,,,,257.00M,2.746B,26.22B,31.73B,0.00,6.665B,5.344B,,,,-329.00M,11.68B
2011-03,188.00M,0.00,188.00M,1.837B,116.00M,1.953B,,1.044B,,,,1.194B,4.932B,,,40.39B,-13.31B,27.08B,3.141B,,3.141B,4.216B,,3.406B,37.84B,42.78B,1.189B,,,1.189B,720.00M,1.909B,,,,1.345B,1.345B,,1.247B,4.501B,1.598B,16.80B,,16.80B,4.91B,4.91B,,,,257.00M,2.77B,26.33B,30.83B,5.464B,6.612B,194.00M,,,,-327.00M,11.94B
2010-12,62.00M,0.00,62.00M,2.158B,97.00M,2.246B,,1.163B,277.00M,,,913.00M,5.40B,,,39.86B,-13.14B,26.71B,3.141B,642.00M,3.783B,3.751B,,1.012B,37.42B,42.82B,1.562B,,,1.562B,981.00M,2.543B,,,,1.883B,1.883B,633.00M,714.00M,5.773B,1.577B,15.76B,,15.76B,4.708B,4.708B,765.00M,,0.00,257.00M,590.00M,25.05B,30.82B,0.00,6.418B,5.909B,,,,-330.00M,12.00B
2010-06,411.00M,1.929B,2.34B,1.739B,135.00M,1.874B,,1.107B,107.00M,,,947.00M,6.375B,,,38.35B,-12.89B,25.46B,3.141B,,3.141B,3.414B,,3.40B,35.41B,41.79B,1.286B,,1.083B,2.369B,392.00M,2.761B,,,,895.00M,895.00M,,2.015B,5.671B,,15.35B,,15.35B,4.00B,4.00B,1.145B,,,257.00M,3.22B,23.97B,29.64B,0.00,6.077B,6.269B,,,,-200.00M,12.15B
2010-03,85.00M,1.638B,1.723B,1.955B,105.00M,2.06B,,984.00M,147.00M,,,1.119B,6.033B,,,39.73B,-13.69B,26.04B,3.275B,,3.275B,3.612B,,3.205B,36.13B,42.16B,1.324B,,,1.324B,772.00M,2.096B,,,,1.549B,1.549B,,2.847B,6.492B,,15.36B,,15.36B,4.251B,4.251B,1.385B,,,257.00M,3.363B,24.62B,31.11B,0.00,4.585B,6.507B,,,,-41.00M,11.05B
2009-12,48.00M,0.00,48.00M,2.05B,144.00M,2.18B,,1.185B,405.00M,,,853.00M,6.817B,,,39.04B,-13.44B,25.59B,3.354B,693.00M,4.047B,3.492B,,514.00M,35.74B,42.55B,1.401B,,,1.401B,680.00M,2.081B,,,,2.432B,2.432B,679.00M,1.641B,6.833B,1.605B,15.48B,,15.48B,4.244B,4.244B,1.26B,,,257.00M,474.00M,24.54B,31.37B,0.00,4.686B,6.71B,,,,-211.00M,11.18B
2009-09,50.00M,1.498B,1.548B,1.76B,105.00M,1.865B,,1.178B,115.00M,,,2.145B,6.851B,,,37.91B,-13.23B,24.68B,3.503B,,3.503B,3.425B,,3.625B,35.24B,42.09B,1.046B,0.00,,1.046B,742.00M,1.788B,,,,1.358B,1.358B,,2.302B,5.448B,,16.22B,,16.22B,4.088B,4.088B,1.592B,,,257.00M,3.152B,25.31B,30.76B,0.00,4.956B,6.625B,,,,-254.00M,11.33B
2009-06,64.00M,1.487B,1.551B,1.928B,86.00M,2.014B,,1.077B,117.00M,,,2.352B,7.111B,,,36.89B,-13.02B,23.87B,3.503B,,3.503B,3.284B,3.725B,,34.39B,41.50B,1.008B,0.00,,1.008B,701.00M,1.709B,,,,1.788B,1.788B,,2.477B,5.974B,,15.71B,,15.71B,3.81B,3.81B,1.568B,,,257.00M,3.171B,24.51B,30.49B,0.00,4.623B,6.552B,,,,-165.00M,11.01B
2009-03,141.00M,1.595B,1.736B,2.30B,150.00M,2.45B,,888.00M,,,,2.218B,7.292B,,,36.21B,-12.86B,23.35B,3.503B,,3.503B,3.156B,,4.383B,34.40B,41.69B,1.263B,0.00,,1.263B,968.00M,2.231B,,,,2.063B,2.063B,,2.712B,7.006B,,14.90B,,14.90B,3.943B,3.943B,1.549B,,,257.00M,3.324B,23.97B,30.98B,0.00,4.417B,6.386B,,,,-94.00M,10.71B
2008-12,66.00M,1.497B,1.563B,2.354B,205.00M,2.559B,,1.166B,163.00M,,,2.21B,7.661B,,,35.45B,-12.17B,23.27B,3.503B,712.00M,4.215B,3.257B,,3.132B,34.39B,42.05B,1.499B,260.00M,,1.759B,754.00M,2.513B,,,,2.474B,2.474B,,2.807B,7.794B,,14.96B,,14.96B,4.137B,4.137B,1.525B,,,257.00M,,20.88B,31.98B,0.00,4.17B,6.176B,,,,-269.00M,10.08B
2008-09,88.00M,,88.00M,2.085B,,2.085B,,1.231B,,,,3.929B,7.333B,,,34.74B,-12.15B,22.60B,,,3.503B,,,7.947B,34.05B,41.38B,1.507B,,,1.507B,3.259B,4.766B,,,,3.205B,3.205B,,,7.971B,,14.12B,,14.12B,4.49B,4.49B,,,,257.00M,,18.86B,30.91B,0.00,4.307B,6.109B,,,,49.00M,10.46B
2008-06,88.00M,,88.00M,2.044B,,2.044B,,1.038B,,,,5.325B,8.495B,,,34.69B,-12.38B,22.32B,,,3.496B,,,7.733B,33.55B,42.04B,567.00M,,,567.00M,5.596B,6.163B,,,,3.193B,3.193B,,,9.356B,,14.20B,,14.20B,4.228B,4.228B,,,,257.00M,,18.69B,33.17B,0.00,4.029B,6.041B,,,,-1.195B,8.875B
2008-03,79.00M,,79.00M,2.239B,,2.239B,,838.00M,,,,3.323B,6.479B,,,33.84B,-12.19B,21.66B,,,3.496B,,,7.421B,32.57B,39.05B,1.497B,,,1.497B,3.007B,4.504B,,,,3.418B,3.418B,,,7.922B,,12.81B,,12.81B,4.214B,4.214B,,,,257.00M,,17.28B,29.53B,0.00,3.96B,5.969B,,,,-404.00M,9.525B
2007-12,283.00M,,283.00M,2.13B,,2.13B,,1.045B,,,,3.212B,6.67B,,,33.33B,-11.98B,21.35B,,,3.496B,,,7.621B,32.47B,39.14B,1.734B,,,1.734B,2.792B,4.526B,,,,3.234B,3.234B,,,7.76B,,13.24B,,13.24B,4.253B,4.253B,,,28.00M,257.00M,,17.74B,29.70B,0.00,3.51B,5.908B,,,,-12.00M,9.406B
2007-09,469.00M,,469.00M,1.943B,,1.943B,,1.072B,,,,3.319B,6.803B,,,32.92B,-12.05B,20.86B,,,3.496B,,,7.366B,31.72B,38.53B,1.33B,,,1.33B,6.231B,7.561B,,,,799.00M,799.00M,,,8.36B,,12.48B,,12.48B,4.097B,4.097B,,,29.00M,257.00M,,16.83B,29.25B,0.00,3.438B,5.859B,,,,-49.00M,9.248B
2007-06,40.00M,,40.00M,2.308B,,2.308B,,926.00M,,,,3.958B,7.232B,,,44.07B,-14.56B,29.50B,,,4.234B,,,7.409B,41.15B,48.38B,1.986B,,,1.986B,3.348B,5.334B,,,,5.337B,5.337B,,,10.67B,,14.34B,,14.34B,5.901B,5.901B,,,37.00M,257.00M,,20.49B,35.76B,0.00,1.329B,11.42B,,,,-171.00M,12.58B
2007-03,103.00M,,103.00M,2.865B,,2.865B,,749.00M,,,,3.547B,7.264B,,,44.40B,-14.57B,29.83B,,,4.274B,,,7.203B,41.31B,48.58B,2.003B,,,2.003B,3.953B,5.956B,,,,5.004B,5.004B,,,10.96B,,14.32B,,14.32B,5.944B,5.944B,,,27.00M,257.00M,,20.52B,35.58B,0.00,2.107B,11.48B,,,,-629.00M,12.96B
